ID;Inkomensbestanddelen;Kenmerken;Perioden;AantalHuishoudens_1;PercentageHuishoudens_2;TotaalBedrag_3;GemiddeldBedrag_4;AandeelVanBrutoInkomen_5
51;1 Inkomen uit arbeid;24;2010;759;75.4;29325.0;38.6;81.8
52;1 Inkomen uit arbeid;24;2011;774;75.0;29907.0;38.6;81.9
53;1 Inkomen uit arbeid;24;2012;776;74.3;30729.0;39.6;82.0
54;1 Inkomen uit arbeid;24;2013;761;73.1;30283.0;39.8;80.5
55;1 Inkomen uit arbeid;24;2014;766;72.5;30838.0;40.3;78.7
56;1 Inkomen uit arbeid;25;2001;10;6.2;;;2.4
57;1 Inkomen uit arbeid;25;2002;10;6.1;;;2.8
58;1 Inkomen uit arbeid;25;2003;11;6.8;;;2.6
59;1 Inkomen uit arbeid;25;2004;13;7.7;;;3.1
60;1 Inkomen uit arbeid;25;2005;14;7.6;;;3.6
61;1 Inkomen uit arbeid;25;2006;14;7.7;;;3.2
62;1 Inkomen uit arbeid;25;2007;17;8.6;;;3.5
63;1 Inkomen uit arbeid;25;2008;18;9.3;;;4.4
64;1 Inkomen uit arbeid;25;2009;19;8.9;;;3.8
65;1 Inkomen uit arbeid;25;2010;18;8.4;;;3.7
66;1 Inkomen uit arbeid;25;2011;20;8.9;259.0;13.3;4.1
67;1 Inkomen uit arbeid;25;2012;22;9.2;230.0;10.6;3.4
68;1 Inkomen uit arbeid;25;2013;22;8.9;286.0;13.3;4.0
69;1 Inkomen uit arbeid;25;2014;22;8.8;308.0;13.8;3.9
70;1 Inkomen uit arbeid;26;2001;515;40.9;12139.0;23.6;44.0
71;1 Inkomen uit arbeid;26;2002;530;41.5;13161.0;24.8;44.9
72;1 Inkomen uit arbeid;26;2003;526;41.1;13230.0;25.1;44.2
73;1 Inkomen uit arbeid;26;2004;533;41.1;13607.0;25.5;43.8
74;1 Inkomen uit arbeid;26;2005;551;41.4;14493.0;26.3;44.2
75;1 Inkomen uit arbeid;26;2006;566;42.0;15464.0;27.3;45.3
76;1 Inkomen uit arbeid;26;2007;583;42.8;16157.0;27.7;45.4
77;1 Inkomen uit arbeid;26;2008;600;43.6;16880.0;28.1;46.0
78;1 Inkomen uit arbeid;26;2009;606;43.4;17150.0;28.3;45.7
79;1 Inkomen uit arbeid;26;2010;606;43.3;17456.0;28.8;45.8
80;1 Inkomen uit arbeid;26;2011;620;43.5;18169.0;29.3;46.6
81;1 Inkomen uit arbeid;26;2012;617;42.9;18422.0;29.9;46.3
82;1 Inkomen uit arbeid;26;2013;614;42.8;18420.0;30.0;46.0
83;1 Inkomen uit arbeid;26;2014;619;42.3;18924.0;30.6;45.4
84;1 Inkomen uit arbeid;27;2001;499;71.7;12037.0;24.1;71.5
85;1 Inkomen uit arbeid;27;2002;512;72.5;13065.0;25.5;73.0
86;1 Inkomen uit arbeid;27;2003;509;72.0;13136.0;25.8;72.8
87;1 Inkomen uit arbeid;27;2004;515;71.5;13510.0;26.2;71.2
88;1 Inkomen uit arbeid;27;2005;531;71.2;14289.0;26.9;71.0
89;1 Inkomen uit arbeid;27;2006;549;72.4;15329.0;27.9;72.3
90;1 Inkomen uit arbeid;27;2007;563;73.4;15999.0;28.4;72.8
91;1 Inkomen uit arbeid;27;2008;581;74.6;16734.0;28.8;73.8
92;1 Inkomen uit arbeid;27;2009;584;74.3;16971.0;29.1;73.6
93;1 Inkomen uit arbeid;27;2010;583;73.6;17287.0;29.7;73.8
94;1 Inkomen uit arbeid;27;2011;593;74.0;17940.0;30.3;75.0
95;1 Inkomen uit arbeid;27;2012;588;73.5;18222.0;31.0;75.6
96;1 Inkomen uit arbeid;27;2013;586;73.6;18188.0;31.1;75.3
97;1 Inkomen uit arbeid;27;2014;592;72.9;18738.0;31.6;74.6
98;1 Inkomen uit arbeid;28;2001;16;2.9;;;1.0
99;1 Inkomen uit arbeid;28;2002;18;3.1;;;0.8
100;1 Inkomen uit arbeid;28;2003;17;2.9;;;0.8
101;1 Inkomen uit arbeid;28;2004;17;3.0;;;0.8
102;1 Inkomen uit arbeid;28;2005;20;3.5;204.0;10.0;1.6
103;1 Inkomen uit arbeid;28;2006;17;2.9;;;1.0
104;1 Inkomen uit arbeid;28;2007;20;3.3;;;1.2
105;1 Inkomen uit arbeid;28;2008;19;3.2;;;1.0
106;1 Inkomen uit arbeid;28;2009;22;3.5;178.0;8.3;1.2
107;1 Inkomen uit arbeid;28;2010;24;3.9;169.0;7.2;1.2
108;1 Inkomen uit arbeid;28;2011;27;4.3;229.0;8.5;1.5
109;1 Inkomen uit arbeid;28;2012;29;4.6;200.0;6.8;1.3
110;1 Inkomen uit arbeid;28;2013;28;4.4;232.0;8.3;1.5
111;1 Inkomen uit arbeid;28;2014;26;4.0;186.0;7.1;1.1
112;1 Inkomen uit arbeid;29;2001;3608;78.9;191125.0;53.0;76.1
113;1 Inkomen uit arbeid;29;2002;3626;78.9;200572.0;55.3;76.7
114;1 Inkomen uit arbeid;29;2003;3625;78.7;206674.0;57.0;77.2
115;1 Inkomen uit arbeid;29;2004;3625;78.4;212378.0;58.6;76.3
116;1 Inkomen uit arbeid;29;2005;3622;78.3;216157.0;59.7;75.9
117;1 Inkomen uit arbeid;29;2006;3649;78.7;225825.0;61.9;76.3
118;1 Inkomen uit arbeid;29;2007;3680;79.1;234789.0;63.8;74.8
119;1 Inkomen uit arbeid;29;2008;3725;79.6;244982.0;65.8;75.8
120;1 Inkomen uit arbeid;29;2009;3734;79.4;249518.0;66.8;76.3
121;1 Inkomen uit arbeid;29;2010;3722;78.8;251582.0;67.6;75.9
122;1 Inkomen uit arbeid;29;2011;3726;78.7;257111.0;69.0;75.9
123;1 Inkomen uit arbeid;29;2012;3717;78.2;260093.0;70.0;75.7
124;1 Inkomen uit arbeid;29;2013;3710;77.8;262044.0;70.6;75.0
125;1 Inkomen uit arbeid;29;2014;3700;77.4;264736.0;71.5;73.2
126;1 Inkomen uit arbeid;30;2001;3115;78.5;174013.0;55.9;77.3
127;1 Inkomen uit arbeid;30;2002;3118;78.6;182192.0;58.4;77.9
128;1 Inkomen uit arbeid;30;2003;3106;78.4;187457.0;60.4;78.5
129;1 Inkomen uit arbeid;30;2004;3104;78.2;192643.0;62.1;77.4
130;1 Inkomen uit arbeid;30;2005;3095;77.9;195608.0;63.2;77.0
131;1 Inkomen uit arbeid;30;2006;3098;78.1;203628.0;65.7;77.1
132;1 Inkomen uit arbeid;30;2007;3119;78.3;211226.0;67.7;75.4
133;1 Inkomen uit arbeid;30;2008;3145;78.7;220123.0;70.0;76.5
134;1 Inkomen uit arbeid;30;2009;3140;78.5;223268.0;71.1;76.9
135;1 Inkomen uit arbeid;30;2010;3212;78.2;230264.0;71.7;76.6
136;1 Inkomen uit arbeid;30;2011;3206;78.1;235182.0;73.4;76.7
137;1 Inkomen uit arbeid;30;2012;3198;77.7;237935.0;74.4;76.5
138;1 Inkomen uit arbeid;30;2013;3195;77.4;239689.0;75.0;75.8
139;1 Inkomen uit arbeid;30;2014;3170;76.9;241437.0;76.2;73.9
140;1 Inkomen uit arbeid;31;2001;1229;62.0;64226.0;52.3;65.9
141;1 Inkomen uit arbeid;31;2002;1234;62.2;66693.0;54.0;65.7
142;1 Inkomen uit arbeid;31;2003;1234;62.0;68589.0;55.6;65.8
143;1 Inkomen uit arbeid;31;2004;1236;61.8;70065.0;56.7;64.7
144;1 Inkomen uit arbeid;31;2005;1246;61.7;71065.0;57.1;63.9
145;1 Inkomen uit arbeid;31;2006;1255;61.7;73485.0;58.5;63.2
146;1 Inkomen uit arbeid;31;2007;1275;62.0;76398.0;59.9;61.6
147;1 Inkomen uit arbeid;31;2008;1298;62.7;79426.0;61.2;62.7
148;1 Inkomen uit arbeid;31;2009;1303;62.6;80741.0;62.0;62.4
149;1 Inkomen uit arbeid;31;2010;1309;61.9;81084.0;61.9;62.1
150;1 Inkomen uit arbeid;31;2011;1305;61.7;81405.0;62.4;61.4
151;1 Inkomen uit arbeid;31;2012;1302;61.3;82022.0;63.0;61.0
152;1 Inkomen uit arbeid;31;2013;1308;61.0;83279.0;63.7;60.6
153;1 Inkomen uit arbeid;31;2014;1294;60.3;83979.0;64.9;58.9
154;1 Inkomen uit arbeid;32;2001;1153;84.5;63353.0;54.9;81.3
155;1 Inkomen uit arbeid;32;2002;1148;84.5;65720.0;57.3;81.3
156;1 Inkomen uit arbeid;32;2003;1141;84.4;67499.0;59.2;81.8
157;1 Inkomen uit arbeid;32;2004;1136;84.4;68799.0;60.6;80.6
158;1 Inkomen uit arbeid;32;2005;1139;84.5;69707.0;61.2;80.1
159;1 Inkomen uit arbeid;32;2006;1145;85.1;72117.0;63.0;80.0
160;1 Inkomen uit arbeid;32;2007;1157;85.7;74848.0;64.7;78.5
161;1 Inkomen uit arbeid;32;2008;1162;86.8;77413.0;66.6;80.5
162;1 Inkomen uit arbeid;32;2009;1156;87.1;78418.0;67.8;81.0
163;1 Inkomen uit arbeid;32;2010;1158;86.9;78694.0;68.0;81.3
164;1 Inkomen uit arbeid;32;2011;1133;87.8;78561.0;69.4;82.1
165;1 Inkomen uit arbeid;32;2012;1117;88.4;79037.0;70.8;82.9
166;1 Inkomen uit arbeid;32;2013;1191;83.4;81932.0;68.8;77.4
167;1 Inkomen uit arbeid;32;2014;1100;89.1;80508.0;73.2;81.5
168;1 Inkomen uit arbeid;33;2001;75;12.2;873.0;11.6;4.5
169;1 Inkomen uit arbeid;33;2002;86;13.8;973.0;11.3;4.7
170;1 Inkomen uit arbeid;33;2003;93;14.5;1090.0;11.8;5.0
171;1 Inkomen uit arbeid;33;2004;100;15.4;1267.0;12.6;5.5
172;1 Inkomen uit arbeid;33;2005;106;15.9;1358.0;12.8;5.6
173;1 Inkomen uit arbeid;33;2006;110;16.0;1368.0;12.4;5.3
174;1 Inkomen uit arbeid;33;2007;118;16.7;1550.0;13.1;5.4
175;1 Inkomen uit arbeid;33;2008;136;18.6;2013.0;14.8;6.6
176;1 Inkomen uit arbeid;33;2009;147;19.4;2323.0;15.8;7.1
177;1 Inkomen uit arbeid;33;2010;151;19.4;2391.0;15.8;7.1
178;1 Inkomen uit arbeid;33;2011;172;20.8;2844.0;16.5;7.7
179;1 Inkomen uit arbeid;33;2012;186;21.6;2984.0;16.1;7.6
180;1 Inkomen uit arbeid;33;2013;237;24.8;5341.0;22.5;11.7
181;1 Inkomen uit arbeid;33;2014;194;21.3;3471.0;17.9;7.9
182;1 Inkomen uit arbeid;34;2001;1259;93.9;70073.0;55.7;88.8
183;1 Inkomen uit arbeid;34;2002;1266;94.0;74216.0;58.6;90.2
184;1 Inkomen uit arbeid;34;2003;1264;93.8;76989.0;60.9;91.0
185;1 Inkomen uit arbeid;34;2004;1261;93.7;80009.0;63.4;90.2
186;1 Inkomen uit arbeid;34;2005;1260;93.8;83009.0;65.9;90.7
187;1 Inkomen uit arbeid;34;2006;1257;94.3;87142.0;69.3;91.2
188;1 Inkomen uit arbeid;34;2007;1265;94.9;90813.0;71.8;89.4
189;1 Inkomen uit arbeid;34;2008;1258;94.9;93963.0;74.7;90.4
190;1 Inkomen uit arbeid;34;2009;1254;94.9;95674.0;76.3;91.5
191;1 Inkomen uit arbeid;34;2010;1273;94.7;98863.0;77.6;91.0
192;1 Inkomen uit arbeid;34;2011;1272;94.8;101783.0;80.0;91.6
193;1 Inkomen uit arbeid;34;2012;1258;94.5;102709.0;81.7;91.2
194;1 Inkomen uit arbeid;34;2013;1248;94.4;102978.0;82.5;90.6
195;1 Inkomen uit arbeid;34;2014;1229;94.1;103099.0;83.9;88.5
196;1 Inkomen uit arbeid;35;2001;627;97.2;39714.0;63.3;81.3
197;1 Inkomen uit arbeid;35;2002;618;97.3;41283.0;66.8;82.5
198;1 Inkomen uit arbeid;35;2003;609;97.3;41879.0;68.8;83.8
199;1 Inkomen uit arbeid;35;2004;607;97.3;42569.0;70.2;82.2
200;1 Inkomen uit arbeid;35;2005;589;96.9;41533.0;70.5;81.0
201;1 Inkomen uit arbeid;35;2006;585;97.3;43001.0;73.5;82.2
202;1 Inkomen uit arbeid;35;2007;579;97.6;44015.0;76.0;80.7
203;1 Inkomen uit arbeid;35;2008;589;97.7;46734.0;79.4;82.2
204;1 Inkomen uit arbeid;35;2009;583;97.6;46853.0;80.3;83.4
205;1 Inkomen uit arbeid;35;2010;629;97.1;50317.0;80.0;82.3
206;1 Inkomen uit arbeid;35;2011;629;96.9;51994.0;82.6;82.7
207;1 Inkomen uit arbeid;35;2012;638;96.9;53204.0;83.4;83.2
208;1 Inkomen uit arbeid;35;2013;640;96.6;53433.0;83.5;82.2
209;1 Inkomen uit arbeid;35;2014;648;96.6;54359.0;83.9;80.3
210;1 Inkomen uit arbeid;36;2001;322;78.9;8920.0;27.7;63.0
211;1 Inkomen uit arbeid;36;2002;332;78.3;9471.0;28.5;61.9
212;1 Inkomen uit arbeid;36;2003;340;77.9;9980.0;29.3;63.5
213;1 Inkomen uit arbeid;36;2004;338;77.1;10081.0;29.8;62.6
214;1 Inkomen uit arbeid;36;2005;338;77.3;10334.0;30.6;63.6
215;1 Inkomen uit arbeid;36;2006;356;80.0;11221.0;31.5;66.5
216;1 Inkomen uit arbeid;36;2007;365;81.2;11987.0;32.9;67.2
217;1 Inkomen uit arbeid;36;2008;386;83.3;12999.0;33.7;67.7
218;1 Inkomen uit arbeid;36;2009;393;82.7;13979.0;35.6;69.5
219;1 Inkomen uit arbeid;36;2010;388;81.7;13838.0;35.7;67.9
220;1 Inkomen uit arbeid;36;2011;400;81.0;14470.0;36.2;67.4
221;1 Inkomen uit arbeid;36;2012;398;79.4;14686.0;36.9;67.5
222;1 Inkomen uit arbeid;36;2013;402;78.0;15210.0;37.9;66.4
223;1 Inkomen uit arbeid;36;2014;412;78.4;15659.0;38.0;65.8
224;1 Inkomen uit arbeid;37;2001;162;70.2;3364.0;20.8;58.0
225;1 Inkomen uit arbeid;37;2002;165;69.3;3490.0;21.2;56.9
226;1 Inkomen uit arbeid;37;2003;164;67.8;3738.0;22.7;58.5
227;1 Inkomen uit arbeid;37;2004;166;67.4;3957.0;23.9;59.1
228;1 Inkomen uit arbeid;37;2005;169;68.3;4188.0;24.8;60.4
229;1 Inkomen uit arbeid;37;2006;179;71.8;4654.0;26.0;64.3
230;1 Inkomen uit arbeid;37;2007;190;74.4;5217.0;27.5;66.6
231;1 Inkomen uit arbeid;37;2008;202;77.5;5622.0;27.8;67.0
232;1 Inkomen uit arbeid;37;2009;204;76.4;6313.0;31.0;70.0
233;1 Inkomen uit arbeid;37;2010;197;76.0;6162.0;31.3;69.4
234;1 Inkomen uit arbeid;37;2011;200;74.4;6290.0;31.4;67.7
235;1 Inkomen uit arbeid;37;2012;202;73.0;6530.0;32.3;67.6
236;1 Inkomen uit arbeid;37;2013;200;71.3;6763.0;33.8;67.1
237;1 Inkomen uit arbeid;37;2014;202;71.3;6880.0;34.0;65.9
238;1 Inkomen uit arbeid;38;2001;161;90.2;5556.0;34.5;66.5
239;1 Inkomen uit arbeid;38;2002;168;89.6;5981.0;35.7;65.3
240;1 Inkomen uit arbeid;38;2003;176;90.4;6242.0;35.5;67.0
241;1 Inkomen uit arbeid;38;2004;172;89.4;6124.0;35.6;65.1
242;1 Inkomen uit arbeid;38;2005;169;89.0;6146.0;36.3;66.1
243;1 Inkomen uit arbeid;38;2006;177;90.6;6567.0;37.1;68.2
244;1 Inkomen uit arbeid;38;2007;175;90.1;6770.0;38.6;67.7
245;1 Inkomen uit arbeid;38;2008;183;90.8;7378.0;40.2;68.2
246;1 Inkomen uit arbeid;38;2009;189;90.7;7667.0;40.6;69.1
247;1 Inkomen uit arbeid;38;2010;191;88.6;7676.0;40.2;66.8
248;1 Inkomen uit arbeid;38;2011;199;89.0;8181.0;41.0;67.2
249;1 Inkomen uit arbeid;38;2012;196;87.2;8156.0;41.5;67.3
250;1 Inkomen uit arbeid;38;2013;202;86.1;8447.0;41.8;65.9
251;1 Inkomen uit arbeid;38;2014;210;86.7;8778.0;41.8;65.8
252;1 Inkomen uit arbeid;39;2001;170;86.2;8192.0;48.1;69.6
253;1 Inkomen uit arbeid;39;2002;176;86.5;8908.0;50.6;71.0
254;1 Inkomen uit arbeid;39;2003;179;86.1;9237.0;51.7;71.4
255;1 Inkomen uit arbeid;39;2004;183;85.8;9654.0;52.9;70.8
256;1 Inkomen uit arbeid;39;2005;189;86.7;10215.0;54.0;70.4
257;1 Inkomen uit arbeid;39;2006;195;87.7;10976.0;56.3;72.9
258;1 Inkomen uit arbeid;39;2007;196;88.1;11577.0;59.1;72.4
259;1 Inkomen uit arbeid;39;2008;194;88.1;11859.0;61.0;73.1
260;1 Inkomen uit arbeid;39;2009;201;88.3;12271.0;61.1;73.2
261;1 Inkomen uit arbeid;39;2010;122;88.1;7480.0;61.1;69.4
262;1 Inkomen uit arbeid;39;2011;121;87.8;7460.0;61.8;70.0
263;1 Inkomen uit arbeid;39;2012;120;88.0;7472.0;62.2;70.1
264;1 Inkomen uit arbeid;39;2013;113;87.3;7145.0;63.0;69.9
265;1 Inkomen uit arbeid;39;2014;118;87.8;7640.0;64.9;69.3
266;1 Inkomen uit arbeid;42;2001;233;15.3;5693.0;24.4;13.0
267;1 Inkomen uit arbeid;42;2002;249;16.1;6066.0;24.4;13.1
268;1 Inkomen uit arbeid;42;2003;256;16.3;6327.0;24.7;13.0
269;1 Inkomen uit arbeid;42;2004;266;16.7;6617.0;24.9;13.1
270;1 Inkomen uit arbeid;42;2005;274;16.8;6993.0;25.5;13.2
271;1 Inkomen uit arbeid;42;2006;277;16.7;7150.0;25.8;12.8
272;1 Inkomen uit arbeid;42;2007;293;17.4;7600.0;25.9;12.6
273;1 Inkomen uit arbeid;42;2008;318;18.4;8403.0;26.4;13.2
274;1 Inkomen uit arbeid;42;2009;332;18.7;8944.0;26.9;13.4
275;1 Inkomen uit arbeid;42;2010;343;19.0;9448.0;27.6;13.7
276;1 Inkomen uit arbeid;42;2011;381;20.1;10724.0;28.1;14.5
277;1 Inkomen uit arbeid;42;2012;404;20.6;11094.0;27.5;14.2
278;1 Inkomen uit arbeid;42;2013;409;20.5;11439.0;28.0;14.2
279;1 Inkomen uit arbeid;42;2014;417;20.3;12246.0;29.3;14.3
280;1 Inkomen uit arbeid;43;2001;26;3.6;186.0;7.2;1.3
281;1 Inkomen uit arbeid;43;2002;28;3.8;205.0;7.3;1.3
282;1 Inkomen uit arbeid;43;2003;28;3.8;198.0;7.1;1.2
283;1 Inkomen uit arbeid;43;2004;31;4.1;230.0;7.5;1.4
284;1 Inkomen uit arbeid;43;2005;34;4.5;369.0;10.8;2.1
285;1 Inkomen uit arbeid;43;2006;31;4.1;287.0;9.1;1.6
286;1 Inkomen uit arbeid;43;2007;36;4.6;338.0;9.3;1.8
287;1 Inkomen uit arbeid;43;2008;38;4.7;396.0;10.4;2.0
288;1 Inkomen uit arbeid;43;2009;40;4.9;406.0;10.1;2.0
289;1 Inkomen uit arbeid;43;2010;41;5.0;389.0;9.4;1.9
290;1 Inkomen uit arbeid;43;2011;47;5.5;489.0;10.5;2.3
291;1 Inkomen uit arbeid;43;2012;51;5.8;430.0;8.5;1.9
292;1 Inkomen uit arbeid;43;2013;50;5.6;518.0;10.4;2.2
293;1 Inkomen uit arbeid;43;2014;49;5.4;493.0;10.2;2.0
294;1 Inkomen uit arbeid;44;2001;10;6.2;;;2.4
295;1 Inkomen uit arbeid;44;2002;10;6.1;;;2.8
296;1 Inkomen uit arbeid;44;2003;11;6.8;;;2.6
297;1 Inkomen uit arbeid;44;2004;13;7.7;;;3.1
298;1 Inkomen uit arbeid;44;2005;14;7.6;;;3.6
299;1 Inkomen uit arbeid;44;2006;14;7.7;;;3.2
300;1 Inkomen uit arbeid;44;2007;17;8.6;;;3.5
301;1 Inkomen uit arbeid;44;2008;18;9.3;;;4.4
302;1 Inkomen uit arbeid;44;2009;19;8.9;;;3.8
303;1 Inkomen uit arbeid;44;2010;18;8.4;;;3.7
304;1 Inkomen uit arbeid;44;2011;20;8.9;259.0;13.3;4.1
305;1 Inkomen uit arbeid;44;2012;22;9.2;230.0;10.6;3.4
306;1 Inkomen uit arbeid;44;2013;22;8.9;286.0;13.3;4.0
307;1 Inkomen uit arbeid;44;2014;22;8.8;308.0;13.8;3.9
308;1 Inkomen uit arbeid;45;2001;16;2.9;;;1.0
309;1 Inkomen uit arbeid;45;2002;18;3.1;;;0.8
310;1 Inkomen uit arbeid;45;2003;17;2.9;;;0.8
311;1 Inkomen uit arbeid;45;2004;17;3.0;;;0.8
312;1 Inkomen uit arbeid;45;2005;20;3.5;204.0;10.0;1.6
313;1 Inkomen uit arbeid;45;2006;17;2.9;;;1.0
314;1 Inkomen uit arbeid;45;2007;20;3.3;;;1.2
315;1 Inkomen uit arbeid;45;2008;19;3.2;;;1.0
316;1 Inkomen uit arbeid;45;2009;22;3.5;178.0;8.3;1.2
317;1 Inkomen uit arbeid;45;2010;24;3.9;169.0;7.2;1.2
318;1 Inkomen uit arbeid;45;2011;27;4.3;229.0;8.5;1.5
319;1 Inkomen uit arbeid;45;2012;29;4.6;200.0;6.8;1.3
320;1 Inkomen uit arbeid;45;2013;28;4.4;232.0;8.3;1.5
321;1 Inkomen uit arbeid;45;2014;26;4.0;186.0;7.1;1.1
322;1 Inkomen uit arbeid;46;2001;94;14.3;1416.0;15.1;6.7
323;1 Inkomen uit arbeid;46;2002;105;15.9;1577.0;15.0;7.0
324;1 Inkomen uit arbeid;46;2003;114;16.8;1858.0;16.3;7.8
325;1 Inkomen uit arbeid;46;2004;122;17.5;1982.0;16.2;7.9
326;1 Inkomen uit arbeid;46;2005;131;18.2;2258.0;17.3;8.4
327;1 Inkomen uit arbeid;46;2006;135;18.3;2311.0;17.2;8.1
328;1 Inkomen uit arbeid;46;2007;146;19.3;2607.0;17.8;8.2
329;1 Inkomen uit arbeid;46;2008;164;21.1;3059.0;18.6;9.1
330;1 Inkomen uit arbeid;46;2009;179;22.1;3578.0;20.0;10.0
331;1 Inkomen uit arbeid;46;2010;184;22.0;3729.0;20.3;10.0
332;1 Inkomen uit arbeid;46;2011;210;23.6;4465.0;21.3;10.9
333;1 Inkomen uit arbeid;46;2012;229;24.7;4888.0;21.4;11.2
334;1 Inkomen uit arbeid;46;2013;237;24.8;5341.0;22.5;11.7
335;1 Inkomen uit arbeid;46;2014;245;24.9;6023.0;24.6;12.3
336;1 Inkomen uit arbeid;47;2001;40;8.4;374.0;9.3;2.6
337;1 Inkomen uit arbeid;47;2002;48;9.9;424.0;8.8;2.7
338;1 Inkomen uit arbeid;47;2003;55;11.0;489.0;9.0;3.0
339;1 Inkomen uit arbeid;47;2004;59;11.5;580.0;9.9;3.4
340;1 Inkomen uit arbeid;47;2005;62;11.9;632.0;10.1;3.5
341;1 Inkomen uit arbeid;47;2006;64;11.8;654.0;10.3;3.3
342;1 Inkomen uit arbeid;47;2007;69;12.4;755.0;11.0;3.5
343;1 Inkomen uit arbeid;47;2008;80;13.9;925.0;11.6;4.0
344;1 Inkomen uit arbeid;47;2009;87;14.6;1020.0;11.8;4.1
345;1 Inkomen uit arbeid;47;2010;88;14.3;1098.0;12.5;4.3
346;1 Inkomen uit arbeid;47;2011;101;15.5;1227.0;12.1;4.4
347;1 Inkomen uit arbeid;47;2012;114;16.5;1312.0;11.5;4.3
348;1 Inkomen uit arbeid;47;2013;117;16.3;1346.0;11.5;4.3
349;1 Inkomen uit arbeid;47;2014;118;15.9;1542.0;13.1;4.5
