ID;Ingenieursdiensten;Perioden;Prijsindexcijfers_1;Kwartaalmutatie_2;Jaarmutatie_3;Wegingsfactoren_4
68;Technische installaties & Telematica;2006 1e kwartaal;     109;     1  ;       2;52
69;Technische installaties & Telematica;2006 2e kwartaal;     111;     2  ;       2;52
70;Technische installaties & Telematica;2006 3e kwartaal;     110;    -1  ;       3;52
71;Technische installaties & Telematica;2006 4e kwartaal;     111;     1  ;       3;52
72;Technische installaties & Telematica;2006 jaargemiddelde;     110;        ;       2;52
73;Technische installaties & Telematica;2007 1e kwartaal;     113;     2  ;       4;52
74;Technische installaties & Telematica;2007 2e kwartaal;     114;     1  ;       3;52
75;Technische installaties & Telematica;2007 3e kwartaal;     116;     2  ;       5;52
76;Technische installaties & Telematica;2007 4e kwartaal;     115;    -1  ;       4;52
77;Technische installaties & Telematica;2007 jaargemiddelde;     115;        ;       5;52
78;Overige ingenieursdiensten;2002 4e kwartaal;     100;        ;        ;35
79;Overige ingenieursdiensten;2003 1e kwartaal;     100;     0  ;        ;35
80;Overige ingenieursdiensten;2003 2e kwartaal;     104;     4  ;        ;35
81;Overige ingenieursdiensten;2003 3e kwartaal;     105;     1  ;        ;35
82;Overige ingenieursdiensten;2003 4e kwartaal;     104;    -1  ;       4;35
83;Overige ingenieursdiensten;2003 jaargemiddelde;     103;        ;        ;35
84;Overige ingenieursdiensten;2004 1e kwartaal;     106;     2  ;       6;35
85;Overige ingenieursdiensten;2004 2e kwartaal;     108;     2  ;       4;35
86;Overige ingenieursdiensten;2004 3e kwartaal;     106;    -2  ;       1;35
87;Overige ingenieursdiensten;2004 4e kwartaal;     109;     3  ;       5;36
88;Overige ingenieursdiensten;2004 jaargemiddelde;     107;        ;       4;35
89;Overige ingenieursdiensten;2005 1e kwartaal;     108;    -1  ;       2;35
90;Overige ingenieursdiensten;2005 2e kwartaal;     109;     1  ;       1;35
91;Overige ingenieursdiensten;2005 3e kwartaal;     107;    -2  ;       1;35
92;Overige ingenieursdiensten;2005 4e kwartaal;     108;     1  ;      -1;35
93;Overige ingenieursdiensten;2005 jaargemiddelde;     108;        ;       1;35
94;Overige ingenieursdiensten;2006 1e kwartaal;     108;     0  ;       0;35
95;Overige ingenieursdiensten;2006 2e kwartaal;     107;    -1  ;      -2;35
96;Overige ingenieursdiensten;2006 3e kwartaal;     109;     2  ;       2;35
97;Overige ingenieursdiensten;2006 4e kwartaal;     110;     1  ;       2;35
98;Overige ingenieursdiensten;2006 jaargemiddelde;     109;        ;       0;35
99;Overige ingenieursdiensten;2007 1e kwartaal;     111;     1  ;       3;35
100;Overige ingenieursdiensten;2007 2e kwartaal;     113;     2  ;       6;35
101;Overige ingenieursdiensten;2007 3e kwartaal;     112;    -1  ;       3;35
102;Overige ingenieursdiensten;2007 4e kwartaal;     110;    -2  ;       0;35
103;Overige ingenieursdiensten;2007 jaargemiddelde;     112;        ;       3;35
