ID;AantalInBuitenlandGeborenGrootouders;OnderBovengrens;Perioden;DerdeGeneratieNietWesters_1;DerdeGeneratieTurken_2;DerdeGeneratieMarokkanen_3;DerdeGeneratieSurinamers_4;DerdeGeneratieAntillianenArubanen_5
26;Twee of meer grootouders;Ondergrens;2000;5287;672;253;3150;321
27;Twee of meer grootouders;Ondergrens;2001;6488;914;348;3799;388
28;Twee of meer grootouders;Ondergrens;2002;7909;1179;494;4538;493
29;Twee of meer grootouders;Ondergrens;2003;9509;1529;651;5364;588
30;Twee of meer grootouders;Ondergrens;2004;11366;1951;860;6264;695
31;Twee of meer grootouders;Ondergrens;2005;13463;2417;1140;7236;828
32;Twee of meer grootouders;Ondergrens;2006;15813;2958;1477;8318;960
33;Twee of meer grootouders;Ondergrens;2007;18682;3612;1906;9574;1138
34;Twee of meer grootouders;Ondergrens;2008;22049;4453;2472;10947;1331
35;Twee of meer grootouders;Ondergrens;2009;25973;5433;3131;12512;1557
36;Twee of meer grootouders;Ondergrens;2010;30462;6551;3982;14254;1822
37;Twee of meer grootouders;Ondergrens;2011;35549;7841;4971;16188;2142
38;Twee of meer grootouders;Ondergrens;2012;40925;9231;6106;18077;2470
39;Twee of meer grootouders;Bovengrens;2000;9055;784;329;5269;1712
40;Twee of meer grootouders;Bovengrens;2001;10575;1031;439;6138;1911
41;Twee of meer grootouders;Bovengrens;2002;12376;1308;597;7097;2163
42;Twee of meer grootouders;Bovengrens;2003;14375;1675;766;8168;2399
43;Twee of meer grootouders;Bovengrens;2004;16657;2137;997;9358;2662
44;Twee of meer grootouders;Bovengrens;2005;19156;2620;1307;10601;2971
45;Twee of meer grootouders;Bovengrens;2006;21899;3196;1669;11907;3290
46;Twee of meer grootouders;Bovengrens;2007;25342;3885;2126;13500;3719
47;Twee of meer grootouders;Bovengrens;2008;29343;4761;2734;15248;4155
48;Twee of meer grootouders;Bovengrens;2009;33903;5776;3427;17266;4664
49;Twee of meer grootouders;Bovengrens;2010;39066;6959;4313;19410;5156
50;Twee of meer grootouders;Bovengrens;2011;44897;8317;5343;21819;5818
51;Twee of meer grootouders;Bovengrens;2012;51105;9782;6546;24214;6440
52;Drie of vier grootouders;Ondergrens;2000;629;260;24;183;8
53;Drie of vier grootouders;Ondergrens;2001;831;347;36;249;7
54;Drie of vier grootouders;Ondergrens;2002;1158;479;60;369;7
55;Drie of vier grootouders;Ondergrens;2003;1540;655;91;480;8
56;Drie of vier grootouders;Ondergrens;2004;2050;874;151;610;15
57;Drie of vier grootouders;Ondergrens;2005;2663;1131;258;768;17
58;Drie of vier grootouders;Ondergrens;2006;3377;1409;369;943;18
59;Drie of vier grootouders;Ondergrens;2007;4386;1811;567;1174;22
60;Drie of vier grootouders;Ondergrens;2008;5587;2276;794;1489;29
61;Drie of vier grootouders;Ondergrens;2009;7049;2850;1070;1846;35
62;Drie of vier grootouders;Ondergrens;2010;8894;3498;1470;2307;46
63;Drie of vier grootouders;Ondergrens;2011;11081;4318;1966;2812;68
64;Drie of vier grootouders;Ondergrens;2012;13533;5214;2598;3310;91
65;Drie of vier grootouders;Bovengrens;2000;5788;560;210;3273;1034
66;Drie of vier grootouders;Bovengrens;2001;6729;722;270;3809;1150
67;Drie of vier grootouders;Bovengrens;2002;7838;898;359;4383;1297
68;Drie of vier grootouders;Bovengrens;2003;9069;1142;428;5026;1438
69;Drie of vier grootouders;Bovengrens;2004;10481;1432;564;5738;1566
70;Drie of vier grootouders;Bovengrens;2005;12025;1758;741;6509;1732
71;Drie of vier grootouders;Bovengrens;2006;13626;2124;930;7211;1875
72;Drie of vier grootouders;Bovengrens;2007;15812;2611;1188;8170;2096
73;Drie of vier grootouders;Bovengrens;2008;18307;3202;1564;9200;2311
74;Drie of vier grootouders;Bovengrens;2009;21089;3863;1957;10390;2555
75;Drie of vier grootouders;Bovengrens;2010;24206;4625;2464;11584;2776
76;Drie of vier grootouders;Bovengrens;2011;27836;5570;3095;12952;3098
77;Drie of vier grootouders;Bovengrens;2012;31736;6595;3841;14308;3403
78;Vier grootouders;Ondergrens;2000;488;243;20;114;3
79;Vier grootouders;Ondergrens;2001;650;328;30;158;2
80;Vier grootouders;Ondergrens;2002;916;453;52;245;2
81;Vier grootouders;Ondergrens;2003;1251;626;79;330;3
82;Vier grootouders;Ondergrens;2004;1687;839;133;435;3
83;Vier grootouders;Ondergrens;2005;2202;1086;234;539;2
84;Vier grootouders;Ondergrens;2006;2815;1354;330;680;3
85;Vier grootouders;Ondergrens;2007;3684;1749;507;840;3
86;Vier grootouders;Ondergrens;2008;4721;2199;707;1085;4
87;Vier grootouders;Ondergrens;2009;5995;2748;966;1365;5
88;Vier grootouders;Ondergrens;2010;7589;3372;1338;1712;13
89;Vier grootouders;Ondergrens;2011;9518;4166;1789;2096;20
90;Vier grootouders;Ondergrens;2012;11669;5029;2375;2486;32
91;Vier grootouders;Bovengrens;2000;3477;459;142;2153;557
92;Vier grootouders;Bovengrens;2001;4173;620;188;2531;629
93;Vier grootouders;Bovengrens;2002;4990;785;267;2969;724
94;Vier grootouders;Bovengrens;2003;5931;1018;325;3466;812
95;Vier grootouders;Bovengrens;2004;7030;1273;439;4002;901
96;Vier grootouders;Bovengrens;2005;8256;1586;587;4585;1012
97;Vier grootouders;Bovengrens;2006;9607;1925;745;5186;1116
98;Vier grootouders;Bovengrens;2007;11387;2392;965;5961;1242
99;Vier grootouders;Bovengrens;2008;13420;2960;1286;6756;1386
100;Vier grootouders;Bovengrens;2009;15770;3592;1644;7688;1540
101;Vier grootouders;Bovengrens;2010;18384;4304;2107;8606;1723
102;Vier grootouders;Bovengrens;2011;21492;5199;2676;9693;1943
103;Vier grootouders;Bovengrens;2012;24784;6169;3338;10767;2184
