ID;FarmAnimals;Periods;Livestock_1
92;Young cattle for milk, >= 2 years, fem.;2022 April;67
93;Young cattle for milk, >= 2 years, fem.;2022 December;71
94;Young cattle for milk, >= 2 years, fem.;2023 April;70
95;Young cattle for milk, >= 2 years, fem.;2023 December;76
96;Young cattle for milk, >= 2 years, fem.;2024 April;70
97;Young cattle for milk, >= 2 years, fem.;2024 December;72
98;Dairy cows (>= 2 years);2018 April;1622
99;Dairy cows (>= 2 years);2018 December;1552
100;Dairy cows (>= 2 years);2019 April;1578
101;Dairy cows (>= 2 years);2019 December;1590
102;Dairy cows (>= 2 years);2020 April;1593
103;Dairy cows (>= 2 years);2020 December;1569
104;Dairy cows (>= 2 years);2021 April;1571
105;Dairy cows (>= 2 years);2021 December;1554
106;Dairy cows (>= 2 years);2022 April;1571
107;Dairy cows (>= 2 years);2022 December;1570
108;Dairy cows (>= 2 years);2023 April;1574
109;Dairy cows (>= 2 years);2023 December;1552
110;Dairy cows (>= 2 years);2024 April;1544
111;Dairy cows (>= 2 years);2024 December;1521
112;Veal calves (total);2018 April;995
113;Veal calves (total);2018 December;988
114;Veal calves (total);2019 April;1005
115;Veal calves (total);2019 December;978
116;Veal calves (total);2020 April;1000
117;Veal calves (total);2020 December;939
118;Veal calves (total);2021 April;958
119;Veal calves (total);2021 December;960
120;Veal calves (total);2022 April;974
121;Veal calves (total);2022 December;953
122;Veal calves (total);2023 April;927
123;Veal calves (total);2023 December;957
124;Veal calves (total);2024 April;925
125;Veal calves (total);2024 December;858
126;Calves for rosé meat (< 1 year);2018 April;366
127;Calves for rosé meat (< 1 year);2018 December;355
128;Calves for rosé meat (< 1 year);2019 April;373
129;Calves for rosé meat (< 1 year);2019 December;364
130;Calves for rosé meat (< 1 year);2020 April;371
131;Calves for rosé meat (< 1 year);2020 December;325
132;Calves for rosé meat (< 1 year);2021 April;339
133;Calves for rosé meat (< 1 year);2021 December;328
134;Calves for rosé meat (< 1 year);2022 April;351
135;Calves for rosé meat (< 1 year);2022 December;339
136;Calves for rosé meat (< 1 year);2023 April;336
137;Calves for rosé meat (< 1 year);2023 December;331
138;Calves for rosé meat (< 1 year);2024 April;324
139;Calves for rosé meat (< 1 year);2024 December;312
140;Calves for white meat (< 1 year);2018 April;629
141;Calves for white meat (< 1 year);2018 December;633
142;Calves for white meat (< 1 year);2019 April;632
143;Calves for white meat (< 1 year);2019 December;614
144;Calves for white meat (< 1 year);2020 April;628
145;Calves for white meat (< 1 year);2020 December;614
146;Calves for white meat (< 1 year);2021 April;619
147;Calves for white meat (< 1 year);2021 December;632
148;Calves for white meat (< 1 year);2022 April;623
149;Calves for white meat (< 1 year);2022 December;614
150;Calves for white meat (< 1 year);2023 April;591
151;Calves for white meat (< 1 year);2023 December;626
152;Calves for white meat (< 1 year);2024 April;601
153;Calves for white meat (< 1 year);2024 December;547
154;Young cattle for meat (total);2018 April;170
155;Young cattle for meat (total);2018 December;144
156;Young cattle for meat (total);2019 April;166
157;Young cattle for meat (total);2019 December;143
158;Young cattle for meat (total);2020 April;166
159;Young cattle for meat (total);2020 December;144
160;Young cattle for meat (total);2021 April;168
161;Young cattle for meat (total);2021 December;150
162;Young cattle for meat (total);2022 April;174
163;Young cattle for meat (total);2022 December;166
164;Young cattle for meat (total);2023 April;191
165;Young cattle for meat (total);2023 December;171
166;Young cattle for meat (total);2024 April;192
167;Young cattle for meat (total);2024 December;167
168;Young cattle for meat < 1 year, female;2018 April;31
169;Young cattle for meat < 1 year, female;2018 December;22
170;Young cattle for meat < 1 year, female;2019 April;31
171;Young cattle for meat < 1 year, female;2019 December;23
172;Young cattle for meat < 1 year, female;2020 April;32
173;Young cattle for meat < 1 year, female;2020 December;24
174;Young cattle for meat < 1 year, female;2021 April;32
175;Young cattle for meat < 1 year, female;2021 December;26
176;Young cattle for meat < 1 year, female;2022 April;35
177;Young cattle for meat < 1 year, female;2022 December;31
178;Young cattle for meat < 1 year, female;2023 April;39
179;Young cattle for meat < 1 year, female;2023 December;32
180;Young cattle for meat < 1 year, female;2024 April;42
181;Young cattle for meat < 1 year, female;2024 December;34
182;Young cattle for meat < 1 year, male;2018 April;51
183;Young cattle for meat < 1 year, male;2018 December;46
184;Young cattle for meat < 1 year, male;2019 April;47
185;Young cattle for meat < 1 year, male;2019 December;41
186;Young cattle for meat < 1 year, male;2020 April;46
187;Young cattle for meat < 1 year, male;2020 December;39
188;Young cattle for meat < 1 year, male;2021 April;42
189;Young cattle for meat < 1 year, male;2021 December;35
190;Young cattle for meat < 1 year, male;2022 April;44
191;Young cattle for meat < 1 year, male;2022 December;39
192;Young cattle for meat < 1 year, male;2023 April;44
193;Young cattle for meat < 1 year, male;2023 December;38
194;Young cattle for meat < 1 year, male;2024 April;43
195;Young cattle for meat < 1 year, male;2024 December;37
196;Young cattle for meat 1-2 years, female;2018 April;27
197;Young cattle for meat 1-2 years, female;2018 December;21
198;Young cattle for meat 1-2 years, female;2019 April;27
199;Young cattle for meat 1-2 years, female;2019 December;22
200;Young cattle for meat 1-2 years, female;2020 April;28
201;Young cattle for meat 1-2 years, female;2020 December;26
202;Young cattle for meat 1-2 years, female;2021 April;32
203;Young cattle for meat 1-2 years, female;2021 December;28
204;Young cattle for meat 1-2 years, female;2022 April;33
205;Young cattle for meat 1-2 years, female;2022 December;36
206;Young cattle for meat 1-2 years, female;2023 April;42
207;Young cattle for meat 1-2 years, female;2023 December;39
208;Young cattle for meat 1-2 years, female;2024 April;43
209;Young cattle for meat 1-2 years, female;2024 December;38
210;Young cattle for meat 1-2 years, male;2018 April;37
211;Young cattle for meat 1-2 years, male;2018 December;35
212;Young cattle for meat 1-2 years, male;2019 April;36
213;Young cattle for meat 1-2 years, male;2019 December;37
214;Young cattle for meat 1-2 years, male;2020 April;36
215;Young cattle for meat 1-2 years, male;2020 December;35
216;Young cattle for meat 1-2 years, male;2021 April;38
217;Young cattle for meat 1-2 years, male;2021 December;38
218;Young cattle for meat 1-2 years, male;2022 April;39
219;Young cattle for meat 1-2 years, male;2022 December;39
220;Young cattle for meat 1-2 years, male;2023 April;40
221;Young cattle for meat 1-2 years, male;2023 December;38
222;Young cattle for meat 1-2 years, male;2024 April;36
223;Young cattle for meat 1-2 years, male;2024 December;33
224;Young cattle for meat >= 2 years, female;2018 April;24
225;Young cattle for meat >= 2 years, female;2018 December;20
226;Young cattle for meat >= 2 years, female;2019 April;25
227;Young cattle for meat >= 2 years, female;2019 December;21
228;Young cattle for meat >= 2 years, female;2020 April;24
229;Young cattle for meat >= 2 years, female;2020 December;21
230;Young cattle for meat >= 2 years, female;2021 April;23
231;Young cattle for meat >= 2 years, female;2021 December;21
232;Young cattle for meat >= 2 years, female;2022 April;23
233;Young cattle for meat >= 2 years, female;2022 December;22
234;Young cattle for meat >= 2 years, female;2023 April;25
235;Young cattle for meat >= 2 years, female;2023 December;25
236;Young cattle for meat >= 2 years, female;2024 April;27
237;Young cattle for meat >= 2 years, female;2024 December;25
238;Other cattle (total);2018 April;63
239;Other cattle (total);2018 December;42
240;Other cattle (total);2019 April;63
241;Other cattle (total);2019 December;43
242;Other cattle (total);2020 April;58
243;Other cattle (total);2020 December;43
244;Other cattle (total);2021 April;56
245;Other cattle (total);2021 December;45
246;Other cattle (total);2022 April;53
247;Other cattle (total);2022 December;44
248;Other cattle (total);2023 April;52
249;Other cattle (total);2023 December;45
250;Other cattle (total);2024 April;51
251;Other cattle (total);2024 December;43
252;Bulls (>= 2 years) (total);2018 April;15
253;Bulls (>= 2 years) (total);2018 December;13
254;Bulls (>= 2 years) (total);2019 April;14
255;Bulls (>= 2 years) (total);2019 December;13
256;Bulls (>= 2 years) (total);2020 April;14
257;Bulls (>= 2 years) (total);2020 December;11
258;Bulls (>= 2 years) (total);2021 April;13
259;Bulls (>= 2 years) (total);2021 December;12
260;Bulls (>= 2 years) (total);2022 April;12
261;Bulls (>= 2 years) (total);2022 December;12
262;Bulls (>= 2 years) (total);2023 April;14
263;Bulls (>= 2 years) (total);2023 December;13
264;Bulls (>= 2 years) (total);2024 April;15
265;Bulls (>= 2 years) (total);2024 December;13
266;Sheep (total);2018 April;866
267;Sheep (total);2018 December;743
268;Sheep (total);2019 April;918
269;Sheep (total);2019 December;758
270;Sheep (total);2020 April;890
271;Sheep (total);2020 December;710
272;Sheep (total);2021 April;860
273;Sheep (total);2021 December;729
274;Sheep (total);2022 April;854
275;Sheep (total);2022 December;723
276;Sheep (total);2023 April;839
277;Sheep (total);2023 December;665
278;Sheep (total);2024 April;733
279;Sheep (total);2024 December;604
280;Sheep 0 to 7 months;2018 April;327
281;Sheep 0 to 7 months;2018 December;88
282;Sheep 0 to 7 months;2019 April;335
283;Sheep 0 to 7 months;2019 December;88
284;Sheep 0 to 7 months;2020 April;341
285;Sheep 0 to 7 months;2020 December;88
286;Sheep 0 to 7 months;2021 April;338
287;Sheep 0 to 7 months;2021 December;93
288;Sheep 0 to 7 months;2022 April;313
289;Sheep 0 to 7 months;2022 December;88
290;Sheep 0 to 7 months;2023 April;289
291;Sheep 0 to 7 months;2023 December;90
292;Sheep 0 to 7 months;2024 April;237
293;Sheep 0 to 7 months;2024 December;94
294;Sheep for milking 7 months to 1 year;2018 April;1
295;Sheep for milking 7 months to 1 year;2018 December;4
296;Sheep for milking 7 months to 1 year;2019 April;2
297;Sheep for milking 7 months to 1 year;2019 December;4
298;Sheep for milking 7 months to 1 year;2020 April;1
299;Sheep for milking 7 months to 1 year;2020 December;3
300;Sheep for milking 7 months to 1 year;2021 April;1
301;Sheep for milking 7 months to 1 year;2021 December;4
302;Sheep for milking 7 months to 1 year;2022 April;1
303;Sheep for milking 7 months to 1 year;2022 December;3
304;Sheep for milking 7 months to 1 year;2023 April;2
305;Sheep for milking 7 months to 1 year;2023 December;3
306;Sheep for milking 7 months to 1 year;2024 April;1
307;Sheep for milking 7 months to 1 year;2024 December;3
308;Sheep for milking older than 1 year;2018 April;11
309;Sheep for milking older than 1 year;2018 December;10
310;Sheep for milking older than 1 year;2019 April;14
311;Sheep for milking older than 1 year;2019 December;12
312;Sheep for milking older than 1 year;2020 April;14
313;Sheep for milking older than 1 year;2020 December;12
314;Sheep for milking older than 1 year;2021 April;14
315;Sheep for milking older than 1 year;2021 December;13
316;Sheep for milking older than 1 year;2022 April;13
317;Sheep for milking older than 1 year;2022 December;12
318;Sheep for milking older than 1 year;2023 April;14
319;Sheep for milking older than 1 year;2023 December;12
320;Sheep for milking older than 1 year;2024 April;11
321;Sheep for milking older than 1 year;2024 December;10
322;Other sheep 7 months to 1 year;2018 April;84
323;Other sheep 7 months to 1 year;2018 December;245
324;Other sheep 7 months to 1 year;2019 April;103
325;Other sheep 7 months to 1 year;2019 December;239
326;Other sheep 7 months to 1 year;2020 April;79
327;Other sheep 7 months to 1 year;2020 December;210
328;Other sheep 7 months to 1 year;2021 April;72
329;Other sheep 7 months to 1 year;2021 December;234
330;Other sheep 7 months to 1 year;2022 April;85
331;Other sheep 7 months to 1 year;2022 December;224
332;Other sheep 7 months to 1 year;2023 April;84
333;Other sheep 7 months to 1 year;2023 December;190
334;Other sheep 7 months to 1 year;2024 April;76
335;Other sheep 7 months to 1 year;2024 December;160
336;Other sheep older than 1 year;2018 April;421
337;Other sheep older than 1 year;2018 December;369
338;Other sheep older than 1 year;2019 April;437
339;Other sheep older than 1 year;2019 December;382
340;Other sheep older than 1 year;2020 April;432
341;Other sheep older than 1 year;2020 December;369
342;Other sheep older than 1 year;2021 April;413
343;Other sheep older than 1 year;2021 December;358
344;Other sheep older than 1 year;2022 April;419
345;Other sheep older than 1 year;2022 December;369
346;Other sheep older than 1 year;2023 April;425
347;Other sheep older than 1 year;2023 December;346
348;Other sheep older than 1 year;2024 April;386
349;Other sheep older than 1 year;2024 December;315
350;Rams >= 7 months;2018 April;22
351;Rams >= 7 months;2018 December;27
352;Rams >= 7 months;2019 April;27
353;Rams >= 7 months;2019 December;32
354;Rams >= 7 months;2020 April;24
355;Rams >= 7 months;2020 December;27
356;Rams >= 7 months;2021 April;22
357;Rams >= 7 months;2021 December;27
358;Rams >= 7 months;2022 April;23
359;Rams >= 7 months;2022 December;27
360;Rams >= 7 months;2023 April;25
361;Rams >= 7 months;2023 December;25
362;Rams >= 7 months;2024 April;20
363;Rams >= 7 months;2024 December;22
364;Goats (total);2018 April;588
365;Goats (total);2018 December;518
366;Goats (total);2019 April;615
367;Goats (total);2019 December;551
368;Goats (total);2020 April;633
369;Goats (total);2020 December;557
370;Goats (total);2021 April;643
371;Goats (total);2021 December;575
372;Goats (total);2022 April;645
373;Goats (total);2022 December;570
374;Goats (total);2023 April;647
375;Goats (total);2023 December;566
376;Goats (total);2024 April;631
377;Goats (total);2024 December;546
378;Goats 0 to 7 months;2018 April;137
379;Goats 0 to 7 months;2018 December;25
380;Goats 0 to 7 months;2019 April;133
381;Goats 0 to 7 months;2019 December;31
382;Goats 0 to 7 months;2020 April;132
383;Goats 0 to 7 months;2020 December;34
384;Goats 0 to 7 months;2021 April;137
385;Goats 0 to 7 months;2021 December;33
386;Goats 0 to 7 months;2022 April;133
387;Goats 0 to 7 months;2022 December;32
388;Goats 0 to 7 months;2023 April;134
389;Goats 0 to 7 months;2023 December;31
390;Goats 0 to 7 months;2024 April;133
391;Goats 0 to 7 months;2024 December;30
392;Dairy goats 7 months to 1 year;2018 April;45
393;Dairy goats 7 months to 1 year;2018 December;103
394;Dairy goats 7 months to 1 year;2019 April;37
395;Dairy goats 7 months to 1 year;2019 December;96
396;Dairy goats 7 months to 1 year;2020 April;35
397;Dairy goats 7 months to 1 year;2020 December;96
398;Dairy goats 7 months to 1 year;2021 April;32
399;Dairy goats 7 months to 1 year;2021 December;103
400;Dairy goats 7 months to 1 year;2022 April;33
401;Dairy goats 7 months to 1 year;2022 December;98
402;Dairy goats 7 months to 1 year;2023 April;32
403;Dairy goats 7 months to 1 year;2023 December;95
404;Dairy goats 7 months to 1 year;2024 April;29
405;Dairy goats 7 months to 1 year;2024 December;94
406;Dairy goats 1 year or older;2018 April;387
407;Dairy goats 1 year or older;2018 December;366
408;Dairy goats 1 year or older;2019 April;420
409;Dairy goats 1 year or older;2019 December;396
410;Dairy goats 1 year or older;2020 April;441
411;Dairy goats 1 year or older;2020 December;401
412;Dairy goats 1 year or older;2021 April;451
413;Dairy goats 1 year or older;2021 December;416
414;Dairy goats 1 year or older;2022 April;456
415;Dairy goats 1 year or older;2022 December;417
416;Dairy goats 1 year or older;2023 April;458
417;Dairy goats 1 year or older;2023 December;417
418;Dairy goats 1 year or older;2024 April;446
419;Dairy goats 1 year or older;2024 December;398
420;Other goats 7 months to 1 year;2018 April;2
421;Other goats 7 months to 1 year;2018 December;5
422;Other goats 7 months to 1 year;2019 April;2
423;Other goats 7 months to 1 year;2019 December;4
424;Other goats 7 months to 1 year;2020 April;2
425;Other goats 7 months to 1 year;2020 December;4
426;Other goats 7 months to 1 year;2021 April;1
427;Other goats 7 months to 1 year;2021 December;2
428;Other goats 7 months to 1 year;2022 April;2
429;Other goats 7 months to 1 year;2022 December;2
430;Other goats 7 months to 1 year;2023 April;1
431;Other goats 7 months to 1 year;2023 December;2
432;Other goats 7 months to 1 year;2024 April;1
433;Other goats 7 months to 1 year;2024 December;2
434;Other goats 1 year or older;2018 April;9
435;Other goats 1 year or older;2018 December;9
436;Other goats 1 year or older;2019 April;13
437;Other goats 1 year or older;2019 December;13
438;Other goats 1 year or older;2020 April;12
439;Other goats 1 year or older;2020 December;12
440;Other goats 1 year or older;2021 April;11
441;Other goats 1 year or older;2021 December;11
442;Other goats 1 year or older;2022 April;12
443;Other goats 1 year or older;2022 December;11
444;Other goats 1 year or older;2023 April;12
445;Other goats 1 year or older;2023 December;11
446;Other goats 1 year or older;2024 April;11
447;Other goats 1 year or older;2024 December;11
448;Male goats 7 months or older;2018 April;9
449;Male goats 7 months or older;2018 December;10
450;Male goats 7 months or older;2019 April;10
451;Male goats 7 months or older;2019 December;11
452;Male goats 7 months or older;2020 April;10
453;Male goats 7 months or older;2020 December;11
454;Male goats 7 months or older;2021 April;10
455;Male goats 7 months or older;2021 December;11
456;Male goats 7 months or older;2022 April;10
457;Male goats 7 months or older;2022 December;11
458;Male goats 7 months or older;2023 April;10
459;Male goats 7 months or older;2023 December;11
460;Male goats 7 months or older;2024 April;10
461;Male goats 7 months or older;2024 December;11
462;Chickens (total);2018 April;97792
463;Chickens (total);2018 December;94892
464;Chickens (total);2019 April;93963
465;Chickens (total);2019 December;92974
466;Chickens (total);2020 April;95153
467;Chickens (total);2020 December;87456
468;Chickens (total);2021 April;89508
469;Chickens (total);2021 December;89503
470;Chickens (total);2022 April;88372
471;Chickens (total);2022 December;83086
472;Chickens (total);2023 April;86274
473;Chickens (total);2023 December;82036
474;Chickens (total);2024 April;83285
475;Chickens (total);2024 December;82339
476;Laying hens (total);2018 April;45773
477;Laying hens (total);2018 December;43169
478;Laying hens (total);2019 April;42609
479;Laying hens (total);2019 December;41597
480;Laying hens (total);2020 April;42015
481;Laying hens (total);2020 December;42260
482;Laying hens (total);2021 April;42442
483;Laying hens (total);2021 December;41899
484;Laying hens (total);2022 April;41334
485;Laying hens (total);2022 December;40319
486;Laying hens (total);2023 April;41953
487;Laying hens (total);2023 December;39991
488;Laying hens (total);2024 April;39332
489;Laying hens (total);2024 December;37569
490;Laying hens for rearing;2018 April;11209
491;Laying hens for rearing;2018 December;10046
492;Laying hens for rearing;2019 April;9804
493;Laying hens for rearing;2019 December;9810
494;Laying hens for rearing;2020 April;10784
495;Laying hens for rearing;2020 December;9315
496;Laying hens for rearing;2021 April;10109
497;Laying hens for rearing;2021 December;8489
498;Laying hens for rearing;2022 April;9224
499;Laying hens for rearing;2022 December;8183
500;Laying hens for rearing;2023 April;9700
501;Laying hens for rearing;2023 December;8268
502;Laying hens for rearing;2024 April;8892
503;Laying hens for rearing;2024 December;6860
504;Laying hens for production (< 20 months);2018 April;30565
505;Laying hens for production (< 20 months);2018 December;30267
506;Laying hens for production (< 20 months);2019 April;29423
507;Laying hens for production (< 20 months);2019 December;29087
508;Laying hens for production (< 20 months);2020 April;28192
509;Laying hens for production (< 20 months);2020 December;31001
510;Laying hens for production (< 20 months);2021 April;29431
511;Laying hens for production (< 20 months);2021 December;30534
512;Laying hens for production (< 20 months);2022 April;28005
513;Laying hens for production (< 20 months);2022 December;28042
514;Laying hens for production (< 20 months);2023 April;26396
515;Laying hens for production (< 20 months);2023 December;27100
516;Laying hens for production (< 20 months);2024 April;25461
517;Laying hens for production (< 20 months);2024 December;26387
518;Laying hens for production (>=20 months);2018 April;3999
519;Laying hens for production (>=20 months);2018 December;2856
520;Laying hens for production (>=20 months);2019 April;3382
521;Laying hens for production (>=20 months);2019 December;2700
522;Laying hens for production (>=20 months);2020 April;3039
523;Laying hens for production (>=20 months);2020 December;1943
524;Laying hens for production (>=20 months);2021 April;2902
525;Laying hens for production (>=20 months);2021 December;2876
526;Laying hens for production (>=20 months);2022 April;4105
527;Laying hens for production (>=20 months);2022 December;4094
528;Laying hens for production (>=20 months);2023 April;5857
529;Laying hens for production (>=20 months);2023 December;4623
530;Laying hens for production (>=20 months);2024 April;4979
531;Laying hens for production (>=20 months);2024 December;4322
532;Breeding stock for laying hens (total);2018 April;1380
533;Breeding stock for laying hens (total);2018 December;1507
534;Breeding stock for laying hens (total);2019 April;1574
535;Breeding stock for laying hens (total);2019 December;1436
536;Breeding stock for laying hens (total);2020 April;1422
537;Breeding stock for laying hens (total);2020 December;1535
538;Breeding stock for laying hens (total);2021 April;1765
539;Breeding stock for laying hens (total);2021 December;1757
540;Breeding stock for laying hens (total);2022 April;1834
541;Breeding stock for laying hens (total);2022 December;1588
542;Breeding stock for laying hens (total);2023 April;1506
543;Breeding stock for laying hens (total);2023 December;1522
544;Breeding stock for laying hens (total);2024 April;1534
545;Breeding stock for laying hens (total);2024 December;1829
546;Breeding stock for laying hens, rearing;2018 April;330
547;Breeding stock for laying hens, rearing;2018 December;363
548;Breeding stock for laying hens, rearing;2019 April;382
549;Breeding stock for laying hens, rearing;2019 December;254
550;Breeding stock for laying hens, rearing;2020 April;289
551;Breeding stock for laying hens, rearing;2020 December;448
552;Breeding stock for laying hens, rearing;2021 April;485
553;Breeding stock for laying hens, rearing;2021 December;576
554;Breeding stock for laying hens, rearing;2022 April;476
555;Breeding stock for laying hens, rearing;2022 December;318
556;Breeding stock for laying hens, rearing;2023 April;332
557;Breeding stock for laying hens, rearing;2023 December;314
558;Breeding stock for laying hens, rearing;2024 April;364
559;Breeding stock for laying hens, rearing;2024 December;650
560;Breeding stock for laying hens prod.;2018 April;1050
561;Breeding stock for laying hens prod.;2018 December;1145
562;Breeding stock for laying hens prod.;2019 April;1192
563;Breeding stock for laying hens prod.;2019 December;1182
564;Breeding stock for laying hens prod.;2020 April;1133
565;Breeding stock for laying hens prod.;2020 December;1087
566;Breeding stock for laying hens prod.;2021 April;1280
567;Breeding stock for laying hens prod.;2021 December;1181
568;Breeding stock for laying hens prod.;2022 April;1358
569;Breeding stock for laying hens prod.;2022 December;1270
570;Breeding stock for laying hens prod.;2023 April;1174
571;Breeding stock for laying hens prod.;2023 December;1207
572;Breeding stock for laying hens prod.;2024 April;1170
573;Breeding stock for laying hens prod.;2024 December;1179
574;Broilers;2018 April;43188
575;Broilers;2018 December;42930
576;Broilers;2019 April;42617
577;Broilers;2019 December;42452
578;Broilers;2020 April;44325
579;Broilers;2020 December;36710
580;Broilers;2021 April;37928
581;Broilers;2021 December;38785
582;Broilers;2022 April;38160
583;Broilers;2022 December;34349
584;Broilers;2023 April;35961
585;Broilers;2023 December;33717
586;Broilers;2024 April;35660
587;Broilers;2024 December;36373
588;Breeding stock for broilers (total);2018 April;7451
589;Breeding stock for broilers (total);2018 December;7286
590;Breeding stock for broilers (total);2019 April;7163
591;Breeding stock for broilers (total);2019 December;7490
592;Breeding stock for broilers (total);2020 April;7391
593;Breeding stock for broilers (total);2020 December;6951
594;Breeding stock for broilers (total);2021 April;7373
595;Breeding stock for broilers (total);2021 December;7062
596;Breeding stock for broilers (total);2022 April;7045
597;Breeding stock for broilers (total);2022 December;6830
598;Breeding stock for broilers (total);2023 April;6855
599;Breeding stock for broilers (total);2023 December;6807
600;Breeding stock for broilers (total);2024 April;6759
601;Breeding stock for broilers (total);2024 December;6568
602;Breeding stock for broilers, rearing;2018 April;2775
603;Breeding stock for broilers, rearing;2018 December;2656
604;Breeding stock for broilers, rearing;2019 April;2544
605;Breeding stock for broilers, rearing;2019 December;3085
606;Breeding stock for broilers, rearing;2020 April;2664
607;Breeding stock for broilers, rearing;2020 December;2857
608;Breeding stock for broilers, rearing;2021 April;2710
609;Breeding stock for broilers, rearing;2021 December;2926
610;Breeding stock for broilers, rearing;2022 April;2595
611;Breeding stock for broilers, rearing;2022 December;2576
612;Breeding stock for broilers, rearing;2023 April;2548
613;Breeding stock for broilers, rearing;2023 December;2717
614;Breeding stock for broilers, rearing;2024 April;2608
615;Breeding stock for broilers, rearing;2024 December;2514
616;"Breeding stock for broilers; production";2018 April;4677
617;"Breeding stock for broilers; production";2018 December;4630
618;"Breeding stock for broilers; production";2019 April;4620
619;"Breeding stock for broilers; production";2019 December;4405
620;"Breeding stock for broilers; production";2020 April;4727
