ID;Geslacht;Leeftijd;Woonland;Herkomstgroepering;Perioden;AnwUitkeringen_1
49;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2012 februari;85220.0
50;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2012 maart;84200.0
51;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2012 april;83290.0
52;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2012 mei;82170.0
53;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2012 juni;81130.0
54;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2012 juli;80000.0
55;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2012 augustus;79110.0
56;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2012 september;78190.0
57;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2012 oktober;77240.0
58;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2012 november;76440.0
59;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2012 december;74980.0
60;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2013 januari;75250.0
61;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2013 februari;74270.0
62;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2013 maart;73330.0
63;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2013 april;72480.0
64;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2013 mei;71570.0
65;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2013 juni;70730.0
66;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2013 juli;69590.0
67;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2013 augustus;68390.0
68;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2013 september;67370.0
69;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2013 oktober;57210.0
70;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2013 november;56330.0
71;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2013 december;55250.0
72;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2008 januari;94890.0
73;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2008 februari;94380.0
74;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2008 maart;93740.0
75;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2008 april;93290.0
76;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2008 mei;92730.0
77;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2008 juni;92210.0
78;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2008 juli;91680.0
79;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2008 augustus;91020.0
80;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2008 september;90320.0
81;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2008 oktober;89690.0
82;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2008 november;89120.0
83;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2008 december;88230.0
84;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2009 januari;87920.0
85;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2009 februari;87380.0
86;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2009 maart;86680.0
87;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2009 april;86120.0
88;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2009 mei;85530.0
89;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2009 juni;84980.0
90;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2009 juli;84400.0
91;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2009 augustus;83620.0
92;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2009 september;82930.0
93;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2009 oktober;82490.0
94;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2009 november;81900.0
95;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2009 december;81030.0
96;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2010 januari;80780.0
97;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2010 februari;80120.0
98;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2010 maart;79440.0
99;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2010 april;78710.0
100;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2010 mei;77920.0
101;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2010 juni;77430.0
102;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2010 juli;76910.0
103;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2010 augustus;76300.0
104;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2010 september;75840.0
105;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2010 oktober;75410.0
106;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2010 november;74940.0
107;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2010 december;74110.0
108;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2011 januari;73880.0
109;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2011 februari;73450.0
110;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2011 maart;72510.0
111;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2011 april;71580.0
112;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2011 mei;70500.0
113;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2011 juni;69550.0
114;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2011 juli;68620.0
115;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2011 augustus;67710.0
116;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2011 september;66930.0
117;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2011 oktober;66130.0
118;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2011 november;65340.0
119;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2011 december;64190.0
120;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2012 januari;63690.0
121;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2012 februari;63000.0
122;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2012 maart;62110.0
123;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2012 april;61360.0
124;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2012 mei;60430.0
125;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2012 juni;59530.0
126;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2012 juli;58670.0
127;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2012 augustus;57870.0
128;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2012 september;57070.0
129;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2012 oktober;56300.0
130;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2012 november;55600.0
131;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2012 december;54360.0
132;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2013 januari;54620.0
133;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2013 februari;53830.0
134;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2013 maart;53050.0
135;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2013 april;52390.0
136;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2013 mei;51650.0
137;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2013 juni;50950.0
138;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2013 juli;49990.0
139;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2013 augustus;49120.0
140;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2013 september;48290.0
141;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2013 oktober;40720.0
142;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2013 november;40000.0
143;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Autochtoon;2013 december;39070.0
144;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2008 januari;20950.0
145;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2008 februari;20900.0
146;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2008 maart;20830.0
147;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2008 april;20810.0
148;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2008 mei;20760.0
149;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2008 juni;20670.0
150;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2008 juli;20560.0
151;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2008 augustus;20470.0
152;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2008 september;20400.0
153;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2008 oktober;20340.0
154;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2008 november;20300.0
155;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2008 december;20220.0
156;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2009 januari;20190.0
157;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2009 februari;20140.0
158;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2009 maart;20070.0
159;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2009 april;20010.0
160;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2009 mei;19910.0
161;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2009 juni;19860.0
162;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2009 juli;19720.0
163;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2009 augustus;19620.0
164;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2009 september;19600.0
165;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2009 oktober;19560.0
166;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2009 november;19500.0
167;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2009 december;19390.0
168;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2010 januari;19330.0
169;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2010 februari;19270.0
170;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2010 maart;19220.0
171;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2010 april;19170.0
172;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2010 mei;19100.0
173;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2010 juni;19110.0
174;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2010 juli;19020.0
175;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2010 augustus;18940.0
176;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2010 september;18940.0
177;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2010 oktober;18860.0
178;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2010 november;18780.0
179;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2010 december;18690.0
180;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2011 januari;18660.0
181;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2011 februari;18600.0
182;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2011 maart;18550.0
183;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2011 april;18470.0
184;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2011 mei;18340.0
185;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2011 juni;18250.0
186;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2011 juli;18060.0
187;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2011 augustus;17970.0
188;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2011 september;17890.0
189;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2011 oktober;17780.0
190;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2011 november;17680.0
191;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2011 december;17580.0
192;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2012 januari;17530.0
193;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2012 februari;17460.0
194;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2012 maart;17360.0
195;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2012 april;17240.0
196;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2012 mei;17120.0
197;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2012 juni;17020.0
198;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2012 juli;16850.0
199;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2012 augustus;16770.0
200;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2012 september;16700.0
201;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2012 oktober;16580.0
202;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2012 november;16500.0
203;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2012 december;16310.0
204;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2013 januari;16330.0
205;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2013 februari;16200.0
206;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2013 maart;16100.0
207;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2013 april;15950.0
208;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2013 mei;15830.0
209;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2013 juni;15710.0
210;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2013 juli;15550.0
211;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2013 augustus;15340.0
212;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2013 september;15200.0
213;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2013 oktober;12930.0
214;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2013 november;12810.0
215;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Allochtoon;2013 december;12710.0
216;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2008 januari;114090.0
217;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2008 februari;113520.0
218;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2008 maart;112810.0
219;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2008 april;112350.0
220;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2008 mei;111740.0
221;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2008 juni;111150.0
222;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2008 juli;110510.0
223;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2008 augustus;109770.0
224;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2008 september;108980.0
225;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2008 oktober;108290.0
226;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2008 november;107690.0
227;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2008 december;106720.0
228;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2009 januari;106380.0
229;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2009 februari;105790.0
230;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2009 maart;105040.0
231;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2009 april;104390.0
232;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2009 mei;103700.0
233;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2009 juni;103090.0
234;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2009 juli;102360.0
235;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2009 augustus;101530.0
236;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2009 september;100800.0
237;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2009 oktober;100300.0
238;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2009 november;99670.0
239;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2009 december;98690.0
240;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2010 januari;98390.0
241;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2010 februari;97680.0
242;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2010 maart;96960.0
243;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2010 april;96190.0
244;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2010 mei;95330.0
245;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2010 juni;94840.0
246;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2010 juli;94220.0
247;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2010 augustus;93540.0
248;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2010 september;93050.0
249;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2010 oktober;92530.0
250;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2010 november;91980.0
251;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Nederland;Totaal;2010 december;91070.0
