ID;BedrijfsklasseSBI93;Perioden;TotaalInstallaties_1;MechanischeInstallaties_2;FysischChemischeInstallaties_3;BiologischeInstallaties_4;GecombBiologischFysChemInstal_5;TotaalBiologisch_6;BiologischAeroobProces_7;BiologischAnaeroobProces_8;CombinatieAnaeroobAeroobProces_9;Capaciteit_10;CorresponderendAantalInstallaties_11;TotaalHoeveelheidSlibAfgevoerd_12;LandbouwBodem_13;DiervoedersDestructiebedrijven_14;Composteren_15;Storten_16;Verbranden_17;OverigeBestemmingen_18;TotaalDrogeStofAfgevoerd_19;LandbouwBodem_20;DiervoedersDestructiebedrijven_21;Composteren_22;Storten_23;Verbranden_24;OverigeBestemmingen_25
56;17 Vervaardiging van textiel;2004;12;4;4;2;2;4;2;2;0;13;2;3523;0;0;0;8;224;3291;317;0;0;0;7;130;181
57;17 Vervaardiging van textiel;2005;9;3;4;0;2;2;1;1;0;10;1;3388;0;0;0;8;190;3189;309;0;0;0;7;113;190
58;17 Vervaardiging van textiel;2006;9;3;5;0;1;1;0;1;0;12;2;1860;0;0;0;7;134;1719;523;0;0;0;6;70;447
59;17 Vervaardiging van textiel;2007;10;3;6;0;1;1;0;1;0;12;2;1706;0;0;0;20;815;870;688;0;0;0;17;450;221
60;19 VV leer en lederwaren (geen kleding);1993;13;1;10;0;2;2;2;0;0;152;6;15613;0;0;0;15613;0;0;4349;0;0;0;4349;0;0
61;19 VV leer en lederwaren (geen kleding);1994;14;1;10;0;3;3;3;0;0;152;6;11272;0;0;0;11272;0;0;3565;0;0;0;3565;0;0
62;19 VV leer en lederwaren (geen kleding);1995;13;1;9;1;2;3;3;0;0;147;6;5310;0;0;0;5310;0;0;1626;0;0;0;1626;0;0
63;19 VV leer en lederwaren (geen kleding);1996;13;1;9;1;2;3;3;0;0;147;6;6384;0;0;0;6384;0;0;2000;0;0;0;2000;0;0
64;19 VV leer en lederwaren (geen kleding);1997;13;1;9;1;2;3;3;0;0;147;6;4889;0;0;0;4803;86;0;1715;0;0;0;1688;28;0
65;19 VV leer en lederwaren (geen kleding);1998;14;1;10;1;2;3;3;0;0;147;6;8746;0;0;0;8661;86;0;3030;0;0;0;3003;28;0
66;19 VV leer en lederwaren (geen kleding);1999;16;1;11;1;3;4;4;0;0;247;7;10371;0;0;0;10371;0;0;3697;0;0;0;3697;0;0
67;19 VV leer en lederwaren (geen kleding);2000;14;1;11;1;1;2;2;0;0;107;5;8880;0;0;0;8880;0;0;3289;0;0;0;3289;0;0
68;19 VV leer en lederwaren (geen kleding);2001;14;1;11;1;1;2;2;0;0;107;5;13666;0;0;0;13666;0;0;5021;0;0;0;5021;0;0
69;19 VV leer en lederwaren (geen kleding);2002;13;1;10;1;1;2;2;0;0;107;5;10722;0;0;0;10722;0;0;3597;0;0;0;3597;0;0
70;19 VV leer en lederwaren (geen kleding);2003;9;1;6;1;1;2;2;0;0;107;4;8321;0;0;0;8186;135;0;2981;0;0;0;2921;61;0
71;19 VV leer en lederwaren (geen kleding);2004;9;1;5;2;1;3;2;1;0;107;4;5596;0;0;0;5291;305;0;1945;0;0;0;1807;137;0
72;19 VV leer en lederwaren (geen kleding);2005;5;0;4;0;1;1;1;0;0;104;2;7798;0;0;0;7404;393;0;2434;0;0;0;2257;177;0
73;19 VV leer en lederwaren (geen kleding);2006;5;0;4;0;1;1;1;0;0;104;2;7687;0;0;0;7522;165;0;2457;0;0;0;2383;74;0
74;19 VV leer en lederwaren (geen kleding);2007;5;0;3;1;1;2;1;1;0;104;2;10378;0;0;0;10378;0;0;3713;0;0;0;3713;0;0
75;21 VV papier, karton en papier- en ..;1993;32;6;12;10;4;14;11;2;1;1429;21;223129;3064;0;0;159862;35426;24777;91540;1228;0;0;66212;14141;9959
76;21 VV papier, karton en papier- en ..;1994;32;6;12;10;4;14;11;2;1;1431;21;216101;3760;0;285;155526;35326;21204;93701;1514;0;63;69539;14101;8485
77;21 VV papier, karton en papier- en ..;1995;33;6;14;9;4;13;11;1;1;1552;19;204419;15709;2;0;124014;50258;14436;98437;8379;1;0;59124;20090;10842
78;21 VV papier, karton en papier- en ..;1996;35;6;16;9;4;13;11;1;1;1552;19;201041;19134;0;0;108421;40753;32733;100934;8896;0;0;55132;16289;20616
79;21 VV papier, karton en papier- en ..;1997;37;5;16;12;4;16;13;1;2;1567;20;127027;9632;0;1614;46541;263;68977;65214;4273;0;717;25334;117;34773
80;21 VV papier, karton en papier- en ..;1998;33;6;15;9;3;12;10;0;2;1025;16;84241;10199;59;0;7344;35241;31398;46863;4353;21;0;6277;15850;20363
81;21 VV papier, karton en papier- en ..;1999;35;7;15;10;3;13;11;0;2;1021;17;103742;9770;59;0;3494;54049;36371;56385;3742;21;0;1872;26033;24717
82;21 VV papier, karton en papier- en ..;2000;35;7;15;10;3;13;11;0;2;1021;17;109592;7771;122;0;2734;60408;38557;56604;2992;43;0;1414;25566;26590
83;21 VV papier, karton en papier- en ..;2001;34;7;14;10;3;13;11;0;2;1021;17;106531;6934;108;0;4471;65536;29483;51465;2411;38;0;1173;31105;16739
84;21 VV papier, karton en papier- en ..;2002;32;7;13;9;3;12;10;0;2;1009;15;132536;5879;291;1418;6967;50857;67123;56333;1479;102;465;1086;22791;30410
85;21 VV papier, karton en papier- en ..;2003;31;6;13;8;4;12;10;0;2;1009;15;129201;1787;185;3792;1858;45276;76303;51227;947;65;1341;315;20235;28325
86;21 VV papier, karton en papier- en ..;2004;29;6;11;8;4;12;10;0;2;1009;14;141621;3839;0;5407;538;31762;100076;53220;1696;0;2114;234;14293;34882
87;21 VV papier, karton en papier- en ..;2005;27;6;9;8;4;12;10;0;2;1009;14;112401;3269;0;0;2736;28323;78074;45621;1249;0;0;682;12417;31274
88;21 VV papier, karton en papier- en ..;2006;25;6;8;7;4;11;9;0;2;939;13;73159;3645;0;0;578;17873;51064;32609;1259;0;0;229;10531;20590
89;21 VV papier, karton en papier- en ..;2007;24;6;7;7;4;11;9;0;2;939;13;81132;3002;0;2439;769;23999;50924;49215;1121;0;456;361;10771;36506
