ID;Geslacht;Leeftijd;Onderwijssoort;Perioden;GediplomeerdenVavo_1
37;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2007/'08;2730
38;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2008/'09;3990
39;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2009/'10;3740
40;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2010/'11;4800
41;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2011/'12;4500
42;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2012/'13;4510
43;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2013/'14;4020
44;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2014/'15;4020
45;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2015/'16;4100
46;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2016/'17;4100
47;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2017/'18;4330
48;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2018/'19;4420
49;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2019/'20;4330
50;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2020/'21;2160
51;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2021/'22;3060
52;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2022/'23;2990
53;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2023/'24;4750
54;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2006/'07;1020
55;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2007/'08;1420
56;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2008/'09;1540
57;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2009/'10;2440
58;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2010/'11;2340
59;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2011/'12;2000
60;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2012/'13;2510
61;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2013/'14;1720
62;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2014/'15;2060
63;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2015/'16;1860
64;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2016/'17;1960
65;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2017/'18;2210
66;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2018/'19;2130
67;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2019/'20;2470
68;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2020/'21;800
69;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2021/'22;1570
70;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2022/'23;1620
71;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2023/'24;2600
72;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2006/'07;3940
73;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2007/'08;5100
74;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2008/'09;6410
75;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2009/'10;7020
76;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2010/'11;8080
77;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2011/'12;7360
78;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2012/'13;8070
79;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2013/'14;6890
80;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2014/'15;7190
81;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2015/'16;6960
82;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2016/'17;7020
83;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2017/'18;7700
84;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2018/'19;7680
85;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2019/'20;7940
86;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2020/'21;3480
87;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2021/'22;5110
88;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2022/'23;5080
89;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2023/'24;8250
90;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2006/'07;790
91;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2007/'08;1010
92;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2008/'09;950
93;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2009/'10;960
94;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2010/'11;1060
95;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2011/'12;960
96;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2012/'13;1140
97;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2013/'14;1210
98;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2014/'15;1210
99;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2015/'16;1120
100;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2016/'17;1070
101;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2017/'18;1280
102;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2018/'19;1250
103;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2019/'20;1250
104;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2020/'21;620
105;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2021/'22;600
106;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2022/'23;550
107;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2023/'24;980
108;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2006/'07;2140
109;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2007/'08;2670
110;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2008/'09;3930
111;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2009/'10;3650
112;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2010/'11;4700
113;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2011/'12;4420
114;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2012/'13;4430
115;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2013/'14;3970
116;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2014/'15;3930
117;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2015/'16;4000
118;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2016/'17;4020
119;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2017/'18;4240
120;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2018/'19;4330
121;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2019/'20;4250
122;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2020/'21;2080
123;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2021/'22;2970
124;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2022/'23;2940
125;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2023/'24;4700
126;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2006/'07;1010
127;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2007/'08;1410
128;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2008/'09;1530
129;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2009/'10;2410
130;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2010/'11;2320
131;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2011/'12;1980
132;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2012/'13;2500
133;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2013/'14;1710
134;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2014/'15;2050
135;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2015/'16;1840
136;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2016/'17;1930
137;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2017/'18;2180
138;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2018/'19;2110
139;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2019/'20;2440
140;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2020/'21;780
141;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2021/'22;1540
142;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2022/'23;1600
143;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2023/'24;2580
144;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2006/'07;100
145;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2007/'08;120
146;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2008/'09;110
147;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2009/'10;160
148;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2010/'11;160
149;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2011/'12;140
150;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2012/'13;150
151;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2013/'14;110
152;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2014/'15;160
153;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2015/'16;190
154;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2016/'17;150
155;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2017/'18;180
156;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2018/'19;150
157;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2019/'20;140
158;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2020/'21;130
159;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2021/'22;150
160;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2022/'23;100
161;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2023/'24;90
162;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2006/'07;40
163;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2007/'08;50
164;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2008/'09;40
165;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2009/'10;40
166;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2010/'11;50
167;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2011/'12;50
168;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2012/'13;60
169;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2013/'14;50
170;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2014/'15;60
171;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2015/'16;60
172;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2016/'17;50
173;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2017/'18;60
174;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2018/'19;30
175;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2019/'20;30
176;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2020/'21;40
177;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2021/'22;30
178;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2022/'23;30
179;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2023/'24;20
180;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2006/'07;50
181;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2007/'08;60
182;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2008/'09;60
183;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2009/'10;80
184;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2010/'11;90
185;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2011/'12;70
186;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2012/'13;80
187;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2013/'14;50
188;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2014/'15;80
189;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2015/'16;100
190;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2016/'17;80
191;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2017/'18;90
192;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2018/'19;100
193;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2019/'20;70
194;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2020/'21;70
195;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2021/'22;80
196;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2022/'23;50
197;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2023/'24;50
198;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2006/'07;10
199;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2007/'08;10
200;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2008/'09;10
201;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2009/'10;30
202;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2010/'11;20
203;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2011/'12;20
204;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2012/'13;10
205;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2013/'14;10
206;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2014/'15;10
207;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2015/'16;20
208;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2016/'17;30
209;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2017/'18;30
210;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2018/'19;20
211;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2019/'20;30
212;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2020/'21;20
213;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2021/'22;30
214;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2022/'23;20
215;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2023/'24;10
216;Mannen;Totaal leeftijd;Totaal vavo;2006/'07;1990
217;Mannen;Totaal leeftijd;Totaal vavo;2007/'08;2660
218;Mannen;Totaal leeftijd;Totaal vavo;2008/'09;3180
219;Mannen;Totaal leeftijd;Totaal vavo;2009/'10;3470
220;Mannen;Totaal leeftijd;Totaal vavo;2010/'11;3930
221;Mannen;Totaal leeftijd;Totaal vavo;2011/'12;3690
222;Mannen;Totaal leeftijd;Totaal vavo;2012/'13;3720
223;Mannen;Totaal leeftijd;Totaal vavo;2013/'14;3200
224;Mannen;Totaal leeftijd;Totaal vavo;2014/'15;3480
225;Mannen;Totaal leeftijd;Totaal vavo;2015/'16;3360
226;Mannen;Totaal leeftijd;Totaal vavo;2016/'17;3270
227;Mannen;Totaal leeftijd;Totaal vavo;2017/'18;3590
228;Mannen;Totaal leeftijd;Totaal vavo;2018/'19;3580
229;Mannen;Totaal leeftijd;Totaal vavo;2019/'20;3630
230;Mannen;Totaal leeftijd;Totaal vavo;2020/'21;1840
231;Mannen;Totaal leeftijd;Totaal vavo;2021/'22;2410
232;Mannen;Totaal leeftijd;Totaal vavo;2022/'23;2400
233;Mannen;Totaal leeftijd;Totaal vavo;2023/'24;3600
234;Mannen;Totaal leeftijd;Vavo vmbo-t;2006/'07;430
235;Mannen;Totaal leeftijd;Vavo vmbo-t;2007/'08;560
236;Mannen;Totaal leeftijd;Vavo vmbo-t;2008/'09;530
237;Mannen;Totaal leeftijd;Vavo vmbo-t;2009/'10;520
238;Mannen;Totaal leeftijd;Vavo vmbo-t;2010/'11;570
239;Mannen;Totaal leeftijd;Vavo vmbo-t;2011/'12;560
240;Mannen;Totaal leeftijd;Vavo vmbo-t;2012/'13;590
241;Mannen;Totaal leeftijd;Vavo vmbo-t;2013/'14;630
242;Mannen;Totaal leeftijd;Vavo vmbo-t;2014/'15;640
243;Mannen;Totaal leeftijd;Vavo vmbo-t;2015/'16;620
244;Mannen;Totaal leeftijd;Vavo vmbo-t;2016/'17;540
245;Mannen;Totaal leeftijd;Vavo vmbo-t;2017/'18;640
246;Mannen;Totaal leeftijd;Vavo vmbo-t;2018/'19;620
247;Mannen;Totaal leeftijd;Vavo vmbo-t;2019/'20;650
248;Mannen;Totaal leeftijd;Vavo vmbo-t;2020/'21;360
249;Mannen;Totaal leeftijd;Vavo vmbo-t;2021/'22;320
250;Mannen;Totaal leeftijd;Vavo vmbo-t;2022/'23;290
251;Mannen;Totaal leeftijd;Vavo vmbo-t;2023/'24;430
252;Mannen;Totaal leeftijd;Vavo havo;2006/'07;1130
253;Mannen;Totaal leeftijd;Vavo havo;2007/'08;1430
254;Mannen;Totaal leeftijd;Vavo havo;2008/'09;2000
255;Mannen;Totaal leeftijd;Vavo havo;2009/'10;1830
256;Mannen;Totaal leeftijd;Vavo havo;2010/'11;2310
257;Mannen;Totaal leeftijd;Vavo havo;2011/'12;2240
258;Mannen;Totaal leeftijd;Vavo havo;2012/'13;2100
259;Mannen;Totaal leeftijd;Vavo havo;2013/'14;1830
260;Mannen;Totaal leeftijd;Vavo havo;2014/'15;1940
261;Mannen;Totaal leeftijd;Vavo havo;2015/'16;1930
262;Mannen;Totaal leeftijd;Vavo havo;2016/'17;1900
263;Mannen;Totaal leeftijd;Vavo havo;2017/'18;2020
264;Mannen;Totaal leeftijd;Vavo havo;2018/'19;2030
265;Mannen;Totaal leeftijd;Vavo havo;2019/'20;1990
266;Mannen;Totaal leeftijd;Vavo havo;2020/'21;1090
267;Mannen;Totaal leeftijd;Vavo havo;2021/'22;1440
268;Mannen;Totaal leeftijd;Vavo havo;2022/'23;1410
269;Mannen;Totaal leeftijd;Vavo havo;2023/'24;2100
270;Mannen;Totaal leeftijd;Vavo vwo;2006/'07;430
271;Mannen;Totaal leeftijd;Vavo vwo;2007/'08;670
272;Mannen;Totaal leeftijd;Vavo vwo;2008/'09;650
273;Mannen;Totaal leeftijd;Vavo vwo;2009/'10;1120
274;Mannen;Totaal leeftijd;Vavo vwo;2010/'11;1050
275;Mannen;Totaal leeftijd;Vavo vwo;2011/'12;900
276;Mannen;Totaal leeftijd;Vavo vwo;2012/'13;1030
277;Mannen;Totaal leeftijd;Vavo vwo;2013/'14;740
278;Mannen;Totaal leeftijd;Vavo vwo;2014/'15;900
279;Mannen;Totaal leeftijd;Vavo vwo;2015/'16;820
280;Mannen;Totaal leeftijd;Vavo vwo;2016/'17;830
281;Mannen;Totaal leeftijd;Vavo vwo;2017/'18;930
282;Mannen;Totaal leeftijd;Vavo vwo;2018/'19;930
283;Mannen;Totaal leeftijd;Vavo vwo;2019/'20;1000
284;Mannen;Totaal leeftijd;Vavo vwo;2020/'21;380
285;Mannen;Totaal leeftijd;Vavo vwo;2021/'22;650
286;Mannen;Totaal leeftijd;Vavo vwo;2022/'23;700
287;Mannen;Totaal leeftijd;Vavo vwo;2023/'24;1070
288;Mannen;Jonger dan 23 jaar;Totaal vavo;2006/'07;1940
289;Mannen;Jonger dan 23 jaar;Totaal vavo;2007/'08;2590
290;Mannen;Jonger dan 23 jaar;Totaal vavo;2008/'09;3120
291;Mannen;Jonger dan 23 jaar;Totaal vavo;2009/'10;3390
292;Mannen;Jonger dan 23 jaar;Totaal vavo;2010/'11;3850
293;Mannen;Jonger dan 23 jaar;Totaal vavo;2011/'12;3610
294;Mannen;Jonger dan 23 jaar;Totaal vavo;2012/'13;3630
295;Mannen;Jonger dan 23 jaar;Totaal vavo;2013/'14;3130
296;Mannen;Jonger dan 23 jaar;Totaal vavo;2014/'15;3390
297;Mannen;Jonger dan 23 jaar;Totaal vavo;2015/'16;3250
298;Mannen;Jonger dan 23 jaar;Totaal vavo;2016/'17;3190
299;Mannen;Jonger dan 23 jaar;Totaal vavo;2017/'18;3490
300;Mannen;Jonger dan 23 jaar;Totaal vavo;2018/'19;3480
301;Mannen;Jonger dan 23 jaar;Totaal vavo;2019/'20;3560
302;Mannen;Jonger dan 23 jaar;Totaal vavo;2020/'21;1760
303;Mannen;Jonger dan 23 jaar;Totaal vavo;2021/'22;2330
304;Mannen;Jonger dan 23 jaar;Totaal vavo;2022/'23;2340
305;Mannen;Jonger dan 23 jaar;Totaal vavo;2023/'24;3550
306;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2006/'07;420
307;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2007/'08;530
308;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2008/'09;510
309;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2009/'10;510
310;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2010/'11;540
311;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2011/'12;530
312;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2012/'13;550
313;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2013/'14;600
314;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2014/'15;610
315;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2015/'16;580
316;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2016/'17;520
317;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2017/'18;620
318;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2018/'19;610
319;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2019/'20;630
320;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2020/'21;340
321;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2021/'22;310
322;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2022/'23;280
323;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2023/'24;420
324;Mannen;Jonger dan 23 jaar;Vavo havo;2006/'07;1100
325;Mannen;Jonger dan 23 jaar;Vavo havo;2007/'08;1390
326;Mannen;Jonger dan 23 jaar;Vavo havo;2008/'09;1960
327;Mannen;Jonger dan 23 jaar;Vavo havo;2009/'10;1780
328;Mannen;Jonger dan 23 jaar;Vavo havo;2010/'11;2260
329;Mannen;Jonger dan 23 jaar;Vavo havo;2011/'12;2190
330;Mannen;Jonger dan 23 jaar;Vavo havo;2012/'13;2060
331;Mannen;Jonger dan 23 jaar;Vavo havo;2013/'14;1800
332;Mannen;Jonger dan 23 jaar;Vavo havo;2014/'15;1890
333;Mannen;Jonger dan 23 jaar;Vavo havo;2015/'16;1860
334;Mannen;Jonger dan 23 jaar;Vavo havo;2016/'17;1850
335;Mannen;Jonger dan 23 jaar;Vavo havo;2017/'18;1970
336;Mannen;Jonger dan 23 jaar;Vavo havo;2018/'19;1960
337;Mannen;Jonger dan 23 jaar;Vavo havo;2019/'20;1950
338;Mannen;Jonger dan 23 jaar;Vavo havo;2020/'21;1050
