ID;InstitutioneleBeleggers;Perioden;TotaalBeleggingen_1;TotaalLanglopendeBeleggingen_2;TotaalZakelijkeWaarden_3;DirectVastgoed_4;TotaalAandelenEnDeelnemingen_5;BeursgenoteerdeAandelen_6;NietBeursgenoteerdeAandelen_7;AandelenInBeleggingsfondsen_8;TotaalVastrentendeWaarden_9;Hypotheken_10;LanglopendeSchuldbewijzen_11;FinancieleDerivaten_12;LanglopendeLeningen_13;OverigVastrentendeWaarden_14;TotaalKortlopendeBeleggingen_15;KortlopendeLeningen_16;KortlopendeSchuldbewijzen_17;OverigeDepositoS_18;ChartaalGeldEnGiraleDepositoS_19;OverigeKortlopendeBeleggingen_20
11;Totaal Institutionele beleggers;1961;11414;11138;2087;663;1424;;;;9051;1408.0;2475;0;5088;80.0;276;138;0;75;51;13.0
12;Totaal Institutionele beleggers;1962;12777;12444;2326;783;1543;;;;10118;1656.0;2613;0;5747;101.0;334;186;0;76;54;17.0
13;Totaal Institutionele beleggers;1963;14305;13897;2812;924;1888;;;;11085;1918.0;2737;0;6342;87.0;408;226;0;103;58;21.0
14;Totaal Institutionele beleggers;1964;16019;15557;3296;1092;2204;;;;12261;2216.0;2681;0;7286;79.0;463;254;0;115;69;25.0
15;Totaal Institutionele beleggers;1965;17704;17158;3655;1291;2364;;;;13504;2470.0;2672;0;8277;85.0;546;288;0;150;79;29.0
16;Totaal Institutionele beleggers;1966;19546;19048;3911;1511;2401;;;;15137;2715.0;2731;0;9673;18.0;498;197;0;184;91;26.0
17;Totaal Institutionele beleggers;1967;22031;21571;4794;1742;3052;;;;16777;2886.0;2815;0;11054;22.0;460;179;0;166;93;22.0
18;Totaal Institutionele beleggers;1968;25597;24832;6310;2145;4164;;;;18522;3103.0;3033;0;12379;6.0;766;374;0;194;162;35.0
19;Totaal Institutionele beleggers;1969;28577;27498;7098;2435;4663;;;;20400;3389.0;3152;0;13855;4.0;1079;523;0;351;171;34.0
20;Totaal Institutionele beleggers;1970;31507;30167;7646;2718;4928;;;;22521;3607.0;3339;0;15571;5.0;1340;719;0;361;214;45.0
21;Totaal Institutionele beleggers;1971;36387;34728;9160;3098;6063;;;;25568;3808.0;3506;0;18251;4.0;1659;1072;0;230;245;112.0
22;Totaal Institutionele beleggers;1972;42306;40689;11542;3637;7906;;;;29147;4056.0;3824;0;21262;4.0;1617;956;0;271;276;114.0
23;Totaal Institutionele beleggers;1973;45957;43973;11610;4090;7520;;;;32363;4357.0;4181;0;23822;3.0;1983;1054;0;520;273;137.0
24;Totaal Institutionele beleggers;1974;51039;48799;11499;4688;6811;;;;37300;4820.0;4522;0;27955;3.0;2241;1339;0;498;294;111.0
25;Totaal Institutionele beleggers;1975;61045;58609;15011;5286;9725;;;;43598;5299.0;5273;0;33026;0.0;2436;1134;0;756;425;121.0
26;Totaal Institutionele beleggers;1976;70057;66742;16017;6129;9888;;;;50725;5872.0;6029;0;38823;1.0;3315;1431;0;1005;589;291.0
27;Totaal Institutionele beleggers;1977;79517;76190;16649;6962;9686;;;;59541;7026.0;6895;0;45619;2.0;3327;869;2;1591;539;327.0
28;Totaal Institutionele beleggers;1978;90612;87025;18207;7922;10285;;;;68818;8033.0;7772;0;53006;6.0;3587;1037;0;1752;445;353.0
29;Totaal Institutionele beleggers;1979;101142;97362;20118;9082;11036;;;;77244;8963.0;7666;0;60607;8.0;3780;1146;2;1807;436;389.0
30;Totaal Institutionele beleggers;1980 voor breuk;114079;110380;22454;10371;12083;;;;87926;9998.0;8496;0;69422;10.0;3700;1759;0;1279;519;142.0
31;Totaal Institutionele beleggers;1980 na breuk;116683;114175;24191;12610;11581;7560.0;3138.0;884.0;89984;11824.0;9544;0;68617;;2508;170;153;1655;530;
32;Totaal Institutionele beleggers;1981;130398;127311;26925;13918;13006;7985.0;4114.0;908.0;100386;12731.0;11307;0;76349;;3088;225;201;2098;564;
33;Totaal Institutionele beleggers;1982;146236;143175;29745;15229;14516;8696.0;4635.0;1185.0;113431;13712.0;15535;0;84183;;3061;220;231;1921;688;
34;Totaal Institutionele beleggers;1983;165744;162467;36529;16642;19886;13022.0;4872.0;1993.0;125939;14435.0;19996;0;91508;;3276;205;298;2084;690;
35;Totaal Institutionele beleggers;1984;184640;180871;40813;17883;22929;15009.0;5507.0;2413.0;140059;14850.0;27182;0;98027;;3769;246;266;2204;1052;
36;Totaal Institutionele beleggers;1985;204562;199807;46046;18923;27124;19098.0;5172.0;2853.0;153760;16489.0;32439;0;104832;;4756;192;341;3105;1118;
37;Totaal Institutionele beleggers;1986;224144;219746;52323;20408;31914;23342.0;5234.0;3338.0;167424;17549.0;36916;0;112959;;4398;242;314;2545;1297;
38;Totaal Institutionele beleggers;1987;235051;229152;52803;22568;30235;21413.0;5274.0;3548.0;176349;19354.0;38588;0;118407;;5899;262;297;3835;1504;
39;Totaal Institutionele beleggers;1988;262682;254364;64621;25338;39284;29695.0;4623.0;4966.0;189743;21604.0;44029;0;124110;;8317;288;369;5579;2081;
40;Totaal Institutionele beleggers;1989;283996;275299;77377;27187;50190;38601.0;5289.0;6300.0;197922;23623.0;45702;0;128596;;8696;360;478;5777;2081;
41;Totaal Institutionele beleggers;1990;290111;279576;75583;28508;47074;35253.0;6206.0;5615.0;203994;24716.0;49926;-713;130065;;10535;620;392;7100;2423;
42;Totaal Institutionele beleggers;1991 voor breuk;317306;305518;87354;29908;57446;43285.0;7618.0;6544.0;218164;26925.0;61414;-531;130356;;11788;501;384;8288;2615;
43;Totaal Institutionele beleggers;1991 na breuk;323536;309577;86969;33129;53840;44336.0;2796.0;6708.0;222608;27010.0;59773;-531;136356;;13959;1255;719;9700;2285;
44;Totaal Institutionele beleggers;1992;351865;334738;94166;33604;60561;49382.0;2793.0;8386.0;240572;28735.0;77101;-400;135136;;17127;1973;693;11746;2716;
45;Totaal Institutionele beleggers;1993;409698;385763;123052;35205;87847;75375.0;2382.0;10089.0;262710;29012.0;97779;-179;136098;;23936;2640;1104;16090;4103;
46;Totaal Institutionele beleggers;1994;419253;394880;126581;36244;90337;79581.0;1818.0;8938.0;268299;31480.0;101061;83;135675;;24372;2420;1192;16730;4030;
47;Totaal Institutionele beleggers;1995;466825;439792;148642;37233;111409;99446.0;1865.0;10098.0;291150;31931.0;124094;321;134804;;27033;3132;1610;17262;5029;
48;Totaal Institutionele beleggers;1996;527921;499649;188631;39765;148866;133373.0;2041.0;13452.0;311018;32914.0;152021;835;125248;;28271;4689;1443;18286;3853;
49;Totaal Institutionele beleggers;1997;607000;578785;239907;43362;196544;176988.0;3079.0;16477.0;338878;34286.0;185282;2500;116810;;28215;4236;1489;17950;4540;
50;Totaal Institutionele beleggers;1998;684193;660889;293456;47501;245956;220119.0;4650.0;21188.0;367432;38502.0;215537;3952;109440;;23304;3485;856;14494;4468;
51;Totaal Institutionele beleggers;1999;795668;768180;403969;52755;351215;319282.0;9353.0;22580.0;364211;41366.0;222609;5011;95225;;27487;3887;859;17333;5407;
52;Totaal Institutionele beleggers;2000;830060;796886;421145;65633;355513;315362.0;11308.0;28843.0;375741;45238.0;246417;5151;78935;;33174;6461;494;18213;8006;
53;Totaal Institutionele beleggers;2001;831249;799969;415042;71976;343067;304627.0;12131.0;26309.0;384926;47308.0;259830;5339;72449;;31280;6355;878;16903;7144;
54;Totaal Institutionele beleggers;2002;779449;738467;339375;61697;277678;239574.0;11826.0;26278.0;399092;47760.0;280993;6940;63399;;40982;6819;857;24258;9048;
55;Totaal Institutionele beleggers;2003;854887;813819;391968;59990;331978;284133.0;15931.0;31914.0;421851;44180.0;307945;10378;59348;;41068;6775;1082;22882;10329;
56;Totaal Institutionele beleggers;2004;932964;893611;431483;59245;372238;317162.0;17845.0;37231.0;462128;40339.0;361549;12915;47325;;39353;5730;696;23919;9008;
57;Totaal Institutionele beleggers;2005 voor breuk;1069936;1024209;528693;60643;468050;402023.0;21778.0;44249.0;495516;38398.0;406405;6097;44616;;45727;8955;125;25813;10834;
58;Totaal Institutionele beleggers;2005 na breuk;1069936;1024209;528693;60643;468050;324512.0;21778.0;121760.0;495516;38398.0;406405;6097;44616;;45727;8955;125;25813;10834;
59;Totaal Institutionele beleggers;2006;1156377;1092524;578930;61262;517668;344584.0;30233.0;142851.0;513594;36307.0;424678;8612;43997;;63853;12053;3233;36721;11846;
60;Totaal Institutionele beleggers;2007;1170332;1101837;585534;50898;534636;349671.0;33014.0;151951.0;516303;36090.0;436633;1347;42233;;68495;13643;3246;37840;13766;
61;Totaal Institutionele beleggers;2008 voor breuk;1043948;943375;409731;48484;361247;201204.0;30218.0;129825.0;533644;34832.0;414500;45520;38792;;100573;36182;7220;36924;20247;
62;Totaal Institutionele beleggers;2008 na breuk;1218610;1114886;528100;51595;476505;183457.0;50911.0;242137.0;586786;;450152;46108;90526;;103724;39100;16763;20046;27815;
63;Totaal Institutionele beleggers;2009;1517920;1411105;827653;49548;778105;252273.0;48193.0;477639.0;583452;;482502;11396;89554;;106815;48103;11597;18636;28479;
64;Totaal Institutionele beleggers;2010;1629792;1539780;931085;48006;883079;286963.0;49731.0;546385.0;608695;;497901;16451;94343;;90012;45454;5545;15674;23339;
65;Totaal Institutionele beleggers;2011;1740932;1650534;960567;47436;913131;278199.0;51633.0;583299.0;689967;;541163;57766;91038;;90398;48338;6402;12268;23390;
66;Totaal Institutionele beleggers;2012;1979058;1879649;1089909;45876;1044033;327364.0;57976.0;658693.0;789740;;622900;68768;98072;;99409;49735;10109;12628;26937;
67;Totaal Institutionele beleggers;2013;2028113;1947723;1181231;43576;1137655;364362.0;57064.0;716229.0;766492;;628682;31037;106773;;80390;49012;4956;9614;16808;
68;Totaal Institutionele beleggers;2014;2408277;2311668;1383721;41228;1342493;433498.0;65289.0;843706.0;927947;;732904;78107;116936;;96609;52739;7942;9897;26031;
69;Totaal Institutionele beleggers;2015;2426148;2338043;1407192;42684;1364508;436369.0;65030.0;863109.0;930851;;751646;51350;127855;;88105;45665;8866;8423;25151;
70;Totaal Institutionele beleggers;2016;2619558;2520033;1548095;44900;1503195;493386.0;65677.0;944132.0;971938;;778583;52387;140968;;99525;49377;13052;10632;26464;
71;Pensioenfondsen;1950;1579;1511;103;50;52;;;;1408;106.0;665;0;637;0.0;68;54;0;2;11;0.0
72;Pensioenfondsen;1951;1714;1641;112;55;57;;;;1529;115.0;722;0;692;0.0;74;60;0;2;11;0.0
73;Pensioenfondsen;1952;1883;1802;123;60;62;;;;1680;127.0;793;0;760;0.0;81;67;0;2;11;0.0
74;Pensioenfondsen;1953;2130;2039;139;68;71;;;;1900;143.0;897;0;859;0.0;91;78;0;3;10;0.0
75;Pensioenfondsen;1954;2399;2319;183;81;102;;;;2136;167.0;983;0;987;0.0;79;57;0;4;19;0.0
76;Pensioenfondsen;1955;2710;2640;227;97;131;;;;2412;202.0;1118;0;1092;0.0;71;50;0;3;18;0.0
77;Pensioenfondsen;1956;2976;2902;247;124;123;;;;2655;225.0;1162;0;1259;9.0;74;43;0;0;32;0.0
78;Pensioenfondsen;1957;3400;3285;263;151;113;;;;3022;249.0;1202;0;1566;5.0;115;99;0;1;15;0.0
79;Pensioenfondsen;1958;4044;3946;389;192;197;;;;3557;277.0;1327;0;1909;44.0;98;77;1;0;20;0.0
80;Pensioenfondsen;1959;4490;4395;484;221;264;;;;3911;281.0;1426;0;2140;64.0;95;85;0;0;10;0.0
81;Pensioenfondsen;1960;4922;4799;523;255;269;;;;4276;286.0;1568;0;2356;65.0;123;105;1;0;15;1.0
82;Pensioenfondsen;1961;5560;5401;604;312;292;;;;4796;314.0;1662;0;2747;74.0;159;120;0;10;20;10.0
83;Pensioenfondsen;1962;6398;6204;742;382;360;;;;5462;373.0;1773;0;3221;94.0;194;159;0;3;19;14.0
84;Pensioenfondsen;1963;7125;6885;897;454;443;;;;5988;419.0;1864;0;3627;79.0;240;201;0;1;20;18.0
85;Pensioenfondsen;1964;8023;7752;1035;540;496;;;;6717;492.0;1850;0;4303;72.0;271;222;0;6;23;20.0
86;Pensioenfondsen;1965;9013;8726;1197;639;558;;;;7529;564.0;1838;0;5047;79.0;288;235;0;5;24;24.0
87;Pensioenfondsen;1966;10219;10035;1396;780;616;;;;8639;636.0;1838;0;6160;5.0;184;127;0;4;33;20.0
88;Pensioenfondsen;1967;11703;11549;1772;992;781;;;;9777;669.0;1849;0;7256;3.0;154;79;0;21;38;16.0
89;Pensioenfondsen;1968;13854;13566;2378;1285;1093;;;;11188;709.0;2016;0;8463;0.0;288;201;0;11;48;27.0
90;Pensioenfondsen;1969;15725;15339;2719;1488;1230;;;;12621;780.0;2140;0;9700;0.0;386;269;0;36;46;34.0
91;Pensioenfondsen;1970;17902;17395;2999;1725;1274;;;;14396;837.0;2246;0;11313;0.0;507;333;0;50;79;45.0
92;Pensioenfondsen;1971;20721;19930;3492;2012;1481;;;;16438;892.0;2379;0;13167;0.0;790;545;0;32;115;99.0
93;Pensioenfondsen;1972;24098;23440;4203;2352;1851;;;;19237;954.0;2554;0;15728;0.0;658;422;0;25;108;103.0
94;Pensioenfondsen;1973;27538;26760;4471;2681;1789;;;;22289;1057.0;2786;0;18446;0.0;778;400;0;147;104;127.0
95;Pensioenfondsen;1974;31782;30923;4758;3117;1641;;;;26165;1138.0;3018;0;22009;0.0;859;473;0;175;113;98.0
96;Pensioenfondsen;1975;37550;36502;5846;3523;2322;;;;30656;1222.0;3477;0;25957;0.0;1048;451;0;341;148;109.0
97;Pensioenfondsen;1976;43615;42011;6184;3991;2193;;;;35826;1348.0;3882;0;30597;0.0;1605;622;0;502;396;85.0
98;Pensioenfondsen;1977;49840;48269;6525;4468;2057;;;;41744;1466.0;3982;0;36296;0.0;1571;316;2;849;314;90.0
99;Pensioenfondsen;1978;57187;55539;7363;5084;2279;;;;48176;1824.0;4277;0;42073;2.0;1648;409;0;930;216;94.0
100;Pensioenfondsen;1979;64823;63348;8086;5673;2414;;;;55261;2090.0;4648;0;48520;4.0;1475;281;2;887;212;93.0
101;Pensioenfondsen;1980 voor breuk;73784;72731;9208;6467;2740;;;;63523;2399.0;5200;0;55921;4.0;1053;242;0;433;263;115.0
102;Pensioenfondsen;1980 na breuk;74036;72957;9523;6348;3175;2146.0;573.0;456.0;63435;2292.0;5487;0;55657;;1078;158;123;596;201;
103;Pensioenfondsen;1981;83945;82537;10795;7230;3565;2283.0;794.0;488.0;71742;2989.0;6771;0;61982;;1408;204;167;858;180;
104;Pensioenfondsen;1982;94682;93446;13051;8401;4650;2758.0;1194.0;698.0;80395;3797.0;9106;0;67492;;1236;197;199;576;264;
105;Pensioenfondsen;1983;106218;104867;16584;9367;7217;4622.0;1326.0;1269.0;88283;4143.0;12037;0;72103;;1351;185;237;667;262;
106;Pensioenfondsen;1984;118725;117422;19281;10166;9115;5888.0;1554.0;1673.0;98141;4261.0;17427;0;76453;;1303;216;250;492;345;
107;Pensioenfondsen;1985;131649;129481;22571;10923;11647;8076.0;1652.0;1919.0;106911;4823.0;21235;0;80853;;2168;176;333;1229;431;
108;Pensioenfondsen;1986;143212;141666;26081;11675;14407;10597.0;1594.0;2216.0;115584;5144.0;24737;0;85703;;1546;218;302;528;499;
109;Pensioenfondsen;1987;149826;148169;26657;12547;14111;10265.0;1632.0;2214.0;121512;5952.0;26763;0;88797;;1657;203;293;474;687;
110;Pensioenfondsen;1988;163711;161364;33411;13311;20101;15055.0;1979.0;3067.0;127952;6757.0;29674;0;91522;;2347;204;365;757;1021;
111;Pensioenfondsen;1989;172128;168961;40656;13848;26808;20177.0;2591.0;4040.0;128305;7669.0;28718;0;91917;;3167;250;478;1651;787;
112;Pensioenfondsen;1990;176190;171629;40567;14233;26334;19671.0;3122.0;3541.0;131062;8180.0;31615;-693;91959;;4561;510;390;2651;1011;
113;Pensioenfondsen;1991 voor breuk;189685;184880;48516;15157;33359;25391.0;3696.0;4271.0;136364;8973.0;37450;-521;90462;;4805;411;381;2965;1049;
114;Pensioenfondsen;1991 na breuk;189663;183986;48739;17828;30911;25450.0;1026.0;4436.0;135247;9011.0;37023;-521;89734;;5676;546;604;3771;755;
115;Pensioenfondsen;1992;202827;197171;54931;18465;36466;29612.0;1020.0;5835.0;142240;10132.0;45736;-384;86755;;5656;681;444;3667;865;
116;Pensioenfondsen;1993;230493;223461;71830;19226;52604;44197.0;1031.0;7377.0;151631;11125.0;55370;-186;85321;;7032;656;280;4752;1344;
117;Pensioenfondsen;1994;232771;226586;73614;19527;54088;47231.0;780.0;6077.0;152972;11649.0;58413;38;82872;;6185;582;153;4512;937;
118;Pensioenfondsen;1995;257975;251272;89268;19450;69818;62074.0;966.0;6779.0;162004;11835.0;70283;230;79656;;6702;475;113;4930;1184;
119;Pensioenfondsen;1996;295609;287982;115500;20364;95135;85057.0;870.0;9209.0;172483;11965.0;87921;324;72272;;7627;1186;127;5210;1104;
120;Pensioenfondsen;1997;339778;332497;145785;20861;124923;114184.0;495.0;10245.0;186712;12179.0;107777;457;66299;;7281;1396;184;4421;1280;
121;Pensioenfondsen;1998;383754;376482;175051;22071;152980;140582.0;1193.0;11206.0;201431;13026.0;128584;646;59176;;7272;1009;156;4493;1615;
122;Pensioenfondsen;1999;450341;443726;246945;23470;223475;207119.0;4731.0;11625.0;196780;13211.0;136339;912;46318;;6615;810;55;4628;1121;
123;Pensioenfondsen;2000;461752;453428;245842;23330;222512;200054.0;5640.0;16818.0;207586;14013.0;157792;1287;34494;;8325;1056;77;5500;1692;
124;Pensioenfondsen;2001;458174;450928;247168;25977;221191;199880.0;6562.0;14749.0;203760;14898.0;159017;1816;28029;;7246;1432;40;3688;2086;
125;Pensioenfondsen;2002;436556;422767;202619;23414;179205;158075.0;7398.0;13732.0;220148;15971.0;178244;4254;21679;;13789;1870;3;9943;1973;
126;Pensioenfondsen;2003;488298;475758;244592;22933;221659;195248.0;10258.0;16154.0;231166;15049.0;189993;8461;17663;;12540;995;208;8665;2672;
127;Pensioenfondsen;2004;547126;533364;277729;23107;254622;225055.0;11144.0;18423.0;255635;14489.0;219116;10536;11494;;13762;1671;250;8238;3603;
128;Pensioenfondsen;2005 voor breuk;635905;618698;340850;22948;317902;283857.0;13735.0;20310.0;277848;12593.0;252636;2352;10267;;17207;1711;4;11344;4148;
129;Pensioenfondsen;2005 na breuk;635905;618698;340850;22948;317902;220042.0;13735.0;84125.0;277848;12593.0;252636;2352;10267;;17207;1711;4;11344;4148;
130;Pensioenfondsen;2006;709962;670869;367944;19795;348149;240627.0;19857.0;87665.0;302925;12503.0;275559;6135;8728;;39093;8313;1922;23769;5089;
131;Pensioenfondsen;2007;720019;679457;378361;19150;359211;237183.0;24033.0;97995.0;301096;14659.0;277610;-24;8851;;40562;5050;2741;26830;5941;
132;Pensioenfondsen;2008 voor breuk;622768;565615;256524;16973;239551;128048.0;23243.0;88260.0;309091;13187.0;252327;35747;7830;;57153;21279;5319;21464;9091;
133;Pensioenfondsen;2008 na breuk;695107;633424;335425;16350;319075;124775.0;25533.0;168767.0;297999;;238082;35755;24162;;61683;21678;12963;14826;12216;
134;Pensioenfondsen;2009;729461;695082;497730;15775;481955;68390.0;24570.0;388995.0;197352;;167802;8061;21489;;34379;9745;7880;9825;6929;
135;Pensioenfondsen;2010;777440;742778;537191;9508;527683;80892.0;25236.0;421555.0;205587;;173804;11082;20701;;34662;19305;2574;8243;4540;
136;Pensioenfondsen;2011;848101;821154;561675;9297;552378;72223.0;24534.0;455621.0;259479;;196983;44429;18067;;26947;13876;3492;5255;4324;
137;Pensioenfondsen;2012;984539;952538;650297;8751;641546;89023.0;27511.0;525012.0;302241;;231058;53605;17578;;32001;16441;3321;7165;5074;
138;Pensioenfondsen;2013;1000600;977660;697441;8519;688922;102716.0;26967.0;559239.0;280219;;240382;24140;15697;;22940;11833;1783;4469;4855;
139;Pensioenfondsen;2014;1221370;1190658;812686;7703;804983;127083.0;28523.0;649377.0;377972;;300810;61675;15487;;30712;17961;2227;4421;6103;
140;Pensioenfondsen;2015;1239485;1215394;844265;7495;836770;142523.0;29114.0;665133.0;371129;;315067;40600;15462;;24091;11134;3215;3833;5909;
141;Pensioenfondsen;2016;1356449;1331373;936938;8017;928921;160201.0;29601.0;739119.0;394435;;336445;41967;16023;;25076;12122;3559;3332;6063;
142;Verzekeringsinstellingen;1950;1789;1561;195;111;84;;;;1366;235.0;587;0;540;4.0;227;16;158;24;29;0.0
143;Verzekeringsinstellingen;1951;1974;1912;216;127;89;;;;1696;287.0;609;0;793;6.0;63;3;5;21;34;0.0
144;Verzekeringsinstellingen;1952;2142;2086;226;134;93;;;;1859;309.0;615;0;930;5.0;57;2;0;19;36;0.0
145;Verzekeringsinstellingen;1953;2344;2281;256;145;111;;;;2026;335.0;625;0;1061;5.0;63;2;0;16;45;0.0
146;Verzekeringsinstellingen;1954;2599;2544;291;169;123;;;;2253;396.0;631;0;1220;5.0;56;0;0;17;38;0.0
147;Verzekeringsinstellingen;1955;2867;2807;322;190;131;;;;2486;482.0;651;0;1341;11.0;60;2;0;20;39;0.0
148;Verzekeringsinstellingen;1956;3143;3082;377;214;163;;;;2705;584.0;655;0;1451;16.0;61;3;0;21;37;0.0
149;Verzekeringsinstellingen;1957;3412;3344;394;240;154;;;;2951;659.0;631;0;1629;31.0;68;15;0;16;37;0.0
150;Verzekeringsinstellingen;1958;3746;3672;431;258;172;;;;3242;734.0;653;0;1814;41.0;73;13;1;18;41;0.0
151;Verzekeringsinstellingen;1959;4121;4045;512;285;227;;;;3533;817.0;726;0;1986;4.0;76;23;0;18;32;3.0
152;Verzekeringsinstellingen;1960;4527;4453;569;313;256;;;;3884;940.0;789;0;2151;4.0;74;16;0;27;28;3.0
153;Verzekeringsinstellingen;1961;4977;4905;654;350;304;;;;4251;1094.0;810;0;2342;6.0;72;18;0;24;27;3.0
154;Verzekeringsinstellingen;1962;5488;5393;741;397;344;;;;4652;1283.0;836;0;2525;7.0;96;27;0;34;31;4.0
155;Verzekeringsinstellingen;1963;6053;5948;857;465;392;;;;5091;1498.0;869;0;2716;9.0;106;26;0;45;31;4.0
156;Verzekeringsinstellingen;1964;6620;6510;972;540;432;;;;5538;1722.0;826;0;2983;6.0;110;32;0;35;38;5.0
157;Verzekeringsinstellingen;1965;7229;7083;1115;633;482;;;;5968;1904.0;828;0;3230;6.0;146;53;0;43;44;5.0
158;Verzekeringsinstellingen;1966;7930;7777;1288;706;582;;;;6490;2077.0;886;0;3513;13.0;152;71;0;35;41;5.0
159;Verzekeringsinstellingen;1967;8653;8440;1452;721;731;;;;6988;2215.0;957;0;3798;19.0;213;101;0;60;46;6.0
160;Verzekeringsinstellingen;1968;9369;9028;1737;773;964;;;;7291;2393.0;976;0;3916;6.0;341;173;0;60;100;8.0
161;Verzekeringsinstellingen;1969;10187;9770;2040;847;1193;;;;7731;2608.0;964;0;4155;4.0;417;254;0;66;97;0.0
162;Verzekeringsinstellingen;1970;10981;10422;2409;884;1525;;;;8014;2768.0;983;0;4258;5.0;558;386;0;64;108;0.0
163;Verzekeringsinstellingen;1971;12584;11862;2811;941;1870;;;;9051;2914.0;1049;0;5084;4.0;722;527;0;67;116;12.0
164;Verzekeringsinstellingen;1972;14100;13330;3567;1037;2530;;;;9763;3100.0;1125;0;5534;4.0;770;534;0;76;149;11.0
165;Verzekeringsinstellingen;1973;14630;13688;3786;1139;2648;;;;9901;3298.0;1225;0;5376;3.0;942;653;0;136;143;10.0
166;Verzekeringsinstellingen;1974;16289;15016;4075;1290;2785;;;;10941;3680.0;1312;0;5945;3.0;1273;866;0;225;170;12.0
167;Verzekeringsinstellingen;1975;19260;18028;5341;1412;3929;;;;12687;4075.0;1551;0;7060;0.0;1232;683;0;276;262;12.0
168;Verzekeringsinstellingen;1976;21513;20056;5624;1575;4050;;;;14432;4521.0;1703;0;8206;1.0;1457;810;0;274;167;206.0
169;Verzekeringsinstellingen;1977;24169;22925;6225;1773;4451;;;;16701;5557.0;1866;0;9276;2.0;1243;552;0;281;173;237.0
170;Verzekeringsinstellingen;1978;27284;25890;6852;2020;4832;;;;19038;6206.0;1967;0;10862;4.0;1394;628;0;332;175;259.0
171;Verzekeringsinstellingen;1979;30320;28609;7648;2193;5454;;;;20961;6870.0;2085;0;12002;5.0;1712;864;0;386;165;296.0
172;Verzekeringsinstellingen;1980 voor breuk;33604;31389;8140;2392;5748;;;;23249;7596.0;2239;0;13408;6.0;2215;1517;0;458;213;27.0
173;Verzekeringsinstellingen;1980 na breuk;35956;34957;9562;4750;4811;1915.0;2474.0;422.0;25396;9529.0;3000;0;12866;;999;12;29;680;277;
174;Verzekeringsinstellingen;1981;39156;38059;10627;4986;5641;1948.0;3279.0;414.0;27432;9702.0;3466;0;14264;;1097;21;34;727;314;
175;Verzekeringsinstellingen;1982;43098;42065;11224;5046;6178;2282.0;3412.0;484.0;30841;9874.0;4428;0;16539;;1033;23;33;649;329;
176;Verzekeringsinstellingen;1983;48039;47066;12305;5162;7143;2947.0;3507.0;688.0;34761;10202.0;5400;0;19160;;972;15;60;569;328;
177;Verzekeringsinstellingen;1984;52969;51846;13222;5222;8000;3379.0;3911.0;710.0;38624;10413.0;6941;0;21270;;1123;25;16;584;498;
178;Verzekeringsinstellingen;1985;58131;57132;14318;5446;8872;4562.0;3402.0;908.0;42815;11356.0;7806;0;23652;;999;15;8;539;438;
179;Verzekeringsinstellingen;1986;63951;62643;15241;5542;9699;5082.0;3516.0;1100.0;47402;12204.0;8314;0;26885;;1307;18;12;788;490;
180;Verzekeringsinstellingen;1987;67120;65362;14819;5801;9018;4289.0;3538.0;1191.0;50543;13268.0;8160;0;29115;;1758;54;4;1098;602;
