ID;RegioS;Perioden;AantalMusea_1;Tot2500Bezoeken_2;k_2500Tot10000Bezoeken_3;k_10000Tot25000Bezoeken_4;k_25000Tot50000Bezoeken_5;k_50000Tot100000Bezoeken_6;k_100000EnMeerBezoeken_7;TotaalBezoeken_8;BetaaldeBezoeken_9;MuseumkaartEnGratisBezoeken_10;GemiddeldAantalBezoekenPerMuseum_11;BuitenlandseBezoeken_12;TotaalWerkzamePersonen_13;InLoondienst_14;OverigBezoldigden_15;TotaalAantalMensjaren_16;InLoondienst_17;OverigBezoldigden_18;Personen_19;Mensjaren_20
74;Gelderland;1999;132;36;24;23;10;4;4;2744;2060;684;21;485.0;942;782;160;621;519;102;;
75;Gelderland;2001;124;37;27;19;10;3;4;2675;1933;742;22;440.0;1086;836;250;668;559;109;2493.0;305.0
76;Gelderland;2003;121;32;30;25;6;3;5;2738;1938;800;23;625.0;1090;861;229;689;573;116;3052.0;355.0
77;Gelderland;2005;110;33;27;24;7;3;6;2892;1946;946;26;569.0;1021;859;162;702;618;84;3218.0;422.0
78;Gelderland;2007;104;34;23;25;9;3;7;2707;1809;898;26;578.0;1075;864;211;774;633;141;2783.0;412.0
79;Gelderland;2009;114;27;31;25;9;4;5;2894;1837;1057;25;214.0;1213;1023;190;806;705;101;3744.0;723.0
80;Utrecht;1995;39;23;23;23;13;10;8;1001;598;403;26;;420;360;60;278;252;26;;
81;Utrecht;1997;45;27;27;20;7;16;4;1089;565;524;24;;379;324;55;279;231;49;;
82;Utrecht;1999;42;31;26;17;7;12;7;993;481;513;24;173.0;381;348;33;264;248;16;;
83;Utrecht;2001;45;22;31;22;7;11;7;1106;572;534;25;92.0;447;372;75;353;302;51;1007.0;133.0
84;Utrecht;2003;42;24;41;14;7;10;5;998;652;346;24;103.0;377;319;58;266;240;26;1336.0;152.0
85;Utrecht;2005;40;25;35;20;10;5;5;971;490;482;24;172.0;550;420;130;317;283;34;1293.0;139.0
86;Utrecht;2007;47;26;34;19;13;4;4;1123;603;520;24;84.0;685;450;235;369;323;47;1492.0;173.0
87;Utrecht;2009;46;30;39;11;4;7;9;1617;528;1089;35;18.0;640;490;150;415;359;56;1362.0;209.0
88;Noord-Holland;1995;120;17;27;23;12;7;15;7466;5340;2126;62;;2075;1780;295;1610;1434;176;;
89;Noord-Holland;1997;158;35;24;16;8;6;11;7143;5454;1689;45;;1958;1726;233;1522;1333;189;;
90;Noord-Holland;1999;152;23;32;21;4;9;11;8021;5886;2134;53;2085.0;2362;2100;261;1690;1560;130;;
91;Noord-Holland;2001;157;33;26;17;6;7;10;8133;6339;1795;52;3103.0;2376;2040;336;1694;1501;193;3518.0;542.0
92;Noord-Holland;2003;146;25;33;20;5;6;12;7728;5914;1813;53;2278.0;2571;2132;439;1895;1633;262;3360.0;441.0
93;Noord-Holland;2005;137;24;30;20;7;7;12;7852;6102;1750;57;2693.0;2448;2122;326;1761;1608;153;3577.0;451.0
94;Noord-Holland;2007;143;27;30;18;6;7;12;8530;6611;1920;60;3138.0;2608;2171;438;1797;1564;233;4180.0;628.0
95;Noord-Holland;2009;149;32;23;13;11;9;12;8714;5836;2878;58;2708.0;2837;2247;590;2216;1835;381;4150.0;586.0
96;Zuid-Holland;1995;129;31;30;16;9;8;5;3103;1916;1187;24;;1510;1225;285;1244;1056;188;;
97;Zuid-Holland;1997;165;40;25;17;7;7;4;3279;2056;1222;20;;1543;1272;271;1195;956;238;;
98;Zuid-Holland;1999;160;32;30;19;9;6;5;3359;1916;1443;21;630.0;2059;1502;557;1421;1168;253;;
99;Zuid-Holland;2001;151;34;28;18;8;6;6;3368;2005;1364;22;482.0;2150;1647;503;1448;1183;265;3328.0;512.0
100;Zuid-Holland;2003;147;31;28;18;9;7;7;3691;2117;1574;25;616.0;2448;1914;534;1687;1382;305;3393.0;458.0
101;Zuid-Holland;2005;131;28;30;21;7;8;7;3249;1866;1383;25;665.0;2203;1826;377;1597;1348;249;3038.0;537.0
102;Zuid-Holland;2007;119;26;27;25;6;8;8;3324;1905;1419;28;778.0;2156;1739;417;1720;1427;293;3292.0;503.0
103;Zuid-Holland;2009;124;26;30;22;6;8;9;3463;1834;1629;28;221.0;2259;1658;601;1574;1291;283;3775.0;531.0
104;Zeeland;1995;27;33;41;11;11;0;4;611;464;147;23;;95;80;15;57;46;11;;
105;Zeeland;1997;40;47;35;8;8;0;3;620;522;98;16;;102;69;34;63;35;28;;
106;Zeeland;1999;37;35;44;14;3;0;3;475;410;65;13;143.0;156;132;25;93;82;11;;
107;Zeeland;2001;34;44;41;9;3;0;3;480;419;61;14;137.0;188;141;46;100;77;23;538.0;56.0
108;Zeeland;2003;34;44;38;12;6;0;0;215;169;46;6;28.0;86;63;23;40;31;9;622.0;80.0
109;Zeeland;2005;28;39;39;18;4;0;0;195;126;69;7;23.0;76;63;13;39;32;7;632.0;105.0
110;Zeeland;2007;28;39;32;21;7;0;0;237;192;44;8;28.0;67;57;10;29;22;6;839.0;126.0
111;Zeeland;2009;32;28;41;19;9;3;0;345;236;108;11;11.0;97;57;40;49;37;12;959.0;144.0
112;Noord-Brabant;1995;84;31;33;20;8;6;1;1290;873;417;15;;450;295;155;332;224;108;;
113;Noord-Brabant;1997;98;41;29;18;8;3;1;1284;889;395;13;;483;303;180;415;271;144;;
114;Noord-Brabant;1999;88;37;22;23;10;6;2;1611;1012;597;18;87.0;555;388;167;349;260;89;;
115;Noord-Brabant;2001;78;39;23;21;9;6;3;1393;937;456;18;78.0;500;312;189;311;201;110;1446.0;187.0
116;Noord-Brabant;2003;80;37;33;15;10;5;1;1095;622;473;14;140.0;537;281;256;364;225;139;1605.0;178.0
117;Noord-Brabant;2005;70;30;37;14;14;1;3;1193;730;464;17;217.0;428;252;176;312;222;90;1683.0;243.0
118;Noord-Brabant;2007;81;35;37;14;11;1;2;1153;653;501;14;218.0;569;405;164;351;271;80;2327.0;387.0
119;Noord-Brabant;2009;90;37;37;9;9;7;2;1216;647;569;14;39.0;653;393;260;404;294;109;2617.0;379.0
120;Limburg;1995;45;33;31;16;9;4;7;888;721;167;20;;230;165;65;154;103;51;;
121;Limburg;1997;53;38;26;21;6;6;4;789;594;195;15;;277;201;76;179;120;60;;
122;Limburg;1999;48;42;21;25;4;6;2;659;483;175;14;79.0;226;179;47;134;104;30;;
123;Limburg;2001;40;25;30;28;5;10;3;687;475;211;17;69.0;262;192;70;162;127;35;925.0;78.0
124;Limburg;2003;41;30;34;22;7;7;0;553;417;136;13;63.0;259;198;61;199;162;37;1118.0;112.0
125;Limburg;2005;40;32;32;19;8;5;4;648;418;230;16;77.0;283;208;75;206;160;46;1038.0;140.0
126;Limburg;2007;43;33;28;19;9;12;0;759;497;262;18;122.0;283;230;54;194;160;33;1178.0;159.0
127;Limburg;2009;39;31;26;23;10;5;5;792;518;274;20;25.0;274;215;59;172;152;20;1148.0;165.0
