ID;TypeOfAccommodation;CountryOfResidence;Regions;Periods;Guests_1;OvernightStays_2
97;Total overnight accommodation;All countries;Nederland;2017 October;3823;9468
98;Total overnight accommodation;All countries;Nederland;2017 November;2818;6100
99;Total overnight accommodation;All countries;Nederland;2017 December;2711;5841
100;Total overnight accommodation;All countries;Nederland;2017 4th quarter;9353;21410
101;Total overnight accommodation;All countries;Nederland;2017;42235;111698
102;Total overnight accommodation;All countries;Nederland;2018 January;2504;5400
103;Total overnight accommodation;All countries;Nederland;2018 February;2490;5302
104;Total overnight accommodation;All countries;Nederland;2018 March;3133;7001
105;Total overnight accommodation;All countries;Nederland;2018 1st quarter;8127;17703
106;Total overnight accommodation;All countries;Nederland;2018 April;3907;9460
107;Total overnight accommodation;All countries;Nederland;2018 May;4567;12336
108;Total overnight accommodation;All countries;Nederland;2018 June;4210;11363
109;Total overnight accommodation;All countries;Nederland;2018 2nd quarter;12684;33160
110;Total overnight accommodation;All countries;Nederland;2018 July;4546;14666
111;Total overnight accommodation;All countries;Nederland;2018 August;4947;17687
112;Total overnight accommodation;All countries;Nederland;2018 September;3991;10612
113;Total overnight accommodation;All countries;Nederland;2018 3rd quarter;13484;42965
114;Total overnight accommodation;All countries;Nederland;2018 October;3967;9903
115;Total overnight accommodation;All countries;Nederland;2018 November;2959;6418
116;Total overnight accommodation;All countries;Nederland;2018 December;2692;5933
117;Total overnight accommodation;All countries;Nederland;2018 4th quarter;9618;22254
118;Total overnight accommodation;All countries;Nederland;2018;43913;116082
119;Total overnight accommodation;All countries;Nederland;2019 January;2458;5496
120;Total overnight accommodation;All countries;Nederland;2019 February;2565;5464
121;Total overnight accommodation;All countries;Nederland;2019 March;3289;7248
122;Total overnight accommodation;All countries;Nederland;2019 1st quarter;8313;18209
123;Total overnight accommodation;All countries;Nederland;2019 April;4307;11177
124;Total overnight accommodation;All countries;Nederland;2019 May;4193;10539
125;Total overnight accommodation;All countries;Nederland;2019 June;4894;13754
126;Total overnight accommodation;All countries;Nederland;2019 2nd quarter;13393;35470
127;Total overnight accommodation;All countries;Nederland;2019 July;4704;15622
128;Total overnight accommodation;All countries;Nederland;2019 August;5143;18983
129;Total overnight accommodation;All countries;Nederland;2019 September;4165;11298
130;Total overnight accommodation;All countries;Nederland;2019 3rd quarter;14012;45903
131;Total overnight accommodation;All countries;Nederland;2019 October;4087;10422
132;Total overnight accommodation;All countries;Nederland;2019 November;3194;6975
133;Total overnight accommodation;All countries;Nederland;2019 December;2918;6463
134;Total overnight accommodation;All countries;Nederland;2019 4th quarter;10198;23860
135;Total overnight accommodation;All countries;Nederland;2019;45916;123443
136;Total overnight accommodation;All countries;Nederland;2020 January;2622;5914
137;Total overnight accommodation;All countries;Nederland;2020 February;2811;6332
138;Total overnight accommodation;All countries;Nederland;2020 March;1426;3487
139;Total overnight accommodation;All countries;Nederland;2020 1st quarter;6859;15733
140;Total overnight accommodation;All countries;Nederland;2020 April;364;1179
141;Total overnight accommodation;All countries;Nederland;2020 May;924;2752
142;Total overnight accommodation;All countries;Nederland;2020 June;2395;7445
143;Total overnight accommodation;All countries;Nederland;2020 2nd quarter;3683;11377
144;Total overnight accommodation;All countries;Nederland;2020 July;4191;16068
145;Total overnight accommodation;All countries;Nederland;2020 August;4740;19112
146;Total overnight accommodation;All countries;Nederland;2020 September;3235;10408
147;Total overnight accommodation;All countries;Nederland;2020 3rd quarter;12166;45588
148;Total overnight accommodation;All countries;Nederland;2020 October;2124;6545
149;Total overnight accommodation;All countries;Nederland;2020 November;1288;3094
150;Total overnight accommodation;All countries;Nederland;2020 December;1181;3078
151;Total overnight accommodation;All countries;Nederland;2020 4th quarter;4593;12718
152;Total overnight accommodation;All countries;Nederland;2020;27301;85415
153;Total overnight accommodation;All countries;Nederland;2021 January;769;2179
154;Total overnight accommodation;All countries;Nederland;2021 February;1186;3234
155;Total overnight accommodation;All countries;Nederland;2021 March;1167;3070
156;Total overnight accommodation;All countries;Nederland;2021 1th quarter;3122;8482
157;Total overnight accommodation;All countries;Nederland;2021 April;1772;5033
158;Total overnight accommodation;All countries;Nederland;2021 May;3161;10184
159;Total overnight accommodation;All countries;Nederland;2021 June;3197;10192
160;Total overnight accommodation;All countries;Nederland;2021 2nd quarter;8130;25409
161;Total overnight accommodation;All countries;Nederland;2021 July;4141;15685
162;Total overnight accommodation;All countries;Nederland;2021 August;4794;19377
163;Total overnight accommodation;All countries;Nederland;2021 September;3746;11505
164;Total overnight accommodation;All countries;Nederland;2021 3rd quarter;12682;46568
165;Total overnight accommodation;All countries;Nederland;2021 October;3790;10494
166;Total overnight accommodation;All countries;Nederland;2021 November;2589;6381
167;Total overnight accommodation;All countries;Nederland;2021 December;1408;3761
168;Total overnight accommodation;All countries;Nederland;2021 4th quarter;7787;20636
169;Total overnight accommodation;All countries;Nederland;2021;31720;101094
170;Total overnight accommodation;All countries;Nederland;2022 January;1230;3363
171;Total overnight accommodation;All countries;Nederland;2022 February;1998;4693
172;Total overnight accommodation;All countries;Nederland;2022 March;2893;6927
173;Total overnight accommodation;All countries;Nederland;2022 1th quarter;6121;14983
174;Total overnight accommodation;All countries;Nederland;2022 April;4266;11704
175;Total overnight accommodation;All countries;Nederland;2022 May;4846;13430
176;Total overnight accommodation;All countries;Nederland;2022 June;4716;13605
177;Total overnight accommodation;All countries;Nederland;2022 2nd quarter;13827;38739
178;Total overnight accommodation;All countries;Nederland;2022 July;5231;18256
179;Total overnight accommodation;All countries;Nederland;2022 August;5500;20672
180;Total overnight accommodation;All countries;Nederland;2022 September;4420;12957
181;Total overnight accommodation;All countries;Nederland;2022 3rd quarter;15151;51885
182;Total overnight accommodation;All countries;Nederland;2022 October;4548;12401
183;Total overnight accommodation;All countries;Nederland;2022 November;3347;7680
184;Total overnight accommodation;All countries;Nederland;2022 December;3006;6950
185;Total overnight accommodation;All countries;Nederland;2022 4th quarter;10901;27031
186;Total overnight accommodation;All countries;Nederland;2022;46000;132638
187;Total overnight accommodation;All countries;Nederland;2023 January;2734;6560
188;Total overnight accommodation;All countries;Nederland;2023 February;2770;6418
189;Total overnight accommodation;All countries;Nederland;2023 March;3331;8023
190;Total overnight accommodation;All countries;Nederland;2023 1st quarter;8835;21000
191;Total overnight accommodation;All countries;Nederland;2023 April;4573;12428
192;Total overnight accommodation;All countries;Nederland;2023 May;5140;15082
193;Total overnight accommodation;All countries;Nederland;2023 June;4853;14455
194;Total overnight accommodation;All countries;Nederland;2023 2nd quarter;14566;41965
195;Total overnight accommodation;All countries;Nederland;2023 July;5392;19062
196;Total overnight accommodation;All countries;Nederland;2023 August;5278;20151
197;Total overnight accommodation;All countries;Nederland;2023 September;4472;12960
198;Total overnight accommodation;All countries;Nederland;2023 3rd quarter;15142;52173
199;Total overnight accommodation;All countries;Nederland;2023 October;4513;12527
200;Total overnight accommodation;All countries;Nederland;2023 November;3254;7496
201;Total overnight accommodation;All countries;Nederland;2023 December;3094;7110
202;Total overnight accommodation;All countries;Nederland;2023 4th quarter;10861;27134
203;Total overnight accommodation;All countries;Nederland;2023;49404;142272
204;Total overnight accommodation;All countries;Nederland;2024 January;2970;7168
205;Total overnight accommodation;All countries;Nederland;2024 February;2973;7137
206;Total overnight accommodation;All countries;Nederland;2024 March;3621;8848
207;Total overnight accommodation;All countries;Nederland;2024 1st quarter;9564;23153
208;Total overnight accommodation;All countries;Nederland;2024 April;4367;11408
209;Total overnight accommodation;All countries;Nederland;2024 May;5459;15973
210;Total overnight accommodation;All countries;Nederland;2024 June;4934;14161
211;Total overnight accommodation;All countries;Nederland;2024 2nd quarter;14761;41541
212;Total overnight accommodation;All countries;Nederland;2024 July;5355;18488
213;Total overnight accommodation;All countries;Nederland;2024 August;5841;21525
214;Total overnight accommodation;All countries;Nederland;2024 September;4834;13802
215;Total overnight accommodation;All countries;Nederland;2024 3rd quarter;16054;53811
216;Total overnight accommodation;All countries;Nederland;2024 October;4487;12175
217;Total overnight accommodation;All countries;Nederland;2024 November;3444;7924
218;Total overnight accommodation;All countries;Nederland;2024 December;3358;7608
219;Total overnight accommodation;All countries;Nederland;2024 4th quarter;11287;27709
220;Total overnight accommodation;All countries;Nederland;2024;51655;146095
221;Total overnight accommodation;All countries;Nederland;2025 January;2931;6895
222;Total overnight accommodation;All countries;Nederland;2025 February;2885;6834
223;Total overnight accommodation;All countries;Noord-Nederland (LD);2012 January;174;441
224;Total overnight accommodation;All countries;Noord-Nederland (LD);2012 February;181;454
225;Total overnight accommodation;All countries;Noord-Nederland (LD);2012 March;226;572
226;Total overnight accommodation;All countries;Noord-Nederland (LD);2012 1st quarter;581;1467
227;Total overnight accommodation;All countries;Noord-Nederland (LD);2012 April;333;964
228;Total overnight accommodation;All countries;Noord-Nederland (LD);2012 May;459;1465
229;Total overnight accommodation;All countries;Noord-Nederland (LD);2012 June;420;1418
230;Total overnight accommodation;All countries;Noord-Nederland (LD);2012 2nd quarter;1212;3846
231;Total overnight accommodation;All countries;Noord-Nederland (LD);2012 July;449;1980
232;Total overnight accommodation;All countries;Noord-Nederland (LD);2012 August;535;2622
233;Total overnight accommodation;All countries;Noord-Nederland (LD);2012 September;359;1148
234;Total overnight accommodation;All countries;Noord-Nederland (LD);2012 3rd quarter;1343;5749
235;Total overnight accommodation;All countries;Noord-Nederland (LD);2012 October;307;917
236;Total overnight accommodation;All countries;Noord-Nederland (LD);2012 November;220;570
237;Total overnight accommodation;All countries;Noord-Nederland (LD);2012 December;184;529
238;Total overnight accommodation;All countries;Noord-Nederland (LD);2012 4th quarter;710;2016
239;Total overnight accommodation;All countries;Noord-Nederland (LD);2012;3846;13079
240;Total overnight accommodation;All countries;Noord-Nederland (LD);2013 January;155;431
241;Total overnight accommodation;All countries;Noord-Nederland (LD);2013 February;186;470
242;Total overnight accommodation;All countries;Noord-Nederland (LD);2013 March;221;593
243;Total overnight accommodation;All countries;Noord-Nederland (LD);2013 1st quarter;562;1494
244;Total overnight accommodation;All countries;Noord-Nederland (LD);2013 April;282;791
245;Total overnight accommodation;All countries;Noord-Nederland (LD);2013 May;441;1432
246;Total overnight accommodation;All countries;Noord-Nederland (LD);2013 June;393;1249
247;Total overnight accommodation;All countries;Noord-Nederland (LD);2013 2nd quarter;1116;3472
248;Total overnight accommodation;All countries;Noord-Nederland (LD);2013 July;445;1976
249;Total overnight accommodation;All countries;Noord-Nederland (LD);2013 August;539;2532
250;Total overnight accommodation;All countries;Noord-Nederland (LD);2013 September;365;1166
251;Total overnight accommodation;All countries;Noord-Nederland (LD);2013 3rd quarter;1349;5675
252;Total overnight accommodation;All countries;Noord-Nederland (LD);2013 October;290;902
253;Total overnight accommodation;All countries;Noord-Nederland (LD);2013 November;211;539
254;Total overnight accommodation;All countries;Noord-Nederland (LD);2013 December;208;554
255;Total overnight accommodation;All countries;Noord-Nederland (LD);2013 4th quarter;709;1995
256;Total overnight accommodation;All countries;Noord-Nederland (LD);2013;3736;12635
257;Total overnight accommodation;All countries;Noord-Nederland (LD);2014 January;170;451
258;Total overnight accommodation;All countries;Noord-Nederland (LD);2014 February;184;483
259;Total overnight accommodation;All countries;Noord-Nederland (LD);2014 March;227;582
260;Total overnight accommodation;All countries;Noord-Nederland (LD);2014 1st quarter;581;1516
261;Total overnight accommodation;All countries;Noord-Nederland (LD);2014 April;303;912
262;Total overnight accommodation;All countries;Noord-Nederland (LD);2014 May;412;1296
263;Total overnight accommodation;All countries;Noord-Nederland (LD);2014 June;481;1686
264;Total overnight accommodation;All countries;Noord-Nederland (LD);2014 2nd quarter;1195;3893
265;Total overnight accommodation;All countries;Noord-Nederland (LD);2014 July;433;1945
266;Total overnight accommodation;All countries;Noord-Nederland (LD);2014 August;532;2585
267;Total overnight accommodation;All countries;Noord-Nederland (LD);2014 September;384;1250
268;Total overnight accommodation;All countries;Noord-Nederland (LD);2014 3rd quarter;1349;5780
269;Total overnight accommodation;All countries;Noord-Nederland (LD);2014 October;340;1048
270;Total overnight accommodation;All countries;Noord-Nederland (LD);2014 November;215;579
271;Total overnight accommodation;All countries;Noord-Nederland (LD);2014 December;191;566
272;Total overnight accommodation;All countries;Noord-Nederland (LD);2014 4th quarter;747;2193
273;Total overnight accommodation;All countries;Noord-Nederland (LD);2014;3871;13382
274;Total overnight accommodation;All countries;Noord-Nederland (LD);2015 January;165;463
275;Total overnight accommodation;All countries;Noord-Nederland (LD);2015 February;199;559
276;Total overnight accommodation;All countries;Noord-Nederland (LD);2015 March;207;541
277;Total overnight accommodation;All countries;Noord-Nederland (LD);2015 1st quarter;571;1564
278;Total overnight accommodation;All countries;Noord-Nederland (LD);2015 April;297;897
279;Total overnight accommodation;All countries;Noord-Nederland (LD);2015 May;465;1538
280;Total overnight accommodation;All countries;Noord-Nederland (LD);2015 June;422;1343
281;Total overnight accommodation;All countries;Noord-Nederland (LD);2015 2nd quarter;1184;3778
282;Total overnight accommodation;All countries;Noord-Nederland (LD);2015 July;473;2191
283;Total overnight accommodation;All countries;Noord-Nederland (LD);2015 August;554;2490
284;Total overnight accommodation;All countries;Noord-Nederland (LD);2015 September;360;1168
285;Total overnight accommodation;All countries;Noord-Nederland (LD);2015 3rd quarter;1387;5849
286;Total overnight accommodation;All countries;Noord-Nederland (LD);2015 October;337;1037
287;Total overnight accommodation;All countries;Noord-Nederland (LD);2015 November;217;584
288;Total overnight accommodation;All countries;Noord-Nederland (LD);2015 December;191;569
289;Total overnight accommodation;All countries;Noord-Nederland (LD);2015 4th quarter;745;2190
290;Total overnight accommodation;All countries;Noord-Nederland (LD);2015;3887;13380
291;Total overnight accommodation;All countries;Noord-Nederland (LD);2016 January;175;470
292;Total overnight accommodation;All countries;Noord-Nederland (LD);2016 February;224;575
293;Total overnight accommodation;All countries;Noord-Nederland (LD);2016 March;246;687
294;Total overnight accommodation;All countries;Noord-Nederland (LD);2016 1st quarter;645;1732
295;Total overnight accommodation;All countries;Noord-Nederland (LD);2016 April;307;846
296;Total overnight accommodation;All countries;Noord-Nederland (LD);2016 May;458;1426
297;Total overnight accommodation;All countries;Noord-Nederland (LD);2016 June;399;1285
298;Total overnight accommodation;All countries;Noord-Nederland (LD);2016 2nd quarter;1165;3557
299;Total overnight accommodation;All countries;Noord-Nederland (LD);2016 July;457;1951
300;Total overnight accommodation;All countries;Noord-Nederland (LD);2016 August;531;2549
301;Total overnight accommodation;All countries;Noord-Nederland (LD);2016 September;421;1325
302;Total overnight accommodation;All countries;Noord-Nederland (LD);2016 3rd quarter;1409;5825
303;Total overnight accommodation;All countries;Noord-Nederland (LD);2016 October;378;1156
304;Total overnight accommodation;All countries;Noord-Nederland (LD);2016 November;234;604
305;Total overnight accommodation;All countries;Noord-Nederland (LD);2016 December;211;566
306;Total overnight accommodation;All countries;Noord-Nederland (LD);2016 4th quarter;824;2326
307;Total overnight accommodation;All countries;Noord-Nederland (LD);2016;4043;13440
308;Total overnight accommodation;All countries;Noord-Nederland (LD);2017 January;216;581
309;Total overnight accommodation;All countries;Noord-Nederland (LD);2017 February;207;546
310;Total overnight accommodation;All countries;Noord-Nederland (LD);2017 March;248;629
311;Total overnight accommodation;All countries;Noord-Nederland (LD);2017 1st quarter;671;1756
312;Total overnight accommodation;All countries;Noord-Nederland (LD);2017 April;378;1112
313;Total overnight accommodation;All countries;Noord-Nederland (LD);2017 May;444;1342
314;Total overnight accommodation;All countries;Noord-Nederland (LD);2017 June;477;1516
315;Total overnight accommodation;All countries;Noord-Nederland (LD);2017 2nd quarter;1299;3971
316;Total overnight accommodation;All countries;Noord-Nederland (LD);2017 July;485;1923
317;Total overnight accommodation;All countries;Noord-Nederland (LD);2017 August;544;2499
318;Total overnight accommodation;All countries;Noord-Nederland (LD);2017 September;420;1401
319;Total overnight accommodation;All countries;Noord-Nederland (LD);2017 3rd quarter;1450;5823
320;Total overnight accommodation;All countries;Noord-Nederland (LD);2017 October;380;1162
321;Total overnight accommodation;All countries;Noord-Nederland (LD);2017 November;255;685
322;Total overnight accommodation;All countries;Noord-Nederland (LD);2017 December;238;645
323;Total overnight accommodation;All countries;Noord-Nederland (LD);2017 4th quarter;873;2491
324;Total overnight accommodation;All countries;Noord-Nederland (LD);2017;4292;14041
325;Total overnight accommodation;All countries;Noord-Nederland (LD);2018 January;211;582
326;Total overnight accommodation;All countries;Noord-Nederland (LD);2018 February;210;561
327;Total overnight accommodation;All countries;Noord-Nederland (LD);2018 March;285;755
328;Total overnight accommodation;All countries;Noord-Nederland (LD);2018 1st quarter;706;1897
329;Total overnight accommodation;All countries;Noord-Nederland (LD);2018 April;387;1063
330;Total overnight accommodation;All countries;Noord-Nederland (LD);2018 May;520;1675
331;Total overnight accommodation;All countries;Noord-Nederland (LD);2018 June;482;1529
332;Total overnight accommodation;All countries;Noord-Nederland (LD);2018 2nd quarter;1390;4267
333;Total overnight accommodation;All countries;Noord-Nederland (LD);2018 July;521;2067
334;Total overnight accommodation;All countries;Noord-Nederland (LD);2018 August;609;2731
335;Total overnight accommodation;All countries;Noord-Nederland (LD);2018 September;436;1370
336;Total overnight accommodation;All countries;Noord-Nederland (LD);2018 3rd quarter;1566;6168
337;Total overnight accommodation;All countries;Noord-Nederland (LD);2018 October;429;1249
338;Total overnight accommodation;All countries;Noord-Nederland (LD);2018 November;278;706
339;Total overnight accommodation;All countries;Noord-Nederland (LD);2018 December;242;650
340;Total overnight accommodation;All countries;Noord-Nederland (LD);2018 4th quarter;949;2604
341;Total overnight accommodation;All countries;Noord-Nederland (LD);2018;4611;14936
342;Total overnight accommodation;All countries;Noord-Nederland (LD);2019 January;208;572
343;Total overnight accommodation;All countries;Noord-Nederland (LD);2019 February;219;567
344;Total overnight accommodation;All countries;Noord-Nederland (LD);2019 March;276;736
345;Total overnight accommodation;All countries;Noord-Nederland (LD);2019 1st quarter;702;1875
346;Total overnight accommodation;All countries;Noord-Nederland (LD);2019 April;419;1292
347;Total overnight accommodation;All countries;Noord-Nederland (LD);2019 May;421;1255
348;Total overnight accommodation;All countries;Noord-Nederland (LD);2019 June;554;1804
349;Total overnight accommodation;All countries;Noord-Nederland (LD);2019 2nd quarter;1394;4351
350;Total overnight accommodation;All countries;Noord-Nederland (LD);2019 July;515;2097
351;Total overnight accommodation;All countries;Noord-Nederland (LD);2019 August;588;2790
352;Total overnight accommodation;All countries;Noord-Nederland (LD);2019 September;443;1436
353;Total overnight accommodation;All countries;Noord-Nederland (LD);2019 3rd quarter;1547;6323
354;Total overnight accommodation;All countries;Noord-Nederland (LD);2019 October;383;1228
355;Total overnight accommodation;All countries;Noord-Nederland (LD);2019 November;275;736
356;Total overnight accommodation;All countries;Noord-Nederland (LD);2019 December;239;644
357;Total overnight accommodation;All countries;Noord-Nederland (LD);2019 4th quarter;896;2608
358;Total overnight accommodation;All countries;Noord-Nederland (LD);2019;4539;15157
359;Total overnight accommodation;All countries;Noord-Nederland (LD);2020 January;217;605
360;Total overnight accommodation;All countries;Noord-Nederland (LD);2020 February;250;684
361;Total overnight accommodation;All countries;Noord-Nederland (LD);2020 March;141;412
362;Total overnight accommodation;All countries;Noord-Nederland (LD);2020 1st quarter;607;1701
363;Total overnight accommodation;All countries;Noord-Nederland (LD);2020 April;50;186
364;Total overnight accommodation;All countries;Noord-Nederland (LD);2020 May;138;468
365;Total overnight accommodation;All countries;Noord-Nederland (LD);2020 June;358;1224
366;Total overnight accommodation;All countries;Noord-Nederland (LD);2020 2nd quarter;546;1879
367;Total overnight accommodation;All countries;Noord-Nederland (LD);2020 July;593;2697
368;Total overnight accommodation;All countries;Noord-Nederland (LD);2020 August;691;3297
369;Total overnight accommodation;All countries;Noord-Nederland (LD);2020 September;457;1632
370;Total overnight accommodation;All countries;Noord-Nederland (LD);2020 3rd quarter;1741;7627
371;Total overnight accommodation;All countries;Noord-Nederland (LD);2020 October;311;1069
372;Total overnight accommodation;All countries;Noord-Nederland (LD);2020 November;161;463
373;Total overnight accommodation;All countries;Noord-Nederland (LD);2020 December;142;452
374;Total overnight accommodation;All countries;Noord-Nederland (LD);2020 4th quarter;614;1984
375;Total overnight accommodation;All countries;Noord-Nederland (LD);2020;3509;13191
376;Total overnight accommodation;All countries;Noord-Nederland (LD);2021 January;76;272
377;Total overnight accommodation;All countries;Noord-Nederland (LD);2021 February;144;475
378;Total overnight accommodation;All countries;Noord-Nederland (LD);2021 March;138;431
379;Total overnight accommodation;All countries;Noord-Nederland (LD);2021 1th quarter;358;1178
380;Total overnight accommodation;All countries;Noord-Nederland (LD);2021 April;232;755
381;Total overnight accommodation;All countries;Noord-Nederland (LD);2021 May;436;1574
382;Total overnight accommodation;All countries;Noord-Nederland (LD);2021 June;440;1582
383;Total overnight accommodation;All countries;Noord-Nederland (LD);2021 2nd quarter;1109;3910
384;Total overnight accommodation;All countries;Noord-Nederland (LD);2021 July;552;2406
385;Total overnight accommodation;All countries;Noord-Nederland (LD);2021 August;661;3180
386;Total overnight accommodation;All countries;Noord-Nederland (LD);2021 September;463;1561
387;Total overnight accommodation;All countries;Noord-Nederland (LD);2021 3rd quarter;1676;7147
388;Total overnight accommodation;All countries;Noord-Nederland (LD);2021 October;395;1236
389;Total overnight accommodation;All countries;Noord-Nederland (LD);2021 November;262;747
390;Total overnight accommodation;All countries;Noord-Nederland (LD);2021 December;149;464
391;Total overnight accommodation;All countries;Noord-Nederland (LD);2021 4th quarter;806;2448
