ID;EconomischeSectoren;Perioden;ProductieBasisprijzen_1;IntermediairVerbruik_2;WaardeInWerkelijkePrijzen_3;WaardePrijsniveau2005_4;VolumemutatieTOVVoorafgaandJaar_5;Prijsindexcijfers_6;TotaalBeloningWerknemers_7;LonenEnSalarissen_8;SocialePremiesTLVWerkgevers_9;Afschrijvingen_10;NettoExploitatieOverschot_11;Saldo_12;NietProductgebondenBelastingen_13;NietProductgebondenSubsidies_14;VerschilToegerekendeEnAfgedragenBTW_15;WaardeInWerkelijkePrijzen_16;WaardePrijsniveau2005_17;VolumemutatieTOVVoorafgaandJaar_18;Prijsindexcijfers_19
13;Totaal economische sectoren;2001;853164;455608;397556;433798;1.9;91.6;227390;182607;44783;65865;104331.0;978;4788;3810.0;1008.0;397556;433798;1.9;91.6
14;Totaal economische sectoren;2002;870427;456053;414374;434620;0.2;95.3;238825;189544;49281;69427;106231.0;1025;5004;3979.0;1134.0;414374;434620;0.2;95.3
15;Totaal economische sectoren;2003;883492;458236;425256;436743;0.5;97.4;245752;193799;51953;71461;107387.0;1367;5050;3683.0;711.0;425256;436743;0.5;97.4
16;Totaal economische sectoren;2004;913856;476982;436874;446904;2.3;97.8;251030;195648;55382;73498;111614.0;1166;5261;4095.0;434.0;436874;446904;2.3;97.8
17;Totaal economische sectoren;2005;962007;505825;456182;456182;2.1;100.0;254563;199011;55552;75709;124334.0;2214;5599;3385.0;638.0;456182;456182;2.1;100.0
18;Totaal economische sectoren;2006;1021783;542771;479012;471376;3.3;101.6;264925;207545;57380;78594;133509.0;2140;5642;3502.0;156.0;479012;471376;3.3;101.6
19;Totaal economische sectoren;2007;1085522;577872;507650;490102;4.0;103.6;280309;220159;60150;82072;143214.0;1460;5948;4488.0;-595.0;507650;490102;4.0;103.6
20;Totaal economische sectoren;2008;1149443;621204;528239;500273;2.1;105.6;294716;230750;63966;85412;146867.0;1689;6423;4734.0;445.0;528239;500273;2.1;105.6
21;Totaal economische sectoren;2009;1096415;585563;510852;483757;-3.3;105.6;298488;233570;64918;87974;126603.0;562;6823;6261.0;2775.0;510852;483757;-3.3;105.6
22;Totaal economische sectoren;2010;1137237;613117;524120;491985;1.7;106.5;300491;234552;65939;89725;133119.0;658;7087;6429.0;-127.0;524120;491985;1.7;106.5
23;Totaal economische sectoren;2011;1183191;646573;536618;497884;1.2;107.8;306215;238903;67312;88944;141340.0;1123;7242;6119.0;1004.0;536618;497884;1.2;107.8
24;Totaal economische sectoren;2012;1195892;657855;538037;492196;-1.1;109.3;309190;239022;70168;89044;138930.0;1913;7468;5555.0;1040.0;538037;492196;-1.1;109.3
25;Niet-financiële vennootschappen;1988;292688;169282;123406;160086;3.8;77.1;76688;60914;15774;18196;28070.0;606;1343;737.0;154.0;123406;160086;3.8;77.1
26;Niet-financiële vennootschappen;1989;315648;184664;130984;180077;12.5;72.7;79738;64085;15653;19311;31636.0;527;1299;772.0;228.0;130984;180077;12.5;72.7
27;Niet-financiële vennootschappen;1990;334167;194126;140041;188011;4.4;74.5;85367;74464;10903;20526;33917.0;555;1370;815.0;324.0;140041;188011;4.4;74.5
28;Niet-financiële vennootschappen;1991;352178;204137;148041;193140;2.7;76.6;90995;79270;11725;21729;34551.0;909;1400;491.0;143.0;148041;193140;2.7;76.6
29;Niet-financiële vennootschappen;1992;360231;207482;152749;195294;1.1;78.2;96200;83621;12579;22874;33060.0;1192;1611;419.0;577.0;152749;195294;1.1;78.2
30;Niet-financiële vennootschappen;1993;362537;205700;156837;197161;1.0;79.5;98314;86141;12173;23675;33483.0;1346;1707;361.0;-19.0;156837;197161;1.0;79.5
31;Niet-financiële vennootschappen;1994;379457;215822;163635;204572;3.8;80.0;100641;88614;12027;24247;37969.0;1370;1797;427.0;592.0;163635;204572;3.8;80.0
32;Niet-financiële vennootschappen;1995;400803;229802;171001;211841;3.6;80.7;104177;91400;12777;24735;41058.0;1440;1816;376.0;409.0;171001;211841;3.6;80.7
33;Niet-financiële vennootschappen;1996;425976;246525;179451;220546;4.1;81.4;109181;95531;13650;25692;43895.0;1137;1870;733.0;454.0;179451;220546;4.1;81.4
34;Niet-financiële vennootschappen;1997;458657;266347;192310;230575;4.5;83.4;115903;101590;14313;26793;49439.0;566;1823;1257.0;391.0;192310;230575;4.5;83.4
35;Niet-financiële vennootschappen;1998;483091;278420;204671;241307;4.7;84.8;125214;102558;22656;28465;51236.0;196;1900;1704.0;440.0;204671;241307;4.7;84.8
36;Niet-financiële vennootschappen;1999;513534;295976;217558;254566;5.5;85.5;134326;110295;24031;30532;52773.0;193;2155;1962.0;266.0;217558;254566;5.5;85.5
37;Niet-financiële vennootschappen;2000;572172;335025;237147;268039;5.3;88.5;144303;117985;26318;33059;59899.0;171;2321;2150.0;285.0;237147;268039;5.3;88.5
38;Niet-financiële vennootschappen;2001;602521;350527;251994;273920;2.2;92.0;154574;126082;28492;35583;62213.0;13;2606;2593.0;389.0;251994;273920;2.2;92.0
39;Niet-financiële vennootschappen;2002;609124;346100;263024;275488;0.6;95.5;161243;129970;31273;37322;64898.0;56;2726;2670.0;495.0;263024;275488;0.6;95.5
40;Niet-financiële vennootschappen;2003;610236;343605;266631;273690;-0.7;97.4;164883;131865;33018;38081;63583.0;394;2681;2287.0;310.0;266631;273690;-0.7;97.4
41;Niet-financiële vennootschappen;2004;632981;359272;273709;278674;1.8;98.2;168539;133557;34982;38819;66561.0;32;2768;2736.0;242.0;273709;278674;1.8;98.2
42;Niet-financiële vennootschappen;2005;671509;384347;287162;287162;3.0;100.0;170995;136487;34508;40268;75505.0;746;2975;2229.0;352.0;287162;287162;3.0;100.0
43;Niet-financiële vennootschappen;2006;720081;415869;304212;298693;4.0;101.8;179049;142742;36307;41499;82763.0;992;3084;2092.0;91.0;304212;298693;4.0;101.8
44;Niet-financiële vennootschappen;2007;772665;447461;325204;312907;4.8;103.9;190018;152081;37937;43201;91203.0;451;3337;2886.0;-331.0;325204;312907;4.8;103.9
45;Niet-financiële vennootschappen;2008;821339;481467;339872;318546;1.8;106.7;201020;160085;40935;44990;93466.0;662;3671;3009.0;266.0;339872;318546;1.8;106.7
46;Niet-financiële vennootschappen;2009;751950;429021;322929;303191;-4.8;106.5;201913;160853;41060;46025;77136.0;-480;3859;4339.0;1665.0;322929;303191;-4.8;106.5
47;Niet-financiële vennootschappen;2010;783812;455920;327892;308704;1.8;106.2;201801;160295;41506;46543;79851.0;-398;4026;4424.0;-95.0;327892;308704;1.8;106.2
48;Niet-financiële vennootschappen;2011;829170;490811;338359;314164;1.8;107.7;207140;164406;42734;46200;85443.0;52;4072;4020.0;476.0;338359;314164;1.8;107.7
49;Niet-financiële vennootschappen;2012;839463;499566;339897;311153;-1.0;109.2;210147;165634;44513;46744;83443.0;206;3794;3588.0;643.0;339897;311153;-1.0;109.2
50;Financiële instellingen;1988;18914;7672;11242;18417;1.0;61.0;5890;4630;1260;1369;3945.0;38;63;25.0;0.0;11242;18417;1.0;61.0
51;Financiële instellingen;1989;20879;8809;12070;19900;8.1;60.7;6088;4874;1214;1655;4225.0;102;120;18.0;0.0;12070;19900;8.1;60.7
52;Financiële instellingen;1990;20070;9116;10954;20836;4.7;52.6;6484;5471;1013;1927;2430.0;113;128;15.0;0.0;10954;20836;4.7;52.6
53;Financiële instellingen;1991;22674;10473;12201;21127;1.4;57.7;6936;5824;1112;2193;2941.0;131;155;24.0;0.0;12201;21127;1.4;57.7
54;Financiële instellingen;1992;24028;11235;12793;22230;5.2;57.5;7384;6132;1252;2399;2875.0;135;160;25.0;0.0;12793;22230;5.2;57.5
55;Financiële instellingen;1993;25008;11573;13435;23249;4.6;57.8;7875;6482;1393;2544;2867.0;149;171;22.0;0.0;13435;23249;4.6;57.8
56;Financiële instellingen;1994;28202;13020;15182;22735;-2.2;66.8;7992;6688;1304;2580;4446.0;164;178;14.0;0.0;15182;22735;-2.2;66.8
57;Financiële instellingen;1995;30645;13615;17030;23558;3.6;72.3;8184;6866;1318;2599;6089.0;158;164;6.0;0.0;17030;23558;3.6;72.3
58;Financiële instellingen;1996;32931;15205;17726;24572;4.3;72.1;8657;7289;1368;2727;6179.0;163;183;20.0;0.0;17726;24572;4.3;72.1
59;Financiële instellingen;1997;35583;17180;18403;26517;7.9;69.4;9411;7975;1436;2957;5874.0;161;193;32.0;0.0;18403;26517;7.9;69.4
60;Financiële instellingen;1998;38041;19183;18858;28133;6.1;67.0;10298;8153;2145;3397;5010.0;153;208;55.0;0.0;18858;28133;6.1;67.0
61;Financiële instellingen;1999;41650;20969;20681;29216;3.8;70.8;11418;9041;2377;3975;5096.0;192;248;56.0;0.0;20681;29216;3.8;70.8
62;Financiële instellingen;2000;46776;24763;22013;28631;-2.0;76.9;12532;10031;2501;4685;4580.0;216;292;76.0;0.0;22013;28631;-2.0;76.9
63;Financiële instellingen;2001;49192;25040;24152;29446;2.8;82.0;13399;10715;2684;5010;5526.0;217;312;95.0;0.0;24152;29446;2.8;82.0
64;Financiële instellingen;2002;51522;25229;26293;29589;0.5;88.9;14446;11163;3283;5196;6436.0;215;309;94.0;0.0;26293;29589;0.5;88.9
65;Financiële instellingen;2003;56430;26073;30357;31132;5.2;97.5;14984;11476;3508;5132;10010.0;231;329;98.0;0.0;30357;31132;5.2;97.5
66;Financiële instellingen;2004;58960;27346;31614;33533;7.7;94.3;15399;11715;3684;5182;10805.0;228;351;123.0;0.0;31614;33533;7.7;94.3
67;Financiële instellingen;2005;62067;28230;33837;33837;0.9;100.0;15617;11975;3642;4609;13328.0;283;385;102.0;0.0;33837;33837;0.9;100.0
68;Financiële instellingen;2006;61117;30040;31077;35624;5.3;87.2;16606;12778;3828;4647;9613.0;211;292;81.0;0.0;31077;35624;5.3;87.2
69;Financiële instellingen;2007;59672;31065;28607;37292;4.7;76.7;17603;13581;4022;4736;6022.0;246;328;82.0;0.0;28607;37292;4.7;76.7
70;Financiële instellingen;2008;63004;33859;29145;40422;8.4;72.1;17542;13552;3990;4848;6511.0;244;325;81.0;0.0;29145;40422;8.4;72.1
71;Financiële instellingen;2009;75923;39247;36676;40192;-0.6;91.3;17166;13225;3941;4857;14404.0;249;330;81.0;0.0;36676;40192;-0.6;91.3
72;Financiële instellingen;2010;80505;38252;42253;41346;2.9;102.2;17517;13366;4151;4610;19897.0;229;334;105.0;0.0;42253;41346;2.9;102.2
73;Financiële instellingen;2011;78366;37152;41214;40515;-2.0;101.7;17534;13215;4319;4574;18838.0;268;354;86.0;0.0;41214;40515;-2.0;101.7
74;Financiële instellingen;2012;79965;35360;44605;39055;-3.6;114.2;17741;13137;4604;4128;21971.0;765;842;77.0;0.0;44605;39055;-3.6;114.2
75;Overheid;1988;44966;13502;31464;54533;0.0;57.7;25478;18702;6776;5752;0.0;234;234;0.0;0.0;31464;54533;0.0;57.7
76;Overheid;1989;45993;14185;31808;54606;0.1;58.2;25523;19128;6395;6041;0.0;244;244;0.0;0.0;31808;54606;0.1;58.2
77;Overheid;1990;48081;15080;33001;55187;1.1;59.8;26401;21598;4803;6342;0.0;258;258;0.0;0.0;33001;55187;1.1;59.8
78;Overheid;1991;50818;16246;34572;55782;1.1;62.0;27623;22648;4975;6670;0.0;279;279;0.0;0.0;34572;55782;1.1;62.0
79;Overheid;1992;53502;16997;36505;56005;0.4;65.2;29286;24056;5230;6931;0.0;288;288;0.0;0.0;36505;56005;0.4;65.2
80;Overheid;1993;56017;18096;37921;56801;1.4;66.8;30414;25008;5406;7194;0.0;313;313;0.0;0.0;37921;56801;1.4;66.8
81;Overheid;1994;58105;19145;38960;56868;0.1;68.5;31215;25625;5590;7412;0.0;333;333;0.0;0.0;38960;56868;0.1;68.5
82;Overheid;1995;60646;20201;40445;57337;0.8;70.5;32345;25470;6875;7979;0.0;121;368;247.0;0.0;40445;57337;0.8;70.5
83;Overheid;1996;61905;21313;40592;56832;-0.9;71.4;32391;25422;6969;8266;0.0;-65;383;448.0;0.0;40592;56832;-0.9;71.4
84;Overheid;1997;64173;22076;42097;57445;1.1;73.3;33602;26618;6984;8572;0.0;-77;392;469.0;0.0;42097;57445;1.1;73.3
85;Overheid;1998;67389;23374;44015;57926;0.8;76.0;35280;26718;8562;8942;0.0;-207;416;623.0;0.0;44015;57926;0.8;76.0
86;Overheid;1999;72278;25615;46663;58903;1.7;79.2;37441;28368;9073;9420;0.0;-198;441;639.0;0.0;46663;58903;1.7;79.2
87;Overheid;2000;76898;27278;49620;59792;1.5;83.0;39647;30161;9486;10119;0.0;-146;465;611.0;0.0;49620;59792;1.5;83.0
88;Overheid;2001;84361;30969;53392;60932;1.9;87.6;42820;32295;10525;10767;0.0;-195;471;666.0;0.0;53392;60932;1.9;87.6
89;Overheid;2002;89775;33070;56705;61726;1.3;91.9;45599;34328;11271;11402;0.0;-296;505;801.0;0.0;56705;61726;1.3;91.9
90;Overheid;2003;94791;34945;59846;62972;2.0;95.0;48040;36226;11814;12035;0.0;-229;539;768.0;0.0;59846;62972;2.0;95.0
91;Overheid;2004;96515;35292;61223;62758;-0.3;97.6;48909;35979;12930;12427;0.0;-113;549;662.0;0.0;61223;62758;-0.3;97.6
92;Overheid;2005;98800;36410;62390;62390;-0.6;100.0;49543;35899;13644;12872;0.0;-25;559;584.0;0.0;62390;62390;-0.6;100.0
93;Overheid;2006;102645;39024;63621;62325;-0.1;102.1;50216;36882;13334;13476;0.0;-71;562;633.0;0.0;63621;62325;-0.1;102.1
94;Overheid;2007;107424;40961;66463;62852;0.8;105.7;52273;38230;14043;14251;0.0;-61;569;630.0;0.0;66463;62852;0.8;105.7
95;Overheid;2008;113736;44004;69732;63629;1.2;109.6;54691;40061;14630;15092;0.0;-51;594;645.0;0.0;69732;63629;1.2;109.6
96;Overheid;2009;120672;47388;73284;64765;1.8;113.2;57725;42267;15458;15738;0.0;-179;611;790.0;0.0;73284;64765;1.8;113.2
97;Overheid;2010;122155;46869;75286;65906;1.8;114.2;59229;43542;15687;16269;0.0;-212;641;853.0;0.0;75286;65906;1.8;114.2
98;Overheid;2011;120804;45453;75351;65830;-0.1;114.5;58893;43351;15542;16637;0.0;-179;670;849.0;0.0;75351;65830;-0.1;114.5
99;Overheid;2012;121089;45505;75584;65015;-1.2;116.3;58649;42494;16155;16957;0.0;-22;699;721.0;0.0;75584;65015;-1.2;116.3
100;Huishoudens;1988;59451;25462;33989;64715;4.4;52.5;7313;5794;1519;6950;19368.0;590;723;133.0;232.0;33989;64715;4.4;52.5
101;Huishoudens;1989;63923;27071;36852;49481;-23.5;74.5;7595;6092;1503;7287;21744.0;569;753;184.0;343.0;36852;49481;-23.5;74.5
102;Huishoudens;1990;66676;27641;39035;51612;4.3;75.6;8159;7094;1065;7711;23013.0;641;770;129.0;489.0;39035;51612;4.3;75.6
103;Huishoudens;1991;70532;29296;41236;53123;2.9;77.6;8689;7556;1133;8088;24026.0;643;796;153.0;210.0;41236;53123;2.9;77.6
104;Huishoudens;1992;73409;30169;43240;54357;2.3;79.5;9286;8036;1250;8599;25569.0;700;852;152.0;914.0;43240;54357;2.3;79.5
105;Huishoudens;1993;74397;30695;43702;54860;0.9;79.7;9626;8402;1224;8923;24417.0;707;915;208.0;-29.0;43702;54860;0.9;79.7
106;Huishoudens;1994;77874;32172;45702;56531;3.0;80.8;9867;8676;1191;9292;26670.0;762;961;199.0;889.0;45702;56531;3.0;80.8
107;Huishoudens;1995;79539;33505;46034;57760;2.2;79.7;10073;8827;1246;9803;26016.0;750;951;201.0;608.0;46034;57760;2.2;79.7
108;Huishoudens;1996;83873;35789;48084;58896;2.0;81.6;10488;9199;1289;10350;27329.0;615;981;366.0;698.0;48084;58896;2.0;81.6
109;Huishoudens;1997;89822;37383;52439;61440;4.3;85.4;11140;9784;1356;10870;30262.0;751;1024;273.0;584.0;52439;61440;4.3;85.4
110;Huishoudens;1998;93912;38819;55093;62786;2.2;87.7;12005;9839;2166;11458;31548.0;742;1072;330.0;660.0;55093;62786;2.2;87.7
111;Huishoudens;1999;99118;41146;57972;65071;3.6;89.1;12835;10577;2258;12272;32619.0;646;1164;518.0;400.0;57972;65071;3.6;89.1
112;Huishoudens;2000;106043;43199;62844;66991;3.0;93.8;13724;11244;2480;13265;35395.0;887;1229;342.0;427.0;62844;66991;3.0;93.8
113;Huishoudens;2001;112514;46436;66078;67143;0.2;98.4;14862;12115;2747;14315;36592.0;928;1384;456.0;619.0;66078;67143;0.2;98.4
114;Huishoudens;2002;115090;48879;66211;65525;-2.4;101.0;15600;12544;3056;15309;34897.0;1044;1458;414.0;639.0;66211;65525;-2.4;101.0
115;Huishoudens;2003;116920;50664;66256;66800;1.9;99.2;15896;12703;3193;16011;33794.0;956;1486;530.0;401.0;66256;66800;1.9;99.2
116;Huishoudens;2004;120198;52078;68120;69742;4.4;97.7;16193;12836;3357;16865;34248.0;1006;1580;574.0;192.0;68120;69742;4.4;97.7
117;Huishoudens;2005;124335;53766;70569;70569;1.2;100.0;16397;13073;3324;17754;35501.0;1203;1673;470.0;286.0;70569;70569;1.2;100.0
118;Huishoudens;2006;132384;54521;77863;72496;2.7;107.4;17043;13566;3477;18761;41133.0;991;1687;696.0;65.0;77863;72496;2.7;107.4
119;Huishoudens;2007;140047;55070;84977;74790;3.2;113.6;18250;14561;3689;19667;45989.0;807;1697;890.0;-264.0;84977;74790;3.2;113.6
120;Huishoudens;2008;145386;58443;86943;75977;1.6;114.4;19156;15234;3922;20259;46890.0;817;1816;999.0;179.0;86943;75977;1.6;114.4
121;Huishoudens;2009;141748;66519;75229;74084;-2.5;101.5;19198;15267;3931;21126;35063.0;952;2003;1051.0;1110.0;75229;74084;-2.5;101.5
122;Huishoudens;2010;144390;68628;75762;74441;0.5;101.8;19268;15253;4015;22073;33371.0;1018;2065;1047.0;-32.0;75762;74441;0.5;101.8
123;Huishoudens;2011;148409;69708;78701;75848;1.9;103.8;19907;15760;4147;21304;37059.0;959;2123;1164.0;528.0;78701;75848;1.9;103.8
124;Huishoudens;2012;149124;73994;75130;75627;-0.3;99.3;20088;15767;4321;20982;33516.0;941;2110;1169.0;397.0;75130;75627;-0.3;99.3
125;IZW-huishoudens;1988;1476;714;762;1225;2.2;62.2;668;514;154;88;;6;6;;;762;1225;2.2;62.2
126;IZW-huishoudens;1989;1564;786;778;1223;-0.1;63.6;684;533;151;88;;6;6;;;778;1223;-0.1;63.6
127;IZW-huishoudens;1990;1624;823;801;1234;0.9;64.9;705;598;107;90;;6;6;;;801;1234;0.9;64.9
128;IZW-huishoudens;1991;1734;855;879;1311;6.2;67.0;780;648;132;93;;6;6;;;879;1311;6.2;67.0
129;IZW-huishoudens;1992;1857;929;928;1399;6.7;66.3;824;682;142;97;;7;7;;;928;1399;6.7;66.3
130;IZW-huishoudens;1993;1976;1070;906;1309;-6.5;69.2;798;669;129;101;;7;7;;;906;1309;-6.5;69.2
131;IZW-huishoudens;1994;2117;1115;1002;1436;9.7;69.8;888;749;139;105;;9;9;;;1002;1436;9.7;69.8
132;IZW-huishoudens;1995;2330;1154;1176;1664;15.9;70.7;1058;906;152;110;;8;8;;;1176;1664;15.9;70.7
133;IZW-huishoudens;1996;2440;1214;1226;1709;2.7;71.7;1103;953;150;115;;8;8;;;1226;1709;2.7;71.7
134;IZW-huishoudens;1997;2585;1295;1290;1726;1.0;74.7;1166;1012;154;117;;7;7;;;1290;1726;1.0;74.7
135;IZW-huishoudens;1998;2758;1368;1390;1770;2.6;78.5;1257;1023;234;121;;12;12;;;1390;1770;2.6;78.5
136;IZW-huishoudens;1999;2962;1501;1461;1812;2.4;80.6;1324;1080;244;127;;10;10;;;1461;1812;2.4;80.6
137;IZW-huishoudens;2000;4272;2481;1791;2127;17.4;84.2;1597;1297;300;180;;14;14;;;1791;2127;17.4;84.2
138;IZW-huishoudens;2001;4576;2636;1940;2210;3.9;87.8;1735;1400;335;190;;15;15;;;1940;2210;3.9;87.8
139;IZW-huishoudens;2002;4916;2775;2141;2313;4.6;92.6;1937;1539;398;198;;6;6;;;2141;2313;4.6;92.6
140;IZW-huishoudens;2003;5115;2949;2166;2245;-2.9;96.5;1949;1529;420;202;;15;15;;;2166;2245;-2.9;96.5
141;IZW-huishoudens;2004;5202;2994;2208;2227;-0.8;99.1;1990;1561;429;205;;13;13;;;2208;2227;-0.8;99.1
142;IZW-huishoudens;2005;5296;3072;2224;2224;-0.1;100.0;2011;1577;434;206;;7;7;;;2224;2224;-0.1;100.0
143;IZW-huishoudens;2006;5556;3317;2239;2238;0.6;100.0;2011;1577;434;211;;17;17;;;2239;2238;0.6;100.0
144;IZW-huishoudens;2007;5714;3315;2399;2333;4.2;102.8;2165;1706;459;217;;17;17;;;2399;2333;4.2;102.8
145;IZW-huishoudens;2008;5978;3431;2547;2435;4.4;104.6;2307;1818;489;223;;17;17;;;2547;2435;4.4;104.6
146;IZW-huishoudens;2009;6122;3388;2734;2464;1.2;111.0;2486;1958;528;228;;20;20;;;2734;2464;1.2;111.0
147;IZW-huishoudens;2010;6375;3448;2927;2563;4.0;114.2;2676;2096;580;230;;21;21;;;2927;2563;4.0;114.2
148;IZW-huishoudens;2011;6442;3449;2993;2552;-0.4;117.3;2741;2171;570;229;;23;23;;;2993;2552;-0.4;117.3
149;IZW-huishoudens;2012;6251;3430;2821;2349;-8.0;120.1;2565;1990;575;233;;23;23;;;2821;2349;-8.0;120.1
