ID;LorriesRoadTractorsLoadCapacityLC;AgeOfVehicle;Periods;TotalKilometresInTheNetherlands_1;KilometresByDutchVehicles_2;KilometresByForeignVehicles_3;TotalKilometresByDutchVehicles_4;KilometresInTheNetherlands_5;KilometresAbroad_6;TotalAverageAnnualKilometres_7;AverageAnnualKilometresInNetherlands_8;AverageAnnualKilometresAbroad_9;DutchGoodsVehiclesInUse_10
29;Lorries and road tractors;Total goods vehicles;2019;7503.4;6596.7;906.7;9392.1;6596.7;2795.4;55205.0;38774.0;16431.0;170132.0
30;Lorries and road tractors;Total goods vehicles;2020;7436.7;6490.7;946.0;9142.0;6490.7;2651.3;54505.0;38698.0;15807.0;167729.0
31;Lorries and road tractors;Vehicle 0 years old;1990;630.0;562.0;69.0;970.0;562.0;408.0;;;;
32;Lorries and road tractors;Vehicle 0 years old;1991;499.0;441.0;59.0;793.0;441.0;352.0;;;;
33;Lorries and road tractors;Vehicle 0 years old;1992;567.0;501.0;66.0;909.0;501.0;409.0;;;;
34;Lorries and road tractors;Vehicle 0 years old;1993;566.0;500.0;67.0;923.0;500.0;423.0;;;;
35;Lorries and road tractors;Vehicle 0 years old;1994;471.0;415.0;56.0;782.0;415.0;368.0;;;;
36;Lorries and road tractors;Vehicle 0 years old;1995;491.0;434.0;57.0;822.0;434.0;388.0;;;;
37;Lorries and road tractors;Vehicle 0 years old;1996;487.0;430.0;57.0;823.0;430.0;393.0;;;;
38;Lorries and road tractors;Vehicle 0 years old;1997;494.0;437.0;57.0;838.0;437.0;401.0;;;;
39;Lorries and road tractors;Vehicle 0 years old;1998;501.0;444.0;57.0;860.0;444.0;416.0;;;;
40;Lorries and road tractors;Vehicle 0 years old;1999;537.0;480.0;57.0;936.0;480.0;456.0;;;;
41;Lorries and road tractors;Vehicle 0 years old;2000;532.0;471.0;62.0;926.0;471.0;455.0;;;;
42;Lorries and road tractors;Vehicle 0 years old;2001;441.0;384.0;57.0;766.0;384.0;382.0;;;;
43;Lorries and road tractors;Vehicle 0 years old;2002;428.6;370.2;58.3;755.9;370.2;385.7;58796.0;28794.0;30002.0;12857.0
44;Lorries and road tractors;Vehicle 0 years old;2003;424.4;366.5;57.8;762.4;366.5;395.9;63231.0;30395.0;32836.0;12058.0
45;Lorries and road tractors;Vehicle 0 years old;2004;465.5;395.7;69.9;844.3;395.7;448.6;64687.0;30316.0;34372.0;13052.0
46;Lorries and road tractors;Vehicle 0 years old;2005;445.2;376.1;69.1;794.8;376.1;418.7;59131.0;27980.0;31151.0;13441.0
47;Lorries and road tractors;Vehicle 0 years old;2006;521.3;431.3;90.0;928.2;431.3;496.9;48639.0;22600.0;26039.0;19084.0
48;Lorries and road tractors;Vehicle 0 years old;2007;409.6;335.8;73.8;716.8;335.8;381.1;44194.0;20701.0;23493.0;16220.0
49;Lorries and road tractors;Vehicle 0 years old;2008;533.1;448.0;85.1;873.0;448.0;425.0;47625.0;24440.0;23185.0;18331.0
50;Lorries and road tractors;Vehicle 0 years old;2009;390.4;339.3;51.1;585.9;339.3;246.6;51564.0;29861.0;21703.0;11362.0
51;Lorries and road tractors;Vehicle 0 years old;2010;308.1;274.3;33.8;432.2;274.3;157.9;45557.0;28915.0;16643.0;9488.0
52;Lorries and road tractors;Vehicle 0 years old;2011;399.3;350.1;49.1;592.2;350.1;242.1;47500.0;28085.0;19416.0;12467.0
53;Lorries and road tractors;Vehicle 0 years old;2012;370.8;322.3;48.5;549.3;322.3;227.0;47276.0;27741.0;19535.0;11618.0
54;Lorries and road tractors;Vehicle 0 years old;2013;289.0;246.0;43.0;454.4;246.0;208.4;36188.0;19591.0;16596.0;12557.0
55;Lorries and road tractors;Vehicle 0 years old;2014;262.7;227.1;35.5;391.4;227.1;164.3;38930.0;22590.0;16339.0;10055.0
56;Lorries and road tractors;Vehicle 0 years old;2015;446.0;382.3;63.7;638.6;382.3;256.3;48293.0;28912.0;19381.0;13224.0
57;Lorries and road tractors;Vehicle 0 years old;2016;543.7;463.5;80.2;739.5;463.5;276.1;50285.0;31514.0;18771.0;14707.0
58;Lorries and road tractors;Vehicle 0 years old;2017;490.5;419.8;70.7;650.0;419.8;230.2;46621.0;30108.0;16513.0;13943.0
59;Lorries and road tractors;Vehicle 0 years old;2018;521.1;450.5;70.6;684.3;450.5;233.7;44603.0;29367.0;15236.0;15342.0
60;Lorries and road tractors;Vehicle 0 years old;2019;521.6;448.1;73.5;674.7;448.1;226.6;45194.0;30016.0;15178.0;14928.0
61;Lorries and road tractors;Vehicle 0 years old;2020;395.8;345.7;50.1;486.2;345.7;140.5;48959.0;34814.0;14145.0;9930.0
62;Lorries and road tractors;Vehicle 1 year old;1990;873.0;779.0;94.0;1339.0;779.0;560.0;;;;
63;Lorries and road tractors;Vehicle 1 year old;1991;859.0;759.0;100.0;1361.0;759.0;601.0;;;;
64;Lorries and road tractors;Vehicle 1 year old;1992;813.0;721.0;92.0;1290.0;721.0;569.0;;;;
65;Lorries and road tractors;Vehicle 1 year old;1993;810.0;718.0;93.0;1306.0;718.0;589.0;;;;
66;Lorries and road tractors;Vehicle 1 year old;1994;821.0;725.0;96.0;1352.0;725.0;627.0;;;;
67;Lorries and road tractors;Vehicle 1 year old;1995;855.0;757.0;97.0;1420.0;757.0;662.0;;;;
68;Lorries and road tractors;Vehicle 1 year old;1996;847.0;750.0;97.0;1419.0;750.0;669.0;;;;
69;Lorries and road tractors;Vehicle 1 year old;1997;858.0;761.0;97.0;1445.0;761.0;684.0;;;;
70;Lorries and road tractors;Vehicle 1 year old;1998;870.0;772.0;98.0;1480.0;772.0;708.0;;;;
71;Lorries and road tractors;Vehicle 1 year old;1999;931.0;834.0;97.0;1609.0;834.0;775.0;;;;
72;Lorries and road tractors;Vehicle 1 year old;2000;922.0;817.0;105.0;1591.0;817.0;774.0;;;;
73;Lorries and road tractors;Vehicle 1 year old;2001;952.0;828.0;124.0;1653.0;828.0;825.0;;;;
74;Lorries and road tractors;Vehicle 1 year old;2002;948.1;820.7;127.4;1663.2;820.7;842.5;104447.0;51537.0;52910.0;15924.0
75;Lorries and road tractors;Vehicle 1 year old;2003;742.7;644.9;97.8;1314.2;644.9;669.3;103407.0;50744.0;52663.0;12709.0
76;Lorries and road tractors;Vehicle 1 year old;2004;703.4;603.6;99.7;1244.1;603.6;640.4;105005.0;50949.0;54055.0;11848.0
77;Lorries and road tractors;Vehicle 1 year old;2005;781.3;659.0;122.3;1400.6;659.0;741.7;109364.0;51453.0;57911.0;12807.0
78;Lorries and road tractors;Vehicle 1 year old;2006;769.6;641.3;128.3;1349.9;641.3;708.7;103874.0;49342.0;54531.0;12996.0
79;Lorries and road tractors;Vehicle 1 year old;2007;1059.5;868.4;191.1;1854.6;868.4;986.2;100641.0;47124.0;53517.0;18428.0
80;Lorries and road tractors;Vehicle 1 year old;2008;803.1;677.0;126.1;1307.3;677.0;630.3;89624.0;46413.0;43211.0;14586.0
81;Lorries and road tractors;Vehicle 1 year old;2009;980.5;843.3;137.1;1505.0;843.3;661.7;86636.0;48546.0;38090.0;17372.0
82;Lorries and road tractors;Vehicle 1 year old;2010;671.4;602.9;68.5;923.4;602.9;320.6;84145.0;54935.0;29210.0;10974.0
83;Lorries and road tractors;Vehicle 1 year old;2011;562.8;502.0;60.9;802.0;502.0;300.0;89424.0;55972.0;33451.0;8968.0
84;Lorries and road tractors;Vehicle 1 year old;2012;723.5;634.6;89.0;1051.2;634.6;416.7;95126.0;57424.0;37703.0;11051.0
85;Lorries and road tractors;Vehicle 1 year old;2013;689.5;595.1;94.4;1052.9;595.1;457.7;97307.0;55002.0;42305.0;10820.0
86;Lorries and road tractors;Vehicle 1 year old;2014;761.1;658.4;102.7;1133.4;658.4;474.9;99217.0;57640.0;41578.0;11423.0
87;Lorries and road tractors;Vehicle 1 year old;2015;636.0;560.8;75.2;863.6;560.8;302.8;95787.0;62203.0;33585.0;9016.0
88;Lorries and road tractors;Vehicle 1 year old;2016;858.0;737.7;120.4;1152.0;737.7;414.4;97720.0;62571.0;35149.0;11789.0
89;Lorries and road tractors;Vehicle 1 year old;2017;964.4;825.6;138.8;1277.7;825.6;452.1;95780.0;61892.0;33888.0;13340.0
90;Lorries and road tractors;Vehicle 1 year old;2018;889.7;765.9;123.8;1175.7;765.9;409.8;92395.0;60192.0;32203.0;12725.0
91;Lorries and road tractors;Vehicle 1 year old;2019;933.2;798.4;134.8;1213.9;798.4;415.5;88200.0;58013.0;30187.0;13763.0
92;Lorries and road tractors;Vehicle 1 year old;2020;960.5;827.3;133.2;1200.6;827.3;373.3;87348.0;60192.0;27156.0;13745.0
93;Lorries and road tractors;Vehicle 2 years old;1990;826.0;748.0;78.0;1213.0;748.0;465.0;;;;
94;Lorries and road tractors;Vehicle 2 years old;1991;723.0;649.0;73.0;1089.0;649.0;440.0;;;;
95;Lorries and road tractors;Vehicle 2 years old;1992;781.0;705.0;76.0;1176.0;705.0;471.0;;;;
96;Lorries and road tractors;Vehicle 2 years old;1993;777.0;700.0;77.0;1187.0;700.0;487.0;;;;
97;Lorries and road tractors;Vehicle 2 years old;1994;825.0;740.0;84.0;1290.0;740.0;550.0;;;;
98;Lorries and road tractors;Vehicle 2 years old;1995;859.0;774.0;85.0;1353.0;774.0;580.0;;;;
99;Lorries and road tractors;Vehicle 2 years old;1996;851.0;766.0;85.0;1350.0;766.0;585.0;;;;
100;Lorries and road tractors;Vehicle 2 years old;1997;861.0;777.0;85.0;1374.0;777.0;597.0;;;;
101;Lorries and road tractors;Vehicle 2 years old;1998;872.0;787.0;85.0;1404.0;787.0;617.0;;;;
102;Lorries and road tractors;Vehicle 2 years old;1999;934.0;850.0;84.0;1525.0;850.0;675.0;;;;
103;Lorries and road tractors;Vehicle 2 years old;2000;923.0;832.0;91.0;1505.0;832.0;673.0;;;;
104;Lorries and road tractors;Vehicle 2 years old;2001;950.0;845.0;106.0;1550.0;845.0;705.0;;;;
105;Lorries and road tractors;Vehicle 2 years old;2002;946.0;835.8;110.2;1564.3;835.8;728.4;97092.0;51881.0;45212.0;16111.0
106;Lorries and road tractors;Vehicle 2 years old;2003;959.5;848.4;111.1;1608.9;848.4;760.5;100600.0;53045.0;47555.0;15993.0
107;Lorries and road tractors;Vehicle 2 years old;2004;758.9;665.6;93.3;1264.6;665.6;599.1;99108.0;52161.0;46948.0;12760.0
108;Lorries and road tractors;Vehicle 2 years old;2005;715.2;620.6;94.6;1193.9;620.6;573.3;100370.0;52176.0;48194.0;11895.0
109;Lorries and road tractors;Vehicle 2 years old;2006;791.4;672.8;118.5;1327.4;672.8;654.6;105076.0;53259.0;51817.0;12633.0
110;Lorries and road tractors;Vehicle 2 years old;2007;780.6;658.5;122.1;1288.6;658.5;630.1;99906.0;51057.0;48850.0;12898.0
111;Lorries and road tractors;Vehicle 2 years old;2008;1103.7;938.9;164.8;1762.3;938.9;823.4;97047.0;51704.0;45342.0;18159.0
112;Lorries and road tractors;Vehicle 2 years old;2009;825.8;714.8;111.0;1250.6;714.8;535.8;85916.0;49107.0;36809.0;14556.0
113;Lorries and road tractors;Vehicle 2 years old;2010;1077.7;948.2;129.5;1553.9;948.2;605.8;89632.0;54690.0;34942.0;17337.0
114;Lorries and road tractors;Vehicle 2 years old;2011;668.6;604.2;64.4;921.6;604.2;317.4;84188.0;55190.0;28998.0;10947.0
115;Lorries and road tractors;Vehicle 2 years old;2012;553.3;492.8;60.6;776.5;492.8;283.7;86952.0;55182.0;31770.0;8930.0
116;Lorries and road tractors;Vehicle 2 years old;2013;704.5;616.3;88.2;1044.0;616.3;427.7;94405.0;55733.0;38672.0;11059.0
117;Lorries and road tractors;Vehicle 2 years old;2014;703.4;608.8;94.6;1046.3;608.8;437.5;97245.0;56581.0;40664.0;10759.0
118;Lorries and road tractors;Vehicle 2 years old;2015;804.2;693.7;110.5;1138.6;693.7;444.9;99623.0;60697.0;38926.0;11429.0
119;Lorries and road tractors;Vehicle 2 years old;2016;671.5;593.6;77.9;861.8;593.6;268.2;96383.0;66389.0;29994.0;8941.0
120;Lorries and road tractors;Vehicle 2 years old;2017;855.5;732.3;123.2;1133.7;732.3;401.4;95117.0;61436.0;33681.0;11919.0
121;Lorries and road tractors;Vehicle 2 years old;2018;947.0;810.4;136.6;1262.6;810.4;452.2;92857.0;59602.0;33255.0;13597.0
122;Lorries and road tractors;Vehicle 2 years old;2019;884.2;763.3;121.0;1136.2;763.3;373.0;87644.0;58875.0;28769.0;12964.0
123;Lorries and road tractors;Vehicle 2 years old;2020;947.3;804.8;142.5;1204.1;804.8;399.3;86448.0;57782.0;28666.0;13929.0
124;Lorries and road tractors;Vehicle 3 years old;1990;756.0;694.0;62.0;1063.0;694.0;369.0;;;;
125;Lorries and road tractors;Vehicle 3 years old;1991;797.0;724.0;72.0;1159.0;724.0;435.0;;;;
126;Lorries and road tractors;Vehicle 3 years old;1992;787.0;717.0;70.0;1151.0;717.0;434.0;;;;
127;Lorries and road tractors;Vehicle 3 years old;1993;785.0;714.0;71.0;1164.0;714.0;449.0;;;;
128;Lorries and road tractors;Vehicle 3 years old;1994;816.0;740.0;76.0;1238.0;740.0;498.0;;;;
129;Lorries and road tractors;Vehicle 3 years old;1995;851.0;774.0;77.0;1299.0;774.0;526.0;;;;
130;Lorries and road tractors;Vehicle 3 years old;1996;845.0;768.0;77.0;1298.0;768.0;530.0;;;;
131;Lorries and road tractors;Vehicle 3 years old;1997;856.0;779.0;77.0;1321.0;779.0;542.0;;;;
132;Lorries and road tractors;Vehicle 3 years old;1998;869.0;792.0;77.0;1353.0;792.0;561.0;;;;
133;Lorries and road tractors;Vehicle 3 years old;1999;933.0;857.0;77.0;1470.0;857.0;614.0;;;;
134;Lorries and road tractors;Vehicle 3 years old;2000;923.0;840.0;83.0;1453.0;840.0;612.0;;;;
135;Lorries and road tractors;Vehicle 3 years old;2001;940.0;845.0;95.0;1478.0;845.0;633.0;;;;
136;Lorries and road tractors;Vehicle 3 years old;2002;901.9;811.4;90.5;1409.6;811.4;598.1;88920.0;51188.0;37732.0;15852.0
137;Lorries and road tractors;Vehicle 3 years old;2003;917.1;825.0;92.1;1455.2;825.0;630.1;90461.0;51288.0;39173.0;16086.0
138;Lorries and road tractors;Vehicle 3 years old;2004;950.8;847.2;103.6;1512.3;847.2;665.1;94717.0;53062.0;41655.0;15966.0
139;Lorries and road tractors;Vehicle 3 years old;2005;754.2;667.6;86.6;1192.8;667.6;525.2;94007.0;52615.0;41392.0;12688.0
140;Lorries and road tractors;Vehicle 3 years old;2006;717.2;625.8;91.4;1130.6;625.8;504.9;95124.0;52648.0;42477.0;11886.0
141;Lorries and road tractors;Vehicle 3 years old;2007;777.8;668.3;109.5;1233.6;668.3;565.3;98607.0;53418.0;45188.0;12510.0
142;Lorries and road tractors;Vehicle 3 years old;2008;766.8;664.9;101.9;1174.2;664.9;509.4;92473.0;52359.0;40113.0;12698.0
143;Lorries and road tractors;Vehicle 3 years old;2009;1083.4;943.6;139.8;1618.3;943.6;674.7;89514.0;52195.0;37319.0;18079.0
144;Lorries and road tractors;Vehicle 3 years old;2010;855.0;742.2;112.8;1270.1;742.2;527.9;85936.0;50219.0;35717.0;14779.0
145;Lorries and road tractors;Vehicle 3 years old;2011;1045.7;923.2;122.5;1526.6;923.2;603.4;88357.0;53434.0;34923.0;17278.0
146;Lorries and road tractors;Vehicle 3 years old;2012;636.0;571.9;64.0;871.7;571.9;299.8;80411.0;52757.0;27654.0;10841.0
147;Lorries and road tractors;Vehicle 3 years old;2013;530.4;473.5;56.9;749.6;473.5;276.1;84112.0;53127.0;30985.0;8912.0
148;Lorries and road tractors;Vehicle 3 years old;2014;701.3;617.3;83.9;1005.3;617.3;388.0;90940.0;55842.0;35098.0;11055.0
149;Lorries and road tractors;Vehicle 3 years old;2015;726.1;632.7;93.5;1009.0;632.7;376.4;92074.0;57729.0;34345.0;10959.0
150;Lorries and road tractors;Vehicle 3 years old;2016;805.6;692.8;112.8;1081.0;692.8;388.2;94396.0;60499.0;33898.0;11452.0
151;Lorries and road tractors;Vehicle 3 years old;2017;642.3;554.9;87.5;839.8;554.9;284.9;90269.0;59643.0;30626.0;9303.0
152;Lorries and road tractors;Vehicle 3 years old;2018;824.3;708.8;115.6;1091.4;708.8;382.7;89653.0;58219.0;31434.0;12174.0
153;Lorries and road tractors;Vehicle 3 years old;2019;937.1;804.3;132.8;1213.8;804.3;409.5;86329.0;57202.0;29127.0;14060.0
154;Lorries and road tractors;Vehicle 3 years old;2020;890.2;759.6;130.6;1125.7;759.6;366.1;84391.0;56948.0;27443.0;13339.0
155;Lorries and road tractors;Vehicle 4 years old;1990;658.0;609.0;49.0;898.0;609.0;289.0;;;;
156;Lorries and road tractors;Vehicle 4 years old;1991;665.0;613.0;52.0;925.0;613.0;312.0;;;;
157;Lorries and road tractors;Vehicle 4 years old;1992;712.0;658.0;54.0;994.0;658.0;336.0;;;;
158;Lorries and road tractors;Vehicle 4 years old;1993;708.0;654.0;55.0;1001.0;654.0;347.0;;;;
159;Lorries and road tractors;Vehicle 4 years old;1994;677.0;623.0;54.0;971.0;623.0;348.0;;;;
160;Lorries and road tractors;Vehicle 4 years old;1995;705.0;651.0;54.0;1018.0;651.0;367.0;;;;
161;Lorries and road tractors;Vehicle 4 years old;1996;697.0;644.0;54.0;1012.0;644.0;369.0;;;;
162;Lorries and road tractors;Vehicle 4 years old;1997;706.0;653.0;53.0;1029.0;653.0;377.0;;;;
163;Lorries and road tractors;Vehicle 4 years old;1998;715.0;661.0;53.0;1049.0;661.0;388.0;;;;
164;Lorries and road tractors;Vehicle 4 years old;1999;767.0;714.0;53.0;1137.0;714.0;424.0;;;;
165;Lorries and road tractors;Vehicle 4 years old;2000;755.0;698.0;57.0;1119.0;698.0;421.0;;;;
166;Lorries and road tractors;Vehicle 4 years old;2001;698.0;638.0;60.0;1038.0;638.0;400.0;;;;
167;Lorries and road tractors;Vehicle 4 years old;2002;865.5;787.2;78.2;1304.4;787.2;517.1;80210.0;48409.0;31801.0;16262.0
168;Lorries and road tractors;Vehicle 4 years old;2003;850.3;776.7;73.7;1281.0;776.7;504.3;82615.0;50090.0;32525.0;15505.0
169;Lorries and road tractors;Vehicle 4 years old;2004;878.8;796.2;82.6;1326.4;796.2;530.2;84343.0;50630.0;33713.0;15726.0
170;Lorries and road tractors;Vehicle 4 years old;2005;908.2;816.3;91.9;1373.5;816.3;557.2;88595.0;52657.0;35938.0;15503.0
171;Lorries and road tractors;Vehicle 4 years old;2006;722.8;642.7;80.1;1084.8;642.7;442.1;87382.0;51770.0;35612.0;12415.0
172;Lorries and road tractors;Vehicle 4 years old;2007;681.5;600.0;81.5;1020.4;600.0;420.4;88416.0;51990.0;36426.0;11541.0
173;Lorries and road tractors;Vehicle 4 years old;2008;723.5;634.0;89.5;1081.2;634.0;447.3;89034.0;52205.0;36829.0;12144.0
174;Lorries and road tractors;Vehicle 4 years old;2009;717.5;629.6;87.9;1053.8;629.6;424.2;84060.0;50220.0;33840.0;12536.0
175;Lorries and road tractors;Vehicle 4 years old;2010;1092.2;960.0;132.2;1578.4;960.0;618.4;87853.0;53435.0;34418.0;17966.0
176;Lorries and road tractors;Vehicle 4 years old;2011;845.5;740.1;105.4;1259.6;740.1;519.5;85302.0;50119.0;35184.0;14766.0
177;Lorries and road tractors;Vehicle 4 years old;2012;1021.8;911.0;110.8;1430.0;911.0;519.0;83785.0;53375.0;30410.0;17068.0
178;Lorries and road tractors;Vehicle 4 years old;2013;607.6;548.6;59.0;834.8;548.6;286.3;77163.0;50704.0;26459.0;10819.0
179;Lorries and road tractors;Vehicle 4 years old;2014;509.0;451.7;57.3;716.8;451.7;265.1;80615.0;50798.0;29816.0;8892.0
180;Lorries and road tractors;Vehicle 4 years old;2015;697.3;613.4;83.9;951.3;613.4;337.9;84108.0;54236.0;29872.0;11310.0
181;Lorries and road tractors;Vehicle 4 years old;2016;729.5;637.0;92.5;955.4;637.0;318.5;86369.0;57581.0;28788.0;11062.0
182;Lorries and road tractors;Vehicle 4 years old;2017;770.0;664.4;105.6;1008.3;664.4;344.0;87453.0;57619.0;29833.0;11530.0
183;Lorries and road tractors;Vehicle 4 years old;2018;636.9;559.9;77.0;814.9;559.9;255.0;84691.0;58191.0;26500.0;9622.0
184;Lorries and road tractors;Vehicle 4 years old;2019;778.3;663.5;114.8;1017.3;663.5;353.8;80283.0;52360.0;27924.0;12672.0
185;Lorries and road tractors;Vehicle 4 years old;2020;906.3;769.6;136.8;1152.9;769.6;383.3;79979.0;53386.0;26593.0;14415.0
186;Lorries and road tractors;Vehicle 5 years old;1990;542.0;507.0;35.0;715.0;507.0;208.0;;;;
187;Lorries and road tractors;Vehicle 5 years old;1991;617.0;576.0;41.0;824.0;576.0;248.0;;;;
188;Lorries and road tractors;Vehicle 5 years old;1992;631.0;591.0;41.0;842.0;591.0;251.0;;;;
189;Lorries and road tractors;Vehicle 5 years old;1993;625.0;584.0;41.0;843.0;584.0;259.0;;;;
190;Lorries and road tractors;Vehicle 5 years old;1994;615.0;574.0;41.0;841.0;574.0;268.0;;;;
191;Lorries and road tractors;Vehicle 5 years old;1995;640.0;599.0;41.0;880.0;599.0;281.0;;;;
192;Lorries and road tractors;Vehicle 5 years old;1996;631.0;590.0;41.0;872.0;590.0;282.0;;;;
193;Lorries and road tractors;Vehicle 5 years old;1997;639.0;598.0;41.0;885.0;598.0;287.0;;;;
194;Lorries and road tractors;Vehicle 5 years old;1998;644.0;604.0;41.0;898.0;604.0;295.0;;;;
195;Lorries and road tractors;Vehicle 5 years old;1999;690.0;650.0;40.0;971.0;650.0;321.0;;;;
196;Lorries and road tractors;Vehicle 5 years old;2000;677.0;634.0;43.0;952.0;634.0;318.0;;;;
197;Lorries and road tractors;Vehicle 5 years old;2001;649.0;601.0;48.0;922.0;601.0;320.0;;;;
198;Lorries and road tractors;Vehicle 5 years old;2002;601.1;555.2;45.8;858.1;555.2;302.9;67982.0;43987.0;23996.0;12623.0
199;Lorries and road tractors;Vehicle 5 years old;2003;788.7;727.5;61.2;1146.4;727.5;418.9;74243.0;47112.0;27131.0;15441.0
200;Lorries and road tractors;Vehicle 5 years old;2004;779.0;716.2;62.9;1119.8;716.2;403.6;75914.0;48551.0;27363.0;14751.0
201;Lorries and road tractors;Vehicle 5 years old;2005;811.5;740.6;70.9;1170.2;740.6;429.6;78169.0;49471.0;28698.0;14970.0
202;Lorries and road tractors;Vehicle 5 years old;2006;828.1;748.0;80.0;1190.0;748.0;442.0;80606.0;50669.0;29937.0;14763.0
203;Lorries and road tractors;Vehicle 5 years old;2007;642.1;576.7;65.5;914.5;576.7;337.8;78258.0;49347.0;28910.0;11686.0
204;Lorries and road tractors;Vehicle 5 years old;2008;593.1;529.5;63.5;846.9;529.5;317.4;77424.0;48407.0;29017.0;10939.0
205;Lorries and road tractors;Vehicle 5 years old;2009;649.1;573.4;75.7;938.8;573.4;365.3;79827.0;48762.0;31064.0;11760.0
206;Lorries and road tractors;Vehicle 5 years old;2010;675.0;595.7;79.4;966.9;595.7;371.3;79933.0;49241.0;30692.0;12097.0
207;Lorries and road tractors;Vehicle 5 years old;2011;1025.1;910.0;115.1;1477.1;910.0;567.1;84932.0;52324.0;32608.0;17391.0
208;Lorries and road tractors;Vehicle 5 years old;2012;817.6;724.4;93.2;1160.8;724.4;436.4;79454.0;49585.0;29869.0;14610.0
209;Lorries and road tractors;Vehicle 5 years old;2013;913.2;806.1;107.1;1325.4;806.1;519.3;79270.0;48213.0;31057.0;16720.0
