ID;Vakantiekenmerken;Perioden;TotaalAantalKorteVakantiesNederland_1;Auto_2;Trein_3;OverigeVervoermiddelen_4
108;Logies niet vooraf geboekt;2005;1321.0;1038.0;179.0;104.0
109;Logies niet vooraf geboekt;2006;1336.0;1085.0;170.0;81.0
110;Logies niet vooraf geboekt;2007;1254.0;1017.0;136.0;102.0
111;Logies niet vooraf geboekt;2008;1210.0;1024.0;90.0;97.0
112;Logies niet vooraf geboekt;2009;1273.0;1075.0;80.0;117.0
113;Logies niet vooraf geboekt;2010;1018.0;796.0;122.0;101.0
114;Logies niet vooraf geboekt;2011;890.0;768.0;50.0;71.0
115;Logies niet vooraf geboekt;2012;1126.0;894.0;125.0;107.0
116;Logies niet vooraf geboekt;2013;1034.0;864.0;101.0;69.0
117;Logies niet vooraf geboekt;2014;1089.0;935.0;76.0;79.0
118;Logies niet vooraf geboekt;2015;1162.0;948.0;130.0;84.0
119;Logies niet vooraf geboekt;2016;1259.0;1013.0;158.0;87.0
120;Vaste standplaats, eigen onderkomen;2002;3070.0;2886.0;40.0;144.0
121;Vaste standplaats, eigen onderkomen;2003;2522.0;2318.0;13.0;191.0
122;Vaste standplaats, eigen onderkomen;2004;2607.0;2453.0;24.0;130.0
123;Vaste standplaats, eigen onderkomen;2005;2456.0;2288.0;20.0;148.0
124;Vaste standplaats, eigen onderkomen;2006;2267.0;2188.0;10.0;69.0
125;Vaste standplaats, eigen onderkomen;2007;2204.0;2075.0;25.0;104.0
126;Vaste standplaats, eigen onderkomen;2008;2167.0;2050.0;15.0;101.0
127;Vaste standplaats, eigen onderkomen;2009;2317.0;2222.0;16.0;79.0
128;Vaste standplaats, eigen onderkomen;2010;2110.0;1987.0;30.0;93.0
129;Vaste standplaats, eigen onderkomen;2011;2306.0;2180.0;39.0;87.0
130;Vaste standplaats, eigen onderkomen;2012;2254.0;2129.0;51.0;73.0
131;Vaste standplaats, eigen onderkomen;2013;1776.0;1724.0;19.0;33.0
132;Vaste standplaats, eigen onderkomen;2014;2089.0;1915.0;41.0;132.0
133;Vaste standplaats, eigen onderkomen;2015;1695.0;1629.0;22.0;43.0
134;Vaste standplaats, eigen onderkomen;2016;1584.0;1459.0;47.0;78.0
