ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;AantHuishBehorendeTotDoelpopulatie_2;AantHuishMetEenLaagInkomen_3;AantHuishOnderOfRondSocMin_4
44;Overijssel (PV);Eenoudergezin;21.7;20.6;21.0;24.0
45;Flevoland (PV);Totaal particulier huishouden;138.1;132.2;10.0;9.0
46;Flevoland (PV);Eenpersoonshuishouden;35.1;32.9;15.0;14.0
47;Flevoland (PV);Paar zonder kinderen;37.9;36.9;4.0;4.0
48;Flevoland (PV);Paar met kinderen;50.0;48.4;8.0;5.0
49;Flevoland (PV);Eenoudergezin;10.3;9.6;23.0;26.0
50;Gelderland (PV);Totaal particulier huishouden;779.2;753.3;8.0;7.0
51;Gelderland (PV);Eenpersoonshuishouden;222.2;212.6;12.0;12.0
52;Gelderland (PV);Paar zonder kinderen;238.0;232.7;3.0;4.0
53;Gelderland (PV);Paar met kinderen;251.9;244.5;6.0;4.0
54;Gelderland (PV);Eenoudergezin;40.9;38.6;19.0;23.0
55;Utrecht (PV);Totaal particulier huishouden;472.8;455.1;7.0;7.0
56;Utrecht (PV);Eenpersoonshuishouden;152.4;144.7;11.0;11.0
57;Utrecht (PV);Paar zonder kinderen;135.5;132.1;3.0;3.0
58;Utrecht (PV);Paar met kinderen;143.6;139.7;6.0;4.0
59;Utrecht (PV);Eenoudergezin;26.7;24.9;19.0;22.0
60;Noord-Holland (PV);Totaal particulier huishouden;1135.2;1086.0;10.0;10.0
61;Noord-Holland (PV);Eenpersoonshuishouden;427.1;402.7;14.0;14.0
62;Noord-Holland (PV);Paar zonder kinderen;301.4;293.0;4.0;4.0
63;Noord-Holland (PV);Paar met kinderen;288.9;280.1;7.0;5.0
64;Noord-Holland (PV);Eenoudergezin;81.4;76.4;21.0;25.0
65;Zuid-Holland (PV);Totaal particulier huishouden;1459.1;1396.6;9.0;9.0
66;Zuid-Holland (PV);Eenpersoonshuishouden;501.0;472.7;14.0;14.0
67;Zuid-Holland (PV);Paar zonder kinderen;405.5;394.6;3.0;4.0
68;Zuid-Holland (PV);Paar met kinderen;401.7;389.0;7.0;5.0
69;Zuid-Holland (PV);Eenoudergezin;101.2;94.5;22.0;27.0
70;Zeeland (PV);Totaal particulier huishouden;158.0;151.7;7.0;7.0
71;Zeeland (PV);Eenpersoonshuishouden;46.8;44.4;11.0;11.0
72;Zeeland (PV);Paar zonder kinderen;52.6;51.2;3.0;3.0
73;Zeeland (PV);Paar met kinderen;46.9;45.1;6.0;4.0
74;Zeeland (PV);Eenoudergezin;7.9;7.3;20.0;24.0
75;Noord-Brabant (PV);Totaal particulier huishouden;966.7;933.7;8.0;7.0
76;Noord-Brabant (PV);Eenpersoonshuishouden;266.4;254.3;12.0;12.0
77;Noord-Brabant (PV);Paar zonder kinderen;306.3;299.0;3.0;4.0
78;Noord-Brabant (PV);Paar met kinderen;312.7;303.7;6.0;4.0
79;Noord-Brabant (PV);Eenoudergezin;50.8;47.6;20.0;24.0
80;Limburg (PV);Totaal particulier huishouden;473.0;450.2;9.0;9.0
81;Limburg (PV);Eenpersoonshuishouden;136.3;129.2;14.0;14.0
82;Limburg (PV);Paar zonder kinderen;152.4;146.4;4.0;4.0
83;Limburg (PV);Paar met kinderen;142.4;135.5;7.0;5.0
84;Limburg (PV);Eenoudergezin;26.9;25.0;22.0;27.0
85;Oost-Groningen (CR);Totaal particulier huishouden;65.2;62.7;9.0;8.0
86;Oost-Groningen (CR);Eenpersoonshuishouden;18.4;17.7;13.0;13.0
87;Oost-Groningen (CR);Paar zonder kinderen;22.1;21.5;4.0;5.0
88;Oost-Groningen (CR);Paar met kinderen;19.6;18.8;8.0;5.0
89;Oost-Groningen (CR);Eenoudergezin;3.4;3.2;22.0;25.0
90;Delfzijl en omgeving (CR);Totaal particulier huishouden;22.0;21.3;10.0;9.0
91;Delfzijl en omgeving (CR);Eenpersoonshuishouden;6.4;6.2;14.0;14.0
92;Delfzijl en omgeving (CR);Paar zonder kinderen;7.4;7.2;5.0;5.0
93;Delfzijl en omgeving (CR);Paar met kinderen;6.5;6.2;9.0;5.0
94;Delfzijl en omgeving (CR);Eenoudergezin;1.2;1.2;24.0;28.0
95;Overig Groningen (CR);Totaal particulier huishouden;153.0;146.4;11.0;10.0
96;Overig Groningen (CR);Eenpersoonshuishouden;55.3;52.4;16.0;16.0
97;Overig Groningen (CR);Paar zonder kinderen;45.6;44.0;4.0;4.0
98;Overig Groningen (CR);Paar met kinderen;39.1;37.7;8.0;5.0
99;Overig Groningen (CR);Eenoudergezin;9.6;9.1;24.0;29.0
100;Noord-Friesland (CR);Totaal particulier huishouden;135.4;129.9;10.0;9.0
101;Noord-Friesland (CR);Eenpersoonshuishouden;41.9;39.8;15.0;14.0
102;Noord-Friesland (CR);Paar zonder kinderen;41.5;40.1;4.0;4.0
103;Noord-Friesland (CR);Paar met kinderen;41.9;40.4;8.0;6.0
104;Noord-Friesland (CR);Eenoudergezin;7.3;6.9;21.0;25.0
105;Zuidwest-Friesland (CR);Totaal particulier huishouden;42.8;41.3;9.0;9.0
106;Zuidwest-Friesland (CR);Eenpersoonshuishouden;12.5;12.1;13.0;13.0
107;Zuidwest-Friesland (CR);Paar zonder kinderen;13.5;13.1;4.0;4.0
108;Zuidwest-Friesland (CR);Paar met kinderen;13.7;13.2;9.0;6.0
109;Zuidwest-Friesland (CR);Eenoudergezin;2.2;2.1;22.0;26.0
110;Zuidoost-Friesland (CR);Totaal particulier huishouden;84.8;82.0;9.0;8.0
111;Zuidoost-Friesland (CR);Eenpersoonshuishouden;24.6;23.7;12.0;12.0
112;Zuidoost-Friesland (CR);Paar zonder kinderen;27.4;26.8;4.0;4.0
113;Zuidoost-Friesland (CR);Paar met kinderen;26.4;25.5;8.0;5.0
114;Zuidoost-Friesland (CR);Eenoudergezin;4.4;4.2;19.0;24.0
115;Noord-Drenthe (CR);Totaal particulier huishouden;75.2;73.2;8.0;7.0
116;Noord-Drenthe (CR);Eenpersoonshuishouden;20.7;20.1;12.0;11.0
117;Noord-Drenthe (CR);Paar zonder kinderen;25.5;25.0;3.0;3.0
118;Noord-Drenthe (CR);Paar met kinderen;23.7;23.0;7.0;5.0
119;Noord-Drenthe (CR);Eenoudergezin;3.7;3.5;19.0;24.0
120;Zuidoost-Drenthe (CR);Totaal particulier huishouden;70.0;67.2;9.0;8.0
121;Zuidoost-Drenthe (CR);Eenpersoonshuishouden;18.4;17.6;13.0;12.0
122;Zuidoost-Drenthe (CR);Paar zonder kinderen;23.7;23.1;4.0;4.0
123;Zuidoost-Drenthe (CR);Paar met kinderen;22.3;21.3;8.0;6.0
124;Zuidoost-Drenthe (CR);Eenoudergezin;3.5;3.2;22.0;28.0
125;Zuidwest-Drenthe (CR);Totaal particulier huishouden;51.5;50.0;8.0;7.0
126;Zuidwest-Drenthe (CR);Eenpersoonshuishouden;14.2;13.8;11.0;10.0
127;Zuidwest-Drenthe (CR);Paar zonder kinderen;17.0;16.6;3.0;3.0
128;Zuidwest-Drenthe (CR);Paar met kinderen;16.6;16.1;7.0;5.0
129;Zuidwest-Drenthe (CR);Eenoudergezin;2.4;2.2;20.0;23.0
130;Noord-Overijssel (CR);Totaal particulier huishouden;132.0;128.1;8.0;7.0
131;Noord-Overijssel (CR);Eenpersoonshuishouden;36.9;35.7;12.0;11.0
132;Noord-Overijssel (CR);Paar zonder kinderen;39.2;38.2;3.0;3.0
133;Noord-Overijssel (CR);Paar met kinderen;45.9;44.6;7.0;4.0
134;Noord-Overijssel (CR);Eenoudergezin;6.3;6.0;21.0;23.0
135;Zuidwest-Overijssel (CR);Totaal particulier huishouden;59.4;57.2;8.0;7.0
136;Zuidwest-Overijssel (CR);Eenpersoonshuishouden;17.4;16.4;12.0;11.0
137;Zuidwest-Overijssel (CR);Paar zonder kinderen;18.2;17.8;3.0;3.0
138;Zuidwest-Overijssel (CR);Paar met kinderen;18.9;18.4;8.0;5.0
139;Zuidwest-Overijssel (CR);Eenoudergezin;3.0;2.9;22.0;27.0
140;Twente (CR);Totaal particulier huishouden;241.3;232.5;9.0;8.0
141;Twente (CR);Eenpersoonshuishouden;66.5;63.5;13.0;13.0
142;Twente (CR);Paar zonder kinderen;74.2;72.2;4.0;5.0
143;Twente (CR);Paar met kinderen;78.9;76.2;8.0;5.0
144;Twente (CR);Eenoudergezin;12.4;11.7;20.0;24.0
145;Veluwe (CR);Totaal particulier huishouden;245.6;238.5;7.0;6.0
146;Veluwe (CR);Eenpersoonshuishouden;67.5;64.9;11.0;10.0
147;Veluwe (CR);Paar zonder kinderen;74.2;72.8;3.0;3.0
148;Veluwe (CR);Paar met kinderen;83.1;80.9;6.0;4.0
149;Veluwe (CR);Eenoudergezin;12.0;11.4;18.0;21.0
150;Achterhoek (CR);Totaal particulier huishouden;152.8;148.1;7.0;7.0
151;Achterhoek (CR);Eenpersoonshuishouden;39.6;38.3;11.0;11.0
152;Achterhoek (CR);Paar zonder kinderen;50.4;49.3;4.0;4.0
153;Achterhoek (CR);Paar met kinderen;50.4;48.7;6.0;4.0
154;Achterhoek (CR);Eenoudergezin;6.9;6.5;18.0;22.0
155;Arnhem/Nijmegen (CR);Totaal particulier huishouden;293.6;282.2;9.0;9.0
156;Arnhem/Nijmegen (CR);Eenpersoonshuishouden;94.9;90.0;14.0;14.0
157;Arnhem/Nijmegen (CR);Paar zonder kinderen;87.1;84.9;4.0;4.0
158;Arnhem/Nijmegen (CR);Paar met kinderen;85.3;82.5;7.0;5.0
159;Arnhem/Nijmegen (CR);Eenoudergezin;17.7;16.7;20.0;24.0
160;Zuidwest-Gelderland (CR);Totaal particulier huishouden;87.1;84.6;7.0;7.0
161;Zuidwest-Gelderland (CR);Eenpersoonshuishouden;20.2;19.5;11.0;10.0
162;Zuidwest-Gelderland (CR);Paar zonder kinderen;26.3;25.8;4.0;4.0
163;Zuidwest-Gelderland (CR);Paar met kinderen;33.2;32.3;7.0;5.0
164;Zuidwest-Gelderland (CR);Eenoudergezin;4.3;4.0;18.0;20.0
165;Utrecht (CR);Totaal particulier huishouden;472.8;455.1;7.0;7.0
166;Utrecht (CR);Eenpersoonshuishouden;152.4;144.7;11.0;11.0
167;Utrecht (CR);Paar zonder kinderen;135.5;132.1;3.0;3.0
168;Utrecht (CR);Paar met kinderen;143.6;139.7;6.0;4.0
169;Utrecht (CR);Eenoudergezin;26.7;24.9;19.0;22.0
170;Kop van Noord-Holland (CR);Totaal particulier huishouden;147.2;142.7;8.0;7.0
171;Kop van Noord-Holland (CR);Eenpersoonshuishouden;41.3;39.6;12.0;12.0
172;Kop van Noord-Holland (CR);Paar zonder kinderen;45.7;44.8;3.0;3.0
173;Kop van Noord-Holland (CR);Paar met kinderen;48.4;47.2;6.0;4.0
174;Kop van Noord-Holland (CR);Eenoudergezin;8.3;7.8;20.0;23.0
175;Alkmaar en omgeving (CR);Totaal particulier huishouden;93.0;90.2;8.0;7.0
176;Alkmaar en omgeving (CR);Eenpersoonshuishouden;28.5;27.4;12.0;12.0
177;Alkmaar en omgeving (CR);Paar zonder kinderen;27.6;27.0;3.0;3.0
178;Alkmaar en omgeving (CR);Paar met kinderen;28.5;27.9;6.0;4.0
179;Alkmaar en omgeving (CR);Eenoudergezin;6.0;5.6;20.0;24.0
180;IJmond (CR);Totaal particulier huishouden;78.2;76.4;6.0;6.0
181;IJmond (CR);Eenpersoonshuishouden;23.8;23.0;10.0;10.0
182;IJmond (CR);Paar zonder kinderen;23.7;23.4;2.0;2.0
183;IJmond (CR);Paar met kinderen;24.2;23.8;5.0;3.0
184;IJmond (CR);Eenoudergezin;4.5;4.3;20.0;23.0
185;Agglomeratie Haarlem (CR);Totaal particulier huishouden;96.9;93.3;8.0;8.0
186;Agglomeratie Haarlem (CR);Eenpersoonshuishouden;37.5;35.8;12.0;12.0
187;Agglomeratie Haarlem (CR);Paar zonder kinderen;27.2;26.5;3.0;4.0
188;Agglomeratie Haarlem (CR);Paar met kinderen;23.7;23.0;6.0;4.0
189;Agglomeratie Haarlem (CR);Eenoudergezin;5.8;5.4;17.0;21.0
190;Zaanstreek (CR);Totaal particulier huishouden;65.7;63.8;7.0;7.0
191;Zaanstreek (CR);Eenpersoonshuishouden;20.0;19.2;11.0;11.0
192;Zaanstreek (CR);Paar zonder kinderen;19.6;19.2;3.0;3.0
193;Zaanstreek (CR);Paar met kinderen;19.6;19.1;6.0;4.0
194;Zaanstreek (CR);Eenoudergezin;4.5;4.3;19.0;25.0
195;Groot-Amsterdam (CR);Totaal particulier huishouden;549.7;518.7;13.0;13.0
196;Groot-Amsterdam (CR);Eenpersoonshuishouden;240.0;223.2;17.0;17.0
197;Groot-Amsterdam (CR);Paar zonder kinderen;127.0;122.3;5.0;5.0
198;Groot-Amsterdam (CR);Paar met kinderen;115.5;110.9;10.0;7.0
199;Groot-Amsterdam (CR);Eenoudergezin;46.3;43.2;23.0;27.0
200;Het Gooi en Vechtstreek (CR);Totaal particulier huishouden;104.5;100.8;7.0;7.0
201;Het Gooi en Vechtstreek (CR);Eenpersoonshuishouden;36.1;34.5;10.0;10.0
202;Het Gooi en Vechtstreek (CR);Paar zonder kinderen;30.5;29.9;3.0;3.0
203;Het Gooi en Vechtstreek (CR);Paar met kinderen;29.0;28.2;6.0;4.0
204;Het Gooi en Vechtstreek (CR);Eenoudergezin;6.1;5.6;14.0;17.0
205;Agglomeratie Leiden en Bollenstreek (CR);Totaal particulier huishouden;155.4;149.7;7.0;6.0
206;Agglomeratie Leiden en Bollenstreek (CR);Eenpersoonshuishouden;49.5;46.8;10.0;10.0
207;Agglomeratie Leiden en Bollenstreek (CR);Paar zonder kinderen;44.5;43.4;3.0;3.0
208;Agglomeratie Leiden en Bollenstreek (CR);Paar met kinderen;49.1;47.9;5.0;4.0
209;Agglomeratie Leiden en Bollenstreek (CR);Eenoudergezin;8.4;8.0;17.0;19.0
210;Agglomeratie 's-Gravenhage (CR);Totaal particulier huishouden;343.4;325.3;11.0;11.0
211;Agglomeratie 's-Gravenhage (CR);Eenpersoonshuishouden;137.8;128.9;14.0;14.0
212;Agglomeratie 's-Gravenhage (CR);Paar zonder kinderen;86.5;83.7;4.0;4.0
213;Agglomeratie 's-Gravenhage (CR);Paar met kinderen;78.5;75.4;9.0;6.0
214;Agglomeratie 's-Gravenhage (CR);Eenoudergezin;26.9;25.0;24.0;29.0
215;Delft en Westland (CR);Totaal particulier huishouden;82.8;79.5;8.0;8.0
216;Delft en Westland (CR);Eenpersoonshuishouden;25.5;24.0;12.0;12.0
217;Delft en Westland (CR);Paar zonder kinderen;24.6;23.9;3.0;3.0
218;Delft en Westland (CR);Paar met kinderen;25.8;25.1;7.0;5.0
219;Delft en Westland (CR);Eenoudergezin;4.7;4.5;19.0;23.0
220;Oost-Zuid-Holland (CR);Totaal particulier huishouden;125.6;121.9;6.0;6.0
221;Oost-Zuid-Holland (CR);Eenpersoonshuishouden;33.4;32.1;10.0;9.0
222;Oost-Zuid-Holland (CR);Paar zonder kinderen;38.5;37.7;3.0;3.0
223;Oost-Zuid-Holland (CR);Paar met kinderen;43.8;42.8;5.0;3.0
224;Oost-Zuid-Holland (CR);Eenoudergezin;6.2;5.9;17.0;20.0
225;Groot-Rijnmond (CR);Totaal particulier huishouden;590.1;563.7;11.0;11.0
226;Groot-Rijnmond (CR);Eenpersoonshuishouden;207.9;195.9;16.0;16.0
227;Groot-Rijnmond (CR);Paar zonder kinderen;162.9;158.5;4.0;4.0
228;Groot-Rijnmond (CR);Paar met kinderen;152.2;146.9;8.0;6.0
229;Groot-Rijnmond (CR);Eenoudergezin;45.9;42.7;23.0;29.0
230;Zuidoost-Zuid-Holland (CR);Totaal particulier huishouden;161.6;156.4;8.0;7.0
231;Zuidoost-Zuid-Holland (CR);Eenpersoonshuishouden;47.0;44.9;12.0;12.0
232;Zuidoost-Zuid-Holland (CR);Paar zonder kinderen;48.5;47.5;3.0;3.0
233;Zuidoost-Zuid-Holland (CR);Paar met kinderen;52.2;50.9;6.0;4.0
234;Zuidoost-Zuid-Holland (CR);Eenoudergezin;9.1;8.5;19.0;23.0
235;Zeeuwsch-Vlaanderen (CR);Totaal particulier huishouden;46.2;43.8;7.0;7.0
236;Zeeuwsch-Vlaanderen (CR);Eenpersoonshuishouden;13.5;12.7;11.0;12.0
237;Zeeuwsch-Vlaanderen (CR);Paar zonder kinderen;16.0;15.4;3.0;3.0
238;Zeeuwsch-Vlaanderen (CR);Paar met kinderen;13.1;12.5;5.0;3.0
239;Zeeuwsch-Vlaanderen (CR);Eenoudergezin;2.3;2.1;22.0;24.0
240;Overig Zeeland (CR);Totaal particulier huishouden;111.8;107.9;7.0;7.0
241;Overig Zeeland (CR);Eenpersoonshuishouden;33.3;31.8;11.0;11.0
242;Overig Zeeland (CR);Paar zonder kinderen;36.6;35.8;3.0;3.0
243;Overig Zeeland (CR);Paar met kinderen;33.7;32.7;6.0;4.0
244;Overig Zeeland (CR);Eenoudergezin;5.6;5.2;20.0;24.0
245;West-Noord-Brabant (CR);Totaal particulier huishouden;247.6;238.8;7.0;7.0
246;West-Noord-Brabant (CR);Eenpersoonshuishouden;68.3;65.2;12.0;12.0
247;West-Noord-Brabant (CR);Paar zonder kinderen;81.2;79.2;3.0;3.0
248;West-Noord-Brabant (CR);Paar met kinderen;77.4;74.8;6.0;4.0
249;West-Noord-Brabant (CR);Eenoudergezin;12.9;12.2;19.0;23.0
250;Midden-Noord-Brabant (CR);Totaal particulier huishouden;178.5;172.7;8.0;8.0
251;Midden-Noord-Brabant (CR);Eenpersoonshuishouden;49.6;47.5;12.0;12.0
252;Midden-Noord-Brabant (CR);Paar zonder kinderen;55.4;54.0;4.0;4.0
253;Midden-Noord-Brabant (CR);Paar met kinderen;58.1;56.5;6.0;4.0
254;Midden-Noord-Brabant (CR);Eenoudergezin;10.1;9.5;22.0;26.0
255;Noordoost-Noord-Brabant (CR);Totaal particulier huishouden;245.5;238.0;7.0;7.0
256;Noordoost-Noord-Brabant (CR);Eenpersoonshuishouden;64.2;61.6;12.0;11.0
257;Noordoost-Noord-Brabant (CR);Paar zonder kinderen;76.1;74.3;3.0;4.0
258;Noordoost-Noord-Brabant (CR);Paar met kinderen;84.7;82.6;6.0;5.0
259;Noordoost-Noord-Brabant (CR);Eenoudergezin;12.4;11.7;19.0;23.0
260;Zuidoost-Noord-Brabant (CR);Totaal particulier huishouden;295.1;284.3;8.0;8.0
261;Zuidoost-Noord-Brabant (CR);Eenpersoonshuishouden;84.4;80.0;13.0;12.0
262;Zuidoost-Noord-Brabant (CR);Paar zonder kinderen;93.7;91.5;4.0;4.0
263;Zuidoost-Noord-Brabant (CR);Paar met kinderen;92.5;89.8;7.0;5.0
264;Zuidoost-Noord-Brabant (CR);Eenoudergezin;15.4;14.3;20.0;24.0
265;Noord-Limburg (CR);Totaal particulier huishouden;110.3;105.8;8.0;7.0
266;Noord-Limburg (CR);Eenpersoonshuishouden;28.5;27.3;12.0;12.0
267;Noord-Limburg (CR);Paar zonder kinderen;35.6;34.4;4.0;4.0
268;Noord-Limburg (CR);Paar met kinderen;37.4;35.8;6.0;5.0
269;Noord-Limburg (CR);Eenoudergezin;5.5;5.1;20.0;24.0
270;Midden-Limburg (CR);Totaal particulier huishouden;94.8;91.4;8.0;8.0
271;Midden-Limburg (CR);Eenpersoonshuishouden;24.7;23.8;12.0;12.0
272;Midden-Limburg (CR);Paar zonder kinderen;30.9;30.0;4.0;4.0
273;Midden-Limburg (CR);Paar met kinderen;30.9;29.9;6.0;4.0
274;Midden-Limburg (CR);Eenoudergezin;5.0;4.7;20.0;25.0
275;Zuid-Limburg (CR);Totaal particulier huishouden;267.9;253.0;10.0;9.0
276;Zuid-Limburg (CR);Eenpersoonshuishouden;83.0;78.2;15.0;15.0
277;Zuid-Limburg (CR);Paar zonder kinderen;85.9;81.9;5.0;5.0
278;Zuid-Limburg (CR);Paar met kinderen;74.1;69.8;7.0;5.0
279;Zuid-Limburg (CR);Eenoudergezin;16.5;15.1;23.0;28.0
280;Flevoland (CR);Totaal particulier huishouden;138.1;132.2;10.0;9.0
281;Flevoland (CR);Eenpersoonshuishouden;35.1;32.9;15.0;14.0
282;Flevoland (CR);Paar zonder kinderen;37.9;36.9;4.0;4.0
283;Flevoland (CR);Paar met kinderen;50.0;48.4;8.0;5.0
284;Flevoland (CR);Eenoudergezin;10.3;9.6;23.0;26.0
285;Groningen (GA);Totaal particulier huishouden;86.0;81.7;13.0;12.0
286;Groningen (GA);Eenpersoonshuishouden;37.5;35.4;18.0;18.0
287;Groningen (GA);Paar zonder kinderen;23.9;22.9;4.0;4.0
288;Groningen (GA);Paar met kinderen;16.4;15.8;8.0;5.0
289;Groningen (GA);Eenoudergezin;6.2;5.9;25.0;30.0
290;Leeuwarden (GA);Totaal particulier huishouden;40.5;38.3;12.0;11.0
291;Leeuwarden (GA);Eenpersoonshuishouden;16.3;15.2;18.0;17.0
292;Leeuwarden (GA);Paar zonder kinderen;11.6;11.0;4.0;4.0
293;Leeuwarden (GA);Paar met kinderen;8.8;8.5;10.0;6.0
294;Leeuwarden (GA);Eenoudergezin;2.8;2.6;24.0;29.0
295;Zwolle (GA);Totaal particulier huishouden;46.7;45.2;8.0;8.0
296;Zwolle (GA);Eenpersoonshuishouden;16.3;15.7;13.0;12.0
297;Zwolle (GA);Paar zonder kinderen;13.6;13.2;2.0;3.0
298;Zwolle (GA);Paar met kinderen;12.9;12.6;6.0;3.0
299;Zwolle (GA);Eenoudergezin;2.7;2.6;26.0;28.0
300;Enschede (GA);Totaal particulier huishouden;63.0;59.6;12.0;11.0
301;Enschede (GA);Eenpersoonshuishouden;21.2;19.8;17.0;16.0
302;Enschede (GA);Paar zonder kinderen;19.0;18.2;6.0;6.0
303;Enschede (GA);Paar met kinderen;16.6;15.9;11.0;7.0
304;Enschede (GA);Eenoudergezin;3.9;3.7;26.0;31.0
305;Apeldoorn (GA);Totaal particulier huishouden;64.5;62.5;7.0;7.0
306;Apeldoorn (GA);Eenpersoonshuishouden;20.0;19.2;10.0;10.0
307;Apeldoorn (GA);Paar zonder kinderen;20.0;19.6;3.0;3.0
308;Apeldoorn (GA);Paar met kinderen;18.9;18.4;6.0;4.0
309;Apeldoorn (GA);Eenoudergezin;3.6;3.3;22.0;25.0
310;Arnhem (GA);Totaal particulier huishouden;64.2;60.9;13.0;12.0
311;Arnhem (GA);Eenpersoonshuishouden;26.0;24.4;18.0;17.0
312;Arnhem (GA);Paar zonder kinderen;17.2;16.6;5.0;5.0
313;Arnhem (GA);Paar met kinderen;14.3;13.6;11.0;7.0
314;Arnhem (GA);Eenoudergezin;4.6;4.4;23.0;29.0
315;Nijmegen (GA);Totaal particulier huishouden;68.8;65.1;12.0;12.0
316;Nijmegen (GA);Eenpersoonshuishouden;29.1;27.0;17.0;17.0
317;Nijmegen (GA);Paar zonder kinderen;18.0;17.4;4.0;5.0
318;Nijmegen (GA);Paar met kinderen;15.0;14.4;9.0;6.0
319;Nijmegen (GA);Eenoudergezin;4.8;4.5;23.0;27.0
320;Amersfoort (GA);Totaal particulier huishouden;66.6;64.3;7.0;7.0
321;Amersfoort (GA);Eenpersoonshuishouden;21.3;20.4;11.0;11.0
322;Amersfoort (GA);Paar zonder kinderen;18.7;18.2;3.0;3.0
323;Amersfoort (GA);Paar met kinderen;20.9;20.4;6.0;4.0
324;Amersfoort (GA);Eenoudergezin;4.0;3.7;21.0;26.0
325;Utrecht (GA);Totaal particulier huishouden;172.5;164.2;9.0;9.0
326;Utrecht (GA);Eenpersoonshuishouden;66.1;61.8;13.0;13.0
327;Utrecht (GA);Paar zonder kinderen;46.1;44.6;3.0;3.0
328;Utrecht (GA);Paar met kinderen;43.3;41.9;7.0;5.0
329;Utrecht (GA);Eenoudergezin;10.7;10.0;21.0;25.0
330;Amsterdam (GA);Totaal particulier huishouden;481.6;452.3;14.0;14.0
331;Amsterdam (GA);Eenpersoonshuishouden;224.1;207.8;18.0;17.0
332;Amsterdam (GA);Paar zonder kinderen;106.5;102.1;5.0;5.0
333;Amsterdam (GA);Paar met kinderen;88.4;84.5;11.0;8.0
334;Amsterdam (GA);Eenoudergezin;43.0;40.1;23.0;28.0
