ID;Geslacht;Perioden;Vwo_1;Havo_2;VmboVboMavo_3;VmboVboMavoExclusiefLwooIvbo_4;LwooIvbo_5;VmboGTMavo_6;VmboGTExclusiefLwoo_7;LwooGT_8;VmboT_9;VmboG_10;VmboBKVbo_11;VmboBKExclusiefLwoo_12;LwooBK_13;LwooIvboAvmb_14;VmboK_15;VmboB_16;Totaal_17;Totaal_18;NatuurEnTechniek_19;NatuurEnGezondheid_20;NatuurOngedeeld_21;Totaal_22;EconomieEnMaatschappij_23;CultuurEnMaatschappij_24;MaatschappijOngedeeld_25;Totaal_26;NatuurEnTechniekEconomieEnMaatsch_27;NatuurEnTechniekCultuurEnMaatsch_28;NatuurEnGezondheidEconomieEnMaatsch_29;NatuurEnGezondheidCultuurEnMaatsch_30;ProfielOnbekend_31;Totaal_32;Totaal_33;NatuurEnTechniek_34;NatuurEnGezondheid_35;NatuurOngedeeld_36;Totaal_37;EconomieEnMaatschappij_38;CultuurEnMaatschappij_39;MaatschappijOngedeeld_40;Totaal_41;NatuurEnTechniekEconomieEnMaatsch_42;NatuurEnTechniekCultuurEnMaatsch_43;NatuurEnGezondheidEconomieEnMaatsch_44;NatuurEnGezondheidCultuurEnMaatsch_45;ProfielOnbekend_46;Totaal_47;VmboTExclusiefLwoo_48;LwooT_49;Totaal_50;VmboGExclusiefLwoo_51;LwooG_52;Totaal_53;VmboKExclusiefLwoo_54;LwooK_55;Totaal_56;VmboBExclusiefLwoo_57;LwooB_58;Totaal_59;VmboLandbouwExclusiefLwoo_60;LwooLandbouw_61;Totaal_62;VmboZorgEnWelzijnExclusiefLwoo_63;LwooZorgEnWelzijn_64;Totaal_65;VmboEconomieExclusiefLwoo_66;LwooEconomie_67;Totaal_68;VmboTechniekExclusiefLwoo_69;LwooTechniek_70;Totaal_71;VmboGLandbouw_72;VmboKLandbouw_73;VmboBLandbouw_74;Totaal_75;VmboGZorgEnWelzijn_76;VmboKZorgEnWelzijn_77;VmboBZorgEnWelzijn_78;Totaal_79;VmboGEconomie_80;VmboKEconomie_81;VmboBEconomie_82;Totaal_83;VmboGTechniek_84;VmboKTechniek_85;VmboBTechniek_86
16;Mannen;1993/'94;14738;15254;57059;50787;6272;24011;;;;;33048;;;248.0;;;14738;;;;;;;;;;;;;;14738;15254;;;;;;;;;;;;;;15254;;;;;;;;;;;;;3129;2128;1001;678;472;206;6852;6199;653;22141;17977;4164;3129;;;;678;;;;6852;;;;22141;;;
17;Mannen;1994/'95;14228;15240;57508;51298;6210;24547;;;;;32961;;;299.0;;;14228;;;;;;;;;;;;;;14228;15240;;;;;;;;;;;;;;15240;;;;;;;;;;;;;2983;2059;924;823;584;239;7040;6360;680;21816;17748;4068;2983;;;;823;;;;7040;;;;21816;;;
18;Mannen;1995/'96;14217;15585;56107;50029;6078;23785;;;;;32322;;;300.0;;;14217;;;;;;;;;;;;;;14217;15585;;;;;;;;;;;;;;15585;;;;;;;;;;;;;3179;2191;988;869;648;221;6947;6267;680;21027;17138;3889;3179;;;;869;;;;6947;;;;21027;;;
19;Mannen;1996/'97;13838;15731;57544;51252;6292;25057;;;;;32487;;;350.0;;;13838;;;;;;;;;;;;;;13838;15731;;;;;;;;;;;;;;15731;;;;;;;;;;;;;3257;2203;1054;992;724;268;7099;6428;671;20789;16840;3949;3257;;;;992;;;;7099;;;;20789;;;
20;Mannen;1997/'98;13641;15530;54094;47728;6366;22195;;;;;31899;;;347.0;;;13641;;;;;;;;;;;;;;13641;15530;;;;;;;;;;;;;;15530;;;;;;;;;;;;;3223;2151;1072;1020;759;261;6995;6161;834;20314;16462;3852;3223;;;;1020;;;;6995;;;;20314;;;
21;Mannen;1998/'99;13316;16891;51394;44926;6468;21281;;;;;30113;;;345.0;;;13316;;;;;;;;;;;;;;13316;16891;;;;;;;;;;;;;;16891;;;;;;;;;;;;;3257;2180;1077;1064;773;291;6570;5735;835;18877;14957;3920;3257;;;;1064;;;;6570;;;;18877;;;
22;Mannen;1999/'00;12733;17599;50306;43862;6444;21665;;;;;28641;;;306.0;;;12733;;;;;;;;;;;;;;12733;17599;;;;;;;;;;;;;;17599;;;;;;;;;;;;;3158;2121;1037;1018;747;271;6093;5260;833;18066;14069;3997;3158;;;;1018;;;;6093;;;;18066;;;
23;Mannen;2000/'01;12775;13719;50036;43702;6334;21677;;;;;28359;;;244.0;;;12775;;;;;;;;;;;;;;12775;13719;;;;;;;;;;;;;;13719;;;;;;;;;;;;;3252;2332;920;1013;707;306;6176;5282;894;17674;13704;3970;3252;;;;1013;;;;6176;;;;17674;;;
24;Mannen;2001/'02;10831;14520;51790;45491;6299;22549;;;;;29241;;;216.0;;;10831;5667.0;2957.0;2148.0;562.0;4685.0;4058.0;599.0;28.0;0.0;0.0;0.0;0.0;0.0;479;14520;5786.0;3542.0;1941.0;303.0;8630.0;7156.0;1406.0;68.0;4.0;0.0;1.0;0.0;3.0;100;;;;;;;;;;;;;3431;2412;1019;1077;787;290;6784;5915;869;17733;13828;3905;3431;;;;1077;;;;6784;;;;17733;;;
25;Mannen;2002/'03;11965;15497;50956;44714;6242;21276;21235.0;37.0;19190.0;2082.0;29680;23106.0;6089.0;;11674.0;17521.0;11965;6275.0;3208.0;2698.0;369.0;5561.0;4807.0;695.0;59.0;1.0;1.0;0.0;0.0;0.0;128;15497;5820.0;3399.0;2184.0;237.0;9604.0;7944.0;1619.0;41.0;0.0;0.0;0.0;0.0;0.0;73;19190.0;19190.0;0.0;2082.0;2045.0;37.0;11674.0;11083.0;591.0;17521.0;12023.0;5498.0;3060;2552;508;1439;1120;319;9359;7841;1518;17904;14007;3897;3060;251.0;1068.0;1736.0;1439;107.0;579.0;748.0;9359;851.0;3926.0;4395.0;17904;873.0;6101.0;10642.0
26;Vrouwen;1990/'91;15475;19458;56273;52459;3814;30450;;;;;25823;;;;;;15475;;;;;;;;;;;;;;15475;19458;;;;;;;;;;;;;;19458;;;;;;;;;;;;;1617;1302;315;16134;12755;3379;6060;6060;0;2012;1892;120;1617;;;;16134;;;;6060;;;;2012;;;
27;Vrouwen;1991/'92;14129;19887;51847;48135;3712;28346;;;;;23501;;;;;;14129;;;;;;;;;;;;;;14129;19887;;;;;;;;;;;;;;19887;;;;;;;;;;;;;1582;1231;351;14683;11488;3195;5332;5332;0;1904;1738;166;1582;;;;14683;;;;5332;;;;1904;;;
28;Vrouwen;1992/'93;14104;18819;50518;46702;3816;27986;;;;;22532;;;189.0;;;14104;;;;;;;;;;;;;;14104;18819;;;;;;;;;;;;;;18819;;;;;;;;;;;;;1487;1133;354;10880;8451;2429;9104;8318;786;872;814;58;1487;;;;10880;;;;9104;;;;872;;;
29;Vrouwen;1993/'94;14324;19095;50813;46628;4185;28090;;;;;22723;;;201.0;;;14324;;;;;;;;;;;;;;14324;19095;;;;;;;;;;;;;;19095;;;;;;;;;;;;;1724;1300;424;11389;8807;2582;8529;7624;905;880;807;73;1724;;;;11389;;;;8529;;;;880;;;
30;Vrouwen;1994/'95;13815;18659;50626;46507;4119;27879;;;;;22747;;;275.0;;;13815;;;;;;;;;;;;;;13815;18659;;;;;;;;;;;;;;18659;;;;;;;;;;;;;1893;1468;425;11558;9024;2534;8191;7368;823;830;768;62;1893;;;;11558;;;;8191;;;;830;;;
31;Vrouwen;1995/'96;14313;19350;50957;46779;4178;27660;;;;;23297;;;322.0;;;14313;;;;;;;;;;;;;;14313;19350;;;;;;;;;;;;;;19350;;;;;;;;;;;;;2207;1689;518;11964;9491;2473;7975;7166;809;829;773;56;2207;;;;11964;;;;7975;;;;829;;;
32;Vrouwen;1996/'97;14092;19397;51921;47233;4688;27577;;;;;24344;;;282.0;;;14092;;;;;;;;;;;;;;14092;19397;;;;;;;;;;;;;;19397;;;;;;;;;;;;;2557;1906;651;12701;9847;2854;8051;7205;846;753;698;55;2557;;;;12701;;;;8051;;;;753;;;
33;Vrouwen;1997/'98;14328;19275;48543;43708;4835;24651;;;;;23892;;;329.0;;;14328;;;;;;;;;;;;;;14328;19275;;;;;;;;;;;;;;19275;;;;;;;;;;;;;2707;2009;698;12782;9860;2922;7377;6554;823;697;634;63;2707;;;;12782;;;;7377;;;;697;;;
34;Vrouwen;1998/'99;14282;20583;46522;41667;4855;23314;;;;;23208;;;380.0;;;14282;;;;;;;;;;;;;;14282;20583;;;;;;;;;;;;;;20583;;;;;;;;;;;;;2861;2174;687;12525;9562;2963;6830;6059;771;612;558;54;2861;;;;12525;;;;6830;;;;612;;;
35;Vrouwen;1999/'00;13889;21118;45954;41112;4842;23548;;;;;22406;;;287.0;;;13889;;;;;;;;;;;;;;13889;21118;;;;;;;;;;;;;;21118;;;;;;;;;;;;;2991;2206;785;12353;9396;2957;6235;5476;759;540;486;54;2991;;;;12353;;;;6235;;;;540;;;
36;Vrouwen;2000/'01;14196;16466;45346;40639;4707;22958;;;;;22388;;;219.0;;;14196;;;;;;;;;;;;;;14196;16466;;;;;;;;;;;;;;16466;;;;;;;;;;;;;3089;2425;664;12218;9280;2938;6357;5519;838;505;457;48;3089;;;;12218;;;;6357;;;;505;;;
37;Vrouwen;2001/'02;13253;17461;48187;43387;4800;24587;;;;;23600;;;199.0;;;13253;4777.0;507.0;4030.0;240.0;7996.0;3921.0;4008.0;67.0;2.0;0.0;0.0;1.0;1.0;478;17461;3388.0;348.0;2953.0;87.0;13983.0;5001.0;8918.0;64.0;1.0;0.0;0.0;0.0;1.0;89;;;;;;;;;;;;;3363;2566;797;13056;10090;2966;6540;5743;797;442;401;41;3363;;;;13056;;;;6540;;;;442;;;
38;Vrouwen;2002/'03;14147;19041;46463;41627;4836;21607;21582.0;22.0;18905.0;2699.0;24856;19883.0;4772.0;;11353.0;13302.0;14147;5322.0;583.0;4589.0;150.0;8661.0;4121.0;4414.0;126.0;2.0;0.0;0.0;1.0;1.0;162;19041;3496.0;312.0;3129.0;55.0;15470.0;5477.0;9940.0;53.0;0.0;0.0;0.0;0.0;0.0;75;18905.0;18905.0;0.0;2699.0;2677.0;22.0;11353.0;10829.0;524.0;13302.0;9054.0;4248.0;3300;2843;457;15912;12733;3179;7845;6703;1142;498;440;58;3300;346.0;1305.0;1644.0;15912;1562.0;6376.0;7947.0;7845;757.0;3451.0;3513.0;498;34.0;221.0;198.0
