ID;Leeftijd;CaribischNederland;Perioden;MinimumuurloonCaribischNederland_1
44;18 jaar;Saba;2013;3.46
45;18 jaar;Saba;2014;3.72
46;18 jaar;Saba;2015;3.82
47;18 jaar;Saba;2016;4.03
48;19 jaar;Bonaire;2009;3.42
49;19 jaar;Bonaire;2010;3.42
50;19 jaar;Bonaire;2011;3.57
51;19 jaar;Bonaire;2012;3.78
52;19 jaar;Bonaire;2013;3.87
53;19 jaar;Bonaire;2014;3.94
54;19 jaar;Bonaire;2015;4.0
55;19 jaar;Bonaire;2016;4.0
56;19 jaar;Sint-Eustatius;2009;2.83
57;19 jaar;Sint-Eustatius;2010;2.83
58;19 jaar;Sint-Eustatius;2011;3.57
59;19 jaar;Sint-Eustatius;2012;3.97
60;19 jaar;Sint-Eustatius;2013;4.16
61;19 jaar;Sint-Eustatius;2014;4.22
62;19 jaar;Sint-Eustatius;2015;4.37
63;19 jaar;Sint-Eustatius;2016;4.52
64;19 jaar;Saba;2009;2.98
65;19 jaar;Saba;2010;3.04
66;19 jaar;Saba;2011;3.57
67;19 jaar;Saba;2012;3.81
68;19 jaar;Saba;2013;3.92
69;19 jaar;Saba;2014;4.22
70;19 jaar;Saba;2015;4.33
71;19 jaar;Saba;2016;4.57
72;20 jaar;Bonaire;2009;3.63
73;20 jaar;Bonaire;2010;3.63
74;20 jaar;Bonaire;2011;3.78
75;20 jaar;Bonaire;2012;4.0
76;20 jaar;Bonaire;2013;4.1
77;20 jaar;Bonaire;2014;4.17
78;20 jaar;Bonaire;2015;4.23
79;20 jaar;Bonaire;2016;4.23
80;20 jaar;Sint-Eustatius;2009;2.99
81;20 jaar;Sint-Eustatius;2010;2.99
82;20 jaar;Sint-Eustatius;2011;3.78
83;20 jaar;Sint-Eustatius;2012;4.2
84;20 jaar;Sint-Eustatius;2013;4.4
85;20 jaar;Sint-Eustatius;2014;4.47
86;20 jaar;Sint-Eustatius;2015;4.63
87;20 jaar;Sint-Eustatius;2016;4.79
88;20 jaar;Saba;2009;3.15
89;20 jaar;Saba;2010;3.22
90;20 jaar;Saba;2011;3.78
91;20 jaar;Saba;2012;4.03
92;20 jaar;Saba;2013;4.15
93;20 jaar;Saba;2014;4.46
94;20 jaar;Saba;2015;4.58
95;20 jaar;Saba;2016;4.84
96;21 jaar of ouder;Bonaire;2009;4.03
97;21 jaar of ouder;Bonaire;2010;4.03
98;21 jaar of ouder;Bonaire;2011;4.2
99;21 jaar of ouder;Bonaire;2012;4.45
100;21 jaar of ouder;Bonaire;2013;4.55
101;21 jaar of ouder;Bonaire;2014;4.63
102;21 jaar of ouder;Bonaire;2015;4.7
103;21 jaar of ouder;Bonaire;2016;4.7
104;21 jaar of ouder;Sint-Eustatius;2009;3.32
105;21 jaar of ouder;Sint-Eustatius;2010;3.32
106;21 jaar of ouder;Sint-Eustatius;2011;4.2
107;21 jaar of ouder;Sint-Eustatius;2012;4.67
108;21 jaar of ouder;Sint-Eustatius;2013;4.89
109;21 jaar of ouder;Sint-Eustatius;2014;4.97
110;21 jaar of ouder;Sint-Eustatius;2015;5.14
111;21 jaar of ouder;Sint-Eustatius;2016;5.32
112;21 jaar of ouder;Saba;2009;3.5
113;21 jaar of ouder;Saba;2010;3.58
114;21 jaar of ouder;Saba;2011;4.2
115;21 jaar of ouder;Saba;2012;4.48
116;21 jaar of ouder;Saba;2013;4.61
117;21 jaar of ouder;Saba;2014;4.96
118;21 jaar of ouder;Saba;2015;5.09
119;21 jaar of ouder;Saba;2016;5.37
