ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalAantalBanen_1;Bedrijfsgrootte1Tot10Werknemers_2;Bedrijfsgrootte10Tot50Werknemers_3;Bedrijfsgrootte50Tot100Werknemers_4;Bedrijfsgrootte100Tot500Werknemers_5;Bedrijfsgrootte500EnMeerWerknemers_6
148;10-12 Voedings-, genotmiddelenindustrie;2013 december;123.98;11.81;;15.97;38.57;
149;10-12 Voedings-, genotmiddelenindustrie;2014 december;124.91;11.62;;14.05;41.32;
150;10 Voedingsmiddelenindustrie;2008 december;114.9;15.0;27.0;13.6;37.2;22.2
151;10 Voedingsmiddelenindustrie;2009 december;116.9;13.6;27.0;14.1;36.4;25.8
152;10 Voedingsmiddelenindustrie;2010 december;115.2;13.6;25.8;15.5;36.3;24.1
153;10 Voedingsmiddelenindustrie;2011 december;114.0;12.3;26.0;14.8;35.8;25.1
154;10 Voedingsmiddelenindustrie;2011 december ;114.75;12.27;26.24;14.97;35.85;25.42
155;10 Voedingsmiddelenindustrie;2012 december;114.82;11.82;25.77;13.59;39.17;24.46
156;10 Voedingsmiddelenindustrie;2012 december;114.68;12.02;25.79;13.58;38.84;24.45
157;10 Voedingsmiddelenindustrie;2013 december;114.84;11.46;24.52;15.07;36.41;27.11
158;10 Voedingsmiddelenindustrie;2013 december;114.69;11.62;;;36.38;27.14
159;10 Voedingsmiddelenindustrie;2014 december;116.19;11.39;;;39.17;27.11
160;11 Drankenindustrie;2008 december;7.0;0.3;0.5;0.4;1.4;4.4
161;11 Drankenindustrie;2009 december;6.6;0.3;0.5;0.4;1.3;4.2
162;11 Drankenindustrie;2010 december;6.8;0.3;0.5;0.4;1.3;4.3
163;11 Drankenindustrie;2011 december;6.7;0.2;0.6;0.6;1.1;4.1
164;11 Drankenindustrie;2011 december ;6.67;0.21;0.58;0.62;1.11;4.15
165;11 Drankenindustrie;2012 december;6.46;0.18;0.51;0.63;1.09;4.04
166;11 Drankenindustrie;2012 december;6.48;0.19;;;1.1;
167;11 Drankenindustrie;2013 december;6.37;0.17;;;1.0;
168;11 Drankenindustrie;2013 december;6.34;0.18;0.43;0.76;1.0;3.98
169;11 Drankenindustrie;2014 december;6.37;0.21;0.57;0.67;1.0;3.92
170;12 Tabaksindustrie;2008 december;3.6;;;0.1;1.3;2.1
171;12 Tabaksindustrie;2009 december;3.2;0.0;;0.1;;
172;12 Tabaksindustrie;2010 december;3.0;0.0;;;;
173;12 Tabaksindustrie;2011 december;2.9;0.0;;;1.2;
174;12 Tabaksindustrie;2011 december ;2.94;0.01;;;1.16;
175;12 Tabaksindustrie;2012 december;2.93;0.02;;;1.16;
176;12 Tabaksindustrie;2012 december;2.92;0.02;;;1.15;
177;12 Tabaksindustrie;2013 december;2.94;0.02;;;1.2;
178;12 Tabaksindustrie;2013 december;2.94;0.02;;;1.2;
179;12 Tabaksindustrie;2014 december;2.36;0.02;;;1.14;
180;13-15 Textiel-, kleding-, lederindustrie;2008 december;16.4;3.9;;;4.8;
181;13-15 Textiel-, kleding-, lederindustrie;2009 december;14.9;3.4;;1.7;;0.0
182;13-15 Textiel-, kleding-, lederindustrie;2010 december;15.0;3.2;4.6;;;0.0
183;13-15 Textiel-, kleding-, lederindustrie;2011 december;14.6;2.9;;;4.9;0.0
184;13-15 Textiel-, kleding-, lederindustrie;2011 december ;14.6;2.9;;;4.9;0.0
185;13-15 Textiel-, kleding-, lederindustrie;2012 december;14.8;3.3;;;5.0;0.0
186;13-15 Textiel-, kleding-, lederindustrie;2012 december;14.83;3.43;4.34;2.03;5.03;0.0
187;13-15 Textiel-, kleding-, lederindustrie;2013 december;15.02;2.86;5.12;1.94;4.24;
188;13-15 Textiel-, kleding-, lederindustrie;2013 december;14.99;2.94;5.22;;4.13;
189;13-15 Textiel-, kleding-, lederindustrie;2014 december;14.28;3.06;4.38;;4.16;
190;13 Textielindustrie;2008 december;12.0;2.2;3.7;;4.1;
191;13 Textielindustrie;2009 december;10.8;1.8;2.9;1.4;4.6;0.0
192;13 Textielindustrie;2010 december;11.0;1.8;2.9;1.8;4.4;0.0
193;13 Textielindustrie;2011 december;10.9;1.6;2.9;1.8;4.5;0.0
194;13 Textielindustrie;2011 december ;10.91;1.61;2.92;1.85;4.54;0.0
195;13 Textielindustrie;2012 december;10.67;1.54;2.84;1.61;4.68;0.0
196;13 Textielindustrie;2012 december;10.74;1.61;2.84;1.61;4.68;0.0
197;13 Textielindustrie;2013 december;10.6;1.52;2.86;;3.74;
198;13 Textielindustrie;2013 december;10.59;1.54;2.87;;3.74;
199;13 Textielindustrie;2014 december;10.64;1.65;2.84;;3.87;
200;14 Kledingindustrie;2008 december;2.6;1.2;;;0.3;0.0
201;14 Kledingindustrie;2009 december;2.4;1.1;1.0;0.1;0.2;0.0
202;14 Kledingindustrie;2010 december;2.3;0.9;1.2;;;0.0
203;14 Kledingindustrie;2011 december;2.1;0.9;;;0.0;0.0
204;14 Kledingindustrie;2011 december ;2.13;0.85;;;0.0;0.0
205;14 Kledingindustrie;2012 december;2.47;1.35;;;0.0;0.0
206;14 Kledingindustrie;2012 december;2.49;1.37;;;0.0;0.0
207;14 Kledingindustrie;2013 december;2.92;0.9;1.74;;;0.0
208;14 Kledingindustrie;2013 december;2.91;;1.85;;0.0;0.0
209;14 Kledingindustrie;2014 december;2.11;;1.01;;0.0;0.0
210;15 Leer- en schoenenindustrie;2008 december;1.8;0.5;0.7;0.2;0.4;0.0
211;15 Leer- en schoenenindustrie;2009 december;1.7;0.5;;0.2;;0.0
212;15 Leer- en schoenenindustrie;2010 december;1.7;0.5;0.5;0.2;0.5;0.0
213;15 Leer- en schoenenindustrie;2011 december;1.6;0.4;0.5;0.3;0.4;0.0
214;15 Leer- en schoenenindustrie;2011 december ;1.63;0.43;0.53;0.31;0.36;0.0
215;15 Leer- en schoenenindustrie;2012 december;1.58;0.43;0.49;0.3;0.35;0.0
216;15 Leer- en schoenenindustrie;2012 december;1.59;0.44;;;0.35;0.0
217;15 Leer- en schoenenindustrie;2013 december;1.5;0.44;0.51;;;0.0
218;15 Leer- en schoenenindustrie;2013 december;1.49;;0.51;;0.39;0.0
219;15 Leer- en schoenenindustrie;2014 december;1.53;;0.52;;0.29;0.0
220;16-18 Hout-, papier-, grafische industr.;2008 december;71.8;11.8;23.8;12.7;20.2;3.2
221;16-18 Hout-, papier-, grafische industr.;2009 december;63.8;10.0;20.2;10.4;20.2;3.1
222;16-18 Hout-, papier-, grafische industr.;2010 december;60.9;10.0;17.9;;20.0;
223;16-18 Hout-, papier-, grafische industr.;2011 december;58.0;8.4;18.4;10.0;19.2;1.9
224;16-18 Hout-, papier-, grafische industr.;2011 december ;57.9;8.2;18.5;;19.2;
225;16-18 Hout-, papier-, grafische industr.;2012 december;54.8;;16.7;;18.8;
226;16-18 Hout-, papier-, grafische industr.;2012 december;55.24;8.25;16.66;9.34;18.85;2.14
227;16-18 Hout-, papier-, grafische industr.;2013 december;51.92;7.56;15.04;8.32;19.01;
228;16-18 Hout-, papier-, grafische industr.;2013 december;51.8;7.76;15.02;8.3;19.01;1.71
229;16-18 Hout-, papier-, grafische industr.;2014 december;49.18;7.66;14.72;8.06;16.43;2.31
230;16 Houtindustrie;2008 december;17.8;3.3;7.0;4.0;3.5;0.0
231;16 Houtindustrie;2009 december;15.5;2.8;5.9;3.1;3.7;0.0
232;16 Houtindustrie;2010 december;14.4;2.8;5.0;3.7;2.9;0.0
233;16 Houtindustrie;2011 december;13.9;2.5;5.3;3.5;2.5;0.0
234;16 Houtindustrie;2011 december ;13.86;2.47;5.3;3.55;2.54;0.0
235;16 Houtindustrie;2012 december;12.58;2.32;4.89;2.96;2.41;0.0
236;16 Houtindustrie;2012 december;12.75;2.49;4.88;2.96;2.42;0.0
237;16 Houtindustrie;2013 december;11.45;;4.41;2.38;2.25;0.0
238;16 Houtindustrie;2013 december;11.41;2.39;4.39;2.38;2.25;0.0
239;16 Houtindustrie;2014 december;11.3;2.54;4.24;2.88;1.64;0.0
240;17 Papierindustrie;2008 december;19.4;0.7;3.2;3.3;10.3;1.8
241;17 Papierindustrie;2009 december;17.8;0.6;2.2;3.2;10.5;1.3
242;17 Papierindustrie;2010 december;18.4;0.7;2.3;2.8;10.3;2.3
243;17 Papierindustrie;2011 december;18.0;0.5;2.3;2.9;10.4;1.9
244;17 Papierindustrie;2011 december ;18.0;0.45;2.34;2.91;10.36;1.95
245;17 Papierindustrie;2012 december;17.69;;2.38;2.69;10.83;
246;17 Papierindustrie;2012 december;17.73;0.43;2.38;;10.81;
247;17 Papierindustrie;2013 december;17.47;;2.48;2.6;10.55;
248;17 Papierindustrie;2013 december;17.45;;2.48;2.59;10.54;
249;17 Papierindustrie;2014 december;17.15;;2.38;2.34;10.23;
250;18 Grafische industrie;2008 december;34.6;7.8;13.6;5.4;6.4;1.4
251;18 Grafische industrie;2009 december;30.5;6.6;12.1;4.1;6.0;1.8
252;18 Grafische industrie;2010 december;28.1;6.5;10.6;;6.8;
253;18 Grafische industrie;2011 december;26.1;5.4;10.8;3.6;6.3;0.0
254;18 Grafische industrie;2011 december ;26.05;5.29;10.85;;6.34;
255;18 Grafische industrie;2012 december;24.46;5.01;9.4;;5.63;
256;18 Grafische industrie;2012 december;24.77;5.33;9.4;;5.62;
257;18 Grafische industrie;2013 december;23.0;4.8;8.15;3.34;6.21;
258;18 Grafische industrie;2013 december;22.93;;8.16;3.32;6.21;
259;18 Grafische industrie;2014 december;20.73;;8.09;2.84;4.56;
260;19 Aardolie-industrie;2008 december;6.7;;0.3;;1.3;4.9
261;19 Aardolie-industrie;2009 december;5.5;0.0;0.2;0.2;1.2;3.9
262;19 Aardolie-industrie;2010 december;6.1;0.1;;;1.9;
263;19 Aardolie-industrie;2011 december;5.8;0.1;0.3;0.0;1.6;3.8
264;19 Aardolie-industrie;2011 december ;5.7;0.05;0.23;0.0;1.59;3.83
265;19 Aardolie-industrie;2012 december;5.42;0.08;;;1.45;3.62
266;19 Aardolie-industrie;2012 december;5.53;;0.22;;1.45;3.73
267;19 Aardolie-industrie;2013 december;5.31;;0.13;;1.23;3.75
268;19 Aardolie-industrie;2013 december;5.3;0.07;;;1.23;3.74
269;19 Aardolie-industrie;2014 december;5.49;0.04;;;1.24;3.84
270;20 Chemische industrie;2008 december;45.8;1.5;5.0;4.5;14.8;20.1
271;20 Chemische industrie;2009 december;43.9;1.4;3.9;4.6;15.1;18.8
272;20 Chemische industrie;2010 december;43.8;1.4;4.6;3.9;14.2;19.7
273;20 Chemische industrie;2011 december;44.7;1.2;4.5;4.9;15.6;18.5
274;20 Chemische industrie;2011 december ;44.61;1.2;4.47;4.8;15.6;18.54
275;20 Chemische industrie;2012 december;44.85;1.19;4.39;5.02;16.69;17.56
276;20 Chemische industrie;2012 december;44.76;1.26;4.4;4.98;16.5;17.61
277;20 Chemische industrie;2013 december;44.53;1.32;4.88;4.57;16.02;17.64
278;20 Chemische industrie;2013 december;44.39;1.38;4.79;4.57;16.01;17.64
279;20 Chemische industrie;2014 december;43.61;1.31;5.05;4.35;14.86;18.03
280;21 Farmaceutische industrie;2008 december;16.2;0.3;0.8;1.0;2.8;11.3
281;21 Farmaceutische industrie;2009 december;16.2;0.3;0.8;0.6;3.4;11.2
282;21 Farmaceutische industrie;2010 december;16.6;0.3;1.1;0.7;3.8;10.7
283;21 Farmaceutische industrie;2011 december;13.3;0.3;0.9;0.9;3.7;7.4
284;21 Farmaceutische industrie;2011 december ;12.97;0.33;0.85;0.91;3.45;7.42
285;21 Farmaceutische industrie;2012 december;12.8;0.33;0.76;0.63;3.08;8.0
286;21 Farmaceutische industrie;2012 december;12.79;;0.76;;3.08;7.98
287;21 Farmaceutische industrie;2013 december;12.19;;0.82;;3.01;7.3
288;21 Farmaceutische industrie;2013 december;12.19;0.34;0.82;0.71;3.01;7.3
289;21 Farmaceutische industrie;2014 december;12.43;0.39;0.84;0.64;3.38;7.19
290;22-23 Kunststof- en bouwmateriaalindustr;2008 december;59.7;;14.2;9.0;22.9;
291;22-23 Kunststof- en bouwmateriaalindustr;2009 december;56.0;4.7;12.2;7.4;22.3;9.4
292;22-23 Kunststof- en bouwmateriaalindustr;2010 december;55.4;5.0;12.1;7.6;21.0;9.8
293;22-23 Kunststof- en bouwmateriaalindustr;2011 december;55.0;4.4;12.6;7.8;21.1;9.1
294;22-23 Kunststof- en bouwmateriaalindustr;2011 december ;54.8;4.3;12.6;7.8;21.0;9.1
295;22-23 Kunststof- en bouwmateriaalindustr;2012 december;53.2;4.0;11.6;8.7;20.4;8.5
296;22-23 Kunststof- en bouwmateriaalindustr;2012 december;53.58;4.28;11.63;8.75;20.32;8.6
297;22-23 Kunststof- en bouwmateriaalindustr;2013 december;51.11;4.1;11.37;7.69;19.7;8.04
298;22-23 Kunststof- en bouwmateriaalindustr;2013 december;51.01;4.28;11.35;7.67;19.67;8.04
299;22-23 Kunststof- en bouwmateriaalindustr;2014 december;50.02;4.41;11.16;8.23;18.27;7.95
300;22 Rubber- en kunststofproductindustrie;2008 december;32.5;;8.5;6.4;12.8;
301;22 Rubber- en kunststofproductindustrie;2009 december;30.1;2.6;7.1;4.9;12.6;3.0
302;22 Rubber- en kunststofproductindustrie;2010 december;30.3;2.6;7.6;5.3;11.3;3.6
303;22 Rubber- en kunststofproductindustrie;2011 december;29.9;2.5;7.9;5.1;10.9;3.5
304;22 Rubber- en kunststofproductindustrie;2011 december ;29.76;2.43;7.86;5.08;10.86;3.53
305;22 Rubber- en kunststofproductindustrie;2012 december;29.81;2.12;7.47;5.58;11.59;3.04
306;22 Rubber- en kunststofproductindustrie;2012 december;29.99;2.23;7.47;5.63;11.54;3.11
307;22 Rubber- en kunststofproductindustrie;2013 december;29.42;2.18;7.56;4.88;11.79;2.9
308;22 Rubber- en kunststofproductindustrie;2013 december;29.37;2.28;7.54;4.88;11.77;2.9
309;22 Rubber- en kunststofproductindustrie;2014 december;29.83;2.38;7.4;5.52;11.59;2.93
310;23 Bouwmaterialenindustrie;2008 december;27.2;2.4;5.7;2.6;10.1;6.4
311;23 Bouwmaterialenindustrie;2009 december;25.9;2.1;5.1;2.5;9.7;6.4
312;23 Bouwmaterialenindustrie;2010 december;25.1;2.4;4.5;2.3;9.7;6.2
313;23 Bouwmaterialenindustrie;2011 december;25.1;1.9;4.7;2.7;10.2;5.6
314;23 Bouwmaterialenindustrie;2011 december ;24.98;1.88;4.65;2.74;10.15;5.56
315;23 Bouwmaterialenindustrie;2012 december;23.43;1.93;4.11;3.12;8.78;5.49
316;23 Bouwmaterialenindustrie;2012 december;23.59;2.04;4.16;3.12;8.78;5.49
317;23 Bouwmaterialenindustrie;2013 december;21.69;1.92;3.81;2.81;7.91;5.14
318;23 Bouwmaterialenindustrie;2013 december;21.63;2.0;3.8;2.8;7.9;5.13
319;23 Bouwmaterialenindustrie;2014 december;20.2;2.03;3.76;2.71;6.68;5.02
320;24-25 Basismetaal, metaalprod. industrie;2008 december;115.5;16.2;40.3;17.2;24.1;17.6
321;24-25 Basismetaal, metaalprod. industrie;2009 december;103.6;12.8;35.2;15.6;23.8;16.3
322;24-25 Basismetaal, metaalprod. industrie;2010 december;105.3;13.9;33.6;18.3;23.9;15.7
323;24-25 Basismetaal, metaalprod. industrie;2011 december;104.8;12.6;33.8;20.3;23.6;14.2
324;24-25 Basismetaal, metaalprod. industrie;2011 december ;105.0;12.3;34.2;20.4;23.7;14.2
