ID;Geslacht;Onderwijssoort;Diplomasoort;Opleidingsvorm;Perioden;Gediplomeerden_1
77;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Deeltijd;2023/'24;6960.0
78;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Totaal opleidingsvorm;2011/'12;
79;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Totaal opleidingsvorm;2012/'13;
80;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Totaal opleidingsvorm;2013/'14;
81;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Totaal opleidingsvorm;2014/'15;
82;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Totaal opleidingsvorm;2015/'16;
83;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Totaal opleidingsvorm;2016/'17;
84;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Totaal opleidingsvorm;2017/'18;
85;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Totaal opleidingsvorm;2018/'19;
86;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Totaal opleidingsvorm;2019/'20;
87;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Totaal opleidingsvorm;2020/'21;
88;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Totaal opleidingsvorm;2021/'22;
89;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Totaal opleidingsvorm;2022/'23;
90;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Totaal opleidingsvorm;2023/'24;
91;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Voltijd;2011/'12;
92;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Voltijd;2012/'13;
93;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Voltijd;2013/'14;
94;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Voltijd;2014/'15;
95;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Voltijd;2015/'16;
96;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Voltijd;2016/'17;
97;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Voltijd;2017/'18;
98;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Voltijd;2018/'19;
99;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Voltijd;2019/'20;
100;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Voltijd;2020/'21;
101;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Voltijd;2021/'22;
102;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Voltijd;2022/'23;
103;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Voltijd;2023/'24;
104;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Deeltijd;2011/'12;
105;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Deeltijd;2012/'13;
106;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Deeltijd;2013/'14;
107;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Deeltijd;2014/'15;
108;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Deeltijd;2015/'16;
109;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Deeltijd;2016/'17;
110;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Deeltijd;2017/'18;
111;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Deeltijd;2018/'19;
112;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Deeltijd;2019/'20;
113;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Deeltijd;2020/'21;
114;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Deeltijd;2021/'22;
115;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Deeltijd;2022/'23;
116;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-doctoraal;Deeltijd;2023/'24;
117;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Totaal opleidingsvorm;2011/'12;
118;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Totaal opleidingsvorm;2012/'13;
119;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Totaal opleidingsvorm;2013/'14;
120;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Totaal opleidingsvorm;2014/'15;
121;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Totaal opleidingsvorm;2015/'16;
122;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Totaal opleidingsvorm;2016/'17;
123;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Totaal opleidingsvorm;2017/'18;
124;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Totaal opleidingsvorm;2018/'19;
125;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Totaal opleidingsvorm;2019/'20;
126;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Totaal opleidingsvorm;2020/'21;
127;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Totaal opleidingsvorm;2021/'22;
128;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Totaal opleidingsvorm;2022/'23;
129;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Totaal opleidingsvorm;2023/'24;
130;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Voltijd;2011/'12;
131;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Voltijd;2012/'13;
132;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Voltijd;2013/'14;
133;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Voltijd;2014/'15;
134;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Voltijd;2015/'16;
135;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Voltijd;2016/'17;
136;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Voltijd;2017/'18;
137;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Voltijd;2018/'19;
138;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Voltijd;2019/'20;
139;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Voltijd;2020/'21;
140;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Voltijd;2021/'22;
141;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Voltijd;2022/'23;
142;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Voltijd;2023/'24;
143;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Deeltijd;2011/'12;
144;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Deeltijd;2012/'13;
145;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Deeltijd;2013/'14;
146;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Deeltijd;2014/'15;
147;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Deeltijd;2015/'16;
148;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Deeltijd;2016/'17;
149;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Deeltijd;2017/'18;
150;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Deeltijd;2018/'19;
151;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Deeltijd;2019/'20;
152;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Deeltijd;2020/'21;
153;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Deeltijd;2021/'22;
154;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Deeltijd;2022/'23;
155;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Wo-master;Deeltijd;2023/'24;
156;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Totaal opleidingsvorm;2011/'12;4650.0
157;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Totaal opleidingsvorm;2012/'13;3470.0
158;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Totaal opleidingsvorm;2013/'14;3570.0
159;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Totaal opleidingsvorm;2014/'15;3600.0
160;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Totaal opleidingsvorm;2015/'16;3770.0
161;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Totaal opleidingsvorm;2016/'17;3720.0
162;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Totaal opleidingsvorm;2017/'18;3780.0
163;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Totaal opleidingsvorm;2018/'19;3880.0
164;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Totaal opleidingsvorm;2019/'20;4050.0
165;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Totaal opleidingsvorm;2020/'21;4580.0
166;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Totaal opleidingsvorm;2021/'22;4680.0
167;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Totaal opleidingsvorm;2022/'23;5130.0
168;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Totaal opleidingsvorm;2023/'24;5220.0
169;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Voltijd;2011/'12;1210.0
170;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Voltijd;2012/'13;1080.0
171;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Voltijd;2013/'14;1210.0
172;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Voltijd;2014/'15;1320.0
173;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Voltijd;2015/'16;1260.0
174;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Voltijd;2016/'17;1310.0
175;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Voltijd;2017/'18;1510.0
176;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Voltijd;2018/'19;1910.0
177;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Voltijd;2019/'20;2030.0
178;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Voltijd;2020/'21;2430.0
179;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Voltijd;2021/'22;2580.0
180;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Voltijd;2022/'23;2710.0
181;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Voltijd;2023/'24;3040.0
182;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Deeltijd;2011/'12;3440.0
183;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Deeltijd;2012/'13;2390.0
184;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Deeltijd;2013/'14;2360.0
185;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Deeltijd;2014/'15;2280.0
186;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Deeltijd;2015/'16;2510.0
187;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Deeltijd;2016/'17;2400.0
188;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Deeltijd;2017/'18;2270.0
189;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Deeltijd;2018/'19;1960.0
190;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Deeltijd;2019/'20;2020.0
191;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Deeltijd;2020/'21;2150.0
192;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Deeltijd;2021/'22;2090.0
193;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Deeltijd;2022/'23;2420.0
194;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vervolgopleidingen;Deeltijd;2023/'24;2180.0
195;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Totaal opleidingsvorm;2011/'12;
196;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Totaal opleidingsvorm;2012/'13;
197;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Totaal opleidingsvorm;2013/'14;
198;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Totaal opleidingsvorm;2014/'15;
199;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Totaal opleidingsvorm;2015/'16;
200;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Totaal opleidingsvorm;2016/'17;
201;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Totaal opleidingsvorm;2017/'18;
202;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Totaal opleidingsvorm;2018/'19;
203;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Totaal opleidingsvorm;2019/'20;
204;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Totaal opleidingsvorm;2020/'21;
205;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Totaal opleidingsvorm;2021/'22;
206;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Totaal opleidingsvorm;2022/'23;
207;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Totaal opleidingsvorm;2023/'24;
208;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Voltijd;2011/'12;
209;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Voltijd;2012/'13;
210;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Voltijd;2013/'14;
211;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Voltijd;2014/'15;
212;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Voltijd;2015/'16;
213;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Voltijd;2016/'17;
214;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Voltijd;2017/'18;
215;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Voltijd;2018/'19;
216;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Voltijd;2019/'20;
217;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Voltijd;2020/'21;
218;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Voltijd;2021/'22;
219;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Voltijd;2022/'23;
220;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Voltijd;2023/'24;
221;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Deeltijd;2011/'12;
222;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Deeltijd;2012/'13;
223;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Deeltijd;2013/'14;
224;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Deeltijd;2014/'15;
225;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Deeltijd;2015/'16;
226;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Deeltijd;2016/'17;
227;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Deeltijd;2017/'18;
228;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Deeltijd;2018/'19;
229;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Deeltijd;2019/'20;
230;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Deeltijd;2020/'21;
231;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Deeltijd;2021/'22;
232;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Deeltijd;2022/'23;
233;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Hbo-associate degree;Deeltijd;2023/'24;
234;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Bachelor;Totaal opleidingsvorm;2011/'12;35880.0
235;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Bachelor;Totaal opleidingsvorm;2012/'13;33210.0
236;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Bachelor;Totaal opleidingsvorm;2013/'14;32870.0
237;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Bachelor;Totaal opleidingsvorm;2014/'15;34810.0
238;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Bachelor;Totaal opleidingsvorm;2015/'16;34360.0
239;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Bachelor;Totaal opleidingsvorm;2016/'17;35010.0
240;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Bachelor;Totaal opleidingsvorm;2017/'18;35110.0
241;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Bachelor;Totaal opleidingsvorm;2018/'19;36400.0
242;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Bachelor;Totaal opleidingsvorm;2019/'20;38230.0
243;Totaal mannen en vrouwen;Wetenschappelijk onderwijs;Bachelor;Totaal opleidingsvorm;2020/'21;43070.0
