ID;Transacties;InstitutioneleSectoren;Perioden;Overheidsinkomsten_1
224;Totaal overheidsinkomsten;Centrale overheid;2016 2e kwartaal;50376
225;Totaal overheidsinkomsten;Centrale overheid;2016 3e kwartaal;42360
226;Totaal overheidsinkomsten;Centrale overheid;2016 4e kwartaal;46848
227;Totaal overheidsinkomsten;Centrale overheid;2016;188029
228;Totaal overheidsinkomsten;Centrale overheid;2017 1e kwartaal;54802
229;Totaal overheidsinkomsten;Centrale overheid;2017 2e kwartaal;50976
230;Totaal overheidsinkomsten;Centrale overheid;2017 3e kwartaal;43777
231;Totaal overheidsinkomsten;Centrale overheid;2017 4e kwartaal;51442
232;Totaal overheidsinkomsten;Centrale overheid;2017;200997
233;Totaal overheidsinkomsten;Centrale overheid;2018 1e kwartaal;59088
234;Totaal overheidsinkomsten;Centrale overheid;2018 2e kwartaal;49603
235;Totaal overheidsinkomsten;Centrale overheid;2018 3e kwartaal;47643
236;Totaal overheidsinkomsten;Centrale overheid;2018 4e kwartaal;52435
237;Totaal overheidsinkomsten;Centrale overheid;2018;208769
238;Totaal overheidsinkomsten;Centrale overheid;2019 1e kwartaal;65722
239;Totaal overheidsinkomsten;Centrale overheid;2019 2e kwartaal;51671
240;Totaal overheidsinkomsten;Centrale overheid;2019 3e kwartaal;49997
241;Totaal overheidsinkomsten;Centrale overheid;2019 4e kwartaal;57143
242;Totaal overheidsinkomsten;Centrale overheid;2019;224533
243;Totaal overheidsinkomsten;Centrale overheid;2020 1e kwartaal;67874
244;Totaal overheidsinkomsten;Centrale overheid;2020 2e kwartaal;43010
245;Totaal overheidsinkomsten;Centrale overheid;2020 3e kwartaal;50809
246;Totaal overheidsinkomsten;Centrale overheid;2020 4e kwartaal;60430
247;Totaal overheidsinkomsten;Centrale overheid;2020;222123
248;Totaal overheidsinkomsten;Centrale overheid;2021 1e kwartaal;66359
249;Totaal overheidsinkomsten;Centrale overheid;2021 2e kwartaal;51248
250;Totaal overheidsinkomsten;Centrale overheid;2021 3e kwartaal;58571
251;Totaal overheidsinkomsten;Centrale overheid;2021 4e kwartaal;69484
252;Totaal overheidsinkomsten;Centrale overheid;2021;245662
253;Totaal overheidsinkomsten;Centrale overheid;2022 1e kwartaal;71839
254;Totaal overheidsinkomsten;Centrale overheid;2022 2e kwartaal;65898
255;Totaal overheidsinkomsten;Centrale overheid;2022 3e kwartaal;63220
256;Totaal overheidsinkomsten;Centrale overheid;2022 4e kwartaal;75454
257;Totaal overheidsinkomsten;Centrale overheid;2022;276411
258;Totaal overheidsinkomsten;Centrale overheid;2023 1e kwartaal;75809
259;Totaal overheidsinkomsten;Centrale overheid;2023 2e kwartaal;72191
260;Totaal overheidsinkomsten;Centrale overheid;2023 3rd kwartaal;70196
261;Totaal overheidsinkomsten;Centrale overheid;2023 4e kwartaal;78447
262;Totaal overheidsinkomsten;Centrale overheid;2023;296643
263;Totaal overheidsinkomsten;Centrale overheid;2024 1e kwartaal;79084
264;Totaal overheidsinkomsten;Centrale overheid;2024 2e kwartaal;81280
265;Totaal overheidsinkomsten;Centrale overheid;2024 3e kwartaal;78404
266;Totaal overheidsinkomsten;Centrale overheid;2024 4e kwartaal;79428
267;Totaal overheidsinkomsten;Centrale overheid;2024;318196
268;Totaal overheidsinkomsten;Rijksoverheid;1995;80306
269;Totaal overheidsinkomsten;Rijksoverheid;1996;86644
270;Totaal overheidsinkomsten;Rijksoverheid;1997;89268
271;Totaal overheidsinkomsten;Rijksoverheid;1998;92915
272;Totaal overheidsinkomsten;Rijksoverheid;1999 1e kwartaal;23350
273;Totaal overheidsinkomsten;Rijksoverheid;1999 2e kwartaal;24029
274;Totaal overheidsinkomsten;Rijksoverheid;1999 3e kwartaal;23603
275;Totaal overheidsinkomsten;Rijksoverheid;1999 4e kwartaal;27929
276;Totaal overheidsinkomsten;Rijksoverheid;1999;98911
277;Totaal overheidsinkomsten;Rijksoverheid;2000 1e kwartaal;23956
278;Totaal overheidsinkomsten;Rijksoverheid;2000 2e kwartaal;27057
279;Totaal overheidsinkomsten;Rijksoverheid;2000 3e kwartaal;24693
280;Totaal overheidsinkomsten;Rijksoverheid;2000 4e kwartaal;30771
281;Totaal overheidsinkomsten;Rijksoverheid;2000;106477
282;Totaal overheidsinkomsten;Rijksoverheid;2001 1e kwartaal;26719
283;Totaal overheidsinkomsten;Rijksoverheid;2001 2e kwartaal;30117
284;Totaal overheidsinkomsten;Rijksoverheid;2001 3e kwartaal;28410
285;Totaal overheidsinkomsten;Rijksoverheid;2001 4e kwartaal;33721
286;Totaal overheidsinkomsten;Rijksoverheid;2001;118967
287;Totaal overheidsinkomsten;Rijksoverheid;2002 1e kwartaal;27943
288;Totaal overheidsinkomsten;Rijksoverheid;2002 2e kwartaal;32039
289;Totaal overheidsinkomsten;Rijksoverheid;2002 3e kwartaal;27257
290;Totaal overheidsinkomsten;Rijksoverheid;2002 4e kwartaal;33654
291;Totaal overheidsinkomsten;Rijksoverheid;2002;120893
292;Totaal overheidsinkomsten;Rijksoverheid;2003 1e kwartaal;28044
293;Totaal overheidsinkomsten;Rijksoverheid;2003 2e kwartaal;30382
294;Totaal overheidsinkomsten;Rijksoverheid;2003 3e kwartaal;27460
295;Totaal overheidsinkomsten;Rijksoverheid;2003 4e kwartaal;34626
296;Totaal overheidsinkomsten;Rijksoverheid;2003;120512
297;Totaal overheidsinkomsten;Rijksoverheid;2004 1e kwartaal;28390
298;Totaal overheidsinkomsten;Rijksoverheid;2004 2e kwartaal;32632
299;Totaal overheidsinkomsten;Rijksoverheid;2004 3e kwartaal;29417
300;Totaal overheidsinkomsten;Rijksoverheid;2004 4e kwartaal;34728
301;Totaal overheidsinkomsten;Rijksoverheid;2004;125167
302;Totaal overheidsinkomsten;Rijksoverheid;2005 1e kwartaal;30224
303;Totaal overheidsinkomsten;Rijksoverheid;2005 2e kwartaal;33863
304;Totaal overheidsinkomsten;Rijksoverheid;2005 3e kwartaal;31725
305;Totaal overheidsinkomsten;Rijksoverheid;2005 4e kwartaal;39828
306;Totaal overheidsinkomsten;Rijksoverheid;2005;135640
307;Totaal overheidsinkomsten;Rijksoverheid;2006 1e kwartaal;33383
308;Totaal overheidsinkomsten;Rijksoverheid;2006 2e kwartaal;37058
309;Totaal overheidsinkomsten;Rijksoverheid;2006 3e kwartaal;34437
310;Totaal overheidsinkomsten;Rijksoverheid;2006 4e kwartaal;43653
311;Totaal overheidsinkomsten;Rijksoverheid;2006;148531
312;Totaal overheidsinkomsten;Rijksoverheid;2007 1e kwartaal;36634
313;Totaal overheidsinkomsten;Rijksoverheid;2007 2e kwartaal;38755
314;Totaal overheidsinkomsten;Rijksoverheid;2007 3e kwartaal;33850
315;Totaal overheidsinkomsten;Rijksoverheid;2007 4e kwartaal;46565
316;Totaal overheidsinkomsten;Rijksoverheid;2007;155804
317;Totaal overheidsinkomsten;Rijksoverheid;2008 1e kwartaal;40438
318;Totaal overheidsinkomsten;Rijksoverheid;2008 2e kwartaal;41729
319;Totaal overheidsinkomsten;Rijksoverheid;2008 3e kwartaal;41061
320;Totaal overheidsinkomsten;Rijksoverheid;2008 4e kwartaal;45688
321;Totaal overheidsinkomsten;Rijksoverheid;2008;168916
322;Totaal overheidsinkomsten;Rijksoverheid;2009 1e kwartaal;39485
323;Totaal overheidsinkomsten;Rijksoverheid;2009 2e kwartaal;40535
324;Totaal overheidsinkomsten;Rijksoverheid;2009 3e kwartaal;34349
325;Totaal overheidsinkomsten;Rijksoverheid;2009 4e kwartaal;43662
326;Totaal overheidsinkomsten;Rijksoverheid;2009;158031
327;Totaal overheidsinkomsten;Rijksoverheid;2010 1e kwartaal;39877
328;Totaal overheidsinkomsten;Rijksoverheid;2010 2e kwartaal;41487
329;Totaal overheidsinkomsten;Rijksoverheid;2010 3e kwartaal;33995
330;Totaal overheidsinkomsten;Rijksoverheid;2010 4e kwartaal;46305
331;Totaal overheidsinkomsten;Rijksoverheid;2010;161664
332;Totaal overheidsinkomsten;Rijksoverheid;2011 1e kwartaal;42100
333;Totaal overheidsinkomsten;Rijksoverheid;2011 2e kwartaal;41956
334;Totaal overheidsinkomsten;Rijksoverheid;2011 3e kwartaal;35965
335;Totaal overheidsinkomsten;Rijksoverheid;2011 4e kwartaal;41467
336;Totaal overheidsinkomsten;Rijksoverheid;2011;161488
337;Totaal overheidsinkomsten;Rijksoverheid;2012 1e kwartaal;42376
338;Totaal overheidsinkomsten;Rijksoverheid;2012 2e kwartaal;42277
339;Totaal overheidsinkomsten;Rijksoverheid;2012 3e kwartaal;34705
340;Totaal overheidsinkomsten;Rijksoverheid;2012 4e kwartaal;42267
341;Totaal overheidsinkomsten;Rijksoverheid;2012;161625
342;Totaal overheidsinkomsten;Rijksoverheid;2013 1e kwartaal;44443
343;Totaal overheidsinkomsten;Rijksoverheid;2013 2e kwartaal;43275
344;Totaal overheidsinkomsten;Rijksoverheid;2013 3e kwartaal;36628
345;Totaal overheidsinkomsten;Rijksoverheid;2013 4e kwartaal;42458
346;Totaal overheidsinkomsten;Rijksoverheid;2013;166804
347;Totaal overheidsinkomsten;Rijksoverheid;2014 1e kwartaal;44736
348;Totaal overheidsinkomsten;Rijksoverheid;2014 2e kwartaal;45709
349;Totaal overheidsinkomsten;Rijksoverheid;2014 3e kwartaal;37861
350;Totaal overheidsinkomsten;Rijksoverheid;2014 4e kwartaal;43340
351;Totaal overheidsinkomsten;Rijksoverheid;2014;171646
352;Totaal overheidsinkomsten;Rijksoverheid;2015 1e kwartaal;46037
353;Totaal overheidsinkomsten;Rijksoverheid;2015 2e kwartaal;48269
354;Totaal overheidsinkomsten;Rijksoverheid;2015 3e kwartaal;37653
355;Totaal overheidsinkomsten;Rijksoverheid;2015 4e kwartaal;42363
356;Totaal overheidsinkomsten;Rijksoverheid;2015;174322
357;Totaal overheidsinkomsten;Rijksoverheid;2016 1e kwartaal;46159
358;Totaal overheidsinkomsten;Rijksoverheid;2016 2e kwartaal;48029
359;Totaal overheidsinkomsten;Rijksoverheid;2016 3e kwartaal;40064
360;Totaal overheidsinkomsten;Rijksoverheid;2016 4e kwartaal;44427
361;Totaal overheidsinkomsten;Rijksoverheid;2016;178679
362;Totaal overheidsinkomsten;Rijksoverheid;2017 1e kwartaal;52442
363;Totaal overheidsinkomsten;Rijksoverheid;2017 2e kwartaal;48557
364;Totaal overheidsinkomsten;Rijksoverheid;2017 3e kwartaal;41424
365;Totaal overheidsinkomsten;Rijksoverheid;2017 4e kwartaal;48931
366;Totaal overheidsinkomsten;Rijksoverheid;2017;191354
367;Totaal overheidsinkomsten;Rijksoverheid;2018 1e kwartaal;56641
368;Totaal overheidsinkomsten;Rijksoverheid;2018 2e kwartaal;47085
369;Totaal overheidsinkomsten;Rijksoverheid;2018 3e kwartaal;45172
370;Totaal overheidsinkomsten;Rijksoverheid;2018 4e kwartaal;49801
371;Totaal overheidsinkomsten;Rijksoverheid;2018;198699
372;Totaal overheidsinkomsten;Rijksoverheid;2019 1e kwartaal;63099
373;Totaal overheidsinkomsten;Rijksoverheid;2019 2e kwartaal;48973
374;Totaal overheidsinkomsten;Rijksoverheid;2019 3e kwartaal;47418
375;Totaal overheidsinkomsten;Rijksoverheid;2019 4e kwartaal;54502
376;Totaal overheidsinkomsten;Rijksoverheid;2019;213992
377;Totaal overheidsinkomsten;Rijksoverheid;2020 1e kwartaal;65279
378;Totaal overheidsinkomsten;Rijksoverheid;2020 2e kwartaal;40466
379;Totaal overheidsinkomsten;Rijksoverheid;2020 3e kwartaal;48212
380;Totaal overheidsinkomsten;Rijksoverheid;2020 4e kwartaal;57645
381;Totaal overheidsinkomsten;Rijksoverheid;2020;211602
382;Totaal overheidsinkomsten;Rijksoverheid;2021 1e kwartaal;63600
383;Totaal overheidsinkomsten;Rijksoverheid;2021 2e kwartaal;48463
384;Totaal overheidsinkomsten;Rijksoverheid;2021 3e kwartaal;55894
385;Totaal overheidsinkomsten;Rijksoverheid;2021 4e kwartaal;66642
386;Totaal overheidsinkomsten;Rijksoverheid;2021;234599
387;Totaal overheidsinkomsten;Rijksoverheid;2022 1e kwartaal;69076
388;Totaal overheidsinkomsten;Rijksoverheid;2022 2e kwartaal;63031
389;Totaal overheidsinkomsten;Rijksoverheid;2022 3e kwartaal;60271
390;Totaal overheidsinkomsten;Rijksoverheid;2022 4e kwartaal;72459
391;Totaal overheidsinkomsten;Rijksoverheid;2022;264837
