ID;Geslacht;Onderwijssoort;Herkomstland;Perioden;Leerlingen_1;VoortijdigSchoolverlaters_2;NietVoortijdigSchoolverlaters_3;VoortijdigSchoolverlatersPercentage_4
39;Totaal mannen en vrouwen;Totaal onderwijs;Buiten Europa;2018/'19;267650;10610;257040;4.0
40;Totaal mannen en vrouwen;Totaal onderwijs;Buiten Europa;2019/'20;269500;8720;260780;3.0
41;Totaal mannen en vrouwen;Totaal onderwijs;Buiten Europa;2020/'21;270740;9290;261450;3.0
42;Totaal mannen en vrouwen;Totaal onderwijs;Buiten Europa;2021/'22;273550;11440;262110;4.0
43;Totaal mannen en vrouwen;Totaal onderwijs;Buiten Europa;2022/'23;274240;11870;262370;4.0
44;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Totaal;2012/'13;917970;5290;912680;1.0
45;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Totaal;2013/'14;929760;5110;924640;1.0
46;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Totaal;2014/'15;940190;5080;935110;1.0
47;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Totaal;2015/'16;948160;5330;942830;1.0
48;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Totaal;2016/'17;948200;5590;942610;1.0
49;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Totaal;2017/'18;938510;5470;933040;1.0
50;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Totaal;2018/'19;921200;5110;916090;1.0
51;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Totaal;2019/'20;903950;3900;900050;0.0
52;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Totaal;2020/'21;886440;4370;882080;0.0
53;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Totaal;2021/'22;881090;5300;875790;1.0
54;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Totaal;2022/'23;885210;6230;878980;1.0
55;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Nederland;2012/'13;714940;3280;711660;0.0
56;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Nederland;2013/'14;722460;3050;719410;0.0
57;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Nederland;2014/'15;728180;3080;725110;0.0
58;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Nederland;2015/'16;730800;3120;727680;0.0
59;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Nederland;2016/'17;724070;3090;720980;0.0
60;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Nederland;2017/'18;710500;2980;707520;0.0
61;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Nederland;2018/'19;692050;2920;689130;0.0
62;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Nederland;2019/'20;673030;2190;670840;0.0
63;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Nederland;2020/'21;654820;2620;652200;0.0
64;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Nederland;2021/'22;644230;3060;641160;0.0
65;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Nederland;2022/'23;636560;3050;633510;0.0
66;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Europa (exclusief Nederland);2012/'13;47260;520;46740;1.0
67;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Europa (exclusief Nederland);2013/'14;48770;500;48270;1.0
68;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Europa (exclusief Nederland);2014/'15;50510;470;50040;1.0
69;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Europa (exclusief Nederland);2015/'16;52170;490;51680;1.0
70;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Europa (exclusief Nederland);2016/'17;53490;510;52980;1.0
71;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Europa (exclusief Nederland);2017/'18;54730;570;54160;1.0
72;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Europa (exclusief Nederland);2018/'19;56050;500;55550;1.0
73;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Europa (exclusief Nederland);2019/'20;57680;420;57260;1.0
74;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Europa (exclusief Nederland);2020/'21;58880;530;58350;1.0
75;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Europa (exclusief Nederland);2021/'22;60730;610;60120;1.0
76;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Europa (exclusief Nederland);2022/'23;68230;1160;67080;2.0
77;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Buiten Europa;2012/'13;155770;1500;154270;1.0
78;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Buiten Europa;2013/'14;158530;1570;156960;1.0
79;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Buiten Europa;2014/'15;161500;1530;159970;1.0
80;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Buiten Europa;2015/'16;165190;1720;163470;1.0
81;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Buiten Europa;2016/'17;170650;1990;168660;1.0
82;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Buiten Europa;2017/'18;173280;1920;171360;1.0
83;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Buiten Europa;2018/'19;173090;1680;171410;1.0
84;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Buiten Europa;2019/'20;173250;1300;171950;1.0
85;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Buiten Europa;2020/'21;172750;1220;171520;1.0
86;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Buiten Europa;2021/'22;176130;1630;174510;1.0
87;Totaal mannen en vrouwen;Totaal vmbo/havo/vwo;Buiten Europa;2022/'23;180420;2020;178400;1.0
88;Totaal mannen en vrouwen;Leerjaar 1 en 2;Totaal;2012/'13;395580;730;394860;0.0
89;Totaal mannen en vrouwen;Leerjaar 1 en 2;Totaal;2013/'14;400050;700;399360;0.0
90;Totaal mannen en vrouwen;Leerjaar 1 en 2;Totaal;2014/'15;400380;780;399590;0.0
91;Totaal mannen en vrouwen;Leerjaar 1 en 2;Totaal;2015/'16;399220;940;398280;0.0
92;Totaal mannen en vrouwen;Leerjaar 1 en 2;Totaal;2016/'17;396210;1320;394880;0.0
93;Totaal mannen en vrouwen;Leerjaar 1 en 2;Totaal;2017/'18;385790;1420;384370;0.0
94;Totaal mannen en vrouwen;Leerjaar 1 en 2;Totaal;2018/'19;374580;1070;373510;0.0
95;Totaal mannen en vrouwen;Leerjaar 1 en 2;Totaal;2019/'20;368200;850;367360;0.0
96;Totaal mannen en vrouwen;Leerjaar 1 en 2;Totaal;2020/'21;363490;810;362680;0.0
97;Totaal mannen en vrouwen;Leerjaar 1 en 2;Totaal;2021/'22;368770;1030;367740;0.0
98;Totaal mannen en vrouwen;Leerjaar 1 en 2;Totaal;2022/'23;375600;1860;373740;0.0
99;Totaal mannen en vrouwen;Leerjaar 1 en 2;Nederland;2012/'13;303880;260;303630;0.0
100;Totaal mannen en vrouwen;Leerjaar 1 en 2;Nederland;2013/'14;306110;200;305900;0.0
101;Totaal mannen en vrouwen;Leerjaar 1 en 2;Nederland;2014/'15;304490;240;304260;0.0
102;Totaal mannen en vrouwen;Leerjaar 1 en 2;Nederland;2015/'16;301600;240;301370;0.0
103;Totaal mannen en vrouwen;Leerjaar 1 en 2;Nederland;2016/'17;294680;210;294470;0.0
104;Totaal mannen en vrouwen;Leerjaar 1 en 2;Nederland;2017/'18;282610;270;282340;0.0
105;Totaal mannen en vrouwen;Leerjaar 1 en 2;Nederland;2018/'19;272540;210;272330;0.0
106;Totaal mannen en vrouwen;Leerjaar 1 en 2;Nederland;2019/'20;265930;200;265730;0.0
107;Totaal mannen en vrouwen;Leerjaar 1 en 2;Nederland;2020/'21;261700;240;261460;0.0
108;Totaal mannen en vrouwen;Leerjaar 1 en 2;Nederland;2021/'22;263790;290;263500;0.0
109;Totaal mannen en vrouwen;Leerjaar 1 en 2;Nederland;2022/'23;261710;310;261410;0.0
110;Totaal mannen en vrouwen;Leerjaar 1 en 2;Europa (exclusief Nederland);2012/'13;20990;130;20860;1.0
111;Totaal mannen en vrouwen;Leerjaar 1 en 2;Europa (exclusief Nederland);2013/'14;21730;140;21580;1.0
112;Totaal mannen en vrouwen;Leerjaar 1 en 2;Europa (exclusief Nederland);2014/'15;22380;130;22250;1.0
113;Totaal mannen en vrouwen;Leerjaar 1 en 2;Europa (exclusief Nederland);2015/'16;22930;100;22830;0.0
114;Totaal mannen en vrouwen;Leerjaar 1 en 2;Europa (exclusief Nederland);2016/'17;23230;130;23100;1.0
115;Totaal mannen en vrouwen;Leerjaar 1 en 2;Europa (exclusief Nederland);2017/'18;23590;150;23440;1.0
116;Totaal mannen en vrouwen;Leerjaar 1 en 2;Europa (exclusief Nederland);2018/'19;24090;120;23980;0.0
117;Totaal mannen en vrouwen;Leerjaar 1 en 2;Europa (exclusief Nederland);2019/'20;24890;90;24800;0.0
118;Totaal mannen en vrouwen;Leerjaar 1 en 2;Europa (exclusief Nederland);2020/'21;25320;130;25190;1.0
119;Totaal mannen en vrouwen;Leerjaar 1 en 2;Europa (exclusief Nederland);2021/'22;26440;170;26270;1.0
120;Totaal mannen en vrouwen;Leerjaar 1 en 2;Europa (exclusief Nederland);2022/'23;32680;660;32020;2.0
121;Totaal mannen en vrouwen;Leerjaar 1 en 2;Buiten Europa;2012/'13;70720;340;70380;0.0
122;Totaal mannen en vrouwen;Leerjaar 1 en 2;Buiten Europa;2013/'14;72220;350;71870;0.0
123;Totaal mannen en vrouwen;Leerjaar 1 en 2;Buiten Europa;2014/'15;73500;420;73080;1.0
124;Totaal mannen en vrouwen;Leerjaar 1 en 2;Buiten Europa;2015/'16;74690;610;74080;1.0
125;Totaal mannen en vrouwen;Leerjaar 1 en 2;Buiten Europa;2016/'17;78290;990;77310;1.0
126;Totaal mannen en vrouwen;Leerjaar 1 en 2;Buiten Europa;2017/'18;79590;1000;78590;1.0
127;Totaal mannen en vrouwen;Leerjaar 1 en 2;Buiten Europa;2018/'19;77950;750;77200;1.0
128;Totaal mannen en vrouwen;Leerjaar 1 en 2;Buiten Europa;2019/'20;77390;560;76820;1.0
129;Totaal mannen en vrouwen;Leerjaar 1 en 2;Buiten Europa;2020/'21;76470;440;76030;1.0
130;Totaal mannen en vrouwen;Leerjaar 1 en 2;Buiten Europa;2021/'22;78550;570;77980;1.0
131;Totaal mannen en vrouwen;Leerjaar 1 en 2;Buiten Europa;2022/'23;81210;890;80320;1.0
132;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Totaal;2012/'13;113810;990;112820;1.0
133;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Totaal;2013/'14;115410;860;114550;1.0
134;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Totaal;2014/'15;116900;740;116160;1.0
135;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Totaal;2015/'16;117450;790;116670;1.0
136;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Totaal;2016/'17;115750;740;115000;1.0
137;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Totaal;2017/'18;114330;840;113490;1.0
138;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Totaal;2018/'19;110990;840;110140;1.0
139;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Totaal;2019/'20;101440;610;100830;1.0
140;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Totaal;2020/'21;97850;590;97260;1.0
141;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Totaal;2021/'22;97510;710;96790;1.0
142;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Totaal;2022/'23;105990;910;105080;1.0
143;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Nederland;2012/'13;82580;530;82050;1.0
144;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Nederland;2013/'14;84560;450;84110;1.0
145;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Nederland;2014/'15;85510;400;85110;0.0
146;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Nederland;2015/'16;85910;410;85510;0.0
147;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Nederland;2016/'17;84480;440;84040;1.0
148;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Nederland;2017/'18;83120;480;82640;1.0
149;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Nederland;2018/'19;79650;520;79140;1.0
150;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Nederland;2019/'20;72280;370;71910;1.0
151;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Nederland;2020/'21;69100;370;68730;1.0
152;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Nederland;2021/'22;68370;420;67950;1.0
153;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Nederland;2022/'23;73850;520;73330;1.0
154;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Europa (exclusief Nederland);2012/'13;5390;90;5310;2.0
155;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Europa (exclusief Nederland);2013/'14;5540;90;5450;2.0
156;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Europa (exclusief Nederland);2014/'15;5790;80;5720;1.0
157;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Europa (exclusief Nederland);2015/'16;5940;90;5850;1.0
158;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Europa (exclusief Nederland);2016/'17;5970;70;5900;1.0
159;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Europa (exclusief Nederland);2017/'18;6050;110;5940;2.0
160;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Europa (exclusief Nederland);2018/'19;6130;80;6050;1.0
161;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Europa (exclusief Nederland);2019/'20;5940;80;5860;1.0
162;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Europa (exclusief Nederland);2020/'21;5830;70;5760;1.0
163;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Europa (exclusief Nederland);2021/'22;6120;80;6050;1.0
164;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Europa (exclusief Nederland);2022/'23;6670;100;6570;1.0
165;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Buiten Europa;2012/'13;25830;380;25460;1.0
166;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Buiten Europa;2013/'14;25310;320;24990;1.0
167;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Buiten Europa;2014/'15;25600;270;25330;1.0
168;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Buiten Europa;2015/'16;25600;290;25310;1.0
169;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Buiten Europa;2016/'17;25300;230;25070;1.0
170;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Buiten Europa;2017/'18;25160;260;24910;1.0
171;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Buiten Europa;2018/'19;25200;250;24960;1.0
172;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Buiten Europa;2019/'20;23220;160;23060;1.0
173;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Buiten Europa;2020/'21;22920;150;22770;1.0
174;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Buiten Europa;2021/'22;23010;210;22800;1.0
175;Totaal mannen en vrouwen;Vmbo 3-4 zonder diploma;Buiten Europa;2022/'23;25460;280;25180;1.0
176;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Totaal;2012/'13;91270;2100;89170;2.0
177;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Totaal;2013/'14;94730;2140;92590;2.0
178;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Totaal;2014/'15;98610;2130;96480;2.0
179;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Totaal;2015/'16;101150;2130;99020;2.0
180;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Totaal;2016/'17;101490;1840;99650;2.0
181;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Totaal;2017/'18;98390;1540;96850;2.0
182;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Totaal;2018/'19;96310;1520;94790;2.0
183;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Totaal;2019/'20;97990;1330;96660;1.0
184;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Totaal;2020/'21;90340;1310;89030;1.0
185;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Totaal;2021/'22;84820;1370;83460;2.0
186;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Totaal;2022/'23;79290;1190;78100;2.0
187;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Nederland;2012/'13;69640;1440;68200;2.0
188;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Nederland;2013/'14;71840;1390;70460;2.0
189;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Nederland;2014/'15;74950;1410;73540;2.0
190;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Nederland;2015/'16;76650;1420;75230;2.0
191;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Nederland;2016/'17;76610;1270;75330;2.0
192;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Nederland;2017/'18;74160;1100;73060;1.0
193;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Nederland;2018/'19;72330;1050;71280;1.0
194;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Nederland;2019/'20;72120;890;71230;1.0
195;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Nederland;2020/'21;66020;910;65110;1.0
196;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Nederland;2021/'22;61670;890;60780;1.0
197;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Nederland;2022/'23;58070;780;57290;1.0
198;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Europa (exclusief Nederland);2012/'13;4060;140;3910;4.0
199;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Europa (exclusief Nederland);2013/'14;4220;150;4070;4.0
200;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Europa (exclusief Nederland);2014/'15;4530;140;4390;3.0
201;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Europa (exclusief Nederland);2015/'16;4780;170;4610;4.0
202;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Europa (exclusief Nederland);2016/'17;4820;140;4680;3.0
203;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Europa (exclusief Nederland);2017/'18;4810;140;4670;3.0
204;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Europa (exclusief Nederland);2018/'19;4790;140;4660;3.0
205;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Europa (exclusief Nederland);2019/'20;5080;120;4970;2.0
206;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Europa (exclusief Nederland);2020/'21;4930;120;4810;2.0
207;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Europa (exclusief Nederland);2021/'22;4750;140;4610;3.0
208;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Europa (exclusief Nederland);2022/'23;4690;140;4550;3.0
209;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Buiten Europa;2012/'13;17570;510;17060;3.0
210;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Buiten Europa;2013/'14;18660;600;18060;3.0
211;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Buiten Europa;2014/'15;19130;580;18560;3.0
212;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Buiten Europa;2015/'16;19720;540;19190;3.0
213;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Buiten Europa;2016/'17;20060;420;19640;2.0
214;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Buiten Europa;2017/'18;19420;300;19120;2.0
215;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Buiten Europa;2018/'19;19190;330;18860;2.0
216;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Buiten Europa;2019/'20;20790;320;20470;2.0
217;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Buiten Europa;2020/'21;19390;280;19120;1.0
218;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Buiten Europa;2021/'22;18400;340;18060;2.0
219;Totaal mannen en vrouwen;Vmbo 3-4 met diploma;Buiten Europa;2022/'23;16530;270;16260;2.0
220;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Totaal;2012/'13;317310;1470;315830;0.0
221;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Totaal;2013/'14;319560;1420;318140;0.0
222;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Totaal;2014/'15;324300;1420;322880;0.0
223;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Totaal;2015/'16;330340;1480;328860;0.0
224;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Totaal;2016/'17;334760;1690;333080;1.0
225;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Totaal;2017/'18;340000;1680;338320;0.0
226;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Totaal;2018/'19;339310;1670;337640;0.0
227;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Totaal;2019/'20;336310;1110;335200;0.0
228;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Totaal;2020/'21;334760;1660;333110;0.0
229;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Totaal;2021/'22;329990;2200;327800;1.0
230;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Totaal;2022/'23;324330;2280;322060;1.0
231;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Nederland;2012/'13;258840;1050;257790;0.0
232;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Nederland;2013/'14;259940;1010;258940;0.0
233;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Nederland;2014/'15;263230;1040;262200;0.0
234;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Nederland;2015/'16;266640;1060;265580;0.0
235;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Nederland;2016/'17;268300;1170;267130;0.0
236;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Nederland;2017/'18;270620;1140;269480;0.0
237;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Nederland;2018/'19;267530;1150;266380;0.0
238;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Nederland;2019/'20;262700;720;261980;0.0
239;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Nederland;2020/'21;258000;1100;256900;0.0
240;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Nederland;2021/'22;250390;1460;248930;1.0
241;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Nederland;2022/'23;242920;1440;241480;1.0
242;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Europa (exclusief Nederland);2012/'13;16820;160;16670;1.0
243;Totaal mannen en vrouwen;Havo 3-5/vwo 3-6;Europa (exclusief Nederland);2013/'14;17290;120;17170;1.0
