ID;TypeOfBankruptcy;Periods;BankruptciesSessionDayCorrected_1
88;Total legal forms all nationalities;1986 1st quarter;1107
89;Total legal forms all nationalities;1986 April;358
90;Total legal forms all nationalities;1986 May;376
91;Total legal forms all nationalities;1986 June;426
92;Total legal forms all nationalities;1986 2nd quarter;1160
93;Total legal forms all nationalities;1986 July;323
94;Total legal forms all nationalities;1986 August;380
95;Total legal forms all nationalities;1986 September;402
96;Total legal forms all nationalities;1986 3rd quarter;1105
97;Total legal forms all nationalities;1986 October;358
98;Total legal forms all nationalities;1986 November;414
99;Total legal forms all nationalities;1986 December;304
100;Total legal forms all nationalities;1986 4th quarter;1076
101;Total legal forms all nationalities;1986;4448
102;Total legal forms all nationalities;1987 January;344
103;Total legal forms all nationalities;1987 February;342
104;Total legal forms all nationalities;1987 March;357
105;Total legal forms all nationalities;1987 1st quarter;1043
106;Total legal forms all nationalities;1987 April;310
107;Total legal forms all nationalities;1987 May;303
108;Total legal forms all nationalities;1987 June;278
109;Total legal forms all nationalities;1987 2nd quarter;891
110;Total legal forms all nationalities;1987 July;337
111;Total legal forms all nationalities;1987 August;286
112;Total legal forms all nationalities;1987 September;322
113;Total legal forms all nationalities;1987 3rd quarter;945
114;Total legal forms all nationalities;1987 October;327
115;Total legal forms all nationalities;1987 November;305
116;Total legal forms all nationalities;1987 December;275
117;Total legal forms all nationalities;1987 4th quarter;907
118;Total legal forms all nationalities;1987;3786
119;Total legal forms all nationalities;1988 January;308
120;Total legal forms all nationalities;1988 February;364
121;Total legal forms all nationalities;1988 March;324
122;Total legal forms all nationalities;1988 1st quarter;996
123;Total legal forms all nationalities;1988 April;305
124;Total legal forms all nationalities;1988 May;339
125;Total legal forms all nationalities;1988 June;335
126;Total legal forms all nationalities;1988 2nd quarter;979
127;Total legal forms all nationalities;1988 July;311
128;Total legal forms all nationalities;1988 August;287
129;Total legal forms all nationalities;1988 September;307
130;Total legal forms all nationalities;1988 3rd quarter;905
131;Total legal forms all nationalities;1988 October;365
132;Total legal forms all nationalities;1988 November;332
133;Total legal forms all nationalities;1988 December;272
134;Total legal forms all nationalities;1988 4th quarter;969
135;Total legal forms all nationalities;1988;3849
136;Total legal forms all nationalities;1989 January;342
137;Total legal forms all nationalities;1989 February;303
138;Total legal forms all nationalities;1989 March;340
139;Total legal forms all nationalities;1989 1st quarter;985
140;Total legal forms all nationalities;1989 April;300
141;Total legal forms all nationalities;1989 May;285
142;Total legal forms all nationalities;1989 June;333
143;Total legal forms all nationalities;1989 2nd quarter;918
144;Total legal forms all nationalities;1989 July;287
145;Total legal forms all nationalities;1989 August;254
146;Total legal forms all nationalities;1989 September;341
147;Total legal forms all nationalities;1989 3rd quarter;882
148;Total legal forms all nationalities;1989 October;315
149;Total legal forms all nationalities;1989 November;325
150;Total legal forms all nationalities;1989 December;254
151;Total legal forms all nationalities;1989 4th quarter;894
152;Total legal forms all nationalities;1989;3679
153;Total legal forms all nationalities;1990 January;320
154;Total legal forms all nationalities;1990 February;266
155;Total legal forms all nationalities;1990 March;337
156;Total legal forms all nationalities;1990 1st quarter;923
157;Total legal forms all nationalities;1990 April;290
158;Total legal forms all nationalities;1990 May;280
159;Total legal forms all nationalities;1990 June;300
160;Total legal forms all nationalities;1990 2nd quarter;870
161;Total legal forms all nationalities;1990 July;286
162;Total legal forms all nationalities;1990 August;255
163;Total legal forms all nationalities;1990 September;334
164;Total legal forms all nationalities;1990 3rd quarter;875
165;Total legal forms all nationalities;1990 October;311
166;Total legal forms all nationalities;1990 November;308
167;Total legal forms all nationalities;1990 December;232
168;Total legal forms all nationalities;1990 4th quarter;851
169;Total legal forms all nationalities;1990;3519
170;Total legal forms all nationalities;1991 January;290
171;Total legal forms all nationalities;1991 February;320
172;Total legal forms all nationalities;1991 March;364
173;Total legal forms all nationalities;1991 1st quarter;974
174;Total legal forms all nationalities;1991 April;296
175;Total legal forms all nationalities;1991 May;325
176;Total legal forms all nationalities;1991 June;331
177;Total legal forms all nationalities;1991 2nd quarter;952
178;Total legal forms all nationalities;1991 July;316
179;Total legal forms all nationalities;1991 August;301
180;Total legal forms all nationalities;1991 September;326
181;Total legal forms all nationalities;1991 3rd quarter;943
182;Total legal forms all nationalities;1991 October;400
183;Total legal forms all nationalities;1991 November;444
184;Total legal forms all nationalities;1991 December;362
185;Total legal forms all nationalities;1991 4th quarter;1206
186;Total legal forms all nationalities;1991;4075
187;Total legal forms all nationalities;1992 January;342
188;Total legal forms all nationalities;1992 February;363
189;Total legal forms all nationalities;1992 March;433
190;Total legal forms all nationalities;1992 1st quarter;1138
191;Total legal forms all nationalities;1992 April;408
192;Total legal forms all nationalities;1992 May;413
193;Total legal forms all nationalities;1992 June;382
194;Total legal forms all nationalities;1992 2nd quarter;1203
195;Total legal forms all nationalities;1992 July;403
196;Total legal forms all nationalities;1992 August;349
197;Total legal forms all nationalities;1992 September;463
198;Total legal forms all nationalities;1992 3rd quarter;1215
199;Total legal forms all nationalities;1992 October;534
200;Total legal forms all nationalities;1992 November;503
201;Total legal forms all nationalities;1992 December;452
202;Total legal forms all nationalities;1992 4th quarter;1489
203;Total legal forms all nationalities;1992;5045
204;Total legal forms all nationalities;1993 January;491
205;Total legal forms all nationalities;1993 February;461
206;Total legal forms all nationalities;1993 March;600
207;Total legal forms all nationalities;1993 1st quarter;1552
208;Total legal forms all nationalities;1993 April;515
209;Total legal forms all nationalities;1993 May;545
210;Total legal forms all nationalities;1993 June;498
211;Total legal forms all nationalities;1993 2nd quarter;1558
212;Total legal forms all nationalities;1993 July;593
213;Total legal forms all nationalities;1993 August;524
214;Total legal forms all nationalities;1993 September;537
215;Total legal forms all nationalities;1993 3rd quarter;1654
216;Total legal forms all nationalities;1993 October;544
217;Total legal forms all nationalities;1993 November;599
218;Total legal forms all nationalities;1993 December;521
219;Total legal forms all nationalities;1993 4th quarter;1664
220;Total legal forms all nationalities;1993;6428
221;Total legal forms all nationalities;1994 January;590
222;Total legal forms all nationalities;1994 February;536
223;Total legal forms all nationalities;1994 March;607
224;Total legal forms all nationalities;1994 1st quarter;1733
225;Total legal forms all nationalities;1994 April;527
226;Total legal forms all nationalities;1994 May;448
227;Total legal forms all nationalities;1994 June;572
228;Total legal forms all nationalities;1994 2nd quarter;1547
229;Total legal forms all nationalities;1994 July;503
230;Total legal forms all nationalities;1994 August;570
231;Total legal forms all nationalities;1994 September;560
232;Total legal forms all nationalities;1994 3rd quarter;1633
233;Total legal forms all nationalities;1994 October;521
234;Total legal forms all nationalities;1994 November;558
235;Total legal forms all nationalities;1994 December;472
236;Total legal forms all nationalities;1994 4th quarter;1551
237;Total legal forms all nationalities;1994;6464
238;Total legal forms all nationalities;1995 January;529
239;Total legal forms all nationalities;1995 February;452
240;Total legal forms all nationalities;1995 March;532
241;Total legal forms all nationalities;1995 1st quarter;1513
242;Total legal forms all nationalities;1995 April;497
243;Total legal forms all nationalities;1995 May;417
244;Total legal forms all nationalities;1995 June;462
245;Total legal forms all nationalities;1995 2nd quarter;1376
246;Total legal forms all nationalities;1995 July;522
247;Total legal forms all nationalities;1995 August;446
248;Total legal forms all nationalities;1995 September;538
249;Total legal forms all nationalities;1995 3rd quarter;1506
250;Total legal forms all nationalities;1995 October;544
251;Total legal forms all nationalities;1995 November;472
252;Total legal forms all nationalities;1995 December;436
253;Total legal forms all nationalities;1995 4th quarter;1452
254;Total legal forms all nationalities;1995;5847
255;Total legal forms all nationalities;1996 January;465
256;Total legal forms all nationalities;1996 February;434
257;Total legal forms all nationalities;1996 March;514
258;Total legal forms all nationalities;1996 1st quarter;1413
259;Total legal forms all nationalities;1996 April;441
260;Total legal forms all nationalities;1996 May;456
261;Total legal forms all nationalities;1996 June;474
262;Total legal forms all nationalities;1996 2nd quarter;1371
263;Total legal forms all nationalities;1996 July;424
264;Total legal forms all nationalities;1996 August;456
265;Total legal forms all nationalities;1996 September;488
266;Total legal forms all nationalities;1996 3rd quarter;1368
267;Total legal forms all nationalities;1996 October;484
268;Total legal forms all nationalities;1996 November;479
269;Total legal forms all nationalities;1996 December;462
270;Total legal forms all nationalities;1996 4th quarter;1425
271;Total legal forms all nationalities;1996;5577
272;Total legal forms all nationalities;1997 January;511
273;Total legal forms all nationalities;1997 February;481
274;Total legal forms all nationalities;1997 March;485
275;Total legal forms all nationalities;1997 1st quarter;1477
276;Total legal forms all nationalities;1997 April;425
277;Total legal forms all nationalities;1997 May;503
278;Total legal forms all nationalities;1997 June;453
279;Total legal forms all nationalities;1997 2nd quarter;1381
280;Total legal forms all nationalities;1997 July;436
281;Total legal forms all nationalities;1997 August;396
282;Total legal forms all nationalities;1997 September;482
283;Total legal forms all nationalities;1997 3rd quarter;1314
284;Total legal forms all nationalities;1997 October;474
285;Total legal forms all nationalities;1997 November;494
286;Total legal forms all nationalities;1997 December;407
287;Total legal forms all nationalities;1997 4th quarter;1375
288;Total legal forms all nationalities;1997;5547
289;Total legal forms all nationalities;1998 January;432
290;Total legal forms all nationalities;1998 February;424
291;Total legal forms all nationalities;1998 March;556
292;Total legal forms all nationalities;1998 1st quarter;1412
293;Total legal forms all nationalities;1998 April;463
294;Total legal forms all nationalities;1998 May;384
295;Total legal forms all nationalities;1998 June;444
296;Total legal forms all nationalities;1998 2nd quarter;1291
297;Total legal forms all nationalities;1998 July;422
298;Total legal forms all nationalities;1998 August;361
299;Total legal forms all nationalities;1998 September;484
300;Total legal forms all nationalities;1998 3rd quarter;1267
301;Total legal forms all nationalities;1998 October;380
302;Total legal forms all nationalities;1998 November;409
303;Total legal forms all nationalities;1998 December;272
304;Total legal forms all nationalities;1998 4th quarter;1061
305;Total legal forms all nationalities;1998;5031
306;Total legal forms all nationalities;1999 January;308
307;Total legal forms all nationalities;1999 February;327
308;Total legal forms all nationalities;1999 March;366
309;Total legal forms all nationalities;1999 1st quarter;1001
310;Total legal forms all nationalities;1999 April;349
311;Total legal forms all nationalities;1999 May;290
312;Total legal forms all nationalities;1999 June;325
313;Total legal forms all nationalities;1999 2nd quarter;964
314;Total legal forms all nationalities;1999 July;294
315;Total legal forms all nationalities;1999 August;282
316;Total legal forms all nationalities;1999 September;319
317;Total legal forms all nationalities;1999 3rd quarter;895
318;Total legal forms all nationalities;1999 October;332
319;Total legal forms all nationalities;1999 November;335
320;Total legal forms all nationalities;1999 December;313
321;Total legal forms all nationalities;1999 4th quarter;980
322;Total legal forms all nationalities;1999;3840
323;Total legal forms all nationalities;2000 January;341
324;Total legal forms all nationalities;2000 February;332
325;Total legal forms all nationalities;2000 March;346
326;Total legal forms all nationalities;2000 1st quarter;1019
327;Total legal forms all nationalities;2000 April;320
328;Total legal forms all nationalities;2000 May;356
329;Total legal forms all nationalities;2000 June;343
330;Total legal forms all nationalities;2000 2nd quarter;1019
331;Total legal forms all nationalities;2000 July;391
332;Total legal forms all nationalities;2000 August;399
333;Total legal forms all nationalities;2000 September;374
334;Total legal forms all nationalities;2000 3rd quarter;1164
335;Total legal forms all nationalities;2000 October;454
336;Total legal forms all nationalities;2000 November;454
337;Total legal forms all nationalities;2000 December;388
338;Total legal forms all nationalities;2000 4th quarter;1296
339;Total legal forms all nationalities;2000;4498
340;Total legal forms all nationalities;2001 January;419
341;Total legal forms all nationalities;2001 February;450
342;Total legal forms all nationalities;2001 March;470
343;Total legal forms all nationalities;2001 1st quarter;1339
344;Total legal forms all nationalities;2001 April;460
345;Total legal forms all nationalities;2001 May;479
346;Total legal forms all nationalities;2001 June;462
347;Total legal forms all nationalities;2001 2nd quarter;1401
348;Total legal forms all nationalities;2001 July;556
349;Total legal forms all nationalities;2001 August;493
350;Total legal forms all nationalities;2001 September;480
351;Total legal forms all nationalities;2001 3rd quarter;1529
352;Total legal forms all nationalities;2001 October;553
353;Total legal forms all nationalities;2001 November;539
354;Total legal forms all nationalities;2001 December;473
355;Total legal forms all nationalities;2001 4th quarter;1565
356;Total legal forms all nationalities;2001;5834
357;Total legal forms all nationalities;2002 January;535
358;Total legal forms all nationalities;2002 February;524
359;Total legal forms all nationalities;2002 March;548
360;Total legal forms all nationalities;2002 1st quarter;1607
361;Total legal forms all nationalities;2002 April;496
362;Total legal forms all nationalities;2002 May;509
363;Total legal forms all nationalities;2002 June;560
364;Total legal forms all nationalities;2002 2nd quarter;1565
365;Total legal forms all nationalities;2002 July;636
366;Total legal forms all nationalities;2002 August;517
367;Total legal forms all nationalities;2002 September;626
368;Total legal forms all nationalities;2002 3rd quarter;1779
369;Total legal forms all nationalities;2002 October;623
370;Total legal forms all nationalities;2002 November;617
371;Total legal forms all nationalities;2002 December;580
372;Total legal forms all nationalities;2002 4th quarter;1820
373;Total legal forms all nationalities;2002;6771
374;Total legal forms all nationalities;2003 January;629
375;Total legal forms all nationalities;2003 February;643
376;Total legal forms all nationalities;2003 March;685
377;Total legal forms all nationalities;2003 1st quarter;1957
378;Total legal forms all nationalities;2003 April;712
379;Total legal forms all nationalities;2003 May;796
380;Total legal forms all nationalities;2003 June;799
381;Total legal forms all nationalities;2003 2nd quarter;2307
382;Total legal forms all nationalities;2003 July;670
383;Total legal forms all nationalities;2003 August;645
384;Total legal forms all nationalities;2003 September;883
385;Total legal forms all nationalities;2003 3rd quarter;2198
386;Total legal forms all nationalities;2003 October;772
387;Total legal forms all nationalities;2003 November;821
388;Total legal forms all nationalities;2003 December;693
389;Total legal forms all nationalities;2003 4th quarter;2286
390;Total legal forms all nationalities;2003;8748
391;Total legal forms all nationalities;2004 January;761
392;Total legal forms all nationalities;2004 February;784
393;Total legal forms all nationalities;2004 March;846
394;Total legal forms all nationalities;2004 1st quarter;2391
395;Total legal forms all nationalities;2004 April;754
396;Total legal forms all nationalities;2004 May;820
397;Total legal forms all nationalities;2004 June;756
398;Total legal forms all nationalities;2004 2nd quarter;2330
399;Total legal forms all nationalities;2004 July;775
400;Total legal forms all nationalities;2004 August;775
401;Total legal forms all nationalities;2004 September;769
402;Total legal forms all nationalities;2004 3rd quarter;2319
403;Total legal forms all nationalities;2004 October;754
404;Total legal forms all nationalities;2004 November;832
405;Total legal forms all nationalities;2004 December;723
406;Total legal forms all nationalities;2004 4th quarter;2309
407;Total legal forms all nationalities;2004;9349
408;Total legal forms all nationalities;2005 January;877
409;Total legal forms all nationalities;2005 February;841
410;Total legal forms all nationalities;2005 March;871
411;Total legal forms all nationalities;2005 1st quarter;2589
412;Total legal forms all nationalities;2005 April;858
413;Total legal forms all nationalities;2005 May;860
414;Total legal forms all nationalities;2005 June;836
415;Total legal forms all nationalities;2005 2nd quarter;2554
416;Total legal forms all nationalities;2005 July;871
417;Total legal forms all nationalities;2005 August;754
418;Total legal forms all nationalities;2005 September;844
419;Total legal forms all nationalities;2005 3rd quarter;2469
420;Total legal forms all nationalities;2005 October;869
421;Total legal forms all nationalities;2005 November;830
422;Total legal forms all nationalities;2005 December;771
423;Total legal forms all nationalities;2005 4th quarter;2470
424;Total legal forms all nationalities;2005;10082
425;Total legal forms all nationalities;2006 January;858
426;Total legal forms all nationalities;2006 February;823
427;Total legal forms all nationalities;2006 March;861
428;Total legal forms all nationalities;2006 1st quarter;2542
429;Total legal forms all nationalities;2006 April;805
430;Total legal forms all nationalities;2006 May;787
431;Total legal forms all nationalities;2006 June;728
432;Total legal forms all nationalities;2006 2nd quarter;2320
433;Total legal forms all nationalities;2006 July;801
434;Total legal forms all nationalities;2006 August;645
435;Total legal forms all nationalities;2006 September;766
436;Total legal forms all nationalities;2006 3rd quarter;2212
437;Total legal forms all nationalities;2006 October;737
438;Total legal forms all nationalities;2006 November;657
439;Total legal forms all nationalities;2006 December;711
440;Total legal forms all nationalities;2006 4th quarter;2105
441;Total legal forms all nationalities;2006;9179
442;Total legal forms all nationalities;2007 January;754
443;Total legal forms all nationalities;2007 February;661
444;Total legal forms all nationalities;2007 March;708
445;Total legal forms all nationalities;2007 1st quarter;2123
446;Total legal forms all nationalities;2007 April;706
447;Total legal forms all nationalities;2007 May;643
448;Total legal forms all nationalities;2007 June;645
449;Total legal forms all nationalities;2007 2nd quarter;1994
450;Total legal forms all nationalities;2007 July;696
451;Total legal forms all nationalities;2007 August;603
452;Total legal forms all nationalities;2007 September;672
453;Total legal forms all nationalities;2007 3rd quarter;1971
454;Total legal forms all nationalities;2007 October;704
455;Total legal forms all nationalities;2007 November;635
456;Total legal forms all nationalities;2007 December;525
457;Total legal forms all nationalities;2007 4th quarter;1864
458;Total legal forms all nationalities;2007;7952
459;Total legal forms all nationalities;2008 January;703
460;Total legal forms all nationalities;2008 February;540
461;Total legal forms all nationalities;2008 March;488
462;Total legal forms all nationalities;2008 1st quarter;1731
463;Total legal forms all nationalities;2008 April;529
464;Total legal forms all nationalities;2008 May;514
465;Total legal forms all nationalities;2008 June;587
466;Total legal forms all nationalities;2008 2nd quarter;1630
467;Total legal forms all nationalities;2008 July;513
468;Total legal forms all nationalities;2008 August;540
469;Total legal forms all nationalities;2008 September;531
470;Total legal forms all nationalities;2008 3rd quarter;1584
471;Total legal forms all nationalities;2008 October;571
472;Total legal forms all nationalities;2008 November;722
473;Total legal forms all nationalities;2008 December;609
474;Total legal forms all nationalities;2008 4th quarter;1902
475;Total legal forms all nationalities;2008;6847
476;Total legal forms all nationalities;2009 January;828
477;Total legal forms all nationalities;2009 February;819
478;Total legal forms all nationalities;2009 March;933
479;Total legal forms all nationalities;2009 1st quarter;2580
480;Total legal forms all nationalities;2009 April;998
481;Total legal forms all nationalities;2009 May;802
482;Total legal forms all nationalities;2009 June;925
483;Total legal forms all nationalities;2009 2nd quarter;2725
484;Total legal forms all nationalities;2009 July;958
485;Total legal forms all nationalities;2009 August;816
486;Total legal forms all nationalities;2009 September;809
487;Total legal forms all nationalities;2009 3rd quarter;2583
488;Total legal forms all nationalities;2009 October;889
489;Total legal forms all nationalities;2009 November;937
490;Total legal forms all nationalities;2009 December;757
491;Total legal forms all nationalities;2009 4th quarter;2583
492;Total legal forms all nationalities;2009;10471
493;Total legal forms all nationalities;2010 January;838
494;Total legal forms all nationalities;2010 February;863
495;Total legal forms all nationalities;2010 March;876
496;Total legal forms all nationalities;2010 1st quarter;2577
497;Total legal forms all nationalities;2010 April;824
498;Total legal forms all nationalities;2010 May;654
499;Total legal forms all nationalities;2010 June;881
500;Total legal forms all nationalities;2010 2nd quarter;2359
501;Total legal forms all nationalities;2010 July;773
502;Total legal forms all nationalities;2010 August;720
503;Total legal forms all nationalities;2010 September;734
504;Total legal forms all nationalities;2010 3rd quarter;2227
505;Total legal forms all nationalities;2010 October;832
506;Total legal forms all nationalities;2010 November;808
507;Total legal forms all nationalities;2010 December;688
508;Total legal forms all nationalities;2010 4th quarter;2328
509;Total legal forms all nationalities;2010;9491
510;Total legal forms all nationalities;2011 January;769
511;Total legal forms all nationalities;2011 February;834
512;Total legal forms all nationalities;2011 March;780
513;Total legal forms all nationalities;2011 1st quarter;2383
514;Total legal forms all nationalities;2011 April;756
515;Total legal forms all nationalities;2011 May;803
516;Total legal forms all nationalities;2011 June;705
517;Total legal forms all nationalities;2011 2nd quarter;2264
518;Total legal forms all nationalities;2011 July;743
519;Total legal forms all nationalities;2011 August;704
520;Total legal forms all nationalities;2011 September;834
521;Total legal forms all nationalities;2011 3rd quarter;2281
522;Total legal forms all nationalities;2011 October;862
523;Total legal forms all nationalities;2011 November;925
524;Total legal forms all nationalities;2011 December;816
525;Total legal forms all nationalities;2011 4th quarter;2603
526;Total legal forms all nationalities;2011;9531
527;Total legal forms all nationalities;2012 January;903
528;Total legal forms all nationalities;2012 February;988
529;Total legal forms all nationalities;2012 March;951
530;Total legal forms all nationalities;2012 1st quarter;2842
531;Total legal forms all nationalities;2012 April;909
532;Total legal forms all nationalities;2012 May;898
533;Total legal forms all nationalities;2012 June;929
534;Total legal forms all nationalities;2012 2nd quarter;2736
535;Total legal forms all nationalities;2012 July;965
536;Total legal forms all nationalities;2012 August;835
537;Total legal forms all nationalities;2012 September;935
538;Total legal forms all nationalities;2012 3rd quarter;2735
539;Total legal forms all nationalities;2012 October;966
540;Total legal forms all nationalities;2012 November;1015
541;Total legal forms all nationalities;2012 December;1054
542;Total legal forms all nationalities;2012 4th quarter;3035
543;Total legal forms all nationalities;2012;11348
544;Total legal forms all nationalities;2013 January;1125
545;Total legal forms all nationalities;2013 February;1114
546;Total legal forms all nationalities;2013 March;1150
547;Total legal forms all nationalities;2013 1st quarter;3389
548;Total legal forms all nationalities;2013 April;1090
549;Total legal forms all nationalities;2013 May;1219
550;Total legal forms all nationalities;2013 June;1097
551;Total legal forms all nationalities;2013 2nd quarter;3406
552;Total legal forms all nationalities;2013 July;1007
553;Total legal forms all nationalities;2013 August;913
554;Total legal forms all nationalities;2013 September;919
555;Total legal forms all nationalities;2013 3rd quarter;2839
556;Total legal forms all nationalities;2013 October;987
557;Total legal forms all nationalities;2013 November;960
558;Total legal forms all nationalities;2013 December;868
559;Total legal forms all nationalities;2013 4th quarter;2815
560;Total legal forms all nationalities;2013;12449
561;Total legal forms all nationalities;2014 January;986
562;Total legal forms all nationalities;2014 February;958
563;Total legal forms all nationalities;2014 March;824
564;Total legal forms all nationalities;2014 1st quarter;2768
565;Total legal forms all nationalities;2014 April;946
566;Total legal forms all nationalities;2014 May;835
567;Total legal forms all nationalities;2014 June;696
568;Total legal forms all nationalities;2014 2nd quarter;2477
569;Total legal forms all nationalities;2014 July;770
570;Total legal forms all nationalities;2014 August;718
571;Total legal forms all nationalities;2014 September;717
572;Total legal forms all nationalities;2014 3rd quarter;2205
573;Total legal forms all nationalities;2014 October;792
574;Total legal forms all nationalities;2014 November;745
575;Total legal forms all nationalities;2014 December;682
576;Total legal forms all nationalities;2014 4th quarter;2219
577;Total legal forms all nationalities;2014;9669
578;Total legal forms all nationalities;2015 January;708
579;Total legal forms all nationalities;2015 February;721
580;Total legal forms all nationalities;2015 March;764
581;Total legal forms all nationalities;2015 1st quarter;2193
582;Total legal forms all nationalities;2015 April;647
583;Total legal forms all nationalities;2015 May;632
584;Total legal forms all nationalities;2015 June;578
585;Total legal forms all nationalities;2015 2nd quarter;1857
586;Total legal forms all nationalities;2015 July;603
587;Total legal forms all nationalities;2015 August;468
588;Total legal forms all nationalities;2015 September;495
589;Total legal forms all nationalities;2015 3rd quarter;1566
590;Total legal forms all nationalities;2015 October;565
591;Total legal forms all nationalities;2015 November;553
592;Total legal forms all nationalities;2015 December;604
593;Total legal forms all nationalities;2015 4th quarter;1722
594;Total legal forms all nationalities;2015;7338
595;Total legal forms all nationalities;2016 January;537
596;Total legal forms all nationalities;2016 February;629
597;Total legal forms all nationalities;2016 March;556
598;Total legal forms all nationalities;2016 1st quarter;1722
599;Total legal forms all nationalities;2016 April;531
600;Total legal forms all nationalities;2016 May;477
601;Total legal forms all nationalities;2016 June;520
602;Total legal forms all nationalities;2016 2nd quarter;1528
603;Total legal forms all nationalities;2016 July;498
604;Total legal forms all nationalities;2016 August;405
605;Total legal forms all nationalities;2016 September;420
606;Total legal forms all nationalities;2016 3rd quarter;1323
607;Total legal forms all nationalities;2016 October;420
608;Total legal forms all nationalities;2016 November;521
609;Total legal forms all nationalities;2016 December;438
610;Total legal forms all nationalities;2016 4th quarter;1379
611;Total legal forms all nationalities;2016;5952
612;Total legal forms all nationalities;2017 January;456
613;Total legal forms all nationalities;2017 February;406
614;Total legal forms all nationalities;2017 March;424
615;Total legal forms all nationalities;2017 1st quarter;1286
616;Total legal forms all nationalities;2017 April;389
617;Total legal forms all nationalities;2017 May;405
618;Total legal forms all nationalities;2017 June;404
619;Total legal forms all nationalities;2017 2nd quarter;1198
620;Total legal forms all nationalities;2017 July;360
621;Total legal forms all nationalities;2017 August;340
622;Total legal forms all nationalities;2017 September;356
623;Total legal forms all nationalities;2017 3rd quarter;1056
624;Total legal forms all nationalities;2017 October;365
625;Total legal forms all nationalities;2017 November;355
