ID;Periods;PopulationAtStartOfSelectedPeriod_1;LiveBirths_2;Deaths_3;Immigration_4;EmigrationIncludingAdministrativeC_5;NetCorrections_6;TotalPopulationGrowth_7;PopulationAtEndOfSelectedPeriod_8
264;2015 May;16913226;14345;11811;10697;9583;;3648;16916874
265;2015 June;16916874;14273;11138;14257;13352;;4040;16920914
266;2015 July;16920914;15308;11590;17251;17780;;3189;16924103
267;2015 August;16924103;15353;11174;25795;15966;;14008;16938111
268;2015 September;16938111;15330;11250;29016;13736;;19360;16957471
269;2015 October;16957471;14610;12235;18968;11770;;9573;16967044
270;2015 November;16967044;13852;11612;16009;9828;;8421;16975465
271;2015 December;16975465;13902;12318;14511;12352;-88.0;3655;16979120
272;2015;16900726;170510;147134;204615;149509;-88.0;78394;16979120
273;2016 January;16979120;13990;13769;17415;13076;;4560;16983680
274;2016 February;16983680;13342;12927;19595;11680;;8330;16992010
275;2016 March;16992010;14107;13697;16507;11010;;5907;16997917
276;2016 April;16997917;13823;12228;14517;10498;;5614;17003531
277;2016 May;17003531;14513;12223;15047;9577;;7760;17011291
278;2016 June;17011291;14539;11237;16662;13205;;6759;17018050
279;2016 July;17018050;15683;11707;17362;16714;;4624;17022674
280;2016 August;17022674;15603;11407;31452;15780;;19868;17042542
281;2016 September;17042542;15163;11270;30085;14031;;19947;17062489
282;2016 October;17062489;14539;12398;19489;12075;;9555;17072044
283;2016 November;17072044;13529;12333;17757;11210;;7743;17079787
284;2016 December;17079787;13689;13801;14851;12689;-330.0;1720;17081507
285;2016;16979120;172520;148997;230739;151545;-330.0;102387;17081507
286;2017 January;17081507;14100;15814;17385;13395;;2276;17083783
287;2017 February;17083783;12575;13642;19712;10972;;7673;17091456
288;2017 March;17091456;13696;13037;17306;10586;;7379;17098835
289;2017 April;17098835;13413;11799;13793;9282;;6125;17104960
290;2017 May;17104960;14367;12331;15738;11145;;6629;17111589
291;2017 June;17111589;14012;11398;16234;13569;;5279;17116868
292;2017 July;17116868;15043;11535;18270;17811;;3967;17120835
293;2017 August;17120835;15459;11396;32258;16295;;20026;17140861
294;2017 September;17140861;14825;11387;32162;14150;;21450;17162311
295;2017 October;17162311;14635;11888;20866;13021;;10592;17172903
296;2017 November;17172903;13998;12247;17489;11453;;7787;17180690
297;2017 December;17180690;13713;13740;13744;12613;-710.0;394;17181084
298;2017;17081507;169836;150214;234957;154292;-710.0;99577;17181084
299;2018 January;17181084;14111;14857;18447;13308;;4393;17185477
300;2018 February;17185477;12269;14454;19829;10815;;6829;17192306
301;2018 March;17192306;13415;16332;15685;11972;;796;17193102
302;2018 April;17193102;13417;12155;15006;10470;;5798;17198900
303;2018 May;17198900;14619;11812;16270;9997;;9080;17207980
304;2018 June;17207980;14192;11248;16062;13872;;5134;17213114
305;2018 July;17213114;15297;12014;20006;18805;;4484;17217598
306;2018 August;17217598;15132;11755;34642;17387;;20632;17238230
307;2018 September;17238230;14955;11236;31674;13826;;21567;17259797
308;2018 October;17259797;14424;12189;22544;13345;;11434;17271231
309;2018 November;17271231;13581;12139;19157;11250;;9349;17280580
310;2018 December;17280580;13113;13172;14415;12319;-454.0;1583;17282163
311;2018;17181084;168525;153363;243737;157366;-454.0;101079;17282163
312;2019 January;17282163;14192;13998;21543;13880;;7857;17290020
313;2019 February;17290020;12149;12758;21595;11663;;9323;17299343
314;2019 March;17299343;13549;13757;18260;11696;;6356;17305699
315;2019 April;17305699;13717;12593;17536;10968;;7692;17313391
316;2019 May;17313391;14349;12426;17423;10747;;8599;17321990
317;2019 June;17321990;14233;11683;17055;13610;;5995;17327985
318;2019 July;17327985;15476;12314;23043;19039;;7166;17335151
319;2019 August;17335151;15442;11773;37265;16733;;24201;17359352
320;2019 September;17359352;15132;11267;36754;14594;;26025;17385377
321;2019 October;17385377;14709;12571;24846;12997;;13987;17399364
322;2019 November;17399364;13686;13017;18555;11426;;7798;17407162
323;2019 December;17407162;13046;13728;15189;13676;-408.0;423;17407585
324;2019;17282163;169680;151885;269064;161029;-408.0;125422;17407585
325;2020 January;17407585;14085;14111;22220;15808;;6386;17413971
326;2020 February;17413971;12905;12895;21695;11813;;9892;17423863
327;2020 March;17423863;13556;16237;15610;12535;;394;17424257
328;2020 April;17424257;13375;18876;9365;8469;;-4605;17419652
329;2020 May;17419652;13791;12641;9066;8063;;2153;17421805
330;2020 June;17421805;13928;11478;12740;11197;;3993;17425798
331;2020 July;17425798;15625;11627;18042;16918;;5122;17430920
332;2020 August;17430920;15110;12568;26747;15385;;13904;17444824
333;2020 September;17444824;14966;11905;30408;12997;;20472;17465296
334;2020 October;17465296;14508;14613;20861;13612;;7144;17472440
335;2020 November;17472440;13555;14925;17783;12371;;4042;17476482
336;2020 December;17476482;13277;16802;16316;13326;-532.0;-1067;17475415
337;2020;17407585;168681;168678;220853;152494;-532.0;67830;17475415
338;2021 January;17475415;13953;17307;15776;11782;0.0;640;17476055
339;2021 February;17476055;13480;13942;16245;9474;0.0;6309;17482364
340;2021 March;17482364;14905;13797;16466;11269;0.0;6305;17488669
341;2021 April;17488669;14517;13533;14827;9767;0.0;6044;17494713
342;2021 May;17494713;14806;13124;13927;9358;0.0;6251;17500964
343;2021 June;17500964;14833;12205;16402;12092;0.0;6938;17507902
344;2021 July;17507902;16108;12607;19989;15516;0.0;7974;17515876
345;2021 August;17515876;15958;12769;34635;15918;0.0;21906;17537782
346;2021 September;17537782;16225;12709;40109;13118;0.0;30507;17568289
347;2021 October;17568289;15713;14150;24873;12060;0.0;14376;17582665
348;2021 November;17582665;14676;16782;21646;11160;0.0;8380;17591045
349;2021 December;17591045;14267;18047;17633;13816;-410.0;-373;17590672
350;2021;17475415;179441;170972;252528;145330;-410.0;115257;17590672
351;2022 January;17590672;14054;14429;19578;12737;0.0;6466;17597138
352;2022 February;17597138;12764;13245;23109;11255;0.0;11373;17608511
353;2022 March;17608511;13585;15449;46541;11946;0.0;32731;17641242
354;2022 April;17641242;12890;14570;46288;10891;0.0;33717;17674959
355;2022 May;17674959;14022;13484;32677;12407;0.0;20808;17695767
356;2022 June;17695767;14098;13048;29168;16106;0.0;14112;17709879
357;2022 July;17709879;14894;13655;29407;20820;0.0;9826;17719705
358;2022 August;17719705;15257;13378;48447;20559;0.0;29767;17749472
359;2022 September;17749472;15231;12759;47081;17560;0.0;31993;17781465
360;2022 October;17781465;14481;14676;30322;15226;0.0;14901;17796366
361;2022 November;17796366;13223;14043;28462;14113;0.0;13529;17809895
362;2022 December;17809895;13005;17376;22028;15690;-571.0;1396;17811291
363;2022;17590672;167504;170112;403108;179310;-571.0;220619;17811291
364;2023 January;17811291;13231;16590;25982;16739;0.0;5884;17817175
365;2023 February;17817175;12206;13990;28821;14912;0.0;12125;17829300
366;2023 March;17829300;13725;16096;26404;15338;0.0;8695;17837995
367;2023 April;17837995;12876;13357;20823;13126;0.0;7216;17845211
368;2023 May;17845211;14307;13142;23238;13728;0.0;10675;17855886
369;2023 June;17855886;13958;13103;24026;16886;0.0;7995;17863881
370;2023 July;17863881;14897;12648;25594;22319;0.0;5524;17869405
371;2023 August;17869405;14810;12685;44067;21248;0.0;24944;17894349
372;2023 September;17894349;13933;12850;41915;17202;0.0;25796;17920145
373;2023 October;17920145;14108;14138;30252;15701;0.0;14521;17934666
374;2023 November;17934666;13431;14823;25105;14548;0.0;9165;17943831
375;2023 December;17943831;13005;16099;19441;16555;-681.0;-889;17942942
376;2023;17811291;164487;169521;335668;198302;-681.0;131651;17942942
377;2024 January;17942942;13582;16825;24815;17958;;3614;17946556
378;2024 February;17946556;12893;15195;27110;15621;;9187;17955743
379;2024 March;17955743;13527;15220;22850;14137;;7020;17962763
380;2024 April;17962763;13171;14272;21837;13455;;7281;17970044
381;2024 May;17970044;14254;13844;20651;13429;;7632;17977676
382;2024 June;17977676;13831;13073;20478;16979;;4257;17981933
383;2024 July;17981933;14536;13402;25919;23618;;3435;17985368
384;2024 August;17985368;14828;13333;39259;20980;;19774;18005142
385;2024 September;18005142;14327;13215;40194;18237;;23069;18028211
386;2024 October;18028211;14018;14465;28301;17339;;10515;18038726
387;2024 November;18038726;13322;14081;23139;15423;;6957;18045683
388;2024 December;18045683;13115;15020;19519;17765;0.0;-151;18045532
389;2024;17942942;165404;171945;314072;204941;0.0;102590;18045532
390;2025 January;18045532;13690;17283;27642;17725;;6324;18051856
391;2025 February;18051856;12148;15932;28099;15726;;8589;18060445
