ID;Geslacht;Leeftijd;WijkenEnBuurten;BeroepsEnNietBeroepsbevolking_1;WerkzameBeroepsbevolking_2;NettoArbeidsparticipatie_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7
41;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 14 Gasselte;1370;870;63.0;78.0;54.0;24.0;22.0
42;Totaal mannen en vrouwen;15 tot 75 jaar;Gasselte;1090;700;64.0;80.0;55.0;25.0;20.0
43;Totaal mannen en vrouwen;15 tot 75 jaar;Kostvlies;100;60;;;;;
44;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Gasselte;180;100;58.0;;;;
45;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 15 Gasselternijveen;1430;910;64.0;85.0;58.0;26.0;15.0
46;Totaal mannen en vrouwen;15 tot 75 jaar;Gasselternijveen;1390;880;63.0;86.0;59.0;27.0;14.0
47;Totaal mannen en vrouwen;15 tot 75 jaar;Gasselterboerveen;40;30;;;;;
48;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Gasselternijveen;0;0;;;;;
49;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 16 Gasselternijveenschemond;540;340;63.0;77.0;57.0;20.0;23.0
50;Totaal mannen en vrouwen;15 tot 75 jaar;Gasselternijveenschemond;510;320;63.0;80.0;59.0;21.0;20.0
51;Totaal mannen en vrouwen;15 tot 75 jaar;Gasselterboerveenschemond;30;20;;;;;
52;Totaal mannen en vrouwen;15 tot 75 jaar;Verspr.h. Gasselternijveenschemond;10;0;;;;;
53;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 17 Gieten;3620;2410;67.0;84.0;60.0;24.0;16.0
54;Totaal mannen en vrouwen;15 tot 75 jaar;Gieten;3490;2320;66.0;84.0;61.0;24.0;16.0
55;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Gieten;130;90;;;;;
56;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 18 Gieterveen;990;690;70.0;81.0;55.0;26.0;19.0
57;Totaal mannen en vrouwen;15 tot 75 jaar;Gieterveen;530;370;70.0;85.0;57.0;28.0;15.0
58;Totaal mannen en vrouwen;15 tot 75 jaar;Bonnerveen;90;70;;;;;
59;Totaal mannen en vrouwen;15 tot 75 jaar;Nieuwediep;210;150;68.0;82.0;56.0;26.0;18.0
60;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Gieterveen;160;110;68.0;;;;
61;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 19 Rolde;3250;2180;67.0;82.0;60.0;22.0;18.0
62;Totaal mannen en vrouwen;15 tot 75 jaar;Rolde;2530;1670;66.0;84.0;61.0;23.0;16.0
