ID;Perioden;AmerikaanseDollarPer1_1;AustralischeDollarPer100_2;BelgischeFrankPer100_3;CanadeseDollarPer1_4;DeenseKroonPer100_5;DuitseMarkPer100_6;EuropeseRekeneenheidPer1_7;FinseMarkPer100_8;FranseFrankPer100_9;GriekseDrachmePer100_10;HongKongDollarPer100_11;IersePondPer1_12;ItaliaanseLirePer10000_13;JapanseYenPer10000_14;NieuwzeelandseDollarPer100_15;NoorseKroonPer100_16;OostenrijkseShillingPer100_17;PondSterlingPer1_18;PortugeseEscudoPer100_19;SpaansePesetaPer100_20;ZuidafrikaanseRandPer1_21;ZweedseKroonPer100_22;ZwitserseFrankPer100_23
85;1968 augustus;3.63;;7.25;3.38;48.27;90.39;;;72.94;;;;58.39;;;50.79;14.05;8.67;;;;70.28;84.25
86;1968 september;3.63;;7.24;3.39;48.43;91.44;;;73.24;;;;58.43;;;50.89;14.07;8.68;;;;70.43;84.54
87;1968 oktober;3.64;;7.23;3.39;48.48;91.35;;;73.16;;;;58.43;;;50.94;14.08;8.7;;;;70.36;84.68
88;1968 november;3.63;;7.24;3.38;48.34;91.34;;;73.09;;;;58.24;;;50.85;14.03;8.67;;;;70.19;84.42
89;1968 december;3.61;;7.2;3.36;48.16;90.36;;;72.91;;;;57.85;;;50.53;13.97;8.6;;;;69.75;83.96
90;1968;3.62;;7.25;3.36;48.38;90.67;;;73.13;;;;58.11;100.26;;50.96;14.01;8.67;;;;70.06;83.89
91;1969 januari;3.62;;7.21;3.37;48.2;90.37;;;73.1;;;;57.98;;;50.61;13.99;8.64;;;;69.53;83.77
92;1969 februari;3.63;;7.23;3.37;48.2;90.23;;;73.21;;;;57.95;;;50.72;14.01;8.67;;;;70.08;83.93
93;1969 maart;3.63;;7.22;3.37;48.34;90.26;;;73.17;;;;57.74;;;50.8;14.02;8.68;;;;70.18;84.39
94;1969 april;3.63;;7.23;3.38;48.29;90.56;;;73.17;;;;57.93;;;50.91;14.05;8.7;;;;70.28;84.07
95;1969 mei;3.64;;7.26;3.38;48.32;91.3;;;73.25;;;;57.98;;;50.96;14.06;8.69;;;;70.43;84.21
96;1969 juni;3.65;;7.25;3.37;48.45;91.12;;;73.34;;;;58.2;;;51.11;14.1;8.71;;;;70.49;84.54
97;1969 juli;3.64;;7.24;3.37;48.38;91.04;;;73.24;;;;57.98;;;51.0;14.1;8.7;;;;70.42;84.47
98;1969 augustus;3.62;;7.2;3.36;48.07;90.75;;;65.26;;;;57.62;;;50.66;14.03;8.63;;;;70.06;84.07
99;1969 september;3.61;;7.19;3.35;48.05;91.02;;;65.11;;;;57.45;;;50.59;13.99;8.62;;;;69.91;84.13
100;1969 oktober;3.6;;7.2;3.34;47.83;96.43;;;64.41;;;;57.31;;;50.31;13.92;8.6;;;;69.65;83.57
101;1969 november;3.6;;7.25;3.35;48.07;97.68;;;64.64;;;;57.61;;;50.43;13.92;8.64;;;;69.77;83.33
102;1969 december;3.61;;7.29;3.37;48.33;98.22;;;64.98;;;;57.74;;;50.68;14.01;8.68;;;;70.05;84.01
103;1969;3.62;;7.23;3.36;48.01;92.35;;;69.87;;;;57.79;100.95;;50.73;14.02;8.66;;;;70.1;84.04
104;1970 januari;3.63;;7.31;3.39;48.48;98.56;;;65.43;;;;57.75;;;50.81;14.05;8.72;;;;70.34;84.22
105;1970 februari;3.64;;7.33;3.39;48.53;98.63;;;65.62;;;;57.81;;;50.91;14.07;8.75;;;;70.26;84.63
106;1970 maart;3.63;;7.32;3.39;48.48;98.85;;;65.56;;;;57.79;;;50.89;14.05;8.74;;;;69.9;84.32
107;1970 april;3.63;;7.31;3.39;48.41;99.71;;;65.65;;;;57.74;;;50.86;14.03;8.74;;;;69.87;84.42
108;1970 mei;3.63;;7.31;3.38;48.34;99.83;;;65.7;;;;57.68;;;50.75;14.01;8.72;;;;69.78;84.15
109;1970 juni;3.62;;7.3;3.49;48.33;99.77;;;65.66;;;;57.64;;;50.71;14.01;8.69;;;;69.85;84.05
110;1970 juli;3.61;;7.28;3.5;48.15;99.44;;;65.45;;;;57.14;;;50.55;13.99;8.63;;;;69.6;83.91
111;1970 augustus;3.6;;7.25;3.52;48.0;99.15;;;65.21;;;;57.37;;;50.4;13.95;8.6;;;;69.52;83.7
112;1970 september;3.6;;7.25;3.54;47.99;99.11;;;65.2;;;;57.62;;;50.38;13.94;8.58;;;;69.2;83.58
113;1970 oktober;3.6;;7.25;3.52;48.07;99.1;;;65.18;;;;57.8;;;50.37;13.94;8.59;;;;69.43;83.14
114;1970 november;3.6;;7.25;3.53;47.99;99.1;;;65.2;;;;57.82;;;50.36;13.92;8.6;;;;69.54;83.31
115;1970 december;3.6;;7.26;3.54;48.23;98.85;;;65.24;;;;57.8;;;50.52;13.95;8.61;;;;69.63;83.55
116;1970;3.62;;7.28;3.47;48.25;99.17;;;65.42;;;;57.68;100.82;;50.62;13.99;8.66;;;;69.73;83.9
117;1971 januari;3.59;;7.24;3.55;48.04;98.84;;;65.14;;;;57.69;;;50.34;13.91;8.65;;;;69.62;83.49
118;1971 februari;3.59;;7.25;3.57;48.04;98.99;;;65.16;;;;57.67;;;50.34;13.89;8.69;;;;69.52;83.67
119;1971 maart;3.59;;7.24;3.57;48.07;99.0;;;65.19;;;;57.77;;;50.38;13.9;8.7;;;;69.65;83.61
120;1971 april;3.6;;7.26;3.57;48.09;99.07;;;65.28;;;;57.89;;;50.52;13.95;8.71;;;;69.76;83.77
121;1971 mei;3.55;;7.16;3.52;47.41;100.12;;;64.32;;;;57.1;;;49.96;14.17;8.6;;;;68.83;86.3
122;1971 juni;3.56;;7.17;3.49;47.55;101.43;;;64.47;;;;57.08;;;50.11;14.27;8.62;;;;69.04;87.07
123;1971 juli;3.56;;7.17;3.49;47.48;102.22;;;64.56;;;;57.15;;;50.1;14.28;8.61;;;;68.97;86.94
124;1971 augustus;3.49;;7.1;3.44;46.94;102.02;;;63.24;;;;56.41;;;49.7;14.12;8.49;;;;68.06;86.62
125;1971 september;3.41;;7.15;3.37;46.72;101.63;;;61.88;;;;55.7;;;49.53;14.02;8.43;;;;67.42;85.78
126;1971 oktober;3.36;;7.18;3.34;46.26;100.97;;;60.71;;;;54.89;;;49.05;13.88;8.36;;;;66.91;84.51
127;1971 november;3.33;;7.19;3.32;45.91;100.0;;;60.31;;;;54.42;;;48.59;13.78;8.31;;;;66.61;83.68
128;1971 december;3.28;;7.21;3.28;45.91;100.29;;;60.73;;;;54.63;;;48.6;13.82;8.28;;;;67.04;84.03
129;1971;3.49;;7.19;3.46;47.19;100.39;;;63.37;;;;56.5;100.39;;49.76;13.99;8.53;;;;68.43;84.91
130;1972 januari;3.22;;7.25;3.2;45.77;99.58;;;62.21;;;;54.49;102.67;;48.05;13.73;8.27;;;;66.74;82.74
131;1972 februari;3.18;;7.25;3.16;45.47;99.74;;;62.47;;;;54.19;103.84;;47.77;13.72;8.27;;;;66.32;82.36
132;1972 maart;3.18;;7.25;3.19;45.76;100.47;;;63.2;;;;54.69;104.95;;48.31;13.82;8.34;;;;66.77;82.72
133;1972 april;3.21;;7.28;3.22;45.93;101.02;;;63.76;;;;55.05;105.33;;48.66;13.89;8.38;;;;67.15;83.25
134;1972 mei;3.21;;7.31;3.25;46.1;101.04;;;64.11;;;;55.2;105.13;;48.92;13.91;8.39;;;;67.62;83.25
135;1972 juni;3.2;;7.28;3.27;46.04;100.88;;;63.8;;;;55.1;104.93;;49.07;13.91;8.25;;;;67.57;84.04
136;1972 juli;3.18;;7.26;3.23;45.73;100.67;;;63.62;;;;54.78;105.19;;48.92;13.22;7.78;;;;67.26;84.53
137;1972 augustus;3.21;;7.32;3.27;46.33;100.72;;;64.17;;;;55.22;106.16;;49.21;13.96;7.86;;;;67.92;84.89
138;1972 september;3.23;;7.35;3.28;46.78;101.11;;;62.5;;;;55.54;106.82;;49.12;14.01;7.88;;;;68.28;85.27
139;1972 oktober;3.24;;7.34;3.3;46.98;101.04;;;64.51;;;;55.57;107.25;;49.06;13.97;7.76;;;;68.3;85.37
140;1972 november;3.23;;7.33;3.27;46.87;100.8;;;64.08;;;;55.28;106.86;;48.92;13.92;7.59;;;;68.09;85.09
141;1972 december;3.23;;7.32;3.24;47.19;100.95;;;63.55;;;;55.29;106.87;;49.07;13.95;7.57;;;;68.09;85.65
142;1972;3.21;;7.3;3.24;45.31;100.66;;;63.67;;;;55.03;105.43;;48.76;13.84;8.03;;;;67.5;84.15
143;1973 januari;3.22;;7.3;3.22;46.8;100.65;;;63.32;;;;55.0;106.19;;48.69;13.92;7.58;;;;67.9;86.26
144;1973 februari;3.02;;7.24;3.03;46.51;100.41;;;63.38;;;;52.71;108.13;;48.61;13.9;7.34;;;;66.16;88.67
145;1973 maart;2.9;;7.32;2.91;47.06;102.63;;;64.19;;;;50.76;108.82;;49.24;14.14;7.19;;;;64.88;90.03
146;1973 april;2.95;;7.35;2.95;47.49;103.95;;;64.82;;;;50.14;110.46;;49.88;14.26;7.32;;;;65.37;91.05
147;1973 mei;2.9;;7.35;2.9;47.12;103.73;;;64.67;;;;49.25;108.81;;49.87;14.24;7.33;;;;65.35;91.35
148;1973 juni;2.73;;7.29;2.73;46.89;105.93;;;64.25;;;;45.92;102.95;;49.69;14.4;7.04;;;;64.92;89.59
149;1973 juli;2.58;;7.28;2.58;46.72;110.53;;;63.74;;;;44.58;96.88;;49.0;15.0;6.56;;;;64.14;91.7
150;1973 augustus;2.66;;7.19;2.65;46.61;109.66;;;62.58;;;;46.34;99.46;;48.24;14.9;6.58;;;;64.09;89.59
151;1973 september;2.6;;7.04;2.58;45.45;107.19;;;60.94;;;;46.02;97.51;;46.94;14.49;6.28;;;;61.81;86.19
152;1973 oktober;2.5;;6.83;2.49;44.25;103.54;;;59.27;;;;44.16;93.16;;45.68;13.99;6.07;;;;59.85;82.58
153;1973 november;2.68;;6.95;2.68;45.0;193.97;;;60.92;;;;45.43;95.58;;47.86;14.16;6.41;;;;61.84;84.84
154;1973 december;2.8;;6.96;2.81;45.21;105.74;;;61.25;;;;46.29;99.6;;49.64;14.39;6.51;;;;61.95;87.76
155;1973;2.78;;7.17;2.78;46.21;104.97;;;62.69;;;;47.85;102.3;;48.54;14.33;6.83;;;;62.4;88.18
156;1974 januari;2.94;;6.86;2.96;44.16;104.46;;;58.56;;;;45.54;97.61;;49.24;14.22;6.53;;;;61.22;87.37
157;1974 februari;2.83;;6.9;2.89;44.0;104.19;;;56.97;;;;43.25;96.5;;48.91;14.19;6.44;;;;60.43;89.08
158;1974 maart;2.75;;6.89;2.83;44.13;105.08;;;57.08;;;;43.25;96.88;;48.8;14.23;6.44;;;;60.32;89.37
159;1974 april;2.68;;6.87;2.77;44.17;105.9;;;55.11;;;;42.16;95.85;;48.64;14.29;6.39;;;;60.8;88.44
160;1974 mei;2.6;;6.9;2.7;44.24;105.6;;;53.23;;;;41.13;92.42;;48.66;14.48;6.27;;;;60.78;89.18
161;1974 juni;2.65;;6.99;2.74;44.39;105.05;;;54.04;;;;40.78;92.95;;48.83;14.63;6.33;;;;60.68;88.64
162;1974 juli;2.63;;6.95;2.7;44.43;103.21;;;55.28;;;;40.94;90.07;;48.79;14.51;6.29;;;;60.25;88.86
163;1974 augustus;2.67;;6.9;2.73;44.23;102.01;;;55.91;;;;40.83;87.77;;48.74;14.41;6.26;;;;60.43;89.56
164;1974 september;2.71;;6.88;2.75;43.78;101.96;;;56.51;;;;41.02;90.08;;48.85;14.39;6.28;;;;60.62;90.47
165;1974 oktober;2.66;;6.89;2.7;44.11;102.45;;;56.16;;;;39.86;88.31;;48.26;14.38;6.2;;;;60.49;91.71
166;1974 november;2.6;;6.9;2.64;44.31;103.58;;;55.7;;;;39.11;86.29;;47.89;14.5;6.06;;;;60.36;94.59
167;1974 december;2.55;;6.9;2.58;44.08;103.6;;;56.19;;;;38.65;84.17;;47.97;14.56;5.92;;;;60.71;97.55
168;1974;2.69;;6.9;2.75;44.17;103.88;;;55.9;;;;41.37;91.34;;48.63;14.4;6.29;;;;60.58;90.37
169;1975 januari;2.46;;6.93;2.47;43.81;103.88;;;56.27;;;;38.12;81.36;;48.2;14.63;5.8;;;;60.92;97.3
170;1975 februari;2.41;;6.89;2.41;43.5;103.43;;;56.26;;;;37.77;81.83;;48.13;14.58;5.77;;;;60.56;97.3
171;1975 maart;2.37;;6.91;2.37;43.62;102.37;;;56.47;;;;37.54;81.97;;48.27;14.43;5.74;;;;60.49;95.87
172;1975 april;2.42;;6.9;2.4;43.93;102.02;;;57.65;;;;38.25;82.41;;48.6;14.4;5.75;;;;61.01;94.75
173;1975 mei;2.4;;6.89;2.34;44.09;102.31;;;59.46;;;;38.4;82.08;;48.61;14.46;5.58;;;;61.17;96.04
174;1975 juni;2.41;;6.9;2.35;44.33;102.94;;;60.36;;;;38.53;81.56;;49.15;14.56;5.49;;;;61.58;96.6
175;1975 juli;2.55;;6.93;2.47;44.68;103.37;;;60.42;;;;39.3;85.32;;49.18;14.66;5.57;;;;61.89;97.73
176;1975 augustus;2.64;;6.9;2.55;44.35;102.58;;;60.38;;;;39.56;88.1;;48.36;14.55;5.59;;;;61.22;98.5
177;1975 september;2.68;;6.85;2.61;44.22;102.61;;;60.06;;;;39.6;88.92;;47.93;14.52;5.6;;;;60.44;99.13
178;1975 oktober;2.66;;6.82;2.59;44.15;102.91;;;60.29;;;;39.18;87.36;;48.1;14.53;5.47;;;;60.52;99.73
179;1975 november;2.65;;6.81;2.62;44.04;102.65;;;60.3;;;;39.12;87.23;;48.16;14.5;5.45;;;;60.57;100.08
180;1975 december;2.69;;6.8;2.65;43.73;102.47;;;60.3;;;;39.37;87.4;;48.37;14.53;5.43;;;;60.99;101.95
181;1975;2.53;;6.88;2.49;44.04;102.8;;;59.02;;;;38.73;84.63;;48.42;14.53;5.6;;;;60.95;97.92
182;1976 januari;2.67;;6.8;2.65;43.43;102.63;;;59.69;;;;38.29;87.19;;48.08;14.54;5.42;;;;61.05;102.65
183;1976 februari;2.66;;6.81;2.68;43.39;104.02;;;59.57;;;;34.78;87.74;;48.23;14.57;5.4;;;;60.91;103.68
184;1976 maart;2.69;;6.86;2.73;43.82;105.16;;;58.26;;;;32.68;89.03;;48.53;14.66;5.24;;;;61.15;104.99
185;1976 april;2.69;;6.9;2.73;44.5;105.93;;;57.52;;;;30.61;89.05;;48.91;14.78;4.96;;;;61.06;106.26
186;1976 mei;2.71;;6.93;2.77;44.84;106.06;;;57.78;;;;31.75;90.37;;49.45;14.79;4.92;;;;61.6;109.32
187;1976 juni;2.74;;6.91;2.81;44.69;106.26;;;57.7;;;;32.28;90.98;;49.38;14.86;4.83;;;;61.55;110.91
188;1976 juli;2.73;;6.87;2.81;44.3;105.98;;;56.46;;;;32.61;92.04;;48.85;14.9;4.87;;;;61.1;109.88
189;1976 augustus;2.67;;6.86;2.71;44.04;105.83;;;53.89;;;;31.97;91.6;;48.57;14.91;4.77;;;;60.66;107.93
190;1976 september;2.61;;6.79;2.67;43.52;104.64;;;53.02;;;;30.88;90.24;;48.01;14.75;4.51;;;;59.95;105.38
191;1976 oktober;2.55;;6.82;2.62;43.24;104.85;;;51.16;;;;29.81;87.12;;47.9;14.77;4.18;;;;59.92;104.19
192;1976 november;2.52;;6.81;2.56;42.69;104.46;;;50.5;;;;29.14;84.95;;47.9;14.71;4.13;;;;59.77;103.24
193;1976 december;2.48;;6.83;2.44;42.63;104.24;;;49.83;;;;28.67;83.93;;47.71;14.69;4.18;;;;59.81;101.68
194;1976;2.64;;6.85;2.68;43.76;105.0;;;55.45;;;;31.96;88.69;;48.46;14.74;4.78;;;;60.17;105.84
195;1977 januari;2.5;;6.82;2.48;42.48;104.61;2.8;;50.34;;;;28.46;85.13;;47.43;14.73;4.29;;;;59.41;100.49
196;1977 februari;2.51;;6.81;2.44;42.48;104.37;2.81;;50.46;;;;28.46;83.01;;47.51;14.7;4.3;;;;59.17;99.7
197;1977 maart;2.49;;6.8;2.37;42.55;104.34;2.8;;50.1;;;;28.15;88.43;;47.52;14.7;4.29;;;;59.24;97.8
198;1977 april;2.47;;6.8;2.35;41.35;104.15;2.78;;49.82;;;;27.81;89.41;;46.7;14.66;4.25;;;;56.91;97.89
199;1977 mei;2.46;;6.81;2.34;40.92;104.16;2.77;;49.62;;;;27.73;87.98;;46.58;14.64;4.22;;;;56.46;97.49
200;1977 juni;2.48;;6.88;2.34;41.04;105.27;2.8;;50.19;;;;28.02;90.29;;46.9;14.8;4.26;;;;56.13;99.62
201;1977 juli;2.44;;6.88;2.3;40.94;106.81;2.8;;50.31;;;;27.63;91.64;;46.39;15.01;4.2;;;;56.08;101.16
202;1977 augustus;2.45;;6.89;2.29;40.67;105.78;2.8;;50.04;;;;27.77;91.32;;46.21;14.9;4.26;;;;55.06;101.77
203;1977 september;2.45;;6.88;2.3;39.9;105.99;2.8;;50.08;;;;27.89;91.67;;44.7;14.88;4.3;;;;50.76;103.7
204;1977 oktober;2.43;;6.88;2.22;39.85;106.92;2.81;;50.13;;;;27.66;94.95;;44.41;14.94;4.31;;;;50.79;106.91
205;1977 november;2.42;;6.87;2.18;39.51;107.84;2.82;;49.87;;;;27.56;98.19;;44.36;15.17;4.4;;;;50.48;110.04
206;1977 december;2.33;;6.9;2.12;39.2;108.26;2.79;;48.64;;;;26.66;96.14;;44.43;15.13;4.33;;;;49.09;112.3
207;1977;2.45;;6.85;2.31;40.91;105.71;2.8;;49.97;;;;27.82;90.68;;46.1;14.86;4.28;;;;54.96;102.41
208;1978 januari;2.27;;6.92;2.06;39.35;107.21;2.78;;48.15;;;;26.06;93.55;;44.08;14.95;4.39;;;;48.66;114.23
209;1978 februari;2.22;;6.89;2.0;39.25;107.27;2.75;;46.01;;;;25.91;92.19;;42.3;14.94;4.32;;;;47.99;116.96
210;1978 maart;2.17;;6.87;1.93;38.89;106.98;2.73;;46.19;;;;25.46;93.26;;40.88;14.85;4.15;;;;47.27;114.75
211;1978 april;2.18;;6.86;1.91;38.86;106.83;2.73;;47.55;;;;25.41;97.67;;40.64;14.85;4.03;;;;47.41;114.66
212;1978 mei;2.25;;6.86;2.02;39.55;106.92;2.75;;48.49;;;;25.97;98.95;;41.38;14.88;4.1;;;;48.45;114.83
213;1978 juni;2.23;;6.84;1.99;39.64;107.26;2.76;;48.82;;;;26.02;104.41;;41.38;14.92;4.11;;;;48.51;118.64
214;1978 juli;2.22;;6.85;1.97;39.58;107.96;2.79;;49.97;;;;26.19;111.06;;41.12;14.99;4.2;;;;48.85;123.06
215;1978 augustus;2.16;;6.89;1.9;39.39;108.37;2.77;;49.79;;;;25.9;114.85;;41.19;15.04;4.2;;;;48.79;129.82
216;1978 september;2.14;;6.9;1.84;39.46;108.65;2.76;;49.13;;;;25.79;112.76;;41.09;15.03;4.19;;;;48.44;136.35
217;1978 oktober;2.01;;6.9;1.7;39.52;108.8;2.71;;47.52;;;;24.75;109.12;;40.69;14.92;4.02;;;;46.76;130.32
