ID;Persoonskenmerken;Perioden;ZiekteverzuimpercentageWerknemers_1;AandeelWerknemersDatHeeftVerzuimd_2;GemiddeldeVerzuimfrequentie_3;GemiddeldeVerzuimduur_4;k_1Tot5Werkdagen_5;k_5Tot20Werkdagen_6;k_20Tot210Werkdagen_7;k_210WerkdagenOfMeer_8;JaHoofdzakelijkGevolgVanMijnWerk_9;JaVoorEenDeelGevolgVanMijnWerk_10;NeeGeenGevolgVanMijnWerk_11;WeetNiet_12
16;12600;2012;4.1;47.2;1.1;7.2;65.7;21.3;12.0;1.0;8.5;16.3;70.9;4.4
17;12600;2013;3.9;47.8;1.0;6.9;66.0;21.3;11.8;1.0;7.8;14.3;72.6;5.2
18;12601;2005;5.1;56.8;1.6;9.6;59.8;29.4;9.9;0.8;14.0;19.3;58.2;8.4
19;12601;2006;4.9;53.7;1.4;9.1;62.6;25.7;10.8;0.9;12.9;21.2;60.1;5.8
20;12601;2007;4.4;52.9;1.5;8.2;60.6;27.4;10.8;1.2;12.7;20.2;60.6;6.5
21;12601;2008;4.5;54.6;1.4;8.4;61.8;26.0;11.0;1.1;12.3;19.5;61.3;6.9
22;12601;2009;4.0;53.8;1.3;7.4;66.2;24.0;9.3;0.4;10.4;15.8;66.2;7.5
23;12601;2010;4.3;51.7;1.2;7.8;63.6;25.7;9.7;0.9;10.9;18.3;64.6;6.3
24;12601;2011;4.5;51.4;1.4;8.3;65.2;22.9;11.0;0.9;12.1;17.7;63.2;6.9
25;12601;2012;4.3;46.5;1.2;7.8;64.4;22.5;11.6;1.5;11.8;16.7;63.8;7.7
26;12601;2013;4.1;47.5;1.2;7.5;62.7;24.7;11.7;0.9;10.3;17.1;63.9;8.7
27;13356;2005;5.6;56.3;1.6;11.1;54.5;32.9;11.6;1.0;16.7;21.0;52.2;10.1
28;13356;2006;5.1;52.4;1.4;9.7;57.7;28.4;13.0;0.9;15.4;22.8;55.1;6.8
29;13356;2007;4.6;52.2;1.5;8.8;57.2;29.7;11.5;1.5;15.4;21.3;55.2;8.1
30;13356;2008;4.6;55.0;1.4;8.8;59.2;27.8;11.3;1.6;15.3;19.4;56.3;9.0
31;13356;2009;4.1;52.1;1.3;7.8;65.4;24.6;9.5;0.5;13.4;16.4;60.9;9.3
32;13356;2010;4.4;49.7;1.2;8.0;58.7;29.9;10.3;1.1;13.1;21.4;57.1;8.5
33;13356;2011;4.9;51.7;1.4;9.0;61.1;26.0;12.0;0.9;13.2;19.4;59.5;7.8
34;13356;2012;4.5;44.0;1.2;8.4;59.8;24.4;13.8;2.1;15.0;17.2;57.8;10.1
35;13356;2013;3.8;42.7;1.1;7.4;57.3;28.3;13.6;0.9;13.4;15.3;59.1;12.2
36;13357;2005;4.4;57.4;1.5;7.6;66.3;25.2;7.8;0.6;10.7;17.1;65.8;6.3
37;13357;2006;4.6;55.4;1.3;8.5;68.1;22.5;8.4;1.0;10.1;19.3;65.9;4.7
38;13357;2007;4.2;53.7;1.4;7.4;64.5;24.7;10.0;0.8;9.5;19.0;67.0;4.5
39;13357;2008;4.4;54.1;1.3;8.0;64.9;23.9;10.6;0.6;8.7;19.6;67.2;4.5
40;13357;2009;3.9;56.0;1.3;6.9;67.1;23.4;9.1;0.3;7.1;15.2;72.2;5.6
41;13357;2010;4.2;54.2;1.3;7.5;69.0;21.2;9.1;0.7;8.4;14.9;72.8;3.9
42;13357;2011;4.1;51.0;1.2;7.4;70.1;19.2;9.8;0.9;10.7;15.6;67.8;5.9
43;13357;2012;4.1;49.4;1.2;7.1;69.1;20.5;9.4;0.9;8.4;16.1;70.2;5.2
44;13357;2013;4.4;53.2;1.2;7.7;67.7;21.5;10.0;0.8;7.4;18.8;68.4;5.4
45;12650;2005;4.6;55.3;1.4;8.1;60.9;28.7;9.9;0.6;11.5;18.8;63.5;6.2
46;12650;2006;4.7;53.2;1.2;8.9;63.8;24.8;10.3;1.1;11.1;20.8;63.9;4.2
47;12650;2007;4.2;53.3;1.4;7.5;62.3;26.2;10.5;1.0;11.2;17.1;67.7;4.1
48;12650;2008;4.7;55.1;1.3;8.5;62.8;24.9;11.4;0.9;10.4;17.7;67.2;4.7
49;12650;2009;3.8;53.3;1.1;6.8;66.5;24.2;9.0;0.3;9.1;14.6;70.6;5.7
50;12650;2010;4.2;52.2;1.2;7.6;66.1;23.2;9.9;0.8;8.8;16.7;70.4;4.0
51;12650;2011;4.4;52.9;1.3;8.1;67.5;20.2;11.3;1.0;9.3;18.9;66.8;4.9
52;12650;2012;4.0;46.4;1.1;7.3;67.0;18.9;12.7;1.5;10.6;15.6;68.1;5.7
53;12650;2013;4.9;51.1;1.2;8.7;61.5;24.4;13.1;1.0;9.2;17.3;67.8;5.7
54;12700;2005;4.8;54.7;1.4;8.8;57.2;29.7;12.5;0.6;12.9;20.8;59.0;7.3
55;12700;2006;4.7;50.7;1.2;9.1;59.8;26.5;12.9;0.8;13.8;25.4;56.8;4.0
56;12700;2007;4.3;54.2;1.4;7.7;62.6;26.6;9.5;1.3;13.3;18.3;62.3;6.0
57;12700;2008;4.8;56.0;1.3;8.6;60.6;27.2;10.8;1.4;11.9;18.3;63.0;6.8
58;12700;2009;3.6;50.1;1.1;6.4;67.8;23.8;7.9;0.5;10.5;14.5;70.4;4.6
59;12700;2010;4.0;50.7;1.2;7.3;62.9;27.8;8.4;0.9;9.9;22.2;64.6;3.4
60;12700;2011;4.3;53.8;1.4;8.1;65.6;22.7;11.0;0.7;7.8;24.7;60.8;6.7
61;12700;2012;3.8;43.7;1.1;6.8;63.6;20.5;14.5;1.4;12.4;17.5;62.7;7.4
62;12700;2013;4.2;44.4;1.0;7.8;58.7;26.5;13.8;0.9;10.2;16.3;67.9;5.6
63;12750;2005;4.4;55.7;1.4;7.7;63.0;28.0;8.3;0.6;10.6;17.6;66.2;5.5
64;12750;2006;4.6;54.7;1.2;8.7;66.0;23.9;8.8;1.3;9.6;18.3;67.9;4.3
65;12750;2007;4.1;52.8;1.4;7.4;62.1;26.0;11.1;0.9;9.9;16.4;70.9;2.9
66;12750;2008;4.7;54.7;1.2;8.5;64.1;23.6;11.7;0.6;9.5;17.3;69.6;3.5
67;12750;2009;3.9;55.5;1.1;7.1;65.7;24.4;9.6;0.2;8.2;14.7;70.8;6.3
68;12750;2010;4.3;53.3;1.1;7.8;68.1;20.3;10.8;0.8;8.1;13.2;74.2;4.5
69;12750;2011;4.4;52.2;1.3;8.1;68.8;18.4;11.5;1.3;10.4;14.6;71.4;3.6
70;12750;2012;4.3;48.5;1.1;7.6;69.2;17.8;11.5;1.6;9.4;14.3;71.6;4.6
71;12750;2013;5.4;56.3;1.3;9.3;63.2;23.0;12.7;1.1;8.6;17.9;67.7;5.8
72;13000;2005;5.6;58.4;1.7;11.2;58.7;30.3;10.0;1.1;16.7;19.8;52.7;10.8
73;13000;2006;5.1;54.3;1.6;9.5;61.2;26.6;11.4;0.8;14.9;21.6;55.9;7.6
74;13000;2007;4.7;52.4;1.6;8.9;58.8;28.7;11.2;1.3;14.4;23.6;52.9;9.1
75;13000;2008;4.4;54.1;1.5;8.3;60.9;27.2;10.6;1.3;14.1;21.3;55.5;9.1
76;13000;2009;4.3;54.3;1.4;7.8;66.0;23.8;9.7;0.5;11.7;16.9;62.2;9.2
77;13000;2010;4.5;51.2;1.3;7.9;61.3;28.1;9.6;1.0;12.9;19.8;58.9;8.4
78;13000;2011;4.6;50.1;1.4;8.4;62.8;25.7;10.7;0.8;15.0;16.5;59.6;8.9
79;13000;2012;4.6;46.5;1.3;8.4;62.0;25.9;10.6;1.5;12.9;17.6;59.9;9.6
80;13000;2013;3.4;44.1;1.2;6.4;64.0;25.2;10.2;0.6;11.6;16.8;59.6;12.0
81;13050;2005;6.0;57.2;1.7;12.4;53.1;34.6;11.2;1.2;18.6;21.1;48.7;11.6
82;13050;2006;5.3;53.3;1.6;10.0;56.6;29.5;13.0;1.0;16.2;21.5;54.2;8.2
83;13050;2007;4.8;51.2;1.6;9.4;54.2;31.5;12.7;1.6;16.5;22.9;51.2;9.3
84;13050;2008;4.5;54.6;1.5;8.9;58.5;28.2;11.6;1.7;17.0;19.9;52.9;10.1
85;13050;2009;4.4;53.2;1.4;8.5;64.2;25.0;10.3;0.5;14.9;17.3;56.1;11.7
86;13050;2010;4.6;49.1;1.2;8.3;56.3;31.1;11.3;1.2;14.9;20.9;52.8;11.4
87;13050;2011;5.2;50.5;1.5;9.5;58.2;28.2;12.6;1.0;16.7;16.1;58.6;8.5
88;13050;2012;5.0;44.1;1.2;9.4;57.4;26.7;13.3;2.5;16.6;17.0;54.7;11.8
89;13050;2013;3.6;41.6;1.2;7.1;56.2;29.5;13.4;0.9;15.7;14.6;52.8;16.8
90;13100;2005;4.2;62.3;1.9;7.3;74.8;17.9;6.5;0.8;10.9;15.9;64.8;8.4
91;13100;2006;4.5;57.5;1.7;7.7;;;;;;;;
92;13100;2007;4.4;56.1;1.5;7.6;;;;;;;;
93;13100;2008;3.9;53.0;1.4;6.8;;;;;;;;
94;13100;2009;3.9;56.9;1.5;6.4;69.6;21.6;8.3;0.5;5.0;16.0;74.7;4.3
95;13100;2010;4.1;55.7;1.6;6.9;70.4;22.7;6.3;0.5;9.0;17.6;70.5;2.9
96;13100;2011;3.5;49.2;1.2;6.1;72.3;20.7;6.6;0.4;11.3;17.3;61.6;9.8
97;13100;2012;3.9;50.8;1.3;6.4;69.0;24.6;6.4;0.0;7.0;18.7;68.2;6.1
98;13100;2013;3.0;48.6;1.1;5.2;75.4;18.8;5.5;0.3;5.4;20.2;69.6;4.9
99;18710;2005;7.3;54.0;1.6;14.1;38.2;38.6;21.7;1.5;17.4;19.2;54.2;9.2
100;18710;2006;6.9;48.3;1.3;13.3;40.4;33.4;23.7;2.4;17.8;21.0;53.4;7.8
101;18710;2007;5.9;46.5;1.3;11.6;42.5;36.1;19.8;1.5;18.9;20.3;54.1;6.7
102;18710;2008;6.4;51.5;1.5;11.9;43.4;35.2;19.4;2.0;14.0;19.2;57.1;9.7
103;18710;2009;6.5;50.7;1.3;11.8;45.9;35.8;17.2;1.1;11.8;20.3;59.2;8.7
104;18710;2010;5.1;45.3;1.2;9.4;50.8;31.2;16.2;1.8;13.4;20.5;59.6;6.5
105;18710;2011;6.3;46.1;1.2;11.8;49.6;29.2;19.1;2.1;15.7;19.5;56.5;8.4
106;18710;2012;6.2;44.2;1.2;11.8;48.8;28.5;20.0;2.7;13.6;20.3;58.8;7.3
107;18710;2013;5.1;42.9;1.1;9.4;52.7;26.3;18.7;2.3;11.4;17.6;55.8;15.2
108;18718;2005;5.2;51.8;1.2;9.7;54.5;30.4;13.8;1.3;13.4;18.2;62.3;6.2
109;18718;2006;4.9;50.8;1.2;8.9;55.6;29.4;13.5;1.5;13.9;18.2;62.7;5.2
110;18718;2007;4.8;48.0;1.2;8.7;55.4;27.5;15.6;1.5;12.4;17.3;63.5;6.7
111;18718;2008;4.3;48.6;1.2;7.9;57.4;27.9;13.4;1.3;11.8;15.8;66.9;5.5
112;18718;2009;4.9;49.2;1.2;8.6;57.3;27.0;14.9;0.9;9.7;17.5;66.1;6.7
113;18718;2010;4.5;48.2;1.2;8.1;59.7;26.7;12.3;1.3;10.0;16.1;68.7;5.2
114;18718;2011;4.9;47.7;1.1;8.7;58.1;25.6;15.0;1.4;11.8;16.7;66.3;5.3
115;18718;2012;5.0;46.4;1.1;8.6;57.5;25.9;15.5;1.1;11.3;17.8;64.4;6.5
116;18718;2013;4.3;45.0;1.1;7.3;57.3;27.3;14.1;1.2;9.4;15.7;67.8;7.1
117;18750;2005;5.0;54.2;1.2;9.1;60.4;26.1;12.6;0.9;10.6;16.0;68.7;4.6
118;18750;2006;4.7;51.8;1.1;8.4;63.8;22.6;12.6;1.0;10.5;16.4;68.5;4.5
119;18750;2007;4.3;50.0;1.1;7.9;63.1;23.8;11.9;1.2;9.2;16.3;69.6;4.8
120;18750;2008;4.3;53.1;1.2;7.8;63.8;24.8;10.4;1.0;9.4;15.2;71.1;4.3
121;18750;2009;3.9;52.3;1.1;6.9;66.0;22.6;10.7;0.7;7.9;15.0;72.4;4.7
122;18750;2010;4.5;51.2;1.1;8.2;63.4;22.5;13.2;0.8;9.0;15.6;71.0;4.3
123;18750;2011;4.4;49.4;1.1;7.8;64.2;22.5;12.3;1.0;9.6;15.2;71.1;4.1
124;18750;2012;4.2;47.0;1.1;7.3;64.5;22.0;12.2;1.2;9.1;15.7;70.2;5.0
125;18750;2013;4.1;47.4;1.0;7.2;63.3;23.8;12.1;0.9;8.2;14.7;71.4;5.7
126;18800;2005;3.9;54.5;1.2;6.9;71.6;19.3;8.5;0.6;8.6;15.7;71.8;3.8
127;18800;2006;3.8;53.1;1.1;6.7;71.1;18.4;9.7;0.8;8.5;17.3;70.6;3.7
128;18800;2007;3.5;50.0;1.1;6.0;71.9;17.9;9.5;0.8;7.4;16.0;73.2;3.4
129;18800;2008;3.7;53.5;1.2;6.5;72.8;17.8;8.4;0.9;6.7;15.6;74.4;3.4
130;18800;2009;3.5;53.1;1.1;6.3;71.8;19.3;8.3;0.5;6.0;13.9;75.9;4.2
131;18800;2010;3.7;49.8;1.0;6.4;73.5;16.6;8.9;1.0;7.0;15.2;74.6;3.3
132;18800;2011;3.9;50.5;1.1;6.8;71.6;17.7;10.1;0.6;7.4;14.8;74.4;3.4
133;18800;2012;3.4;48.8;1.1;6.0;72.4;18.0;8.7;0.9;7.5;15.5;73.7;3.4
134;18800;2013;3.7;51.1;1.2;6.6;71.8;17.2;10.3;0.8;7.2;14.3;73.8;4.6
135;18810;2005;3.0;56.6;1.4;5.5;77.8;14.9;6.8;0.5;8.7;14.5;73.5;3.3
136;18810;2006;3.1;52.9;1.2;5.8;77.1;14.3;7.6;1.1;7.0;15.8;73.9;3.3
137;18810;2007;2.8;52.0;1.1;5.1;78.2;13.8;7.8;0.3;6.6;14.9;75.7;2.8
138;18810;2008;2.8;52.5;1.1;5.1;77.8;15.7;6.0;0.5;4.4;16.0;76.2;3.5
139;18810;2009;2.7;53.1;1.0;4.8;81.6;12.8;5.5;0.1;5.2;14.0;77.5;3.3
140;18810;2010;2.8;50.4;1.0;5.1;78.4;14.2;7.2;0.2;5.6;16.6;74.3;3.5
141;18810;2011;2.6;50.1;1.1;4.8;79.6;13.9;6.4;0.2;5.8;14.7;76.6;2.9
142;18810;2012;2.6;47.0;1.0;4.8;77.8;14.5;7.2;0.5;5.5;15.4;75.0;4.1
143;18810;2013;2.8;49.9;1.0;5.1;78.7;13.7;7.2;0.4;7.3;13.4;76.6;2.8
144;Heeft langdurige aandoening;2005;7.9;64.1;1.8;14.7;54.1;27.5;16.5;1.9;13.5;20.5;60.5;5.5
145;Heeft langdurige aandoening;2006;7.8;61.7;1.6;14.2;56.3;24.2;17.3;2.2;12.4;20.8;60.8;6.0
146;Heeft langdurige aandoening;2007;7.5;61.0;1.6;13.8;56.7;24.1;17.0;2.2;11.1;21.0;62.2;5.7
147;Heeft langdurige aandoening;2008;6.9;61.9;1.7;12.4;58.0;25.3;14.7;2.0;10.1;19.7;64.8;5.4
148;Heeft langdurige aandoening;2009;6.6;61.3;1.6;11.9;59.5;24.0;15.3;1.2;9.1;18.9;66.5;5.4
149;Heeft langdurige aandoening;2010;7.4;60.9;1.6;13.4;57.7;23.6;16.9;1.8;10.5;20.7;64.1;4.7
150;Heeft langdurige aandoening;2011;7.8;61.2;1.5;14.1;57.7;23.1;17.3;1.9;11.8;19.4;64.3;4.5
151;Heeft langdurige aandoening;2012;7.2;58.0;1.6;13.0;58.5;22.2;17.3;2.1;10.8;20.4;63.0;5.7
152;Heeft langdurige aandoening;2013;6.8;58.8;1.5;12.1;58.1;23.9;16.4;1.6;9.6;17.5;65.9;7.0
153;Heeft geen langdurige aandoening;2005;3.2;48.8;1.0;5.7;67.6;23.3;8.8;0.3;9.2;13.7;72.6;4.5
154;Heeft geen langdurige aandoening;2006;2.8;46.5;0.9;5.0;69.8;21.5;8.3;0.4;9.4;14.4;72.9;3.3
155;Heeft geen langdurige aandoening;2007;2.4;43.5;0.9;4.4;69.8;21.6;8.4;0.2;8.4;12.7;74.8;4.1
156;Heeft geen langdurige aandoening;2008;2.6;46.4;0.9;4.6;70.3;21.9;7.5;0.3;8.1;12.5;75.7;3.8
157;Heeft geen langdurige aandoening;2009;2.5;46.1;0.9;4.4;71.7;20.9;7.1;0.2;6.6;12.4;76.6;4.5
158;Heeft geen langdurige aandoening;2010;2.3;43.2;0.8;4.0;72.9;19.7;7.2;0.2;6.9;11.9;77.3;3.9
159;Heeft geen langdurige aandoening;2011;2.4;42.7;0.9;4.2;71.8;20.0;8.1;0.2;7.5;12.5;76.0;4.1
160;Heeft geen langdurige aandoening;2012;2.3;40.7;0.8;4.0;71.5;20.9;7.3;0.3;7.4;12.8;75.5;4.3
161;Heeft geen langdurige aandoening;2013;2.3;41.0;0.8;3.9;71.7;20.1;7.8;0.4;6.9;12.4;75.9;4.8
