ID;Geslacht;Leeftijd;OpleidingsrichtingEnSector;BedrijfstakkenEnBranchesSBI2008;Perioden;TotaalMboGediplomeerdenMetWerk_1;BolVoltijd_2;Bbl_3;Niveau1_4;Niveau2_5;Niveau3_6;Niveau4_7;BolVoltijdNiveau1_8;BolVoltijdNiveau2_9;BolVoltijdNiveau3_10;BolVoltijdNiveau4_11;BblNiveau1_12;BblNiveau2_13;BblNiveau3_14;BblNiveau4_15
27;Mannen en vrouwen;Totaal leeftijd;0;K Financiële dienstverlening;2008/'09;450;210;240;0;40;90;320;0;10;20;180;0;30;70;140
28;Mannen en vrouwen;Totaal leeftijd;0;L Verhuur en handel van onroerend goed;2007/'08;250;170;80;10;50;40;160;10;10;20;140;0;30;30;20
29;Mannen en vrouwen;Totaal leeftijd;0;L Verhuur en handel van onroerend goed;2008/'09;280;150;130;10;30;80;160;0;20;20;110;0;20;60;50
30;Mannen en vrouwen;Totaal leeftijd;0;M Specialistische zakelijke diensten;2007/'08;2030;1590;440;30;270;330;1400;20;120;170;1290;10;150;150;120
31;Mannen en vrouwen;Totaal leeftijd;0;M Specialistische zakelijke diensten;2008/'09;1760;1190;570;20;270;350;1120;10;120;130;930;10;150;220;200
32;Mannen en vrouwen;Totaal leeftijd;0;N Verhuur en overige zakelijke diensten;2007/'08;8980;5890;3090;600;3590;1750;3040;340;1620;1100;2830;260;1970;650;210
33;Mannen en vrouwen;Totaal leeftijd;0;N Verhuur en overige zakelijke diensten;2008/'09;8480;4940;3550;460;3490;1790;2740;190;1300;950;2500;270;2190;840;240
34;Mannen en vrouwen;Totaal leeftijd;0;O Openbaar bestuur en overheidsdiensten;2007/'08;2060;800;1260;50;1090;300;620;30;360;90;330;20;730;210;300
35;Mannen en vrouwen;Totaal leeftijd;0;O Openbaar bestuur en overheidsdiensten;2008/'09;2290;680;1610;40;1240;410;590;10;310;90;270;30;940;320;320
36;Mannen en vrouwen;Totaal leeftijd;0;P Onderwijs;2007/'08;940;450;490;10;200;160;570;10;30;60;350;10;170;100;220
37;Mannen en vrouwen;Totaal leeftijd;0;P Onderwijs;2008/'09;800;380;420;10;140;160;490;0;20;60;300;10;120;100;190
38;Mannen en vrouwen;Totaal leeftijd;0;Q Gezondheids- en welzijnszorg;2007/'08;18050;8300;9750;630;2670;7010;7740;80;660;3190;4380;550;2010;3830;3370
39;Mannen en vrouwen;Totaal leeftijd;0;Q Gezondheids- en welzijnszorg;2008/'09;18680;7880;10800;340;2880;7430;8030;60;670;2790;4350;280;2200;4640;3680
40;Mannen en vrouwen;Totaal leeftijd;0;R Cultuur, sport en recreatie;2007/'08;820;610;210;10;160;180;460;10;90;130;390;0;80;50;80
41;Mannen en vrouwen;Totaal leeftijd;0;R Cultuur, sport en recreatie;2008/'09;930;670;250;10;170;200;550;0;90;130;460;0;80;80;100
42;Mannen en vrouwen;Totaal leeftijd;0;S Overige dienstverlening;2007/'08;1400;700;700;20;300;860;220;10;80;420;190;10;220;440;30
43;Mannen en vrouwen;Totaal leeftijd;0;S Overige dienstverlening;2008/'09;1390;620;780;40;290;840;230;10;60;350;200;30;230;490;30
44;Mannen en vrouwen;Totaal leeftijd;0;T Huishoudens;2007/'08;50;40;10;0;10;10;20;0;10;10;20;0;10;0;0
45;Mannen en vrouwen;Totaal leeftijd;0;T Huishoudens;2008/'09;100;80;20;10;20;30;50;10;10;20;40;0;10;10;0
46;Mannen en vrouwen;Totaal leeftijd;0;U Extraterritoriale organisaties;2007/'08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;Mannen en vrouwen;Totaal leeftijd;0;U Extraterritoriale organisaties;2008/'09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;Mannen en vrouwen;Totaal leeftijd;0;SBI onbekend;2007/'08;670;290;380;10;190;230;240;10;40;80;170;10;150;160;70
49;Mannen en vrouwen;Totaal leeftijd;0;SBI onbekend;2008/'09;710;370;340;20;140;230;320;10;30;90;250;10;110;140;70
50;Mannen en vrouwen;Totaal leeftijd;0;31;2007/'08;980;220;770;160;330;330;160;10;50;60;110;160;280;280;50
51;Mannen en vrouwen;Totaal leeftijd;0;31;2008/'09;1220;230;990;180;430;420;200;0;50;70;110;170;380;350;90
52;Mannen en vrouwen;Totaal leeftijd;0;32;2007/'08;50;20;30;0;20;10;20;0;0;10;20;0;10;10;0
53;Mannen en vrouwen;Totaal leeftijd;0;32;2008/'09;90;20;70;30;30;0;20;0;0;0;10;30;30;0;10
54;Mannen en vrouwen;Totaal leeftijd;0;33;2007/'08;370;160;210;40;110;120;100;0;20;50;90;30;90;80;10
55;Mannen en vrouwen;Totaal leeftijd;0;33;2008/'09;300;100;200;70;60;100;70;0;20;30;50;60;50;60;20
56;Mannen en vrouwen;Totaal leeftijd;0;34;2007/'08;70;60;10;0;0;20;50;0;0;20;40;0;0;0;10
57;Mannen en vrouwen;Totaal leeftijd;0;34;2008/'09;60;50;20;0;0;20;40;0;0;10;30;0;0;10;10
58;Mannen en vrouwen;Totaal leeftijd;0;35;2007/'08;290;90;200;20;40;130;90;0;0;20;60;20;40;110;30
59;Mannen en vrouwen;Totaal leeftijd;0;35;2008/'09;310;60;250;30;70;120;90;0;0;10;40;30;60;110;40
60;Mannen en vrouwen;Totaal leeftijd;0;36;2007/'08;60;20;50;20;20;10;20;0;0;0;10;20;20;10;0
61;Mannen en vrouwen;Totaal leeftijd;0;36;2008/'09;80;20;70;20;10;20;30;0;0;10;10;20;10;20;20
62;Mannen en vrouwen;Totaal leeftijd;0;37;2007/'08;280;60;220;120;80;40;40;0;20;10;30;120;60;30;10
63;Mannen en vrouwen;Totaal leeftijd;0;37;2008/'09;210;30;180;20;110;50;40;0;10;0;20;20;100;50;20
64;Mannen en vrouwen;Totaal leeftijd;0;38;2007/'08;780;170;610;50;300;290;140;10;40;20;100;40;260;270;40
65;Mannen en vrouwen;Totaal leeftijd;0;38;2008/'09;820;130;700;70;310;290;150;0;20;10;90;70;280;280;70
66;Mannen en vrouwen;Totaal leeftijd;0;39;2007/'08;150;30;120;40;40;30;40;0;0;0;30;40;40;30;10
67;Mannen en vrouwen;Totaal leeftijd;0;39;2008/'09;150;10;140;0;60;50;40;0;0;0;10;0;60;50;30
68;Mannen en vrouwen;Totaal leeftijd;0;40;2007/'08;80;30;50;0;20;20;40;0;10;10;20;0;20;20;20
69;Mannen en vrouwen;Totaal leeftijd;0;40;2008/'09;170;20;150;10;90;40;30;0;0;0;10;10;90;40;10
70;Mannen en vrouwen;Totaal leeftijd;0;41;2007/'08;450;120;340;20;170;140;120;0;20;10;90;20;150;140;30
71;Mannen en vrouwen;Totaal leeftijd;0;41;2008/'09;400;80;320;20;140;140;100;0;10;0;70;20;130;130;30
72;Mannen en vrouwen;Totaal leeftijd;0;42;2007/'08;250;60;180;10;120;60;60;0;20;10;40;10;100;50;20
73;Mannen en vrouwen;Totaal leeftijd;0;42;2008/'09;250;50;200;20;130;50;50;0;10;10;40;20;120;40;10
74;Mannen en vrouwen;Totaal leeftijd;0;43;2007/'08;2080;240;1850;1090;460;290;250;10;40;20;170;1080;420;270;80
75;Mannen en vrouwen;Totaal leeftijd;0;43;2008/'09;2460;200;2260;1390;500;230;340;10;20;20;150;1380;480;210;190
76;Mannen en vrouwen;Totaal leeftijd;0;51;2007/'08;80;20;60;0;20;40;30;0;0;0;20;0;20;40;10
77;Mannen en vrouwen;Totaal leeftijd;0;51;2008/'09;90;10;80;0;10;40;40;0;0;0;10;0;10;40;30
78;Mannen en vrouwen;Totaal leeftijd;0;61;2007/'08;100;30;60;0;30;40;30;0;0;10;20;0;30;30;10
79;Mannen en vrouwen;Totaal leeftijd;0;61;2008/'09;110;30;70;0;30;40;40;0;10;10;20;0;20;30;20
80;Mannen en vrouwen;Totaal leeftijd;0;71;2007/'08;5140;950;4200;120;1520;2170;1330;30;150;110;660;90;1370;2070;670
81;Mannen en vrouwen;Totaal leeftijd;0;71;2008/'09;4990;760;4240;90;1500;2140;1260;20;110;70;550;70;1380;2070;710
82;Mannen en vrouwen;Totaal leeftijd;0;81;2007/'08;11720;6010;5710;530;3220;2880;5090;200;1250;1130;3440;340;1970;1750;1650
83;Mannen en vrouwen;Totaal leeftijd;0;81;2008/'09;11860;5780;6080;400;3310;3040;5100;130;1220;1070;3360;270;2100;1970;1740
84;Mannen en vrouwen;Totaal leeftijd;0;91;2007/'08;2840;840;2000;50;1620;410;770;10;120;140;570;30;1500;270;200
85;Mannen en vrouwen;Totaal leeftijd;0;91;2008/'09;2040;730;1310;20;1070;340;610;10;120;120;480;20;950;220;130
86;Mannen en vrouwen;Totaal leeftijd;0;I Horeca;2007/'08;3420;2150;1270;170;910;920;1420;100;500;300;1250;70;410;620;170
87;Mannen en vrouwen;Totaal leeftijd;0;I Horeca;2008/'09;3500;2110;1390;130;1090;900;1380;70;530;290;1220;60;560;610;160
88;Mannen en vrouwen;Totaal leeftijd;0;58-60 Uitgeverijen, film, radio en t.v. ;2007/'08;160;150;10;0;10;30;110;0;10;30;110;0;0;10;0
89;Mannen en vrouwen;Totaal leeftijd;0;58-60 Uitgeverijen, film, radio en t.v. ;2008/'09;120;100;20;0;20;20;80;0;10;20;70;0;0;10;0
90;Mannen en vrouwen;Totaal leeftijd;0;61 Telecommunicatie;2007/'08;70;50;10;0;10;20;40;0;10;10;30;0;0;10;10
91;Mannen en vrouwen;Totaal leeftijd;0;61 Telecommunicatie;2008/'09;130;30;90;0;10;90;30;0;10;10;20;0;0;90;10
92;Mannen en vrouwen;Totaal leeftijd;0;62-63 IT- en informatiedienstverlening;2007/'08;440;390;50;0;50;80;310;0;30;70;290;0;10;10;20
93;Mannen en vrouwen;Totaal leeftijd;0;62-63 IT- en informatiedienstverlening;2008/'09;370;300;60;0;20;60;290;0;10;40;250;0;10;20;30
94;Mannen en vrouwen;Totaal leeftijd;0;K Financiële dienstverlening;2007/'08;370;280;100;0;50;60;260;0;20;30;220;0;20;40;40
95;Mannen en vrouwen;Totaal leeftijd;0;K Financiële dienstverlening;2008/'09;450;210;240;0;40;90;320;0;10;20;180;0;30;70;140
96;Mannen en vrouwen;Totaal leeftijd;0;L Verhuur en handel van onroerend goed;2007/'08;250;170;80;10;50;40;160;10;10;20;140;0;30;30;20
97;Mannen en vrouwen;Totaal leeftijd;0;L Verhuur en handel van onroerend goed;2008/'09;280;150;130;10;30;80;160;0;20;20;110;0;20;60;50
98;Mannen en vrouwen;Totaal leeftijd;0;69-71 Management- en technisch advies;2007/'08;1350;1020;330;20;180;230;910;10;70;110;830;10;110;120;90
99;Mannen en vrouwen;Totaal leeftijd;0;69-71 Management- en technisch advies;2008/'09;1190;720;470;20;190;250;730;0;80;70;560;10;120;180;170
100;Mannen en vrouwen;Totaal leeftijd;0;72 Research;2007/'08;50;40;10;0;0;0;40;0;0;0;30;0;0;0;0
101;Mannen en vrouwen;Totaal leeftijd;0;72 Research;2008/'09;60;30;30;0;20;20;30;0;0;10;30;0;20;10;0
102;Mannen en vrouwen;Totaal leeftijd;0;73-75 Reclame, design, overige diensten;2007/'08;640;540;100;10;90;90;450;10;50;60;430;0;40;30;30
103;Mannen en vrouwen;Totaal leeftijd;0;73-75 Reclame, design, overige diensten;2008/'09;510;440;70;10;60;80;370;10;40;50;340;0;20;30;30
104;Mannen en vrouwen;Totaal leeftijd;0;N Verhuur en overige zakelijke diensten;2007/'08;8980;5890;3090;600;3590;1750;3040;340;1620;1100;2830;260;1970;650;210
105;Mannen en vrouwen;Totaal leeftijd;0;N Verhuur en overige zakelijke diensten;2008/'09;8480;4940;3550;460;3490;1790;2740;190;1300;950;2500;270;2190;840;240
106;Mannen en vrouwen;Totaal leeftijd;0;O Openbaar bestuur en overheidsdiensten;2007/'08;2060;800;1260;50;1090;300;620;30;360;90;330;20;730;210;300
107;Mannen en vrouwen;Totaal leeftijd;0;O Openbaar bestuur en overheidsdiensten;2008/'09;2290;680;1610;40;1240;410;590;10;310;90;270;30;940;320;320
108;Mannen en vrouwen;Totaal leeftijd;0;P Onderwijs;2007/'08;940;450;490;10;200;160;570;10;30;60;350;10;170;100;220
109;Mannen en vrouwen;Totaal leeftijd;0;P Onderwijs;2008/'09;800;380;420;10;140;160;490;0;20;60;300;10;120;100;190
110;Mannen en vrouwen;Totaal leeftijd;0;86 Gezondheidszorg;2007/'08;4180;1970;2210;40;460;440;3240;10;90;170;1700;30;370;270;1540
111;Mannen en vrouwen;Totaal leeftijd;0;86 Gezondheidszorg;2008/'09;4210;1880;2330;90;480;430;3210;10;80;160;1640;80;400;280;1570
112;Mannen en vrouwen;Totaal leeftijd;0;87-88 Zorg en welzijn;2007/'08;13870;6330;7540;590;2210;6570;4500;70;570;3020;2680;520;1640;3560;1820
113;Mannen en vrouwen;Totaal leeftijd;0;87-88 Zorg en welzijn;2008/'09;14470;6000;8470;250;2400;6990;4820;50;600;2640;2710;200;1800;4360;2110
114;Mannen en vrouwen;Totaal leeftijd;0;R Cultuur, sport en recreatie;2007/'08;820;610;210;10;160;180;460;10;90;130;390;0;80;50;80
115;Mannen en vrouwen;Totaal leeftijd;0;R Cultuur, sport en recreatie;2008/'09;930;670;250;10;170;200;550;0;90;130;460;0;80;80;100
116;Mannen en vrouwen;Totaal leeftijd;0;S Overige dienstverlening;2007/'08;1400;700;700;20;300;860;220;10;80;420;190;10;220;440;30
117;Mannen en vrouwen;Totaal leeftijd;0;S Overige dienstverlening;2008/'09;1390;620;780;40;290;840;230;10;60;350;200;30;230;490;30
118;Mannen en vrouwen;Totaal leeftijd;0;T Huishoudens;2007/'08;50;40;10;0;10;10;20;0;10;10;20;0;10;0;0
119;Mannen en vrouwen;Totaal leeftijd;0;T Huishoudens;2008/'09;100;80;20;10;20;30;50;10;10;20;40;0;10;10;0
120;Mannen en vrouwen;Totaal leeftijd;0;U Extraterritoriale organisaties;2007/'08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;Mannen en vrouwen;Totaal leeftijd;0;U Extraterritoriale organisaties;2008/'09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;Mannen en vrouwen;Totaal leeftijd;0;SBI onbekend;2007/'08;670;290;380;10;190;230;240;10;40;80;170;10;150;160;70
123;Mannen en vrouwen;Totaal leeftijd;0;SBI onbekend;2008/'09;710;370;340;20;140;230;320;10;30;90;250;10;110;140;70
124;Mannen en vrouwen;Totaal leeftijd;4;0;2007/'08;4500;1950;2540;1040;1000;1270;1190;10;320;640;980;1030;690;620;210
125;Mannen en vrouwen;Totaal leeftijd;4;0;2008/'09;4600;1760;2830;920;1200;1350;1130;20;270;600;870;900;930;750;260
126;Mannen en vrouwen;Totaal leeftijd;4;10;2007/'08;470;230;230;10;160;180;120;0;40;100;100;10;120;90;20
127;Mannen en vrouwen;Totaal leeftijd;4;10;2008/'09;460;220;240;0;160;190;110;0;30;100;90;0;120;100;20
128;Mannen en vrouwen;Totaal leeftijd;4;11;2007/'08;470;230;230;10;160;180;120;0;40;100;100;10;120;90;20
129;Mannen en vrouwen;Totaal leeftijd;4;11;2008/'09;460;220;240;0;160;190;110;0;30;100;90;0;120;100;20
130;Mannen en vrouwen;Totaal leeftijd;4;20;2007/'08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;Mannen en vrouwen;Totaal leeftijd;4;20;2008/'09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;Mannen en vrouwen;Totaal leeftijd;4;21;2007/'08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;Mannen en vrouwen;Totaal leeftijd;4;21;2008/'09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;Mannen en vrouwen;Totaal leeftijd;4;30;2007/'08;1250;40;1210;840;250;120;30;0;10;20;20;840;250;100;10
135;Mannen en vrouwen;Totaal leeftijd;4;30;2008/'09;1390;40;1350;780;360;190;60;0;0;10;30;780;360;170;40
136;Mannen en vrouwen;Totaal leeftijd;4;50;2007/'08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;Mannen en vrouwen;Totaal leeftijd;4;50;2008/'09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;Mannen en vrouwen;Totaal leeftijd;4;60;2007/'08;10;10;10;0;10;0;10;0;0;0;0;0;10;0;0
139;Mannen en vrouwen;Totaal leeftijd;4;60;2008/'09;10;0;10;0;0;10;0;0;0;0;0;0;0;10;0
140;Mannen en vrouwen;Totaal leeftijd;4;70;2007/'08;90;50;40;0;40;20;20;0;10;20;20;0;30;10;0
141;Mannen en vrouwen;Totaal leeftijd;4;70;2008/'09;80;30;50;10;40;30;10;0;10;20;10;0;30;20;0
142;Mannen en vrouwen;Totaal leeftijd;4;80;2007/'08;830;580;250;10;190;340;280;0;120;220;240;10;80;120;40
143;Mannen en vrouwen;Totaal leeftijd;4;80;2008/'09;730;470;270;20;210;290;210;10;90;180;190;10;120;110;30
144;Mannen en vrouwen;Totaal leeftijd;4;90;2007/'08;80;40;40;10;10;50;10;0;10;20;10;10;0;30;0
145;Mannen en vrouwen;Totaal leeftijd;4;90;2008/'09;60;30;30;0;20;20;20;0;0;10;20;0;20;10;0
146;Mannen en vrouwen;Totaal leeftijd;4;I Horeca;2007/'08;150;80;70;30;40;40;30;0;20;30;30;30;20;20;0
147;Mannen en vrouwen;Totaal leeftijd;4;I Horeca;2008/'09;130;90;40;10;40;30;40;0;10;30;40;10;30;0;0
148;Mannen en vrouwen;Totaal leeftijd;4;J Informatie en communicatie;2007/'08;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
149;Mannen en vrouwen;Totaal leeftijd;4;J Informatie en communicatie;2008/'09;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0
150;Mannen en vrouwen;Totaal leeftijd;4;K Financiële dienstverlening;2007/'08;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0
151;Mannen en vrouwen;Totaal leeftijd;4;K Financiële dienstverlening;2008/'09;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0
152;Mannen en vrouwen;Totaal leeftijd;4;L Verhuur en handel van onroerend goed;2007/'08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
153;Mannen en vrouwen;Totaal leeftijd;4;L Verhuur en handel van onroerend goed;2008/'09;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0
154;Mannen en vrouwen;Totaal leeftijd;4;M Specialistische zakelijke diensten;2007/'08;260;220;40;0;10;20;220;0;0;20;200;0;10;10;20
155;Mannen en vrouwen;Totaal leeftijd;4;M Specialistische zakelijke diensten;2008/'09;200;160;50;10;10;20;160;0;0;10;140;10;10;10;20
156;Mannen en vrouwen;Totaal leeftijd;4;N Verhuur en overige zakelijke diensten;2007/'08;880;440;430;100;210;330;240;10;80;160;200;90;130;170;40
157;Mannen en vrouwen;Totaal leeftijd;4;N Verhuur en overige zakelijke diensten;2008/'09;960;440;520;70;250;380;260;10;90;160;190;60;170;220;70
158;Mannen en vrouwen;Totaal leeftijd;4;O Openbaar bestuur en overheidsdiensten;2007/'08;110;20;80;10;20;40;40;0;0;0;20;10;20;40;20
159;Mannen en vrouwen;Totaal leeftijd;4;O Openbaar bestuur en overheidsdiensten;2008/'09;130;10;120;10;30;50;40;0;0;0;10;10;30;50;30
160;Mannen en vrouwen;Totaal leeftijd;4;P Onderwijs;2007/'08;20;10;10;0;0;10;10;0;0;0;10;0;0;0;0
161;Mannen en vrouwen;Totaal leeftijd;4;P Onderwijs;2008/'09;20;10;10;0;0;10;10;0;0;0;10;0;0;0;0
162;Mannen en vrouwen;Totaal leeftijd;4;Q Gezondheids- en welzijnszorg;2007/'08;90;60;30;10;20;10;40;0;20;10;30;10;0;0;10
163;Mannen en vrouwen;Totaal leeftijd;4;Q Gezondheids- en welzijnszorg;2008/'09;110;70;50;10;20;30;50;0;10;20;40;10;10;10;10
164;Mannen en vrouwen;Totaal leeftijd;4;R Cultuur, sport en recreatie;2007/'08;100;70;30;0;10;30;50;0;10;20;40;0;10;20;10
165;Mannen en vrouwen;Totaal leeftijd;4;R Cultuur, sport en recreatie;2008/'09;120;80;50;0;30;30;60;0;10;20;40;0;20;10;20
166;Mannen en vrouwen;Totaal leeftijd;4;S Overige dienstverlening;2007/'08;60;40;20;0;10;20;30;0;0;10;30;0;10;10;10
167;Mannen en vrouwen;Totaal leeftijd;4;S Overige dienstverlening;2008/'09;50;30;10;0;10;10;20;0;0;10;20;0;10;0;0
168;Mannen en vrouwen;Totaal leeftijd;4;T Huishoudens;2007/'08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
169;Mannen en vrouwen;Totaal leeftijd;4;T Huishoudens;2008/'09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
170;Mannen en vrouwen;Totaal leeftijd;4;U Extraterritoriale organisaties;2007/'08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
171;Mannen en vrouwen;Totaal leeftijd;4;U Extraterritoriale organisaties;2008/'09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
172;Mannen en vrouwen;Totaal leeftijd;4;SBI onbekend;2007/'08;100;60;40;0;20;40;40;0;0;30;30;0;10;20;10
173;Mannen en vrouwen;Totaal leeftijd;4;SBI onbekend;2008/'09;130;70;50;0;20;50;60;0;0;30;50;0;10;20;20
174;Mannen en vrouwen;Totaal leeftijd;4;31;2007/'08;250;20;230;60;100;80;10;0;0;10;10;60;100;70;10
175;Mannen en vrouwen;Totaal leeftijd;4;31;2008/'09;340;30;320;10;150;150;40;0;0;10;20;10;150;140;30
176;Mannen en vrouwen;Totaal leeftijd;4;32;2007/'08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
177;Mannen en vrouwen;Totaal leeftijd;4;32;2008/'09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
178;Mannen en vrouwen;Totaal leeftijd;4;33;2007/'08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
179;Mannen en vrouwen;Totaal leeftijd;4;33;2008/'09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180;Mannen en vrouwen;Totaal leeftijd;4;34;2007/'08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
181;Mannen en vrouwen;Totaal leeftijd;4;34;2008/'09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
182;Mannen en vrouwen;Totaal leeftijd;4;35;2007/'08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;Mannen en vrouwen;Totaal leeftijd;4;35;2008/'09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
184;Mannen en vrouwen;Totaal leeftijd;4;36;2007/'08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
185;Mannen en vrouwen;Totaal leeftijd;4;36;2008/'09;10;0;10;0;10;0;0;0;0;0;0;0;10;0;0
186;Mannen en vrouwen;Totaal leeftijd;4;37;2007/'08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
187;Mannen en vrouwen;Totaal leeftijd;4;37;2008/'09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
188;Mannen en vrouwen;Totaal leeftijd;4;38;2007/'08;10;10;0;0;0;10;0;0;0;0;0;0;0;0;0
189;Mannen en vrouwen;Totaal leeftijd;4;38;2008/'09;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
190;Mannen en vrouwen;Totaal leeftijd;4;39;2007/'08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
191;Mannen en vrouwen;Totaal leeftijd;4;39;2008/'09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192;Mannen en vrouwen;Totaal leeftijd;4;40;2007/'08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
