ID;RegioS;Perioden;TotaleKosten_1;TotaalInzameling_2;ReinigenVanStratenMarktenED_3;OphalenVanAfval_4;DienstEigenGemeente_5;Derden_6;TotaalVerwerking_7;Storten_8;Verbranden_9;Composteren_10;ScheidenAchteraf_11;OverigeVerwerkingsmethoden_12;TotaalGescheidenInzameling_13;KleinChemischAfvalKCA_14;Glas_15;OudPapierEnKarton_16;KoelEnVriesapparatuur_17;OverigeKosten_18;TotaleKosten_19;TotaalInzameling_20;ReinigenVanStratenMarktenED_21;OphalenVanAfval_22;Verwerking_23;GescheidenInzameling_24;OverigeKosten_25;TotaleInkomsten_26;Afvalstoffenheffing_27;AannemenVanAfval_28;OverigeInkomsten_29;ReinigenVanMarktenEnDergelijke_30;TotaleInkomsten_31;Afvalstoffenheffing_32;OverigeInkomsten_33;DekkingspercentageMethode1_34;DekkingspercentageMethode2_35;TotaalInvesteringen_36;GrondEnStortTerreinen_37;Bedrijfsruimten_38;VervoersmiddelenExternTransport_39;VervoersmiddelenInternTransport_40;OverigeInvesteringen_41;GemeentenInPopulatie_42;GemeentenInTelling_43;InwonersInPopulatie_44;InwonersInTelling_45
10;Noord-Nederland;1993;112;52;14;38;46;6;44;;;;;;15;6;;6;;0;70;32;8;24;28;9;0;101;88;10;3;0;63;54;8;90;99;;;;;;;90;89;1608;92
11;Noord-Nederland;1995;133;64;14;50;56;8;56;;;;;;13;8;;1;0.0;0;82;39;8;31;35;8;0;122;111;9;2;0;75;68;7;91;100;;;;;;;90;68;1624;81
12;Noord-Nederland;1997;167;71;13;59;61;10;78;;;;;;15;7;2.0;5;0.0;4;102;44;8;36;48;9;2;141;124;15;1;1;86;76;10;84;90;;;;;;;90;73;1634;86
13;Noord-Nederland;1999;172;82;12;70;65;17;74;3.0;25.0;14.0;31.0;1.0;12;5;2.0;5;0.0;4;104;50;7;42;45;7;2;153;141;9;3;0;93;85;7;89;94;;;;;;;68;54;1648;61
14;Noord-Nederland;2001;190;91;13;79;61;31;85;11.0;8.0;16.0;48.0;2.0;11;5;2.0;4;0.0;3;114;55;8;47;51;6;2;161;148;10;3;0;96;88;8;85;89;;;;;;;68;38;1672;44
15;Noord-Nederland;2003;194;96;16;80;67;30;82;11.0;9.0;15.0;45.0;2.0;11;5;2.0;4;0.0;6;115;57;10;47;48;6;3;178;164;10;4;0;105;97;9;92;97;;;;;;;68;37;1694;41
16;Noord-Nederland;2005;211;124;21;103;82;42;73;1.0;5.0;13.0;51.0;2.0;11;4;1.0;6;0.0;4;124;73;12;60;43;7;2;206;183;13;10;1;121;107;14;98;103;;;;;;;68;38;1701;51
17;Noord-Nederland;2007;211;127;19;107;81;46;69;0.0;1.0;14.0;53.0;0.0;11;4;1.0;6;0.0;4;124;74;11;63;40;7;3;209;184;13;10;1;123;108;14;99;103;;;;;;;68;68;1702;71
18;Noord-Nederland;2009;212;128;18;110;73;56;67;0.0;1.0;13.0;53.0;0.0;12;4;1.0;6;0.0;5;124;75;11;64;39;7;3;213;186;15;11;1;125;109;16;100;104;;;;;;;68;72;1709;77
19;Noord-Nederland;2011;200;116;19;97;68;48;68;1.0;6.0;14.0;48.0;0.0;11;4;2.0;6;0.0;5;117;68;11;57;39;7;3;208;179;16;12;1;121;104;17;104;107;;;;;;;62;65;1718;73
20;Oost-Nederland;1993;193;98;29;69;73;25;68;;;;;;25;11;;9;;1;62;31;9;22;22;8;0;156;136;16;3;1;50;43;7;81;93;;;;;;;137;90;3122;93
21;Oost-Nederland;1995;244;124;31;93;88;35;99;;;;;;19;10;;2;0.0;2;77;39;10;29;31;6;1;210;194;13;2;0;66;61;5;86;97;;;;;;;137;57;3177;75
22;Oost-Nederland;1997;283;122;22;100;65;57;129;;;;;;26;10;2.0;11;1.0;6;88;38;7;31;40;8;2;218;210;2;5;0;68;65;2;77;81;;;;;;;137;78;3226;79
23;Oost-Nederland;1999;309;140;24;116;61;80;141;4.0;79.0;24.0;30.0;3.0;20;8;2.0;10;1.0;8;94;43;7;35;43;6;2;274;263;6;5;0;84;80;4;89;94;;;;;;;128;41;3284;51
24;Oost-Nederland;2001;340;170;26;144;70;100;147;1.0;59.0;27.0;57.0;4.0;19;6;2.0;10;1.0;4;102;51;8;43;44;6;1;293;279;7;7;0;88;83;4;86;91;;;;;;;105;32;3350;30
25;Oost-Nederland;2003;330;169;34;136;67;102;138;2.0;71.0;23.0;41.0;1.0;17;6;3.0;8;1.0;5;97;50;10;40;41;5;2;318;299;8;11;0;93;88;5;96;104;;;;;;;103;38;3413;41
26;Oost-Nederland;2005;368;202;42;161;89;113;138;4.0;58.0;22.0;52.0;3.0;19;6;3.0;10;0.0;8;107;59;12;47;40;6;2;346;319;15;11;1;100;92;8;94;102;;;;;;;87;33;3447;38
27;Oost-Nederland;2007;348;201;41;161;66;135;120;2.0;59.0;21.0;38.0;0.0;19;5;3.0;10;0.0;9;100;58;12;46;35;5;2;326;300;14;11;1;94;87;7;94;102;;;;;;;87;75;3470;79
28;Oost-Nederland;2009;372;223;41;182;70;153;120;0.0;49.0;22.0;48.0;0.0;20;6;3.0;11;0.0;10;106;64;12;52;34;6;3;355;329;15;11;1;102;94;8;95;104;;;;;;;87;72;3500;76
29;Oost-Nederland;2011;380;233;40;192;70;163;115;0.0;46.0;22.0;47.0;0.0;21;7;3.0;11;0.0;11;108;66;11;54;33;6;3;380;335;25;19;1;108;95;13;100;106;;;;;;;87;60;3531;72
30;West-Nederland;1993;614;321;121;200;281;40;237;;;;;;49;26;;16;;8;86;45;17;28;33;7;1;452;387;50;9;5;63;54;9;74;89;;;;;;;233;87;7127;89
31;West-Nederland;1995;672;358;118;240;314;44;271;;;;;;36;23;;4;0.0;7;93;50;16;33;38;5;1;548;494;46;5;3;76;68;7;82;97;;;;;;;230;65;7223;82
32;West-Nederland;1997;721;386;108;277;323;63;279;;;;;;42;19;4.0;17;2.0;15;99;53;15;38;38;6;2;557;514;35;3;4;77;71;6;77;90;;;;;;;218;76;7267;86
33;West-Nederland;1999;775;433;116;316;329;104;285;13.0;197.0;39.0;32.0;3.0;39;14;5.0;18;1.0;19;105;59;16;43;39;5;3;584;539;34;8;3;79;73;6;75;87;;;;;;;218;51;7351;66
34;West-Nederland;2001;873;516;142;374;389;127;309;15.0;178.0;43.0;65.0;7.0;32;12;5.0;13;2.0;16;117;69;19;50;41;4;2;648;613;23;9;3;87;82;5;74;87;;;;;;;213;27;7448;44
35;West-Nederland;2003;937;571;148;423;459;111;316;3.0;218.0;43.0;39.0;13.0;36;12;7.0;17;1.0;15;124;76;20;56;42;5;2;777;705;37;30;5;103;93;10;83;94;;;;;;;202;36;7544;38
36;West-Nederland;2005;964;608;131;476;337;271;297;2.0;211.0;34.0;43.0;7.0;39;14;6.0;18;1.0;21;127;80;17;63;39;5;3;835;758;42;32;2;110;100;10;87;96;;;;;;;197;35;7609;39
37;West-Nederland;2007;1006;678;147;531;470;208;269;3.0;210.0;32.0;24.0;0.0;37;13;6.0;17;1.0;22;132;89;19;69;35;5;3;913;853;33;25;2;119;112;8;91;103;;;;;;;180;57;7639;73
38;West-Nederland;2009;1052;696;138;558;451;245;293;1.0;229.0;29.0;34.0;0.0;38;14;6.0;18;1.0;25;136;90;18;72;38;5;3;975;899;42;32;2;126;116;10;93;103;;;;;;;178;70;7720;83
39;West-Nederland;2011;1034;704;150;554;420;284;261;0.0;198.0;29.0;34.0;0.0;40;14;6.0;18;1.0;30;132;90;19;71;33;5;4;994;905;49;38;3;127;116;11;96;108;;;;;;;169;60;7830;74
40;Zuid-Nederland;1993;156;79;23;57;45;34;52;;;;;;22;13;;8;;2;46;24;7;17;16;7;1;135;122;10;3;1;40;36;4;87;99;;;;;;;186;78;3363;79
41;Zuid-Nederland;1995;218;114;27;87;74;41;84;;;;;;17;11;;2;0.0;2;64;34;8;26;25;5;1;184;175;7;2;0;54;51;3;85;95;;;;;;;176;66;3408;78
42;Zuid-Nederland;1997;266;121;25;96;80;40;114;;;;;;25;10;3.0;12;1.0;6;77;35;7;28;33;7;2;224;212;8;4;0;65;62;3;84;91;;;;;;;127;57;3440;62
43;Zuid-Nederland;1999;312;139;31;108;80;59;141;55.0;44.0;25.0;4.0;12.0;23;10;2.0;10;1.0;10;90;40;9;31;40;7;3;279;258;10;10;1;80;74;6;89;95;;;;;;;124;44;3477;59
44;Zuid-Nederland;2001;375;190;37;154;100;91;153;57.0;53.0;29.0;11.0;4.0;21;6;1.0;12;2.0;11;107;54;10;44;43;6;3;314;283;16;15;0;89;81;9;84;88;;;;;;;118;21;3518;23
45;Zuid-Nederland;2003;379;184;42;142;77;107;157;16.0;86.0;28.0;26.0;1.0;26;8;3.0;15;0.0;12;107;52;12;40;44;7;3;316;290;13;13;0;89;82;7;83;90;;;;;;;116;34;3542;33
46;Zuid-Nederland;2005;398;231;41;189;102;129;136;8.0;86.0;22.0;16.0;3.0;23;8;3.0;12;0.0;9;112;65;12;53;38;7;2;394;366;15;12;1;111;103;8;99;107;;;;;;;115;34;3548;30
47;Zuid-Nederland;2007;443;278;39;239;124;153;132;12.0;86.0;22.0;13.0;0.0;23;8;3.0;12;0.0;9;125;78;11;67;37;7;3;438;368;35;33;2;124;104;20;99;100;;;;;;;108;53;3547;54
48;Zuid-Nederland;2009;418;259;42;217;125;134;125;1.0;79.0;23.0;22.0;0.0;23;8;3.0;11;0.0;11;118;73;12;61;35;7;3;420;374;25;20;1;118;105;13;101;106;;;;;;;108;72;3557;79
49;Zuid-Nederland;2011;408;254;50;204;114;140;118;0.0;75.0;23.0;20.0;0.0;24;9;4.0;12;0.0;12;114;71;14;57;33;7;3;425;368;31;25;2;119;103;16;104;111;;;;;;;100;61;3577;70
50;Groningen;1993;37;20;7;13;18;2;12;;;;;;4;2;;1;;0;66;36;12;24;22;7;1;35;24;9;2;0;63;43;20;95;110;;;;;;;25;84;555;88
51;Groningen;1995;44;23;6;17;20;3;17;;;;;;4;3;;0;;0;79;41;11;30;30;7;1;41;34;6;0;0;74;61;13;94;108;;;;;;;25;68;559;82
52;Groningen;1997;59;27;5;21;22;5;26;;;;;;5;2;1.0;1;0.0;1;106;48;10;38;47;8;2;54;40;13;0;1;96;72;25;91;98;;;;;;;25;72;558;85
53;Groningen;1999;60;30;5;24;25;4;25;0.0;1.0;4.0;19.0;0.0;4;2;1.0;1;0.0;2;107;53;9;44;44;8;3;52;44;7;1;0;94;79;15;87;93;;;;;;;25;56;560;70
54;Groningen;2001;67;33;6;26;26;7;28;0.0;7.0;4.0;17.0;0.0;4;2;1.0;1;0.0;2;119;58;11;47;50;7;4;58;50;7;0;0;102;89;13;86;94;;;;;;;25;52;566;64
55;Groningen;2003;70;37;7;30;29;8;26;0.0;5.0;3.0;17.0;1.0;4;2;1.0;1;0.0;3;123;64;12;52;46;7;6;63;54;8;1;0;110;94;16;90;97;;;;;;;25;44;573;58
56;Groningen;2005;73;44;8;36;36;8;24;0.0;0.0;3.0;20.0;1.0;4;1;1.0;2;0.0;1;126;77;13;63;41;6;2;76;62;7;6;0;132;108;24;104;107;;;;;;;25;44;575;60
57;Groningen;2007;72;44;7;37;35;9;23;0.0;1.0;4.0;18.0;0.0;4;1;0.0;2;0.0;2;126;77;12;65;39;6;3;75;63;6;5;0;131;110;21;104;107;;;;;;;25;60;574;73
58;Groningen;2009;79;51;6;45;40;11;23;0.0;1.0;3.0;19.0;0.0;4;1;0.0;2;0.0;2;138;90;11;78;39;7;3;81;64;9;7;1;141;112;30;102;101;;;;;;;25;80;574;86
59;Groningen;2011;70;42;5;37;32;10;23;0.0;2.0;4.0;17.0;0.0;4;1;1.0;2;0.0;2;122;73;9;63;39;7;3;74;63;6;4;0;127;109;18;104;106;;;;;;;23;61;579;75
60;Friesland;1993;49;20;5;15;19;1;22;;;;;;7;3;;3;;0;82;33;7;26;37;11;0;43;41;1;0;0;70;68;2;86;94;;;;;;;31;90;604;93
61;Friesland;1995;53;24;5;20;23;1;24;;;;;;5;3;;0;;0;86;39;7;32;39;7;0;47;44;1;1;0;76;73;3;89;96;;;;;;;31;77;610;88
62;Friesland;1997;59;25;4;21;24;1;28;;;;;;5;2;1.0;2;0.0;1;96;39;5;34;45;9;2;49;48;1;0;0;80;78;3;84;88;;;;;;;31;87;615;93
63;Friesland;1999;63;31;4;27;23;8;27;3.0;10.0;6.0;8.0;1.0;4;2;1.0;2;0.0;1;101;50;6;44;44;6;1;54;51;2;1;0;86;81;5;86;88;;;;;;;31;58;621;61
64;Friesland;2001;69;34;3;31;15;19;31;9.0;2.0;6.0;13.0;1.0;3;1;1.0;1;0.0;1;109;54;5;49;49;5;1;57;53;2;2;0;91;84;6;83;84;;;;;;;31;29;631;39
65;Friesland;2003;74;35;5;30;21;14;34;10.0;1.0;8.0;14.0;1.0;4;2;1.0;1;0.0;1;115;54;8;46;53;6;2;65;62;1;3;0;102;97;5;88;91;;;;;;;31;32;640;38
66;Friesland;2005;82;47;7;40;22;26;28;1.0;0.0;5.0;22.0;1.0;5;2;1.0;2;0.0;1;127;74;11;63;43;7;2;74;70;3;2;0;116;108;7;91;97;;;;;;;31;35;643;46
67;Friesland;2007;82;48;8;41;24;24;28;0.0;1.0;6.0;21.0;0.0;5;1;1.0;2;0.0;2;128;75;12;63;43;7;3;78;72;3;3;0;122;112;10;95;101;;;;;;;31;74;642;75
68;Friesland;2009;80;48;8;40;19;30;25;0.0;1.0;5.0;20.0;0.0;5;2;1.0;2;0.0;2;124;75;13;62;39;7;3;76;71;3;2;0;118;111;8;96;103;;;;;;;31;65;645;66
69;Friesland;2011;72;41;8;33;16;25;25;0.0;3.0;5.0;16.0;0.0;5;2;1.0;2;0.0;2;112;63;12;51;38;7;3;74;65;5;3;0;114;101;13;102;109;;;;;;;27;67;647;72
70;Drenthe;1993;26;12;2;10;9;4;10;;;;;;4;2;;1;;0;59;27;5;21;22;9;0;23;23;0;0;0;52;50;2;89;97;;;;;;;34;91;448;94
71;Drenthe;1995;36;17;3;14;13;4;15;;;;;;4;2;;0;;0;80;37;7;30;34;9;0;34;32;1;0;0;74;71;3;92;101;;;;;;;34;59;455;69
72;Drenthe;1997;49;20;4;16;15;5;24;;;;;;5;2;0.0;1;0.0;1;107;43;7;36;52;10;2;38;37;0;0;0;82;80;2;77;81;;;;;;;34;62;461;78
73;Drenthe;1999;49;21;3;18;17;4;23;0.0;14.0;5.0;3.0;0.0;4;2;0.0;2;0.0;2;105;46;7;38;48;8;3;47;46;1;0;0;101;98;2;96;102;;;;;;;12;42;467;50
74;Drenthe;2001;54;25;3;21;19;6;25;1.0;0.0;5.0;17.0;1.0;4;2;0.0;2;0.0;0;114;52;7;45;54;8;1;47;45;1;0;0;98;94;4;86;91;;;;;;;12;33;475;26
75;Drenthe;2003;50;25;4;21;17;8;21;1.0;3.0;3.0;14.0;0.0;3;1;0.0;1;0.0;1;104;52;9;43;44;6;2;50;48;2;1;0;104;99;5;100;107;;;;;;;12;33;481;25
76;Drenthe;2005;57;32;6;26;24;8;21;1.0;5.0;5.0;10.0;0.0;3;1;0.0;2;0.0;1;118;66;13;54;43;6;2;56;51;3;2;0;116;106;10;98;106;;;;;;;12;33;483;48
77;Drenthe;2007;57;34;5;29;21;13;19;0.0;0.0;4.0;14.0;0.0;3;1;0.0;2;0.0;1;117;70;10;60;39;6;2;56;50;3;3;0;115;102;13;98;102;;;;;;;12;67;486;61
78;Drenthe;2009;53;29;4;25;14;15;20;0.0;0.0;5.0;15.0;0.0;3;1;0.0;2;0.0;1;108;58;8;50;40;7;3;55;51;3;2;0;113;103;10;105;109;;;;;;;12;75;490;81
79;Drenthe;2011;58;33;6;27;21;12;20;0.0;1.0;5.0;15.0;0.0;3;1;0.0;2;0.0;1;117;67;12;55;41;6;3;61;51;6;4;0;123;103;20;105;108;;;;;;;12;67;491;72
80;Overijssel;1993;67;35;10;25;29;5;24;;;;;;7;3;;2;;1;64;34;10;24;23;7;1;58;48;9;1;0;55;46;10;86;100;;;;;;;45;87;1039;92
81;Overijssel;1995;81;45;11;34;37;8;30;;;;;;5;3;;0;;0;77;42;10;33;29;5;0;74;65;8;1;0;71;62;9;92;106;;;;;;;45;56;1050;76
82;Overijssel;1997;96;42;7;35;25;17;44;;;;;;9;4;1.0;4;0.0;2;91;39;7;33;41;8;2;77;73;0;4;0;73;69;3;80;83;;;;;;;45;80;1058;82
83;Overijssel;1999;98;44;5;38;16;27;48;2.0;26.0;8.0;10.0;2.0;5;2;1.0;3;0.0;1;92;41;5;36;45;5;1;93;90;2;1;0;87;84;3;94;98;;;;;;;44;45;1070;50
84;Overijssel;2001;111;55;9;45;23;31;48;0.0;30.0;8.0;9.0;1.0;7;2;1.0;5;0.0;2;103;50;9;42;44;7;2;100;95;2;3;0;92;88;4;89;95;;;;;;;26;35;1086;29
85;Overijssel;2003;115;58;13;45;26;32;50;1.0;28.0;8.0;12.0;1.0;6;2;1.0;3;0.0;1;105;52;12;41;46;6;1;111;106;2;4;0;101;96;5;97;105;;;;;;;26;42;1101;44
86;Overijssel;2005;118;62;15;48;31;31;46;1.0;23.0;7.0;15.0;1.0;6;2;1.0;4;0.0;3;106;56;13;43;42;6;2;117;105;7;5;0;105;95;11;99;108;;;;;;;25;32;1109;32
87;Overijssel;2007;122;67;17;51;19;48;46;0.0;30.0;7.0;8.0;0.0;6;2;1.0;3;0.0;3;110;60;15;46;41;6;3;128;115;7;5;0;115;103;12;105;115;;;;;;;25;60;1116;66
88;Overijssel;2009;124;72;17;55;15;57;42;0.0;20.0;6.0;15.0;0.0;7;2;1.0;4;0.0;3;110;64;15;49;37;6;3;124;115;5;4;0;110;102;8;100;112;;;;;;;25;76;1125;76
89;Overijssel;2011;127;78;11;66;21;57;39;0.0;16.0;5.0;17.0;0.0;6;2;1.0;3;0.0;4;112;68;10;58;34;6;3;130;115;8;6;0;115;101;14;103;107;;;;;;;25;60;1134;76
90;Flevoland;1993;13;8;3;5;7;1;3;;;;;;2;1;;0;;0;53;34;12;22;10;7;0;11;9;1;0;0;44;38;6;85;110;;;;;;;6;100;243;100
91;Flevoland;1995;22;12;4;9;12;0;8;;;;;;2;1;;0;;0;85;47;14;33;29;7;2;15;15;0;0;0;59;58;2;70;86;;;;;;;6;67;263;83
92;Flevoland;1997;27;15;4;11;14;0;10;;;;;;2;1;0.0;1;0.0;1;96;51;13;38;35;8;3;22;21;0;0;0;77;76;1;80;93;;;;;;;6;100;281;100
93;Flevoland;1999;35;18;4;13;17;1;13;0.0;10.0;2.0;0.0;1.0;3;1;0.0;1;0.0;1;114;57;13;44;43;8;5;26;25;1;0;0;85;81;4;75;84;;;;;;;6;50;306;39
94;Flevoland;2001;43;23;4;19;20;3;16;0.0;7.0;3.0;5.0;0.0;2;1;0.0;1;0.0;2;130;71;11;59;48;5;5;32;28;3;1;0;96;85;12;74;78;;;;;;;6;33;329;25
95;Flevoland;2003;36;18;5;13;12;7;14;0.0;11.0;2.0;1.0;0.0;2;1;0.0;1;0.0;1;101;52;14;38;40;6;2;33;32;0;1;0;93;91;2;92;105;;;;;;;6;67;352;85
96;Flevoland;2005;39;25;4;21;15;10;12;0.0;9.0;2.0;1.0;0.0;2;1;0.0;1;0.0;1;108;67;10;57;33;5;3;37;37;0;0;0;102;102;0;95;105;;;;;;;6;50;366;72
97;Flevoland;2007;43;28;4;25;19;9;12;0.0;9.0;2.0;1.0;0.0;2;1;0.0;1;0.0;1;114;75;10;66;31;5;3;43;41;2;1;0;116;108;8;102;108;;;;;;;6;67;374;78
98;Flevoland;2009;48;33;5;29;25;9;11;0.0;8.0;2.0;1.0;0.0;2;1;0.0;1;0.0;1;125;87;13;74;30;5;3;47;46;1;1;0;124;119;4;99;108;;;;;;;6;83;383;95
99;Flevoland;2011;49;34;4;30;28;7;10;0.0;8.0;2.0;0.0;0.0;2;1;0.0;1;0.0;1;124;88;10;78;27;6;3;53;48;3;2;0;134;121;13;108;113;;;;;;;6;67;392;83
100;Gelderland;1993;113;55;16;39;36;19;41;;;;;;16;7;;6;;0;62;30;9;21;23;9;0;88;79;6;1;1;48;44;5;78;89;;;;;;;86;91;1840;92
101;Gelderland;1995;141;67;17;50;40;27;61;;;;;;12;6;;2;;1;76;36;9;27;33;6;1;120;113;5;1;0;64;61;4;85;96;;;;;;;86;57;1865;73
102;Gelderland;1997;160;65;11;54;25;40;75;;;;;;15;5;1.0;7;1.0;4;84;34;6;29;40;8;2;119;116;1;1;0;63;61;2;75;79;;;;;;;86;76;1886;75
103;Gelderland;1999;176;79;15;64;27;52;80;2.0;43.0;14.0;20.0;0.0;12;5;1.0;5;0.0;5;92;41;8;34;42;6;3;156;149;3;4;0;82;78;4;89;94;;;;;;;78;37;1907;53
104;Gelderland;2001;186;92;13;79;27;65;83;1.0;22.0;15.0;42.0;2.0;10;4;1.0;5;0.0;0;96;48;7;41;43;5;0;162;156;2;4;0;84;81;3;87;92;;;;;;;73;32;1934;31
105;Gelderland;2003;179;94;16;78;30;64;74;1.0;32.0;13.0;28.0;0.0;8;3;1.0;4;0.0;3;91;48;8;40;38;4;2;174;162;5;6;0;89;83;6;97;103;;;;;;;71;34;1960;32
106;Gelderland;2005;211;115;23;92;43;72;80;3.0;25.0;13.0;37.0;2.0;11;3;2.0;5;0.0;5;107;59;12;47;41;5;2;191;177;8;6;0;97;90;7;91;99;;;;;;;56;32;1972;35
107;Gelderland;2007;183;106;20;85;27;78;63;2.0;20.0;13.0;29.0;0.0;11;3;2.0;6;0.0;5;93;53;10;43;32;5;2;155;145;5;4;0;78;73;5;84;92;;;;;;;56;82;1979;87
108;Gelderland;2009;201;117;19;98;30;87;66;0.0;20.0;14.0;32.0;0.0;11;3;2.0;6;0.0;6;101;59;10;49;33;6;3;184;168;9;7;0;93;84;8;92;97;;;;;;;56;70;1991;73
109;Gelderland;2011;205;120;25;96;21;99;66;0.0;22.0;15.0;30.0;0.0;12;4;2.0;6;0.0;6;102;60;12;48;33;6;3;197;172;13;10;1;98;86;12;96;103;;;;;;;56;59;2005;67
110;Utrecht;1993;84;39;13;27;31;9;36;;;;;;8;4;;3;;0;80;37;12;25;35;8;0;67;58;6;1;1;64;55;8;79;90;;;;;;;38;76;1047;83
111;Utrecht;1995;85;44;13;31;36;8;35;;;;;;5;3;;0;;0;80;41;13;29;34;5;0;76;69;7;0;0;72;64;7;89;106;;;;;;;38;66;1063;89
112;Utrecht;1997;93;51;13;38;39;12;33;;;;;;8;3;0.0;3;0.0;2;87;47;12;35;30;7;2;71;64;6;0;0;66;59;6;76;87;;;;;;;36;78;1079;85
113;Utrecht;1999;103;57;13;43;39;18;36;0.0;26.0;7.0;1.0;1.0;8;2;1.0;4;0.0;1;93;52;12;39;33;7;1;76;67;8;0;0;69;61;8;74;85;;;;;;;36;58;1099;74
114;Utrecht;2001;119;68;17;51;53;15;44;0.0;30.0;11.0;1.0;2.0;6;2;1.0;3;0.0;1;106;61;15;46;40;5;1;90;79;7;3;1;80;71;10;75;84;;;;;;;33;33;1118;37
115;Utrecht;2003;127;69;17;52;57;12;48;0.0;32.0;9.0;4.0;4.0;5;2;1.0;2;0.0;4;111;60;15;45;42;5;4;117;99;9;8;1;102;86;16;92;98;;;;;;;33;39;1152;49
116;Utrecht;2005;145;90;26;65;55;35;44;0.0;32.0;7.0;3.0;1.0;7;3;1.0;3;0.0;4;123;77;22;55;37;6;3;120;110;5;4;0;102;94;8;83;97;;;;;;;33;36;1171;58
117;Utrecht;2007;145;101;23;78;62;39;35;0.0;24.0;7.0;3.0;0.0;5;3;1.0;2;0.0;3;121;85;20;65;29;4;3;133;128;3;2;0;112;108;4;92;108;;;;;;;29;59;1191;76
118;Utrecht;2009;152;99;23;77;69;31;43;0.0;34.0;5.0;4.0;0.0;5;3;1.0;2;0.0;4;125;82;19;63;36;4;3;147;125;12;9;1;121;103;18;97;106;;;;;;;29;69;1211;74
119;Utrecht;2011;131;96;25;71;65;31;24;0.0;15.0;5.0;3.0;0.0;7;3;1.0;3;0.0;4;106;78;20;58;19;6;3;135;114;12;9;1;110;93;17;103;119;;;;;;;26;62;1229;69
120;Noord-Holland;1993;227;121;51;70;104;17;87;;;;;;15;8;;5;;4;93;49;20;29;35;6;2;147;131;13;2;1;60;54;7;65;82;;;;;;;70;91;2423;89
