ID;KenmerkenContactenMetPolitie;Perioden;Telefonisch_1;OpPolitiebureau_2;BijAgentOpStraat_3;Anders_4;InEigenDorpBuurt_5;EldersInWoongemeente_6;InAangrenzendeWoongemeente_7;EldersInNederland_8;InBuitenland_9;ViaAlarmnummer_10;PolitieGevraagdTeKomen_11;PolitieIsGekomen_12;MinderDan5Minuten_13;k_514Minuten_14;k_1529Minuten_15;k_3059Minuten_16;k_1UurOfLanger_17;Snel_18;TamelijkSnel_19;NietSnel_20;DocumentOndertekendTotaal_21;WaaronderOpPolitiebureau_22;InformatieAdvies_23;ProcesVerbaalOpgemaakt_24;Doorverwezen_25;Bemiddeld_26;IemandMeegenomen_27;WegVrijgehouden_28;BrandweerAmbulanceGewaarschuwd_29;TerPlekkeOpHoogteGesteld_30;IetsAnders_31;NietsGedaan_32
16;3;1997;86.7;12.1;0.0;1.3;64.5;27.3;4.8;3.4;0.0;;65.1;83.3;16.2;37.5;14.9;15.6;15.8;48.3;17.3;34.4;;;16.4;11.1;2.7;16.8;2.8;0.4;3.9;37.6;4.6;19.7
17;3;1998;89.1;7.2;2.3;1.4;67.0;25.2;3.6;1.6;0.0;2.6;74.4;81.5;15.1;36.0;23.9;11.4;13.5;45.3;25.8;28.9;;;13.9;11.3;2.8;20.0;7.0;0.9;2.9;42.1;6.0;21.8
18;3;1999;88.2;9.7;2.1;0.0;67.4;19.7;5.1;3.1;0.0;4.7;74.6;83.7;16.3;35.9;18.9;14.1;14.7;44.5;28.2;27.3;;;10.4;14.3;0.6;18.2;4.5;1.0;5.3;35.9;5.8;23.5
19;3;2000;86.7;11.6;0.3;1.5;70.5;15.6;5.7;3.0;0.0;5.2;64.5;82.8;10.8;38.1;30.8;8.5;11.8;43.5;25.6;30.9;;;11.8;11.6;4.4;21.2;5.0;3.2;3.4;35.4;9.5;18.6
20;3;2001;88.9;6.8;2.3;2.0;72.5;14.4;5.6;2.3;0.0;5.2;71.1;82.0;7.8;36.2;30.2;11.3;14.5;36.2;32.9;30.9;;;16.8;12.4;5.2;25.6;6.5;1.1;3.1;37.1;11.3;16.8
21;3;2002;89.9;7.9;2.1;0.0;67.4;9.9;7.7;2.2;0.0;12.8;77.2;82.4;7.8;43.3;17.0;18.4;13.4;44.2;19.6;36.2;;;15.2;9.1;1.1;22.6;5.1;0.5;3.0;32.4;7.9;15.9
22;3;2003;87.1;9.1;2.2;1.6;58.4;17.2;5.8;2.8;0.0;15.8;65.5;77.3;4.3;36.6;29.6;10.7;18.8;30.9;25.0;44.1;;;14.6;11.7;4.3;18.9;4.6;0.4;2.1;31.3;9.0;22.1
23;3;2004;86.6;11.1;0.6;1.7;60.5;19.8;4.0;3.7;0.0;12.0;68.6;75.5;9.6;38.8;27.7;14.1;9.7;41.6;27.6;30.8;;;15.5;11.5;2.2;16.4;4.3;1.8;3.8;32.7;10.5;18.2
24;4;1997;81.3;14.0;4.0;0.7;52.5;31.3;8.7;7.6;0.0;;65.0;89.6;13.4;48.9;22.9;10.9;4.0;45.1;28.2;26.7;;;12.7;25.7;4.3;7.9;2.0;19.3;5.7;26.8;13.5;19.3
25;4;1998;83.4;9.5;4.4;2.7;46.2;27.4;7.2;10.2;0.0;9.0;61.5;89.7;19.8;39.3;25.3;11.3;4.3;43.7;31.2;25.1;;;18.3;34.4;2.0;8.6;3.6;22.3;7.9;30.3;13.3;13.4
26;4;1999;81.5;12.2;4.1;2.2;50.9;23.1;5.8;14.8;0.6;4.8;59.1;81.5;17.9;39.3;20.1;13.5;9.2;47.8;20.2;32.1;;;16.4;28.3;7.3;6.2;0.0;12.6;13.4;23.5;9.6;24.1
27;4;2000;84.7;7.2;4.4;3.7;44.5;19.0;7.4;13.8;0.9;14.3;68.9;89.9;15.5;39.1;15.9;23.2;6.3;43.6;18.7;37.7;;;14.3;29.9;6.1;9.2;1.9;20.0;7.3;28.2;12.2;18.1
28;4;2001;84.3;8.6;4.1;3.0;56.1;15.0;6.9;11.7;1.8;8.5;57.4;82.0;21.6;32.8;17.2;15.6;12.8;35.7;27.6;36.6;;;11.2;32.4;3.4;14.7;2.2;22.7;10.6;28.4;10.6;14.1
29;4;2002;83.8;8.8;6.3;1.0;53.6;10.9;6.2;17.7;0.0;11.7;66.4;88.6;18.8;48.3;16.7;8.5;7.7;42.8;23.9;33.4;;;6.2;27.8;3.4;7.7;2.3;14.4;8.1;34.9;8.3;18.9
30;4;2003;85.7;9.6;1.3;3.4;47.8;9.5;9.1;12.0;0.0;21.6;55.8;80.8;23.6;38.3;21.0;5.0;12.2;59.6;20.8;19.6;;;14.5;26.0;4.1;4.0;1.5;18.2;9.3;22.9;8.1;20.9
31;4;2004;81.3;12.7;4.2;1.7;48.3;13.5;11.1;18.0;1.2;7.9;62.6;83.2;20.5;42.0;16.6;12.7;8.1;50.0;22.9;27.0;;;16.2;25.2;5.1;7.7;2.0;17.8;8.9;25.2;8.6;15.4
32;5;1997;68.2;30.5;1.0;0.3;62.5;21.4;7.3;4.3;0.0;;55.9;83.6;22.0;40.1;19.6;8.9;9.5;55.0;22.5;22.5;;;23.9;40.2;11.3;21.6;12.5;1.3;3.0;19.6;8.6;16.1
33;5;1998;68.2;30.5;1.0;0.3;62.5;21.4;7.3;4.3;0.0;4.5;55.9;83.6;22.0;40.1;19.6;8.9;9.5;55.0;22.5;22.5;;;23.9;40.2;11.3;21.6;12.5;1.3;3.0;19.6;8.6;16.1
34;5;1999;68.2;30.5;1.0;0.3;62.5;21.4;7.3;4.3;0.0;4.5;55.9;83.6;22.0;40.1;19.6;8.9;9.5;55.0;22.5;22.5;;;23.9;40.2;11.3;21.6;12.5;1.3;3.0;19.6;8.6;16.1
35;5;2000;68.2;30.5;1.0;0.3;62.5;21.4;7.3;4.3;0.0;4.5;55.9;83.6;22.0;40.1;19.6;8.9;9.5;55.0;22.5;22.5;;;23.9;40.2;11.3;21.6;12.5;1.3;3.0;19.6;8.6;16.1
36;5;2001;68.2;30.5;1.0;0.3;62.5;21.4;7.3;4.3;0.0;4.5;55.9;83.6;22.0;40.1;19.6;8.9;9.5;55.0;22.5;22.5;;;23.9;40.2;11.3;21.6;12.5;1.3;3.0;19.6;8.6;16.1
37;5;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;5;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;5;2004;66.6;33.4;0.0;0.0;44.1;30.5;12.7;1.8;0.0;10.9;50.5;;;;;;;;;;;;25.0;42.1;7.1;14.3;17.5;0.0;1.6;21.1;11.7;11.0
40;6;1997;62.8;29.8;3.5;3.9;46.9;33.5;7.3;11.0;1.3;;55.4;;;;;;;;;;;;4.6;45.0;2.1;2.1;7.7;0.0;1.3;40.9;7.8;9.8
41;6;1998;72.1;22.7;3.2;2.0;50.3;31.9;7.7;5.2;0.0;4.9;49.7;;;;;;;;;;;;9.6;46.8;0.0;0.0;11.6;0.0;1.6;25.6;9.0;17.3
42;6;1999;63.5;34.3;2.2;0.0;53.0;16.4;11.6;13.4;0.0;5.6;53.4;;;;;;;;;;;;18.1;52.9;0.0;4.8;7.1;0.0;0.0;38.5;13.1;11.2
43;6;2000;74.7;21.4;2.9;1.0;54.6;22.7;2.0;16.9;0.0;3.8;61.3;;;;;;;;;;;;5.9;47.6;0.0;0.0;10.4;0.0;0.0;35.4;17.2;9.7
44;6;2001;69.4;30.6;0.0;0.0;63.9;15.2;5.4;7.2;0.0;8.3;50.3;;;;;;;;;;;;17.1;57.4;0.8;0.0;6.9;0.0;0.0;41.3;4.6;10.2
45;6;2002;70.8;25.3;0.0;4.0;60.0;18.7;5.8;11.6;0.0;3.8;49.7;;;;;;;;;;;;13.4;50.3;1.4;1.3;11.9;0.0;0.0;23.1;8.3;16.2
46;6;2003;63.5;26.9;5.4;4.2;48.5;17.2;16.8;5.8;2.0;9.7;50.7;;;;;;;;;;;;14.3;51.5;1.6;1.5;1.6;0.0;0.0;36.3;10.4;8.0
47;6;2004;74.9;20.4;0.0;4.7;50.5;22.6;6.2;10.4;0.0;10.3;57.5;86.5;24.4;22.5;22.9;9.3;20.9;58.5;17.8;23.7;;;10.4;47.6;1.8;1.6;6.5;1.1;0.0;34.0;9.3;11.0
48;7;1997;34.4;61.7;2.7;1.2;43.3;38.0;;15.7;3.0;;;;;;;;;;;;81.0;86.9;17.0;80.8;7.4;3.1;2.7;0.0;0.0;12.7;5.8;10.8
49;7;1998;34.8;62.0;1.5;1.7;54.2;24.5;5.7;9.5;5.2;0.9;;;;;;;;;;;74.6;88.0;11.5;79.9;5.6;3.1;5.8;0.2;0.0;9.7;2.8;13.9
50;7;1999;39.7;57.3;2.7;0.3;58.5;21.5;6.1;10.8;2.6;0.5;;;;;;;;;;;75.0;86.6;14.4;79.7;5.2;1.6;3.3;0.0;0.3;12.6;6.2;12.9
51;7;2000;31.7;66.1;0.4;1.9;56.6;23.0;4.4;10.8;4.6;0.7;;;;;;;;;;;84.7;89.2;14.6;81.7;4.0;1.7;2.3;0.0;0.2;8.4;4.0;12.6
52;7;2001;38.1;58.1;3.1;0.7;55.2;21.7;6.9;11.2;3.5;1.4;;;;;;;;;;;76.7;86.2;16.0;81.8;7.3;3.2;2.7;0.0;0.0;10.1;4.5;11.8
53;7;2002;34.1;62.1;2.2;1.6;53.5;23.9;5.6;11.1;3.6;2.3;;;;;;;;;;;78.3;86.2;11.0;79.6;4.2;1.3;2.4;0.3;0.5;8.1;4.0;15.0
54;7;2003;33.2;60.1;2.0;4.7;52.0;24.9;8.1;10.3;2.2;2.5;;;;;;;;;;;79.3;84.1;13.5;81.0;6.4;2.8;3.7;0.2;0.0;8.2;6.7;13.6
55;7;2004;37.5;56.4;1.6;4.4;50.5;27.4;6.7;9.0;2.6;3.7;;;;;;;;;;;79.1;83.0;15.5;80.6;4.5;2.6;4.3;0.2;0.1;11.1;5.4;12.7
56;8;1997;48.2;44.2;5.8;1.8;49.7;;;;;;;;;;;;;;;;58.7;91.9;9.6;80.6;12.5;8.1;23.0;0.0;0.0;13.0;9.6;8.6
57;8;1998;48.2;44.2;5.8;1.8;49.7;;;;;;;;;;;;;;;;58.7;91.9;9.6;80.6;12.5;8.1;23.0;0.0;0.0;13.0;9.6;8.6
58;8;1999;48.2;44.2;5.8;1.8;49.7;14.2;5.6;17.6;2.7;1.3;;;;;;;;;;;58.7;91.9;9.6;80.6;12.5;8.1;23.0;0.0;0.0;13.0;9.6;8.6
59;8;2000;48.2;44.2;5.8;1.8;49.7;;;;;;;;;;;;;;;;58.7;91.9;9.6;80.6;12.5;8.1;23.0;0.0;0.0;13.0;9.6;8.6
60;8;2001;48.2;44.2;5.8;1.8;49.7;;;;;;;;;;;;;;;;58.7;91.9;9.6;80.6;12.5;8.1;23.0;0.0;0.0;13.0;9.6;8.6
61;8;2002;50.8;42.7;2.9;3.6;41.7;34.1;8.0;10.6;3.4;2.2;;;;;;;;;;;53.0;;;;;;;;;;;
62;8;2003;42.7;39.4;4.7;13.1;44.9;18.8;7.4;21.2;0.0;7.8;;;;;;;;;;;59.5;;;;;;;;;;;
63;8;2004;59.0;34.2;2.7;4.1;48.7;23.1;7.2;12.3;0.6;8.2;;;;;;;;;;;56.7;72.2;20.0;76.0;8.4;5.5;29.6;1.1;0.9;18.3;4.6;11.5
64;9;1997;29.2;68.0;2.1;0.7;40.1;38.3;;16.4;5.2;;;;;;;;;;;;91.1;86.8;16.2;83.0;6.2;0.0;1.8;0.0;0.0;10.8;4.1;10.9
65;9;1998;27.9;70.4;0.4;1.3;52.2;25.2;5.1;10.1;7.3;0.1;;;;;;;;;;;87.4;88.1;12.6;77.5;4.9;1.9;3.0;0.0;0.0;7.0;3.0;16.4
66;9;1999;33.0;64.2;2.1;0.7;56.5;20.9;7.4;10.5;4.0;0.7;;;;;;;;;;;89.9;87.6;17.1;82.6;6.3;0.0;0.9;0.0;0.0;12.7;6.9;10.6
67;9;2000;26.7;71.6;0.0;1.7;52.4;25.9;4.0;11.5;5.5;0.6;;;;;;;;;;;93.2;89.7;17.2;81.7;2.7;0.6;1.0;0.0;0.0;8.1;2.6;12.4
68;9;2001;29.5;67.0;2.6;0.9;50.3;24.7;5.6;11.5;5.7;2.2;;;;;;;;;;;87.9;87.0;16.1;85.2;7.3;2.3;0.6;0.0;0.0;6.6;2.7;10.8
69;9;2002;29.7;67.5;1.3;1.5;52.7;23.5;4.3;11.6;5.0;2.8;;;;;;;;;;;89.4;84.9;10.6;80.2;4.3;0.9;0.6;0.0;0.0;5.2;2.7;16.5
70;9;2003;31.1;66.1;0.3;2.5;52.7;27.0;7.3;9.0;3.0;1.1;;;;;;;;;;;87.6;85.1;15.4;79.8;6.8;1.4;0.9;0.0;0.0;5.4;6.9;14.5
71;9;2004;30.2;64.2;0.8;4.7;47.7;31.1;5.8;8.7;3.9;2.7;;;;;;;;;;;89.3;85.1;15.2;81.3;4.6;0.8;0.7;0.1;0.0;10.5;4.9;13.5
72;Vandalismedelicten;1997;41.4;56.9;0.8;0.9;56.5;39.0;;4.5;0.0;;;;;;;;;;;;70.3;88.5;10.2;77.8;5.8;7.7;0.0;0.0;0.0;16.1;5.0;10.1
73;Vandalismedelicten;1998;41.8;56.6;0.0;1.6;63.5;16.5;7.3;7.3;3.1;2.4;;;;;;;;;;;67.1;85.9;6.3;85.9;3.6;0.8;3.8;0.0;0.0;11.8;1.2;11.2
74;Vandalismedelicten;1999;40.6;57.4;1.9;0.0;58.2;27.8;4.9;8.0;1.1;0.0;;;;;;;;;;;74.1;84.0;7.3;79.7;0.9;0.8;0.8;0.0;1.1;12.3;3.3;17.8
75;Vandalismedelicten;2000;36.5;63.5;0.0;0.0;74.7;13.6;1.1;9.8;0.8;0.0;;;;;;;;;;;79.6;92.1;10.1;81.8;2.3;1.3;0.0;0.0;1.3;7.7;6.3;16.7
76;Vandalismedelicten;2001;45.3;52.0;2.7;0.0;64.0;21.2;5.9;6.9;1.1;1.0;;;;;;;;;;;77.5;83.2;12.1;80.8;6.1;1.2;1.6;0.0;0.0;20.8;7.9;13.5
77;Vandalismedelicten;2002;34.3;61.2;4.6;0.0;64.2;21.9;4.2;8.5;0.7;0.5;;;;;;;;;;;73.2;88.7;9.4;81.9;3.2;0.0;0.0;1.4;0.0;13.0;6.3;14.1
78;Vandalismedelicten;2003;30.6;64.2;2.0;3.2;57.0;22.8;10.7;6.5;0.7;2.3;;;;;;;;;;;79.7;86.0;7.0;78.2;1.9;2.3;2.1;0.0;0.0;7.4;6.3;16.5
79;Vandalismedelicten;2004;38.3;54.6;1.6;5.5;60.5;26.5;7.0;3.4;0.4;2.2;;;;;;;;;;;79.1;81.4;14.1;83.0;3.0;2.8;2.0;0.0;0.0;11.0;4.2;11.0
80;Doorrijden na aanrijding;1997;35.8;57.0;6.0;1.2;52.3;24.0;;15.8;2.0;;;;;;;;;;;;70.4;79.2;14.7;76.5;8.9;6.9;4.7;1.1;0.0;11.9;1.3;18.9
81;Doorrijden na aanrijding;1998;35.8;57.0;6.0;1.2;52.3;24.0;5.9;15.8;2.0;0.0;;;;;;;;;;;70.4;79.2;14.7;76.5;8.9;6.9;4.7;1.1;0.0;11.9;1.3;18.9
82;Doorrijden na aanrijding;1999;35.8;57.0;6.0;1.2;52.3;24.0;5.9;15.8;2.0;0.0;;;;;;;;;;;70.4;79.2;14.7;76.5;8.9;6.9;4.7;1.1;0.0;11.9;1.3;18.9
83;Doorrijden na aanrijding;2000;35.8;57.0;6.0;1.2;52.3;24.0;5.9;15.8;2.0;0.0;;;;;;;;;;;70.4;79.2;14.7;76.5;8.9;6.9;4.7;1.1;0.0;11.9;1.3;18.9
84;Doorrijden na aanrijding;2001;35.8;57.0;6.0;1.2;52.3;24.0;5.9;15.8;2.0;0.0;;;;;;;;;;;70.4;79.2;14.7;76.5;8.9;6.9;4.7;1.1;0.0;11.9;1.3;18.9
85;Doorrijden na aanrijding;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;Doorrijden na aanrijding;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;Doorrijden na aanrijding;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;Kwaadwillige telefoontjes;1997;52.7;40.6;2.8;3.9;75.7;16.4;;1.2;0.0;;;;;;;;;;;;25.0;;;;;;;;;;;
89;Kwaadwillige telefoontjes;1998;52.7;40.6;2.8;3.9;75.7;16.4;5.5;1.2;0.0;1.2;;;;;;;;;;;25.0;;;;;;;;;;;
90;Kwaadwillige telefoontjes;1999;52.7;40.6;2.8;3.9;75.7;16.4;5.5;1.2;0.0;1.2;;;;;;;;;;;25.0;;;;;;;;;;;
91;Kwaadwillige telefoontjes;2000;52.7;40.6;2.8;3.9;75.7;16.4;5.5;1.2;0.0;1.2;;;;;;;;;;;25.0;;;;;;;;;;;
92;Kwaadwillige telefoontjes;2001;52.7;40.6;2.8;3.9;75.7;16.4;5.5;1.2;0.0;1.2;;;;;;;;;;;25.0;;;;;;;;;;;
93;Kwaadwillige telefoontjes;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;Kwaadwillige telefoontjes;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;Kwaadwillige telefoontjes;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Overige delicten;1997;45.8;50.5;2.0;1.7;;;;;;;;;;;;;;;;;59.6;;;;;;;;;;;
97;Overige delicten;1998;45.8;50.5;2.0;1.7;;;;;;;;;;;;;;;;;59.6;;;;;;;;;;;
98;Overige delicten;1999;45.8;50.5;2.0;1.7;;;;;;;;;;;;;;;;;59.6;;;;;;;;;;;
99;Overige delicten;2000;45.8;50.5;2.0;1.7;;;;;;;;;;;;;;;;;59.6;;;;;;;;;;;
100;Overige delicten;2001;45.8;50.5;2.0;1.7;;;;;;;;;;;;;;;;;59.6;;;;;;;;;;;
101;Overige delicten;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;Overige delicten;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;Overige delicten;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
