ID;BedrijfstakkenBranchesSBI2008;Perioden;OutputBasisprijzen_1;IntermediairVerbruik_2;BrutoToegevoegdeWaardeBasisprijzen_3;OutputBasisprijzen_4;IntermediairVerbruik_5;BrutoToegevoegdeWaardeBasisprijzen_6;OutputBasisprijzen_7;IntermediairVerbruik_8;BrutoToegevoegdeWaardeBasisprijzen_9;OutputBasisprijzen_10;IntermediairVerbruik_11;BrutoToegevoegdeWaardeBasisprijzen_12;Totaal_13;Lonen_14;SocialePremiesTLVWerkgevers_15;Bruto_16;VerbruikVanVasteActiva_17;Netto_18;Saldo_19;NietProductgebondenBelastingen_20;NietProductgebondenSubsidies_21;BrutoToegevoegdeWaardeBasisprijzen_22
51;A Landbouw, bosbouw en visserij;2017;35189.0;20413.0;14776.0;37098.0;23266.0;13858.0;2.0;2.4;1.2;94.9;87.7;106.6;3241.0;2590.0;651.0;12103.0;4176.0;7927.0;-568.0;376.0;944.0;14776.0
52;A Landbouw, bosbouw en visserij;2018;34648.0;20793.0;13855.0;36938.0;23184.0;13783.0;-0.4;-0.4;-0.5;93.8;89.7;100.5;3455.0;2743.0;712.0;11043.0;4323.0;6720.0;-643.0;389.0;1032.0;13855.0
53;A Landbouw, bosbouw en visserij;2019;36178.0;21584.0;14594.0;37740.0;23599.0;14161.0;2.2;1.8;2.7;95.9;91.5;103.1;3659.0;2877.0;782.0;11602.0;4538.0;7064.0;-667.0;397.0;1064.0;14594.0
54;A Landbouw, bosbouw en visserij;2020;35640.0;21455.0;14185.0;38120.0;23731.0;14397.0;1.0;0.6;1.7;93.5;90.4;98.5;3809.0;2996.0;813.0;11601.0;4754.0;6847.0;-1225.0;404.0;1629.0;14185.0
55;A Landbouw, bosbouw en visserij;2021;38802.0;24050.0;14752.0;38802.0;24050.0;14752.0;1.8;1.3;2.5;100.0;100.0;100.0;3937.0;3098.0;839.0;12231.0;4941.0;7290.0;-1416.0;381.0;1797.0;14752.0
56;A Landbouw, bosbouw en visserij;2022;45171.0;28853.0;16318.0;37705.0;23067.0;14638.0;-2.8;-4.1;-0.8;119.8;125.1;111.5;4120.0;3236.0;884.0;13110.0;5369.0;7741.0;-912.0;360.0;1272.0;16318.0
57;A Landbouw, bosbouw en visserij;2023;45979.0;27589.0;18390.0;37033.0;22648.0;14386.0;-1.8;-1.8;-1.7;124.2;121.8;127.8;4386.0;3446.0;940.0;14839.0;5677.0;9162.0;-835.0;384.0;1219.0;18390.0
58;01 Landbouw;1995;20339.0;10509.0;9830.0;25978.0;16518.0;9453.0;;;;78.3;63.6;104.0;1640.0;1406.0;234.0;8281.0;2131.0;6150.0;-91.0;289.0;380.0;9830.0
59;01 Landbouw;1996;20772.0;11231.0;9541.0;25909.0;17121.0;9032.0;-0.3;3.7;-4.5;80.2;65.6;105.6;1716.0;1475.0;241.0;8082.0;2155.0;5927.0;-257.0;265.0;522.0;9541.0
60;01 Landbouw;1997;21970.0;11382.0;10588.0;26747.0;16992.0;9749.0;3.2;-0.8;7.9;82.1;67.0;108.6;1780.0;1539.0;241.0;8957.0;2187.0;6770.0;-149.0;271.0;420.0;10588.0
61;01 Landbouw;1998;21069.0;11387.0;9682.0;26434.0;17402.0;9259.0;-1.2;2.4;-5.0;79.7;65.4;104.6;1857.0;1525.0;332.0;7996.0;2222.0;5774.0;-171.0;266.0;437.0;9682.0
62;01 Landbouw;1999;20806.0;11457.0;9349.0;27637.0;17841.0;9901.0;4.6;2.5;6.9;75.3;64.2;94.4;1986.0;1611.0;375.0;7744.0;2283.0;5461.0;-381.0;265.0;646.0;9349.0
63;01 Landbouw;2000;22115.0;12116.0;9999.0;28048.0;18062.0;10078.0;1.5;1.2;1.8;78.8;67.1;99.2;2113.0;1683.0;430.0;8067.0;2417.0;5650.0;-181.0;280.0;461.0;9999.0
64;01 Landbouw;2001;22929.0;12620.0;10309.0;27354.0;18037.0;9544.0;-2.5;-0.1;-5.3;83.8;70.0;108.0;2229.0;1813.0;416.0;8304.0;2552.0;5752.0;-224.0;331.0;555.0;10309.0
65;01 Landbouw;2002;22777.0;12720.0;10057.0;27659.0;18182.0;9687.0;1.1;0.8;1.5;82.3;70.0;103.8;2394.0;1940.0;454.0;7720.0;2661.0;5059.0;-57.0;332.0;389.0;10057.0
66;01 Landbouw;2003;22756.0;12548.0;10208.0;27606.0;17741.0;9942.0;-0.2;-2.4;2.6;82.4;70.7;102.7;2405.0;1920.0;485.0;8050.0;2708.0;5342.0;-247.0;305.0;552.0;10208.0
67;01 Landbouw;2004;22582.0;13027.0;9555.0;28593.0;18074.0;10505.0;3.6;1.9;5.7;79.0;72.1;91.0;2364.0;1905.0;459.0;7431.0;2767.0;4664.0;-240.0;306.0;546.0;9555.0
68;01 Landbouw;2005;23228.0;13297.0;9931.0;28707.0;18119.0;10569.0;0.4;0.2;0.6;80.9;73.4;94.0;2355.0;1908.0;447.0;7739.0;2824.0;4915.0;-163.0;337.0;500.0;9931.0
69;01 Landbouw;2006;25240.0;14157.0;11083.0;29136.0;18458.0;10673.0;1.5;1.9;1.0;86.6;76.7;103.8;2403.0;1970.0;433.0;9129.0;2887.0;6242.0;-449.0;334.0;783.0;11083.0
70;01 Landbouw;2007;26471.0;15523.0;10948.0;29994.0;19114.0;10904.0;2.9;3.6;2.2;88.3;81.2;100.4;2521.0;2062.0;459.0;9073.0;2995.0;6078.0;-646.0;320.0;966.0;10948.0
71;01 Landbouw;2008;27441.0;17117.0;10324.0;30991.0;19824.0;11206.0;3.3;3.7;2.8;88.5;86.3;92.1;2604.0;2125.0;479.0;8463.0;3147.0;5316.0;-743.0;335.0;1078.0;10324.0
72;01 Landbouw;2009;25842.0;16340.0;9502.0;31561.0;19984.0;11604.0;1.8;0.8;3.6;81.9;81.8;81.9;2625.0;2134.0;491.0;7582.0;3293.0;4289.0;-705.0;377.0;1082.0;9502.0
73;01 Landbouw;2010;28050.0;16956.0;11094.0;31964.0;20436.0;11556.0;1.3;2.3;-0.4;87.8;83.0;96.0;2669.0;2160.0;509.0;9160.0;3402.0;5758.0;-735.0;380.0;1115.0;11094.0
74;01 Landbouw;2011;28890.0;18798.0;10092.0;32279.0;20753.0;11570.0;1.0;1.6;0.1;89.5;90.6;87.2;2744.0;2192.0;552.0;8209.0;3470.0;4739.0;-861.0;386.0;1247.0;10092.0
75;01 Landbouw;2012;30168.0;19404.0;10764.0;32372.0;20828.0;11587.0;0.3;0.4;0.1;93.2;93.2;92.9;2812.0;2228.0;584.0;8788.0;3590.0;5198.0;-836.0;371.0;1207.0;10764.0
76;01 Landbouw;2013;32029.0;20106.0;11923.0;33025.0;21292.0;11777.0;2.0;2.2;1.6;97.0;94.4;101.2;2860.0;2274.0;586.0;9971.0;3751.0;6220.0;-908.0;344.0;1252.0;11923.0
77;01 Landbouw;2014;31159.0;19304.0;11855.0;33711.0;21317.0;12411.0;2.1;0.1;5.4;92.4;90.6;95.5;2863.0;2261.0;602.0;9800.0;3851.0;5949.0;-808.0;330.0;1138.0;11855.0
78;01 Landbouw;2015;31177.0;18987.0;12190.0;34431.0;21640.0;12801.0;2.1;1.5;3.1;90.5;87.7;95.2;2850.0;2271.0;579.0;10114.0;3950.0;6164.0;-774.0;344.0;1118.0;12190.0
79;01 Landbouw;2016;31895.0;18981.0;12914.0;35422.0;22261.0;13171.0;2.9;2.9;2.9;90.0;85.3;98.0;2937.0;2332.0;605.0;10562.0;4034.0;6528.0;-585.0;356.0;941.0;12914.0
80;01 Landbouw;2017;34297.0;20052.0;14245.0;36167.0;22840.0;13352.0;2.1;2.6;1.4;94.8;87.8;106.7;3057.0;2442.0;615.0;11750.0;4088.0;7662.0;-562.0;374.0;936.0;14245.0
81;01 Landbouw;2018;33688.0;20372.0;13316.0;35903.0;22713.0;13221.0;-0.7;-0.6;-1.0;93.8;89.7;100.7;3259.0;2587.0;672.0;10695.0;4236.0;6459.0;-638.0;385.0;1023.0;13316.0
82;01 Landbouw;2019;35262.0;21181.0;14081.0;36772.0;23165.0;13629.0;2.4;2.0;3.1;95.9;91.4;103.3;3455.0;2716.0;739.0;11289.0;4451.0;6838.0;-663.0;393.0;1056.0;14081.0
83;01 Landbouw;2020;34752.0;21062.0;13690.0;37165.0;23306.0;13869.0;1.1;0.6;1.8;93.5;90.4;98.7;3591.0;2824.0;767.0;11305.0;4670.0;6635.0;-1206.0;401.0;1607.0;13690.0
84;01 Landbouw;2021;37838.0;23609.0;14229.0;37838.0;23609.0;14229.0;1.8;1.3;2.6;100.0;100.0;100.0;3713.0;2922.0;791.0;11909.0;4857.0;7052.0;-1393.0;378.0;1771.0;14229.0
85;01 Landbouw;2022;44117.0;28347.0;15770.0;36799.0;22668.0;14131.0;-2.7;-4.0;-0.7;119.9;125.1;111.6;3882.0;3050.0;832.0;12786.0;5282.0;7504.0;-898.0;357.0;1255.0;15770.0
86;01 Landbouw;2023;45122.0;27156.0;17966.0;36267.0;22300.0;13971.0;-1.4;-1.6;-1.1;124.4;121.8;128.6;4135.0;3249.0;886.0;14661.0;;;-830.0;381.0;1211.0;17966.0
87;02 Bosbouw;1995;122.0;46.0;76.0;204.0;90.0;105.0;;;;59.8;51.0;72.6;61.0;45.0;16.0;20.0;3.0;17.0;-5.0;1.0;6.0;76.0
88;02 Bosbouw;1996;124.0;49.0;75.0;204.0;96.0;101.0;0.0;6.5;-3.9;60.8;51.0;74.6;62.0;42.0;20.0;19.0;3.0;16.0;-6.0;1.0;7.0;75.0
89;02 Bosbouw;1997;127.0;54.0;73.0;202.0;104.0;94.0;-0.8;8.2;-6.7;62.8;51.9;77.8;58.0;45.0;13.0;21.0;3.0;18.0;-6.0;1.0;7.0;73.0
90;02 Bosbouw;1998;131.0;56.0;75.0;202.0;106.0;93.0;0.0;1.9;-1.4;64.7;52.9;81.0;57.0;45.0;12.0;24.0;3.0;21.0;-6.0;3.0;9.0;75.0
91;02 Bosbouw;1999;141.0;62.0;79.0;212.0;115.0;94.0;4.6;8.9;1.3;66.6;53.7;84.2;61.0;49.0;12.0;23.0;7.0;16.0;-5.0;3.0;8.0;79.0
92;02 Bosbouw;2000;143.0;68.0;75.0;212.0;125.0;88.0;0.0;8.1;-6.3;67.6;54.5;85.4;66.0;49.0;17.0;17.0;7.0;10.0;-8.0;4.0;12.0;75.0
93;02 Bosbouw;2001;154.0;70.0;84.0;220.0;130.0;91.0;4.2;4.4;4.0;69.8;53.8;91.9;72.0;55.0;17.0;22.0;7.0;15.0;-10.0;3.0;13.0;84.0
94;02 Bosbouw;2002;159.0;75.0;84.0;225.0;138.0;90.0;1.9;5.7;-1.2;70.7;54.5;93.1;72.0;55.0;17.0;22.0;8.0;14.0;-10.0;4.0;14.0;84.0
95;02 Bosbouw;2003;162.0;83.0;79.0;228.0;149.0;86.0;1.3;8.0;-4.8;71.2;55.8;91.9;78.0;57.0;21.0;14.0;8.0;6.0;-13.0;4.0;17.0;79.0
96;02 Bosbouw;2004;176.0;88.0;88.0;246.0;156.0;96.0;8.0;4.8;11.4;71.6;56.5;91.9;78.0;57.0;21.0;20.0;8.0;12.0;-10.0;7.0;17.0;88.0
97;02 Bosbouw;2005;188.0;94.0;94.0;258.0;166.0;99.0;5.1;6.8;3.4;72.7;56.5;94.9;68.0;51.0;17.0;37.0;9.0;28.0;-11.0;6.0;17.0;94.0
98;02 Bosbouw;2006;201.0;105.0;96.0;274.0;179.0;103.0;5.9;7.4;4.3;73.5;58.7;93.0;69.0;52.0;17.0;37.0;9.0;28.0;-10.0;6.0;16.0;96.0
99;02 Bosbouw;2007;202.0;113.0;89.0;275.0;191.0;97.0;0.5;6.7;-6.3;73.5;59.2;91.9;74.0;56.0;18.0;21.0;9.0;12.0;-6.0;8.0;14.0;89.0
100;02 Bosbouw;2008;219.0;124.0;95.0;294.0;204.0;103.0;6.9;7.1;6.7;74.5;60.7;91.9;72.0;59.0;13.0;27.0;10.0;17.0;-4.0;6.0;10.0;95.0
101;02 Bosbouw;2009;225.0;124.0;101.0;302.0;203.0;111.0;2.7;-0.8;7.4;74.5;61.2;91.0;77.0;61.0;16.0;25.0;10.0;15.0;-1.0;6.0;7.0;101.0
102;02 Bosbouw;2010;236.0;128.0;108.0;315.0;204.0;121.0;4.4;0.8;8.9;74.8;62.7;89.4;87.0;68.0;19.0;25.0;11.0;14.0;-4.0;5.0;9.0;108.0
103;02 Bosbouw;2011;242.0;126.0;116.0;303.0;193.0;119.0;-3.8;-5.5;-1.9;79.8;65.2;97.8;84.0;65.0;19.0;35.0;11.0;24.0;-3.0;5.0;8.0;116.0
104;02 Bosbouw;2012;257.0;134.0;123.0;308.0;195.0;122.0;1.7;0.8;2.6;83.3;68.8;101.1;84.0;63.0;21.0;46.0;11.0;35.0;-7.0;1.0;8.0;123.0
105;02 Bosbouw;2013;271.0;147.0;124.0;324.0;212.0;123.0;5.1;9.0;0.8;83.6;69.3;101.1;84.0;65.0;19.0;44.0;11.0;33.0;-4.0;4.0;8.0;124.0
106;02 Bosbouw;2014;258.0;138.0;120.0;313.0;202.0;121.0;-3.3;-4.8;-1.6;82.4;68.3;99.5;83.0;64.0;19.0;44.0;11.0;33.0;-7.0;1.0;8.0;120.0
107;02 Bosbouw;2015;264.0;136.0;128.0;324.0;199.0;132.0;3.5;-1.4;9.2;81.4;68.3;97.2;83.0;64.0;19.0;52.0;11.0;41.0;-7.0;1.0;8.0;128.0
108;02 Bosbouw;2016;266.0;135.0;131.0;314.0;189.0;131.0;-3.0;-5.1;-0.8;84.6;71.5;100.2;90.0;70.0;20.0;46.0;12.0;34.0;-5.0;2.0;7.0;131.0
109;02 Bosbouw;2017;274.0;134.0;140.0;308.0;175.0;136.0;-1.9;-7.4;3.8;88.8;76.7;103.2;99.0;77.0;22.0;46.0;13.0;33.0;-5.0;2.0;7.0;140.0
110;02 Bosbouw;2018;321.0;163.0;158.0;351.0;197.0;156.0;13.9;12.7;15.0;91.4;82.7;101.3;106.0;81.0;25.0;56.0;13.0;43.0;-4.0;4.0;8.0;158.0
111;02 Bosbouw;2019;351.0;180.0;171.0;368.0;197.0;171.0;4.7;0.0;9.5;95.5;91.4;100.1;112.0;85.0;27.0;63.0;14.0;49.0;-4.0;4.0;8.0;171.0
112;02 Bosbouw;2020;349.0;180.0;169.0;370.0;194.0;176.0;0.6;-1.7;2.9;94.4;92.9;96.1;119.0;90.0;29.0;56.0;14.0;42.0;-6.0;3.0;9.0;169.0
