ID;Geslacht;Leeftijd;Perioden;Bevolking_1
135;Totaal mannen en vrouwen;2 jaar;2032;202818
136;Totaal mannen en vrouwen;2 jaar;2033;203687
137;Totaal mannen en vrouwen;2 jaar;2034;204151
138;Totaal mannen en vrouwen;2 jaar;2035;204204
139;Totaal mannen en vrouwen;2 jaar;2036;203946
140;Totaal mannen en vrouwen;2 jaar;2037;203368
141;Totaal mannen en vrouwen;2 jaar;2038;202677
142;Totaal mannen en vrouwen;2 jaar;2039;201920
143;Totaal mannen en vrouwen;2 jaar;2040;200866
144;Totaal mannen en vrouwen;2 jaar;2041;199626
145;Totaal mannen en vrouwen;2 jaar;2042;198307
146;Totaal mannen en vrouwen;2 jaar;2043;197040
147;Totaal mannen en vrouwen;2 jaar;2044;195836
148;Totaal mannen en vrouwen;2 jaar;2045;194741
149;Totaal mannen en vrouwen;2 jaar;2046;193796
150;Totaal mannen en vrouwen;2 jaar;2047;193033
151;Totaal mannen en vrouwen;2 jaar;2048;192415
152;Totaal mannen en vrouwen;2 jaar;2049;191957
153;Totaal mannen en vrouwen;2 jaar;2050;191669
154;Totaal mannen en vrouwen;2 jaar;2051;191609
155;Totaal mannen en vrouwen;2 jaar;2052;191856
156;Totaal mannen en vrouwen;2 jaar;2053;192429
157;Totaal mannen en vrouwen;2 jaar;2054;193303
158;Totaal mannen en vrouwen;2 jaar;2055;194437
159;Totaal mannen en vrouwen;2 jaar;2056;195805
160;Totaal mannen en vrouwen;2 jaar;2057;197401
161;Totaal mannen en vrouwen;2 jaar;2058;199145
162;Totaal mannen en vrouwen;2 jaar;2059;201001
163;Totaal mannen en vrouwen;2 jaar;2060;202870
164;Totaal mannen en vrouwen;3 jaar;2020;175589
165;Totaal mannen en vrouwen;3 jaar;2021;173761
166;Totaal mannen en vrouwen;3 jaar;2022;173120
167;Totaal mannen en vrouwen;3 jaar;2023;175569
168;Totaal mannen en vrouwen;3 jaar;2024;175612
169;Totaal mannen en vrouwen;3 jaar;2025;178452
170;Totaal mannen en vrouwen;3 jaar;2026;182043
171;Totaal mannen en vrouwen;3 jaar;2027;186436
172;Totaal mannen en vrouwen;3 jaar;2028;190578
173;Totaal mannen en vrouwen;3 jaar;2029;194017
174;Totaal mannen en vrouwen;3 jaar;2030;197520
175;Totaal mannen en vrouwen;3 jaar;2031;200382
176;Totaal mannen en vrouwen;3 jaar;2032;202576
177;Totaal mannen en vrouwen;3 jaar;2033;204029
178;Totaal mannen en vrouwen;3 jaar;2034;204890
179;Totaal mannen en vrouwen;3 jaar;2035;205350
180;Totaal mannen en vrouwen;3 jaar;2036;205402
181;Totaal mannen en vrouwen;3 jaar;2037;205143
182;Totaal mannen en vrouwen;3 jaar;2038;204566
183;Totaal mannen en vrouwen;3 jaar;2039;203876
184;Totaal mannen en vrouwen;3 jaar;2040;203117
185;Totaal mannen en vrouwen;3 jaar;2041;202060
186;Totaal mannen en vrouwen;3 jaar;2042;200825
187;Totaal mannen en vrouwen;3 jaar;2043;199512
188;Totaal mannen en vrouwen;3 jaar;2044;198246
189;Totaal mannen en vrouwen;3 jaar;2045;197046
190;Totaal mannen en vrouwen;3 jaar;2046;195952
191;Totaal mannen en vrouwen;3 jaar;2047;195011
192;Totaal mannen en vrouwen;3 jaar;2048;194256
193;Totaal mannen en vrouwen;3 jaar;2049;193643
194;Totaal mannen en vrouwen;3 jaar;2050;193188
195;Totaal mannen en vrouwen;3 jaar;2051;192904
196;Totaal mannen en vrouwen;3 jaar;2052;192847
197;Totaal mannen en vrouwen;3 jaar;2053;193098
198;Totaal mannen en vrouwen;3 jaar;2054;193672
199;Totaal mannen en vrouwen;3 jaar;2055;194553
200;Totaal mannen en vrouwen;3 jaar;2056;195690
201;Totaal mannen en vrouwen;3 jaar;2057;197058
202;Totaal mannen en vrouwen;3 jaar;2058;198654
203;Totaal mannen en vrouwen;3 jaar;2059;200396
204;Totaal mannen en vrouwen;3 jaar;2060;202252
205;Totaal mannen en vrouwen;4 jaar;2020;174915
206;Totaal mannen en vrouwen;4 jaar;2021;176881
207;Totaal mannen en vrouwen;4 jaar;2022;175051
208;Totaal mannen en vrouwen;4 jaar;2023;174364
209;Totaal mannen en vrouwen;4 jaar;2024;176778
210;Totaal mannen en vrouwen;4 jaar;2025;176810
211;Totaal mannen en vrouwen;4 jaar;2026;179632
212;Totaal mannen en vrouwen;4 jaar;2027;183210
213;Totaal mannen en vrouwen;4 jaar;2028;187602
214;Totaal mannen en vrouwen;4 jaar;2029;191736
215;Totaal mannen en vrouwen;4 jaar;2030;195149
216;Totaal mannen en vrouwen;4 jaar;2031;198633
217;Totaal mannen en vrouwen;4 jaar;2032;201481
218;Totaal mannen en vrouwen;4 jaar;2033;203663
219;Totaal mannen en vrouwen;4 jaar;2034;205105
220;Totaal mannen en vrouwen;4 jaar;2035;205968
221;Totaal mannen en vrouwen;4 jaar;2036;206427
222;Totaal mannen en vrouwen;4 jaar;2037;206478
223;Totaal mannen en vrouwen;4 jaar;2038;206216
224;Totaal mannen en vrouwen;4 jaar;2039;205641
225;Totaal mannen en vrouwen;4 jaar;2040;204954
226;Totaal mannen en vrouwen;4 jaar;2041;204192
227;Totaal mannen en vrouwen;4 jaar;2042;203138
