ID;Feedstocks;Destination;Periods;TotalSupply_1;IndigenousProduction_2;ProductionFromCrudeOil_3;ProductionFromOtherSources_4;Imports_5;Exports_6;StockChange_7;TotalConsumption_8;Processing_9;FinalConsumption_10;OpeningStock_11;ClosingStock_12;StockChange_13
50;Total crude;Total for processing and transit;1994;58843.0;4352.0;;;97933.0;43189.0;-253.0;58843.0;58843.0;;6557.0;6810.0;-253.0
51;Total crude;Total for processing and transit;1995;62523.0;3523.0;;;98104.0;39342.0;237.0;62523.0;62523.0;;6810.0;6573.0;237.0
52;Total crude;Total for processing and transit;1996;63577.0;3188.0;;;104593.0;44444.0;240.0;63577.0;63577.0;;6573.0;6333.0;240.0
53;Total crude;Total for processing and transit;1997;63488.0;3026.0;;;104739.0;44104.0;-172.0;63488.0;63488.0;;6333.0;6505.0;-172.0
54;Total crude;Total for processing and transit;1998;64801.0;2736.0;;;107376.0;44515.0;-796.0;64801.0;64801.0;;6505.0;7301.0;-796.0
55;Total crude;Total for processing and transit;1999;61337.0;2580.0;;;101222.0;43729.0;1263.0;61337.0;61337.0;;7301.0;6038.0;1263.0
56;Total crude;Total for processing and transit;2000 January;5251.0;238.0;;;8619.0;3788.0;182.0;5251.0;5251.0;;6038.0;5856.0;182.0
57;Total crude;Total for processing and transit;2000 February;4982.0;209.0;;;8585.0;3321.0;-490.0;4982.0;4982.0;;5856.0;6346.0;-490.0
58;Total crude;Total for processing and transit;2000 March;5008.0;221.0;;;8477.0;3632.0;-58.0;5008.0;5008.0;;6346.0;6404.0;-58.0
59;Total crude;Total for processing and transit;2000 1st quarter;15241.0;667.0;;;25682.0;10741.0;-366.0;15241.0;15241.0;;6038.0;6404.0;-366.0
60;Total crude;Total for processing and transit;2000 April;4950.0;191.0;;;7945.0;3515.0;329.0;4950.0;4950.0;;6404.0;6076.0;329.0
61;Total crude;Total for processing and transit;2000 May;4497.0;201.0;;;8075.0;2709.0;-1070.0;4497.0;4497.0;;6076.0;7145.0;-1070.0
62;Total crude;Total for processing and transit;2000 June;4755.0;174.0;;;7371.0;2591.0;-199.0;4755.0;4755.0;;7145.0;7344.0;-199.0
63;Total crude;Total for processing and transit;2000 2nd quarter;14202.0;566.0;;;23392.0;8816.0;-940.0;14202.0;14202.0;;6404.0;7344.0;-940.0
64;Total crude;Total for processing and transit;2000 July;5496.0;185.0;;;8808.0;3679.0;183.0;5496.0;5496.0;;7344.0;7161.0;183.0
65;Total crude;Total for processing and transit;2000 August;5464.0;168.0;;;8337.0;4011.0;970.0;5464.0;5464.0;;7161.0;6192.0;970.0
66;Total crude;Total for processing and transit;2000 September;4705.0;159.0;;;9168.0;3657.0;-965.0;4705.0;4705.0;;6192.0;7156.0;-965.0
67;Total crude;Total for processing and transit;2000 3rd quarter;15665.0;511.0;;;26314.0;11347.0;188.0;15665.0;15665.0;;7344.0;7156.0;188.0
68;Total crude;Total for processing and transit;2000 October;5808.0;184.0;;;9040.0;3910.0;494.0;5808.0;5808.0;;7156.0;6662.0;494.0
69;Total crude;Total for processing and transit;2000 November;5329.0;208.0;;;9696.0;4371.0;-203.0;5329.0;5329.0;;6662.0;6865.0;-203.0
70;Total crude;Total for processing and transit;2000 December;5542.0;214.0;;;9186.0;3889.0;31.0;5542.0;5542.0;;6865.0;6834.0;31.0
71;Total crude;Total for processing and transit;2000 4th quarter;16680.0;606.0;;;27922.0;12170.0;322.0;16680.0;16680.0;;7156.0;6834.0;322.0
72;Total crude;Total for processing and transit;2000;61788.0;2351.0;;;103308.0;43075.0;-796.0;61788.0;61788.0;;6038.0;6834.0;-796.0
73;Total crude;Total for processing and transit;2001 January;5613.0;221.0;;;9687.0;4141.0;-154.0;5613.0;5613.0;;6834.0;6988.0;-154.0
74;Total crude;Total for processing and transit;2001 February;4925.0;190.0;;;7396.0;3269.0;608.0;4925.0;4925.0;;6988.0;6380.0;608.0
75;Total crude;Total for processing and transit;2001 March;5286.0;200.0;;;9831.0;3171.0;-1574.0;5286.0;5286.0;;6380.0;7954.0;-1574.0
76;Total crude;Total for processing and transit;2001 1st quarter;15824.0;610.0;;;26915.0;10581.0;-1120.0;15824.0;15824.0;;6834.0;7954.0;-1120.0
77;Total crude;Total for processing and transit;2001 April;5418.0;183.0;;;8292.0;3019.0;-38.0;5418.0;5418.0;;7954.0;7992.0;-38.0
78;Total crude;Total for processing and transit;2001 May;5383.0;144.0;;;8615.0;3815.0;438.0;5383.0;5383.0;;7992.0;7554.0;438.0
79;Total crude;Total for processing and transit;2001 June;4742.0;157.0;;;7343.0;3271.0;513.0;4742.0;4742.0;;7554.0;7041.0;513.0
80;Total crude;Total for processing and transit;2001 2nd quarter;15543.0;485.0;;;24250.0;10105.0;913.0;15543.0;15543.0;;7954.0;7041.0;913.0
81;Total crude;Total for processing and transit;2001 July;4971.0;160.0;;;9133.0;3844.0;-478.0;4971.0;4971.0;;7041.0;7519.0;-478.0
82;Total crude;Total for processing and transit;2001 August;5507.0;148.0;;;9107.0;3757.0;10.0;5507.0;5507.0;;7519.0;7509.0;10.0
83;Total crude;Total for processing and transit;2001 September;4860.0;139.0;;;9017.0;3462.0;-834.0;4860.0;4860.0;;7509.0;8343.0;-834.0
84;Total crude;Total for processing and transit;2001 3rd quarter;15338.0;447.0;;;27257.0;11063.0;-1302.0;15338.0;15338.0;;7041.0;8343.0;-1302.0
85;Total crude;Total for processing and transit;2001 October;5160.0;128.0;;;7459.0;3287.0;859.0;5160.0;5160.0;;8343.0;7484.0;859.0
86;Total crude;Total for processing and transit;2001 November;5250.0;140.0;;;7532.0;2986.0;564.0;5250.0;5250.0;;7484.0;6920.0;564.0
87;Total crude;Total for processing and transit;2001 December;5020.0;453.0;;;8968.0;3742.0;-659.0;5020.0;5020.0;;6920.0;7579.0;-659.0
88;Total crude;Total for processing and transit;2001 4th quarter;15430.0;721.0;;;23959.0;10015.0;764.0;15430.0;15430.0;;8343.0;7579.0;764.0
89;Total crude;Total for processing and transit;2001;62135.0;2264.0;;;102381.0;41764.0;-745.0;62135.0;62135.0;;6834.0;7579.0;-745.0
90;Total crude;Total for processing and transit;2002 January;5090.0;275.0;;;8665.0;3945.0;95.0;5090.0;5090.0;;7579.0;7484.0;95.0
91;Total crude;Total for processing and transit;2002 February;5013.0;256.0;;;8331.0;3651.0;77.0;5013.0;5013.0;;7484.0;7407.0;77.0
92;Total crude;Total for processing and transit;2002 March;5441.0;279.0;;;8952.0;3478.0;-311.0;5441.0;5441.0;;7407.0;7718.0;-311.0
93;Total crude;Total for processing and transit;2002 1st quarter;15544.0;810.0;;;25947.0;11074.0;-139.0;15544.0;15544.0;;7579.0;7718.0;-139.0
94;Total crude;Total for processing and transit;2002 April;4232.0;269.0;;;7473.0;3836.0;326.0;4232.0;4232.0;;7718.0;7393.0;326.0
95;Total crude;Total for processing and transit;2002 May;4650.0;273.0;;;8274.0;3976.0;79.0;4650.0;4650.0;;7393.0;7314.0;79.0
96;Total crude;Total for processing and transit;2002 June;4564.0;237.0;;;8770.0;3801.0;-642.0;4564.0;4564.0;;7314.0;7956.0;-642.0
97;Total crude;Total for processing and transit;2002 2nd quarter;13445.0;779.0;;;24517.0;11613.0;-237.0;13445.0;13445.0;;7718.0;7956.0;-237.0
98;Total crude;Total for processing and transit;2002 July;4564.0;203.0;;;7697.0;3878.0;541.0;4564.0;4564.0;;7956.0;7415.0;541.0
99;Total crude;Total for processing and transit;2002 August;4759.0;232.0;;;9187.0;4068.0;-592.0;4759.0;4759.0;;7415.0;8006.0;-592.0
100;Total crude;Total for processing and transit;2002 September;4749.0;269.0;;;7351.0;3744.0;873.0;4749.0;4749.0;;8006.0;7134.0;873.0
101;Total crude;Total for processing and transit;2002 3rd quarter;14071.0;704.0;;;24235.0;11690.0;822.0;14071.0;14071.0;;7956.0;7134.0;822.0
102;Total crude;Total for processing and transit;2002 October;4663.0;273.0;;;8900.0;3987.0;-523.0;4663.0;4663.0;;7134.0;7657.0;-523.0
103;Total crude;Total for processing and transit;2002 November;4746.0;266.0;;;7535.0;3702.0;648.0;4746.0;4746.0;;7657.0;7010.0;648.0
104;Total crude;Total for processing and transit;2002 December;5046.0;242.0;;;8608.0;3873.0;68.0;5046.0;5046.0;;7010.0;6941.0;68.0
105;Total crude;Total for processing and transit;2002 4th quarter;14454.0;781.0;;;25043.0;11562.0;193.0;14454.0;14454.0;;7134.0;6941.0;193.0
106;Total crude;Total for processing and transit;2002;57514.0;3074.0;;;99742.0;45939.0;638.0;57514.0;57514.0;;7579.0;6941.0;638.0
107;Total crude;Total for processing and transit;2003 January;4949.0;297.0;;;8322.0;4206.0;536.0;4949.0;4949.0;;6941.0;6405.0;536.0
108;Total crude;Total for processing and transit;2003 February;4671.0;252.0;;;7715.0;3633.0;336.0;4671.0;4671.0;;6405.0;6069.0;336.0
109;Total crude;Total for processing and transit;2003 March;4656.0;278.0;;;9090.0;4246.0;-465.0;4656.0;4656.0;;6069.0;6535.0;-465.0
110;Total crude;Total for processing and transit;2003 1st quarter;14275.0;828.0;;;25127.0;12086.0;407.0;14275.0;14275.0;;6941.0;6535.0;407.0
111;Total crude;Total for processing and transit;2003 April;4822.0;273.0;;;9174.0;4078.0;-548.0;4822.0;4822.0;;6535.0;7083.0;-548.0
112;Total crude;Total for processing and transit;2003 May;5303.0;240.0;;;8542.0;4099.0;621.0;5303.0;5303.0;;7083.0;6462.0;621.0
113;Total crude;Total for processing and transit;2003 June;4987.0;217.0;;;8814.0;3846.0;-198.0;4987.0;4987.0;;6462.0;6661.0;-198.0
114;Total crude;Total for processing and transit;2003 2nd quarter;15112.0;731.0;;;26530.0;12023.0;-126.0;15112.0;15112.0;;6535.0;6661.0;-126.0
115;Total crude;Total for processing and transit;2003 July;5367.0;237.0;;;8784.0;3996.0;342.0;5367.0;5367.0;;6661.0;6318.0;342.0
116;Total crude;Total for processing and transit;2003 August;5284.0;243.0;;;9405.0;3741.0;-623.0;5284.0;5284.0;;6318.0;6941.0;-623.0
117;Total crude;Total for processing and transit;2003 September;5162.0;191.0;;;8324.0;3959.0;606.0;5162.0;5162.0;;6941.0;6335.0;606.0
118;Total crude;Total for processing and transit;2003 3rd quarter;15813.0;671.0;;;26513.0;11696.0;326.0;15813.0;15813.0;;6661.0;6335.0;326.0
119;Total crude;Total for processing and transit;2003 October;4805.0;260.0;;;9125.0;3858.0;-722.0;4805.0;4805.0;;6335.0;7057.0;-722.0
120;Total crude;Total for processing and transit;2003 November;4590.0;280.0;;;7935.0;3849.0;223.0;4590.0;4590.0;;7057.0;6834.0;223.0
121;Total crude;Total for processing and transit;2003 December;5350.0;307.0;;;8269.0;4102.0;875.0;5350.0;5350.0;;6834.0;5958.0;875.0
122;Total crude;Total for processing and transit;2003 4th quarter;14745.0;847.0;;;25329.0;11808.0;376.0;14745.0;14745.0;;6335.0;5958.0;376.0
123;Total crude;Total for processing and transit;2003;59945.0;3076.0;;;103499.0;47613.0;983.0;59945.0;59945.0;;6941.0;5958.0;983.0
124;Total crude;Total for processing and transit;2004 January;5665.0;291.0;;;9798.0;3820.0;-604.0;5665.0;5665.0;;5958.0;6562.0;-604.0
125;Total crude;Total for processing and transit;2004 February;5306.0;275.0;;;8931.0;3828.0;-73.0;5306.0;5306.0;;6562.0;6635.0;-73.0
126;Total crude;Total for processing and transit;2004 March;5410.0;291.0;;;9585.0;3884.0;-582.0;5410.0;5410.0;;6635.0;7217.0;-582.0
127;Total crude;Total for processing and transit;2004 1st quarter;16381.0;857.0;;;28314.0;11532.0;-1258.0;16381.0;16381.0;;5958.0;7217.0;-1258.0
128;Total crude;Total for processing and transit;2004 April;5259.0;240.0;;;8421.0;3707.0;305.0;5259.0;5259.0;;7217.0;6911.0;305.0
129;Total crude;Total for processing and transit;2004 May;5598.0;221.0;;;9413.0;3722.0;-314.0;5598.0;5598.0;;6911.0;7225.0;-314.0
130;Total crude;Total for processing and transit;2004 June;5368.0;268.0;;;8864.0;4524.0;760.0;5368.0;5368.0;;7225.0;6465.0;760.0
131;Total crude;Total for processing and transit;2004 2nd quarter;16226.0;729.0;;;26698.0;11953.0;751.0;16226.0;16226.0;;7217.0;6465.0;751.0
132;Total crude;Total for processing and transit;2004 July;5547.0;243.0;;;9151.0;4312.0;464.0;5547.0;5547.0;;6465.0;6001.0;464.0
133;Total crude;Total for processing and transit;2004 August;5422.0;237.0;;;9883.0;3962.0;-735.0;5422.0;5422.0;;6001.0;6736.0;-735.0
134;Total crude;Total for processing and transit;2004 September;4580.0;236.0;;;8036.0;3666.0;-26.0;4580.0;4580.0;;6736.0;6762.0;-26.0
135;Total crude;Total for processing and transit;2004 3rd quarter;15549.0;716.0;;;27070.0;11940.0;-297.0;15549.0;15549.0;;6465.0;6762.0;-297.0
136;Total crude;Total for processing and transit;2004 October;4177.0;238.0;;;8058.0;3723.0;-396.0;4177.0;4177.0;;6762.0;7159.0;-396.0
137;Total crude;Total for processing and transit;2004 November;4372.0;169.0;;;8895.0;4075.0;-617.0;4372.0;4372.0;;7159.0;7776.0;-617.0
138;Total crude;Total for processing and transit;2004 December;5357.0;182.0;;;7712.0;4081.0;1545.0;5357.0;5357.0;;7776.0;6231.0;1545.0
139;Total crude;Total for processing and transit;2004 4th quarter;13906.0;589.0;;;24665.0;11879.0;531.0;13906.0;13906.0;;6762.0;6231.0;531.0
140;Total crude;Total for processing and transit;2004;62062.0;2891.0;;;106748.0;47304.0;-273.0;62062.0;62062.0;;5958.0;6231.0;-273.0
141;Total crude;Total for processing and transit;2005 January;5448.0;263.0;;;9285.0;3971.0;-130.0;5448.0;5448.0;;6231.0;6361.0;-130.0
142;Total crude;Total for processing and transit;2005 February;4806.0;214.0;;;8719.0;3923.0;-204.0;4806.0;4806.0;;6361.0;6565.0;-204.0
143;Total crude;Total for processing and transit;2005 March;4911.0;243.0;;;9110.0;3990.0;-452.0;4911.0;4911.0;;6565.0;7018.0;-452.0
144;Total crude;Total for processing and transit;2005 1st quarter;15165.0;720.0;;;27114.0;11883.0;-786.0;15165.0;15165.0;;6231.0;7018.0;-786.0
145;Total crude;Total for processing and transit;2005 April;5364.0;200.0;;;8412.0;3938.0;690.0;5364.0;5364.0;;7018.0;6328.0;690.0
146;Total crude;Total for processing and transit;2005 May;5698.0;229.0;;;9974.0;3583.0;-922.0;5698.0;5698.0;;6328.0;7249.0;-922.0
147;Total crude;Total for processing and transit;2005 June;5199.0;196.0;;;8333.0;3151.0;-179.0;5199.0;5199.0;;7249.0;7428.0;-179.0
148;Total crude;Total for processing and transit;2005 2nd quarter;16261.0;624.0;;;26720.0;10672.0;-410.0;16261.0;16261.0;;7018.0;7428.0;-410.0
149;Total crude;Total for processing and transit;2005 July;4792.0;227.0;;;8433.0;3556.0;-311.0;4792.0;4792.0;;7428.0;7739.0;-311.0
150;Total crude;Total for processing and transit;2005 August;5011.0;183.0;;;8895.0;3943.0;-124.0;5011.0;5011.0;;7739.0;7864.0;-124.0
151;Total crude;Total for processing and transit;2005 September;5106.0;161.0;;;8392.0;3905.0;458.0;5106.0;5106.0;;7864.0;7406.0;458.0
152;Total crude;Total for processing and transit;2005 3rd quarter;14910.0;572.0;;;25720.0;11405.0;23.0;14910.0;14910.0;;7428.0;7406.0;23.0
153;Total crude;Total for processing and transit;2005 October;5306.0;143.0;;;8890.0;3892.0;165.0;5306.0;5306.0;;7406.0;7240.0;165.0
154;Total crude;Total for processing and transit;2005 November;5451.0;124.0;;;8405.0;3726.0;648.0;5451.0;5451.0;;7240.0;6592.0;648.0
155;Total crude;Total for processing and transit;2005 December;5529.0;86.0;;;9631.0;4042.0;-146.0;5529.0;5529.0;;6592.0;6738.0;-146.0
156;Total crude;Total for processing and transit;2005 4th quarter;16286.0;353.0;;;26926.0;11660.0;667.0;16286.0;16286.0;;7406.0;6738.0;667.0
157;Total crude;Total for processing and transit;2005;62621.0;2269.0;;;106480.0;45621.0;-507.0;62621.0;62621.0;;6231.0;6738.0;-507.0
158;Total crude;Total for processing and transit;2006 January;4889.0;228.0;;;10242.0;4025.0;-1556.0;4889.0;4889.0;;6738.0;8294.0;-1556.0
159;Total crude;Total for processing and transit;2006 February;4976.0;190.0;;;7525.0;3602.0;863.0;4976.0;4976.0;;8294.0;7431.0;863.0
160;Total crude;Total for processing and transit;2006 March;5407.0;190.0;;;9798.0;3866.0;-715.0;5407.0;5407.0;;7431.0;8147.0;-715.0
161;Total crude;Total for processing and transit;2006 1st quarter;15272.0;608.0;;;27565.0;11493.0;-1408.0;15272.0;15272.0;;6738.0;8147.0;-1408.0
162;Total crude;Total for processing and transit;2006 April;4601.0;168.0;;;7666.0;3835.0;601.0;4601.0;4601.0;;8147.0;7545.0;601.0
163;Total crude;Total for processing and transit;2006 May;4881.0;176.0;;;9199.0;4100.0;-394.0;4881.0;4881.0;;7545.0;7940.0;-394.0
164;Total crude;Total for processing and transit;2006 June;4976.0;165.0;;;8648.0;3929.0;91.0;4976.0;4976.0;;7940.0;7849.0;91.0
165;Total crude;Total for processing and transit;2006 2nd quarter;14457.0;509.0;;;25513.0;11863.0;298.0;14457.0;14457.0;;8147.0;7849.0;298.0
166;Total crude;Total for processing and transit;2006 July;5002.0;139.0;;;8680.0;3772.0;-44.0;5002.0;5002.0;;7849.0;7893.0;-44.0
167;Total crude;Total for processing and transit;2006 August;5141.0;116.0;;;8463.0;3835.0;397.0;5141.0;5141.0;;7893.0;7496.0;397.0
168;Total crude;Total for processing and transit;2006 September;5100.0;109.0;;;8797.0;3691.0;-114.0;5100.0;5100.0;;7496.0;7611.0;-114.0
169;Total crude;Total for processing and transit;2006 3rd quarter;15244.0;364.0;;;25940.0;11298.0;238.0;15244.0;15244.0;;7849.0;7611.0;238.0
170;Total crude;Total for processing and transit;2006 October;5383.0;116.0;;;8955.0;3754.0;66.0;5383.0;5383.0;;7611.0;7544.0;66.0
171;Total crude;Total for processing and transit;2006 November;5321.0;179.0;;;7846.0;2596.0;-108.0;5321.0;5321.0;;7544.0;7653.0;-108.0
172;Total crude;Total for processing and transit;2006 December;5357.0;246.0;;;8151.0;3386.0;346.0;5357.0;5357.0;;7653.0;7307.0;346.0
173;Total crude;Total for processing and transit;2006 4th quarter;16061.0;541.0;;;24952.0;9736.0;304.0;16061.0;16061.0;;7611.0;7307.0;304.0
174;Total crude;Total for processing and transit;2006;61034.0;2022.0;;;103969.0;44390.0;-568.0;61034.0;61034.0;;6738.0;7307.0;-568.0
175;Total crude;Total for processing and transit;2007 January;5385.0;253.0;41.0;39.0;8863.0;4117.0;305.0;5385.0;5104.0;281.0;7658.0;7353.0;305.0
176;Total crude;Total for processing and transit;2007 February;4530.0;223.0;28.0;40.0;8095.0;3941.0;85.0;4530.0;4372.0;158.0;7353.0;7268.0;85.0
177;Total crude;Total for processing and transit;2007 March;4615.0;238.0;31.0;47.0;8631.0;3857.0;-475.0;4615.0;4390.0;225.0;7268.0;7743.0;-475.0
178;Total crude;Total for processing and transit;2007 1st quarter;14530.0;714.0;100.0;126.0;25589.0;11915.0;-85.0;14530.0;13866.0;664.0;7658.0;7743.0;-85.0
179;Total crude;Total for processing and transit;2007 April;5016.0;234.0;40.0;29.0;8106.0;3345.0;-49.0;5016.0;4866.0;150.0;7743.0;7792.0;-49.0
180;Total crude;Total for processing and transit;2007 May;5093.0;218.0;41.0;28.0;9119.0;3480.0;-833.0;5093.0;5004.0;89.0;7792.0;8625.0;-833.0
181;Total crude;Total for processing and transit;2007 June;4721.0;222.0;34.0;40.0;7802.0;4071.0;694.0;4721.0;4500.0;221.0;8625.0;7931.0;694.0
182;Total crude;Total for processing and transit;2007 2nd quarter;14830.0;674.0;115.0;97.0;25027.0;10896.0;-188.0;14830.0;14370.0;460.0;7743.0;7931.0;-188.0
183;Total crude;Total for processing and transit;2007 July;5245.0;191.0;43.0;38.0;8896.0;4054.0;132.0;5245.0;5081.0;164.0;7931.0;7800.0;132.0
184;Total crude;Total for processing and transit;2007 August;5483.0;202.0;39.0;25.0;9430.0;4277.0;64.0;5483.0;5280.0;203.0;7800.0;7735.0;64.0
185;Total crude;Total for processing and transit;2007 September;5366.0;180.0;35.0;59.0;9330.0;4027.0;-211.0;5366.0;5202.0;164.0;7735.0;7946.0;-211.0
186;Total crude;Total for processing and transit;2007 3rd quarter;16094.0;573.0;117.0;122.0;27656.0;12358.0;-15.0;16094.0;15563.0;531.0;7931.0;7946.0;-15.0
187;Total crude;Total for processing and transit;2007 October;5214.0;203.0;37.0;32.0;8538.0;4313.0;718.0;5214.0;4955.0;258.0;7946.0;7228.0;718.0
188;Total crude;Total for processing and transit;2007 November;4737.0;205.0;48.0;37.0;9738.0;4275.0;-1015.0;4737.0;4498.0;240.0;7228.0;8244.0;-1015.0
189;Total crude;Total for processing and transit;2007 December;5440.0;208.0;46.0;50.0;9249.0;4227.0;112.0;5440.0;5276.0;164.0;8244.0;8131.0;112.0
190;Total crude;Total for processing and transit;2007 4th quarter;15391.0;616.0;131.0;119.0;27525.0;12815.0;-185.0;15391.0;14729.0;662.0;7946.0;8131.0;-185.0
191;Total crude;Total for processing and transit;2007;60844.0;2576.0;464.0;464.0;105796.0;47984.0;-473.0;60844.0;58528.0;2316.0;7658.0;8131.0;-473.0
192;Total crude;Total for processing and transit;2008 January;5608.0;218.0;37.0;37.0;8892.0;4230.0;654.0;5608.0;5261.0;346.0;8131.0;7478.0;654.0
193;Total crude;Total for processing and transit;2008 February;4878.0;210.0;22.0;25.0;8590.0;3962.0;-7.0;4878.0;4685.0;193.0;7478.0;7485.0;-7.0
194;Total crude;Total for processing and transit;2008 March;5254.0;219.0;29.0;29.0;10074.0;4114.0;-982.0;5254.0;5064.0;190.0;7485.0;8467.0;-982.0
195;Total crude;Total for processing and transit;2008 1st quarter;15740.0;647.0;88.0;91.0;27556.0;12306.0;-335.0;15740.0;15010.0;729.0;8131.0;8467.0;-335.0
196;Total crude;Total for processing and transit;2008 April;5281.0;173.0;27.0;25.0;8153.0;4272.0;1175.0;5281.0;4995.0;286.0;8467.0;7291.0;1175.0
197;Total crude;Total for processing and transit;2008 May;5346.0;212.0;31.0;51.0;9700.0;4430.0;-217.0;5346.0;5159.0;187.0;7291.0;7509.0;-217.0
198;Total crude;Total for processing and transit;2008 June;5002.0;120.0;33.0;65.0;8882.0;3882.0;-216.0;5002.0;4828.0;174.0;7509.0;7725.0;-216.0
199;Total crude;Total for processing and transit;2008 2nd quarter;15629.0;505.0;91.0;141.0;26735.0;12584.0;742.0;15629.0;14982.0;647.0;8467.0;7725.0;742.0
200;Total crude;Total for processing and transit;2008 July;5220.0;179.0;27.0;39.0;9046.0;4218.0;147.0;5220.0;5009.0;211.0;7725.0;7578.0;147.0
201;Total crude;Total for processing and transit;2008 August;5252.0;171.0;25.0;30.0;9408.0;4497.0;115.0;5252.0;5043.0;209.0;7578.0;7463.0;115.0
