ID;Persoonskenmerken;Perioden;VertrouwenInVerkiezingen_1;Stemcomputer_2;PapierenStembiljet_3;PerTelefoon_4;PerComputerThuis_5;PerPost_6;Kerken_7;Leger_8;Rechters_9;Pers_10;Politie_11;Ambtenaren_12;GroteBedrijven_13;EuropeseUnie_14;NAVO_15;TweedeKamer_16;VertrouwenInAndereMensen_17
111;21080;2006;74.0;80.0;73.0;14.0;32.0;16.0;21.0;60.0;74.0;38.0;69.0;58.0;35.0;33.0;41.0;53.0;63.0
112;21080;2010;71.0;67.0;75.0;;;;17.0;73.0;73.0;36.0;71.0;52.0;46.0;43.0;66.0;59.0;59.0
113;21080;2012;71.0;;;;;;14.0;64.0;76.0;31.0;69.0;39.0;39.0;44.0;60.0;54.0;57.0
114;21070;2006;75.0;82.0;76.0;9.0;32.0;15.0;62.0;60.0;65.0;32.0;71.0;59.0;38.0;41.0;42.0;58.0;57.0
115;21070;2010;68.0;62.0;78.0;;;;47.0;78.0;66.0;29.0;66.0;46.0;50.0;49.0;69.0;58.0;52.0
116;21070;2012;67.0;;;;;;50.0;68.0;71.0;23.0;69.0;32.0;41.0;45.0;58.0;49.0;51.0
117;21050;2006;74.0;79.0;78.0;5.0;28.0;10.0;70.0;61.0;55.0;24.0;73.0;62.0;33.0;38.0;45.0;61.0;60.0
118;21050;2010;77.0;59.0;79.0;;;;70.0;75.0;58.0;29.0;69.0;48.0;47.0;42.0;68.0;66.0;51.0
119;21050;2012;59.0;;;;;;78.0;67.0;65.0;23.0;68.0;45.0;50.0;50.0;57.0;56.0;49.0
120;21040;2006;73.0;76.0;71.0;11.0;27.0;15.0;90.0;74.0;75.0;24.0;78.0;74.0;45.0;36.0;32.0;63.0;61.0
121;21040;2010;75.0;58.0;72.0;;;;88.0;80.0;64.0;33.0;70.0;56.0;51.0;45.0;73.0;56.0;50.0
122;21040;2012;;;;;;;;;;;;;;;;;
123;21060;2006;78.0;86.0;84.0;11.0;32.0;22.0;90.0;83.0;84.0;20.0;77.0;73.0;51.0;31.0;46.0;67.0;72.0
124;21060;2010;92.0;75.0;86.0;;;;78.0;89.0;79.0;30.0;80.0;70.0;56.0;58.0;78.0;75.0;73.0
125;21060;2012;79.0;;;;;;81.0;72.0;68.0;20.0;67.0;46.0;37.0;38.0;67.0;51.0;58.0
126;21090;2006;73.0;73.0;73.0;5.0;27.0;16.0;62.0;51.0;80.0;29.0;69.0;63.0;46.0;34.0;42.0;44.0;47.0
