ID;Perioden;BeginstandVoorraad_1;Nieuwbouw_2;OverigeToevoeging_3;Sloop_4;OverigeOnttrekking_5;Correctie_6;SaldoVoorraad_7;EindstandVoorraad_8
72;1993;6097;87373.0;4155.0;9891.0;3665.0;-1645.0;76328;6174
73;1994;6174;91244.0;5178.0;13166.0;3085.0;-869.0;79302;6253
74;1995;6253;97726.0;5127.0;10812.0;3446.0;-945.0;87649;6341
75;1996;6341;92769.0;5892.0;8574.0;3435.0;-1545.0;85106;6426
76;1997;6426;96353.0;4519.0;10842.0;2233.0;-1176.0;86621;6513
77;1998;6513;94578.0;5184.0;10348.0;3337.0;-528.0;85548;6598
78;1999;6598;82783.0;4160.0;12436.0;2677.0;-922.0;70907;6669
79;2000;6669;74774.0;4359.0;10857.0;3462.0;9.0;64824;6734
80;2001;6734;77181.0;4923.0;12651.0;3804.0;-3236.0;62413;6796
81;2002;6796;71143.0;4879.0;13586.0;3916.0;-535.0;57986;6854
82;2003;6854;64102.0;5599.0;13581.0;5515.0;-1559.0;49046;6903
83;2004;6903;69832.0;6730.0;17011.0;3638.0;-3158.0;52756;6956
84;2005;6956;71541.0;7851.0;14846.0;5498.0;-1627.0;57421;7013
85;2006;7013;77103.0;7763.0;17859.0;5210.0;-3373.0;58425;7072
86;2007;7072;85201.0;7803.0;20664.0;4665.0;-2137.0;65538;7137
87;2008;7137;84174.0;7698.0;19725.0;4149.0;12189.0;80187;7218
88;2009;7218;87835.0;7359.0;15073.0;5054.0;-2958.0;72109;7290
89;2010;7290;60556.0;6493.0;12568.0;3772.0;-1526.0;49183;7339
90;2011;7339;62199.0;8231.0;11232.0;4362.0;-6940.0;47895;7387
91;2012;7387;48668.0;42193.0;13653.0;26278.0;11604.0;62534;7449
92;2013;7449;49311.0;63837.0;12903.0;18427.0;4196.0;86014;7535
93;2014;7535;45170.0;34242.0;10989.0;16151.0;371.0;52643;7588
94;2015;7588;48381.0;30015.0;11519.0;14005.0;464.0;53336;7641
95;2016;7641;54849.0;30819.0;10138.0;31169.0;490.0;44851;7686
96;2017;7686;62982.0;27632.0;12862.0;23154.0;209.0;54807;7741
97;2018;7741;66585.0;26976.0;8759.0;11267.0;386.0;73921;7815
98;2019;7815;71548.0;26525.0;10684.0;11203.0;686.0;76872;7892
99;2020;7892;69985.0;22855.0;10245.0;8286.0;234.0;74543;7966
100;2021;7966;71221.0;25411.0;9925.0;8409.0;952.0;79250;8046
101;2022;8046;74560.0;24077.0;10559.0;8835.0;406.0;79649;8125
102;2023;8125;73638.0;20750.0;9337.0;6555.0;323.0;78819;8204
103;2024;8204;69129.0;20290.0;11814.0;7215.0;30.0;70420;8274
