ID;Bedrijfsactiviteiten;Perioden;TotaalInvesteringen_1;GrondEnTerreinen_2;Bedrijfsruimten_3;GrondWaterEnWegenbouwkWerken_4;ExterneVervoermiddelen_5;InterneTransportmiddelen_6;ComputersEnRandapparatuur_7;OverigeMachinesInstallatiesED_8;OverigeMaterieleVasteActiva_9
30;18    Kleding- en bontindustrie;1995;29.6;1.0;9.2;0.1;3.3;0.5;1.9;11.5;2.0
31;18    Kleding- en bontindustrie;1996;16.9;0.2;4.2;0.0;4.3;0.1;1.8;4.9;1.5
32;18    Kleding- en bontindustrie;1997;23.7;1.4;5.4;0.1;4.9;0.2;1.8;8.5;1.4
33;18    Kleding- en bontindustrie;1998;20.1;0.3;3.6;0.0;3.7;0.1;3.4;6.3;2.7
34;18    Kleding- en bontindustrie;1999;21.7;0.0;3.4;0.0;5.5;0.3;3.0;6.9;2.5
35;19    Leer-, lederw.- en schoenindustrie;1995;11.3;0.0;0.5;0.0;1.9;0.0;0.4;7.9;0.6
36;19    Leer-, lederw.- en schoenindustrie;1996;8.3;0.0;0.9;0.0;1.7;0.0;0.4;4.2;1.0
37;19    Leer-, lederw.- en schoenindustrie;1997;10.7;0.2;0.9;0.0;1.6;0.3;0.5;6.3;0.9
38;19    Leer-, lederw.- en schoenindustrie;1998;14.0;0.5;3.2;0.0;1.3;0.2;0.6;7.2;1.0
39;19    Leer-, lederw.- en schoenindustrie;1999;11.8;0.2;1.0;0.0;1.4;0.1;1.6;4.9;2.6
40;20    Hout-, kurk-, r.ind. (excl. meub.);1995;102.3;4.7;19.2;0.3;12.4;2.3;2.9;42.0;18.6
41;20    Hout-, kurk-, r.ind. (excl. meub.);1996;105.9;7.1;29.4;0.8;11.8;1.7;3.1;45.4;6.6
42;20    Hout-, kurk-, r.ind. (excl. meub.);1997;117.4;9.7;29.9;0.9;11.7;3.2;8.1;46.1;7.8
43;20    Hout-, kurk-, r.ind. (excl. meub.);1998;128.7;5.8;37.6;0.8;12.6;3.1;6.2;58.4;4.4
44;20    Hout-, kurk-, r.ind. (excl. meub.);1999;138.4;5.7;27.0;0.4;14.0;3.6;5.7;71.4;10.5
45;21    Papier(waren)- en karton(w.)ind.;1995;281.9;2.3;41.2;0.6;9.2;9.7;11.4;187.7;19.7
46;21    Papier(waren)- en karton(w.)ind.;1996;335.4;6.2;37.0;1.9;7.4;5.9;10.1;257.7;9.2
47;21    Papier(waren)- en karton(w.)ind.;1997;288.1;2.0;30.4;0.7;10.3;6.6;11.3;217.7;9.1
48;21    Papier(waren)- en karton(w.)ind.;1998;372.4;1.8;44.1;1.1;7.4;4.5;24.0;277.7;11.9
49;21    Papier(waren)- en karton(w.)ind.;1999;345.0;2.9;35.9;4.3;6.6;6.4;26.8;252.6;9.4
50;22    Uitgeverijen, drukkerijen, repro.;1995;593.0;11.9;64.8;0.3;44.9;2.7;83.7;352.1;32.5
51;22    Uitgeverijen, drukkerijen, repro.;1996;646.8;6.1;86.0;0.2;44.8;2.2;97.7;376.9;32.9
52;22    Uitgeverijen, drukkerijen, repro.;1997;672.3;6.4;74.8;0.3;53.2;4.5;116.7;373.8;42.5
53;22    Uitgeverijen, drukkerijen, repro.;1998;855.7;9.7;180.3;1.3;41.5;3.9;111.1;459.4;48.4
54;22    Uitgeverijen, drukkerijen, repro.;1999;659.3;11.8;87.9;0.1;48.5;5.6;117.4;348.7;39.2
55;23    Aardolie-, steenkoolverw. industr.;1995;223.6;0.2;22.1;1.2;3.8;0.1;3.4;186.9;5.9
56;23    Aardolie-, steenkoolverw. industr.;1996;224.1;0.3;12.9;2.8;2.1;0.3;5.3;195.5;4.8
57;23    Aardolie-, steenkoolverw. industr.;1997;1622.5;0.2;64.5;21.4;2.9;6.0;6.8;1514.7;5.9
58;23    Aardolie-, steenkoolverw. industr.;1998;363.7;0.3;9.3;6.2;3.3;0.1;7.4;331.6;5.6
59;23    Aardolie-, steenkoolverw. industr.;1999;123.3;0.0;11.3;4.0;2.7;0.9;5.5;94.9;4.0
60;24    Chemische industrie;1995;1159.6;10.7;166.1;10.6;28.8;11.8;59.0;792.2;80.5
61;24    Chemische industrie;1996;1464.5;2.4;138.0;17.7;22.5;14.8;53.7;1157.2;58.1
62;24    Chemische industrie;1997;1466.4;22.6;139.5;26.4;36.4;15.6;46.9;1132.1;46.9
63;24    Chemische industrie;1998;1723.9;18.5;134.5;26.5;29.2;10.1;50.2;1407.9;47.1
64;24    Chemische industrie;1999;1943.6;16.2;284.3;40.6;30.6;13.6;87.1;1402.1;69.2
65;25    Rubber- en kunststofverw. industr.;1995;301.2;5.7;50.0;0.8;12.8;4.5;10.1;195.4;22.0
66;25    Rubber- en kunststofverw. industr.;1996;366.1;4.8;60.5;2.5;15.0;7.8;16.7;238.5;20.3
67;25    Rubber- en kunststofverw. industr.;1997;294.6;4.9;35.8;1.9;12.7;5.3;14.7;199.2;20.1
68;25    Rubber- en kunststofverw. industr.;1998;361.1;6.4;42.7;1.1;14.6;5.1;17.3;249.9;24.0
69;25    Rubber- en kunststofverw. industr.;1999;338.4;2.9;60.4;2.3;14.4;5.6;19.8;210.1;23.0
70;26    Glas-, aardew.-, cement-, kalkind.;1995;385.0;11.3;68.0;6.2;23.7;11.4;8.8;235.1;20.5
71;26    Glas-, aardew.-, cement-, kalkind.;1996;369.3;11.1;61.2;6.7;27.4;21.1;10.8;218.0;13.0
72;26    Glas-, aardew.-, cement-, kalkind.;1997;377.1;14.1;60.7;6.9;25.6;11.3;13.3;233.9;11.4
73;26    Glas-, aardew.-, cement-, kalkind.;1998;387.9;15.5;46.4;7.0;34.7;14.6;18.1;233.4;18.2
74;26    Glas-, aardew.-, cement-, kalkind.;1999;378.5;8.3;54.5;5.2;34.5;15.7;22.5;220.3;17.4
75;27    Basismetaalindustrie;1995;170.0;0.5;13.3;1.7;4.8;6.3;10.3;128.2;4.8
76;27    Basismetaalindustrie;1996;226.9;2.0;22.7;24.1;4.6;3.3;10.8;154.2;5.2
77;27    Basismetaalindustrie;1997;230.7;1.0;20.0;9.3;4.9;3.4;11.3;173.9;6.7
78;27    Basismetaalindustrie;1998;301.1;1.0;32.1;15.1;4.3;7.4;10.6;226.5;4.0
79;27    Basismetaalindustrie;1999;259.1;0.0;52.8;1.0;7.3;10.6;8.3;171.0;8.0
80;28    Metaalproductenindustrie;1995;477.1;15.9;84.0;2.7;53.5;11.3;28.3;259.7;21.7
81;28    Metaalproductenindustrie;1996;514.2;18.9;99.4;0.9;51.2;9.3;26.3;278.8;29.4
82;28    Metaalproductenindustrie;1997;567.1;21.9;101.9;1.1;51.1;11.4;26.9;310.9;41.8
83;28    Metaalproductenindustrie;1998;632.3;16.5;119.0;1.3;52.8;9.6;46.6;345.7;40.8
84;28    Metaalproductenindustrie;1999;642.3;14.9;122.2;1.7;52.6;9.5;49.7;355.4;36.2
85;29    Machine- en apparatenindustrie;1995;372.2;10.6;77.8;0.5;46.2;5.4;38.1;166.4;27.1
86;29    Machine- en apparatenindustrie;1996;500.8;12.4;142.1;1.9;56.1;6.3;48.0;209.6;24.4
87;29    Machine- en apparatenindustrie;1997;452.3;27.9;102.5;4.1;52.7;5.3;51.7;175.6;32.7
88;29    Machine- en apparatenindustrie;1998;557.0;17.4;106.7;2.4;54.0;5.0;86.4;242.8;42.3
89;29    Machine- en apparatenindustrie;1999;517.4;11.3;89.5;1.6;48.7;5.5;66.0;261.4;33.3
90;30    Kantoormach.- en computerindustrie;1995;50.4;0.4;8.3;0.0;2.8;1.3;5.9;27.5;4.3
91;30    Kantoormach.- en computerindustrie;1996;55.2;0.4;10.5;0.4;1.9;1.0;6.3;31.4;3.4
92;30    Kantoormach.- en computerindustrie;1997;55.1;0.0;8.3;0.0;1.8;1.2;8.4;31.4;4.1
93;30    Kantoormach.- en computerindustrie;1998;79.0;0.4;18.5;0.0;3.1;0.8;11.2;43.2;1.9
94;30    Kantoormach.- en computerindustrie;1999;50.0;0.3;13.7;0.1;2.8;0.4;7.6;22.1;3.0
95;31    Overige elektr. machines en app.;1995;115.3;1.6;18.6;0.6;10.7;1.0;9.0;65.2;8.5
96;31    Overige elektr. machines en app.;1996;115.8;1.7;17.0;0.3;12.2;1.3;10.6;64.9;7.8
97;31    Overige elektr. machines en app.;1997;115.0;1.1;14.4;0.7;12.8;1.7;12.0;61.5;10.7
98;31    Overige elektr. machines en app.;1998;182.7;2.3;56.5;0.4;11.6;1.2;16.1;80.6;14.1
99;31    Overige elektr. machines en app.;1999;163.7;0.6;25.4;0.3;13.7;6.5;14.4;91.1;11.8
100;32    Audio-, video-, telecomapp. ind.;1995;316.6;0.0;27.2;0.7;8.8;2.3;34.9;226.4;16.2
101;32    Audio-, video-, telecomapp. ind.;1996;655.3;2.9;70.0;1.0;10.9;2.4;41.4;505.7;21.1
102;32    Audio-, video-, telecomapp. ind.;1997;401.9;0.3;64.7;0.4;10.6;1.9;26.0;276.4;21.7
103;32    Audio-, video-, telecomapp. ind.;1998;393.7;0.3;37.2;1.0;10.5;1.9;31.9;300.2;10.7
104;32    Audio-, video-, telecomapp. ind.;1999;415.3;0.1;60.2;0.9;25.1;1.1;32.9;285.4;9.6
105;33    Medische en optische app. ind.;1995;95.8;0.8;17.1;2.9;10.2;0.2;10.6;46.1;7.9
106;33    Medische en optische app. ind.;1996;136.2;3.6;41.5;0.1;12.0;0.5;23.9;46.6;8.0
107;33    Medische en optische app. ind.;1997;109.1;1.7;25.0;0.0;12.1;0.5;16.3;47.3;6.2
108;33    Medische en optische app. ind.;1998;109.3;2.6;23.6;0.0;11.1;0.4;17.2;46.3;8.1
109;33    Medische en optische app. ind.;1999;134.9;6.3;38.6;0.2;15.3;0.9;22.0;44.0;7.6
110;34    Auto's, aanhangwagens en opleggers;1995;667.9;1.8;60.7;27.0;13.3;7.9;16.2;519.6;21.3
111;34    Auto's, aanhangwagens en opleggers;1996;203.8;2.6;29.2;2.9;6.8;4.4;8.5;140.6;8.9
112;34    Auto's, aanhangwagens en opleggers;1997;138.4;1.9;29.4;1.5;8.8;4.8;8.6;70.4;13.0
113;34    Auto's, aanhangwagens en opleggers;1998;229.0;2.0;38.8;1.6;9.0;8.4;15.6;135.5;17.9
114;34    Auto's, aanhangwagens en opleggers;1999;204.8;2.0;47.7;2.2;8.4;6.1;16.7;107.9;13.9
115;35    Overige transportmiddelen;1995;96.9;7.9;26.8;3.4;8.8;3.6;11.8;25.4;9.1
116;35    Overige transportmiddelen;1996;93.6;8.0;24.1;2.9;9.2;6.7;5.0;31.6;6.2
117;35    Overige transportmiddelen;1997;121.9;9.3;34.6;7.7;8.4;1.8;7.7;46.4;6.1
118;35    Overige transportmiddelen;1998;125.9;11.0;39.2;2.3;11.1;3.3;14.9;39.3;4.7
119;35    Overige transportmiddelen;1999;128.0;10.5;46.5;2.8;10.6;2.8;12.2;35.8;6.8
120;36    Meubel- en ov. industrie n.e.g.;1995;223.9;6.2;61.4;1.4;24.7;5.5;15.2;89.9;19.6
121;36    Meubel- en ov. industrie n.e.g.;1996;190.6;5.8;34.9;1.5;18.9;3.4;16.8;92.6;16.8
122;36    Meubel- en ov. industrie n.e.g.;1997;286.7;10.0;85.3;1.7;28.5;4.1;21.8;117.8;17.2
123;36    Meubel- en ov. industrie n.e.g.;1998;289.7;5.6;72.2;1.7;35.1;3.4;20.6;125.2;26.0
124;36    Meubel- en ov. industrie n.e.g.;1999;385.7;20.9;113.6;1.6;37.9;7.2;34.4;145.7;24.3
125;37    Voorbereiding tot recycling;1995;9.8;0.9;0.8;0.0;1.3;0.1;0.2;6.1;0.5
126;37    Voorbereiding tot recycling;1996;29.6;3.6;7.1;0.0;3.5;0.4;0.0;10.8;4.2
127;37    Voorbereiding tot recycling;1997;39.8;3.9;6.3;0.0;5.0;1.1;0.0;19.8;3.6
128;37    Voorbereiding tot recycling;1998;62.8;8.5;7.4;0.1;3.6;0.9;0.0;36.2;6.1
129;37    Voorbereiding tot recycling;1999;60.7;5.1;7.8;0.5;7.1;1.9;0.0;34.7;3.6
130;40    Productie en distr. energie en gas;1995;1893.1;11.5;217.3;817.5;17.1;1.0;24.6;786.8;17.4
131;40    Productie en distr. energie en gas;1996;3141.4;12.4;279.0;942.1;12.6;0.9;39.6;1833.1;21.6
132;40    Productie en distr. energie en gas;1997;1600.5;4.8;88.6;728.9;13.8;0.3;48.0;680.7;35.4
133;40    Productie en distr. energie en gas;1998;1390.8;0.7;58.2;711.1;19.0;0.7;48.1;529.7;23.2
134;40    Productie en distr. energie en gas;1999;1429.4;5.8;56.7;436.3;11.4;0.3;36.1;830.4;52.5
135;41    Winning en distributie van water;1995;399.2;10.6;43.1;266.8;4.2;0.2;13.7;46.6;14.0
136;41    Winning en distributie van water;1996;366.4;25.2;60.0;201.4;5.2;0.5;13.2;45.9;14.9
137;41    Winning en distributie van water;1997;356.9;14.0;52.2;203.2;4.9;0.5;16.2;54.0;12.0
138;41    Winning en distributie van water;1998;386.4;7.5;67.9;220.7;4.7;1.3;19.2;56.9;8.1
139;41    Winning en distributie van water;1999;473.3;2.3;94.6;228.1;6.0;0.1;12.1;107.5;22.5
140;45    Bouwnijverheid;1995;1183.8;42.6;179.0;30.5;353.3;33.5;67.7;368.7;108.6
141;45    Bouwnijverheid;1996;1541.2;49.3;224.4;105.5;467.8;30.4;70.3;476.9;116.5
142;45    Bouwnijverheid;1997;1586.7;52.4;226.0;28.3;444.4;43.0;89.3;583.1;120.2
143;45    Bouwnijverheid;1998;1618.2;55.6;200.7;35.8;487.8;41.4;119.3;540.4;137.4
144;45    Bouwnijverheid;1999;2195.3;59.2;275.8;7.4;742.0;52.4;130.7;761.0;166.8
