ID;TotaalHerkomstgroeperingen;Leeftijdsgroepen;Geslacht;Perioden;TotaalBevolkingsgroep_1;k_0Tot5_2;k_5Tot15_3;k_15Tot50_4;MeerDan50_5;Eenpersoonshuishouden_6;PaarZonderKinderen_7;PaarMetKinderen_8;Eenouderhuishouden_9;InstitutioneelHuishouden_10;OverigeTypenHuishouden_11;OnbekendTypeHuishouden_12;HeeftGeenWerk_13;HeeftWelWerk_14;HeeftGeenUitkering_15;HeeftWelUitkering_16;TotaalBevolkingsgroep_17;k_0Tot5_18;k_5Tot15_19;k_15Tot50_20;MeerDan50_21;Eenpersoonshuishouden_22;PaarZonderKinderen_23;PaarMetKinderen_24;Eenouderhuishouden_25;InstitutioneelHuishouden_26;OverigeTypenHuishouden_27;OnbekendTypeHuishouden_28;HeeftGeenWerk_29;HeeftWelWerk_30;HeeftGeenUitkering_31;HeeftWelUitkering_32
16;Totale bevolking;12 tot 18 jaar;Vrouwen;1999;0.5;0.2;0.5;1.2;1.4;1.9;1.8;0.3;1.3;4.6;1.2;2.2;0.5;0.5;0.5;0.8;0.4;0.2;0.5;1.2;1.4;1.8;1.8;0.3;1.1;4.4;1.2;2.4;0.4;0.5;0.4;0.7
17;Totale bevolking;12 tot 18 jaar;Vrouwen;2000;0.5;0.2;0.6;1.1;1.3;2.2;1.5;0.3;1.2;4.4;1.4;1.4;0.5;0.5;0.5;0.7;0.4;0.2;0.5;1.0;1.2;2.0;1.5;0.3;1.0;4.3;1.2;1.5;0.4;0.5;0.4;0.6
18;Totale bevolking;12 tot 18 jaar;Vrouwen;2001;0.6;0.3;0.7;1.3;1.4;2.4;1.8;0.4;1.5;4.7;2.1;2.3;0.6;0.6;0.6;0.8;0.5;0.3;0.6;1.2;1.4;2.4;1.7;0.3;1.3;4.4;2.0;2.3;0.5;0.6;0.5;0.8
19;Totale bevolking;12 tot 18 jaar;Vrouwen;2002;0.6;0.3;0.7;1.4;1.5;2.2;1.3;0.4;1.6;5.5;2.2;2.2;0.6;0.7;0.6;0.9;0.6;0.3;0.7;1.3;1.5;2.1;1.2;0.4;1.4;5.2;2.1;2.3;0.6;0.6;0.6;0.8
20;Totale bevolking;12 tot 18 jaar;Vrouwen;2003;0.7;0.4;0.8;1.4;1.6;2.6;1.8;0.5;1.6;4.9;2.0;2.7;0.7;0.7;0.7;1.0;0.7;0.4;0.8;1.4;1.6;2.6;1.9;0.4;1.5;4.7;1.8;2.7;0.6;0.7;0.6;0.9
21;Totale bevolking;12 tot 18 jaar;Vrouwen;2004;0.8;0.5;0.9;1.6;1.6;2.4;2.3;0.5;1.8;5.5;1.6;2.6;0.8;0.8;0.8;1.1;0.7;0.4;0.9;1.5;1.6;2.4;2.7;0.5;1.7;5.4;1.6;2.6;0.7;0.8;0.7;1.1
22;Totale bevolking;12 tot 18 jaar;Vrouwen;2005;1.0;0.5;1.1;1.8;2.1;3.0;2.1;0.6;2.0;7.9;3.3;3.4;1.0;0.9;1.0;1.0;0.9;0.5;1.1;1.8;2.1;2.8;1.9;0.6;1.9;7.5;3.4;3.5;0.9;0.9;0.9;0.9
23;Totale bevolking;12 tot 18 jaar;Vrouwen;2006*;1.0;;;;;;;;;;;;;;;;0.9;;;;;;;;;;;;;;;
24;Totale bevolking;18 tot 25 jaar;Totaal mannen en vrouwen;1999;2.4;1.7;2.5;3.6;5.8;3.0;1.2;2.0;4.3;6.8;3.5;5.6;3.2;2.1;2.1;5.5;2.2;1.7;2.4;3.2;5.4;2.7;1.1;1.9;4.0;6.3;2.9;5.2;2.8;2.0;2.0;5.1
25;Totale bevolking;18 tot 25 jaar;Totaal mannen en vrouwen;2000;2.4;1.8;2.4;3.6;5.5;3.0;1.2;2.1;4.3;6.6;3.4;5.0;3.2;2.1;2.2;5.0;2.2;1.7;2.3;3.2;5.1;2.7;1.1;2.0;4.0;6.0;2.9;4.6;2.8;2.0;2.0;4.5
26;Totale bevolking;18 tot 25 jaar;Totaal mannen en vrouwen;2001;2.6;1.9;2.6;3.7;5.3;3.2;1.3;2.2;4.5;7.5;3.7;5.2;3.7;2.2;2.4;5.1;2.4;1.9;2.4;3.3;4.8;2.8;1.1;2.1;4.2;6.9;3.1;4.8;3.2;2.1;2.2;4.7
27;Totale bevolking;18 tot 25 jaar;Totaal mannen en vrouwen;2002;2.9;2.1;2.9;4.1;5.7;3.4;1.4;2.5;5.1;7.8;3.7;5.6;4.3;2.4;2.7;5.5;2.7;2.1;2.7;3.7;5.3;3.0;1.3;2.4;4.7;7.2;3.1;5.1;3.8;2.3;2.5;5.1
28;Totale bevolking;18 tot 25 jaar;Totaal mannen en vrouwen;2003;3.2;2.4;3.1;4.4;6.3;3.5;1.5;2.9;5.6;8.4;3.9;6.5;4.8;2.6;3.0;6.4;3.0;2.4;2.9;3.9;5.9;3.1;1.3;2.8;5.2;7.9;3.3;6.0;4.3;2.5;2.7;5.9
29;Totale bevolking;18 tot 25 jaar;Totaal mannen en vrouwen;2004;3.5;2.7;3.4;4.7;6.5;3.8;1.7;3.2;6.2;8.7;4.1;7.2;5.1;2.9;3.3;6.9;3.3;2.7;3.2;4.3;6.2;3.3;1.5;3.1;5.8;8.3;3.4;6.7;4.6;2.8;3.0;6.5
30;Totale bevolking;18 tot 25 jaar;Totaal mannen en vrouwen;2005;3.7;2.9;3.6;4.7;6.5;3.8;1.9;3.4;6.3;8.8;4.2;7.0;5.1;3.1;3.4;7.0;3.5;2.9;3.4;4.3;6.1;3.4;1.7;3.2;6.0;8.2;3.6;6.5;4.7;3.0;3.2;6.6
31;Totale bevolking;18 tot 25 jaar;Totaal mannen en vrouwen;2006*;3.8;;;;;;;;;;;;;;;;3.6;;;;;;;;;;;;;;;
32;Totale bevolking;18 tot 25 jaar;Mannen;1999;4.2;3.0;4.5;6.5;10.0;5.5;3.0;3.4;6.6;10.7;5.9;10.6;5.8;3.7;3.8;9.7;3.9;3.0;4.2;5.7;9.0;4.9;2.7;3.2;6.2;9.8;4.9;9.8;5.1;3.5;3.5;8.9
33;Totale bevolking;18 tot 25 jaar;Mannen;2000;4.2;3.1;4.4;6.3;9.6;5.4;3.0;3.4;6.7;10.0;5.7;9.4;5.8;3.7;3.9;8.9;3.9;3.0;4.0;5.6;8.7;4.8;2.7;3.2;6.3;9.1;4.9;8.8;5.1;3.5;3.6;8.1
34;Totale bevolking;18 tot 25 jaar;Mannen;2001;4.5;3.3;4.5;6.6;9.0;5.6;3.2;3.7;7.0;11.3;6.1;9.3;6.5;3.9;4.2;8.9;4.1;3.3;4.2;5.9;8.1;5.0;2.8;3.4;6.5;10.5;5.3;9.0;5.6;3.7;3.9;8.0
35;Totale bevolking;18 tot 25 jaar;Mannen;2002;5.0;3.7;5.1;7.2;9.9;6.0;3.6;4.1;7.9;11.8;6.1;10.0;7.4;4.3;4.7;9.4;4.6;3.6;4.7;6.4;9.1;5.3;3.2;3.9;7.4;11.0;5.3;9.3;6.5;4.0;4.3;8.7
36;Totale bevolking;18 tot 25 jaar;Mannen;2003;5.5;4.1;5.5;7.6;10.8;6.2;3.7;4.7;8.6;12.4;6.6;11.7;8.2;4.6;5.1;10.7;5.1;4.1;5.2;6.8;10.2;5.5;3.3;4.4;8.0;11.8;5.7;11.0;7.3;4.3;4.7;9.9
37;Totale bevolking;18 tot 25 jaar;Mannen;2004;6.1;4.7;5.9;8.1;11.2;6.7;4.0;5.2;9.6;12.8;6.8;12.7;8.6;5.0;5.6;11.5;5.6;4.6;5.6;7.4;10.5;6.0;3.6;4.9;8.9;12.4;5.9;12.1;7.7;4.8;5.2;10.7
38;Totale bevolking;18 tot 25 jaar;Mannen;2005;6.3;5.0;6.2;8.1;11.1;6.7;4.4;5.4;9.8;12.9;7.1;12.6;8.6;5.3;5.9;11.5;5.9;4.9;5.8;7.4;10.3;6.1;4.1;5.1;9.2;12.1;6.1;11.8;7.8;5.1;5.5;10.8
39;Totale bevolking;18 tot 25 jaar;Mannen;2006*;6.5;;;;;;;;;;;;;;;;6.1;;;;;;;;;;;;;;;
40;Totale bevolking;18 tot 25 jaar;Vrouwen;1999;0.6;0.3;0.6;1.0;1.8;0.7;0.4;0.4;1.5;1.6;0.7;1.5;1.0;0.4;0.4;2.0;0.5;0.3;0.5;0.9;1.7;0.6;0.3;0.3;1.3;1.5;0.6;1.4;0.9;0.4;0.4;1.8
41;Totale bevolking;18 tot 25 jaar;Vrouwen;2000;0.6;0.3;0.5;1.0;1.6;0.7;0.4;0.3;1.4;1.9;0.8;1.4;0.9;0.4;0.4;1.9;0.5;0.3;0.5;0.9;1.5;0.6;0.3;0.3;1.2;1.7;0.7;1.2;0.8;0.4;0.4;1.7
42;Totale bevolking;18 tot 25 jaar;Vrouwen;2001;0.6;0.3;0.6;1.1;1.8;0.8;0.4;0.4;1.7;2.0;0.9;1.5;1.2;0.4;0.5;2.2;0.5;0.3;0.5;0.9;1.6;0.7;0.3;0.4;1.4;1.8;0.7;1.4;1.0;0.4;0.4;2.0
43;Totale bevolking;18 tot 25 jaar;Vrouwen;2002;0.7;0.4;0.7;1.2;1.7;0.9;0.4;0.5;1.9;2.2;1.0;1.7;1.4;0.5;0.6;2.4;0.6;0.4;0.6;1.1;1.5;0.8;0.4;0.5;1.6;2.1;0.8;1.5;1.2;0.4;0.5;2.2
44;Totale bevolking;18 tot 25 jaar;Vrouwen;2003;0.9;0.5;0.8;1.4;2.0;0.9;0.5;0.6;2.2;2.7;1.0;1.8;1.6;0.6;0.7;2.6;0.8;0.5;0.7;1.2;1.8;0.8;0.4;0.6;1.9;2.6;0.8;1.6;1.4;0.5;0.6;2.4
45;Totale bevolking;18 tot 25 jaar;Vrouwen;2004;1.0;0.6;0.9;1.5;2.0;1.0;0.6;0.7;2.4;2.9;1.1;2.4;1.7;0.6;0.8;2.9;0.9;0.6;0.8;1.3;1.9;0.9;0.5;0.6;2.1;2.6;0.9;2.2;1.5;0.6;0.7;2.7
46;Totale bevolking;18 tot 25 jaar;Vrouwen;2005;1.0;0.7;1.0;1.5;2.1;1.1;0.6;0.8;2.5;3.0;1.1;2.2;1.8;0.7;0.8;3.0;0.9;0.6;0.9;1.4;2.0;1.0;0.6;0.7;2.2;2.8;0.9;2.1;1.6;0.7;0.8;2.8
47;Totale bevolking;18 tot 25 jaar;Vrouwen;2006*;1.1;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;
48;Totale bevolking;25 tot 45 jaar;Totaal mannen en vrouwen;1999;1.3;0.8;1.4;2.4;3.7;3.0;0.8;0.7;2.3;5.3;3.6;5.1;2.6;0.9;0.9;3.9;1.3;0.8;1.4;2.3;3.7;3.0;0.8;0.7;2.2;5.1;3.4;5.0;2.5;0.9;0.9;3.8
49;Totale bevolking;25 tot 45 jaar;Totaal mannen en vrouwen;2000;1.3;0.8;1.3;2.3;3.7;2.9;0.8;0.8;2.2;5.1;3.5;5.0;2.6;1.0;1.0;3.8;1.2;0.8;1.3;2.3;3.7;2.9;0.8;0.7;2.2;5.0;3.4;5.0;2.5;0.9;0.9;3.7
50;Totale bevolking;25 tot 45 jaar;Totaal mannen en vrouwen;2001;1.4;0.9;1.4;2.4;3.5;3.1;0.9;0.8;2.3;5.7;3.4;5.0;2.9;1.0;1.1;3.9;1.3;0.9;1.4;2.3;3.5;3.0;0.9;0.8;2.3;5.5;3.3;5.0;2.8;1.0;1.0;3.9
51;Totale bevolking;25 tot 45 jaar;Totaal mannen en vrouwen;2002;1.5;0.9;1.5;2.5;3.7;3.3;1.0;0.9;2.6;6.7;3.7;5.6;3.3;1.1;1.2;4.1;1.4;0.9;1.5;2.4;3.7;3.2;0.9;0.9;2.5;6.5;3.5;5.7;3.2;1.0;1.1;4.1
52;Totale bevolking;25 tot 45 jaar;Totaal mannen en vrouwen;2003;1.7;1.0;1.7;2.7;4.0;3.5;1.1;1.0;2.9;6.7;4.0;7.1;3.6;1.2;1.3;4.5;1.6;1.0;1.6;2.6;4.0;3.4;1.0;1.0;2.9;6.5;3.9;7.2;3.6;1.1;1.2;4.4
53;Totale bevolking;25 tot 45 jaar;Totaal mannen en vrouwen;2004;1.8;1.1;1.8;2.8;4.2;3.7;1.1;1.1;3.1;6.8;4.5;7.4;3.9;1.2;1.3;4.8;1.7;1.1;1.8;2.7;4.2;3.6;1.1;1.1;3.1;6.5;4.3;7.4;3.9;1.2;1.3;4.7
54;Totale bevolking;25 tot 45 jaar;Totaal mannen en vrouwen;2005;1.8;1.2;1.8;2.8;4.3;3.8;1.2;1.2;3.2;6.5;4.3;6.7;4.0;1.3;1.4;4.9;1.8;1.2;1.8;2.8;4.3;3.7;1.1;1.1;3.2;6.3;4.1;6.8;3.9;1.3;1.4;4.8
55;Totale bevolking;25 tot 45 jaar;Totaal mannen en vrouwen;2006*;1.9;;;;;;;;;;;;;;;;1.8;;;;;;;;;;;;;;;
56;Totale bevolking;25 tot 45 jaar;Mannen;1999;2.2;1.4;2.3;3.8;5.8;4.4;1.3;1.3;4.1;7.6;5.0;7.6;7.6;1.5;1.6;7.1;2.1;1.4;2.3;3.6;5.8;4.3;1.3;1.3;4.0;7.4;4.9;7.5;7.6;1.4;1.5;7.1
57;Totale bevolking;25 tot 45 jaar;Mannen;2000;2.2;1.4;2.2;3.8;5.7;4.3;1.4;1.3;4.2;7.4;4.9;7.3;7.4;1.5;1.6;7.2;2.1;1.4;2.2;3.7;5.8;4.1;1.3;1.3;4.2;7.2;4.8;7.4;7.4;1.5;1.6;7.1
58;Totale bevolking;25 tot 45 jaar;Mannen;2001;2.3;1.5;2.4;3.8;5.5;4.5;1.5;1.4;4.5;8.3;4.8;7.3;8.0;1.6;1.8;7.4;2.2;1.5;2.3;3.7;5.5;4.3;1.4;1.4;4.4;8.0;4.7;7.3;8.0;1.6;1.7;7.3
59;Totale bevolking;25 tot 45 jaar;Mannen;2002;2.5;1.6;2.5;4.0;5.9;4.7;1.6;1.6;5.0;9.5;5.2;8.3;8.5;1.7;2.0;7.7;2.4;1.6;2.5;3.9;5.9;4.6;1.5;1.5;4.9;9.3;5.0;8.3;8.5;1.7;1.9;7.6
60;Totale bevolking;25 tot 45 jaar;Mannen;2003;2.8;1.8;2.8;4.4;6.4;5.0;1.7;1.8;5.6;9.4;5.8;10.2;8.9;1.9;2.1;8.2;2.7;1.8;2.7;4.2;6.4;4.9;1.7;1.8;5.5;9.0;5.6;10.2;8.9;1.8;2.1;8.1
61;Totale bevolking;25 tot 45 jaar;Mannen;2004;3.0;1.9;3.0;4.5;6.8;5.3;1.8;2.0;6.1;9.6;6.4;10.7;9.3;2.0;2.3;8.6;2.9;1.9;2.9;4.4;6.8;5.1;1.8;1.9;5.9;9.2;6.1;10.6;9.3;1.9;2.2;8.5
62;Totale bevolking;25 tot 45 jaar;Mannen;2005;3.1;2.0;3.0;4.6;6.9;5.4;1.9;2.0;6.2;9.0;6.1;10.0;9.2;2.1;2.4;8.7;2.9;2.0;3.0;4.4;6.8;5.2;1.8;2.0;6.0;8.8;5.8;10.0;9.2;2.0;2.3;8.5
63;Totale bevolking;25 tot 45 jaar;Mannen;2006*;3.1;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;
64;Totale bevolking;25 tot 45 jaar;Vrouwen;1999;0.4;0.2;0.4;0.8;1.4;0.7;0.3;0.2;1.6;1.5;0.8;1.5;0.8;0.2;0.2;1.4;0.4;0.2;0.4;0.8;1.4;0.7;0.2;0.2;1.5;1.5;0.8;1.5;0.7;0.2;0.2;1.4
65;Totale bevolking;25 tot 45 jaar;Vrouwen;2000;0.4;0.2;0.4;0.8;1.3;0.7;0.2;0.2;1.5;1.3;0.7;1.7;0.7;0.2;0.2;1.4;0.4;0.2;0.4;0.8;1.3;0.7;0.2;0.2;1.4;1.2;0.7;1.7;0.7;0.2;0.2;1.3
66;Totale bevolking;25 tot 45 jaar;Vrouwen;2001;0.4;0.2;0.4;0.8;1.3;0.8;0.2;0.2;1.6;1.4;0.7;1.6;0.9;0.3;0.3;1.5;0.4;0.2;0.4;0.8;1.3;0.7;0.2;0.2;1.5;1.3;0.7;1.6;0.8;0.2;0.3;1.4
67;Totale bevolking;25 tot 45 jaar;Vrouwen;2002;0.5;0.3;0.5;0.9;1.3;0.8;0.3;0.2;1.7;1.7;0.8;1.6;1.0;0.3;0.3;1.6;0.4;0.3;0.5;0.8;1.2;0.8;0.3;0.2;1.7;1.7;0.8;1.7;0.9;0.3;0.3;1.5
68;Totale bevolking;25 tot 45 jaar;Vrouwen;2003;0.5;0.3;0.5;0.9;1.4;0.9;0.3;0.3;2.0;2.0;0.9;2.2;1.1;0.3;0.3;1.7;0.5;0.3;0.5;0.9;1.3;0.8;0.3;0.3;1.9;2.0;0.8;2.2;1.1;0.3;0.3;1.7
69;Totale bevolking;25 tot 45 jaar;Vrouwen;2004;0.6;0.3;0.6;1.0;1.4;1.0;0.3;0.3;2.1;1.9;1.1;2.2;1.2;0.3;0.4;1.9;0.6;0.3;0.6;1.0;1.4;0.9;0.3;0.3;2.1;1.8;1.1;2.3;1.2;0.3;0.3;1.9
70;Totale bevolking;25 tot 45 jaar;Vrouwen;2005;0.6;0.4;0.6;1.1;1.5;1.0;0.3;0.3;2.2;2.0;0.9;1.7;1.3;0.4;0.4;2.0;0.6;0.3;0.6;1.0;1.5;1.0;0.3;0.3;2.2;2.0;0.9;1.8;1.3;0.3;0.4;2.0
71;Totale bevolking;25 tot 45 jaar;Vrouwen;2006*;0.6;;;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;
72;Totale bevolking;45 tot 80 jaar;Totaal mannen en vrouwen;1999;0.4;0.3;0.5;0.7;1.2;0.8;0.3;0.4;0.8;0.5;0.7;1.1;0.4;0.5;0.3;1.0;0.5;0.4;0.5;0.8;1.3;0.9;0.3;0.4;0.9;0.6;0.9;1.2;0.4;0.6;0.3;1.0
73;Totale bevolking;45 tot 80 jaar;Totaal mannen en vrouwen;2000;0.4;0.3;0.5;0.7;1.2;0.8;0.3;0.4;0.8;0.5;0.8;1.0;0.4;0.5;0.3;1.0;0.5;0.3;0.5;0.8;1.2;0.9;0.3;0.4;0.9;0.6;1.0;1.1;0.4;0.6;0.3;1.0
74;Totale bevolking;45 tot 80 jaar;Totaal mannen en vrouwen;2001;0.5;0.4;0.5;0.8;1.2;0.9;0.3;0.4;0.8;0.6;1.0;1.1;0.4;0.6;0.3;1.0;0.5;0.4;0.5;0.8;1.3;1.0;0.3;0.5;0.9;0.8;1.3;1.2;0.5;0.6;0.4;1.1
75;Totale bevolking;45 tot 80 jaar;Totaal mannen en vrouwen;2002;0.5;0.4;0.6;0.8;1.3;1.0;0.3;0.5;1.0;0.8;1.0;1.4;0.5;0.6;0.4;1.1;0.6;0.4;0.6;0.9;1.4;1.1;0.3;0.5;1.0;1.0;1.2;1.7;0.5;0.6;0.4;1.2
76;Totale bevolking;45 tot 80 jaar;Totaal mannen en vrouwen;2003;0.6;0.5;0.6;1.0;1.5;1.1;0.4;0.6;1.1;1.0;1.2;1.7;0.6;0.7;0.5;1.3;0.7;0.5;0.7;1.1;1.6;1.2;0.4;0.6;1.2;1.3;1.4;1.9;0.6;0.7;0.5;1.4
77;Totale bevolking;45 tot 80 jaar;Totaal mannen en vrouwen;2004;0.6;0.5;0.7;1.0;1.7;1.2;0.4;0.6;1.2;1.0;1.3;2.0;0.6;0.7;0.5;1.4;0.7;0.5;0.7;1.1;1.8;1.3;0.4;0.7;1.3;1.3;1.5;2.3;0.7;0.7;0.5;1.5
78;Totale bevolking;45 tot 80 jaar;Totaal mannen en vrouwen;2005;0.7;0.5;0.7;1.1;1.7;1.2;0.4;0.7;1.2;1.1;1.4;2.2;0.7;0.7;0.5;1.5;0.7;0.5;0.8;1.2;1.8;1.4;0.4;0.7;1.3;1.3;1.6;2.4;0.7;0.8;0.5;1.6
79;Totale bevolking;45 tot 80 jaar;Totaal mannen en vrouwen;2006*;0.7;;;;;;;;;;;;;;;;0.8;;;;;;;;;;;;;;;
80;Totale bevolking;45 tot 80 jaar;Mannen;1999;0.8;0.6;0.8;1.2;2.0;1.9;0.4;0.6;1.7;1.1;1.2;1.6;0.8;0.7;0.6;1.4;0.8;0.6;0.9;1.3;2.2;2.1;0.5;0.7;1.8;1.3;1.4;1.9;0.9;0.8;0.6;1.5
81;Totale bevolking;45 tot 80 jaar;Mannen;2000;0.7;0.5;0.8;1.3;1.8;1.8;0.4;0.6;1.7;1.1;1.3;1.5;0.7;0.7;0.6;1.4;0.8;0.6;0.8;1.4;2.0;2.0;0.4;0.7;1.8;1.3;1.5;1.6;0.8;0.8;0.6;1.5
82;Totale bevolking;45 tot 80 jaar;Mannen;2001;0.8;0.6;0.8;1.3;2.0;1.9;0.5;0.7;1.7;1.3;1.6;1.6;0.8;0.8;0.6;1.5;0.9;0.6;0.9;1.4;2.2;2.1;0.5;0.7;1.9;1.6;2.1;1.8;0.9;0.8;0.7;1.6
83;Totale bevolking;45 tot 80 jaar;Mannen;2002;0.9;0.7;0.9;1.4;2.2;2.1;0.5;0.8;1.9;1.6;1.5;2.0;0.9;0.8;0.7;1.6;1.0;0.7;1.0;1.6;2.3;2.3;0.5;0.8;2.0;2.0;1.9;2.4;1.0;0.9;0.7;1.8
84;Totale bevolking;45 tot 80 jaar;Mannen;2003;1.0;0.8;1.1;1.6;2.4;2.3;0.6;0.9;2.2;2.0;1.8;2.5;1.1;1.0;0.8;1.9;1.1;0.8;1.2;1.8;2.7;2.6;0.6;1.0;2.4;2.6;2.1;2.7;1.2;1.0;0.9;2.0
85;Totale bevolking;45 tot 80 jaar;Mannen;2004;1.1;0.8;1.1;1.7;2.8;2.4;0.6;1.0;2.5;2.0;2.1;2.8;1.2;1.0;0.8;2.1;1.2;0.8;1.2;1.9;3.0;2.7;0.6;1.0;2.7;2.5;2.4;3.3;1.3;1.1;0.9;2.2
