ID;Overheidsinstellingen;Toepassingssectoren;Bestrijdingsmiddelen;Perioden;GebruikInKgWerkzameStof_1
1888;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Simazin;2013;0
1889;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Simazin;2018;0
1890;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Triclopyr;1992;0
1891;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Triclopyr;1995;0
1892;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Triclopyr;2001;0
1893;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Triclopyr;2005;0
1894;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Triclopyr;2009;0
1895;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Triclopyr;2013;0
1896;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Triclopyr;2018;0
1897;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Overige herbiciden;1992;0
1898;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Overige herbiciden;1995;0
1899;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Overige herbiciden;2001;0
1900;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Overige herbiciden;2005;0
1901;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Overige herbiciden;2009;0
1902;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Overige herbiciden;2013;0
1903;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Overige herbiciden;2018;0
1904;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Overige insecticiden;1992;0
1905;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Overige insecticiden;1995;0
1906;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Overige insecticiden;2001;0
1907;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Overige insecticiden;2005;0
1908;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Overige insecticiden;2009;0
1909;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Overige insecticiden;2013;0
1910;Rijkswaterstaat;Beplantingen binnen de bebouwde kom;Overige insecticiden;2018;0
1911;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Totaal;1992;17
1912;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Totaal;1995;67
1913;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Totaal;2001;11
1914;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Totaal;2005;0
1915;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Totaal;2009;1
1916;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Totaal;2013;0
1917;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Totaal;2018;0
1918;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Herbiciden;1992;17
1919;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Herbiciden;1995;67
1920;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Herbiciden;2001;11
1921;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Herbiciden;2005;0
1922;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Herbiciden;2009;0
1923;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Herbiciden;2013;0
1924;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Herbiciden;2018;0
1925;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Insecticiden;1992;0
1926;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Insecticiden;1995;0
1927;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Insecticiden;2001;0
1928;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Insecticiden;2005;0
1929;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Insecticiden;2009;1
1930;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Insecticiden;2013;0
1931;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Insecticiden;2018;0
1932;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Fungiciden;1992;0
1933;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Fungiciden;1995;0
1934;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Fungiciden;2001;0
1935;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Fungiciden;2005;0
1936;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Fungiciden;2009;0
1937;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Fungiciden;2013;0
1938;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Fungiciden;2018;0
1939;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Overige stoffen;1992;0
1940;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Overige stoffen;1995;0
1941;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Overige stoffen;2001;0
1942;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Overige stoffen;2005;0
1943;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Overige stoffen;2009;0
1944;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Overige stoffen;2013;0
1945;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Overige stoffen;2018;0
1946;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;2,4-D;1992;0
1947;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;2,4-D;1995;0
1948;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;2,4-D;2001;0
1949;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;2,4-D;2005;0
1950;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;2,4-D;2009;0
1951;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;2,4-D;2013;0
1952;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;2,4-D;2018;0
1953;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Amitrol;1992;0
1954;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Amitrol;1995;0
1955;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Amitrol;2001;0
1956;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Amitrol;2005;0
1957;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Amitrol;2009;0
1958;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Amitrol;2013;0
1959;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Amitrol;2018;0
1960;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dalapon;1992;0
1961;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dalapon;1995;0
1962;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dalapon;2001;0
1963;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dalapon;2005;0
1964;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dalapon;2009;0
1965;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dalapon;2013;0
1966;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dalapon;2018;0
1967;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Bacillus thuringiensis subsp. aizawai;1992;0
1968;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Bacillus thuringiensis subsp. aizawai;1995;0
1969;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Bacillus thuringiensis subsp. aizawai;2001;0
1970;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Bacillus thuringiensis subsp. aizawai;2005;0
1971;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Bacillus thuringiensis subsp. aizawai;2009;0
1972;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Bacillus thuringiensis subsp. aizawai;2013;0
1973;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Bacillus thuringiensis subsp. aizawai;2018;0
1974;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dicamba;1992;0
1975;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dicamba;1995;0
1976;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dicamba;2001;0
1977;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dicamba;2005;0
1978;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dicamba;2009;0
1979;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dicamba;2013;0
1980;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dicamba;2018;0
1981;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dichlobenil;1992;0
1982;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dichlobenil;1995;0
1983;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dichlobenil;2001;0
1984;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dichlobenil;2005;0
1985;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dichlobenil;2009;0
1986;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dichlobenil;2013;0
1987;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Dichlobenil;2018;0
1988;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Diuron;1992;0
1989;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Diuron;1995;0
1990;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Diuron;2001;0
1991;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Diuron;2005;0
1992;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Diuron;2009;0
1993;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Diuron;2013;0
1994;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Diuron;2018;0
