ID;RegioS;Code_1;Naam_2;SorteringNaam_3;Code_4;Naam_5;Code_6;Naam_7;Code_8;Naam_9;Code_10;Naam_11;Code_12;Naam_13;Code_14;Naam_15;Code_16;Naam_17;Code_18;Naam_19;Code_20;Naam_21;Code_22;Naam_23;Code_24;Naam_25;Code_26;Naam_27;Code_28;Naam_29;Code_30;Naam_31;Code_32;Naam_33;Code_34;Naam_35;Code_36;Naam_37;Code_38;Naam_39;Code_40;Naam_41;Code_42;Naam_43;Code_44;Naam_45;Code_46;Naam_47;Code_48;Omschrijving_49;Code_50;Omschrijving_51;Inwonertal_52;Omgevingsadressendichtheid_53
10;Alphen aan den Rijn;GM0484    ;Alphen aan den Rijn                               ;Alphen aan den Rijn                               ;AR09      ;'s-Gravenhage                                     ;CR28      ;Oost-Zuid-Holland                                 ;CS280     ;Oost-Zuid-Holland                                 ;CP2800    ;Oost-Zuid-Holland                                 ;GG4506    ;GGD Hollands-Midden                               ;KK27      ;Den Haag                                          ;LB2806    ;Krimpenerwaard en Oostelijk Rijnland              ;LG09      ;Hollands/Utrechts Weidegebied                     ;LD03      ;West-Nederland                                    ;NENL3     ;West-Nederland                                    ;NTNL33    ;Zuid-Holland                                      ;NDNL338   ;Oost-Zuid-Holland                                 ;RE06      ;Den Haag                                          ;PV28      ;Zuid-Holland                                      ;RT03      ;'s-Gravenhage                                     ;RP21      ;Rijn-Gouwe                                        ;TR17      ;Overig Nederland                                  ;VR16      ;Hollands-Midden                                   ;WG27      ;Zuid-Holland-Oost                                 ;ZK28      ;Zuid-Holland Noord                                ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;5;50 000 tot 100 000 inwoners                       ;2;Sterk stedelijk          ;72913;2195
11;Alphen-Chaam;GM1723    ;Alphen-Chaam                                      ;Alphen+Chaam                                      ;AR02      ;Breda                                             ;CR34      ;Midden-Noord-Brabant                              ;CS340     ;Midden-Noord-Brabant                              ;CP3400    ;Midden-Noord-Brabant                              ;GG5206    ;GGD West-Brabant                                  ;KK20      ;Zuidwest-Nederland                                ;LB3007    ;De Kempen                                         ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;NENL4     ;Zuid-Nederland                                    ;NTNL41    ;Noord-Brabant                                     ;NDNL412   ;Midden-Noord-Brabant                              ;RE08      ;Zeeland - West-Brabant                            ;PV30      ;Noord-Brabant                                     ;RT01      ;'s-Hertogenbosch                                  ;RP26      ;Midden-Brabant                                    ;TR13      ;West- en Midden-Brabant                           ;VR20      ;Midden- en West-Brabant                           ;WG34      ;West-Brabant                                      ;ZK25      ;West-Brabant                                      ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;2;5 000 tot 10 000 inwoners                         ;5;Niet stedelijk           ;9640;286
12;Ameland;GM0060    ;Ameland                                           ;Ameland                                           ;AR17      ;Leeuwarden                                        ;CR04      ;Noord-Friesland                                   ;CS040     ;Noord-Friesland                                   ;CP0400    ;Noord-Friesland                                   ;GG7206    ;GGD Fryslân                                       ;KK01      ;Noord-Nederland                                   ;LB2104    ;Eilanden                                          ;LG03      ;Noordelijk Weidegebied                            ;LD01      ;Noord-Nederland                                   ;NENL1     ;Noord-Nederland                                   ;NTNL12    ;Friesland (NL)                                    ;NDNL121   ;Noord-Friesland                                   ;RE01      ;Noord-Nederland                                   ;PV21      ;Friesland                                         ;RT05      ;Leeuwarden                                        ;RP04      ;Fryslân                                           ;TR01      ;Waddeneilanden                                    ;VR02      ;Fryslân                                           ;WG04      ;Friesland-Noord                                   ;ZK08      ;Friesland                                         ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;1;minder dan 5 000 inwoners                         ;5;Niet stedelijk           ;3525;240
13;Amersfoort;GM0307    ;Amersfoort                                        ;Amersfoort                                        ;AR16      ;Utrecht                                           ;CR17      ;Utrecht                                           ;CS170     ;Utrecht                                           ;CP1702    ;Stadsgewest Amersfoort                            ;GG2506    ;GGD Midden-Nederland                              ;KK32      ;Gooi-, Eem- en Flevoland                          ;LB2604    ;Eemland                                           ;LG09      ;Hollands/Utrechts Weidegebied                     ;LD03      ;West-Nederland                                    ;NENL3     ;West-Nederland                                    ;NTNL31    ;Utrecht                                           ;NDNL310   ;Utrecht                                           ;RE03      ;Midden-Nederland                                  ;PV26      ;Utrecht                                           ;RT04      ;Amsterdam                                         ;RP17      ;Eemland                                           ;TR07      ;Utrechtse Heuvelrug en 't Gooi                    ;VR09      ;Utrecht                                           ;WG16      ;Eem en Vallei                                     ;ZK23      ;Utrecht                                           ;GA08      ;Amersfoort                                        ;SG08      ;Amersfoort                                        ;6;100 000 tot 150 000 inwoners                      ;2;Sterk stedelijk          ;149662;2124
14;Amstelveen;GM0362    ;Amstelveen                                        ;Amstelveen                                        ;AR13      ;Amsterdam                                         ;CR23      ;Groot-Amsterdam                                   ;CS232     ;Overig Groot-Amsterdam                            ;CP2321    ;Overig Agglomeratie Amsterdam                     ;GG3406    ;GGD Amsterdam                                     ;KK34      ;Amsterdam                                         ;LB2703    ;Amstelland en Aalsmeer                            ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;NENL3     ;West-Nederland                                    ;NTNL32    ;Noord-Holland                                     ;NDNL326   ;Groot-Amsterdam                                   ;RE05      ;Amsterdam                                         ;PV27      ;Noord-Holland                                     ;RT04      ;Amsterdam                                         ;RP20      ;Zuidelijk Noord-Holland                           ;TR17      ;Overig Nederland                                  ;VR13      ;Amsterdam-Amstelland                              ;WG21      ;Agglomeratie Amsterdam                            ;ZK01      ;Amstelland en De Meerlanden                       ;GA10      ;Amsterdam                                         ;SG10      ;Amsterdam                                         ;5;50 000 tot 100 000 inwoners                       ;2;Sterk stedelijk          ;84379;2042
15;Amsterdam;GM0363    ;Amsterdam                                         ;Amsterdam                                         ;AR13      ;Amsterdam                                         ;CR23      ;Groot-Amsterdam                                   ;CS231     ;Amsterdam                                         ;CP2311    ;Amsterdam                                         ;GG3406    ;GGD Amsterdam                                     ;KK34      ;Amsterdam                                         ;LB2706    ;Waterland en N.-Hollandse Droogmakerijen          ;LG08      ;Waterland en Droogmakerijen                       ;LD03      ;West-Nederland                                    ;NENL3     ;West-Nederland                                    ;NTNL32    ;Noord-Holland                                     ;NDNL326   ;Groot-Amsterdam                                   ;RE05      ;Amsterdam                                         ;PV27      ;Noord-Holland                                     ;RT04      ;Amsterdam                                         ;RP20      ;Zuidelijk Noord-Holland                           ;TR16      ;4 grote steden excl. Noordzeebadplaatsen          ;VR13      ;Amsterdam-Amstelland                              ;WG21      ;Agglomeratie Amsterdam                            ;ZK02      ;Amsterdam                                         ;GA10      ;Amsterdam                                         ;SG10      ;Amsterdam                                         ;8;250 000 inwoners of meer                          ;1;Zeer sterk stedelijk     ;799278;6056
16;Apeldoorn;GM0200    ;Apeldoorn                                         ;Apeldoorn                                         ;AR06      ;Zutphen                                           ;CR13      ;Veluwe                                            ;CS130     ;Veluwe                                            ;CP1300    ;Veluwe                                            ;GG1413    ;GGD Noord- en Oost-Gelderland                     ;KK08      ;Oost-Nederland                                    ;LB2501    ;Oostelijke Veluwe                                 ;LG05      ;Centraal Veehouderijgebied                        ;LD02      ;Oost-Nederland                                    ;NENL2     ;Oost-Nederland                                    ;NTNL22    ;Gelderland                                        ;NDNL221   ;Veluwe                                            ;RE02      ;Oost-Nederland                                    ;PV25      ;Gelderland                                        ;RT02      ;Arnhem                                            ;RP09      ;Stedendriehoek                                    ;TR08      ;Veluwe en Veluwerand                              ;VR06      ;Noord- en Oost-Gelderland                         ;WG11      ;Stedendriehoek                                    ;ZK03      ;Apeldoorn/Zutphen                                 ;GA05      ;Apeldoorn                                         ;SG05      ;Apeldoorn                                         ;7;150 000 tot 250 000 inwoners                      ;2;Sterk stedelijk          ;157315;1663
17;Appingedam;GM0003    ;Appingedam                                        ;Appingedam                                        ;AR18      ;Groningen                                         ;CR02      ;Delfzijl en omgeving                              ;CS020     ;Delfzijl en omgeving                              ;CP0200    ;Delfzijl en omgeving                              ;GG0111    ;GGD Groningen                                     ;KK01      ;Noord-Nederland                                   ;LB2003    ;Oostelijke Bouwstreek in Groningen                ;LG02      ;Veenkoloniën en Oldambt                           ;LD01      ;Noord-Nederland                                   ;NENL1     ;Noord-Nederland                                   ;NTNL11    ;Groningen                                         ;NDNL112   ;Delfzijl en omgeving                              ;RE01      ;Noord-Nederland                                   ;PV20      ;Groningen                                         ;RT05      ;Leeuwarden                                        ;RP01      ;Noord-Groningen                                   ;TR17      ;Overig Nederland                                  ;VR01      ;Groningen                                         ;WG02      ;Noord-Groningen en Eemsmond                       ;ZK09      ;Groningen                                         ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;3;10 000 tot 20 000 inwoners                        ;3;Matig stedelijk          ;12053;1006
18;Arnhem;GM0202    ;Arnhem                                            ;Arnhem                                            ;AR05      ;Arnhem                                            ;CR15      ;Arnhem/Nijmegen                                   ;CS150     ;Arnhem/Nijmegen                                   ;CP1500    ;Arnhem/Nijmegen                                   ;GG1911    ;Veiligh. en Gez. Gelderland-Midden                ;KK09      ;Centraal Gelderland                               ;LB2505    ;Veluwezoom en Betuwe                              ;LG10      ;Rivierengebied                                    ;LD02      ;Oost-Nederland                                    ;NENL2     ;Oost-Nederland                                    ;NTNL22    ;Gelderland                                        ;NDNL226   ;Arnhem/Nijmegen                                   ;RE02      ;Oost-Nederland                                    ;PV25      ;Gelderland                                        ;RT02      ;Arnhem                                            ;RP11      ;IJssel en Rijn                                    ;TR08      ;Veluwe en Veluwerand                              ;VR07      ;Gelderland-Midden                                 ;WG14      ;Arnhem/Nijmegen                                   ;ZK04      ;Arnhem                                            ;GA06      ;Arnhem                                            ;SG06      ;Arnhem                                            ;6;100 000 tot 150 000 inwoners                      ;2;Sterk stedelijk          ;149827;2011
19;Assen;GM0106    ;Assen                                             ;Assen                                             ;AR19      ;Assen                                             ;CR07      ;Noord-Drenthe                                     ;CS070     ;Noord-Drenthe                                     ;CP0700    ;Noord-Drenthe                                     ;GG0706    ;GGD Drenthe                                       ;KK01      ;Noord-Nederland                                   ;LB2202    ;Smilde en Centraal Zandgebied in Drenthe          ;LG02      ;Veenkoloniën en Oldambt                           ;LD01      ;Noord-Nederland                                   ;NENL1     ;Noord-Nederland                                   ;NTNL13    ;Drenthe                                           ;NDNL131   ;Noord-Drenthe                                     ;RE01      ;Noord-Nederland                                   ;PV22      ;Drenthe                                           ;RT05      ;Leeuwarden                                        ;RP03      ;Centraal-Groningen                                ;TR12      ;Groningse, Friese en Drentse Zandgronden          ;VR03      ;Drenthe                                           ;WG07      ;Noord- en Midden-Drenthe                          ;ZK06      ;Drenthe                                           ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;5;50 000 tot 100 000 inwoners                       ;3;Matig stedelijk          ;67204;1438
20;Asten;GM0743    ;Asten                                             ;Asten                                             ;AR01      ;'s-Hertogenbosch                                  ;CR36      ;Zuidoost-Noord-Brabant                            ;CS360     ;Zuidoost-Noord-Brabant                            ;CP3600    ;Zuidoost-Noord-Brabant                            ;GG5608    ;GGD Brabant-Zuidoost                              ;KK17      ;Brabant                                           ;LB3010    ;Westelijk Peelgebied                              ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;NENL4     ;Zuid-Nederland                                    ;NTNL41    ;Noord-Brabant                                     ;NDNL414   ;Zuidoost-Noord-Brabant                            ;RE09      ;Oost-Brabant                                      ;PV30      ;Noord-Brabant                                     ;RT01      ;'s-Hertogenbosch                                  ;RP28      ;Zuidoost-Brabant                                  ;TR14      ;O.-Brabant, N.- en M.-Limburg, Nijmegen           ;VR22      ;Brabant-Zuidoost                                  ;WG37      ;Zuidoost-Brabant                                  ;ZK30      ;Zuidoost-Brabant                                  ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;3;10 000 tot 20 000 inwoners                        ;4;Weinig stedelijk         ;16392;874
21;Baarle-Nassau;GM0744    ;Baarle-Nassau                                     ;Baarle+Nassau                                     ;AR02      ;Breda                                             ;CR34      ;Midden-Noord-Brabant                              ;CS340     ;Midden-Noord-Brabant                              ;CP3400    ;Midden-Noord-Brabant                              ;GG5206    ;GGD West-Brabant                                  ;KK20      ;Zuidwest-Nederland                                ;LB3007    ;De Kempen                                         ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;NENL4     ;Zuid-Nederland                                    ;NTNL41    ;Noord-Brabant                                     ;NDNL412   ;Midden-Noord-Brabant                              ;RE08      ;Zeeland - West-Brabant                            ;PV30      ;Noord-Brabant                                     ;RT01      ;'s-Hertogenbosch                                  ;RP26      ;Midden-Brabant                                    ;TR13      ;West- en Midden-Brabant                           ;VR20      ;Midden- en West-Brabant                           ;WG34      ;West-Brabant                                      ;ZK25      ;West-Brabant                                      ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;2;5 000 tot 10 000 inwoners                         ;5;Niet stedelijk           ;6699;298
22;Baarn;GM0308    ;Baarn                                             ;Baarn                                             ;AR16      ;Utrecht                                           ;CR17      ;Utrecht                                           ;CS170     ;Utrecht                                           ;CP1702    ;Stadsgewest Amersfoort                            ;GG2506    ;GGD Midden-Nederland                              ;KK32      ;Gooi-, Eem- en Flevoland                          ;LB2604    ;Eemland                                           ;LG09      ;Hollands/Utrechts Weidegebied                     ;LD03      ;West-Nederland                                    ;NENL3     ;West-Nederland                                    ;NTNL31    ;Utrecht                                           ;NDNL310   ;Utrecht                                           ;RE03      ;Midden-Nederland                                  ;PV26      ;Utrecht                                           ;RT04      ;Amsterdam                                         ;RP17      ;Eemland                                           ;TR07      ;Utrechtse Heuvelrug en 't Gooi                    ;VR09      ;Utrecht                                           ;WG16      ;Eem en Vallei                                     ;ZK23      ;Utrecht                                           ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;4;20 000 tot 50 000 inwoners                        ;3;Matig stedelijk          ;24277;1399
23;Barendrecht;GM0489    ;Barendrecht                                       ;Barendrecht                                       ;AR10      ;Rotterdam                                         ;CR29      ;Groot-Rijnmond                                    ;CS291     ;Rijnmond                                          ;CP2910    ;Rijnmond                                          ;GG4607    ;GGD Rotterdam-Rijnmond                            ;KK24      ;Rotterdam                                         ;LB2802    ;Rotterdam en omgeving                             ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;NENL3     ;West-Nederland                                    ;NTNL33    ;Zuid-Holland                                      ;NDNL339   ;Groot-Rijnmond                                    ;RE07      ;Rotterdam                                         ;PV28      ;Zuid-Holland                                      ;RT03      ;'s-Gravenhage                                     ;RP23      ;Rijnmond                                          ;TR04      ;Deltagebied                                       ;VR17      ;Rotterdam-Rijnmond                                ;WG29      ;Rijnmond                                          ;ZK29      ;Zuid-Hollandse Eilanden                           ;GA14      ;Rotterdam                                         ;SG14      ;Rotterdam                                         ;4;20 000 tot 50 000 inwoners                        ;2;Sterk stedelijk          ;47371;1625
24;Barneveld;GM0203    ;Barneveld                                         ;Barneveld                                         ;AR05      ;Arnhem                                            ;CR13      ;Veluwe                                            ;CS130     ;Veluwe                                            ;CP1300    ;Veluwe                                            ;GG1911    ;Veiligh. en Gez. Gelderland-Midden                ;KK08      ;Oost-Nederland                                    ;LB2507    ;Westelijke Veluwe                                 ;LG05      ;Centraal Veehouderijgebied                        ;LD02      ;Oost-Nederland                                    ;NENL2     ;Oost-Nederland                                    ;NTNL22    ;Gelderland                                        ;NDNL221   ;Veluwe                                            ;RE02      ;Oost-Nederland                                    ;PV25      ;Gelderland                                        ;RT02      ;Arnhem                                            ;RP10      ;De Vallei                                         ;TR08      ;Veluwe en Veluwerand                              ;VR07      ;Gelderland-Midden                                 ;WG16      ;Eem en Vallei                                     ;ZK04      ;Arnhem                                            ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;5;50 000 tot 100 000 inwoners                       ;4;Weinig stedelijk         ;53751;797
25;Bedum;GM0005    ;Bedum                                             ;Bedum                                             ;AR18      ;Groningen                                         ;CR03      ;Overig Groningen                                  ;CS030     ;Overig Groningen                                  ;CP0300    ;Overig Groningen                                  ;GG0111    ;GGD Groningen                                     ;KK01      ;Noord-Nederland                                   ;LB2002    ;Centraal Weidegebied in Groningen                 ;LG03      ;Noordelijk Weidegebied                            ;LD01      ;Noord-Nederland                                   ;NENL1     ;Noord-Nederland                                   ;NTNL11    ;Groningen                                         ;NDNL113   ;Overig Groningen                                  ;RE01      ;Noord-Nederland                                   ;PV20      ;Groningen                                         ;RT05      ;Leeuwarden                                        ;RP01      ;Noord-Groningen                                   ;TR17      ;Overig Nederland                                  ;VR01      ;Groningen                                         ;WG02      ;Noord-Groningen en Eemsmond                       ;ZK09      ;Groningen                                         ;GA00      ;Niet van toepassing                               ;SG01      ;Groningen                                         ;3;10 000 tot 20 000 inwoners                        ;4;Weinig stedelijk         ;10553;624
