ID;Geslacht;Leeftijd;TypeZorg;Herkomstgroepering;Perioden;AantalInVerslagjaar_1;PercentageInVerslagjaar_2;TotaalUrenInVerslagjaar_3;GemiddeldPerPersoonInVerslagjaar_4;GemiddeldInBevolkingInVerslagjaar_5
19;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal allochtoon;2009;76135;3.1;11251;148;4.58
20;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal allochtoon;2010;79835;3.18;12150;152;4.84
21;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Westerse allochtoon;2004;51055;4.37;7248;142;6.2
22;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Westerse allochtoon;2005;50465;4.3;7391;146;6.3
23;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Westerse allochtoon;2006;51770;4.41;7850;152;6.68
24;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Westerse allochtoon;2007;52050;4.44;7828;150;6.67
25;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Westerse allochtoon;2008;53630;4.46;8058;150;6.7
26;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Westerse allochtoon;2009;54085;4.42;8367;155;6.84
27;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Westerse allochtoon;2010;55370;4.47;8729;158;7.05
28;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal Niet-westerse allochtoon;2004;16930;1.55;1913;113;1.75
29;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal Niet-westerse allochtoon;2005;17215;1.55;2017;117;1.81
30;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal Niet-westerse allochtoon;2006;18320;1.62;2336;127;2.07
31;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal Niet-westerse allochtoon;2007;19550;1.71;2526;129;2.2
32;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal Niet-westerse allochtoon;2008;21220;1.78;2654;125;2.23
33;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal Niet-westerse allochtoon;2009;22050;1.79;2883;131;2.33
34;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal Niet-westerse allochtoon;2010;24465;1.92;3421;140;2.69
35;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Marokko;2004;1785;0.94;146;82;0.77
36;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Marokko;2005;1845;0.94;179;97;0.92
37;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Marokko;2006;2245;1.12;301;134;1.5
38;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Marokko;2007;2630;1.29;387;147;1.9
39;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Marokko;2008;2860;1.36;383;134;1.82
40;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Marokko;2009;3005;1.39;451;150;2.09
41;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Marokko;2010;3475;1.57;576;166;2.59
42;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Turkije;2004;3245;1.42;267;82;1.16
43;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Turkije;2005;3235;1.38;282;87;1.2
44;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Turkije;2006;3450;1.44;345;100;1.44
45;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Turkije;2007;3720;1.52;388;104;1.59
46;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Turkije;2008;4090;1.62;411;101;1.63
47;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Turkije;2009;4230;1.62;449;106;1.72
48;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Turkije;2010;4825;1.81;543;112;2.03
49;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Suriname;2004;7110;3.04;993;140;4.25
50;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Suriname;2005;7165;3.01;1026;143;4.3
51;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Suriname;2006;7510;3.11;1109;148;4.59
52;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Suriname;2007;7715;3.15;1122;145;4.59
53;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Suriname;2008;8110;3.23;1165;144;4.64
54;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Suriname;2009;8230;3.21;1206;147;4.71
55;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Suriname;2010;8745;3.36;1358;155;5.22
56;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederlandse Antillen en Aruba;2004;1280;1.51;138;108;1.63
57;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederlandse Antillen en Aruba;2005;1365;1.6;152;111;1.79
58;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederlandse Antillen en Aruba;2006;1425;1.67;173;121;2.03
59;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederlandse Antillen en Aruba;2007;1480;1.72;180;121;2.09
60;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederlandse Antillen en Aruba;2008;1595;1.76;197;123;2.17
61;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederlandse Antillen en Aruba;2009;1685;1.81;213;126;2.29
62;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederlandse Antillen en Aruba;2010;1870;1.96;257;137;2.69
63;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige niet-westers;2004;3505;0.99;369;105;1.05
64;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige niet-westers;2005;3605;1.01;378;105;1.05
65;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige niet-westers;2006;3690;1.02;408;110;1.12
66;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige niet-westers;2007;4000;1.09;448;112;1.22
67;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige niet-westers;2008;4565;1.18;498;109;1.29
68;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige niet-westers;2009;4900;1.2;564;115;1.38
69;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige niet-westers;2010;5545;1.3;689;124;1.61
70;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal herkomstgroeperingen;2004;169795;1.33;16552;97;1.3
71;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal herkomstgroeperingen;2005;219245;1.71;24001;109;1.88
72;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal herkomstgroeperingen;2006;234270;1.83;26167;112;2.04
73;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal herkomstgroeperingen;2007;237020;1.85;26770;113;2.09
74;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal herkomstgroeperingen;2008;240110;1.85;27481;114;2.12
75;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal herkomstgroeperingen;2009;243535;1.87;28900;119;2.21
76;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal herkomstgroeperingen;2010;242320;1.84;29442;122;2.24
77;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Autochtoon;2004;151265;1.44;14798;98;1.41
78;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Autochtoon;2005;192595;1.83;21145;110;2.01
79;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Autochtoon;2006;204775;1.95;22927;112;2.18
80;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Autochtoon;2007;206525;1.96;23404;113;2.23
81;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Autochtoon;2008;207975;1.97;23937;115;2.27
82;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Autochtoon;2009;209620;1.98;25024;119;2.36
83;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Autochtoon;2010;206970;1.95;25290;122;2.38
84;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal allochtoon;2004;18530;0.82;1754;95;0.78
85;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal allochtoon;2005;26645;1.17;2856;107;1.25
86;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal allochtoon;2006;29495;1.28;3239;110;1.41
87;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal allochtoon;2007;30495;1.32;3366;110;1.45
88;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal allochtoon;2008;32135;1.34;3544;110;1.48
89;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal allochtoon;2009;33915;1.38;3876;114;1.58
90;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal allochtoon;2010;35350;1.41;4152;117;1.65
91;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Westerse allochtoon;2004;14410;1.23;1390;96;1.19
92;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Westerse allochtoon;2005;19260;1.64;2101;109;1.79
93;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Westerse allochtoon;2006;20865;1.78;2336;112;1.99
94;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Westerse allochtoon;2007;21095;1.8;2378;113;2.03
95;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Westerse allochtoon;2008;21695;1.81;2487;115;2.07
96;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Westerse allochtoon;2009;22360;1.83;2647;118;2.17
97;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Westerse allochtoon;2010;22330;1.8;2710;121;2.19
98;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal Niet-westerse allochtoon;2004;4120;0.38;364;88;0.33
99;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal Niet-westerse allochtoon;2005;7385;0.66;755;102;0.68
100;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal Niet-westerse allochtoon;2006;8630;0.76;903;105;0.8
101;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal Niet-westerse allochtoon;2007;9405;0.82;988;105;0.86
102;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal Niet-westerse allochtoon;2008;10435;0.87;1057;101;0.89
103;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal Niet-westerse allochtoon;2009;11560;0.94;1229;106;1.0
104;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal Niet-westerse allochtoon;2010;13020;1.02;1442;111;1.13
105;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Marokko;2004;270;0.14;20;72;0.1
106;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Marokko;2005;530;0.27;45;86;0.23
107;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Marokko;2006;725;0.36;69;95;0.34
108;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Marokko;2007;875;0.43;90;103;0.44
109;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Marokko;2008;1035;0.49;102;99;0.48
110;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Marokko;2009;1210;0.56;131;108;0.61
111;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Marokko;2010;1445;0.65;165;114;0.74
112;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Turkije;2004;805;0.35;59;73;0.26
113;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Turkije;2005;1390;0.59;122;88;0.52
114;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Turkije;2006;1580;0.66;145;92;0.6
115;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Turkije;2007;1695;0.69;164;96;0.67
116;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Turkije;2008;1860;0.74;164;88;0.65
117;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Turkije;2009;2060;0.79;193;93;0.74
118;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Turkije;2010;2445;0.92;238;97;0.89
119;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Suriname;2004;1945;0.83;191;98;0.81
120;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Suriname;2005;3515;1.48;409;116;1.71
121;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Suriname;2006;4080;1.69;473;116;1.96
122;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Suriname;2007;4295;1.76;490;114;2.0
123;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Suriname;2008;4585;1.83;510;111;2.03
124;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Suriname;2009;4890;1.91;559;114;2.18
125;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Suriname;2010;5225;2.01;628;120;2.41
126;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederlandse Antillen en Aruba;2004;290;0.34;24;84;0.29
127;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederlandse Antillen en Aruba;2005;525;0.62;45;87;0.53
128;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederlandse Antillen en Aruba;2006;585;0.68;55;95;0.65
129;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederlandse Antillen en Aruba;2007;635;0.74;58;91;0.67
130;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederlandse Antillen en Aruba;2008;705;0.78;67;94;0.74
131;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederlandse Antillen en Aruba;2009;825;0.89;81;98;0.87
132;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederlandse Antillen en Aruba;2010;935;0.98;99;106;1.03
133;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige niet-westers;2004;810;0.23;71;87;0.2
134;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige niet-westers;2005;1425;0.4;134;94;0.37
135;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige niet-westers;2006;1665;0.46;161;97;0.44
136;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige niet-westers;2007;1905;0.52;186;98;0.51
137;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige niet-westers;2008;2250;0.58;215;96;0.56
138;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige niet-westers;2009;2570;0.63;265;103;0.65
139;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige niet-westers;2010;2970;0.69;313;105;0.73
140;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal herkomstgroeperingen;2004;39710;0.31;6533;165;0.51
141;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal herkomstgroeperingen;2005;29425;0.23;4735;161;0.37
142;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal herkomstgroeperingen;2006;31910;0.25;4035;126;0.31
143;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal herkomstgroeperingen;2007;48000;0.37;4672;97;0.36
144;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal herkomstgroeperingen;2008;67705;0.52;5904;87;0.46
145;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal herkomstgroeperingen;2009;80775;0.62;7040;87;0.54
146;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal herkomstgroeperingen;2010;94740;0.72;7909;83;0.6
147;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Autochtoon;2004;34885;0.33;6067;174;0.58
148;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Autochtoon;2005;26270;0.25;4472;170;0.43
149;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Autochtoon;2006;28705;0.27;3796;132;0.36
150;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Autochtoon;2007;42960;0.41;4323;101;0.41
151;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Autochtoon;2008;60300;0.57;5359;89;0.51
152;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Autochtoon;2009;71605;0.68;6313;88;0.6
153;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Autochtoon;2010;83625;0.79;6975;83;0.66
154;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal allochtoon;2004;4830;0.21;466;97;0.21
155;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal allochtoon;2005;3155;0.14;263;83;0.12
156;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal allochtoon;2006;3210;0.14;239;75;0.1
157;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal allochtoon;2007;5045;0.22;348;69;0.15
158;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal allochtoon;2008;7405;0.31;546;74;0.23
159;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal allochtoon;2009;9170;0.37;727;79;0.3
160;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal allochtoon;2010;11120;0.44;934;84;0.37
161;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Westerse allochtoon;2004;3340;0.29;386;116;0.33
162;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Westerse allochtoon;2005;2360;0.2;221;93;0.19
163;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Westerse allochtoon;2006;2545;0.22;194;76;0.17
164;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Westerse allochtoon;2007;3915;0.33;274;70;0.23
165;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Westerse allochtoon;2008;5500;0.46;400;73;0.33
166;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Westerse allochtoon;2009;6745;0.55;522;77;0.43
167;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Westerse allochtoon;2010;8105;0.65;627;77;0.51
168;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal Niet-westerse allochtoon;2004;1485;0.14;80;54;0.07
169;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal Niet-westerse allochtoon;2005;795;0.07;42;53;0.04
170;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal Niet-westerse allochtoon;2006;660;0.06;45;68;0.04
171;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal Niet-westerse allochtoon;2007;1130;0.1;74;66;0.06
172;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal Niet-westerse allochtoon;2008;1905;0.16;146;77;0.12
173;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal Niet-westerse allochtoon;2009;2430;0.2;204;84;0.17
174;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal Niet-westerse allochtoon;2010;3015;0.24;307;102;0.24
175;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Marokko;2004;220;0.12;10;45;0.05
176;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Marokko;2005;115;0.06;7;64;0.04
177;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Marokko;2006;145;0.07;16;112;0.08
178;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Marokko;2007;270;0.13;31;116;0.15
179;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Marokko;2008;400;0.19;45;114;0.22
180;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Marokko;2009;445;0.21;60;135;0.28
181;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Marokko;2010;655;0.29;105;161;0.47
182;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Turkije;2004;345;0.15;17;48;0.07
183;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Turkije;2005;165;0.07;7;44;0.03
184;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Turkije;2006;145;0.06;9;61;0.04
185;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Turkije;2007;250;0.1;15;59;0.06
186;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Turkije;2008;490;0.19;39;80;0.15
187;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Turkije;2009;625;0.24;54;86;0.21
188;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Turkije;2010;725;0.27;61;85;0.23
189;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Suriname;2004;450;0.19;26;57;0.11
190;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Suriname;2005;240;0.1;14;59;0.06
191;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Suriname;2006;165;0.07;11;66;0.05
192;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Suriname;2007;290;0.12;15;51;0.06
193;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Suriname;2008;450;0.18;30;67;0.12
194;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Suriname;2009;585;0.23;41;70;0.16
195;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Suriname;2010;730;0.28;66;91;0.25
196;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederlandse Antillen en Aruba;2004;115;0.13;6;52;0.07
197;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederlandse Antillen en Aruba;2005;75;0.09;3;38;0.03
198;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederlandse Antillen en Aruba;2006;35;0.04;1;33;0.01
199;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederlandse Antillen en Aruba;2007;85;0.1;3;40;0.04
200;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederlandse Antillen en Aruba;2008;130;0.14;6;48;0.07
201;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederlandse Antillen en Aruba;2009;165;0.18;7;42;0.08
202;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederlandse Antillen en Aruba;2010;205;0.21;15;71;0.15
203;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige niet-westers;2004;355;0.1;22;61;0.06
204;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige niet-westers;2005;190;0.05;10;54;0.03
205;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige niet-westers;2006;175;0.05;8;47;0.02
206;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige niet-westers;2007;235;0.06;10;43;0.03
207;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige niet-westers;2008;435;0.11;25;57;0.06
208;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige niet-westers;2009;605;0.15;42;69;0.1
209;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige niet-westers;2010;700;0.16;59;85;0.14
210;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal herkomstgroeperingen;2004;66325;0.52;1629;25;0.13
211;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal herkomstgroeperingen;2005;58795;0.46;976;17;0.08
212;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal herkomstgroeperingen;2006;59755;0.47;974;16;0.08
213;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal herkomstgroeperingen;2007;55040;0.43;951;17;0.07
214;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal herkomstgroeperingen;2008;50005;0.39;873;17;0.07
215;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal herkomstgroeperingen;2009;41205;0.32;719;17;0.06
216;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal herkomstgroeperingen;2010;37405;0.28;638;17;0.05
217;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Autochtoon;2004;57905;0.55;1434;25;0.14
218;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Autochtoon;2005;50835;0.48;837;16;0.08
219;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Autochtoon;2006;51545;0.49;835;16;0.08
220;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Autochtoon;2007;47275;0.45;807;17;0.08
221;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Autochtoon;2008;42675;0.4;738;17;0.07
222;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Autochtoon;2009;35205;0.33;608;17;0.06
223;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Autochtoon;2010;31850;0.3;527;17;0.05
