ID;Geslacht;HoogstGevolgdeOpleiding;Perioden;TotaalHaltJongeren_1;TotaalMisdrijvenHalt_2;GeweldsmisdrijvenHalt_3;VernielingEnOpenbareOrdeHalt_4;VermogensmisdrijvenHalt_5;OverigeMisdrijvenHalt_6;TotaalOvertredingenHalt_7;BaldadigheidHalt_8;OvertredingLeerplichtwetHalt_9;VuurwerkovertredingenHalt_10;OverigeOvertredingenHalt_11;OnbekendMisdrijfOfOvertreding_12;TotaalHaltJongeren_13;TotaalMisdrijvenHalt_14;GeweldsmisdrijvenHalt_15;VernielingEnOpenbareOrdeHalt_16;VermogensmisdrijvenHalt_17;OverigeMisdrijvenHalt_18;TotaalOvertredingenHalt_19;BaldadigheidHalt_20;OvertredingLeerplichtwetHalt_21;VuurwerkovertredingenHalt_22;OverigeOvertredingenHalt_23;OnbekendMisdrijfOfOvertreding_24
15;Totaal mannen en vrouwen;Basisonderwijs;2010;890.0;490.0;20.0;140.0;320.0;10.0;400.0;150.0;10.0;200.0;40.0;0.0;137.0;75.0;3.0;22.0;48.0;2.0;62.0;23.0;2.0;30.0;7.0;
16;Totaal mannen en vrouwen;Basisonderwijs;2011;860.0;440.0;10.0;120.0;300.0;10.0;420.0;180.0;20.0;170.0;70.0;0.0;135.0;69.0;2.0;18.0;47.0;2.0;66.0;28.0;3.0;26.0;10.0;
17;Totaal mannen en vrouwen;Basisonderwijs;2012;780.0;410.0;20.0;110.0;270.0;20.0;380.0;180.0;20.0;150.0;30.0;0.0;124.0;64.0;3.0;17.0;42.0;2.0;60.0;28.0;4.0;23.0;5.0;
18;Totaal mannen en vrouwen;Basisonderwijs;2013;770.0;410.0;30.0;90.0;260.0;30.0;360.0;150.0;20.0;140.0;60.0;0.0;128.0;68.0;5.0;14.0;43.0;5.0;61.0;25.0;3.0;23.0;9.0;
19;Totaal mannen en vrouwen;Basisonderwijs;2014;;;;;;;;;;;;;;;;;;;;;;;;
20;Totaal mannen en vrouwen;Vmbo;2005;;;;;;;;;;;;;;;;;;;;;;;;
21;Totaal mannen en vrouwen;Vmbo;2006;9130.0;5290.0;0.0;2010.0;3270.0;0.0;2730.0;1000.0;0.0;1510.0;220.0;1110.0;279.0;162.0;;62.0;100.0;;84.0;31.0;;46.0;7.0;34.0
22;Totaal mannen en vrouwen;Vmbo;2007;10100.0;5450.0;10.0;2100.0;3330.0;10.0;3360.0;1040.0;80.0;2080.0;170.0;1290.0;310.0;167.0;0.0;65.0;102.0;0.0;103.0;32.0;2.0;64.0;5.0;40.0
23;Totaal mannen en vrouwen;Vmbo;2008;9230.0;5000.0;70.0;1880.0;3030.0;20.0;3790.0;870.0;1170.0;1570.0;180.0;430.0;288.0;156.0;2.0;59.0;95.0;1.0;119.0;27.0;37.0;49.0;6.0;14.0
24;Totaal mannen en vrouwen;Vmbo;2009;8810.0;4550.0;60.0;1400.0;3080.0;20.0;4040.0;780.0;1190.0;1370.0;690.0;230.0;281.0;145.0;2.0;45.0;98.0;1.0;129.0;25.0;38.0;44.0;22.0;7.0
25;Totaal mannen en vrouwen;Vmbo;2010;7460.0;3400.0;50.0;770.0;2490.0;90.0;4070.0;930.0;1380.0;1070.0;690.0;0.0;242.0;110.0;1.0;25.0;81.0;3.0;132.0;30.0;45.0;35.0;22.0;
26;Totaal mannen en vrouwen;Vmbo;2011;7480.0;3050.0;50.0;680.0;2220.0;100.0;4430.0;1090.0;1430.0;950.0;950.0;0.0;240.0;98.0;2.0;22.0;71.0;3.0;142.0;35.0;46.0;31.0;31.0;
27;Totaal mannen en vrouwen;Vmbo;2012;7950.0;3240.0;120.0;690.0;2210.0;230.0;4710.0;1290.0;1730.0;820.0;870.0;0.0;249.0;101.0;4.0;22.0;69.0;7.0;148.0;41.0;54.0;26.0;27.0;
28;Totaal mannen en vrouwen;Vmbo;2013;7580.0;3100.0;200.0;530.0;2040.0;320.0;4480.0;1080.0;1580.0;870.0;940.0;0.0;231.0;94.0;6.0;16.0;62.0;10.0;136.0;33.0;48.0;27.0;29.0;
29;Totaal mannen en vrouwen;Vmbo;2014;;;;;;;;;;;;;;;;;;;;;;;;
30;Totaal mannen en vrouwen;Voortgezet speciaal onderwijs;2005;;;;;;;;;;;;;;;;;;;;;;;;
31;Totaal mannen en vrouwen;Voortgezet speciaal onderwijs;2006;60.0;30.0;0.0;10.0;30.0;0.0;20.0;10.0;0.0;10.0;0.0;10.0;40.0;24.0;;6.0;18.0;;11.0;6.0;;5.0;;5.0
32;Totaal mannen en vrouwen;Voortgezet speciaal onderwijs;2007;570.0;330.0;0.0;130.0;200.0;0.0;190.0;40.0;10.0;140.0;10.0;50.0;193.0;115.0;;44.0;70.0;;63.0;12.0;2.0;47.0;2.0;15.0
33;Totaal mannen en vrouwen;Voortgezet speciaal onderwijs;2008;960.0;550.0;10.0;190.0;350.0;0.0;370.0;80.0;60.0;210.0;20.0;40.0;315.0;182.0;2.0;64.0;116.0;;119.0;26.0;21.0;67.0;5.0;13.0
34;Totaal mannen en vrouwen;Voortgezet speciaal onderwijs;2009;990.0;530.0;10.0;140.0;380.0;0.0;440.0;100.0;70.0;190.0;80.0;20.0;330.0;176.0;4.0;45.0;126.0;;146.0;32.0;25.0;64.0;25.0;8.0
35;Totaal mannen en vrouwen;Voortgezet speciaal onderwijs;2010;790.0;440.0;10.0;90.0;320.0;20.0;360.0;80.0;90.0;140.0;50.0;0.0;267.0;147.0;4.0;31.0;107.0;5.0;120.0;27.0;31.0;46.0;15.0;
36;Totaal mannen en vrouwen;Voortgezet speciaal onderwijs;2011;810.0;410.0;0.0;80.0;320.0;10.0;400.0;130.0;110.0;100.0;60.0;0.0;268.0;136.0;;24.0;108.0;4.0;132.0;42.0;36.0;34.0;20.0;
37;Totaal mannen en vrouwen;Voortgezet speciaal onderwijs;2012;970.0;460.0;20.0;80.0;330.0;30.0;510.0;130.0;200.0;130.0;60.0;0.0;315.0;150.0;5.0;26.0;108.0;11.0;166.0;40.0;67.0;41.0;18.0;
38;Totaal mannen en vrouwen;Voortgezet speciaal onderwijs;2013;920.0;490.0;20.0;80.0;340.0;40.0;430.0;90.0;120.0;130.0;90.0;0.0;289.0;155.0;7.0;27.0;107.0;14.0;134.0;29.0;36.0;39.0;30.0;
39;Totaal mannen en vrouwen;Voortgezet speciaal onderwijs;2014;;;;;;;;;;;;;;;;;;;;;;;;
40;Totaal mannen en vrouwen;Mbo;2005;;;;;;;;;;;;;;;;;;;;;;;;
41;Totaal mannen en vrouwen;Mbo;2006;2100.0;1350.0;0.0;610.0;740.0;0.0;570.0;210.0;0.0;280.0;80.0;180.0;130.0;83.0;;37.0;46.0;;35.0;13.0;;18.0;5.0;11.0
42;Totaal mannen en vrouwen;Mbo;2007;1660.0;1050.0;10.0;500.0;540.0;0.0;490.0;160.0;0.0;300.0;30.0;130.0;98.0;62.0;0.0;28.0;33.0;;29.0;9.0;;18.0;2.0;8.0
43;Totaal mannen en vrouwen;Mbo;2008;1600.0;1000.0;20.0;460.0;520.0;0.0;510.0;160.0;30.0;290.0;40.0;90.0;94.0;59.0;1.0;26.0;31.0;;30.0;9.0;2.0;17.0;2.0;5.0
44;Totaal mannen en vrouwen;Mbo;2009;1580.0;950.0;20.0;360.0;570.0;10.0;580.0;140.0;50.0;200.0;200.0;50.0;96.0;58.0;1.0;21.0;35.0;1.0;35.0;8.0;3.0;12.0;12.0;3.0
45;Totaal mannen en vrouwen;Mbo;2010;1470.0;710.0;20.0;240.0;430.0;30.0;760.0;210.0;110.0;180.0;260.0;0.0;92.0;44.0;1.0;15.0;27.0;1.0;48.0;12.0;7.0;11.0;17.0;
46;Totaal mannen en vrouwen;Mbo;2011;1680.0;710.0;20.0;230.0;430.0;30.0;960.0;260.0;170.0;120.0;420.0;0.0;109.0;45.0;1.0;14.0;28.0;2.0;63.0;16.0;11.0;8.0;28.0;
47;Totaal mannen en vrouwen;Mbo;2012;1630.0;740.0;20.0;210.0;430.0;90.0;880.0;270.0;210.0;110.0;290.0;0.0;105.0;47.0;1.0;12.0;28.0;6.0;58.0;17.0;15.0;7.0;20.0;
48;Totaal mannen en vrouwen;Mbo;2013;1760.0;750.0;50.0;170.0;390.0;140.0;1010.0;230.0;300.0;110.0;370.0;0.0;112.0;47.0;3.0;10.0;25.0;9.0;65.0;13.0;20.0;7.0;25.0;
49;Totaal mannen en vrouwen;Mbo;2014;;;;;;;;;;;;;;;;;;;;;;;;
50;Totaal mannen en vrouwen;Havo, vwo;2005;;;;;;;;;;;;;;;;;;;;;;;;
51;Totaal mannen en vrouwen;Havo, vwo;2006;6230.0;3710.0;0.0;1470.0;2250.0;0.0;2000.0;710.0;0.0;1110.0;180.0;520.0;108.0;64.0;;25.0;39.0;;35.0;12.0;;19.0;3.0;9.0
52;Totaal mannen en vrouwen;Havo, vwo;2007;7200.0;4010.0;10.0;1610.0;2380.0;0.0;2550.0;840.0;20.0;1570.0;110.0;640.0;124.0;69.0;0.0;28.0;41.0;;44.0;14.0;0.0;27.0;2.0;11.0
53;Totaal mannen en vrouwen;Havo, vwo;2008;6900.0;3870.0;50.0;1550.0;2250.0;30.0;2720.0;690.0;510.0;1380.0;140.0;310.0;118.0;66.0;1.0;26.0;38.0;0.0;47.0;12.0;9.0;24.0;2.0;5.0
54;Totaal mannen en vrouwen;Havo, vwo;2009;6770.0;3530.0;40.0;1180.0;2300.0;10.0;3040.0;700.0;640.0;1160.0;540.0;210.0;114.0;59.0;1.0;20.0;39.0;0.0;51.0;12.0;11.0;20.0;9.0;4.0
55;Totaal mannen en vrouwen;Havo, vwo;2010;5700.0;2660.0;20.0;680.0;1880.0;70.0;3040.0;840.0;660.0;890.0;650.0;0.0;95.0;44.0;0.0;11.0;31.0;1.0;50.0;14.0;11.0;15.0;11.0;
56;Totaal mannen en vrouwen;Havo, vwo;2011;5770.0;2340.0;20.0;550.0;1690.0;90.0;3430.0;960.0;720.0;770.0;970.0;0.0;94.0;38.0;0.0;9.0;28.0;1.0;56.0;16.0;12.0;13.0;16.0;
57;Totaal mannen en vrouwen;Havo, vwo;2012;5570.0;2310.0;50.0;580.0;1500.0;190.0;3260.0;990.0;780.0;650.0;840.0;0.0;91.0;37.0;1.0;9.0;24.0;3.0;53.0;16.0;13.0;11.0;14.0;
58;Totaal mannen en vrouwen;Havo, vwo;2013;4980.0;1870.0;120.0;380.0;1150.0;230.0;3110.0;830.0;780.0;650.0;850.0;0.0;81.0;30.0;2.0;6.0;19.0;4.0;51.0;13.0;13.0;11.0;14.0;
59;Totaal mannen en vrouwen;Havo, vwo;2014;;;;;;;;;;;;;;;;;;;;;;;;
60;Totaal mannen en vrouwen;Hbo, wo;2005;;;;;;;;;;;;;;;;;;;;;;;;
61;Totaal mannen en vrouwen;Hbo, wo;2006;10.0;10.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;5.0;;;4.0;;;;;;;
62;Totaal mannen en vrouwen;Hbo, wo;2007;50.0;40.0;0.0;20.0;20.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;20.0;15.0;;7.0;8.0;;3.0;;;;;
63;Totaal mannen en vrouwen;Hbo, wo;2008;70.0;50.0;0.0;30.0;20.0;0.0;20.0;10.0;0.0;10.0;0.0;10.0;29.0;18.0;;8.0;9.0;;8.0;6.0;;;;3.0
64;Totaal mannen en vrouwen;Hbo, wo;2009;70.0;40.0;0.0;20.0;20.0;0.0;30.0;10.0;0.0;10.0;10.0;0.0;25.0;15.0;;7.0;7.0;;10.0;;;4.0;5.0;
65;Totaal mannen en vrouwen;Hbo, wo;2010;70.0;40.0;0.0;10.0;30.0;0.0;30.0;10.0;0.0;0.0;20.0;0.0;25.0;15.0;;3.0;12.0;;10.0;;;;7.0;
66;Totaal mannen en vrouwen;Hbo, wo;2011;80.0;30.0;0.0;20.0;10.0;0.0;50.0;20.0;0.0;10.0;20.0;0.0;29.0;12.0;;5.0;5.0;;17.0;6.0;;;8.0;
67;Totaal mannen en vrouwen;Hbo, wo;2012;80.0;50.0;0.0;30.0;10.0;10.0;30.0;10.0;0.0;0.0;20.0;0.0;30.0;19.0;;8.0;5.0;3.0;11.0;3.0;;;7.0;
68;Totaal mannen en vrouwen;Hbo, wo;2013;70.0;40.0;0.0;10.0;10.0;20.0;30.0;10.0;0.0;0.0;20.0;0.0;23.0;13.0;;5.0;2.0;4.0;11.0;;;;7.0;
69;Totaal mannen en vrouwen;Hbo, wo;2014;;;;;;;;;;;;;;;;;;;;;;;;
70;Totaal mannen en vrouwen;Opleiding onbekend;2005;22230.0;12690.0;0.0;4620.0;8070.0;0.0;7630.0;2050.0;0.0;5080.0;500.0;1900.0;;;;;;;;;;;;
71;Totaal mannen en vrouwen;Opleiding onbekend;2006;1980.0;1120.0;0.0;420.0;700.0;0.0;700.0;170.0;0.0;490.0;50.0;160.0;290.0;173.0;;56.0;116.0;;95.0;26.0;;62.0;7.0;22.0
72;Totaal mannen en vrouwen;Opleiding onbekend;2007;1560.0;730.0;0.0;270.0;450.0;0.0;710.0;130.0;0.0;550.0;20.0;130.0;249.0;142.0;;57.0;85.0;;89.0;22.0;;65.0;;18.0
73;Totaal mannen en vrouwen;Opleiding onbekend;2008;1150.0;540.0;0.0;180.0;350.0;0.0;580.0;100.0;90.0;370.0;30.0;40.0;142.0;87.0;;34.0;52.0;;51.0;16.0;4.0;30.0;;4.0
74;Totaal mannen en vrouwen;Opleiding onbekend;2009;890.0;430.0;10.0;130.0;300.0;0.0;440.0;60.0;50.0;270.0;60.0;20.0;147.0;87.0;;32.0;52.0;;60.0;13.0;7.0;28.0;11.0;
75;Totaal mannen en vrouwen;Opleiding onbekend;2010;640.0;310.0;10.0;60.0;230.0;10.0;310.0;50.0;50.0;150.0;70.0;30.0;112.0;67.0;3.0;16.0;46.0;;46.0;10.0;7.0;18.0;10.0;
76;Totaal mannen en vrouwen;Opleiding onbekend;2011;630.0;270.0;0.0;70.0;200.0;10.0;340.0;80.0;60.0;110.0;90.0;20.0;142.0;70.0;;15.0;51.0;;72.0;22.0;11.0;22.0;17.0;
77;Totaal mannen en vrouwen;Opleiding onbekend;2012;530.0;230.0;0.0;40.0;180.0;10.0;250.0;60.0;70.0;70.0;60.0;50.0;121.0;65.0;;12.0;48.0;4.0;56.0;15.0;15.0;14.0;12.0;
78;Totaal mannen en vrouwen;Opleiding onbekend;2013;470.0;230.0;20.0;40.0;160.0;20.0;230.0;50.0;60.0;60.0;60.0;10.0;123.0;69.0;8.0;13.0;38.0;10.0;54.0;12.0;14.0;9.0;19.0;
79;Totaal mannen en vrouwen;Opleiding onbekend;2014;16590.0;7340.0;630.0;1270.0;4470.0;970.0;9250.0;2120.0;2720.0;1880.0;2530.0;10.0;133.0;59.0;5.0;10.0;36.0;8.0;74.0;17.0;22.0;15.0;20.0;
80;Mannen;Totaal opleidingen;2005;17200.0;8740.0;0.0;4230.0;4510.0;0.0;7150.0;1850.0;0.0;4880.0;430.0;1310.0;;;;;;;;;;;;
81;Mannen;Totaal opleidingen;2006;16520.0;8790.0;0.0;4670.0;4120.0;0.0;6330.0;2200.0;0.0;3660.0;480.0;1400.0;250.0;134.0;;71.0;62.0;;95.0;34.0;;54.0;7.0;21.0
82;Mannen;Totaal opleidingen;2007;17740.0;8590.0;20.0;4780.0;3770.0;10.0;7610.0;2270.0;60.0;4950.0;330.0;1540.0;269.0;132.0;0.0;74.0;58.0;0.0;114.0;35.0;1.0;73.0;5.0;24.0
83;Mannen;Totaal opleidingen;2008;15990.0;8020.0;110.0;4210.0;3660.0;50.0;7220.0;1880.0;1060.0;3960.0;310.0;760.0;247.0;125.0;2.0;65.0;57.0;1.0;110.0;30.0;17.0;59.0;5.0;12.0
84;Mannen;Totaal opleidingen;2009;15050.0;7020.0;100.0;3200.0;3690.0;30.0;7560.0;1790.0;1150.0;3360.0;1260.0;470.0;236.0;111.0;2.0;50.0;58.0;1.0;118.0;28.0;19.0;51.0;20.0;7.0
85;Mannen;Totaal opleidingen;2010;12400.0;5120.0;90.0;1860.0;2990.0;180.0;7260.0;2040.0;1360.0;2530.0;1330.0;20.0;196.0;81.0;1.0;30.0;47.0;3.0;115.0;33.0;22.0;39.0;21.0;
86;Mannen;Totaal opleidingen;2011;12650.0;4600.0;70.0;1590.0;2740.0;200.0;8040.0;2450.0;1490.0;2160.0;1940.0;20.0;200.0;72.0;1.0;25.0;43.0;3.0;128.0;39.0;24.0;34.0;31.0;
87;Mannen;Totaal opleidingen;2012;12840.0;4920.0;150.0;1590.0;2780.0;400.0;7890.0;2590.0;1820.0;1860.0;1620.0;30.0;203.0;78.0;2.0;25.0;44.0;6.0;125.0;41.0;29.0;29.0;26.0;
88;Mannen;Totaal opleidingen;2013;12110.0;4530.0;290.0;1180.0;2450.0;620.0;7560.0;2160.0;1690.0;1890.0;1820.0;10.0;189.0;71.0;5.0;18.0;38.0;10.0;119.0;34.0;27.0;29.0;29.0;
89;Mannen;Totaal opleidingen;2014;12300.0;4940.0;430.0;1170.0;2600.0;750.0;7350.0;1950.0;1660.0;1830.0;1920.0;0.0;193.0;77.0;7.0;18.0;40.0;12.0;115.0;31.0;26.0;29.0;30.0;
90;Mannen;Basisonderwijs;2005;;;;;;;;;;;;;;;;;;;;;;;;
91;Mannen;Basisonderwijs;2006;1710.0;960.0;0.0;510.0;460.0;0.0;680.0;250.0;0.0;400.0;30.0;70.0;323.0;181.0;;96.0;86.0;;128.0;47.0;;75.0;6.0;13.0
92;Mannen;Basisonderwijs;2007;1800.0;900.0;0.0;550.0;350.0;0.0;820.0;240.0;0.0;540.0;40.0;80.0;387.0;193.0;;118.0;75.0;;176.0;50.0;;116.0;9.0;18.0
93;Mannen;Basisonderwijs;2008;1320.0;740.0;10.0;420.0;310.0;10.0;540.0;170.0;10.0;340.0;20.0;40.0;300.0;169.0;2.0;95.0;71.0;1.0;123.0;39.0;3.0;77.0;4.0;9.0
94;Mannen;Basisonderwijs;2009;1120.0;580.0;10.0;280.0;290.0;0.0;520.0;160.0;10.0;290.0;60.0;20.0;272.0;141.0;3.0;67.0;71.0;;127.0;39.0;2.0;71.0;15.0;4.0
95;Mannen;Basisonderwijs;2010;750.0;370.0;20.0;130.0;210.0;10.0;380.0;140.0;10.0;190.0;40.0;0.0;188.0;93.0;4.0;34.0;53.0;3.0;95.0;35.0;2.0;48.0;9.0;
96;Mannen;Basisonderwijs;2011;710.0;320.0;10.0;110.0;190.0;10.0;390.0;160.0;10.0;160.0;60.0;0.0;181.0;81.0;3.0;26.0;49.0;2.0;100.0;43.0;3.0;41.0;13.0;
97;Mannen;Basisonderwijs;2012;660.0;310.0;20.0;100.0;180.0;10.0;350.0;170.0;20.0;140.0;20.0;0.0;172.0;80.0;4.0;25.0;47.0;3.0;92.0;45.0;4.0;37.0;6.0;
98;Mannen;Basisonderwijs;2013;620.0;300.0;30.0;80.0;170.0;30.0;320.0;130.0;10.0;130.0;50.0;0.0;169.0;81.0;6.0;21.0;46.0;7.0;88.0;35.0;3.0;36.0;14.0;
99;Mannen;Basisonderwijs;2014;;;;;;;;;;;;;;;;;;;;;;;;
100;Mannen;Vmbo;2005;;;;;;;;;;;;;;;;;;;;;;;;
101;Mannen;Vmbo;2006;6810.0;3560.0;0.0;1830.0;1730.0;0.0;2550.0;920.0;0.0;1440.0;180.0;710.0;393.0;205.0;;106.0;99.0;;147.0;53.0;;83.0;10.0;41.0
102;Mannen;Vmbo;2007;7490.0;3580.0;10.0;1900.0;1670.0;10.0;3120.0;950.0;50.0;1970.0;150.0;790.0;436.0;208.0;0.0;110.0;97.0;0.0;181.0;55.0;3.0;115.0;9.0;46.0
103;Mannen;Vmbo;2008;6540.0;3190.0;50.0;1610.0;1510.0;20.0;3020.0;760.0;640.0;1480.0;130.0;340.0;387.0;188.0;3.0;95.0;89.0;1.0;178.0;45.0;38.0;88.0;8.0;20.0
104;Mannen;Vmbo;2009;6220.0;2830.0;40.0;1230.0;1540.0;10.0;3200.0;720.0;660.0;1320.0;510.0;190.0;376.0;171.0;2.0;74.0;93.0;1.0;194.0;43.0;40.0;80.0;31.0;11.0
105;Mannen;Vmbo;2010;5230.0;2080.0;30.0;710.0;1270.0;70.0;3150.0;830.0;780.0;1020.0;520.0;0.0;323.0;128.0;2.0;44.0;78.0;4.0;194.0;51.0;48.0;63.0;32.0;
106;Mannen;Vmbo;2011;5270.0;1870.0;30.0;620.0;1140.0;80.0;3410.0;970.0;810.0;930.0;700.0;0.0;325.0;115.0;2.0;38.0;70.0;5.0;210.0;60.0;50.0;57.0;43.0;
107;Mannen;Vmbo;2012;5640.0;2110.0;80.0;620.0;1240.0;160.0;3530.0;1120.0;1000.0;780.0;630.0;0.0;340.0;127.0;5.0;37.0;75.0;10.0;213.0;67.0;61.0;47.0;38.0;
108;Mannen;Vmbo;2013;5300.0;1950.0;110.0;470.0;1130.0;240.0;3350.0;960.0;870.0;840.0;690.0;0.0;310.0;114.0;7.0;28.0;66.0;14.0;196.0;56.0;51.0;49.0;40.0;
109;Mannen;Vmbo;2014;;;;;;;;;;;;;;;;;;;;;;;;
110;Mannen;Voortgezet speciaal onderwijs;2005;;;;;;;;;;;;;;;;;;;;;;;;
111;Mannen;Voortgezet speciaal onderwijs;2006;40.0;20.0;0.0;10.0;10.0;0.0;20.0;10.0;0.0;10.0;0.0;10.0;50.0;25.0;;8.0;17.0;;19.0;11.0;;8.0;;6.0
112;Mannen;Voortgezet speciaal onderwijs;2007;430.0;240.0;0.0;120.0;130.0;0.0;160.0;30.0;0.0;130.0;0.0;20.0;246.0;142.0;;68.0;73.0;;92.0;17.0;;73.0;;12.0
113;Mannen;Voortgezet speciaal onderwijs;2008;750.0;400.0;0.0;170.0;220.0;0.0;320.0;80.0;30.0;200.0;10.0;30.0;415.0;221.0;;96.0;121.0;;176.0;42.0;18.0;109.0;7.0;19.0
114;Mannen;Voortgezet speciaal onderwijs;2009;770.0;370.0;10.0;120.0;240.0;0.0;380.0;90.0;40.0;180.0;60.0;20.0;430.0;208.0;6.0;68.0;132.0;;211.0;51.0;25.0;100.0;35.0;11.0
115;Mannen;Voortgezet speciaal onderwijs;2010;590.0;290.0;10.0;80.0;190.0;10.0;290.0;70.0;60.0;130.0;30.0;0.0;334.0;166.0;5.0;47.0;108.0;6.0;167.0;39.0;33.0;76.0;20.0;
116;Mannen;Voortgezet speciaal onderwijs;2011;600.0;270.0;0.0;70.0;190.0;10.0;330.0;120.0;70.0;100.0;50.0;0.0;335.0;150.0;;37.0;108.0;4.0;185.0;64.0;38.0;54.0;29.0;
117;Mannen;Voortgezet speciaal onderwijs;2012;700.0;290.0;10.0;70.0;190.0;30.0;410.0;110.0;120.0;120.0;50.0;0.0;386.0;163.0;5.0;41.0;102.0;15.0;223.0;62.0;68.0;68.0;26.0;
118;Mannen;Voortgezet speciaal onderwijs;2013;680.0;330.0;20.0;70.0;210.0;30.0;340.0;80.0;60.0;120.0;80.0;0.0;368.0;184.0;8.0;40.0;116.0;19.0;185.0;45.0;31.0;62.0;47.0;
119;Mannen;Voortgezet speciaal onderwijs;2014;;;;;;;;;;;;;;;;;;;;;;;;
120;Mannen;Mbo;2005;;;;;;;;;;;;;;;;;;;;;;;;
