ID;Achtergrondkenmerken;Perioden;EigenBuurtOfWijk_1;EldersInWoongemeente_2;EldersInNederland_3;InHetBuitenland_4;BijSlachtofferThuis_5;InBijAndereWoning_6;InBijCafeBarDiscoRestaurant_7;OpStraat_8;InBijStationBushalte_9;InTramBusTrein_10;InAuto_11;OpWerkOpSchool_12;InBijWinkelWarenhuis_13;InBijSportaccommodatie_14;InBijParkStrandParking_15;Elders_16
40;Vermogensdelicten totaal;1997;52.5;27.1;16.0;4.3;;;;;;;;;;;;
41;Vermogensdelicten totaal;1998;47.3;29.8;16.2;6.7;;;;;;;;;;;;
42;Vermogensdelicten totaal;1999;50.3;26.6;17.5;5.5;;;;;;;;;;;;
43;Vermogensdelicten totaal;2000;50.7;27.0;17.5;4.8;;;;;;;;;;;;
44;Vermogensdelicten totaal;2001;48.1;28.1;19.0;4.8;;;;;;;;;;;;
45;Vermogensdelicten totaal;2002;49.2;28.1;18.6;4.0;;;;;;;;;;;;
46;Vermogensdelicten totaal;2003;50.3;29.5;16.4;3.9;;;;;;;;;;;;
47;Vermogensdelicten totaal;2004;55.8;26.8;14.1;3.3;;;;;;;;;;;;
48;Inbraak;1997;95.1;3.8;1.1;0.0;;;;;;;;;;;;
49;Inbraak;1998;92.2;3.5;4.4;0.0;;;;;;;;;;;;
50;Inbraak;1999;90.9;5.2;3.9;0.0;;;;;;;;;;;;
51;Inbraak;2000;96.8;2.7;0.5;0.0;;;;;;;;;;;;
52;Inbraak;2001;92.2;4.4;0.0;3.4;;;;;;;;;;;;
53;Inbraak;2002;95.2;0.9;3.3;0.5;;;;;;;;;;;;
54;Inbraak;2003;94.6;2.3;3.1;0.0;;;;;;;;;;;;
55;Inbraak;2004;97.4;2.4;0.3;0.0;;;;;;;;;;;;
56;Fietsdiefstal;1997;44.6;44.9;10.4;0.2;17.1;4.8;13.6;13.4;18.0;3.1;0.0;6.3;6.0;4.0;2.7;11.0
57;Fietsdiefstal;1998;43.0;43.5;12.5;1.0;17.1;4.9;12.3;15.1;19.4;3.0;0.0;7.8;5.4;2.7;1.5;10.8
58;Fietsdiefstal;1999;46.6;43.8;9.7;0.0;18.4;6.5;11.7;14.8;18.7;1.4;0.0;9.0;5.2;2.4;2.0;10.0
59;Fietsdiefstal;2000;46.4;40.6;12.8;0.1;18.2;5.3;11.6;14.9;21.5;1.4;0.0;8.4;5.5;2.2;1.9;9.2
60;Fietsdiefstal;2001;44.2;44.3;11.5;0.1;14.3;7.9;14.2;13.7;17.3;3.0;0.0;8.0;10.3;2.2;1.7;7.5
61;Fietsdiefstal;2002;43.5;44.8;11.3;0.4;18.6;7.4;11.5;12.4;17.0;2.2;0.0;6.8;12.2;1.9;1.4;8.5
62;Fietsdiefstal;2003;44.8;45.8;9.0;0.3;22.3;6.0;11.5;11.9;13.7;2.1;0.0;10.0;10.0;3.6;1.7;7.1
63;Fietsdiefstal;2004;52.1;37.6;10.2;0.1;23.0;6.1;10.4;12.2;15.2;2.1;0.0;7.9;11.5;1.9;2.4;7.3
64;Autodiefstal;1997;56.3;11.2;30.0;2.6;13.6;12.7;0.8;36.4;9.5;;;3.3;0.0;0.0;13.2;10.6
65;Autodiefstal;1998;56.3;11.2;30.0;2.6;13.6;12.7;0.8;36.4;9.5;;;3.3;0.0;0.0;13.2;10.6
66;Autodiefstal;1999;56.3;11.2;30.0;2.6;13.6;12.7;0.8;36.4;9.5;;;3.3;0.0;0.0;13.2;10.6
67;Autodiefstal;2000;56.3;11.2;30.0;2.6;13.6;12.7;0.8;36.4;9.5;;;3.3;0.0;0.0;13.2;10.6
68;Autodiefstal;2001;56.3;11.2;30.0;2.6;13.6;12.7;0.8;36.4;9.5;;;3.3;0.0;0.0;13.2;10.6
69;Autodiefstal;2002;;;;;;;;;;;;;;;;
70;Autodiefstal;2003;;;;;;;;;;;;;;;;
71;Autodiefstal;2004;;;;;;;;;;;;;;;;
72;Diefstal uit auto;1997;55.8;10.2;28.7;5.3;17.2;5.8;1.2;34.8;0.5;;;6.8;0.5;2.0;18.4;12.5
73;Diefstal uit auto;1998;51.4;11.3;30.7;6.6;20.0;4.1;2.3;32.0;3.1;;;5.0;1.2;1.8;15.9;14.5
74;Diefstal uit auto;1999;50.6;13.5;30.2;5.7;12.5;7.1;3.5;32.5;2.7;;;6.9;0.8;0.0;19.6;14.4
75;Diefstal uit auto;2000;57.6;15.5;23.1;3.7;17.5;5.0;2.3;37.1;1.0;;;4.0;0.6;2.7;10.6;19.2
76;Diefstal uit auto;2001;49.5;11.7;33.3;5.5;15.9;3.2;1.2;27.5;2.6;;;4.6;3.2;2.7;16.7;22.4
77;Diefstal uit auto;2002;49.2;14.0;35.0;1.8;14.2;16.5;2.7;21.9;2.6;;;2.6;1.9;2.0;17.6;17.9
78;Diefstal uit auto;2003;59.9;12.3;24.9;2.9;21.3;11.1;2.1;28.6;2.4;;;5.2;1.7;2.6;9.0;16.1
79;Diefstal uit auto;2004;61.0;14.4;20.9;3.7;27.5;6.5;2.8;29.6;2.3;;;5.8;4.0;1.3;7.6;12.8
80;Zakkenrollerij;1997;27.8;30.7;26.2;15.3;3.4;0.7;7.1;19.6;2.4;15.1;0.0;13.3;21.6;6.2;0.4;10.2
81;Zakkenrollerij;1998;16.7;39.4;24.5;19.5;1.4;4.1;9.9;18.9;5.5;8.1;0.7;13.0;12.5;9.7;1.4;15.0
82;Zakkenrollerij;1999;19.8;26.3;38.3;15.5;1.2;0.2;6.2;18.5;8.7;11.2;1.5;14.1;17.7;4.3;3.1;13.4
83;Zakkenrollerij;2000;21.2;26.0;36.9;15.9;2.6;1.9;12.0;19.7;3.1;7.6;1.3;18.6;12.1;7.2;2.1;11.8
84;Zakkenrollerij;2001;30.1;32.1;26.1;11.7;3.3;0.4;9.6;16.5;2.5;8.0;0.5;17.9;19.3;8.0;3.7;10.4
85;Zakkenrollerij;2002;19.0;37.2;31.0;12.8;2.9;1.4;7.1;10.1;5.0;5.2;0.5;18.8;21.4;11.3;1.6;14.7
86;Zakkenrollerij;2003;19.1;32.2;35.2;13.5;3.1;0.6;9.7;15.8;5.7;6.4;0.4;12.4;16.6;9.8;1.3;18.2
87;Zakkenrollerij;2004;22.8;38.8;27.5;10.9;0.6;0.0;8.1;26.4;2.8;4.1;0.0;16.4;12.3;7.3;3.0;19.0
88;Overige diefstal;1997;59.6;16.8;17.4;6.2;34.0;2.6;3.6;17.6;0.4;1.0;2.2;13.4;0.4;6.1;4.4;14.2
89;Overige diefstal;1998;57.5;18.9;14.1;9.5;40.7;3.7;4.8;11.4;1.5;0.2;1.3;8.7;1.2;7.3;2.1;17.0
90;Overige diefstal;1999;61.0;15.1;13.9;10.0;40.9;1.7;3.8;12.9;2.2;0.6;1.5;10.3;1.2;5.8;3.2;15.9
91;Overige diefstal;2000;59.0;16.6;16.0;8.3;40.0;4.0;3.8;11.3;0.8;2.0;3.8;12.6;0.6;3.5;2.8;14.8
92;Overige diefstal;2001;53.6;16.9;21.2;8.3;35.6;3.1;7.4;10.1;1.9;1.4;0.7;13.3;2.0;6.7;2.8;15.0
93;Overige diefstal;2002;63.2;15.0;14.6;7.2;46.1;3.5;3.7;9.3;0.8;0.8;1.6;12.9;0.7;5.7;2.4;12.5
94;Overige diefstal;2003;62.7;18.3;13.5;5.5;47.0;2.1;2.0;9.5;1.2;0.8;1.6;16.1;1.9;4.5;1.0;12.2
95;Overige diefstal;2004;66.2;15.7;12.9;5.2;49.7;3.6;3.1;7.6;0.8;0.7;0.6;13.9;2.3;6.4;0.5;10.9
96;Vandalismedelicten totaal;1997;64.9;18.8;15.3;1.0;;;;;;;;;;;;
97;Vandalismedelicten totaal;1998;62.2;19.6;16.9;1.2;;;;;;;;;;;;
98;Vandalismedelicten totaal;1999;65.1;17.5;16.4;1.1;;;;;;;;;;;;
99;Vandalismedelicten totaal;2000;65.9;16.5;16.7;0.8;;;;;;;;;;;;
100;Vandalismedelicten totaal;2001;62.5;19.6;17.0;0.9;;;;;;;;;;;;
101;Vandalismedelicten totaal;2002;64.5;17.5;15.8;2.1;;;;;;;;;;;;
102;Vandalismedelicten totaal;2003;64.8;17.5;16.6;1.1;;;;;;;;;;;;
103;Vandalismedelicten totaal;2004;66.3;18.3;14.4;1.0;;;;;;;;;;;;
104;Beschadiging/diefstal vanaf auto;1997;59.6;18.3;20.6;1.6;13.5;5.9;1.5;40.7;0.7;0.2;;6.4;2.3;0.7;17.7;10.6
105;Beschadiging/diefstal vanaf auto;1998;54.5;19.2;24.7;1.5;13.1;4.6;3.2;36.8;1.2;0.1;;7.8;1.7;0.7;17.5;13.2
106;Beschadiging/diefstal vanaf auto;1999;62.7;15.4;20.1;1.8;14.7;7.7;2.1;41.1;0.7;0.0;;5.4;1.2;0.7;14.2;12.3
107;Beschadiging/diefstal vanaf auto;2000;62.1;14.4;22.3;1.2;11.9;7.6;1.4;43.2;0.4;0.0;;6.6;1.2;0.7;16.2;10.8
108;Beschadiging/diefstal vanaf auto;2001;59.4;17.1;22.4;1.1;16.8;6.7;2.5;36.3;0.8;0.3;;6.3;5.7;1.5;11.1;12.2
109;Beschadiging/diefstal vanaf auto;2002;61.2;15.0;20.6;3.1;18.0;8.2;2.0;33.9;0.8;0.4;;5.5;7.0;1.1;9.2;14.0
110;Beschadiging/diefstal vanaf auto;2003;62.3;15.1;21.2;1.4;21.0;8.7;2.3;33.3;0.7;0.0;;6.5;6.9;0.8;10.2;9.5
111;Beschadiging/diefstal vanaf auto;2004;64.7;15.8;18.1;1.4;22.9;5.1;1.1;36.2;1.1;0.1;;5.3;7.1;0.9;8.5;11.6
112;Overige vernielingen;1997;70.5;19.4;9.8;0.3;41.9;4.0;6.7;22.6;2.9;0.0;;11.4;0.7;1.5;2.8;5.6
113;Overige vernielingen;1998;70.5;20.1;8.6;0.9;45.1;2.8;5.7;17.6;5.9;0.0;;12.1;0.9;1.6;2.4;5.9
114;Overige vernielingen;1999;67.9;19.9;12.0;0.3;38.8;3.2;5.2;21.7;7.6;0.0;;14.4;0.4;1.4;2.8;4.4
115;Overige vernielingen;2000;70.5;19.0;10.2;0.3;41.9;2.0;2.5;20.6;5.5;0.0;;14.7;0.9;1.2;4.5;6.1
116;Overige vernielingen;2001;66.3;22.7;10.3;0.7;39.6;3.9;4.4;17.0;8.0;0.2;;15.6;2.5;2.1;2.6;4.0
117;Overige vernielingen;2002;68.8;20.7;9.6;0.9;46.8;4.2;4.3;12.3;6.1;0.0;;15.4;3.1;1.8;2.2;3.8
118;Overige vernielingen;2003;68.6;21.2;9.5;0.6;45.4;4.1;4.5;14.7;4.4;0.0;;13.7;1.3;1.8;2.9;7.1
119;Overige vernielingen;2004;68.5;21.6;9.4;0.6;44.8;2.6;5.5;15.2;4.2;0.2;;13.2;4.5;2.1;2.1;5.6
120;Doorrijden na aanrijding;1997;30.0;38.8;30.6;0.7;1.4;7.0;1.9;22.5;2.6;;;15.9;8.0;2.0;1.6;37.1
121;Doorrijden na aanrijding;1998;43.2;31.6;23.8;1.4;0.0;0.4;0.2;34.8;3.3;;;6.6;12.9;2.6;2.7;36.5
122;Doorrijden na aanrijding;1999;33.2;34.5;28.8;3.5;0.5;4.8;1.5;20.5;4.8;;;13.7;10.5;1.4;1.4;40.6
123;Doorrijden na aanrijding;2000;34.9;34.0;28.8;2.3;1.0;5.3;0.8;25.7;3.3;;;4.9;12.1;0.8;0.5;44.9
124;Doorrijden na aanrijding;2001;39.9;34.6;23.9;1.7;1.9;7.4;3.3;25.2;2.9;;;10.2;10.1;1.5;2.5;35.1
125;Doorrijden na aanrijding;2002;42.7;28.5;27.9;0.9;2.0;2.9;0.6;25.4;2.4;;;7.8;14.9;2.5;2.2;39.4
126;Doorrijden na aanrijding;2003;32.8;30.1;31.8;5.3;0.5;7.8;1.4;22.5;2.5;;;9.0;13.0;0.5;0.8;41.9
127;Doorrijden na aanrijding;2004;32.7;29.6;34.2;3.6;0.6;4.7;1.3;20.9;3.4;;;10.1;15.3;1.3;0.8;41.6
128;Overige delicten;1997;57.2;14.6;26.2;2.0;;;;;;;;;;;;
129;Overige delicten;1998;45.7;26.6;19.9;7.8;23.0;5.3;9.5;13.5;2.8;2.4;2.3;11.8;3.9;3.6;0.9;20.9
130;Overige delicten;1999;56.5;13.6;24.0;6.0;20.8;4.3;1.3;45.0;0.9;0.0;0.0;4.6;2.4;0.0;9.7;11.0
131;Overige delicten;2000;58.5;17.0;13.3;11.3;33.0;7.4;6.5;13.7;0.0;4.4;2.9;7.5;1.2;1.0;1.7;20.8
132;Overige delicten;2001;59.5;28.6;10.6;1.3;34.8;3.3;5.1;26.7;1.0;0.0;5.3;12.3;1.3;0.0;0.0;10.2
133;Overige delicten;2002;58.4;15.7;18.1;7.8;32.1;1.4;1.5;23.2;5.3;1.4;1.7;8.9;7.9;1.6;8.1;6.9
134;Overige delicten;2003;65.6;13.2;16.8;4.4;33.1;5.3;1.0;17.6;5.0;2.0;2.3;7.2;7.2;2.4;5.5;11.5
135;Overige delicten;2004;54.2;25.6;11.1;9.1;40.3;2.5;4.6;25.3;1.1;2.1;0.0;3.5;2.1;2.5;2.9;13.1
