ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaleNettoOmzet_7;NettoOmzetUitHoofdactiviteit_8;NettoOmzetUitNevenactiviteiten_9;OverigeBedrijfsopbrengsten_10;TotaleBedrijfslasten_11;TotaleInkoopwaardeOmzet_12;InkoopwaardeBouwmaterialen_13;InkoopwaardeHandelsgoederen_14;BetalingAanOnderaannemers_15;OverigeInkoopwaarde_16;TotaleArbeidskosten_17;BrutoLonenEnSalarissen_18;SocialeLasten_19;AfschrijvingenOpVasteActiva_20;TotaleOverigeBedrijfslasten_21;KostenEnergieverbruik_22;KostenVervoermiddelen_23;Huisvestingskosten_24;KostenMachinesEnInstallaties_25;OverigePersoneelskosten_26;Verkoopkosten_27;Communicatiekosten_28;KostenVanDienstverleningDoorDerden_29;NietEerderGenoemdeBedrijfslasten_30;Bedrijfsresultaat_31;SaldoFinancieleBatenEnLasten_32;FinancieleBaten_33;FinancieleLasten_34;SaldoVoorzieningen_35;OnttrekkingenVrijvalVanVoorzieningen_36;ToevoegingenAanVoorzieningen_37;SaldoBuitengewoneBatenEnLasten_38;BuitengewoneBaten_39;BuitengewoneLasten_40;ResultaatVoorBelastingen_41
32;4523 Aanleg (spoor)wegen, sporttereinen;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;4523 Aanleg (spoor)wegen, sporttereinen;2003;2890.0;37.0;35.0;34.0;33.0;6368.0;6325.0;6251.0;74.0;43.0;6142.0;3586.0;1763.0;12.0;1696.0;116.0;1571.0;1139.0;432.0;151.0;808.0;19.0;167.0;62.0;141.0;138.0;36.0;15.0;68.0;188.0;226.0;-3.0;33.0;36.0;-21.0;41.0;62.0;68.0;103.0;35.0;270.0
34;4523 Aanleg (spoor)wegen, sporttereinen;2004;2860.0;37.0;35.0;32.0;31.0;6812.0;6673.0;6565.0;109.0;139.0;6563.0;4004.0;1989.0;27.0;1941.0;48.0;1549.0;1128.0;429.0;155.0;882.0;21.0;168.0;62.0;168.0;158.0;29.0;17.0;71.0;162.0;249.0;-11.0;27.0;38.0;-11.0;25.0;36.0;4.0;14.0;10.0;231.0
35;4523 Aanleg (spoor)wegen, sporttereinen;2005;2940.0;39.0;37.0;33.0;32.0;7462.0;7321.0;7233.0;88.0;141.0;7062.0;4365.0;1976.0;20.0;2337.0;32.0;1605.0;1201.0;405.0;144.0;948.0;23.0;210.0;68.0;188.0;186.0;39.0;19.0;71.0;143.0;400.0;-4.0;25.0;29.0;-13.0;47.0;61.0;1.0;7.0;7.0;383.0
36;4524 Natte waterbouw;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;4524 Natte waterbouw;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;4524 Natte waterbouw;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;4524 Natte waterbouw;2003;145.0;6.0;5.0;6.0;5.0;1081.0;757.0;753.0;4.0;324.0;1018.0;307.0;125.0;0.0;163.0;19.0;378.0;278.0;100.0;93.0;238.0;18.0;13.0;8.0;74.0;26.0;22.0;5.0;30.0;45.0;63.0;39.0;86.0;47.0;5.0;45.0;40.0;4.0;7.0;2.0;111.0
40;4524 Natte waterbouw;2004;145.0;6.0;6.0;5.0;5.0;1008.0;603.0;589.0;13.0;406.0;931.0;255.0;92.0;7.0;141.0;15.0;371.0;286.0;86.0;133.0;172.0;12.0;17.0;7.0;37.0;35.0;6.0;4.0;15.0;40.0;77.0;9.0;47.0;38.0;-2.0;40.0;42.0;-18.0;2.0;20.0;66.0
41;4524 Natte waterbouw;2005;140.0;6.0;6.0;5.0;5.0;1077.0;592.0;582.0;9.0;485.0;962.0;286.0;162.0;1.0;106.0;17.0;356.0;283.0;73.0;130.0;190.0;18.0;15.0;15.0;61.0;34.0;7.0;4.0;17.0;19.0;115.0;38.0;82.0;44.0;1.0;2.0;1.0;-13.0;5.0;18.0;141.0
