ID;Energiedrager;Perioden;Winning_1;Invoer_2;Uitvoer_3;Verbruik_4;WinningTonDrogeStof_5;InvoerTonDrogeStof_6;UitvoerTonDrogeStof_7;VerbruikTonDrogeStof_8
94;C-hout;2019;1266;0;1266;0;85242;0;85242;0
95;C-hout;2020;1624;0;1624;0;109323;0;109323;0
96;C-hout;2021;1844;0;1844;0;124116;0;124116;0
97;C-hout;2022;1844;0;1844;0;124114;0;124114;0
98;C-hout;2023;1844;0;1844;0;124114;0;124114;0
99;Overige houtige biomassa totaal;2015;4764;270;3296;1738;244830;9000;169373;84457
100;Overige houtige biomassa totaal;2016;4489;288;2857;1920;230690;9925;146801;93813
101;Overige houtige biomassa totaal;2017;4519;328;2856;1991;232248;11994;146792;97450
102;Overige houtige biomassa totaal;2018;5147;3251;3393;5004;264513;162166;174379;252299
103;Overige houtige biomassa totaal;2019;5369;14627;3379;16616;275893;746792;173661;849024
104;Overige houtige biomassa totaal;2020;5526;39821;4310;41037;283988;2041487;221479;2103995
105;Overige houtige biomassa totaal;2021;5175;55646;3571;57251;265962;2854705;183496;2937172
106;Overige houtige biomassa totaal;2022;4828;46217;1994;49050;248082;2370164;102470;2515775
107;Overige houtige biomassa totaal;2023;4165;32013;2261;33917;214050;1640242;116189;1738104
108;Houtskool;2015;0;270;0;270;0;9000;0;9000
109;Houtskool;2016;0;270;0;270;0;9000;0;9000
110;Houtskool;2017;0;270;0;270;0;9000;0;9000
111;Houtskool;2018;0;270;0;270;0;9000;0;9000
112;Houtskool;2019;0;270;0;270;0;9000;0;9000
113;Houtskool;2020;0;270;0;270;0;9000;0;9000
114;Houtskool;2021;0;270;0;270;0;9000;0;9000
115;Houtskool;2022;0;270;0;270;0;9000;0;9000
116;Houtskool;2023;0;270;0;270;0;9000;0;9000
117;Pellets;2015;4764;0;3296;1468;244830;0;169373;75457
118;Pellets;2016;4489;18;2857;1650;230690;925;146801;84813
119;Pellets;2017;4519;58;2856;1721;232248;2994;146792;88450
120;Pellets;2018;5147;2981;3393;4734;264513;153166;174379;243299
121;Pellets;2019;5369;14357;3379;16346;275893;737792;173661;840024
122;Pellets;2020;5526;39551;4310;40767;283988;2032487;221479;2094995
123;Pellets;2021;5175;55376;3571;56981;265962;2845705;183496;2928172
124;Pellets;2022;4828;45947;1994;48780;248082;2361164;102470;2506775
125;Pellets;2023;4165;31743;2261;33647;214050;1631242;116189;1729104
126;Niet houtige-biomassa totaal;2015;6255;0;3272;2983;485833;0;295395;190438
127;Niet houtige-biomassa totaal;2016;2938;0;2531;407;200940;0;186419;14521
128;Niet houtige-biomassa totaal;2017;3505;0;2415;1090;216943;1;178010;38934
129;Niet houtige-biomassa totaal;2018;5465;0;2690;2775;424869;2;224117;200753
130;Niet houtige-biomassa totaal;2019;7344;0;2587;4757;469474;3;256491;212986
131;Niet houtige-biomassa totaal;2020;14191;659;2149;12702;737576;102218;195068;644726
132;Niet houtige-biomassa totaal;2021;16680;432;2010;15102;814819;66989;179780;702028
133;Niet houtige-biomassa totaal;2022;19937;78;2010;18005;868448;12099;179775;700773
134;Niet houtige-biomassa totaal;2023;16143;44;2011;14177;709360;6861;179840;536381
135;(Papier) slib;2015;2200;0;1497;703;341037;0;232014;109023
136;(Papier) slib;2016;805;0;805;0;124765;0;124766;0
137;(Papier) slib;2017;769;0;769;0;119238;1;119238;0
138;(Papier) slib;2018;1925;0;1073;852;298438;2;166376;132064
139;(Papier) slib;2019;1737;0;1376;361;269234;3;213223;56013
140;(Papier) slib;2020;1934;659;992;1602;299820;102218;153754;248284
141;(Papier) slib;2021;1837;432;905;1364;284705;66989;140312;211382
142;(Papier) slib;2022;1311;78;905;484;203226;12099;140308;75018
143;(Papier) slib;2023;1113;44;906;252;172590;6861;140373;39078
144;Overige vaste biomassa;2015;4054;0;1775;2280;144796;0;63381;81415
145;Overige vaste biomassa;2016;2133;0;1726;407;76174;0;61653;14521
146;Overige vaste biomassa;2017;2736;0;1646;1090;97706;0;58771;38934
147;Overige vaste biomassa;2018;3540;0;1617;1923;126431;0;57741;68690
148;Overige vaste biomassa;2019;5607;0;1212;4395;200241;0;43268;156972
149;Overige vaste biomassa;2020;12257;0;1157;11100;437756;0;41314;396442
150;Overige vaste biomassa;2021;14843;0;1105;13738;530114;0;39468;490646
151;Overige vaste biomassa;2022;18626;0;1105;17521;665223;0;39467;625755
152;Overige vaste biomassa;2023;15030;0;1105;13924;536769;0;39467;497302
