ID;TypeOfDwelling;Periods;PriceIndex_1;ChangesComparedToThePreviousPeriod_2;ChangesComparedToThePreviousYear_3;Number_4;ChangesComparedToThePreviousPeriod_5;ChangesComparedToThePreviousYear_6;AveragePurchasePrice_7;TotalValuePurchasePrices_8
36;Total of own houses;2022 2nd quarter;188.3;2.9;18.1;54971;8.1;-10.7;440732;24227
37;Total of own houses;2022 3rd quarter;189.3;0.5;12.1;55800;1.5;-9.8;446123;24894
38;Total of own houses;2022 4th quarter;184.5;-2.5;5.3;56658;1.5;-10.8;420781;23841
39;Total of own houses;2022;186.3;13.4;13.4;218304;-16.2;-16.2;435821;95142
40;Total of own houses;2023 1st quarter;182.7;-1.0;-0.1;43739;-22.8;-14.0;423342;18517
41;Total of own houses;2023 2nd quarter;180.3;-1.3;-4.3;47819;9.3;-13.0;412810;19740
42;Total of own houses;2023 3rd quarter;182.2;1.1;-3.8;50790;6.2;-9.0;423935;21532
43;New own homes;2015 1st quarter;96.8;;;5031;;;260612;1311
44;New own homes;2015 2nd quarter;98.2;1.4;;6651;32.2;;265501;1766
45;New own homes;2015 3rd quarter;103.0;4.8;;6350;-4.5;;285032;1810
46;New own homes;2015 4th quarter;102.0;-0.9;;8353;31.5;;282289;2358
47;New own homes;2015;100.0;;;26385;;;274584;7245
48;New own homes;2016 1st quarter;103.5;1.5;6.9;5569;-33.3;10.7;291564;1624
49;New own homes;2016 2nd quarter;102.6;-0.9;4.4;6840;22.8;2.8;293636;2008
50;New own homes;2016 3rd quarter;104.9;2.3;1.9;6550;-4.2;3.1;292211;1914
51;New own homes;2016 4th quarter;107.5;2.5;5.4;8779;34.0;5.1;299347;2628
52;New own homes;2016;104.6;4.6;4.6;27738;5.1;5.1;294691;8174
53;New own homes;2017 1st quarter;109.9;2.2;6.1;6789;-22.7;21.9;299628;2034
54;New own homes;2017 2nd quarter;109.0;-0.8;6.3;7535;11.0;10.2;315097;2374
55;New own homes;2017 3rd quarter;111.4;2.2;6.2;6722;-10.8;2.6;323970;2178
56;New own homes;2017 4th quarter;118.5;6.4;10.2;10161;51.2;15.7;337812;3433
57;New own homes;2017;112.2;7.2;7.2;31207;12.5;12.5;321039;10019
58;New own homes;2018 1st quarter;122.5;3.4;11.5;6151;-39.5;-9.4;358958;2208
59;New own homes;2018 2nd quarter;121.8;-0.6;11.7;7068;14.9;-6.2;352891;2494
60;New own homes;2018 3rd quarter;129.6;6.4;16.3;6153;-12.9;-8.5;394101;2425
61;New own homes;2018 4th quarter;130.6;0.7;10.2;8757;42.3;-13.8;375337;3287
62;New own homes;2018;126.1;12.4;12.4;28129;-9.9;-9.9;370220;10414
63;New own homes;2019 1st quarter;134.2;2.8;9.5;5745;-34.4;-6.6;379188;2178
64;New own homes;2019 2nd quarter;141.3;5.3;16.0;6370;10.9;-9.9;399642;2546
65;New own homes;2019 3rd quarter;137.8;-2.5;6.3;5818;-8.7;-5.4;387714;2256
66;New own homes;2019 4th quarter;141.9;3.0;8.7;6998;20.3;-20.1;414515;2901
67;New own homes;2019;138.8;10.0;10.0;24931;-11.4;-11.4;396304;9881
68;New own homes;2020 1st quarter;140.4;-1.1;4.6;6521;-6.8;13.5;412543;2690
69;New own homes;2020 2nd quarter;147.2;4.8;4.1;8001;22.7;25.6;410117;3280
70;New own homes;2020 3rd quarter;151.8;3.2;10.2;7084;-11.5;21.8;419188;2970
71;New own homes;2020 4th quarter;154.2;1.6;8.7;10740;51.6;53.5;425103;4566
72;New own homes;2020;148.4;6.9;6.9;32346;29.7;29.7;417540;13505
73;New own homes;2021 1st quarter;163.9;6.3;16.8;6770;-37.0;3.8;449744;3045
74;New own homes;2021 2nd quarter;166.5;1.6;13.1;8785;29.8;9.8;445159;3911
75;New own homes;2021 3rd quarter;170.7;2.6;12.4;8014;-8.8;13.1;471710;3780
76;New own homes;2021 4th quarter;176.2;3.2;14.2;10753;34.2;0.1;474071;5098
77;New own homes;2021;169.3;14.1;14.1;34322;6.1;6.1;461321;15833
78;New own homes;2022 1st quarter;186.8;6.0;13.9;6952;-35.3;2.7;493961;3434
79;New own homes;2022 2nd quarter;193.9;3.8;16.5;7589;9.2;-13.6;513917;3900
80;New own homes;2022 3rd quarter;194.0;0.0;13.6;5347;-29.5;-33.3;475202;2541
81;New own homes;2022 4th quarter;187.7;-3.2;6.6;5313;-0.6;-50.6;471370;2504
82;New own homes;2022;190.6;12.6;12.6;25201;-26.6;-26.6;491227;12379
83;New own homes;2023 1st quarter;193.2;2.9;3.5;3302;-37.9;-52.5;503632;1663
84;New own homes;2023 2nd quarter;197.4;2.2;1.8;3319;0.5;-56.3;496780;1649
85;New own homes;2023 3rd quarter;197.6;0.1;1.9;3842;15.8;-28.1;500667;1924
86;Existing own homes;2015 1st quarter;98.6;;;34527;;;221589;7651
87;Existing own homes;2015 2nd quarter;99.4;0.8;;40722;17.9;;227389;9260
88;Existing own homes;2015 3rd quarter;100.7;1.3;;50609;24.3;;233301;11807
89;Existing own homes;2015 4th quarter;101.3;0.6;;52435;3.6;;235039;12324
90;Existing own homes;2015;100.0;;;178293;;;230194;41042
91;Existing own homes;2016 1st quarter;102.6;1.3;4.1;42897;-18.2;24.2;236333;10138
92;Existing own homes;2016 2nd quarter;103.7;1.0;4.4;50315;17.3;23.6;239542;12053
93;Existing own homes;2016 3rd quarter;106.3;2.5;5.6;60707;20.7;20.0;249593;15152
94;Existing own homes;2016 4th quarter;107.5;1.1;6.1;60874;0.3;16.1;246934;15032
95;Existing own homes;2016;105.0;5.0;5.0;214793;20.5;20.5;243837;52374
96;Existing own homes;2017 1st quarter;109.6;2.0;6.8;55911;-8.2;30.3;257002;14369
97;Existing own homes;2017 2nd quarter;111.7;1.9;7.7;58370;4.4;16.0;260573;15210
98;Existing own homes;2017 3rd quarter;114.4;2.4;7.6;61391;5.2;1.1;267464;16420
99;Existing own homes;2017 4th quarter;116.3;1.7;8.2;66188;7.8;8.7;267143;17682
100;Existing own homes;2017;113.0;7.6;7.6;241860;12.6;12.6;263295;63680
101;Existing own homes;2018 1st quarter;119.4;2.7;9.0;52105;-21.3;-6.8;278159;14493
102;Existing own homes;2018 2nd quarter;121.6;1.8;8.8;52930;1.6;-9.3;284639;15066
103;Existing own homes;2018 3rd quarter;124.9;2.7;9.2;56921;7.5;-7.3;292146;16629
104;Existing own homes;2018 4th quarter;126.7;1.5;9.0;56535;-0.7;-14.6;293210;16577
105;Existing own homes;2018;123.2;9.0;9.0;218491;-9.7;-9.7;287267;62765
106;Existing own homes;2019 1st quarter;128.9;1.7;7.9;47431;-16.1;-9.0;301279;14290
107;Existing own homes;2019 2nd quarter;130.4;1.1;7.2;52506;10.7;-0.8;302538;15885
108;Existing own homes;2019 3rd quarter;132.7;1.8;6.3;58935;12.2;3.5;313256;18462
109;Existing own homes;2019 4th quarter;134.6;1.4;6.2;59723;1.3;5.6;312871;18686
110;Existing own homes;2019;131.7;6.9;6.9;218595;0.0;0.0;307978;67322
111;Existing own homes;2020 1st quarter;137.5;2.1;6.6;51579;-13.6;8.7;325834;16806
112;Existing own homes;2020 2nd quarter;140.2;2.0;7.5;54923;6.5;4.6;327867;18007
113;Existing own homes;2020 3rd quarter;143.5;2.3;8.1;62206;13.3;5.6;339559;21123
114;Existing own homes;2020 4th quarter;146.4;2.0;8.8;66803;7.4;11.9;341892;22839
115;Existing own homes;2020;141.9;7.8;7.8;235511;7.7;7.7;334488;78776
116;Existing own homes;2021 1st quarter;151.7;3.6;10.3;66627;-0.3;29.2;379172;25263
117;Existing own homes;2021 2nd quarter;158.4;4.4;13.0;52787;-20.8;-3.9;365702;19304
118;Existing own homes;2021 3rd quarter;168.6;6.4;17.5;53875;2.1;-13.4;400935;21600
119;Existing own homes;2021 4th quarter;175.1;3.9;19.6;52798;-2.0;-21.0;402726;21263
120;Existing own homes;2021;163.4;15.2;15.2;226087;-4.0;-4.0;386714;87431
121;Existing own homes;2022 1st quarter;182.4;4.2;20.3;43923;-16.8;-34.1;426787;18746
122;Existing own homes;2022 2nd quarter;187.5;2.8;18.4;47382;7.9;-10.2;429010;20327
123;Existing own homes;2022 3rd quarter;188.6;0.6;11.9;50453;6.5;-6.4;443042;22353
124;Existing own homes;2022 4th quarter;184.1;-2.4;5.1;51345;1.8;-2.8;415546;21336
125;Existing own homes;2022;185.6;13.6;13.6;193103;-14.6;-14.6;428591;82762
126;Existing own homes;2023 1st quarter;181.2;-1.6;-0.7;40437;-21.2;-7.9;416786;16854
127;Existing own homes;2023 2nd quarter;177.8;-1.9;-5.2;44500;10.0;-6.1;406547;18091
128;Existing own homes;2023 3rd quarter;180.0;1.2;-4.6;46948;5.5;-6.9;417656;19608
