ID;HarmonizedSystem;Periods;BalassaIndex_1;ShareOfChapterInTotalExports_2;ExportsOfDutchProducts_3;ReExports_4
111;"04 Dairy produce; birds eggs; natural...";2003;2.5;1.9;83.8;16.2
112;"04 Dairy produce; birds eggs; natural...";2004;2.4;1.8;82.4;17.6
113;"04 Dairy produce; birds eggs; natural...";2005;2.2;1.6;84.0;16.0
114;"04 Dairy produce; birds eggs; natural...";2006;2.2;1.5;84.5;15.5
115;"04 Dairy produce; birds eggs; natural...";2007;2.0;1.5;83.6;16.4
116;"04 Dairy produce; birds eggs; natural...";2008;2.1;1.6;83.8;16.2
117;"04 Dairy produce; birds eggs; natural...";2009;2.0;1.7;84.7;15.3
118;"04 Dairy produce; birds eggs; natural...";2010;2.0;1.7;85.2;14.8
119;"04 Dairy produce; birds eggs; natural...";2011;2.0;1.7;84.1;15.9
120;"04 Dairy produce; birds eggs; natural...";2012;1.9;1.6;84.1;15.9
121;"04 Dairy produce; birds eggs; natural...";2013;2.0;1.8;84.8;15.2
122;"04 Dairy produce; birds eggs; natural...";2014;2.0;1.8;85.3;14.7
123;"04 Dairy produce; birds eggs; natural...";2015;2.0;1.7;83.2;16.8
124;"04 Dairy produce; birds eggs; natural...";2016;2.1;1.7;82.9;17.1
125;"04 Dairy produce; birds eggs; natural...";2017;2.2;1.9;80.6;19.4
126;"04 Dairy produce; birds eggs; natural...";2018;2.1;1.7;80.9;19.1
127;"04 Dairy produce; birds eggs; natural...";2019;2.0;1.7;81.4;18.6
128;"04 Dairy produce; birds eggs; natural...";2020;1.8;1.7;80.9;19.1
129;"04 Dairy produce; birds eggs; natural...";2021;1.7;1.5;80.4;19.6
130;05 Products of animal origin, not els...;1996;2.9;0.2;;
131;05 Products of animal origin, not els...;1997;2.4;0.1;;
132;05 Products of animal origin, not els...;1998;2.3;0.1;;
133;05 Products of animal origin, not els...;1999;2.4;0.1;;
134;05 Products of animal origin, not els...;2000;2.4;0.1;;
135;05 Products of animal origin, not els...;2001;2.1;0.1;;
136;05 Products of animal origin, not els...;2002;2.3;0.1;57.5;42.5
137;05 Products of animal origin, not els...;2003;1.9;0.1;45.2;54.8
138;05 Products of animal origin, not els...;2004;1.8;0.1;66.7;33.3
139;05 Products of animal origin, not els...;2005;1.9;0.1;51.8;48.2
140;05 Products of animal origin, not els...;2006;1.9;0.1;43.3;56.7
141;05 Products of animal origin, not els...;2007;2.1;0.1;54.3;45.7
142;05 Products of animal origin, not els...;2008;2.2;0.1;54.2;45.8
143;05 Products of animal origin, not els...;2009;2.5;0.1;36.0;64.0
144;05 Products of animal origin, not els...;2010;2.2;0.1;47.3;52.7
145;05 Products of animal origin, not els...;2011;2.1;0.1;28.6;71.4
146;05 Products of animal origin, not els...;2012;1.9;0.1;34.7;65.3
147;05 Products of animal origin, not els...;2013;1.8;0.1;44.8;55.2
148;05 Products of animal origin, not els...;2014;2.1;0.1;46.6;53.4
149;05 Products of animal origin, not els...;2015;2.2;0.1;48.6;51.4
150;05 Products of animal origin, not els...;2016;2.2;0.1;40.9;59.1
151;05 Products of animal origin, not els...;2017;1.9;0.1;41.0;59.0
152;05 Products of animal origin, not els...;2018;2.0;0.1;38.8;61.2
153;05 Products of animal origin, not els...;2019;1.8;0.1;40.9;59.1
154;05 Products of animal origin, not els...;2020;1.9;0.1;35.9;64.1
155;05 Products of animal origin, not els...;2021;1.7;0.1;32.7;67.3
156;"06 Live trees and other plants; bulbs...";1996;30.6;3.1;;
157;"06 Live trees and other plants; bulbs...";1997;29.3;2.9;;
158;"06 Live trees and other plants; bulbs...";1998;29.0;2.9;;
159;"06 Live trees and other plants; bulbs...";1999;29.7;3.0;;
160;"06 Live trees and other plants; bulbs...";2000;29.0;2.7;;
161;"06 Live trees and other plants; bulbs...";2001;28.5;2.7;;
162;"06 Live trees and other plants; bulbs...";2002;28.8;2.9;96.1;3.9
163;"06 Live trees and other plants; bulbs...";2003;28.2;2.9;95.9;4.1
164;"06 Live trees and other plants; bulbs...";2004;28.3;2.7;96.6;3.4
165;"06 Live trees and other plants; bulbs...";2005;28.5;2.6;96.6;3.4
166;"06 Live trees and other plants; bulbs...";2006;27.5;2.4;96.5;3.5
167;"06 Live trees and other plants; bulbs...";2007;25.3;2.2;95.9;4.1
168;"06 Live trees and other plants; bulbs...";2008;23.2;2.1;95.8;4.2
169;"06 Live trees and other plants; bulbs...";2009;21.7;2.4;95.7;4.3
170;"06 Live trees and other plants; bulbs...";2010;21.6;2.1;96.2;3.8
171;"06 Live trees and other plants; bulbs...";2011;20.6;2.0;96.2;3.8
172;"06 Live trees and other plants; bulbs...";2012;20.1;1.9;95.9;4.1
173;"06 Live trees and other plants; bulbs...";2013;19.8;1.9;95.4;4.6
174;"06 Live trees and other plants; bulbs...";2014;20.3;1.9;95.1;4.9
175;"06 Live trees and other plants; bulbs...";2015;22.7;1.9;96.4;3.6
176;"06 Live trees and other plants; bulbs...";2016;22.6;2.1;96.0;4.0
177;"06 Live trees and other plants; bulbs...";2017;22.2;1.9;95.1;4.9
178;"06 Live trees and other plants; bulbs...";2018;20.8;1.8;94.7;5.3
179;"06 Live trees and other plants; bulbs...";2019;20.7;1.8;94.7;5.3
180;"06 Live trees and other plants; bulbs...";2020;19.4;2.0;94.5;5.5
181;"06 Live trees and other plants; bulbs...";2021;19.3;2.0;93.2;6.8
182;07 Edible vegetables and certain root...;1996;5.4;1.9;;
183;07 Edible vegetables and certain root...;1997;5.3;1.8;;
184;07 Edible vegetables and certain root...;1998;4.8;1.8;;
185;07 Edible vegetables and certain root...;1999;4.7;1.6;;
186;07 Edible vegetables and certain root...;2000;4.7;1.5;;
187;07 Edible vegetables and certain root...;2001;4.4;1.5;;
188;07 Edible vegetables and certain root...;2002;4.7;1.7;83.0;17.0
189;07 Edible vegetables and certain root...;2003;4.8;1.8;83.9;16.1
190;07 Edible vegetables and certain root...;2004;4.6;1.5;84.6;15.4
191;07 Edible vegetables and certain root...;2005;4.3;1.4;84.5;15.5
192;07 Edible vegetables and certain root...;2006;4.5;1.4;84.9;15.1
193;07 Edible vegetables and certain root...;2007;4.4;1.4;83.8;16.2
194;07 Edible vegetables and certain root...;2008;4.3;1.4;83.7;16.3
195;07 Edible vegetables and certain root...;2009;3.9;1.6;85.3;14.7
196;07 Edible vegetables and certain root...;2010;4.3;1.6;85.0;15.0
197;07 Edible vegetables and certain root...;2011;4.0;1.3;84.3;15.7
198;07 Edible vegetables and certain root...;2012;3.8;1.3;83.1;16.9
199;07 Edible vegetables and certain root...;2013;3.7;1.4;84.2;15.8
200;07 Edible vegetables and certain root...;2014;3.8;1.3;86.0;14.0
201;07 Edible vegetables and certain root...;2015;4.1;1.5;85.7;14.3
202;07 Edible vegetables and certain root...;2016;3.9;1.5;84.7;15.3
203;07 Edible vegetables and certain root...;2017;3.9;1.4;84.4;15.6
204;07 Edible vegetables and certain root...;2018;3.9;1.3;84.0;16.0
205;07 Edible vegetables and certain root...;2019;3.8;1.4;82.8;17.2
206;07 Edible vegetables and certain root...;2020;3.4;1.5;82.1;17.9
207;07 Edible vegetables and certain root...;2021;3.2;1.2;81.6;18.4
208;"08 Edible fruit and nuts; peel of cit...";1996;1.4;0.8;;
209;"08 Edible fruit and nuts; peel of cit...";1997;1.4;0.8;;
210;"08 Edible fruit and nuts; peel of cit...";1998;1.4;0.7;;
211;"08 Edible fruit and nuts; peel of cit...";1999;1.6;0.8;;
212;"08 Edible fruit and nuts; peel of cit...";2000;1.4;0.6;;
213;"08 Edible fruit and nuts; peel of cit...";2001;1.4;0.6;;
214;"08 Edible fruit and nuts; peel of cit...";2002;1.4;0.7;29.5;70.5
215;"08 Edible fruit and nuts; peel of cit...";2003;1.5;0.8;31.0;69.0
216;"08 Edible fruit and nuts; peel of cit...";2004;1.8;0.8;30.4;69.6
217;"08 Edible fruit and nuts; peel of cit...";2005;1.7;0.8;32.2;67.8
218;"08 Edible fruit and nuts; peel of cit...";2006;1.7;0.8;31.0;69.0
219;"08 Edible fruit and nuts; peel of cit...";2007;1.8;0.8;29.1;70.9
220;"08 Edible fruit and nuts; peel of cit...";2008;1.9;0.9;27.5;72.5
221;"08 Edible fruit and nuts; peel of cit...";2009;1.8;1.0;27.4;72.6
222;"08 Edible fruit and nuts; peel of cit...";2010;1.8;0.9;27.3;72.7
223;"08 Edible fruit and nuts; peel of cit...";2011;1.8;0.8;28.6;71.4
224;"08 Edible fruit and nuts; peel of cit...";2012;1.7;0.8;26.4;73.6
225;"08 Edible fruit and nuts; peel of cit...";2013;1.9;0.9;24.2;75.8
226;"08 Edible fruit and nuts; peel of cit...";2014;1.9;1.0;23.8;76.2
227;"08 Edible fruit and nuts; peel of cit...";2015;1.9;1.0;24.2;75.8
228;"08 Edible fruit and nuts; peel of cit...";2016;2.1;1.2;22.6;77.4
229;"08 Edible fruit and nuts; peel of cit...";2017;2.3;1.2;22.5;77.5
230;"08 Edible fruit and nuts; peel of cit...";2018;2.5;1.2;22.4;77.6
231;"08 Edible fruit and nuts; peel of cit...";2019;2.6;1.2;20.3;79.7
232;"08 Edible fruit and nuts; peel of cit...";2020;2.5;1.4;21.9;78.1
233;"08 Edible fruit and nuts; peel of cit...";2021;2.4;1.2;24.0;76.0
234;09 Coffee, tea, maté and spices;1996;0.9;0.1;;
235;09 Coffee, tea, maté and spices;1997;0.9;0.1;;
236;09 Coffee, tea, maté and spices;1998;0.9;0.1;;
237;09 Coffee, tea, maté and spices;1999;1.0;0.1;;
238;09 Coffee, tea, maté and spices;2000;1.1;0.1;;
239;09 Coffee, tea, maté and spices;2001;0.9;0.1;;
240;09 Coffee, tea, maté and spices;2002;0.9;0.1;44.4;55.6
241;09 Coffee, tea, maté and spices;2003;1.0;0.1;47.1;52.9
242;09 Coffee, tea, maté and spices;2004;1.1;0.1;54.4;45.6
243;09 Coffee, tea, maté and spices;2005;0.9;0.1;61.0;39.0
244;09 Coffee, tea, maté and spices;2006;1.0;0.1;65.9;34.1
245;09 Coffee, tea, maté and spices;2007;1.1;0.1;64.5;35.5
246;09 Coffee, tea, maté and spices;2008;0.9;0.1;65.8;34.2
247;09 Coffee, tea, maté and spices;2009;0.9;0.2;53.3;46.7
248;09 Coffee, tea, maté and spices;2010;0.9;0.2;53.6;46.4
249;09 Coffee, tea, maté and spices;2011;0.9;0.2;49.1;50.9
250;09 Coffee, tea, maté and spices;2012;0.9;0.2;45.2;54.8
251;09 Coffee, tea, maté and spices;2013;0.9;0.2;51.1;48.9
252;09 Coffee, tea, maté and spices;2014;1.0;0.2;51.2;48.8
253;09 Coffee, tea, maté and spices;2015;1.0;0.2;52.2;47.8
254;09 Coffee, tea, maté and spices;2016;1.1;0.2;55.9;44.1
255;09 Coffee, tea, maté and spices;2017;1.1;0.2;68.1;31.9
256;09 Coffee, tea, maté and spices;2018;1.2;0.2;56.9;43.1
257;09 Coffee, tea, maté and spices;2019;1.1;0.2;54.8;45.2
258;09 Coffee, tea, maté and spices;2020;1.1;0.2;50.6;49.4
259;09 Coffee, tea, maté and spices;2021;1.1;0.2;56.2;43.8
260;10 Cereals;1996;0.2;0.1;;
261;10 Cereals;1997;0.3;0.1;;
262;10 Cereals;1998;0.3;0.1;;
263;10 Cereals;1999;0.3;0.1;;
264;10 Cereals;2000;0.2;0.1;;
265;10 Cereals;2001;0.3;0.1;;
266;10 Cereals;2002;0.3;0.1;35.0;65.0
267;10 Cereals;2003;0.3;0.1;38.3;61.7
268;10 Cereals;2004;0.3;0.1;20.5;79.5
269;10 Cereals;2005;0.4;0.1;37.0;63.0
270;10 Cereals;2006;0.3;0.1;48.8;51.2
271;10 Cereals;2007;0.4;0.1;39.7;60.3
272;10 Cereals;2008;0.4;0.2;39.7;60.3
273;10 Cereals;2009;0.3;0.1;34.1;65.9
274;10 Cereals;2010;0.3;0.1;40.1;59.9
275;10 Cereals;2011;0.3;0.1;28.2;71.8
276;10 Cereals;2012;0.3;0.1;31.1;68.9
277;10 Cereals;2013;0.3;0.1;35.0;65.0
278;10 Cereals;2014;0.3;0.1;40.6;59.4
279;10 Cereals;2015;0.3;0.1;46.1;53.9
280;10 Cereals;2016;0.3;0.1;44.3;55.7
281;10 Cereals;2017;0.3;0.1;38.9;61.1
282;10 Cereals;2018;0.3;0.1;40.3;59.7
283;10 Cereals;2019;0.3;0.1;39.1;60.9
284;10 Cereals;2020;0.2;0.1;32.3;67.7
285;10 Cereals;2021;0.2;0.1;43.4;56.6
286;"11 Products of the milling industry; ...";1996;1.5;0.3;;
287;"11 Products of the milling industry; ...";1997;1.5;0.3;;
288;"11 Products of the milling industry; ...";1998;1.6;0.2;;
289;"11 Products of the milling industry; ...";1999;1.6;0.2;;
290;"11 Products of the milling industry; ...";2000;1.7;0.2;;
291;"11 Products of the milling industry; ...";2001;1.6;0.2;;
292;"11 Products of the milling industry; ...";2002;1.7;0.2;96.0;4.0
293;"11 Products of the milling industry; ...";2003;1.7;0.2;96.6;3.4
294;"11 Products of the milling industry; ...";2004;1.6;0.2;93.0;7.0
295;"11 Products of the milling industry; ...";2005;1.5;0.2;93.4;6.6
296;"11 Products of the milling industry; ...";2006;1.6;0.2;95.0;5.0
297;"11 Products of the milling industry; ...";2007;1.3;0.1;83.2;16.8
298;"11 Products of the milling industry; ...";2008;1.1;0.1;82.5;17.5
299;"11 Products of the milling industry; ...";2009;1.1;0.2;82.2;17.8
300;"11 Products of the milling industry; ...";2010;1.1;0.1;88.1;11.9
301;"11 Products of the milling industry; ...";2011;1.2;0.2;81.5;18.5
302;"11 Products of the milling industry; ...";2012;1.1;0.1;76.7;23.3
303;"11 Products of the milling industry; ...";2013;1.1;0.2;82.3;17.7
304;"11 Products of the milling industry; ...";2014;1.1;0.2;85.6;14.4
305;"11 Products of the milling industry; ...";2015;1.1;0.2;86.3;13.7
306;"11 Products of the milling industry; ...";2016;1.1;0.1;86.6;13.4
307;"11 Products of the milling industry; ...";2017;1.1;0.1;89.0;11.0
308;"11 Products of the milling industry; ...";2018;1.1;0.1;86.9;13.1
309;"11 Products of the milling industry; ...";2019;1.2;0.2;85.5;14.5
310;"11 Products of the milling industry; ...";2020;1.1;0.2;86.3;13.7
311;"11 Products of the milling industry; ...";2021;1.1;0.2;84.1;15.9
312;"12 Oil seeds and oleaginous fruits; m...";1996;2.8;0.4;;
313;"12 Oil seeds and oleaginous fruits; m...";1997;3.1;0.4;;
314;"12 Oil seeds and oleaginous fruits; m...";1998;3.6;0.5;;
315;"12 Oil seeds and oleaginous fruits; m...";1999;3.5;0.4;;
316;"12 Oil seeds and oleaginous fruits; m...";2000;3.6;0.4;;
317;"12 Oil seeds and oleaginous fruits; m...";2001;4.2;0.4;;
318;"12 Oil seeds and oleaginous fruits; m...";2002;4.3;0.5;47.3;52.7
319;"12 Oil seeds and oleaginous fruits; m...";2003;4.4;0.5;48.4;51.6
320;"12 Oil seeds and oleaginous fruits; m...";2004;4.5;0.5;51.7;48.3
321;"12 Oil seeds and oleaginous fruits; m...";2005;4.3;0.4;54.1;45.9
322;"12 Oil seeds and oleaginous fruits; m...";2006;3.7;0.4;46.0;54.0
323;"12 Oil seeds and oleaginous fruits; m...";2007;3.8;0.4;51.4;48.6
324;"12 Oil seeds and oleaginous fruits; m...";2008;3.4;0.5;48.5;51.5
325;"12 Oil seeds and oleaginous fruits; m...";2009;4.4;0.6;48.2;51.8
326;"12 Oil seeds and oleaginous fruits; m...";2010;3.8;0.5;44.8;55.2
327;"12 Oil seeds and oleaginous fruits; m...";2011;3.1;0.5;47.8;52.2
328;"12 Oil seeds and oleaginous fruits; m...";2012;4.1;0.7;38.8;61.2
329;"12 Oil seeds and oleaginous fruits; m...";2013;4.0;0.6;36.8;63.2
330;"12 Oil seeds and oleaginous fruits; m...";2014;3.9;0.6;42.8;57.2
331;"12 Oil seeds and oleaginous fruits; m...";2015;4.0;0.6;37.6;62.4
332;"12 Oil seeds and oleaginous fruits; m...";2016;4.2;0.7;41.7;58.3
333;"12 Oil seeds and oleaginous fruits; m...";2017;3.1;0.7;42.8;57.2
334;"12 Oil seeds and oleaginous fruits; m...";2018;3.0;0.6;48.7;51.3
335;"12 Oil seeds and oleaginous fruits; m...";2019;3.0;0.6;50.5;49.5
336;"12 Oil seeds and oleaginous fruits; m...";2020;3.0;0.8;50.3;49.7
337;"12 Oil seeds and oleaginous fruits; m...";2021;2.7;0.7;52.8;47.2
338;"13 Lac; gums, resins and other vegeta...";1996;0.7;0.0;;
339;"13 Lac; gums, resins and other vegeta...";1997;0.5;0.0;;
340;"13 Lac; gums, resins and other vegeta...";1998;0.4;0.0;;
341;"13 Lac; gums, resins and other vegeta...";1999;0.5;0.0;;
342;"13 Lac; gums, resins and other vegeta...";2000;0.5;0.0;;
343;"13 Lac; gums, resins and other vegeta...";2001;0.6;0.0;;
344;"13 Lac; gums, resins and other vegeta...";2002;0.4;0.0;68.0;32.0
345;"13 Lac; gums, resins and other vegeta...";2003;0.5;0.0;70.2;29.8
346;"13 Lac; gums, resins and other vegeta...";2004;0.6;0.0;72.6;27.4
347;"13 Lac; gums, resins and other vegeta...";2005;0.4;0.0;60.6;39.4
348;"13 Lac; gums, resins and other vegeta...";2006;0.4;0.0;44.0;56.0
349;"13 Lac; gums, resins and other vegeta...";2007;0.4;0.0;56.2;43.8
350;"13 Lac; gums, resins and other vegeta...";2008;0.4;0.0;54.2;45.8
351;"13 Lac; gums, resins and other vegeta...";2009;0.4;0.0;56.1;43.9
352;"13 Lac; gums, resins and other vegeta...";2010;0.4;0.0;58.0;42.0
353;"13 Lac; gums, resins and other vegeta...";2011;0.4;0.0;59.8;40.2
354;"13 Lac; gums, resins and other vegeta...";2012;0.5;0.0;54.4;45.6
355;"13 Lac; gums, resins and other vegeta...";2013;0.4;0.0;66.7;33.3
356;"13 Lac; gums, resins and other vegeta...";2014;0.3;0.0;49.7;50.3
357;"13 Lac; gums, resins and other vegeta...";2015;0.3;0.0;66.2;33.8
358;"13 Lac; gums, resins and other vegeta...";2016;0.3;0.0;69.8;30.2
359;"13 Lac; gums, resins and other vegeta...";2017;0.4;0.0;67.8;32.2
360;"13 Lac; gums, resins and other vegeta...";2018;0.5;0.0;77.3;22.7
361;"13 Lac; gums, resins and other vegeta...";2019;0.3;0.0;63.7;36.3
362;"13 Lac; gums, resins and other vegeta...";2020;0.3;0.0;62.6;37.4
363;"13 Lac; gums, resins and other vegeta...";2021;0.3;0.0;58.2;41.8
364;"14 Vegetable plaiting materials; vege...";1996;1.0;0.0;;
365;"14 Vegetable plaiting materials; vege...";1997;1.3;0.0;;
366;"14 Vegetable plaiting materials; vege...";1998;1.2;0.0;;
367;"14 Vegetable plaiting materials; vege...";1999;1.0;0.0;;
368;"14 Vegetable plaiting materials; vege...";2000;1.0;0.0;;
369;"14 Vegetable plaiting materials; vege...";2001;1.6;0.0;;
370;"14 Vegetable plaiting materials; vege...";2002;1.4;0.0;44.7;55.3
371;"14 Vegetable plaiting materials; vege...";2003;1.5;0.0;50.5;49.5
372;"14 Vegetable plaiting materials; vege...";2004;1.8;0.0;64.1;35.9
373;"14 Vegetable plaiting materials; vege...";2005;2.0;0.0;56.1;43.9
374;"14 Vegetable plaiting materials; vege...";2006;3.8;0.0;63.2;36.8
375;"14 Vegetable plaiting materials; vege...";2007;8.8;0.0;83.1;16.9
376;"14 Vegetable plaiting materials; vege...";2008;6.7;0.0;80.8;19.2
377;"14 Vegetable plaiting materials; vege...";2009;7.4;0.0;87.5;12.5
378;"14 Vegetable plaiting materials; vege...";2010;3.3;0.0;69.6;30.4
379;"14 Vegetable plaiting materials; vege...";2011;3.4;0.0;58.8;41.2
380;"14 Vegetable plaiting materials; vege...";2012;3.0;0.0;59.4;40.6
381;"14 Vegetable plaiting materials; vege...";2013;3.4;0.0;66.3;33.7
382;"14 Vegetable plaiting materials; vege...";2014;2.4;0.0;77.7;22.3
383;"14 Vegetable plaiting materials; vege...";2015;5.5;0.0;55.5;44.5
384;"14 Vegetable plaiting materials; vege...";2016;6.4;0.0;50.4;49.6
385;"14 Vegetable plaiting materials; vege...";2017;4.4;0.0;36.4;63.6
386;"14 Vegetable plaiting materials; vege...";2018;2.9;0.0;31.9;68.1
387;"14 Vegetable plaiting materials; vege...";2019;3.1;0.0;37.9;62.1
388;"14 Vegetable plaiting materials; vege...";2020;3.7;0.0;37.8;62.2
389;"14 Vegetable plaiting materials; vege...";2021;3.2;0.0;39.1;60.9
390;15 Animal or vegetable fats and oils ...;1996;2.2;0.8;;
391;15 Animal or vegetable fats and oils ...;1997;2.4;0.9;;
392;15 Animal or vegetable fats and oils ...;1998;2.7;1.0;;
393;15 Animal or vegetable fats and oils ...;1999;2.8;0.9;;
394;15 Animal or vegetable fats and oils ...;2000;2.3;0.6;;
395;15 Animal or vegetable fats and oils ...;2001;2.3;0.6;;
