ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;AccuS_28;Autoruiten_29;Banden_30;Schokbrekers_31;RadiatorenStartmotorenDynamoS_32;Uitlaten_33;Overig_34;Autowasserij_35;Carrosserieherstel_36;CleanenReinigenOntvettenAntiroest_37;MLTectyleren_38;SlepenEnBergen_39;UitbesteedWerk_40;OverigeDienstverlening_41;AccessoiresEnOnderdelen_42;Banden_43;OverigeHandelsactiviteiten_44;OntvangstenVoorUitleenEnSubsidie_45;TotaalPersoneelskosten_46;BrutoLonenEnSalarissen_47;SocialeLasten_48;Pensioenpremies_49;KostenUitzendkrachten_50;KostenIngeleendPersoneel_51;OverigePersoneelskosten_52;TotaalOverigeBedrijfslasten_53;TotaalHuisvestingskosten_54;BetaaldeHurenPachtenEDVanLeasing_55;OnroerendeZaakbelastingMilieuheffing_56;Energiekosten_57;ReparatieEnOnderhoudskosten_58;Verzekeringen_59;OverigeHuisvestingskosten_60;TotaalInventarisEnMachinekosten_61;BetaaldeHurenEnKostenVanOperLease_62;Onderhoudskosten_63;OverigeInventarisEnMachinekosten_64;TotaalAutokosten_65;BetaaldeHurenEnKostenVanOperLease_66;Brandstof_67;OverigeAutokosten_68;TotaalVerkoopkosten_69;ReclameEnAdvertentiekosten_70;ReisVerblijfsEnRepresentatiekosten_71;OverigeVerkoopkosten_72;TotaalAndereKosten_73;AccountantsEnAdviesdiensten_74;KantoorbenodigdhDrukwerkVakliteratuur_75;OverigeVerzekeringen_76;OverigeKostprijsverhogendeBelastingen_77;Communicatiekosten_78;Beheerskosten_79;OverigeAutomatiseringskosten_80;NogNietEerderGenoemdeBedrijfskosten_81;TotaalAantalWerkzamePersonen_82;WerknemersOpDeLoonlijst_83;WerknemersNietOpLoonlijst_84;OverigPersoneel_85;AantalVte_86;TotaalInvesteringen_87;TotaalMaterieleVasteActiva_88;Bedrijfsruimten_89;Vervoermiddelen_90;Computers_91;OverigeMachinesApparatenED_92;OverigeMaterieleVasteActiva_93;TotaalImmaterieleVasteActiva_94
10;250 000 tot 500 000 euro;1998;5.0;181;181;169;12;0;151;41.9;30.9;6.6;20.6;31;10;4;4;3;10;30;-4;26;65.1;14.0;14.1;5.0;;;181;0.7;3.9;4.9;0.2;3.7;0.6;10.5;16.2;46.5;2.4;0.2;0.4;0.1;3.3;3.2;1.6;1.8;1.1;47;80.6;11.5;3.4;0.2;1.6;3.8;31;10;;;;;;;4;;;;4;;;;3;;;;10;;;;;;;;;28;81.2;18.0;0.9;24;9;99.4;11.6;25.7;3.0;48.2;10.9;0.6
11;250 000 tot 500 000 euro;1999;6.0;197;197;186;10;0;164;44.4;28.7;6.6;20.2;33;11;3;4;4;12;33;-5;28;62.8;14.2;14.4;6.5;;;197;0.7;5.3;9.1;0.1;2.4;0.9;9.5;14.2;46.0;3.9;0.1;0.4;0.1;2.1;1.5;0.4;3.4;1.2;47;77.9;11.4;3.4;0.6;3.7;4.3;33;11;;;;;;;3;;;;4;;;;4;;;;12;;;;;;;;;29;78.8;19.8;1.5;23;13;98.8;19.1;30.0;2.3;42.9;4.4;1.2
12;500 000 tot 1 500 000 euro;1996;4.8;414;413;388;25;1;376;44.0;34.1;4.9;16.9;64;21;5;8;7;22;38;-6;32;59.9;7.6;7.7;3.7;79.4;26.5;413;0.2;0.9;12.5;0.2;1.7;0.8;12.5;0.5;59.2;0.3;0.2;2.8;0.5;1.8;4.0;1.0;1.1;0.4;128;82.5;7.8;3.5;1.1;1.5;4.1;64;21;41.2;1.9;28.6;12.9;3.3;12.1;5;12.2;50.2;37.6;8;21.4;28.4;50.2;7;56.3;18.0;25.7;22;20.1;11.6;10.9;0.1;8.6;21.8;4.9;21.5;56;91.7;6.4;1.9;52;15;94.0;13.5;36.0;6.0;31.2;7.2;6.0
13;500 000 tot 1 500 000 euro;1997;4.8;407;406;381;25;1;371;44.8;33.1;4.6;17.5;65;21;4;9;7;24;36;-5;31;59.0;7.5;7.5;6.1;85.7;27.7;406;0.2;0.7;11.7;0.2;2.3;0.7;8.9;1.2;61.6;0.4;0.2;4.1;0.5;1.3;3.1;0.8;2.3;0.8;123;83.7;7.3;3.6;1.2;0.4;4.6;65;21;48.3;2.6;29.1;10.8;2.3;7.0;4;12.2;49.7;38.1;9;17.2;27.9;54.9;7;53.5;14.6;32.0;24;19.4;10.1;10.0;1.8;7.6;31.1;3.9;16.1;51;93.6;4.7;1.7;47;25;97.6;17.8;27.3;2.4;32.7;17.4;2.4
14;500 000 tot 1 500 000 euro;1998;5.8;475;473;453;20;2;421;43.6;33.3;5.3;17.8;75;23;5;10;8;29;55;-6;49;61.2;10.2;10.2;5.0;;;473;0.2;0.7;10.3;0.2;2.1;0.5;5.8;1.2;66.8;1.5;0.2;5.1;0.3;1.1;1.6;0.1;2.6;1.0;140;77.9;10.7;4.5;1.0;2.1;4.8;75;23;;;;;;;5;;;;10;;;;8;;;;29;;;;;;;;;57;93.1;5.1;1.8;54;24;99.6;13.6;41.4;3.2;27.2;14.2;0.4
15;500 000 tot 1 500 000 euro;1999;5.5;447;446;432;14;1;402;41.2;35.1;4.9;18.8;76;25;6;10;8;27;45;-3;42;62.9;9.0;9.4;8.1;;;446;0.4;1.3;8.9;0.1;2.7;0.5;6.4;1.3;64.3;3.6;0.1;5.4;0.3;1.5;0.9;0.4;1.9;1.1;141;77.2;12.0;3.7;0.8;2.8;4.6;76;25;;;;;;;6;;;;10;;;;8;;;;27;;;;;;;;;55;93.5;5.7;0.8;47;36;99.3;27.7;35.7;2.6;19.6;13.8;0.7
16;1 500 000 euro en meer;1996;0.9;416;410;382;28;6;384;53.8;27.9;3.3;15.1;58;21;4;7;10;16;32;-4;28;49.7;6.8;6.7;4.9;107.8;28.3;410;1.1;10.9;24.2;1.2;0.7;7.4;11.5;6.2;26.1;0.1;1.2;2.2;0.1;1.3;1.9;3.5;1.5;0.2;107;81.4;7.6;3.5;1.5;0.9;5.4;58;21;62.3;1.2;20.3;8.3;2.2;5.6;4;5.3;48.5;46.3;7;45.8;25.7;28.5;10;72.1;10.1;17.8;16;14.3;9.9;5.4;4.5;22.5;19.4;3.8;20.1;39;97.4;0.6;2.0;38;20;98.6;39.0;12.9;2.9;25.4;18.5;1.4
17;1 500 000 euro en meer;1997;0.9;449;446;413;33;3;414;53.9;28.0;3.3;14.9;62;25;3;6;11;16;35;-3;32;50.0;6.6;7.1;5.6;112.4;28.7;446;1.0;11.1;26.0;1.1;0.5;6.6;11.8;2.9;29.4;0.1;1.1;0.7;0.2;1.2;1.4;3.2;2.7;0.1;116;80.9;7.5;3.8;2.0;0.4;5.5;62;25;64.1;1.9;19.0;8.8;1.7;4.5;3;7.3;45.5;47.3;6;39.6;23.3;37.1;11;73.2;10.6;16.2;16;13.6;11.3;6.9;4.9;20.6;14.2;4.5;24.0;41;99.3;0.2;0.5;40;25;98.7;42.1;6.5;2.1;23.7;24.2;1.3
18;1 500 000 euro en meer;1998;1.1;515;511;479;32;4;471;51.7;29.4;3.2;15.6;74;29;4;8;13;20;43;2;45;52.3;8.8;8.7;4.8;;;511;0.9;12.5;24.1;0.8;0.9;5.3;11.3;1.0;34.3;0.2;0.8;1.4;0.5;0.4;1.7;3.3;1.4;0.3;139;75.5;10.7;4.1;3.0;0.3;6.6;74;29;;;;;;;4;;;;8;;;;13;;;;20;;;;;;;;;47;97.6;0.3;2.1;44;25;99.3;37.5;21.1;4.4;24.4;11.9;0.7
19;1 500 000 euro en meer;1999;1.7;656;654;618;36;2;595;50.1;30.6;3.5;15.8;94;35;5;10;16;28;62;8;70;54.4;10.2;10.7;5.2;;;654;0.7;11.5;21.0;0.7;0.3;4.4;7.4;0.5;45.7;0.1;0.7;1.8;0.1;0.3;1.4;2.5;1.6;0.5;182;74.2;11.0;4.4;3.5;0.5;6.8;94;35;;;;;;;5;;;;10;;;;16;;;;28;;;;;;;;;63;96.5;0.2;3.3;57;34;98.8;32.6;18.3;4.2;30.6;13.1;1.2
