ID;Persoonskenmerken;Perioden;SlachtofferschapTotaal_1;SlachtofferVanGeweldsdelicten_2;SlachtofferVanDiefstaldelicten_3;SlachtofferVanVernielingen_4;SlachtofferVanDoorrijdenNaOngeval_5;SlachtofferKwaadwilligeTelefoontjes_6
44;Lft. cat. 3: 20-24 jaar;1996;36.7;9.9;23.3;10.9;1.5;7.3
45;Lft. cat. 3: 25-34 jaar;1992;26.8;5.0;15.4;10.9;1.7;7.5
46;Lft. cat. 3: 25-34 jaar;1993;29.5;5.2;15.4;12.8;1.5;9.5
47;Lft. cat. 3: 25-34 jaar;1994;28.3;6.8;15.5;10.4;1.4;7.1
48;Lft. cat. 3: 25-34 jaar;1995;31.0;7.5;16.4;12.1;1.6;7.2
49;Lft. cat. 3: 25-34 jaar;1996;28.4;5.4;14.8;11.2;1.3;6.4
50;Lft. cat. 3: 35-44 jaar;1992;28.3;5.7;14.9;10.5;1.9;8.2
51;Lft. cat. 3: 35-44 jaar;1993;26.4;5.2;13.7;11.8;1.4;8.0
52;Lft. cat. 3: 35-44 jaar;1994;30.6;5.0;14.2;14.1;2.3;6.7
53;Lft. cat. 3: 35-44 jaar;1995;24.8;4.5;11.8;11.2;1.3;6.9
54;Lft. cat. 3: 35-44 jaar;1996;23.1;4.6;10.8;9.4;1.8;6.7
55;Lft. cat. 3: 45-54 jaar;1992;19.2;3.1;11.9;6.2;1.0;11.8
56;Lft. cat. 3: 45-54 jaar;1993;23.4;3.0;12.2;11.2;1.1;6.5
57;Lft. cat. 3: 45-54 jaar;1994;22.7;3.2;11.5;10.3;1.1;7.4
58;Lft. cat. 3: 45-54 jaar;1995;24.8;2.4;13.9;10.1;1.2;7.7
59;Lft. cat. 3: 45-54 jaar;1996;22.7;2.4;11.3;10.1;1.5;6.3
60;Lft. cat. 3: 55-64 jaar;1992;14.2;1.9;6.7;5.7;1.8;6.9
61;Lft. cat. 3: 55-64 jaar;1993;15.1;2.5;7.8;6.2;0.9;7.4
62;Lft. cat. 3: 55-64 jaar;1994;16.7;2.6;8.9;5.4;1.2;6.3
63;Lft. cat. 3: 55-64 jaar;1995;16.7;1.4;8.7;7.3;0.9;7.7
64;Lft. cat. 3: 55-64 jaar;1996;12.8;1.1;6.4;5.7;0.6;5.4
65;Lft. cat. 3: 65-74 jaar;1992;10.7;0.8;4.8;4.4;0.8;6.9
66;Lft. cat. 3: 65-74 jaar;1993;10.8;0.9;6.8;3.6;0.4;6.7
67;Lft. cat. 3: 65-74 jaar;1994;13.5;1.0;7.4;5.1;0.9;7.5
68;Lft. cat. 3: 65-74 jaar;1995;15.4;1.7;9.9;4.9;1.5;6.6
69;Lft. cat. 3: 65-74 jaar;1996;12.7;1.3;6.8;5.1;0.7;5.6
70;Lft. cat. 3: 75-84 jaar;1992;9.4;0.0;5.9;3.6;0.0;8.5
71;Lft. cat. 3: 75-84 jaar;1993;10.6;1.5;5.1;4.6;0.0;9.3
72;Lft. cat. 3: 75-84 jaar;1994;11.4;1.1;8.1;3.2;0.7;6.7
73;Lft. cat. 3: 75-84 jaar;1995;7.4;0.6;2.7;4.1;0.3;5.7
74;Lft. cat. 3: 75-84 jaar;1996;8.5;0.4;5.5;3.4;0.0;5.5
75;Lft. cat. 3: 85 jaar en ouder;1992;;;;;;
76;Lft. cat. 3: 85 jaar en ouder;1993;8.2;0.0;8.2;0.0;0.0;9.7
77;Lft. cat. 3: 85 jaar en ouder;1994;5.0;0.0;3.5;1.5;0.0;7.7
78;Lft. cat. 3: 85 jaar en ouder;1995;6.9;0.0;4.3;2.6;0.0;1.3
79;Lft. cat. 3: 85 jaar en ouder;1996;1.1;0.0;0.0;1.1;0.0;7.5
80;Lft. cat. 5 x gesl: man, 15-24 jaar;1992;41.2;17.2;22.7;11.2;2.4;5.4
81;Lft. cat. 5 x gesl: man, 15-24 jaar;1993;42.9;15.1;23.4;14.5;2.2;2.2
82;Lft. cat. 5 x gesl: man, 15-24 jaar;1994;42.9;11.1;26.4;14.2;2.5;2.9
83;Lft. cat. 5 x gesl: man, 15-24 jaar;1995;41.0;13.6;21.9;12.6;1.9;4.2
84;Lft. cat. 5 x gesl: man, 15-24 jaar;1996;42.3;12.7;28.5;11.6;2.0;2.8
85;Lft. cat. 5 x gesl: man, 25-44 jaar;1992;28.4;5.2;15.4;12.5;2.1;4.6
86;Lft. cat. 5 x gesl: man, 25-44 jaar;1993;28.3;4.8;15.0;13.8;1.4;5.3
87;Lft. cat. 5 x gesl: man, 25-44 jaar;1994;32.6;6.5;15.9;14.3;2.5;3.8
88;Lft. cat. 5 x gesl: man, 25-44 jaar;1995;28.8;6.5;12.8;13.0;1.6;4.4
89;Lft. cat. 5 x gesl: man, 25-44 jaar;1996;28.5;5.5;13.0;12.0;1.9;4.2
90;Lft. cat. 5 x gesl: man, 45-64 jaar;1992;21.0;3.2;11.4;7.7;1.9;6.3
91;Lft. cat. 5 x gesl: man, 45-64 jaar;1993;23.5;2.7;11.5;12.1;1.4;5.2
92;Lft. cat. 5 x gesl: man, 45-64 jaar;1994;23.1;3.7;10.3;10.0;1.5;4.7
93;Lft. cat. 5 x gesl: man, 45-64 jaar;1995;24.3;2.3;12.5;11.3;1.7;6.1
94;Lft. cat. 5 x gesl: man, 45-64 jaar;1996;19.5;2.4;8.5;9.8;1.5;5.0
95;Lft. cat. 5 x gesl: man, 65 jaar eo;1992;10.2;0.0;4.6;5.3;0.3;5.1
96;Lft. cat. 5 x gesl: man, 65 jaar eo;1993;10.4;1.1;4.8;5.9;0.0;6.3
97;Lft. cat. 5 x gesl: man, 65 jaar eo;1994;13.6;0.8;7.2;5.8;0.6;4.2
98;Lft. cat. 5 x gesl: man, 65 jaar eo;1995;15.0;1.5;7.7;7.3;1.9;6.4
99;Lft. cat. 5 x gesl: man, 65 jaar eo;1996;14.1;1.5;6.6;6.9;0.5;5.7
100;Lft. cat. 5 x gesl: vrouw, 15-24 jaar;1992;40.4;10.4;23.9;12.7;1.8;12.1
101;Lft. cat. 5 x gesl: vrouw, 15-24 jaar;1993;33.7;7.6;20.1;11.7;1.5;10.0
102;Lft. cat. 5 x gesl: vrouw, 15-24 jaar;1994;35.3;10.3;18.4;10.6;2.7;7.3
103;Lft. cat. 5 x gesl: vrouw, 15-24 jaar;1995;40.8;12.5;24.5;9.6;2.3;11.3
104;Lft. cat. 5 x gesl: vrouw, 15-24 jaar;1996;32.3;6.4;19.9;9.8;2.4;10.0
105;Lft. cat. 5 x gesl: vrouw, 25-44 jaar;1992;26.5;5.5;14.9;8.8;1.5;11.4
106;Lft. cat. 5 x gesl: vrouw, 25-44 jaar;1993;27.4;5.6;14.1;10.7;1.5;12.3
107;Lft. cat. 5 x gesl: vrouw, 25-44 jaar;1994;26.1;5.2;13.8;10.0;1.1;10.2
108;Lft. cat. 5 x gesl: vrouw, 25-44 jaar;1995;27.1;5.5;15.6;10.2;1.3;9.8
109;Lft. cat. 5 x gesl: vrouw, 25-44 jaar;1996;22.8;4.5;12.5;8.5;1.2;8.9
110;Lft. cat. 5 x gesl: vrouw. 45-64 jaar;1992;12.5;1.8;7.3;4.4;1.0;12.4
111;Lft. cat. 5 x gesl: vrouw. 45-64 jaar;1993;15.6;2.8;8.8;5.7;0.7;8.6
112;Lft. cat. 5 x gesl: vrouw. 45-64 jaar;1994;16.8;2.2;10.2;6.0;0.8;9.0
113;Lft. cat. 5 x gesl: vrouw. 45-64 jaar;1995;18.0;1.6;10.6;6.4;0.5;9.2
114;Lft. cat. 5 x gesl: vrouw. 45-64 jaar;1996;16.3;1.1;9.4;6.1;0.6;6.8
115;Lft. cat. 5 x gesl: vrouw, 65 jaar eo;1992;10.1;0.9;5.4;3.3;0.6;8.8
116;Lft. cat. 5 x gesl: vrouw, 65 jaar eo;1993;10.7;1.0;7.5;2.1;0.4;8.6
117;Lft. cat. 5 x gesl: vrouw, 65 jaar eo;1994;11.6;1.1;7.5;3.3;0.9;9.4
118;Lft. cat. 5 x gesl: vrouw, 65 jaar eo;1995;10.1;1.0;6.7;2.4;0.4;5.6
119;Lft. cat. 5 x gesl: vrouw, 65 jaar eo;1996;8.3;0.5;5.5;2.5;0.4;5.6
120;Lft. cat. 6 x gesl: man, 15-19 jaar;1992;43.7;18.7;23.9;10.4;2.2;6.7
121;Lft. cat. 6 x gesl: man, 15-19 jaar;1993;44.3;17.5;24.5;9.8;2.5;0.0
122;Lft. cat. 6 x gesl: man, 15-19 jaar;1994;41.6;10.6;27.7;11.9;2.1;2.3
123;Lft. cat. 6 x gesl: man, 15-19 jaar;1995;41.4;13.6;22.6;9.3;2.4;1.7
124;Lft. cat. 6 x gesl: man, 15-19 jaar;1996;39.5;13.1;28.4;9.0;2.1;3.4
125;Lft. cat. 6 x gesl: man, 20-24 jaar;1992;39.2;16.1;21.7;11.8;2.5;4.4
126;Lft. cat. 6 x gesl: man, 20-24 jaar;1993;41.7;13.1;22.5;18.3;1.9;4.0
127;Lft. cat. 6 x gesl: man, 20-24 jaar;1994;44.0;11.5;25.2;16.3;2.9;3.5
128;Lft. cat. 6 x gesl: man, 20-24 jaar;1995;40.7;13.5;21.3;15.5;1.5;6.5
129;Lft. cat. 6 x gesl: man, 20-24 jaar;1996;44.6;12.3;28.6;13.7;1.9;2.2
130;Lft. cat. 6 x gesl man, 25-34 jaar;1992;29.8;5.0;17.0;14.2;2.1;3.8
131;Lft. cat. 6 x gesl man, 25-34 jaar;1993;30.2;5.1;15.9;14.5;2.1;5.2
132;Lft. cat. 6 x gesl man, 25-34 jaar;1994;32.4;8.3;17.9;12.5;2.2;3.7
133;Lft. cat. 6 x gesl man, 25-34 jaar;1995;32.7;8.6;15.3;13.6;2.5;4.3
134;Lft. cat. 6 x gesl man, 25-34 jaar;1996;32.0;5.4;15.5;13.5;1.2;3.6
135;Lft. cat. 6 x gesl: man, 35-44 jaar;1992;26.8;5.5;13.7;10.6;2.2;5.4
136;Lft. cat. 6 x gesl: man, 35-44 jaar;1993;26.5;4.6;14.3;13.2;0.9;5.4
137;Lft. cat. 6 x gesl: man, 35-44 jaar;1994;32.7;4.8;14.1;15.9;2.9;3.8
138;Lft. cat. 6 x gesl: man, 35-44 jaar;1995;24.9;4.5;10.3;12.5;0.7;4.5
139;Lft. cat. 6 x gesl: man, 35-44 jaar;1996;25.4;5.7;10.9;10.7;2.4;4.7
140;Lft. cat. 6 x gesl: man, 45-54 jaar;1992;23.8;3.8;15.1;7.6;0.9;8.9
141;Lft. cat. 6 x gesl: man, 45-54 jaar;1993;28.2;2.8;14.7;14.7;1.2;5.7
142;Lft. cat. 6 x gesl: man, 45-54 jaar;1994;25.7;4.0;11.1;12.1;1.6;4.2
143;Lft. cat. 6 x gesl: man, 45-54 jaar;1995;30.2;3.0;15.7;14.1;1.8;5.6
144;Lft. cat. 6 x gesl: man, 45-54 jaar;1996;24.6;3.2;10.5;12.7;2.2;5.9
145;Lft. cat. 6 x gesl: man, 55-64 jaar;1992;18.2;2.7;7.9;7.7;2.9;3.8
146;Lft. cat. 6 x gesl: man, 55-64 jaar;1993;17.5;2.7;7.5;8.7;1.6;4.5
147;Lft. cat. 6 x gesl: man, 55-64 jaar;1994;20.1;3.4;9.2;7.6;1.4;5.2
148;Lft. cat. 6 x gesl: man, 55-64 jaar;1995;17.1;1.5;8.7;7.9;1.4;6.8
149;Lft. cat. 6 x gesl: man, 55-64 jaar;1996;14.0;1.4;6.3;6.7;0.7;3.9
150;Lft. cat. 6 x gesl: man, 65-74 jaar;1992;10.7;0.0;4.3;6.0;0.5;3.9
151;Lft. cat. 6 x gesl: man, 65-74 jaar;1993;10.2;0.9;5.4;5.3;0.0;6.6
152;Lft. cat. 6 x gesl: man, 65-74 jaar;1994;16.7;0.8;8.6;7.5;0.8;5.0
153;Lft. cat. 6 x gesl: man, 65-74 jaar;1995;16.9;1.9;10.3;7.1;2.5;6.6
154;Lft. cat. 6 x gesl: man, 65-74 jaar;1996;16.4;2.0;8.0;7.0;0.8;5.2
155;Lft. cat. 6 x gesl: man, 75-84 jaar;1992;9.0;0.0;5.9;3.1;0.0;6.6
156;Lft. cat. 6 x gesl: man, 75-84 jaar;1993;12.7;2.0;3.8;8.7;0.0;6.7
157;Lft. cat. 6 x gesl: man, 75-84 jaar;1994;7.2;0.8;4.3;2.2;0.0;2.3
158;Lft. cat. 6 x gesl: man, 75-84 jaar;1995;11.3;0.8;2.4;8.1;0.8;5.8
159;Lft. cat. 6 x gesl: man, 75-84 jaar;1996;11.6;0.8;4.9;7.7;0.0;6.4
160;Lft. cat. 6 x gesl: man, 85 jaar eo;1992;;;;;;
161;Lft. cat. 6 x gesl: man, 85 jaar eo;1993;;;;;;
162;Lft. cat. 6 x gesl: man, 85 jaar eo;1994;;;;;;
163;Lft. cat. 6 x gesl: man, 85 jaar eo;1995;;;;;;
164;Lft. cat. 6 x gesl: man, 85 jaar eo;1996;;;;;;
165;Lft. cat. 6 x gesl: vrouw, 15-19 jaar;1992;39.9;8.7;24.8;11.7;2.0;9.5
166;Lft. cat. 6 x gesl: vrouw, 15-19 jaar;1993;36.1;4.7;22.7;13.2;3.5;11.1
167;Lft. cat. 6 x gesl: vrouw, 15-19 jaar;1994;39.3;11.0;18.6;14.7;3.8;7.1
168;Lft. cat. 6 x gesl: vrouw, 15-19 jaar;1995;46.6;11.9;27.4;14.8;3.7;7.2
169;Lft. cat. 6 x gesl: vrouw, 15-19 jaar;1996;36.6;5.4;22.4;11.8;3.7;7.1
170;Lft. cat. 6 x gesl: vrouw, 20-24 jaar;1992;40.8;11.6;23.2;13.4;1.7;13.9
171;Lft. cat. 6 x gesl: vrouw, 20-24 jaar;1993;31.9;9.9;18.1;10.6;0.0;9.1
172;Lft. cat. 6 x gesl: vrouw, 20-24 jaar;1994;32.6;9.8;18.3;7.9;1.9;7.4
173;Lft. cat. 6 x gesl: vrouw, 20-24 jaar;1995;36.1;13.0;22.1;5.2;1.0;14.6
174;Lft. cat. 6 x gesl: vrouw, 20-24 jaar;1996;27.9;7.3;17.4;7.8;1.0;12.9
175;Lft. cat. 6 x gesl: vrouw, 25-34 jaar;1992;23.8;5.1;13.8;7.6;1.3;11.3
176;Lft. cat. 6 x gesl: vrouw, 25-34 jaar;1993;28.7;5.3;15.0;11.1;1.0;13.8
177;Lft. cat. 6 x gesl: vrouw, 25-34 jaar;1994;24.3;5.2;13.2;8.2;0.7;10.4
178;Lft. cat. 6 x gesl: vrouw, 25-34 jaar;1995;29.3;6.4;17.4;10.6;0.6;10.0
179;Lft. cat. 6 x gesl: vrouw, 25-34 jaar;1996;25.0;5.5;14.2;9.0;1.4;9.1
180;Lft. cat. 6 x gesl: vrouw, 35-44 jaar;1992;29.9;5.9;16.3;10.4;1.6;11.5
181;Lft. cat. 6 x gesl: vrouw, 35-44 jaar;1993;26.2;5.8;13.1;10.3;2.0;10.9
182;Lft. cat. 6 x gesl: vrouw, 35-44 jaar;1994;28.1;5.2;14.4;11.9;1.6;10.0
183;Lft. cat. 6 x gesl: vrouw, 35-44 jaar;1995;24.6;4.4;13.5;9.8;2.0;9.5
184;Lft. cat. 6 x gesl: vrouw, 35-44 jaar;1996;20.6;3.4;10.8;8.0;1.0;8.8
185;Lft. cat. 6 x gesl: vrouw, 45-54 jaar;1992;14.8;2.5;8.9;4.9;1.1;14.7
186;Lft. cat. 6 x gesl: vrouw, 45-54 jaar;1993;18.1;3.2;9.5;7.4;1.0;7.4
187;Lft. cat. 6 x gesl: vrouw, 45-54 jaar;1994;19.8;2.5;11.8;8.5;0.6;10.5
188;Lft. cat. 6 x gesl: vrouw, 45-54 jaar;1995;19.5;1.9;12.1;6.1;0.6;9.7
189;Lft. cat. 6 x gesl: vrouw, 45-54 jaar;1996;20.7;1.5;12.2;7.4;0.7;6.8
190;Lft. cat. 6 x gesl: vrouw, 55-64 jaar;1992;10.2;1.0;5.6;3.8;0.8;10.0
191;Lft. cat. 6 x gesl: vrouw, 55-64 jaar;1993;13.0;2.3;8.1;3.9;0.3;9.9
192;Lft. cat. 6 x gesl: vrouw, 55-64 jaar;1994;13.6;1.9;8.6;3.2;1.0;7.3
193;Lft. cat. 6 x gesl: vrouw, 55-64 jaar;1995;16.2;1.4;8.7;6.8;0.4;8.6
194;Lft. cat. 6 x gesl: vrouw, 55-64 jaar;1996;11.6;0.8;6.4;4.6;0.5;6.8
195;Lft. cat. 6 x gesl: vrouw, 65-74 jaar;1992;10.7;1.5;5.1;3.2;0.9;9.1
196;Lft. cat. 6 x gesl: vrouw, 65-74 jaar;1993;11.3;1.0;7.8;2.3;0.7;6.9
197;Lft. cat. 6 x gesl: vrouw, 65-74 jaar;1994;11.1;1.1;6.4;3.3;0.9;9.4
198;Lft. cat. 6 x gesl: vrouw, 65-74 jaar;1995;14.1;1.5;9.6;2.9;0.7;6.6
199;Lft. cat. 6 x gesl: vrouw, 65-74 jaar;1996;10.1;0.7;5.9;3.8;0.6;5.8
200;Lft. cat. 6 x gesl: vrouw, 75-84 jaar;1992;9.7;0.0;5.8;3.9;0.0;9.8
201;Lft. cat. 6 x gesl: vrouw, 75-84 jaar;1993;9.3;1.3;5.8;2.2;0.0;10.8
202;Lft. cat. 6 x gesl: vrouw, 75-84 jaar;1994;13.9;1.3;10.4;3.8;1.0;9.3
203;Lft. cat. 6 x gesl: vrouw, 75-84 jaar;1995;5.2;0.5;2.9;1.8;0.0;5.7
204;Lft. cat. 6 x gesl: vrouw, 75-84 jaar;1996;6.0;0.0;6.0;0.0;0.0;4.8
205;Lft. cat. 6 x gesl: vrouw, 85 jaar eo;1992;;;;;;
206;Lft. cat. 6 x gesl: vrouw, 85 jaar eo;1993;;;;;;
207;Lft. cat. 6 x gesl: vrouw, 85 jaar eo;1994;;;;;;
208;Lft. cat. 6 x gesl: vrouw, 85 jaar eo;1995;6.3;0.0;4.4;1.9;0.0;0.0
209;Lft. cat. 6 x gesl: vrouw, 85 jaar eo;1996;;;;;;
210;16;1992;;;;;;
211;16;1993;;;;;;
212;16;1994;;;;;;
213;16;1995;20.5;4.9;11.7;6.2;1.1;7.8
214;16;1996;19.1;3.8;10.5;6.7;1.3;6.6
215;17;1992;;;;;;
216;17;1993;;;;;;
217;17;1994;;;;;;
218;17;1995;22.1;4.2;12.0;7.3;1.5;6.8
219;17;1996;19.7;4.4;11.0;6.5;1.3;6.1
220;18;1992;;;;;;
221;18;1993;;;;;;
222;18;1994;;;;;;
223;18;1995;29.4;5.9;15.2;12.5;1.4;8.0
224;18;1996;25.6;4.3;14.3;10.1;1.2;6.6
225;20;1992;;;;;;
226;20;1993;;;;;;
227;20;1994;;;;;;
228;20;1995;32.7;6.8;17.6;13.1;1.4;5.3
229;20;1996;28.8;4.5;13.8;12.5;1.7;4.7
230;21;1992;38.2;11.5;21.8;13.1;1.8;8.4
231;21;1993;38.6;9.8;22.5;14.2;2.2;7.2
232;21;1994;38.0;10.4;22.3;12.6;2.4;6.2
233;21;1995;38.8;11.6;21.4;12.5;1.6;7.3
234;21;1996;36.8;8.1;21.8;12.6;2.0;6.4
235;22;1992;17.4;2.3;9.6;6.2;1.7;7.5
236;22;1993;18.8;2.6;9.2;9.0;0.8;7.0
237;22;1994;20.9;2.8;10.2;9.0;1.2;5.6
238;22;1995;20.0;2.5;10.4;8.5;1.4;6.3
239;22;1996;17.6;2.6;8.6;7.4;1.0;5.4
240;23;1992;20.2;2.5;9.8;9.1;0.0;12.0
241;23;1993;14.8;2.4;9.2;4.2;0.0;11.6
242;23;1994;14.7;2.2;7.9;5.5;1.4;12.0
243;23;1995;13.0;1.2;7.4;5.3;0.3;7.4
244;23;1996;9.2;0.8;4.8;3.9;0.7;9.9
245;24;1992;35.8;12.6;18.6;12.2;0.6;13.9
246;24;1993;37.5;11.8;20.5;10.7;3.1;12.9
247;24;1994;30.6;6.8;16.1;10.1;1.9;15.0
248;24;1995;38.0;9.0;20.4;13.5;2.2;16.4
249;24;1996;26.9;6.1;15.6;9.0;1.7;10.2
250;25;1992;32.1;7.5;18.8;12.2;1.5;11.9
251;25;1993;34.1;7.6;21.4;12.2;2.0;11.5
252;25;1994;31.5;7.9;19.5;10.3;2.2;11.4
253;25;1995;32.2;8.3;18.7;10.6;1.4;10.2
254;25;1996;28.6;6.0;15.8;10.8;1.8;9.8
255;26;1992;22.9;5.0;12.5;8.0;1.6;7.7
256;26;1993;23.3;4.6;12.0;9.9;1.1;6.9
257;26;1994;24.9;4.6;12.8;9.8;1.5;5.7
258;26;1995;24.7;4.8;13.0;9.5;1.4;6.6
259;26;1996;22.1;3.9;11.9;8.4;1.2;5.5
260;27;1992;30.2;7.2;20.3;8.2;1.4;9.7
261;27;1993;30.9;6.8;21.1;9.7;1.1;10.3
262;27;1994;32.4;7.1;19.0;10.2;2.4;9.5
263;27;1995;35.0;6.7;21.3;12.3;1.5;9.7
264;27;1996;30.0;4.8;17.1;11.1;1.7;8.9
265;28;1992;27.9;5.9;15.8;10.5;1.6;10.7
266;28;1993;29.4;6.7;14.1;13.5;1.6;8.1
267;28;1994;31.5;6.0;16.7;11.5;2.3;6.7
268;28;1995;28.1;6.2;14.8;11.1;1.4;7.5
269;28;1996;25.9;4.7;13.8;10.5;1.2;5.1
270;29;1992;24.5;4.9;12.3;10.1;1.9;7.5
271;29;1993;25.7;5.7;12.1;11.1;1.9;8.1
272;29;1994;26.0;5.4;13.2;10.6;1.3;6.2
273;29;1995;26.3;5.3;13.2;10.5;1.8;7.5
274;29;1996;21.8;4.2;11.5;8.9;1.0;6.3
275;30;1992;20.6;5.5;9.9;7.7;1.5;7.3
276;30;1993;21.0;3.4;12.3;7.7;0.6;6.3
277;30;1994;22.4;4.4;10.7;9.7;1.0;6.2
278;30;1995;20.5;4.7;10.6;7.2;1.2;6.0
279;30;1996;20.8;4.1;10.5;8.1;1.5;6.1
280;31;1992;17.9;3.3;9.3;6.3;1.4;6.2
281;31;1993;17.3;2.4;7.9;8.9;1.0;5.1
282;31;1994;16.8;2.8;9.5;7.0;1.3;4.4
283;31;1995;19.4;4.0;9.6;7.2;1.1;4.8
284;31;1996;16.7;3.3;9.6;5.0;1.4;4.4
