ID;Landen;GN;Perioden;TotaleInvoerwaarde_1;TotaleInvoerhoeveelheid_2;TotaleUitvoerwaarde_3;TotaleUitvoerhoeveelheid_4;EenheidHoeveelheid_5
39;Totaal landen;84021100 Waterpijpketels met een stro...;2018;8.0;0.0;0.0;0.0;mln kg                   
40;Totaal landen;84021100 Waterpijpketels met een stro...;2019;9.0;1.0;0.0;0.0;mln kg                   
41;Totaal landen;84021100 Waterpijpketels met een stro...;2020;3.0;0.0;4.0;0.0;mln kg                   
42;Totaal landen;84021100 Waterpijpketels met een stro...;2021;;;;;mln kg                   
43;Totaal landen;84021100 Waterpijpketels met een stro...;2022;10.0;1.0;7.0;1.0;mln kg                   
44;Totaal landen;84021100 Waterpijpketels met een stro...;2023;0.0;0.0;1.0;0.0;mln kg                   
45;Totaal landen;84021200 Waterpijpketels met een stro...;2015;0.0;0.0;0.0;0.0;mln kg                   
46;Totaal landen;84021200 Waterpijpketels met een stro...;2016;2.0;0.0;1.0;0.0;mln kg                   
47;Totaal landen;84021200 Waterpijpketels met een stro...;2017;1.0;0.0;1.0;0.0;mln kg                   
48;Totaal landen;84021200 Waterpijpketels met een stro...;2018;1.0;0.0;0.0;0.0;mln kg                   
49;Totaal landen;84021200 Waterpijpketels met een stro...;2019;0.0;0.0;3.0;0.0;mln kg                   
50;Totaal landen;84021200 Waterpijpketels met een stro...;2020;3.0;0.0;1.0;0.0;mln kg                   
51;Totaal landen;84021200 Waterpijpketels met een stro...;2021;;;;;mln kg                   
52;Totaal landen;84021200 Waterpijpketels met een stro...;2022;0.0;0.0;1.0;0.0;mln kg                   
53;Totaal landen;84021200 Waterpijpketels met een stro...;2023;1.0;0.0;1.0;0.0;mln kg                   
54;Totaal landen;84021910 Vlampijpketels (m.u.v. ketel...;2015;0.0;;5.0;1.0;mln kg                   
55;Totaal landen;84021910 Vlampijpketels (m.u.v. ketel...;2016;;;6.0;1.0;mln kg                   
56;Totaal landen;84021910 Vlampijpketels (m.u.v. ketel...;2017;0.0;0.0;10.0;1.0;mln kg                   
57;Totaal landen;84021910 Vlampijpketels (m.u.v. ketel...;2018;0.0;0.0;10.0;1.0;mln kg                   
