ID;Achtergrondkenmerken;Perioden;SlotenGrendelsOpBuitendeuren_1;LuikenVoorRamenDeuren_2;Buitenverlichting_3;Alarminstallatie_4;Waakhond_5;AndereVoorzieningen_6;GeenMaatregelen_7;AndereMensenTijdelijkInHuis_8;BurenEAHoudenOogjeInTZeil_9;PolitieWordtIngelicht_10;ErBrandtAltijdLicht_11;WaardevolleDingenOpgeborgen_12;Waakhond_13;AndereMaatregelen_14;GeenNVTAltijdIemandInHuis_15;NVTAltijdIemandInHuis_16;GeenMaatregelen_17
14;38;2003;70.0;6.0;56.5;6.4;6.0;8.4;14.8;10.6;66.4;4.5;28.8;34.3;2.0;5.0;;10.6;13.4
15;38;2004;74.4;6.1;59.8;6.5;5.4;8.5;13.4;8.3;67.4;3.6;25.3;34.5;0.9;4.2;;13.8;10.6
16;39;1997;75.5;9.3;65.7;3.1;14.2;7.9;14.4;8.7;65.6;4.8;29.7;33.7;2.6;1.3;21.8;;
17;39;1998;73.4;8.0;57.5;2.4;12.4;5.9;12.9;14.3;71.9;5.8;29.2;39.3;3.9;4.6;20.9;;
18;39;1999;75.5;11.3;60.9;4.9;13.8;6.7;10.0;11.4;69.9;6.2;25.4;35.4;5.7;1.8;;17.3;5.4
19;39;2000;78.2;14.9;65.2;5.8;16.5;5.0;13.9;10.9;76.6;7.7;40.1;43.2;7.5;2.1;;12.7;3.4
20;39;2001;78.6;11.1;60.9;2.8;14.5;5.6;9.5;8.0;65.0;5.5;32.5;35.6;4.9;3.0;;20.6;9.5
21;39;2002;77.2;8.2;62.9;2.7;14.1;4.0;9.9;11.1;64.2;1.4;30.1;36.2;2.7;3.6;;16.5;5.9
22;39;2003;81.5;10.2;63.5;8.0;21.5;4.8;6.2;9.6;68.1;2.5;26.9;35.3;6.3;1.5;;21.2;6.0
23;39;2004;78.7;10.0;63.0;7.2;15.6;5.1;9.2;11.1;66.0;5.0;28.7;34.6;3.2;2.5;;17.8;7.3
24;40;1997;80.5;12.2;74.5;7.4;14.2;12.1;5.9;13.5;83.3;10.9;48.9;54.7;4.3;4.9;7.9;;
25;40;1998;81.5;12.7;79.8;10.0;14.4;12.2;4.9;14.9;84.7;11.6;51.9;56.6;4.7;6.4;7.8;;
26;40;1999;81.8;13.9;76.4;8.8;13.3;11.8;5.1;12.2;84.7;10.7;49.9;54.2;4.9;5.4;;6.8;2.8
27;40;2000;82.2;12.5;78.3;8.7;13.0;10.7;4.7;13.6;83.7;10.7;50.0;55.1;4.6;5.2;;5.8;3.3
28;40;2001;83.6;13.8;77.0;10.4;13.4;10.2;4.8;12.7;84.6;10.9;49.7;55.1;4.0;4.8;;5.7;3.7
29;40;2002;82.4;13.4;80.3;10.5;14.2;9.5;5.1;14.6;84.9;8.6;50.6;55.5;4.3;4.5;;5.9;2.8
30;40;2003;85.1;14.5;79.9;9.8;13.7;9.6;3.4;13.3;86.1;8.4;48.3;55.3;4.6;6.4;;6.2;2.3
31;40;2004;84.7;15.2;82.4;9.8;13.2;10.3;3.3;13.3;85.5;8.4;48.8;57.6;3.0;4.0;;6.6;2.8
32;41;1997;81.7;14.3;83.1;8.0;22.7;8.7;4.6;15.2;81.4;11.3;45.8;50.7;8.4;4.2;11.8;;
33;41;1998;82.6;15.3;83.3;8.3;22.0;10.4;3.9;15.7;84.1;12.3;48.4;51.9;8.7;4.8;10.1;;
34;41;1999;83.9;15.0;83.8;8.9;19.2;8.2;3.7;13.6;84.0;12.1;47.0;53.6;7.8;4.9;;8.8;2.0
35;41;2000;83.8;15.2;83.1;9.5;20.9;11.2;3.0;13.8;85.0;11.6;48.5;53.4;8.6;5.5;;8.0;1.5
36;41;2001;84.0;14.8;81.4;10.0;22.4;8.1;4.0;13.5;82.7;8.7;46.2;53.4;7.9;4.5;;8.2;3.1
37;41;2002;85.8;14.7;83.6;9.9;21.0;7.2;3.0;14.0;85.3;8.0;44.4;52.0;6.3;4.5;;8.2;2.1
38;41;2003;85.0;17.3;84.5;10.5;22.4;6.0;3.6;15.3;82.7;7.2;43.4;50.8;7.3;4.4;;8.6;2.3
39;41;2004;86.7;15.9;85.7;10.5;22.0;7.7;2.7;12.6;83.3;6.9;41.9;53.8;5.7;4.9;;9.3;2.2
40;46;1997;72.6;3.1;46.9;6.2;8.7;13.9;14.3;9.6;76.3;4.1;34.0;39.9;2.1;4.2;12.7;;
41;46;1998;77.2;1.4;48.1;7.6;7.7;12.7;14.0;15.6;71.5;3.7;37.0;41.7;2.5;6.6;14.5;;
42;46;1999;72.9;2.7;48.2;5.5;6.3;16.1;14.5;13.5;76.3;5.9;33.1;43.1;1.6;3.3;;7.7;8.4
43;46;2000;81.6;4.3;49.1;6.1;6.4;12.6;10.9;14.8;77.8;4.2;36.9;45.4;1.5;5.8;;6.6;6.6
44;46;2001;78.7;4.8;46.0;7.5;5.9;13.0;12.6;13.3;74.9;5.2;35.1;43.9;1.8;5.1;;8.4;8.9
45;46;2002;76.8;2.8;51.0;5.5;8.3;10.4;13.6;17.1;76.3;3.6;33.7;40.2;2.1;4.5;;8.4;7.1
46;46;2003;75.2;6.5;48.3;6.9;4.9;10.6;14.2;16.7;73.4;2.1;29.5;37.2;1.9;5.4;;6.9;8.8
47;46;2004;80.2;4.7;50.7;7.4;6.2;11.4;10.9;15.8;72.9;3.7;29.8;42.3;1.2;3.9;;7.0;9.4
48;45;1997;78.5;9.3;70.0;8.4;13.6;10.8;9.3;12.3;77.8;7.6;45.2;50.7;3.8;6.2;12.7;;
49;45;1998;78.8;9.5;74.9;9.5;14.4;12.8;7.5;13.3;83.4;9.0;49.5;52.5;4.3;7.3;9.6;;
50;45;1999;83.2;11.6;75.9;10.8;11.2;10.4;6.5;12.1;80.7;8.8;46.9;53.5;3.8;6.5;;8.1;4.0
51;45;2000;82.1;12.1;75.6;10.2;10.7;12.3;7.4;11.9;83.9;9.3;50.2;54.6;3.6;4.8;;5.8;3.5
52;45;2001;82.9;11.5;74.5;9.6;13.3;9.4;5.8;11.8;80.4;8.8;46.1;53.7;2.5;5.0;;6.5;6.7
53;45;2002;83.5;10.7;79.1;8.7;13.4;8.8;5.7;11.9;82.6;6.8;44.3;51.4;3.2;4.6;;6.1;4.5
54;45;2003;84.1;12.1;74.7;10.3;15.1;6.8;6.3;13.3;80.5;6.3;41.9;49.8;4.1;4.8;;7.3;5.4
55;45;2004;83.5;11.2;77.7;10.0;14.5;8.1;6.3;10.2;81.5;6.4;41.4;53.0;2.9;4.1;;8.6;4.1
56;44;1997;81.5;12.2;80.0;9.7;16.6;9.2;5.3;12.0;81.9;10.1;44.8;49.0;4.5;5.3;11.8;;
57;44;1998;82.8;13.8;80.4;7.3;15.3;11.7;4.8;14.3;86.1;11.5;48.3;53.8;4.3;3.9;8.5;;
58;44;1999;83.7;14.8;80.9;9.2;15.8;8.6;5.3;11.4;84.3;12.3;48.6;51.5;5.5;4.6;;8.5;2.4
59;44;2000;82.0;11.9;81.7;9.2;16.2;8.9;5.2;11.5;83.1;10.3;47.1;48.7;6.9;5.0;;8.2;3.9
60;44;2001;85.0;12.8;81.1;10.6;19.8;8.0;4.6;11.8;82.6;9.4;46.2;51.2;6.1;4.4;;8.0;4.0
61;44;2002;82.8;13.4;82.8;11.8;16.9;8.1;4.0;12.1;81.8;9.2;45.8;53.2;4.7;4.5;;8.9;4.0
62;44;2003;82.9;14.5;83.1;10.7;16.3;7.6;3.6;11.8;82.2;8.6;48.9;51.7;4.3;5.7;;8.9;4.0
63;44;2004;83.8;15.1;85.1;10.7;15.4;9.3;4.1;10.5;82.7;7.9;43.8;53.1;3.1;4.4;;9.8;3.1
64;43;1997;81.0;20.0;85.7;7.9;23.0;7.1;4.1;16.9;80.0;14.9;47.5;51.3;9.6;3.9;12.2;;
65;43;1998;80.6;18.4;86.0;9.4;21.5;8.8;3.9;13.3;80.8;14.7;49.1;50.5;8.4;5.0;13.4;;
66;43;1999;81.4;17.6;84.1;8.2;18.7;7.9;3.5;11.7;82.0;13.4;44.1;51.1;8.3;4.9;;10.5;2.7
67;43;2000;82.8;17.3;85.5;9.5;22.4;9.3;2.6;13.2;83.8;14.8;48.9;55.6;10.4;5.7;;7.5;2.3
68;43;2001;79.8;19.0;85.0;8.5;20.0;6.3;4.2;11.5;80.6;10.8;44.3;51.7;7.9;3.7;;10.1;4.7
69;43;2002;84.5;18.5;86.2;9.1;20.3;6.8;3.3;13.2;80.5;9.8;45.7;51.0;6.0;5.0;;10.8;2.7
70;43;2003;83.7;19.1;87.6;9.6;23.1;5.5;2.7;11.3;82.1;9.8;42.7;52.2;7.4;4.2;;11.1;2.3
71;43;2004;85.8;19.2;89.3;9.0;21.1;7.8;2.3;11.8;82.2;8.4;43.3;52.9;5.8;4.3;;11.3;2.2
72;42;1997;80.7;16.3;86.4;5.3;20.8;7.9;5.1;14.3;79.6;12.5;41.2;48.2;8.5;3.5;12.5;;
73;42;1998;75.7;17.3;87.9;7.6;24.0;6.5;3.4;16.5;78.1;12.4;41.5;47.1;10.5;4.4;15.2;;
74;42;1999;80.1;17.6;88.4;7.9;23.2;5.4;2.3;13.2;79.5;10.9;43.3;47.2;9.9;3.8;;11.6;2.6
75;42;2000;75.1;20.4;87.9;6.4;23.4;6.6;3.7;14.7;76.4;11.3;44.9;48.6;9.9;3.2;;13.5;3.1
76;42;2001;79.1;16.8;85.4;8.8;23.2;7.7;4.0;14.1;78.6;7.7;46.3;48.3;11.2;3.4;;11.9;1.9
77;42;2002;81.5;17.9;86.8;9.3;21.4;5.2;3.1;12.9;79.1;8.1;41.8;46.0;8.7;5.1;;14.2;1.8
78;42;2003;83.2;18.6;91.8;8.6;25.9;7.9;2.3;16.2;81.0;6.7;41.9;48.4;10.9;4.6;;12.4;1.4
79;42;2004;82.2;19.0;89.7;8.5;22.5;5.5;2.2;13.0;77.5;6.3;40.8;46.8;6.9;5.2;;14.6;2.9
80;72;1997;82.3;17.4;85.3;9.2;20.2;10.2;3.0;15.9;84.0;12.1;48.8;53.4;7.6;5.0;9.5;;
81;72;1998;82.3;17.0;86.5;10.2;19.0;12.0;3.1;16.4;85.2;12.5;52.4;55.3;7.6;5.8;8.9;;
82;72;1999;84.5;17.3;87.1;10.4;17.7;10.2;2.3;14.6;86.9;11.9;50.7;55.8;7.1;5.7;;6.7;1.5
83;72;2000;83.3;16.8;85.7;10.4;17.9;10.5;2.7;15.0;86.7;11.8;51.5;55.3;7.3;5.8;;6.0;1.9
84;72;2001;84.7;16.9;85.2;11.2;18.9;10.1;2.6;14.7;85.8;10.1;50.5;55.9;7.1;5.1;;6.8;2.1
85;72;2002;85.4;16.5;87.8;11.5;18.5;9.2;2.3;14.9;85.9;8.6;48.7;55.1;5.6;5.3;;7.5;1.3
86;72;2003;85.7;17.9;86.3;11.6;19.0;6.9;2.9;15.1;86.2;8.3;47.7;55.2;6.4;5.3;;7.0;2.0
87;72;2004;86.0;17.7;86.9;11.4;17.7;9.1;2.3;13.9;85.7;7.6;47.3;56.5;4.6;4.9;;7.1;1.9
88;73;1997;74.6;5.4;59.2;5.6;11.8;9.1;13.5;9.3;72.7;6.9;35.2;41.3;3.2;4.4;16.2;;
89;73;1998;74.9;5.2;60.5;5.8;12.8;8.8;11.7;11.6;73.6;7.4;36.1;41.3;3.5;5.1;16.4;;
90;73;1999;74.9;6.2;58.5;5.8;10.3;9.1;12.4;8.8;71.6;8.0;33.3;40.9;3.5;3.5;;12.7;7.6
91;73;2000;77.6;6.6;59.8;5.6;11.1;9.8;11.5;9.6;73.0;7.1;37.3;44.2;4.4;3.6;;11.0;7.1
92;73;2001;76.4;6.8;58.5;5.9;12.0;6.9;11.6;8.6;70.2;6.2;33.6;41.6;3.3;3.2;;11.6;10.5
93;73;2002;76.4;5.5;59.5;4.7;11.1;6.2;12.1;10.5;71.0;5.7;32.3;38.4;3.1;3.7;;11.9;9.0
94;73;2003;75.8;7.2;60.5;5.6;12.8;8.6;10.9;10.9;69.4;4.3;30.3;36.4;3.6;4.4;;12.5;8.9
95;73;2004;78.6;6.3;63.5;5.4;12.0;7.5;10.5;8.5;69.7;5.0;27.7;39.3;2.4;3.3;;14.7;8.4
96;74;1997;83.7;15.0;83.4;8.1;18.8;10.1;3.7;13.8;83.1;12.2;49.0;53.3;6.6;4.6;10.0;;
97;74;1998;82.9;15.0;84.1;8.8;18.5;10.4;3.5;14.7;85.1;12.4;50.9;53.6;6.5;5.2;9.6;;
98;74;1999;84.3;15.7;84.4;9.2;17.6;9.2;3.2;13.0;84.4;11.9;49.4;53.9;6.9;4.7;;8.3;1.9
99;74;2000;83.8;15.7;84.5;9.2;18.1;10.2;3.2;13.0;85.1;11.8;50.5;54.6;7.4;5.1;;7.5;2.2
100;74;2001;84.3;15.8;83.0;10.1;19.3;8.8;3.2;12.8;83.8;10.0;49.3;54.0;6.6;4.3;;7.8;3.0
101;74;2002;85.3;15.3;86.1;10.3;18.4;7.6;2.7;13.5;84.2;8.9;48.1;53.1;5.5;4.8;;8.5;1.9
102;74;2003;85.3;16.7;85.4;10.3;20.0;6.8;3.0;13.5;84.4;8.1;46.8;53.0;6.5;4.8;;8.6;2.2
103;74;2004;86.6;16.5;87.1;10.4;18.7;8.2;2.2;12.0;84.2;7.7;46.3;55.0;4.5;4.5;;9.4;2.1
104;75;1997;68.7;3.9;44.3;4.3;6.0;9.6;17.8;9.7;73.3;2.9;27.8;38.3;1.2;4.8;14.1;;
105;75;1998;70.0;2.4;47.2;5.8;6.4;11.5;16.8;13.0;72.8;3.9;30.4;39.3;1.7;7.0;13.5;;
106;75;1999;72.2;3.3;48.8;6.0;3.9;12.2;14.9;9.4;73.5;5.4;27.5;38.8;1.5;5.1;;8.7;9.0
107;75;2000;75.9;3.4;46.4;5.9;3.7;10.8;14.7;12.2;72.8;4.1;31.9;40.3;0.5;4.5;;7.7;9.0
108;75;2001;73.6;3.0;47.3;6.1;5.3;8.9;15.2;9.9;69.4;4.1;28.3;39.9;1.4;4.5;;9.2;12.4
109;75;2002;72.3;2.3;47.6;4.0;6.2;9.5;16.0;12.7;70.4;3.1;25.4;35.8;1.7;4.4;;8.6;11.6
110;75;2003;72.7;4.2;46.2;6.3;4.4;10.3;15.4;12.4;66.9;2.5;22.9;32.8;0.8;4.8;;8.9;12.2
111;75;2004;75.5;3.3;51.1;5.0;4.5;9.5;14.1;11.3;69.1;3.2;21.3;36.1;0.8;3.5;;9.8;11.2
112;76;1997;63.1;10.2;69.4;13.2;25.0;6.1;15.4;15.4;57.5;7.2;27.9;27.2;9.7;6.2;31.0;;
113;76;1998;66.5;11.6;71.9;12.1;25.0;10.8;10.7;14.9;52.7;8.6;35.2;36.0;11.7;4.7;34.3;;
114;76;1999;60.5;12.2;59.4;9.9;17.5;7.6;17.3;14.8;56.0;7.3;26.5;35.6;6.0;4.9;;24.3;13.3
115;76;2000;59.4;10.0;62.7;10.7;20.4;8.5;16.5;16.9;60.9;6.8;35.5;39.6;12.2;5.4;;15.6;8.1
116;76;2001;66.2;11.6;63.0;6.5;17.3;8.9;15.3;17.2;52.4;3.8;19.6;31.4;10.6;5.2;;24.9;13.9
117;76;2002;67.5;11.2;60.2;9.4;14.2;9.6;17.0;12.6;53.1;3.6;24.3;33.9;2.8;5.6;;28.8;9.0
118;76;2003;62.1;12.7;68.2;8.7;17.9;5.7;14.8;23.3;54.6;3.8;25.4;31.2;8.0;9.7;;22.4;12.3
119;76;2004;61.4;12.6;62.3;11.9;19.5;9.1;16.8;14.8;52.4;4.4;24.1;35.8;5.9;6.3;;22.6;8.3
120;71;1997;76.6;10.3;67.4;8.9;17.4;12.1;14.0;20.8;71.6;12.0;58.9;47.6;4.9;5.5;16.6;;
121;71;1998;77.0;6.5;58.1;9.5;18.8;14.6;7.1;16.0;76.9;7.5;50.5;47.1;5.6;6.7;12.2;;
122;71;1999;78.6;15.2;69.4;14.9;9.5;16.4;8.6;14.2;83.4;18.0;53.6;53.0;5.1;4.8;;9.4;2.0
123;71;2000;89.4;7.7;62.7;9.0;14.6;11.2;5.3;21.8;71.8;6.2;51.4;52.7;5.8;7.7;;7.1;5.0
124;71;2001;82.9;9.4;70.8;16.5;14.5;6.2;6.8;20.0;84.7;17.7;53.1;63.6;4.6;1.5;;3.3;3.3
125;71;2002;78.5;8.9;76.4;16.9;13.0;22.6;1.7;20.2;79.1;13.6;52.7;56.6;6.5;6.3;;6.0;5.9
126;71;2003;;;;;;;;;;;;;;;;;
127;71;2004;82.4;9.6;77.5;15.9;9.0;11.2;9.3;16.3;72.4;8.2;43.7;57.2;1.4;7.7;;8.6;4.5
128;70;1997;79.1;12.3;74.3;7.6;16.6;9.7;7.4;12.9;79.3;9.9;42.7;48.2;5.7;4.7;12.3;;
129;70;1998;79.3;12.3;76.2;8.4;16.5;10.6;6.6;14.4;80.5;10.4;45.7;49.6;5.9;5.5;12.0;;
130;70;1999;80.6;12.8;75.7;8.4;14.8;9.7;6.4;12.3;80.7;10.2;43.5;49.7;5.7;4.8;;9.1;4.0
131;70;2000;81.0;13.0;76.2;8.6;15.4;10.2;6.1;12.9;81.7;10.1;46.1;51.1;6.2;4.9;;7.9;3.8
132;70;2001;81.4;13.0;74.7;9.0;16.2;8.9;6.1;12.2;79.6;8.4;43.7;50.0;5.6;4.4;;8.8;5.4
133;70;2002;82.1;12.5;77.3;8.8;15.8;7.8;6.0;13.2;80.4;7.4;42.4;48.8;4.6;4.7;;9.2;4.1
134;70;2003;82.2;14.0;76.9;9.4;16.8;7.3;5.8;13.5;79.9;6.8;41.2;48.2;5.4;4.9;;9.1;4.6
135;70;2004;83.3;13.6;78.4;9.2;15.8;8.5;5.2;11.9;79.9;6.6;40.1;50.2;3.8;4.3;;9.9;4.3
