ID;Multinationality;SIC2008;Periods;Production_1;AddedValue_2;ImportOfGoods_3;ImportsOfServices_4;DomesticExports_5;ReExports_6;ExportOfServices_7;ExportEarnings_8;LabourVolume_9;LabourVolumeForExports_10
54;Total;13-15 Man. of textile-, leatherproducts;2020;3537.0;1187.0;1026.0;161.0;1920.0;130.0;43.0;847.6;15.7;10.5
55;Total;13-15 Man. of textile-, leatherproducts;2021;4072.0;1402.0;1310.0;161.0;2266.0;113.0;39.0;994.5;15.2;10.1
56;Total;16-18 Man. wood en paperprod., printing;2015;12892.0;3849.0;3361.0;640.0;4320.0;33.0;116.0;2239.6;47.3;25.2
57;Total;16-18 Man. wood en paperprod., printing;2016;13211.0;3985.0;3661.0;636.0;4482.0;41.0;127.0;2283.8;47.7;25.2
58;Total;16-18 Man. wood en paperprod., printing;2017;13994.0;4120.0;3874.0;709.0;4893.0;36.0;130.0;2414.7;47.2;25.3
59;Total;16-18 Man. wood en paperprod., printing;2018;14669.0;4412.0;3987.0;736.0;5069.0;20.0;134.0;2586.7;47.0;25.3
60;Total;16-18 Man. wood en paperprod., printing;2019;14448.0;4651.0;3977.0;656.0;4908.0;41.0;137.0;2774.1;46.7;25.2
61;Total;16-18 Man. wood en paperprod., printing;2020;13847.0;4633.0;3614.0;688.0;4701.0;49.0;117.0;2702.8;46.2;24.1
62;Total;16-18 Man. wood en paperprod., printing;2021;15861.0;4414.0;4661.0;771.0;6016.0;50.0;148.0;2596.4;46.7;25.8
63;Total;19-21 Refineries and chemistry;2015;72851.0;13424.0;32304.0;2475.0;46223.0;248.0;3538.0;11905.5;58.3;49.9
64;Total;19-21 Refineries and chemistry;2016;67920.0;14447.0;27226.0;2923.0;42700.0;258.0;3658.0;12888.3;58.8;50.9
65;Total;19-21 Refineries and chemistry;2017;78153.0;15543.0;33481.0;3356.0;49967.0;312.0;4198.0;14158.9;59.1;52.0
66;Total;19-21 Refineries and chemistry;2018;88582.0;15831.0;40389.0;3940.0;56864.0;315.0;4309.0;14554.4;61.0;54.2
67;Total;19-21 Refineries and chemistry;2019;85696.0;15274.0;39488.0;3941.0;54653.0;235.0;4592.0;13866.1;61.3;54.3
68;Total;19-21 Refineries and chemistry;2020;69622.0;12961.0;29386.0;4021.0;45560.0;244.0;4822.0;12191.1;61.6;55.1
69;Total;19-21 Refineries and chemistry;2021;102471.0;17821.0;46720.0;4394.0;65423.0;350.0;6060.0;16626.8;62.0;54.8
70;Total;22-23 Man. plastics and constructionprod;2015;13335.0;4377.0;2954.0;359.0;5143.0;49.0;189.0;2550.8;47.7;26.0
71;Total;22-23 Man. plastics and constructionprod;2016;14030.0;4842.0;3150.0;395.0;5774.0;66.0;154.0;2863.0;48.5;27.4
72;Total;22-23 Man. plastics and constructionprod;2017;14836.0;4984.0;3603.0;435.0;6162.0;69.0;214.0;2945.0;50.3;28.4
73;Total;22-23 Man. plastics and constructionprod;2018;15735.0;5179.0;3884.0;456.0;6381.0;86.0;221.0;2998.7;51.0;28.3
74;Total;22-23 Man. plastics and constructionprod;2019;16004.0;5340.0;3993.0;454.0;6429.0;77.0;231.0;3046.5;51.7;28.4
75;Total;22-23 Man. plastics and constructionprod;2020;15763.0;5554.0;3843.0;466.0;6283.0;62.0;220.0;3105.5;52.3;28.1
76;Total;22-23 Man. plastics and constructionprod;2021;17992.0;5726.0;4749.0;496.0;7667.0;85.0;174.0;3358.8;52.2;29.4
77;Total;24-25 Man. of basic metals and -products;2015;26111.0;8504.0;5337.0;609.0;8851.0;67.0;567.0;5288.1;101.6;59.9
78;Total;24-25 Man. of basic metals and -products;2016;27095.0;9106.0;5534.0;658.0;8984.0;90.0;580.0;5444.1;102.4;58.6
79;Total;24-25 Man. of basic metals and -products;2017;28997.0;9190.0;6645.0;715.0;10099.0;95.0;677.0;5563.9;103.0;59.3
80;Total;24-25 Man. of basic metals and -products;2018;30846.0;9926.0;6971.0;744.0;10805.0;75.0;751.0;6104.1;106.0;61.9
81;Total;24-25 Man. of basic metals and -products;2019;31110.0;9880.0;6940.0;751.0;10032.0;77.0;746.0;5854.2;108.9;62.9
82;Total;24-25 Man. of basic metals and -products;2020;28845.0;9238.0;6384.0;745.0;8988.0;85.0;699.0;5294.4;108.8;60.7
83;Total;24-25 Man. of basic metals and -products;2021;35638.0;10427.0;8926.0;841.0;12803.0;107.0;886.0;6525.4;108.7;63.4
84;Total;26-28 Manufact of electronics, machinery;2015;72298.0;16989.0;24232.0;16900.0;49972.0;2997.0;4342.0;13338.7;119.1;92.8
85;Total;26-28 Manufact of electronics, machinery;2016;69412.0;16366.0;22725.0;16090.0;46692.0;3028.0;3697.0;12585.3;121.2;92.8
86;Total;26-28 Manufact of electronics, machinery;2017;73603.0;18093.0;23889.0;15999.0;50133.0;2659.0;3744.0;14033.4;122.2;93.5
87;Total;26-28 Manufact of electronics, machinery;2018;74336.0;19487.0;23297.0;14735.0;50600.0;2647.0;3705.0;15415.2;126.0;98.2
88;Total;26-28 Manufact of electronics, machinery;2019;67353.0;21044.0;20477.0;8671.0;44279.0;2518.0;3474.0;16974.0;131.9;104.3
89;Total;26-28 Manufact of electronics, machinery;2020;66303.0;22153.0;19421.0;7647.0;42449.0;2612.0;3067.0;17438.7;134.2;105.1
90;Total;26-28 Manufact of electronics, machinery;2021;65250.0;25332.0;16879.0;4759.0;41210.0;3186.0;2422.0;20510.9;136.9;111.1
91;Total;29-30 Transport equipment;2015;17703.0;3516.0;5814.0;620.0;11828.0;75.0;474.0;2702.1;35.7;26.5
92;Total;29-30 Transport equipment;2016;19193.0;3551.0;6845.0;601.0;13807.0;63.0;465.0;2961.0;36.5;29.5
93;Total;29-30 Transport equipment;2017;21243.0;4118.0;7794.0;631.0;15377.0;56.0;587.0;3530.7;37.3;30.1
94;Total;29-30 Transport equipment;2018;24436.0;4313.0;9567.0;700.0;17422.0;90.0;560.0;3596.9;40.0;31.4
95;Total;29-30 Transport equipment;2019;25401.0;4485.0;9349.0;710.0;17239.0;90.0;695.0;3693.8;42.6;33.8
96;Total;29-30 Transport equipment;2020;21318.0;4235.0;7628.0;678.0;15742.0;83.0;626.0;3695.2;41.4;35.2
97;Total;29-30 Transport equipment;2021;21081.0;4345.0;7574.0;721.0;15899.0;56.0;634.0;3798.4;39.1;32.6
98;Total;31-33 Other manufacturing and repair;2015;18309.0;8275.0;2556.0;413.0;2703.0;234.0;1674.0;3633.4;160.0;50.3
99;Total;31-33 Other manufacturing and repair;2016;18476.0;8251.0;2596.0;447.0;2796.0;244.0;1710.0;3635.1;157.4;50.9
100;Total;31-33 Other manufacturing and repair;2017;19450.0;8653.0;2790.0;496.0;3167.0;330.0;1961.0;3990.8;157.6;54.2
101;Total;31-33 Other manufacturing and repair;2018;20513.0;9042.0;3019.0;505.0;3342.0;376.0;2215.0;4337.2;157.0;56.4
102;Total;31-33 Other manufacturing and repair;2019;21321.0;9109.0;3214.0;495.0;3414.0;333.0;2147.0;4378.7;156.9;57.7
103;Total;31-33 Other manufacturing and repair;2020;20664.0;8970.0;3242.0;489.0;3515.0;327.0;2227.0;4372.3;153.2;58.0
104;Total;31-33 Other manufacturing and repair;2021;21684.0;9349.0;3620.0;499.0;4045.0;406.0;2227.0;4722.8;150.9;58.8
105;Total;D-E Energy, water, waste treatment;2015;28026.0;11989.0;4094.0;718.0;3016.0;88.0;435.0;4486.0;55.7;21.0
106;Total;D-E Energy, water, waste treatment;2016;26834.0;11960.0;3216.0;748.0;2067.0;132.0;540.0;4263.2;55.8;20.3
107;Total;D-E Energy, water, waste treatment;2017;27560.0;11700.0;3910.0;772.0;2036.0;129.0;503.0;4146.6;56.9;20.6
108;Total;D-E Energy, water, waste treatment;2018;29228.0;12524.0;4047.0;772.0;2124.0;154.0;528.0;4386.2;59.0;20.8
109;Total;D-E Energy, water, waste treatment;2019;30565.0;13642.0;3878.0;766.0;2163.0;153.0;536.0;4696.6;59.7;20.5
110;Total;D-E Energy, water, waste treatment;2020;30794.0;14961.0;3026.0;881.0;2080.0;150.0;580.0;4923.0;60.3;19.9
111;Total;D-E Energy, water, waste treatment;2021;34600.0;14854.0;5129.0;921.0;3067.0;270.0;517.0;5661.2;62.1;23.3
112;Total;D Energy supply;2015;17859.0;7817.0;3429.0;289.0;2026.0;78.0;69.0;2901.7;26.0;9.5
113;Total;D Energy supply;2016;16530.0;7781.0;2550.0;313.0;1137.0;108.0;72.0;2662.8;24.7;8.4
114;Total;D Energy supply;2017;16730.0;7389.0;3174.0;336.0;1006.0;110.0;66.0;2441.2;24.8;8.1
115;Total;D Energy supply;2018;17829.0;8091.0;3267.0;327.0;989.0;144.0;76.0;2609.1;26.0;8.1
116;Total;D Energy supply;2019;18770.0;9227.0;2996.0;327.0;993.0;142.0;80.0;2934.9;26.0;7.7
117;Total;D Energy supply;2020;19102.0;10425.0;2253.0;314.0;950.0;140.0;94.0;3165.2;26.4;7.3
118;Total;D Energy supply;2021;21410.0;9861.0;4127.0;352.0;1406.0;256.0;58.0;3481.3;27.1;9.0
119;Total;E Water supply and waste management;2015;10167.0;4172.0;665.0;429.0;990.0;10.0;366.0;1584.3;29.7;11.5
120;Total;E Water supply and waste management;2016;10304.0;4179.0;666.0;435.0;930.0;24.0;468.0;1600.3;31.1;12.0
121;Total;E Water supply and waste management;2017;10830.0;4311.0;736.0;436.0;1030.0;19.0;437.0;1705.4;32.1;12.5
122;Total;E Water supply and waste management;2018;11399.0;4433.0;780.0;445.0;1135.0;10.0;452.0;1777.1;33.0;12.7
123;Total;E Water supply and waste management;2019;11795.0;4415.0;882.0;439.0;1170.0;11.0;456.0;1761.8;33.7;12.8
124;Total;E Water supply and waste management;2020;11692.0;4536.0;773.0;567.0;1130.0;10.0;486.0;1757.8;33.9;12.6
125;Total;E Water supply and waste management;2021;13190.0;4993.0;1002.0;569.0;1661.0;14.0;459.0;2179.9;35.0;14.3
126;Total;F Construction;2015;84840.0;26394.0;8913.0;3105.0;176.0;0.0;3226.0;3040.2;431.2;45.4
127;Total;F Construction;2016;92352.0;28188.0;9755.0;2945.0;166.0;0.0;2954.0;2781.6;439.6;39.7
128;Total;F Construction;2017;98230.0;29970.0;10247.0;3068.0;127.0;0.0;3953.0;3025.5;447.3;40.4
129;Total;F Construction;2018;108437.0;32544.0;11344.0;3453.0;135.0;0.0;3835.0;3014.3;472.0;39.9
130;Total;F Construction;2019;117077.0;36001.0;12356.0;3191.0;139.0;0.0;3510.0;3109.7;490.2;38.5
131;Total;F Construction;2020;121397.0;38241.0;12461.0;3505.0;224.0;0.0;3298.0;2994.1;504.4;36.5
132;Total;F Construction;2021;131560.0;40678.0;14375.0;3400.0;275.0;0.0;3485.0;3267.6;518.3;39.3
133;Total;41 Construction buildings, development;2015;34160.0;8446.0;3142.0;931.0;74.0;0.0;327.0;375.6;141.6;6.2
134;Total;41 Construction buildings, development;2016;38270.0;9268.0;3602.0;820.0;89.0;0.0;320.0;355.3;147.0;5.4
135;Total;41 Construction buildings, development;2017;41088.0;9927.0;3785.0;863.0;61.0;0.0;347.0;365.6;150.6;5.3
136;Total;41 Construction buildings, development;2018;46147.0;10956.0;4267.0;974.0;78.0;0.0;363.0;376.0;160.0;5.3
137;Total;41 Construction buildings, development;2019;51541.0;12537.0;4662.0;953.0;72.0;0.0;329.0;386.7;169.5;5.1
138;Total;41 Construction buildings, development;2020;53245.0;13650.0;4573.0;1052.0;122.0;0.0;312.0;410.3;174.9;5.0
139;Total;41 Construction buildings, development;2021;58064.0;14648.0;5174.0;1026.0;155.0;0.0;336.0;466.0;183.4;5.6
140;Total;42 Civil engineering;2015;15050.0;4218.0;1206.0;1378.0;26.0;0.0;1828.0;954.6;54.4;10.9
141;Total;42 Civil engineering;2016;16241.0;4340.0;1122.0;1349.0;33.0;0.0;1680.0;850.8;52.1;9.4
142;Total;42 Civil engineering;2017;17084.0;4417.0;1172.0;1390.0;25.0;0.0;2648.0;974.5;52.2;10.0
143;Total;42 Civil engineering;2018;18073.0;4608.0;1379.0;1568.0;17.0;0.0;2444.0;925.3;54.0;9.8
144;Total;42 Civil engineering;2019;17297.0;4810.0;1445.0;1347.0;22.0;0.0;2206.0;967.1;55.1;9.6
145;Total;42 Civil engineering;2020;18077.0;4951.0;1580.0;1487.0;35.0;0.0;2081.0;884.4;55.2;8.9
146;Total;42 Civil engineering;2021;19038.0;5005.0;1754.0;1382.0;36.0;0.0;2195.0;850.0;47.9;8.1
147;Total;43 Specialised construction activities;2015;35630.0;13730.0;4565.0;796.0;76.0;0.0;1071.0;1709.9;235.1;28.3
148;Total;43 Specialised construction activities;2016;37841.0;14580.0;5031.0;776.0;44.0;0.0;954.0;1575.5;240.5;25.0
149;Total;43 Specialised construction activities;2017;40058.0;15626.0;5290.0;815.0;41.0;0.0;958.0;1685.3;244.5;25.1
150;Total;43 Specialised construction activities;2018;44217.0;16980.0;5698.0;911.0;40.0;0.0;1028.0;1713.1;258.0;24.8
151;Total;43 Specialised construction activities;2019;48239.0;18654.0;6249.0;891.0;45.0;0.0;975.0;1755.8;265.6;23.8
152;Total;43 Specialised construction activities;2020;50075.0;19640.0;6308.0;966.0;67.0;0.0;905.0;1699.4;274.3;22.6
153;Total;43 Specialised construction activities;2021;54458.0;21025.0;7447.0;992.0;84.0;0.0;954.0;1951.6;287.0;25.6
154;Total;G-I Trade, transport, hotels, catering;2015;252013.0;126069.0;10811.0;26844.0;20637.0;31748.0;43927.0;66715.1;1604.8;621.4
155;Total;G-I Trade, transport, hotels, catering;2016;258912.0;130564.0;10150.0;27560.0;21062.0;33207.0;43550.0;68606.0;1642.7;641.4
156;Total;G-I Trade, transport, hotels, catering;2017;273555.0;136693.0;11302.0;30121.0;22567.0;37200.0;45694.0;72739.1;1683.7;667.2
157;Total;G-I Trade, transport, hotels, catering;2018;286725.0;142899.0;12253.0;31443.0;23566.0;37822.0;47555.0;74833.2;1745.0;685.6
158;Total;G-I Trade, transport, hotels, catering;2019;301277.0;151822.0;12310.0;31677.0;24910.0;39254.0;50059.0;79666.5;1778.0;703.1
159;Total;G-I Trade, transport, hotels, catering;2020;281775.0;142281.0;9563.0;30375.0;25581.0;34318.0;42593.0;73546.0;1781.1;670.7
160;Total;G-I Trade, transport, hotels, catering;2021;317294.0;161801.0;12053.0;33055.0;30294.0;40882.0;49475.0;87531.5;1806.7;693.4
161;Total;G-N Commercial services;2015;648505.0;337110.0;16459.0;66198.0;22151.0;32866.0;118121.0;142888.0;3475.8;1398.3
162;Total;G-N Commercial services;2016;665645.0;346787.0;16086.0;67132.0;22672.0;34406.0;111959.0;141851.6;3584.3;1403.1
163;Total;G-N Commercial services;2017;699449.0;362529.0;17696.0;76118.0;24126.0;38256.0;122716.0;151249.9;3694.7;1485.0
164;Total;G-N Commercial services;2018;742026.0;380522.0;18644.0;89180.0;25077.0;38879.0;139041.0;158311.0;3842.0;1545.3
165;Total;G-N Commercial services;2019;781260.0;399006.0;19098.0;94512.0;26565.0;40471.0;148394.0;166908.8;3906.0;1575.5
166;Total;G-N Commercial services;2020;755519.0;386065.0;16366.0;92046.0;27188.0;35586.0;137114.0;154300.3;3879.2;1496.3
167;Total;G-N Commercial services;2021;819497.0;420899.0;19639.0;95636.0;32055.0;42224.0;147861.0;175121.0;3827.9;1499.0
168;Total;G Wholesale and retail trade;2015;151781.0;83576.0;4077.0;15599.0;17515.0;28725.0;9253.0;41980.9;1026.6;371.2
169;Total;G Wholesale and retail trade;2016;156913.0;86763.0;4053.0;15967.0;17734.0;29911.0;9622.0;43414.8;1047.0;381.5
170;Total;G Wholesale and retail trade;2017;165506.0;90713.0;4448.0;17526.0;19085.0;33663.0;9168.0;46271.3;1069.3;398.2
171;Total;G Wholesale and retail trade;2018;172770.0;95184.0;4758.0;17807.0;19940.0;34196.0;9157.0;47735.8;1102.0;403.6
172;Total;G Wholesale and retail trade;2019;182356.0;101787.0;4783.0;17836.0;21087.0;35321.0;10682.0;51291.4;1116.8;413.8
173;Total;G Wholesale and retail trade;2020;181926.0;103014.0;4619.0;16820.0;21803.0;30379.0;10314.0;49339.4;1139.3;393.4
174;Total;G Wholesale and retail trade;2021;203236.0;117192.0;5527.0;17575.0;25901.0;36136.0;11939.0;59897.7;1157.5;407.2
175;Total;45 Sale and repair of motor vehicles;2015;17246.0;7770.0;1977.0;555.0;330.0;455.0;322.0;1819.9;120.8;26.9
176;Total;45 Sale and repair of motor vehicles;2016;17786.0;8111.0;1948.0;565.0;351.0;492.0;324.0;2096.5;124.2;30.6
177;Total;45 Sale and repair of motor vehicles;2017;18753.0;8574.0;2101.0;621.0;381.0;531.0;327.0;2314.8;126.4;32.5
178;Total;45 Sale and repair of motor vehicles;2018;19615.0;9005.0;2258.0;640.0;422.0;546.0;297.0;2389.6;131.0;33.1
179;Total;45 Sale and repair of motor vehicles;2019;20635.0;9627.0;2168.0;670.0;419.0;520.0;287.0;2516.5;131.2;32.6
180;Total;45 Sale and repair of motor vehicles;2020;20219.0;9538.0;2118.0;596.0;419.0;516.0;287.0;2347.0;130.7;30.5
181;Total;45 Sale and repair of motor vehicles;2021;21933.0;10050.0;2408.0;630.0;504.0;597.0;309.0;2393.6;132.7;29.9
182;Total;46 Wholesale trade (no motor vehicles);2015;96428.0;52549.0;1753.0;13753.0;16758.0;27686.0;6136.0;37311.7;431.9;291.1
183;Total;46 Wholesale trade (no motor vehicles);2016;99769.0;54295.0;1757.0;14078.0;16941.0;28864.0;6344.0;38329.0;441.3;297.6
184;Total;46 Wholesale trade (no motor vehicles);2017;105312.0;56413.0;1975.0;15430.0;18234.0;32528.0;5641.0;40719.4;448.5;308.9
185;Total;46 Wholesale trade (no motor vehicles);2018;110036.0;59488.0;2097.0;15636.0;19024.0;33035.0;5515.0;41969.7;460.0;312.9
186;Total;46 Wholesale trade (no motor vehicles);2019;116400.0;63963.0;2168.0;15577.0;20130.0;34134.0;6788.0;45068.8;471.1;321.3
187;Total;46 Wholesale trade (no motor vehicles);2020;114055.0;63722.0;2097.0;14519.0;20814.0;29159.0;7179.0;43686.1;474.2;310.0
188;Total;46 Wholesale trade (no motor vehicles);2021;129476.0;75204.0;2558.0;15011.0;24738.0;34720.0;8551.0;53883.0;482.9;323.0
189;Total;47 Retail trade (not in motor vehicles);2015;38107.0;23257.0;347.0;1291.0;427.0;584.0;2795.0;2849.3;474.0;53.1
190;Total;47 Retail trade (not in motor vehicles);2016;39358.0;24357.0;348.0;1324.0;442.0;555.0;2954.0;2989.3;481.5;53.3
191;Total;47 Retail trade (not in motor vehicles);2017;41441.0;25726.0;372.0;1475.0;470.0;604.0;3200.0;3237.1;494.5;56.8
192;Total;47 Retail trade (not in motor vehicles);2018;43119.0;26691.0;403.0;1531.0;494.0;615.0;3345.0;3376.5;511.0;57.5
193;Total;47 Retail trade (not in motor vehicles);2019;45321.0;28197.0;447.0;1589.0;538.0;667.0;3607.0;3706.1;514.5;59.9
194;Total;47 Retail trade (not in motor vehicles);2020;47652.0;29754.0;404.0;1705.0;570.0;704.0;2848.0;3306.3;534.3;52.9
195;Total;47 Retail trade (not in motor vehicles);2021;51827.0;31938.0;561.0;1934.0;659.0;819.0;3079.0;3621.1;541.9;54.3
196;Total;H Transportation and storage;2015;75946.0;30665.0;4225.0;10828.0;3122.0;3023.0;31002.0;22029.6;323.9;201.0
197;Total;H Transportation and storage;2016;75987.0;30969.0;3408.0;11137.0;3328.0;3296.0;29866.0;22182.1;328.7;206.3
198;Total;H Transportation and storage;2017;80225.0;32330.0;3929.0;12100.0;3482.0;3537.0;32145.0;23255.0;335.9;212.6
199;Total;H Transportation and storage;2018;84107.0;32986.0;4297.0;13108.0;3626.0;3626.0;33670.0;23590.3;349.0;220.9
200;Total;H Transportation and storage;2019;87744.0;34744.0;4152.0;13286.0;3823.0;3933.0;34195.0;24684.9;356.8;226.0
201;Total;H Transportation and storage;2020;78817.0;30530.0;2477.0;13075.0;3778.0;3939.0;29820.0;22408.4;356.4;226.0
202;Total;H Transportation and storage;2021;90269.0;34531.0;3592.0;14962.0;4393.0;4746.0;35177.0;25600.7;368.1;239.7
203;Total;I Accommodation and food serving;2015;24286.0;11828.0;2509.0;417.0;0.0;0.0;3672.0;2704.5;254.3;49.3
