ID;CountryOfCitizenship;Sex;Age;Periods;TotalAsylumRequests_1;FirstAsylumRequests_2;FollowUpAsylumRequests_3
46;85;Women;18 years or older;2009;3510;3270;240
47;85;Women;18 years or older;2010;3630;3270;360
48;Afghanistan;Total men and women;All ages;2007;520;190;330
49;Afghanistan;Total men and women;All ages;2008;700;400;310
50;Afghanistan;Total men and women;All ages;2009;1400;1280;120
51;Afghanistan;Total men and women;All ages;2010;1590;1370;220
52;Afghanistan;Total men and women;Younger than 15 years;2007;110;60;60
53;Afghanistan;Total men and women;Younger than 15 years;2008;150;80;70
54;Afghanistan;Total men and women;Younger than 15 years;2009;330;310;10
55;Afghanistan;Total men and women;Younger than 15 years;2010;390;360;40
56;Afghanistan;Total men and women;15 to 17 years;2007;50;30;20
57;Afghanistan;Total men and women;15 to 17 years;2008;130;110;20
58;Afghanistan;Total men and women;15 to 17 years;2009;370;360;10
59;Afghanistan;Total men and women;15 to 17 years;2010;310;290;20
60;Afghanistan;Total men and women;18 years or older;2007;360;100;260
61;Afghanistan;Total men and women;18 years or older;2008;420;210;220
62;Afghanistan;Total men and women;18 years or older;2009;710;610;90
63;Afghanistan;Total men and women;18 years or older;2010;880;720;170
64;Afghanistan;Men;All ages;2007;340;110;220
65;Afghanistan;Men;All ages;2008;480;280;200
66;Afghanistan;Men;All ages;2009;1010;920;90
67;Afghanistan;Men;All ages;2010;1060;910;160
68;Afghanistan;Men;Younger than 15 years;2007;60;30;30
69;Afghanistan;Men;Younger than 15 years;2008;90;50;40
70;Afghanistan;Men;Younger than 15 years;2009;190;180;10
71;Afghanistan;Men;Younger than 15 years;2010;210;200;20
72;Afghanistan;Men;15 to 17 years;2007;30;20;10
73;Afghanistan;Men;15 to 17 years;2008;110;110;10
74;Afghanistan;Men;15 to 17 years;2009;340;340;10
75;Afghanistan;Men;15 to 17 years;2010;270;250;20
76;Afghanistan;Men;18 years or older;2007;250;60;190
77;Afghanistan;Men;18 years or older;2008;270;120;150
78;Afghanistan;Men;18 years or older;2009;480;400;80
79;Afghanistan;Men;18 years or older;2010;580;460;120
80;Afghanistan;Women;All ages;2007;180;80;110
81;Afghanistan;Women;All ages;2008;230;120;110
82;Afghanistan;Women;All ages;2009;390;360;30
83;Afghanistan;Women;All ages;2010;520;460;60
84;Afghanistan;Women;Younger than 15 years;2007;60;30;30
85;Afghanistan;Women;Younger than 15 years;2008;60;30;30
86;Afghanistan;Women;Younger than 15 years;2009;140;130;10
87;Afghanistan;Women;Younger than 15 years;2010;180;160;20
88;Afghanistan;Women;15 to 17 years;2007;10;10;10
89;Afghanistan;Women;15 to 17 years;2008;20;10;10
90;Afghanistan;Women;15 to 17 years;2009;30;20;0
91;Afghanistan;Women;15 to 17 years;2010;40;40;0
92;Afghanistan;Women;18 years or older;2007;110;40;70
93;Afghanistan;Women;18 years or older;2008;150;90;70
94;Afghanistan;Women;18 years or older;2009;230;210;20
95;Afghanistan;Women;18 years or older;2010;300;260;40
96;Angola;Total men and women;All ages;2007;80;30;50
97;Angola;Total men and women;All ages;2008;70;30;40
98;Angola;Total men and women;All ages;2009;60;40;20
99;Angola;Total men and women;All ages;2010;50;30;20
100;Angola;Total men and women;Younger than 15 years;2007;20;10;10
101;Angola;Total men and women;Younger than 15 years;2008;20;10;10
102;Angola;Total men and women;Younger than 15 years;2009;20;10;10
103;Angola;Total men and women;Younger than 15 years;2010;10;10;0
104;Angola;Total men and women;15 to 17 years;2007;10;10;0
105;Angola;Total men and women;15 to 17 years;2008;10;10;10
106;Angola;Total men and women;15 to 17 years;2009;10;10;0
107;Angola;Total men and women;15 to 17 years;2010;0;0;0
108;Angola;Total men and women;18 years or older;2007;50;20;40
109;Angola;Total men and women;18 years or older;2008;50;20;30
110;Angola;Total men and women;18 years or older;2009;40;20;20
111;Angola;Total men and women;18 years or older;2010;40;20;20
112;Angola;Men;All ages;2007;40;10;30
113;Angola;Men;All ages;2008;40;20;20
114;Angola;Men;All ages;2009;30;20;20
115;Angola;Men;All ages;2010;30;20;10
116;Angola;Men;Younger than 15 years;2007;10;0;0
117;Angola;Men;Younger than 15 years;2008;10;0;0
118;Angola;Men;Younger than 15 years;2009;10;10;0
119;Angola;Men;Younger than 15 years;2010;10;0;0
120;Angola;Men;15 to 17 years;2007;0;0;0
121;Angola;Men;15 to 17 years;2008;10;0;0
122;Angola;Men;15 to 17 years;2009;0;0;0
123;Angola;Men;15 to 17 years;2010;0;0;0
124;Angola;Men;18 years or older;2007;30;10;30
125;Angola;Men;18 years or older;2008;20;10;20
126;Angola;Men;18 years or older;2009;20;10;10
127;Angola;Men;18 years or older;2010;20;10;10
128;Angola;Women;All ages;2007;40;20;20
129;Angola;Women;All ages;2008;40;20;20
130;Angola;Women;All ages;2009;30;20;10
131;Angola;Women;All ages;2010;20;20;10
132;Angola;Women;Younger than 15 years;2007;10;10;10
133;Angola;Women;Younger than 15 years;2008;10;10;0
134;Angola;Women;Younger than 15 years;2009;10;10;0
135;Angola;Women;Younger than 15 years;2010;0;0;0
136;Angola;Women;15 to 17 years;2007;10;0;0
137;Angola;Women;15 to 17 years;2008;0;0;0
138;Angola;Women;15 to 17 years;2009;0;0;0
139;Angola;Women;15 to 17 years;2010;0;0;0
140;Angola;Women;18 years or older;2007;20;10;10
141;Angola;Women;18 years or older;2008;20;10;20
142;Angola;Women;18 years or older;2009;10;10;0
143;Angola;Women;18 years or older;2010;20;10;10
144;21;Total men and women;All ages;2007;150;120;40
145;21;Total men and women;All ages;2008;240;210;30
146;21;Total men and women;All ages;2009;370;350;20
147;21;Total men and women;All ages;2010;650;610;40
148;21;Total men and women;Younger than 15 years;2007;30;20;10
149;21;Total men and women;Younger than 15 years;2008;60;50;10
150;21;Total men and women;Younger than 15 years;2009;80;80;0
151;21;Total men and women;Younger than 15 years;2010;160;150;10
152;21;Total men and women;15 to 17 years;2007;10;10;0
153;21;Total men and women;15 to 17 years;2008;20;10;0
154;21;Total men and women;15 to 17 years;2009;20;10;0
155;21;Total men and women;15 to 17 years;2010;30;30;0
156;21;Total men and women;18 years or older;2007;110;90;30
157;21;Total men and women;18 years or older;2008;170;150;30
158;21;Total men and women;18 years or older;2009;270;250;20
159;21;Total men and women;18 years or older;2010;460;430;30
160;21;Men;All ages;2007;90;70;20
161;21;Men;All ages;2008;130;110;20
162;21;Men;All ages;2009;190;180;20
163;21;Men;All ages;2010;330;310;20
164;21;Men;Younger than 15 years;2007;20;10;10
165;21;Men;Younger than 15 years;2008;40;30;0
166;21;Men;Younger than 15 years;2009;50;50;0
167;21;Men;Younger than 15 years;2010;100;90;10
168;21;Men;15 to 17 years;2007;0;0;0
169;21;Men;15 to 17 years;2008;10;10;0
170;21;Men;15 to 17 years;2009;10;10;0
171;21;Men;15 to 17 years;2010;10;10;0
172;21;Men;18 years or older;2007;70;50;20
173;21;Men;18 years or older;2008;80;70;10
174;21;Men;18 years or older;2009;130;120;20
175;21;Men;18 years or older;2010;220;210;20
176;21;Women;All ages;2007;60;50;10
177;21;Women;All ages;2008;110;100;20
178;21;Women;All ages;2009;180;170;10
179;21;Women;All ages;2010;320;300;20
180;21;Women;Younger than 15 years;2007;10;10;0
181;21;Women;Younger than 15 years;2008;20;20;0
182;21;Women;Younger than 15 years;2009;30;30;0
183;21;Women;Younger than 15 years;2010;60;60;10
184;21;Women;15 to 17 years;2007;10;0;0
185;21;Women;15 to 17 years;2008;0;0;0
186;21;Women;15 to 17 years;2009;10;0;0
187;21;Women;15 to 17 years;2010;20;20;0
188;21;Women;18 years or older;2007;40;40;10
189;21;Women;18 years or older;2008;90;80;10
190;21;Women;18 years or older;2009;140;130;10
191;21;Women;18 years or older;2010;240;230;10
192;Burundi;Total men and women;All ages;2007;170;130;40
193;Burundi;Total men and women;All ages;2008;150;80;70
194;Burundi;Total men and women;All ages;2009;90;60;30
195;Burundi;Total men and women;All ages;2010;60;30;20
196;Burundi;Total men and women;Younger than 15 years;2007;60;60;0
197;Burundi;Total men and women;Younger than 15 years;2008;40;30;10
198;Burundi;Total men and women;Younger than 15 years;2009;30;30;0
199;Burundi;Total men and women;Younger than 15 years;2010;10;10;0
200;Burundi;Total men and women;15 to 17 years;2007;20;10;0
201;Burundi;Total men and women;15 to 17 years;2008;10;10;10
202;Burundi;Total men and women;15 to 17 years;2009;10;10;0
203;Burundi;Total men and women;15 to 17 years;2010;10;0;0
204;Burundi;Total men and women;18 years or older;2007;90;60;30
205;Burundi;Total men and women;18 years or older;2008;110;50;60
206;Burundi;Total men and women;18 years or older;2009;60;30;30
207;Burundi;Total men and women;18 years or older;2010;40;20;20
208;Burundi;Men;All ages;2007;90;60;30
209;Burundi;Men;All ages;2008;90;40;40
210;Burundi;Men;All ages;2009;50;30;20
211;Burundi;Men;All ages;2010;40;20;20
212;Burundi;Men;Younger than 15 years;2007;30;30;0
213;Burundi;Men;Younger than 15 years;2008;20;20;0
214;Burundi;Men;Younger than 15 years;2009;10;10;0
215;Burundi;Men;Younger than 15 years;2010;10;10;0
216;Burundi;Men;15 to 17 years;2007;10;10;0
217;Burundi;Men;15 to 17 years;2008;0;0;0
218;Burundi;Men;15 to 17 years;2009;10;0;0
219;Burundi;Men;15 to 17 years;2010;0;0;0
220;Burundi;Men;18 years or older;2007;50;20;30
221;Burundi;Men;18 years or older;2008;60;30;40
222;Burundi;Men;18 years or older;2009;30;10;20
223;Burundi;Men;18 years or older;2010;30;10;10
224;Burundi;Women;All ages;2007;80;70;10
225;Burundi;Women;All ages;2008;60;40;30
226;Burundi;Women;All ages;2009;40;30;10
227;Burundi;Women;All ages;2010;20;10;10
228;Burundi;Women;Younger than 15 years;2007;30;30;0
229;Burundi;Women;Younger than 15 years;2008;20;10;10
230;Burundi;Women;Younger than 15 years;2009;10;10;0
231;Burundi;Women;Younger than 15 years;2010;10;0;0
232;Burundi;Women;15 to 17 years;2007;10;10;0
233;Burundi;Women;15 to 17 years;2008;10;0;0
234;Burundi;Women;15 to 17 years;2009;0;0;0
235;Burundi;Women;15 to 17 years;2010;0;0;0
236;Burundi;Women;18 years or older;2007;50;40;10
237;Burundi;Women;18 years or older;2008;40;20;20
238;Burundi;Women;18 years or older;2009;30;10;10
239;Burundi;Women;18 years or older;2010;10;10;10
240;China;Total men and women;All ages;2007;270;250;30
241;China;Total men and women;All ages;2008;600;560;40
242;China;Total men and women;All ages;2009;340;300;40
243;China;Total men and women;All ages;2010;320;310;10
244;China;Total men and women;Younger than 15 years;2007;40;30;0
245;China;Total men and women;Younger than 15 years;2008;20;20;0
246;China;Total men and women;Younger than 15 years;2009;40;40;10
247;China;Total men and women;Younger than 15 years;2010;20;20;0
248;China;Total men and women;15 to 17 years;2007;30;30;0
249;China;Total men and women;15 to 17 years;2008;60;50;0
250;China;Total men and women;15 to 17 years;2009;10;10;0
251;China;Total men and women;15 to 17 years;2010;30;30;0
252;China;Total men and women;18 years or older;2007;200;180;20
253;China;Total men and women;18 years or older;2008;520;480;40
254;China;Total men and women;18 years or older;2009;290;250;30
255;China;Total men and women;18 years or older;2010;270;260;10
256;China;Men;All ages;2007;170;150;20
257;China;Men;All ages;2008;410;380;30
258;China;Men;All ages;2009;180;160;20
259;China;Men;All ages;2010;200;190;10
260;China;Men;Younger than 15 years;2007;20;20;0
261;China;Men;Younger than 15 years;2008;10;10;0
262;China;Men;Younger than 15 years;2009;20;20;0
263;China;Men;Younger than 15 years;2010;20;20;0
264;China;Men;15 to 17 years;2007;20;20;0
265;China;Men;15 to 17 years;2008;40;30;0
266;China;Men;15 to 17 years;2009;10;10;0
267;China;Men;15 to 17 years;2010;20;20;0
268;China;Men;18 years or older;2007;130;120;20
269;China;Men;18 years or older;2008;370;340;30
270;China;Men;18 years or older;2009;160;140;20
271;China;Men;18 years or older;2010;160;150;10
272;China;Women;All ages;2007;100;100;10
273;China;Women;All ages;2008;190;180;10
274;China;Women;All ages;2009;160;140;20
275;China;Women;All ages;2010;120;120;10
276;China;Women;Younger than 15 years;2007;20;20;0
277;China;Women;Younger than 15 years;2008;10;10;0
278;China;Women;Younger than 15 years;2009;20;20;10
279;China;Women;Younger than 15 years;2010;0;0;0
280;China;Women;15 to 17 years;2007;20;20;0
281;China;Women;15 to 17 years;2008;20;20;0
282;China;Women;15 to 17 years;2009;10;10;0
283;China;Women;15 to 17 years;2010;10;10;0
284;China;Women;18 years or older;2007;70;60;0
285;China;Women;18 years or older;2008;160;150;10
286;China;Women;18 years or older;2009;130;120;10
287;China;Women;18 years or older;2010;110;110;0
288;Guinea;Total men and women;All ages;2007;260;110;150
289;Guinea;Total men and women;All ages;2008;200;150;40
290;Guinea;Total men and women;All ages;2009;270;240;30
291;Guinea;Total men and women;All ages;2010;250;230;20
292;Guinea;Total men and women;Younger than 15 years;2007;30;20;10
293;Guinea;Total men and women;Younger than 15 years;2008;20;20;0
294;Guinea;Total men and women;Younger than 15 years;2009;20;20;0
295;Guinea;Total men and women;Younger than 15 years;2010;20;20;0
296;Guinea;Total men and women;15 to 17 years;2007;30;30;0
297;Guinea;Total men and women;15 to 17 years;2008;30;30;0
298;Guinea;Total men and women;15 to 17 years;2009;50;50;0
299;Guinea;Total men and women;15 to 17 years;2010;40;40;0
300;Guinea;Total men and women;18 years or older;2007;200;60;140
301;Guinea;Total men and women;18 years or older;2008;150;110;40
302;Guinea;Total men and women;18 years or older;2009;200;170;30
303;Guinea;Total men and women;18 years or older;2010;190;170;20
304;Guinea;Men;All ages;2007;180;70;110
305;Guinea;Men;All ages;2008;120;90;30
306;Guinea;Men;All ages;2009;170;140;20
307;Guinea;Men;All ages;2010;140;120;20
308;Guinea;Men;Younger than 15 years;2007;20;10;10
309;Guinea;Men;Younger than 15 years;2008;10;10;0
310;Guinea;Men;Younger than 15 years;2009;10;10;0
311;Guinea;Men;Younger than 15 years;2010;10;10;0
312;Guinea;Men;15 to 17 years;2007;20;20;0
313;Guinea;Men;15 to 17 years;2008;10;10;0
314;Guinea;Men;15 to 17 years;2009;30;30;0
315;Guinea;Men;15 to 17 years;2010;20;20;0
316;Guinea;Men;18 years or older;2007;140;40;100
317;Guinea;Men;18 years or older;2008;100;70;30
318;Guinea;Men;18 years or older;2009;130;100;20
319;Guinea;Men;18 years or older;2010;110;90;20
320;Guinea;Women;All ages;2007;80;40;50
321;Guinea;Women;All ages;2008;80;70;10
322;Guinea;Women;All ages;2009;100;90;10
323;Guinea;Women;All ages;2010;110;110;0
324;Guinea;Women;Younger than 15 years;2007;10;10;10
325;Guinea;Women;Younger than 15 years;2008;10;10;0
326;Guinea;Women;Younger than 15 years;2009;10;10;0
327;Guinea;Women;Younger than 15 years;2010;10;10;0
328;Guinea;Women;15 to 17 years;2007;10;10;0
329;Guinea;Women;15 to 17 years;2008;20;20;0
330;Guinea;Women;15 to 17 years;2009;20;20;0
331;Guinea;Women;15 to 17 years;2010;20;20;0
332;Guinea;Women;18 years or older;2007;60;20;40
333;Guinea;Women;18 years or older;2008;50;40;10
334;Guinea;Women;18 years or older;2009;70;60;10
335;Guinea;Women;18 years or older;2010;80;80;0
336;Iran;Total men and women;All ages;2007;360;200;150
337;Iran;Total men and women;All ages;2008;420;320;100
338;Iran;Total men and women;All ages;2009;580;500;80
339;Iran;Total men and women;All ages;2010;870;790;80
340;Iran;Total men and women;Younger than 15 years;2007;30;20;10
341;Iran;Total men and women;Younger than 15 years;2008;50;50;10
342;Iran;Total men and women;Younger than 15 years;2009;70;60;10
343;Iran;Total men and women;Younger than 15 years;2010;110;100;10
344;Iran;Total men and women;15 to 17 years;2007;20;10;10
345;Iran;Total men and women;15 to 17 years;2008;10;10;0
346;Iran;Total men and women;15 to 17 years;2009;40;40;0
347;Iran;Total men and women;15 to 17 years;2010;30;30;0
348;Iran;Total men and women;18 years or older;2007;300;170;130
349;Iran;Total men and women;18 years or older;2008;350;270;90
350;Iran;Total men and women;18 years or older;2009;480;400;70
351;Iran;Total men and women;18 years or older;2010;720;650;70
352;Iran;Men;All ages;2007;260;140;110
353;Iran;Men;All ages;2008;280;210;70
354;Iran;Men;All ages;2009;400;350;50
355;Iran;Men;All ages;2010;530;480;60
356;Iran;Men;Younger than 15 years;2007;20;10;10
357;Iran;Men;Younger than 15 years;2008;30;20;10
358;Iran;Men;Younger than 15 years;2009;40;30;0
359;Iran;Men;Younger than 15 years;2010;50;50;0
360;Iran;Men;15 to 17 years;2007;10;10;10
361;Iran;Men;15 to 17 years;2008;10;10;0
362;Iran;Men;15 to 17 years;2009;30;30;0
363;Iran;Men;15 to 17 years;2010;30;30;0
364;Iran;Men;18 years or older;2007;230;130;100
365;Iran;Men;18 years or older;2008;240;180;60
366;Iran;Men;18 years or older;2009;340;290;50
367;Iran;Men;18 years or older;2010;450;400;50
368;Iran;Women;All ages;2007;100;60;40
369;Iran;Women;All ages;2008;140;110;30
370;Iran;Women;All ages;2009;190;160;30
371;Iran;Women;All ages;2010;340;310;30
372;Iran;Women;Younger than 15 years;2007;20;10;10
373;Iran;Women;Younger than 15 years;2008;30;30;0
374;Iran;Women;Younger than 15 years;2009;40;30;10
375;Iran;Women;Younger than 15 years;2010;60;50;10
376;Iran;Women;15 to 17 years;2007;10;0;0
377;Iran;Women;15 to 17 years;2008;0;0;0
378;Iran;Women;15 to 17 years;2009;10;10;0
379;Iran;Women;15 to 17 years;2010;10;10;0
380;Iran;Women;18 years or older;2007;80;40;30
381;Iran;Women;18 years or older;2008;110;90;20
382;Iran;Women;18 years or older;2009;140;120;20
383;Iran;Women;18 years or older;2010;270;250;20
384;Iraq;Total men and women;All ages;2007;2450;2050;400
385;Iraq;Total men and women;All ages;2008;5310;5030;290
386;Iraq;Total men and women;All ages;2009;2170;1990;170
387;Iraq;Total men and women;All ages;2010;1900;1380;520
388;Iraq;Total men and women;Younger than 15 years;2007;360;320;40
389;Iraq;Total men and women;Younger than 15 years;2008;920;880;40
390;Iraq;Total men and women;Younger than 15 years;2009;510;490;20
391;Iraq;Total men and women;Younger than 15 years;2010;390;340;60
392;Iraq;Total men and women;15 to 17 years;2007;100;100;10
393;Iraq;Total men and women;15 to 17 years;2008;290;290;0
394;Iraq;Total men and women;15 to 17 years;2009;140;140;0
395;Iraq;Total men and women;15 to 17 years;2010;110;100;10
396;Iraq;Total men and women;18 years or older;2007;1980;1630;350
397;Iraq;Total men and women;18 years or older;2008;4110;3860;240
398;Iraq;Total men and women;18 years or older;2009;1510;1360;150
399;Iraq;Total men and women;18 years or older;2010;1400;950;460
400;Iraq;Men;All ages;2007;1750;1440;300
401;Iraq;Men;All ages;2008;3920;3700;230
402;Iraq;Men;All ages;2009;1400;1250;150
403;Iraq;Men;All ages;2010;1220;810;410
404;Iraq;Men;Younger than 15 years;2007;190;160;20
405;Iraq;Men;Younger than 15 years;2008;500;480;20
406;Iraq;Men;Younger than 15 years;2009;270;260;10
407;Iraq;Men;Younger than 15 years;2010;200;170;20
408;Iraq;Men;15 to 17 years;2007;70;70;0
409;Iraq;Men;15 to 17 years;2008;230;230;0
410;Iraq;Men;15 to 17 years;2009;120;110;0
411;Iraq;Men;15 to 17 years;2010;60;50;10
412;Iraq;Men;18 years or older;2007;1490;1210;280
413;Iraq;Men;18 years or older;2008;3190;2990;210
414;Iraq;Men;18 years or older;2009;1010;870;140
415;Iraq;Men;18 years or older;2010;970;590;380
416;Iraq;Women;All ages;2007;700;610;90
417;Iraq;Women;All ages;2008;1390;1330;60
418;Iraq;Women;All ages;2009;770;740;30
419;Iraq;Women;All ages;2010;680;570;110
420;Iraq;Women;Younger than 15 years;2007;180;160;20
421;Iraq;Women;Younger than 15 years;2008;420;400;20
422;Iraq;Women;Younger than 15 years;2009;240;230;10
423;Iraq;Women;Younger than 15 years;2010;200;170;30
424;Iraq;Women;15 to 17 years;2007;30;30;0
425;Iraq;Women;15 to 17 years;2008;60;60;0
426;Iraq;Women;15 to 17 years;2009;30;30;0
427;Iraq;Women;15 to 17 years;2010;50;50;0
428;Iraq;Women;18 years or older;2007;490;420;70
429;Iraq;Women;18 years or older;2008;910;880;40
430;Iraq;Women;18 years or older;2009;500;480;20
431;Iraq;Women;18 years or older;2010;430;360;80
432;27;Total men and women;All ages;2007;0;0;0
433;27;Total men and women;All ages;2008;0;0;0
434;27;Total men and women;All ages;2009;0;0;0
435;27;Total men and women;All ages;2010;390;390;0
436;27;Total men and women;Younger than 15 years;2007;0;0;0
437;27;Total men and women;Younger than 15 years;2008;0;0;0
438;27;Total men and women;Younger than 15 years;2009;0;0;0
439;27;Total men and women;Younger than 15 years;2010;130;130;0
440;27;Total men and women;15 to 17 years;2007;0;0;0
441;27;Total men and women;15 to 17 years;2008;0;0;0
442;27;Total men and women;15 to 17 years;2009;0;0;0
443;27;Total men and women;15 to 17 years;2010;20;20;0
444;27;Total men and women;18 years or older;2007;0;0;0
445;27;Total men and women;18 years or older;2008;0;0;0
446;27;Total men and women;18 years or older;2009;0;0;0
447;27;Total men and women;18 years or older;2010;240;240;0
448;27;Men;All ages;2007;0;0;0
449;27;Men;All ages;2008;0;0;0
450;27;Men;All ages;2009;0;0;0
451;27;Men;All ages;2010;200;200;0
452;27;Men;Younger than 15 years;2007;0;0;0
453;27;Men;Younger than 15 years;2008;0;0;0
454;27;Men;Younger than 15 years;2009;0;0;0
455;27;Men;Younger than 15 years;2010;60;60;0
456;27;Men;15 to 17 years;2007;0;0;0
457;27;Men;15 to 17 years;2008;0;0;0
458;27;Men;15 to 17 years;2009;0;0;0
459;27;Men;15 to 17 years;2010;10;10;0
460;27;Men;18 years or older;2007;0;0;0
461;27;Men;18 years or older;2008;0;0;0
462;27;Men;18 years or older;2009;0;0;0
463;27;Men;18 years or older;2010;130;130;0
464;27;Women;All ages;2007;0;0;0
465;27;Women;All ages;2008;0;0;0
466;27;Women;All ages;2009;0;0;0
467;27;Women;All ages;2010;190;190;0
468;27;Women;Younger than 15 years;2007;0;0;0
469;27;Women;Younger than 15 years;2008;0;0;0
470;27;Women;Younger than 15 years;2009;0;0;0
471;27;Women;Younger than 15 years;2010;70;70;0
472;27;Women;15 to 17 years;2007;0;0;0
473;27;Women;15 to 17 years;2008;0;0;0
474;27;Women;15 to 17 years;2009;0;0;0
475;27;Women;15 to 17 years;2010;10;10;0
476;27;Women;18 years or older;2007;0;0;0
477;27;Women;18 years or older;2008;0;0;0
478;27;Women;18 years or older;2009;0;0;0
479;27;Women;18 years or older;2010;110;110;0
480;Nigeria;Total men and women;All ages;2007;210;180;30
481;Nigeria;Total men and women;All ages;2008;120;100;20
482;Nigeria;Total men and women;All ages;2009;170;150;20
483;Nigeria;Total men and women;All ages;2010;190;170;20
484;Nigeria;Total men and women;Younger than 15 years;2007;20;10;10
485;Nigeria;Total men and women;Younger than 15 years;2008;10;10;0
486;Nigeria;Total men and women;Younger than 15 years;2009;20;20;0
487;Nigeria;Total men and women;Younger than 15 years;2010;20;20;0
488;Nigeria;Total men and women;15 to 17 years;2007;40;40;0
489;Nigeria;Total men and women;15 to 17 years;2008;10;10;0
490;Nigeria;Total men and women;15 to 17 years;2009;10;10;0
491;Nigeria;Total men and women;15 to 17 years;2010;20;20;0
492;Nigeria;Total men and women;18 years or older;2007;150;130;20
493;Nigeria;Total men and women;18 years or older;2008;90;80;10
494;Nigeria;Total men and women;18 years or older;2009;140;120;20
495;Nigeria;Total men and women;18 years or older;2010;150;130;20
496;Nigeria;Men;All ages;2007;140;130;20
497;Nigeria;Men;All ages;2008;70;60;10
498;Nigeria;Men;All ages;2009;110;100;10
499;Nigeria;Men;All ages;2010;140;130;10
500;Nigeria;Men;Younger than 15 years;2007;10;10;10
501;Nigeria;Men;Younger than 15 years;2008;10;10;0
502;Nigeria;Men;Younger than 15 years;2009;10;10;0
503;Nigeria;Men;Younger than 15 years;2010;10;10;0
504;Nigeria;Men;15 to 17 years;2007;20;20;0
505;Nigeria;Men;15 to 17 years;2008;10;0;0
506;Nigeria;Men;15 to 17 years;2009;10;10;0
507;Nigeria;Men;15 to 17 years;2010;10;10;0
508;Nigeria;Men;18 years or older;2007;110;100;10
509;Nigeria;Men;18 years or older;2008;60;50;10
510;Nigeria;Men;18 years or older;2009;90;80;10
511;Nigeria;Men;18 years or older;2010;110;100;10
512;Nigeria;Women;All ages;2007;70;60;10
513;Nigeria;Women;All ages;2008;40;40;10
514;Nigeria;Women;All ages;2009;60;50;10
515;Nigeria;Women;All ages;2010;50;50;10
516;Nigeria;Women;Younger than 15 years;2007;10;10;0
517;Nigeria;Women;Younger than 15 years;2008;10;0;0
518;Nigeria;Women;Younger than 15 years;2009;10;10;0
519;Nigeria;Women;Younger than 15 years;2010;10;10;0
520;Nigeria;Women;15 to 17 years;2007;30;20;0
521;Nigeria;Women;15 to 17 years;2008;10;10;0
522;Nigeria;Women;15 to 17 years;2009;0;0;0
523;Nigeria;Women;15 to 17 years;2010;10;10;0
524;Nigeria;Women;18 years or older;2007;40;30;10
525;Nigeria;Women;18 years or older;2008;30;30;10
526;Nigeria;Women;18 years or older;2009;50;40;0
527;Nigeria;Women;18 years or older;2010;40;30;10
528;Sierra Leone;Total men and women;All ages;2007;230;130;90
529;Sierra Leone;Total men and women;All ages;2008;230;130;100
530;Sierra Leone;Total men and women;All ages;2009;190;120;70
531;Sierra Leone;Total men and women;All ages;2010;140;120;20
