ID;Perioden;Producentenvertrouwen_1;MutatieTOVVorigeMaand_2;MutatieTOVDezelfdeMaandVorigJaar_3
61;1990 februari;3.4;0.9;0.7
62;1990 maart;1.8;-1.6;-1.0
63;1990 april;3.1;1.3;-1.5
64;1990 mei;4.2;1.1;-1.3
65;1990 juni;4.0;-0.2;-0.3
66;1990 juli;3.6;-0.4;-0.6
67;1990 augustus;2.5;-1.1;-1.8
68;1990 september;2.2;-0.3;-0.8
69;1990 oktober;1.9;-0.3;-2.8
70;1990 november;2.4;0.5;-3.0
71;1990 december;2.5;0.1;0.0
72;1991 januari;0.8;-1.7;-1.7
73;1991 februari;-1.5;-2.3;-4.9
74;1991 maart;-0.5;1.0;-2.3
75;1991 april;-2.9;-2.4;-6.0
76;1991 mei;-1.1;1.8;-5.3
77;1991 juni;-2.4;-1.3;-6.4
78;1991 juli;-2.1;0.3;-5.7
79;1991 augustus;-1.3;0.8;-3.8
80;1991 september;-0.9;0.4;-3.1
81;1991 oktober;-2.8;-1.9;-4.7
82;1991 november;0.4;3.2;-2.0
83;1991 december;-0.8;-1.2;-3.3
84;1992 januari;0.2;1.0;-0.6
85;1992 februari;0.3;0.1;1.8
86;1992 maart;-2.8;-3.1;-2.3
87;1992 april;-1.2;1.6;1.7
88;1992 mei;-2.1;-0.9;-1.0
89;1992 juni;-2.3;-0.2;0.1
90;1992 juli;-4.1;-1.8;-2.0
91;1992 augustus;-2.0;2.1;-0.7
92;1992 september;-4.7;-2.7;-3.8
93;1992 oktober;-3.7;1.0;-0.9
94;1992 november;-8.6;-4.9;-9.0
95;1992 december;-8.6;0.0;-7.8
96;1993 januari;-7.1;1.5;-7.3
97;1993 februari;-8.9;-1.8;-9.2
98;1993 maart;-8.5;0.4;-5.7
99;1993 april;-9.4;-0.9;-8.2
100;1993 mei;-8.7;0.7;-6.6
101;1993 juni;-8.0;0.7;-5.7
102;1993 juli;-6.9;1.1;-2.8
103;1993 augustus;-8.5;-1.6;-6.5
104;1993 september;-7.8;0.7;-3.1
105;1993 oktober;-4.4;3.4;-0.7
106;1993 november;-4.2;0.2;4.4
107;1993 december;-6.3;-2.1;2.3
108;1994 januari;-1.1;5.2;6.0
109;1994 februari;-2.2;-1.1;6.7
110;1994 maart;-3.5;-1.3;5.0
111;1994 april;-0.4;3.1;9.0
112;1994 mei;0.1;0.5;8.8
113;1994 juni;2.1;2.0;10.1
114;1994 juli;3.4;1.3;10.3
115;1994 augustus;4.5;1.1;13.0
116;1994 september;4.6;0.1;12.4
117;1994 oktober;5.4;0.8;9.8
118;1994 november;4.5;-0.9;8.7
119;1994 december;6.7;2.2;13.0
120;1995 januari;6.3;-0.4;7.4
121;1995 februari;6.2;-0.1;8.4
122;1995 maart;5.8;-0.4;9.3
123;1995 april;6.3;0.5;6.7
124;1995 mei;5.8;-0.5;5.7
125;1995 juni;3.8;-2.0;1.7
126;1995 juli;2.7;-1.1;-0.7
127;1995 augustus;1.1;-1.6;-3.4
128;1995 september;0.8;-0.3;-3.8
129;1995 oktober;0.7;-0.1;-4.7
130;1995 november;1.6;0.9;-2.9
131;1995 december;0.7;-0.9;-6.0
132;1996 januari;1.3;0.6;-5.0
133;1996 februari;0.0;-1.3;-6.2
134;1996 maart;0.5;0.5;-5.3
135;1996 april;0.6;0.1;-5.7
136;1996 mei;0.6;0.0;-5.2
137;1996 juni;0.2;-0.4;-3.6
138;1996 juli;0.6;0.4;-2.1
139;1996 augustus;2.7;2.1;1.6
140;1996 september;0.9;-1.8;0.1
141;1996 oktober;1.0;0.1;0.3
142;1996 november;2.2;1.2;0.6
143;1996 december;1.0;-1.2;0.3
144;1997 januari;4.0;3.0;2.7
145;1997 februari;4.1;0.1;4.1
146;1997 maart;3.9;-0.2;3.4
147;1997 april;3.2;-0.7;2.6
148;1997 mei;4.6;1.4;4.0
149;1997 juni;3.9;-0.7;3.7
150;1997 juli;6.2;2.3;5.6
151;1997 augustus;6.7;0.5;4.0
152;1997 september;6.4;-0.3;5.5
153;1997 oktober;6.7;0.3;5.7
154;1997 november;6.2;-0.5;4.0
155;1997 december;7.3;1.1;6.3
156;1998 januari;5.1;-2.2;1.1
157;1998 februari;5.5;0.4;1.4
158;1998 maart;5.2;-0.3;1.3
159;1998 april;5.8;0.6;2.6
160;1998 mei;5.0;-0.8;0.4
161;1998 juni;5.7;0.7;1.8
162;1998 juli;5.5;-0.2;-0.7
163;1998 augustus;4.3;-1.2;-2.4
164;1998 september;4.2;-0.1;-2.2
165;1998 oktober;1.4;-2.8;-5.3
166;1998 november;0.8;-0.6;-5.4
167;1998 december;0.3;-0.5;-7.0
168;1999 januari;0.8;0.5;-4.3
169;1999 februari;0.8;0.0;-4.7
170;1999 maart;-1.1;-1.9;-6.3
171;1999 april;0.5;1.6;-5.3
172;1999 mei;1.1;0.6;-3.9
173;1999 juni;2.0;0.9;-3.7
174;1999 juli;2.6;0.6;-2.9
175;1999 augustus;1.6;-1.0;-2.7
176;1999 september;3.4;1.8;-0.8
177;1999 oktober;7.4;4.0;6.0
178;1999 november;6.8;-0.6;6.0
179;1999 december;6.0;-0.8;5.7
180;2000 januari;5.6;-0.4;4.8
181;2000 februari;5.6;0.0;4.8
182;2000 maart;6.3;0.7;7.4
183;2000 april;6.5;0.2;6.0
184;2000 mei;7.7;1.2;6.6
185;2000 juni;7.1;-0.6;5.1
186;2000 juli;6.9;-0.2;4.3
187;2000 augustus;8.2;1.3;6.6
188;2000 september;6.3;-1.9;2.9
189;2000 oktober;8.6;2.3;1.2
190;2000 november;7.0;-1.6;0.2
191;2000 december;6.0;-1.0;0.0
192;2001 januari;4.3;-1.7;-1.3
193;2001 februari;3.3;-1.0;-2.3
194;2001 maart;1.7;-1.6;-4.6
195;2001 april;-0.1;-1.8;-6.6
196;2001 mei;-0.6;-0.5;-8.3
197;2001 juni;-0.5;0.1;-7.6
198;2001 juli;-1.8;-1.3;-8.7
199;2001 augustus;-1.1;0.7;-9.3
200;2001 september;-2.4;-1.3;-8.7
201;2001 oktober;-4.7;-2.3;-13.3
202;2001 november;-5.3;-0.6;-12.3
203;2001 december;-5.6;-0.3;-11.6
204;2002 januari;-4.0;1.6;-8.3
205;2002 februari;-1.6;2.4;-4.9
206;2002 maart;-1.6;0.0;-3.3
207;2002 april;-0.8;0.8;-0.7
208;2002 mei;-1.6;-0.8;-1.0
209;2002 juni;-1.5;0.1;-1.0
210;2002 juli;-2.4;-0.9;-0.6
211;2002 augustus;1.5;3.9;2.6
212;2002 september;-1.1;-2.6;1.3
213;2002 oktober;-2.8;-1.7;1.9
214;2002 november;-0.8;2.0;4.5
215;2002 december;-1.9;-1.1;3.7
216;2003 januari;-4.3;-2.4;-0.3
217;2003 februari;-6.6;-2.3;-5.0
218;2003 maart;-6.6;0.0;-5.0
219;2003 april;-5.1;1.5;-4.3
220;2003 mei;-7.0;-1.9;-5.4
221;2003 juni;-9.4;-2.4;-7.9
222;2003 juli;-7.0;2.4;-4.6
223;2003 augustus;-6.9;0.1;-8.4
224;2003 september;-5.1;1.8;-4.0
225;2003 oktober;-3.5;1.6;-0.7
226;2003 november;-3.9;-0.4;-3.1
227;2003 december;-1.8;2.1;0.1
228;2004 januari;-1.6;0.2;2.7
229;2004 februari;-2.9;-1.3;3.7
230;2004 maart;-1.9;1.0;4.7
231;2004 april;-1.1;0.8;4.0
232;2004 mei;1.7;2.8;8.7
233;2004 juni;1.9;0.2;11.3
234;2004 juli;0.7;-1.2;7.7
235;2004 augustus;0.8;0.1;7.7
236;2004 september;0.5;-0.3;5.6
237;2004 oktober;1.1;0.6;4.6
238;2004 november;0.1;-1.0;4.0
239;2004 december;-0.4;-0.5;1.4
240;2005 januari;-0.6;-0.2;1.0
241;2005 februari;-0.1;0.5;2.8
242;2005 maart;1.4;1.5;3.3
243;2005 april;-0.1;-1.5;1.0
244;2005 mei;0.8;0.9;-0.9
245;2005 juni;-1.7;-2.5;-3.6
246;2005 juli;-3.7;-2.0;-4.4
247;2005 augustus;-0.3;3.4;-1.1
248;2005 september;1.3;1.6;0.8
249;2005 oktober;4.3;3.0;3.2
250;2005 november;3.0;-1.3;2.9
251;2005 december;2.6;-0.4;3.0
252;2006 januari;3.5;0.9;4.1
253;2006 februari;4.8;1.3;4.9
254;2006 maart;6.0;1.2;4.6
255;2006 april;5.9;-0.1;6.0
256;2006 mei;3.6;-2.3;2.8
257;2006 juni;6.8;3.2;8.5
258;2006 juli;8.7;1.9;12.4
259;2006 augustus;8.4;-0.3;8.7
260;2006 september;8.1;-0.3;6.8
261;2006 oktober;8.9;0.8;4.6
262;2006 november;8.7;-0.2;5.7
263;2006 december;7.8;-0.9;5.2
264;2007 januari;6.3;-1.5;2.8
265;2007 februari;7.5;1.2;2.7
266;2007 maart;6.8;-0.7;0.8
267;2007 april;7.0;0.2;1.1
268;2007 mei;8.8;1.8;5.2
269;2007 juni;8.4;-0.4;1.6
270;2007 juli;7.6;-0.8;-1.1
271;2007 augustus;7.9;0.3;-0.5
272;2007 september;7.4;-0.5;-0.7
273;2007 oktober;8.7;1.3;-0.2
274;2007 november;8.7;0.0;0.0
275;2007 december;8.0;-0.7;0.2
276;2008 januari;9.4;1.4;3.1
277;2008 februari;8.5;-0.9;1.0
278;2008 maart;5.8;-2.7;-1.0
279;2008 april;2.8;-3.0;-4.2
280;2008 mei;3.3;0.5;-5.5
281;2008 juni;4.8;1.5;-3.6
282;2008 juli;1.8;-3.0;-5.8
283;2008 augustus;4.8;3.0;-3.1
284;2008 september;-0.9;-5.7;-8.3
285;2008 oktober;-6.0;-5.1;-14.7
286;2008 november;-9.0;-3.0;-17.7
287;2008 december;-21.1;-12.1;-29.1
288;2009 januari;-20.9;0.2;-30.3
289;2009 februari;-23.5;-2.6;-32.0
290;2009 maart;-20.8;2.7;-26.6
291;2009 april;-17.3;3.5;-20.1
292;2009 mei;-16.1;1.2;-19.4
293;2009 juni;-13.9;2.2;-18.7
294;2009 juli;-14.6;-0.7;-16.4
295;2009 augustus;-9.2;5.4;-14.0
296;2009 september;-9.7;-0.5;-8.8
297;2009 oktober;-7.2;2.5;-1.2
298;2009 november;-5.0;2.2;4.0
299;2009 december;-8.1;-3.1;13.0
300;2010 januari;-6.2;1.9;14.7
301;2010 februari;-4.8;1.4;18.7
302;2010 maart;-3.1;1.7;17.7
303;2010 april;-1.4;1.7;15.9
304;2010 mei;0.6;2.0;16.7
305;2010 juni;-0.8;-1.4;13.1
306;2010 juli;-2.0;-1.2;12.6
307;2010 augustus;0.2;2.2;9.4
308;2010 september;-0.1;-0.3;9.6
309;2010 oktober;0.3;0.4;7.5
310;2010 november;0.2;-0.1;5.2
311;2010 december;2.6;2.4;10.7
312;2011 januari;2.7;0.1;8.9
313;2011 februari;1.7;-1.0;6.5
314;2011 maart;5.8;4.1;8.9
315;2011 april;4.6;-1.2;6.0
316;2011 mei;3.1;-1.5;2.5
317;2011 juni;2.0;-1.1;2.8
318;2011 juli;-2.2;-4.2;-0.2
319;2011 augustus;-3.3;-1.1;-3.5
320;2011 september;-0.5;2.8;-0.4
321;2011 oktober;-3.2;-2.7;-3.5
