ID;Vervoerstroom;ContainerGrootte;Perioden;OvergeslagenContainers_1;BrutoplusgewichtOvergeslagenContainers_2
43;Totaal aan- en afvoer;Totaal overgeslagen containers;2023 4e kwartaal;3423;33501
44;Totaal aan- en afvoer;Totaal overgeslagen containers;2023;14180;136240
45;Totaal aan- en afvoer;Totaal overgeslagen containers;2024 1e kwartaal;3487;34029
46;Totaal aan- en afvoer;Totaal overgeslagen containers;2024 2e kwartaal;3684;36199
47;Totaal aan- en afvoer;Totaal overgeslagen containers;2024 3e kwartaal;3762;35471
48;Totaal aan- en afvoer;20 voet containers;2015 1e kwartaal;684;9777
49;Totaal aan- en afvoer;20 voet containers;2015 2e kwartaal;679;10104
50;Totaal aan- en afvoer;20 voet containers;2015 3e kwartaal;704;9811
51;Totaal aan- en afvoer;20 voet containers;2015 4e kwartaal;638;9472
52;Totaal aan- en afvoer;20 voet containers;2015;2704;39163
53;Totaal aan- en afvoer;20 voet containers;2016 1e kwartaal;648;9665
54;Totaal aan- en afvoer;20 voet containers;2016 2e kwartaal;671;9725
55;Totaal aan- en afvoer;20 voet containers;2016 3e kwartaal;689;9609
56;Totaal aan- en afvoer;20 voet containers;2016 4e kwartaal;658;9699
57;Totaal aan- en afvoer;20 voet containers;2016;2666;38697
58;Totaal aan- en afvoer;20 voet containers;2017 1e kwartaal;682;10008
59;Totaal aan- en afvoer;20 voet containers;2017 2e kwartaal;736;10584
60;Totaal aan- en afvoer;20 voet containers;2017 3e kwartaal;780;11141
61;Totaal aan- en afvoer;20 voet containers;2017 4e kwartaal;757;10960
62;Totaal aan- en afvoer;20 voet containers;2017;2955;42694
63;Totaal aan- en afvoer;20 voet containers;2018 1e kwartaal;725;10843
64;Totaal aan- en afvoer;20 voet containers;2018 2e kwartaal;738;11082
65;Totaal aan- en afvoer;20 voet containers;2018 3e kwartaal;797;11179
66;Totaal aan- en afvoer;20 voet containers;2018 4e kwartaal;777;11434
67;Totaal aan- en afvoer;20 voet containers;2018;3038;44537
68;Totaal aan- en afvoer;20 voet containers;2019 1e kwartaal;785;11430
69;Totaal aan- en afvoer;20 voet containers;2019 2e kwartaal;792;11345
70;Totaal aan- en afvoer;20 voet containers;2019 3e kwartaal;804;10665
71;Totaal aan- en afvoer;20 voet containers;2019 4e kwartaal;728;10336
72;Totaal aan- en afvoer;20 voet containers;2019;3110;43776
73;Totaal aan- en afvoer;20 voet containers;2020 1e kwartaal;693;9919
74;Totaal aan- en afvoer;20 voet containers;2020 2e kwartaal;690;9856
75;Totaal aan- en afvoer;20 voet containers;2020 3e kwartaal;640;9660
76;Totaal aan- en afvoer;20 voet containers;2020 4e kwartaal;678;9494
77;Totaal aan- en afvoer;20 voet containers;2020;2701;38928
78;Totaal aan- en afvoer;20 voet containers;2021 1e kwartaal;717;10195
79;Totaal aan- en afvoer;20 voet containers;2021 2e kwartaal;716;10335
80;Totaal aan- en afvoer;20 voet containers;2021 3e kwartaal;718;10166
81;Totaal aan- en afvoer;20 voet containers;2021 4e kwartaal;673;9915
82;Totaal aan- en afvoer;20 voet containers;2021;2824;40611
83;Totaal aan- en afvoer;20 voet containers;2022 1e kwartaal;627;9528
84;Totaal aan- en afvoer;20 voet containers;2022 2e kwartaal;618;9223
85;Totaal aan- en afvoer;20 voet containers;2022 3e kwartaal;642;9386
86;Totaal aan- en afvoer;20 voet containers;2022 4e kwartaal;566;8241
87;Totaal aan- en afvoer;20 voet containers;2022;2454;36378
88;Totaal aan- en afvoer;20 voet containers;2023 1e kwartaal;591;8687
89;Totaal aan- en afvoer;20 voet containers;2023 2e kwartaal;646;9100
90;Totaal aan- en afvoer;20 voet containers;2023 3e kwartaal;602;8850
91;Totaal aan- en afvoer;20 voet containers;2023 4e kwartaal;585;8631
92;Totaal aan- en afvoer;20 voet containers;2023;2423;35268
93;Totaal aan- en afvoer;20 voet containers;2024 1e kwartaal;596;8552
94;Totaal aan- en afvoer;20 voet containers;2024 2e kwartaal;681;9204
95;Totaal aan- en afvoer;20 voet containers;2024 3e kwartaal;608;8628
96;Totaal aan- en afvoer;40 voet containers;2015 1e kwartaal;2132;19752
97;Totaal aan- en afvoer;40 voet containers;2015 2e kwartaal;2093;20020
98;Totaal aan- en afvoer;40 voet containers;2015 3e kwartaal;1998;18266
99;Totaal aan- en afvoer;40 voet containers;2015 4e kwartaal;1949;18165
100;Totaal aan- en afvoer;40 voet containers;2015;8172;76203
101;Totaal aan- en afvoer;40 voet containers;2016 1e kwartaal;2056;18875
102;Totaal aan- en afvoer;40 voet containers;2016 2e kwartaal;2056;19144
103;Totaal aan- en afvoer;40 voet containers;2016 3e kwartaal;2131;19286
104;Totaal aan- en afvoer;40 voet containers;2016 4e kwartaal;2145;20117
105;Totaal aan- en afvoer;40 voet containers;2016;8388;77422
106;Totaal aan- en afvoer;40 voet containers;2017 1e kwartaal;2275;21656
107;Totaal aan- en afvoer;40 voet containers;2017 2e kwartaal;2364;22274
108;Totaal aan- en afvoer;40 voet containers;2017 3e kwartaal;2429;22817
109;Totaal aan- en afvoer;40 voet containers;2017 4e kwartaal;2435;23095
110;Totaal aan- en afvoer;40 voet containers;2017;9503;89843
111;Totaal aan- en afvoer;40 voet containers;2018 1e kwartaal;2476;23088
112;Totaal aan- en afvoer;40 voet containers;2018 2e kwartaal;2562;24418
113;Totaal aan- en afvoer;40 voet containers;2018 3e kwartaal;2577;24011
114;Totaal aan- en afvoer;40 voet containers;2018 4e kwartaal;2596;24395
115;Totaal aan- en afvoer;40 voet containers;2018;10211;95912
116;Totaal aan- en afvoer;40 voet containers;2019 1e kwartaal;2663;24645
117;Totaal aan- en afvoer;40 voet containers;2019 2e kwartaal;2690;25749
118;Totaal aan- en afvoer;40 voet containers;2019 3e kwartaal;2567;24778
119;Totaal aan- en afvoer;40 voet containers;2019 4e kwartaal;2640;25447
120;Totaal aan- en afvoer;40 voet containers;2019;10559;100620
121;Totaal aan- en afvoer;40 voet containers;2020 1e kwartaal;2660;26084
122;Totaal aan- en afvoer;40 voet containers;2020 2e kwartaal;2510;24843
123;Totaal aan- en afvoer;40 voet containers;2020 3e kwartaal;2858;26282
124;Totaal aan- en afvoer;40 voet containers;2020 4e kwartaal;2777;26861
125;Totaal aan- en afvoer;40 voet containers;2020;10804;104070
126;Totaal aan- en afvoer;40 voet containers;2021 1e kwartaal;2760;25949
127;Totaal aan- en afvoer;40 voet containers;2021 2e kwartaal;2881;27621
128;Totaal aan- en afvoer;40 voet containers;2021 3e kwartaal;2898;26881
129;Totaal aan- en afvoer;40 voet containers;2021 4e kwartaal;2838;25789
130;Totaal aan- en afvoer;40 voet containers;2021;11376;106240
131;Totaal aan- en afvoer;40 voet containers;2022 1e kwartaal;2760;24168
132;Totaal aan- en afvoer;40 voet containers;2022 2e kwartaal;2719;23989
133;Totaal aan- en afvoer;40 voet containers;2022 3e kwartaal;2822;24322
134;Totaal aan- en afvoer;40 voet containers;2022 4e kwartaal;2684;22707
135;Totaal aan- en afvoer;40 voet containers;2022;10984;95187
136;Totaal aan- en afvoer;40 voet containers;2023 1e kwartaal;2419;21355
137;Totaal aan- en afvoer;40 voet containers;2023 2e kwartaal;2544;22023
138;Totaal aan- en afvoer;40 voet containers;2023 3e kwartaal;2648;22898
139;Totaal aan- en afvoer;40 voet containers;2023 4e kwartaal;2426;21749
140;Totaal aan- en afvoer;40 voet containers;2023;10038;88025
141;Totaal aan- en afvoer;40 voet containers;2024 1e kwartaal;2429;22111
142;Totaal aan- en afvoer;40 voet containers;2024 2e kwartaal;2548;23445
143;Totaal aan- en afvoer;40 voet containers;2024 3e kwartaal;2700;23369
144;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2015 1e kwartaal;22;223
145;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2015 2e kwartaal;16;179
146;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2015 3e kwartaal;17;186
147;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2015 4e kwartaal;17;188
148;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2015;73;777
149;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2016 1e kwartaal;18;194
150;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2016 2e kwartaal;17;195
151;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2016 3e kwartaal;19;209
152;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2016 4e kwartaal;18;196
153;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2016;72;795
154;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2017 1e kwartaal;19;203
155;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2017 2e kwartaal;21;211
156;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2017 3e kwartaal;20;223
157;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2017 4e kwartaal;21;240
158;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2017;80;877
159;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2018 1e kwartaal;20;214
160;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2018 2e kwartaal;18;211
161;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2018 3e kwartaal;21;237
162;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2018 4e kwartaal;18;222
163;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2018;77;885
164;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2019 1e kwartaal;22;268
165;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2019 2e kwartaal;21;262
166;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2019 3e kwartaal;21;255
167;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2019 4e kwartaal;21;249
168;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2019;85;1034
169;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2020 1e kwartaal;19;235
170;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2020 2e kwartaal;17;217
171;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2020 3e kwartaal;18;216
172;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2020 4e kwartaal;20;247
173;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2020;74;916
174;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2021 1e kwartaal;21;259
175;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2021 2e kwartaal;23;264
176;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2021 3e kwartaal;21;255
177;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2021 4e kwartaal;20;247
178;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2021;84;1025
179;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2022 1e kwartaal;21;266
180;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2022 2e kwartaal;20;250
181;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2022 3e kwartaal;18;225
182;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2022 4e kwartaal;18;222
183;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2022;78;963
184;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2023 1e kwartaal;17;212
185;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2023 2e kwartaal;16;185
186;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2023 3e kwartaal;20;208
187;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2023 4e kwartaal;16;175
188;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2023;68;781
189;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2024 1e kwartaal;14;142
190;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2024 2e kwartaal;19;184
191;Totaal aan- en afvoer;Containers tussen 20 en 40 voet;2024 3e kwartaal;17;161
192;Totaal aan- en afvoer;Containers > 40 voet;2015 1e kwartaal;366;3123
193;Totaal aan- en afvoer;Containers > 40 voet;2015 2e kwartaal;385;3337
194;Totaal aan- en afvoer;Containers > 40 voet;2015 3e kwartaal;413;3637
195;Totaal aan- en afvoer;Containers > 40 voet;2015 4e kwartaal;403;3456
196;Totaal aan- en afvoer;Containers > 40 voet;2015;1566;13553
197;Totaal aan- en afvoer;Containers > 40 voet;2016 1e kwartaal;378;3318
198;Totaal aan- en afvoer;Containers > 40 voet;2016 2e kwartaal;411;3647
199;Totaal aan- en afvoer;Containers > 40 voet;2016 3e kwartaal;422;3627
200;Totaal aan- en afvoer;Containers > 40 voet;2016 4e kwartaal;433;3697
201;Totaal aan- en afvoer;Containers > 40 voet;2016;1644;14289
202;Totaal aan- en afvoer;Containers > 40 voet;2017 1e kwartaal;409;3509
203;Totaal aan- en afvoer;Containers > 40 voet;2017 2e kwartaal;425;3761
204;Totaal aan- en afvoer;Containers > 40 voet;2017 3e kwartaal;433;3746
205;Totaal aan- en afvoer;Containers > 40 voet;2017 4e kwartaal;440;3754
206;Totaal aan- en afvoer;Containers > 40 voet;2017;1707;14770
207;Totaal aan- en afvoer;Containers > 40 voet;2018 1e kwartaal;415;3557
208;Totaal aan- en afvoer;Containers > 40 voet;2018 2e kwartaal;435;3698
209;Totaal aan- en afvoer;Containers > 40 voet;2018 3e kwartaal;455;3864
210;Totaal aan- en afvoer;Containers > 40 voet;2018 4e kwartaal;469;3850
211;Totaal aan- en afvoer;Containers > 40 voet;2018;1773;14969
212;Totaal aan- en afvoer;Containers > 40 voet;2019 1e kwartaal;455;3827
213;Totaal aan- en afvoer;Containers > 40 voet;2019 2e kwartaal;455;3726
214;Totaal aan- en afvoer;Containers > 40 voet;2019 3e kwartaal;455;3815
215;Totaal aan- en afvoer;Containers > 40 voet;2019 4e kwartaal;478;3780
216;Totaal aan- en afvoer;Containers > 40 voet;2019;1842;15148
217;Totaal aan- en afvoer;Containers > 40 voet;2020 1e kwartaal;431;3516
218;Totaal aan- en afvoer;Containers > 40 voet;2020 2e kwartaal;414;3338
219;Totaal aan- en afvoer;Containers > 40 voet;2020 3e kwartaal;453;3631
220;Totaal aan- en afvoer;Containers > 40 voet;2020 4e kwartaal;476;3849
221;Totaal aan- en afvoer;Containers > 40 voet;2020;1774;14333
222;Totaal aan- en afvoer;Containers > 40 voet;2021 1e kwartaal;413;3282
223;Totaal aan- en afvoer;Containers > 40 voet;2021 2e kwartaal;477;3783
224;Totaal aan- en afvoer;Containers > 40 voet;2021 3e kwartaal;462;3647
225;Totaal aan- en afvoer;Containers > 40 voet;2021 4e kwartaal;452;3528
226;Totaal aan- en afvoer;Containers > 40 voet;2021;1804;14240
227;Totaal aan- en afvoer;Containers > 40 voet;2022 1e kwartaal;441;3426
228;Totaal aan- en afvoer;Containers > 40 voet;2022 2e kwartaal;465;3553
229;Totaal aan- en afvoer;Containers > 40 voet;2022 3e kwartaal;452;3381
230;Totaal aan- en afvoer;Containers > 40 voet;2022 4e kwartaal;448;3316
231;Totaal aan- en afvoer;Containers > 40 voet;2022;1805;13676
232;Totaal aan- en afvoer;Containers > 40 voet;2023 1e kwartaal;420;3039
233;Totaal aan- en afvoer;Containers > 40 voet;2023 2e kwartaal;424;3150
234;Totaal aan- en afvoer;Containers > 40 voet;2023 3e kwartaal;411;3031
235;Totaal aan- en afvoer;Containers > 40 voet;2023 4e kwartaal;396;2945
236;Totaal aan- en afvoer;Containers > 40 voet;2023;1651;12165
237;Totaal aan- en afvoer;Containers > 40 voet;2024 1e kwartaal;448;3224
238;Totaal aan- en afvoer;Containers > 40 voet;2024 2e kwartaal;436;3366
239;Totaal aan- en afvoer;Containers > 40 voet;2024 3e kwartaal;438;3313
240;Totaal aan- en afvoer;Containers met onbekende omvang;2015 1e kwartaal;0;0
241;Totaal aan- en afvoer;Containers met onbekende omvang;2015 2e kwartaal;0;0
242;Totaal aan- en afvoer;Containers met onbekende omvang;2015 3e kwartaal;0;0
243;Totaal aan- en afvoer;Containers met onbekende omvang;2015 4e kwartaal;0;0
244;Totaal aan- en afvoer;Containers met onbekende omvang;2015;0;0
245;Totaal aan- en afvoer;Containers met onbekende omvang;2016 1e kwartaal;0;0
246;Totaal aan- en afvoer;Containers met onbekende omvang;2016 2e kwartaal;0;0
247;Totaal aan- en afvoer;Containers met onbekende omvang;2016 3e kwartaal;0;0
248;Totaal aan- en afvoer;Containers met onbekende omvang;2016 4e kwartaal;0;0
249;Totaal aan- en afvoer;Containers met onbekende omvang;2016;0;0
250;Totaal aan- en afvoer;Containers met onbekende omvang;2017 1e kwartaal;0;0
251;Totaal aan- en afvoer;Containers met onbekende omvang;2017 2e kwartaal;0;0
252;Totaal aan- en afvoer;Containers met onbekende omvang;2017 3e kwartaal;0;0
253;Totaal aan- en afvoer;Containers met onbekende omvang;2017 4e kwartaal;0;0
254;Totaal aan- en afvoer;Containers met onbekende omvang;2017;0;0
255;Totaal aan- en afvoer;Containers met onbekende omvang;2018 1e kwartaal;0;0
256;Totaal aan- en afvoer;Containers met onbekende omvang;2018 2e kwartaal;0;0
257;Totaal aan- en afvoer;Containers met onbekende omvang;2018 3e kwartaal;0;0
258;Totaal aan- en afvoer;Containers met onbekende omvang;2018 4e kwartaal;0;0
259;Totaal aan- en afvoer;Containers met onbekende omvang;2018;0;0
260;Totaal aan- en afvoer;Containers met onbekende omvang;2019 1e kwartaal;0;0
261;Totaal aan- en afvoer;Containers met onbekende omvang;2019 2e kwartaal;0;0
262;Totaal aan- en afvoer;Containers met onbekende omvang;2019 3e kwartaal;0;0
263;Totaal aan- en afvoer;Containers met onbekende omvang;2019 4e kwartaal;0;0
264;Totaal aan- en afvoer;Containers met onbekende omvang;2019;0;0
265;Totaal aan- en afvoer;Containers met onbekende omvang;2020 1e kwartaal;0;0
266;Totaal aan- en afvoer;Containers met onbekende omvang;2020 2e kwartaal;0;0
267;Totaal aan- en afvoer;Containers met onbekende omvang;2020 3e kwartaal;0;0
268;Totaal aan- en afvoer;Containers met onbekende omvang;2020 4e kwartaal;0;1
269;Totaal aan- en afvoer;Containers met onbekende omvang;2020;0;1
270;Totaal aan- en afvoer;Containers met onbekende omvang;2021 1e kwartaal;0;0
271;Totaal aan- en afvoer;Containers met onbekende omvang;2021 2e kwartaal;0;0
272;Totaal aan- en afvoer;Containers met onbekende omvang;2021 3e kwartaal;0;0
273;Totaal aan- en afvoer;Containers met onbekende omvang;2021 4e kwartaal;0;0
274;Totaal aan- en afvoer;Containers met onbekende omvang;2021;0;0
275;Totaal aan- en afvoer;Containers met onbekende omvang;2022 1e kwartaal;0;0
276;Totaal aan- en afvoer;Containers met onbekende omvang;2022 2e kwartaal;0;0
277;Totaal aan- en afvoer;Containers met onbekende omvang;2022 3e kwartaal;0;0
278;Totaal aan- en afvoer;Containers met onbekende omvang;2022 4e kwartaal;0;0
279;Totaal aan- en afvoer;Containers met onbekende omvang;2022;0;0
280;Totaal aan- en afvoer;Containers met onbekende omvang;2023 1e kwartaal;0;0
281;Totaal aan- en afvoer;Containers met onbekende omvang;2023 2e kwartaal;0;0
282;Totaal aan- en afvoer;Containers met onbekende omvang;2023 3e kwartaal;0;0
283;Totaal aan- en afvoer;Containers met onbekende omvang;2023 4e kwartaal;0;1
284;Totaal aan- en afvoer;Containers met onbekende omvang;2023;0;1
285;Totaal aan- en afvoer;Containers met onbekende omvang;2024 1e kwartaal;0;0
286;Totaal aan- en afvoer;Containers met onbekende omvang;2024 2e kwartaal;0;0
287;Totaal aan- en afvoer;Containers met onbekende omvang;2024 3e kwartaal;0;0
288;Aanvoer naar Nederland;Totaal overgeslagen containers;2015 1e kwartaal;1678;16327
289;Aanvoer naar Nederland;Totaal overgeslagen containers;2015 2e kwartaal;1639;16324
290;Aanvoer naar Nederland;Totaal overgeslagen containers;2015 3e kwartaal;1637;15684
291;Aanvoer naar Nederland;Totaal overgeslagen containers;2015 4e kwartaal;1552;15140
292;Aanvoer naar Nederland;Totaal overgeslagen containers;2015;6506;63476
293;Aanvoer naar Nederland;Totaal overgeslagen containers;2016 1e kwartaal;1642;16292
294;Aanvoer naar Nederland;Totaal overgeslagen containers;2016 2e kwartaal;1596;15909
295;Aanvoer naar Nederland;Totaal overgeslagen containers;2016 3e kwartaal;1690;16023
296;Aanvoer naar Nederland;Totaal overgeslagen containers;2016 4e kwartaal;1684;16529
297;Aanvoer naar Nederland;Totaal overgeslagen containers;2016;6612;64753
298;Aanvoer naar Nederland;Totaal overgeslagen containers;2017 1e kwartaal;1767;17670
299;Aanvoer naar Nederland;Totaal overgeslagen containers;2017 2e kwartaal;1835;18537
300;Aanvoer naar Nederland;Totaal overgeslagen containers;2017 3e kwartaal;1889;18811
301;Aanvoer naar Nederland;Totaal overgeslagen containers;2017 4e kwartaal;1891;18723
302;Aanvoer naar Nederland;Totaal overgeslagen containers;2017;7381;73741
303;Aanvoer naar Nederland;Totaal overgeslagen containers;2018 1e kwartaal;1917;19417
304;Aanvoer naar Nederland;Totaal overgeslagen containers;2018 2e kwartaal;1968;20230
305;Aanvoer naar Nederland;Totaal overgeslagen containers;2018 3e kwartaal;2019;19757
306;Aanvoer naar Nederland;Totaal overgeslagen containers;2018 4e kwartaal;1996;19851
307;Aanvoer naar Nederland;Totaal overgeslagen containers;2018;7899;79255
308;Aanvoer naar Nederland;Totaal overgeslagen containers;2019 1e kwartaal;2055;20580
309;Aanvoer naar Nederland;Totaal overgeslagen containers;2019 2e kwartaal;2064;20996
310;Aanvoer naar Nederland;Totaal overgeslagen containers;2019 3e kwartaal;2053;20055
311;Aanvoer naar Nederland;Totaal overgeslagen containers;2019 4e kwartaal;1986;19594
312;Aanvoer naar Nederland;Totaal overgeslagen containers;2019;8158;81225
313;Aanvoer naar Nederland;Totaal overgeslagen containers;2020 1e kwartaal;1982;20179
314;Aanvoer naar Nederland;Totaal overgeslagen containers;2020 2e kwartaal;1893;19715
315;Aanvoer naar Nederland;Totaal overgeslagen containers;2020 3e kwartaal;2012;19758
316;Aanvoer naar Nederland;Totaal overgeslagen containers;2020 4e kwartaal;2044;19639
317;Aanvoer naar Nederland;Totaal overgeslagen containers;2020;7931;79291
318;Aanvoer naar Nederland;Totaal overgeslagen containers;2021 1e kwartaal;2047;20306
319;Aanvoer naar Nederland;Totaal overgeslagen containers;2021 2e kwartaal;2131;21360
320;Aanvoer naar Nederland;Totaal overgeslagen containers;2021 3e kwartaal;2140;20898
321;Aanvoer naar Nederland;Totaal overgeslagen containers;2021 4e kwartaal;2055;20027
322;Aanvoer naar Nederland;Totaal overgeslagen containers;2021;8374;82592
323;Aanvoer naar Nederland;Totaal overgeslagen containers;2022 1e kwartaal;2004;19659
324;Aanvoer naar Nederland;Totaal overgeslagen containers;2022 2e kwartaal;2025;19908
325;Aanvoer naar Nederland;Totaal overgeslagen containers;2022 3e kwartaal;2048;19673
326;Aanvoer naar Nederland;Totaal overgeslagen containers;2022 4e kwartaal;1845;17458
327;Aanvoer naar Nederland;Totaal overgeslagen containers;2022;7923;76698
328;Aanvoer naar Nederland;Totaal overgeslagen containers;2023 1e kwartaal;1809;17806
329;Aanvoer naar Nederland;Totaal overgeslagen containers;2023 2e kwartaal;1879;18823
330;Aanvoer naar Nederland;Totaal overgeslagen containers;2023 3e kwartaal;1908;18764
331;Aanvoer naar Nederland;Totaal overgeslagen containers;2023 4e kwartaal;1779;17586
332;Aanvoer naar Nederland;Totaal overgeslagen containers;2023;7375;72978
333;Aanvoer naar Nederland;Totaal overgeslagen containers;2024 1e kwartaal;1850;18055
334;Aanvoer naar Nederland;Totaal overgeslagen containers;2024 2e kwartaal;1967;19924
335;Aanvoer naar Nederland;Totaal overgeslagen containers;2024 3e kwartaal;1985;19304
336;Aanvoer naar Nederland;20 voet containers;2015 1e kwartaal;350;5621
337;Aanvoer naar Nederland;20 voet containers;2015 2e kwartaal;349;5606
338;Aanvoer naar Nederland;20 voet containers;2015 3e kwartaal;349;5433
339;Aanvoer naar Nederland;20 voet containers;2015 4e kwartaal;329;5294
