ID;Perioden;Totaal1564JaarBeroepsbevolking_1;Mannen1564JaarBeroepsbevolking_2;Vrouwen1564JaarBeroepsbevolking_3;MannenEnVrouwenAlleLeeftijden_4;MannenEnVrouwenJongerDan14Jaar_5;MannenEnVrouwen1419Jaar_6;MannenEnVrouwen2024Jaar_7;MannenEnVrouwen2539Jaar_8;MannenEnVrouwen4049Jaar_9;MannenEnVrouwen5064Jaar_10;MannenEnVrouwen65JaarEnOuder_11;MannenAlleLeeftijden_12;MannenJongerDan14Jaar_13;Mannen1419Jaar_14;Mannen2024Jaar_15;Mannen2539Jaar_16;Mannen4049Jaar_17;Mannen5064Jaar_18;Mannen65JaarEnOuder_19;VrouwenAlleLeeftijden_20;VrouwenJongerDan14Jaar_21;Vrouwen1419Jaar_22;Vrouwen2024Jaar_23;Vrouwen2539Jaar_24;Vrouwen4049Jaar_25;Vrouwen5064Jaar_26;Vrouwen65JaarEnOuder_27;Totaal1564JaarWerkzameBeroepsbev_28;Mannen1564JaarWerkzameBeroepsbev_29;Vrouwen1564JaarWerkzameBeroepsbev_30;AlleLeeftijdenMannenEnVrouwen_31;LandbouwEnVisserij_32;Delfstoffenwinning_33;Industrie_34;OpenbareNutsbedrijven_35;BouwnijverheidEnInstallatiebedrijven_36;HandelEnHoreca_37;TransportOpslagEnCommunicatie_38;BankVerzekeringswezenZakelijkeDienst_39;DienstverleningTotaal_40;OverigeEconomischeActiviteiten_41;HuiselijkeDiensten_42;AlleLeeftijdenMannen_43;LandbouwEnVisserij_44;Delfstoffenwinning_45;Industrie_46;OpenbareNutsbedrijven_47;BouwnijverheidEnInstallatiebedrijven_48;HandelEnHoreca_49;TransportOpslagEnCommunicatie_50;BankVerzekeringswezenZakelijkeDienst_51;DienstverleningTotaal_52;HuiselijkeDiensten_53;OverigeEconomischeActiviteiten_54;AlleLeeftijdenVrouwen_55;LandbouwEnVisserij_56;Delfstoffenwinning_57;Industrie_58;OpenbareNutsbedrijven_59;BouwnijverheidEnInstallatiebedrijven_60;HandelEnHoreca_61;TransportOpslagEnCommunicatie_62;BankVerzekeringswezenZakelijkeDienst_63;DienstverleningTotaal_64;HuiselijkeDiensten_65;OverigeEconomischeActiviteiten_66;LandbouwEnVisserij_67;Delfstoffenwinning_68;Industrie_69;OpenbareNutsbedrijven_70;BouwnijverheidEnInstallatiebedrijven_71;HandelEnHoreca_72;TransportOpslagEnCommunicatie_73;BankVerzekeringswezenZakelijkeDienst_74;DienstverleningTotaal_75;HuiselijkeDiensten_76;OverigeEconomischeActiviteiten_77;LandbouwEnVisserij_78;Delfstoffenwinning_79;Industrie_80;OpenbareNutsbedrijven_81;BouwnijverheidEnInstallatiebedrijven_82;HandelEnHoreca_83;TransportOpslagEnCommunicatie_84;BankVerzekeringswezenZakelijkeDienst_85;DienstverleningTotaal_86;HuiselijkeDiensten_87;OverigeEconomischeActiviteiten_88;LandbouwEnVisserij_89;Delfstoffenwinning_90;Industrie_91;OpenbareNutsbedrijven_92;BouwnijverheidEnInstallatiebedrijven_93;HandelEnHoreca_94;TransportOpslagEnCommunicatie_95;BankVerzekeringswezenZakelijkeDienst_96;DienstverleningTotaal_97;HuiselijkeDiensten_98;OverigeEconomischeActiviteiten_99;WerklozeBeroepsbevolkingTotaal_100;WerklozeBeroepsbevolkingMannen_101;WerklozeBeroepsbevolkingVrouwen_102;BeroepsdeelnemingTotaal_103;Beroepsdeelneming1419Jaar_104;Beroepsdeelneming2024Jaar_105;Beroepsdeelneming2539Jaar_106;Beroepsdeelneming4049Jaar_107;Beroepsdeelneming5064Jaar_108;Beroepsdeelneming65JaarEnOuder_109;BeroepsdeelnemingTotaalMannen_110;Beroepsdeelneming1419JaarMannen_111;Beroepsdeelneming2024JaarMannen_112;Beroepsdeelneming2539JaarMannen_113;Beroepsdeelneming4049JaarMannen_114;Beroepsdeelneming5064JaarMannen_115;Beroepsdeelneming65JaarEnOuderMan_116;BeroepsdeelnemingTotaalVrouwen_117;Beroepsdeelneming1419JaarVrouwen_118;Beroepsdeelneming2024JaarVrouwen_119;Beroepsdeelneming2539JaarVrouwen_120;Beroepsdeelneming4049JaarVrouwen_121;Beroepsdeelneming5064JaarVrouwen_122;Beroepsdeelneming65JaarEnOuderVrouw_123;GeregistreerdeWerklozenTotaal_124;GeregistreerdeWerklozenMannen_125;GeregistreerdeWerklozenVrouwen_126;GeregistreerdeWerklozenBeroepsbev_127;Banen_128;Arbeidsjaren_129;Banen_130;Arbeidsjaren_131;ArbeidsduurVoltijdersInUren_132;ArbeidsvolumeInUren_133;Banen_134;Arbeidsjaren_135;PerWeekOvereengekomenArbeidsduur_136;VakantiedagenPerJaar_137;TewerkgesteldenOpAanvullendeWerken_138;IndexcijfersCaoLonenTotaal_139;IndexCaoLonenTotaalPartBedrijven_140;IndexCaoLonenLandbouwEnVisserij_141;IndexCaoLonenIndustrie_142;IndexCaoLonenBouwnijverheid_143;IndexCaoLonenFinZakelijkeDienst_144;IndexCaoLonenOverheid_145;IndexCaoLonenGesubsidieerdeSector_146;UurloonNijverheidsarbeiders_147;MaandloonTotaal_148;MaandloonMannen_149;MaandloonVrouwen_150;MaandloonNijverheid_151;MaandloonHandel_152;MaandloonTransport_153;MaandloonBankEnVerzekeringswezen_154;MaandloonOverigeDienstverlening_155;LandbouwVisserijNijverheidEnOverig_156;BrutoUurloonNijverheidsarbeiders_157;LoonkostenPerGewerktUurNijverheid_158;Minimumloon_159
10;1941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;7.0;11.0;;;;;0.3;;;;;;;;;;;;
11;1942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;8.0;11.0;;;;;0.3;;;;;;;;;;;;
12;1943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;8.0;12.0;;;;;0.3;;;;;;;;;;;;
13;1944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;8.0;12.0;;;;;;;;;;;;;;;;;
14;1945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;13.0;;11.0;14.0;;;15.0;;0.4;;;;;;;;;;;;
15;1946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;16.0;;14.0;17.0;;;;;0.4;;;;;;;;;;;;
16;1947;;;;3866.0;;14.6;14.8;32.6;17.6;16.8;3.6;2923.0;;11.3;12.6;34.6;19.0;18.5;3.9;944.0;;24.9;21.5;26.6;13.1;11.4;2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;54.8;57.5;71.4;60.2;58.2;52.3;20.3;83.3;66.0;92.2;97.8;97.7;89.5;35.5;26.5;48.7;50.7;23.6;20.7;16.9;6.3;32.0;29.0;3.0;;;;;;;;;;;;15.2;17.0;;15.0;18.0;;;;;0.4;;;;;;;;;;;;
17;1948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;30.0;26.0;4.0;;;;;;;;;;;;13.4;18.0;;15.0;18.0;;;;;0.5;;;;;;;;;;;;
18;1949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;43.0;;5.0;;;;;;;;;;;;20.2;19.0;;16.0;19.0;;;;;0.5;;;;;;;;;;;;
19;1950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;59.0;54.0;5.0;;4015.0;3663.0;2924.0;2791.0;2280.0;6365.0;1091.0;872.0;;;21.4;20.0;20.0;18.0;21.0;;22.0;20.0;;0.5;;;;;;;;;;;;
20;1951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;68.0;62.0;7.0;;4033.0;3682.0;2952.0;2819.0;2280.0;6427.0;1081.0;863.0;;;25.0;22.0;;19.0;22.0;;;;;0.5;;;;;;;;;;;;
21;1952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;106.0;98.0;8.0;;4019.0;3671.0;2952.0;2819.0;2280.0;6426.0;1067.0;852.0;;;28.2;22.0;;19.0;23.0;;;;;0.5;;;;;;;;;;0.7;;
22;1953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;76.0;69.0;8.0;;4097.0;3748.0;3043.0;2906.0;2279.0;6622.0;1054.0;842.0;;;23.2;22.0;;21.0;23.0;;;;;0.6;;;;;;;;;;0.8;;
23;1954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;52.0;46.0;6.0;;4214.0;3860.0;3171.0;3028.0;2278.0;6897.0;1043.0;833.0;;;15.9;25.0;;23.0;26.0;;;;;0.7;;;;;;;;;;0.9;;
24;1955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;33.0;29.0;4.0;;4297.0;3942.0;3269.0;3121.0;2277.0;7106.0;1028.0;821.0;;;12.0;27.0;26.0;24.0;27.0;;29.0;24.0;;0.7;;;;;;;;;;0.9;;
25;1956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;24.0;21.0;3.0;;4368.0;4012.0;3354.0;3202.0;2275.0;7285.0;1014.0;810.0;;;10.1;28.0;28.0;26.0;28.0;;30.0;26.0;;0.7;;;;;;;;;;1.0;;
26;1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;33.0;30.0;4.0;;4397.0;4043.0;3405.0;3251.0;2273.0;7390.0;993.0;793.0;48.0;;10.6;31.0;31.0;29.0;32.0;;33.0;29.0;;0.8;;;;;;;;;;1.1;;
27;1958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;69.0;63.0;6.0;;4365.0;4015.0;3389.0;3236.0;2271.0;7350.0;976.0;779.0;48.0;;16.2;32.0;32.0;32.0;33.0;;34.0;30.0;;0.9;;;;;;;;;;1.1;;
28;1959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;49.0;44.0;5.0;;4417.0;4067.0;3454.0;3298.0;2269.0;7482.0;963.0;769.0;48.0;;13.8;33.0;33.0;34.0;34.0;;35.0;30.0;;0.9;;;;;;;;;;1.1;;
29;1960;;;;4220.0;;12.4;14.1;32.1;18.1;20.6;2.8;3241.0;;8.3;11.4;34.5;19.8;22.8;3.1;979.0;;26.6;23.3;23.5;12.1;12.9;1.6;;;;4220.0;505.0;65.0;1374.0;32.0;373.0;643.0;294.0;241.0;542.0;151.0;116.0;3241.0;413.0;63.0;1142.0;30.0;361.0;411.0;272.0;145.0;257.0;2.0;146.0;979.0;92.0;1.0;232.0;2.0;12.0;232.0;22.0;96.0;285.0;114.0;5.0;12.0;1.5;32.6;0.7;8.8;15.2;7.0;5.7;12.8;2.8;3.6;12.7;2.0;35.2;0.9;11.2;12.7;8.4;4.5;7.9;0.1;4.5;9.4;0.1;23.7;0.2;1.2;23.7;2.3;9.8;29.1;11.6;0.5;0.0;0.0;0.0;52.2;54.2;73.2;58.4;57.3;51.4;10.8;80.7;55.1;91.2;98.1;98.3;91.1;19.9;24.0;54.7;55.7;18.8;17.4;14.2;2.7;29.0;25.0;4.0;;4506.0;4155.0;3563.0;3403.0;2241.0;7626.0;943.0;753.0;48.0;;7.6;36.0;36.0;36.0;37.0;;38.0;33.0;;1.0;;;;;;;;;;1.3;;
