ID;RegioS;Periode;TotaleVaarweglengte_1;Rivier_2;RivierGekanaliseerd_3;Vaargeul_4;Kanaal_5;Voorhaven_6;MeerPlassengebied_7;VaarwegenInHavens_8;VaarwegkarakterOnbekend_9;Rijk_10;Provincies_11;Waterschappen_12;Gemeenten_13;Havenbedrijven_14;ParticuliereBeheerders_15;BeheerderOnbekend_16;Hoofdtransportas_17;Hoofdvaarweg_18;OverigeVaarweg_19;EconomischBelangOnbekend_20;KleineVaartuigenEnRecreatievaart0_21;SpitsI_22;KempenaarII_23;DortmundEemskanaalIII_24;RijnHernekanaalschipEenbaksduwstIV_25;GrootRijnschipEenbaksduwstelVa_26;TweebaksduwstelLangeFormatieVb_27;TweebaksduwstelBredeFormatieVla_28;VierbaksduwstelVlb_29;ZesbaksduwstelVlc_30;BevaarbaarheidOnbekend_31;VerbindingVoorMotorbotenAM_32;VerbindingVoorZeilMotorbotenAZM_33;OntsluitingVoorMotorbotenBM_34;OntsluitingVoorZeilMotorbotenBZM_35;BeperkteOntslVoorMotorbotenCM_36;BeperkteOntslVZeilMotorbotenCZM_37;BeperkteOntslVoorMotorbotenDM_38;RecreatievaartklasseOnbekend_39
143;Gelderland (PV);2008;503;242;145;1;52;11;20;25;8;408;0;61;13;0;0;22;106;250;126;22;9;22;39;5;27;268;13;0;14;95;11;261;19;170;0;0;0;0;53
144;Gelderland (PV);2009;503;242;145;1;52;11;20;25;8;408;0;61;13;0;0;22;106;250;126;22;9;22;39;5;27;268;13;0;14;95;11;261;19;170;0;0;0;0;53
145;Gelderland (PV);2010;503;242;145;1;52;11;20;25;8;408;0;61;13;0;0;22;106;250;126;22;9;22;39;5;27;268;13;0;14;95;11;261;19;170;0;0;0;0;53
146;Gelderland (PV);2011;501;241;145;1;52;11;20;25;8;407;0;61;13;0;0;21;106;250;125;21;9;22;39;5;27;266;13;0;14;95;11;276;19;154;0;0;0;0;53
147;Gelderland (PV);2012;501;241;145;1;52;11;20;25;8;407;0;61;13;0;0;20;106;250;125;21;9;22;37;5;27;266;13;0;14;95;12;276;19;154;0;0;0;0;53
148;Gelderland (PV);2013;501;241;145;0;52;11;20;25;8;407;0;61;13;0;0;21;106;250;125;21;9;22;37;5;27;266;13;0;14;95;12;276;19;154;0;0;0;0;52
149;Gelderland (PV);2014;501;241;145;1;52;11;20;25;8;407;0;61;13;0;0;21;106;250;125;21;9;22;37;5;27;266;13;0;14;95;12;276;19;154;0;0;0;0;52
150;Gelderland (PV);2015;501;241;145;1;52;11;20;25;8;407;0;61;13;0;0;21;106;250;125;21;9;22;37;5;27;266;13;0;14;95;12;276;19;154;0;0;0;0;52
151;Gelderland (PV);2016;501;241;145;1;52;11;20;25;8;407;0;61;13;0;0;21;106;250;125;21;9;22;37;5;27;266;13;0;14;95;12;276;19;154;0;0;0;0;52
152;Gelderland (PV);2017;501;241;145;1;52;11;20;25;8;407;0;61;13;0;0;21;106;250;125;21;9;22;37;5;28;266;13;0;14;95;12;276;19;154;0;0;0;0;52
