ID;Effluentbestemming;Perioden;TotaalZuiveringsinstallaties_1;MechanischeZuiveringsinstallaties_2;FysischChemischeZuiveringsinstallaties_3;TotaalBiologischeInstallaties_4;BiologischAerobeInstallaties_5;BiologischAnaerobeInstallaties_6;CombinatieAnaeroobAerobeInst_7;CorresponderendAantalInstallaties_8;TotaalCapaciteitAlleProcessen_9;BiologischAerobeInstallaties_10;BiologischAnaerobeInstallaties_11;CombinatieAnaeroobAeroobInst_12;NietBiologischeInstallaties_13
116;Bodemverzinking;2013;0;0;0;0;0;0;0;0;0;0;0;0;0
117;Bodemverzinking;2014;0;0;0;0;0;0;0;0;0;0;0;0;0
118;Bodemverzinking;2015;0;0;0;0;0;0;0;0;0;0;0;0;0
119;Bodemverzinking;2016;0;0;0;0;0;0;0;0;0;0;0;0;0
120;Hergebruik van het effluent;1993;6;1;3;2;1;1;0;2;401;331;70;0;0
121;Hergebruik van het effluent;1994;6;1;3;2;1;1;0;2;401;331;70;0;0
122;Hergebruik van het effluent;1995;9;1;6;2;1;1;0;3;403;331;70;0;2
123;Hergebruik van het effluent;1996;10;1;7;2;1;1;0;3;403;331;70;0;2
124;Hergebruik van het effluent;1997;10;1;7;2;1;1;0;3;403;331;70;0;2
125;Hergebruik van het effluent;1998;9;1;6;2;1;1;0;3;403;331;70;0;2
126;Hergebruik van het effluent;1999;9;1;6;2;1;1;0;3;403;331;70;0;2
127;Hergebruik van het effluent;2000;8;1;5;2;1;1;0;2;401;331;70;0;0
128;Hergebruik van het effluent;2001;8;1;5;2;1;1;0;2;401;331;70;0;0
129;Hergebruik van het effluent;2002;8;1;5;2;0;2;0;2;320;0;320;0;0
130;Hergebruik van het effluent;2003;9;1;6;2;0;2;0;2;320;0;320;0;0
131;Hergebruik van het effluent;2004;9;1;6;2;0;2;0;2;320;0;320;0;0
132;Hergebruik van het effluent;2005;8;1;5;2;0;2;0;2;320;0;320;0;0
133;Hergebruik van het effluent;2006;9;1;5;3;1;2;0;2;320;0;320;0;0
134;Hergebruik van het effluent;2007;9;1;5;3;1;2;0;2;320;0;320;0;0
135;Hergebruik van het effluent;2008;8;1;5;2;1;1;0;1;250;0;250;0;0
136;Hergebruik van het effluent;2009;9;2;5;2;1;1;0;1;250;0;250;0;0
137;Hergebruik van het effluent;2010;10;2;6;2;1;1;0;1;250;0;250;0;0
138;Hergebruik van het effluent;2011;10;2;6;2;1;1;0;1;250;0;250;0;0
139;Hergebruik van het effluent;2012;10;2;7;1;1;0;0;0;0;0;0;0;0
140;Hergebruik van het effluent;2013;10;2;7;1;1;0;0;1;0;0;0;0;0
141;Hergebruik van het effluent;2014;9;2;6;1;1;0;0;1;0;0;0;0;0
142;Hergebruik van het effluent;2015;9;2;6;1;1;0;0;1;0;0;0;0;0
143;Hergebruik van het effluent;2016;9;1;7;1;1;0;0;1;0;0;0;0;0
144;Onbekende effluentbestemming;1993;3;0;1;2;2;0;0;1;2;2;0;0;0
145;Onbekende effluentbestemming;1994;2;0;0;2;2;0;0;1;2;2;0;0;0
146;Onbekende effluentbestemming;1995;2;1;0;1;1;0;0;1;2;2;0;0;0
147;Onbekende effluentbestemming;1996;1;1;0;0;0;0;0;0;0;0;0;0;0
148;Onbekende effluentbestemming;1997;2;1;0;1;1;0;0;1;11;11;0;0;0
149;Onbekende effluentbestemming;1998;3;1;1;1;1;0;0;1;11;11;0;0;0
150;Onbekende effluentbestemming;1999;1;0;1;0;0;0;0;0;0;0;0;0;0
151;Onbekende effluentbestemming;2000;3;1;2;0;0;0;0;0;0;0;0;0;0
152;Onbekende effluentbestemming;2001;3;1;2;0;0;0;0;0;0;0;0;0;0
153;Onbekende effluentbestemming;2002;1;0;1;0;0;0;0;0;0;0;0;0;0
154;Onbekende effluentbestemming;2003;1;0;1;0;0;0;0;0;0;0;0;0;0
155;Onbekende effluentbestemming;2004;1;0;1;0;0;0;0;0;0;0;0;0;0
156;Onbekende effluentbestemming;2005;1;0;1;0;0;0;0;0;0;0;0;0;0
157;Onbekende effluentbestemming;2006;1;0;1;0;0;0;0;0;0;0;0;0;0
158;Onbekende effluentbestemming;2007;1;0;1;0;0;0;0;0;0;0;0;0;0
159;Onbekende effluentbestemming;2008;1;0;1;0;0;0;0;0;0;0;0;0;0
160;Onbekende effluentbestemming;2009;1;0;1;0;0;0;0;0;0;0;0;0;0
161;Onbekende effluentbestemming;2010;2;0;1;1;1;0;0;0;0;0;0;0;0
162;Onbekende effluentbestemming;2011;2;0;1;1;1;0;0;0;0;0;0;0;0
163;Onbekende effluentbestemming;2012;2;0;1;1;1;0;0;0;0;0;0;0;0
164;Onbekende effluentbestemming;2013;1;0;1;0;0;0;0;0;0;0;0;0;0
165;Onbekende effluentbestemming;2014;2;0;1;1;1;0;0;1;8;8;0;0;0
166;Onbekende effluentbestemming;2015;1;0;1;0;0;0;0;0;0;0;0;0;0
167;Onbekende effluentbestemming;2016;1;0;1;0;0;0;0;0;0;0;0;0;0
