ID;EnergieAfnemers;Perioden;Aardgas_1;Elektriciteit_2
45;14 Winning van zand,grind,klei,zout etc.;1996;16;95
46;14 Winning van zand,grind,klei,zout etc.;1997;19;174
47;14 Winning van zand,grind,klei,zout etc.;1998;84;244
48;14 Winning van zand,grind,klei,zout etc.;1999;93;268
49;Totaal bouwnijverheid;1993;122;545
50;Totaal bouwnijverheid;1994;78;499
51;Totaal bouwnijverheid;1995;128;448
52;Totaal bouwnijverheid;1996;135;401
53;Totaal bouwnijverheid;1997;124;432
54;Totaal bouwnijverheid;1998;124;465
55;Totaal bouwnijverheid;1999;119;482
56;45  Bouw;1993;88;413
57;45  Bouw;1994;61;366
58;45  Bouw;1995;97;308
59;45  Bouw;1996;106;303
60;45  Bouw;1997;99;333
61;45  Bouw;1998;98;353
62;45  Bouw;1999;96;372
63;453 Bouwinstallatie en afwerking;1993;33;132
64;453 Bouwinstallatie en afwerking;1994;17;133
65;453 Bouwinstallatie en afwerking;1995;31;140
66;453 Bouwinstallatie en afwerking;1996;29;98
67;453 Bouwinstallatie en afwerking;1997;25;99
68;453 Bouwinstallatie en afwerking;1998;26;112
69;453 Bouwinstallatie en afwerking;1999;23;110
70;50-55 Totaal handel, reparatie en horeca;1993;1812;7128
71;50-55 Totaal handel, reparatie en horeca;1994;1877;7307
72;50-55 Totaal handel, reparatie en horeca;1995;1945;7414
73;50-55 Totaal handel, reparatie en horeca;1996;2300;7678
74;50-55 Totaal handel, reparatie en horeca;1997;2111;8022
75;50-55 Totaal handel, reparatie en horeca;1998;2195;8545
76;50-55 Totaal handel, reparatie en horeca;1999;2238;9014
77;50  Handel en reparatie van auto's;1993;189;704
78;50  Handel en reparatie van auto's;1994;199;748
79;50  Handel en reparatie van auto's;1995;203;748
80;50  Handel en reparatie van auto's;1996;242;775
81;50  Handel en reparatie van auto's;1997;216;792
82;50  Handel en reparatie van auto's;1998;226;851
83;50  Handel en reparatie van auto's;1999;231;907
84;51  Groothandel;1993;511;1632
85;51  Groothandel;1994;562;1504
86;51  Groothandel;1995;590;1545
87;51  Groothandel;1996;701;1600
88;51  Groothandel;1997;627;1637
89;51  Groothandel;1998;641;1723
90;51  Groothandel;1999;649;1815
91;52  Detailh. en reparatie tbv partic.;1993;614;3031
92;52  Detailh. en reparatie tbv partic.;1994;590;3236
93;52  Detailh. en reparatie tbv partic.;1995;613;3290
94;52  Detailh. en reparatie tbv partic.;1996;728;3407
95;52  Detailh. en reparatie tbv partic.;1997;661;3536
96;52  Detailh. en reparatie tbv partic.;1998;671;3691
97;52  Detailh. en reparatie tbv partic.;1999;664;3803
98;55  Horeca;1993;498;1760
99;55  Horeca;1994;526;1818
100;55  Horeca;1995;539;1830
101;55  Horeca;1996;630;1896
102;55  Horeca;1997;608;2058
103;55  Horeca;1998;658;2280
104;55  Horeca;1999;694;2489
105;60-64  Totaal vervoer en communicatie;1993;280;1724
106;60-64  Totaal vervoer en communicatie;1994;284;1774
107;60-64  Totaal vervoer en communicatie;1995;295;1803
108;60-64  Totaal vervoer en communicatie;1996;351;1864
109;60-64  Totaal vervoer en communicatie;1997;307;1867
110;60-64  Totaal vervoer en communicatie;1998;303;1894
111;60-64  Totaal vervoer en communicatie;1999;307;2002
112;60  Vervoer over land;1993;68;465
113;60  Vervoer over land;1994;65;447
114;60  Vervoer over land;1995;68;455
115;60  Vervoer over land;1996;78;454
116;60  Vervoer over land;1997;66;444
117;60  Vervoer over land;1998;66;456
118;60  Vervoer over land;1999;68;483
119;61  Vervoer over water;1993;0;4
120;61  Vervoer over water;1994;0;4
121;61  Vervoer over water;1995;0;4
122;61  Vervoer over water;1996;0;3
123;61  Vervoer over water;1997;0;3
124;61  Vervoer over water;1998;0;3
125;61  Vervoer over water;1999;0;3
126;62  Vervoer door de lucht;1993;22;171
127;62  Vervoer door de lucht;1994;20;161
128;62  Vervoer door de lucht;1995;21;164
129;62  Vervoer door de lucht;1996;25;169
130;62  Vervoer door de lucht;1997;23;178
131;62  Vervoer door de lucht;1998;23;182
132;62  Vervoer door de lucht;1999;23;191
133;63  Dienstverlening tbv het vervoer;1993;140;820
134;63  Dienstverlening tbv het vervoer;1994;154;903
135;63  Dienstverlening tbv het vervoer;1995;160;918
136;63  Dienstverlening tbv het vervoer;1996;196;980
137;63  Dienstverlening tbv het vervoer;1997;169;968
138;63  Dienstverlening tbv het vervoer;1998;164;963
139;63  Dienstverlening tbv het vervoer;1999;168;1028
140;64  Post en telecommunicatie;1993;48;265
141;64  Post en telecommunicatie;1994;45;259
142;64  Post en telecommunicatie;1995;46;263
143;64  Post en telecommunicatie;1996;52;257
144;64  Post en telecommunicatie;1997;48;273
145;64  Post en telecommunicatie;1998;50;290
146;64  Post en telecommunicatie;1999;49;295
147;65-67  Totaal financiële instellingen;1993;77;746
148;65-67  Totaal financiële instellingen;1994;73;739
149;65-67  Totaal financiële instellingen;1995;76;754
150;65-67  Totaal financiële instellingen;1996;88;761
151;65-67  Totaal financiële instellingen;1997;80;792
152;65-67  Totaal financiële instellingen;1998;83;837
153;65-67  Totaal financiële instellingen;1999;87;926
154;65  Financiële instellingen;1993;44;469
155;65  Financiële instellingen;1994;41;458
156;65  Financiële instellingen;1995;42;468
157;65  Financiële instellingen;1996;50;479
158;65  Financiële instellingen;1997;46;503
159;65  Financiële instellingen;1998;47;533
160;65  Financiële instellingen;1999;56;599
161;66  Verzekeringsw. en pensioenfondsen;1993;23;212
162;66  Verzekeringsw. en pensioenfondsen;1994;21;208
163;66  Verzekeringsw. en pensioenfondsen;1995;22;212
164;66  Verzekeringsw. en pensioenfondsen;1996;26;213
165;66  Verzekeringsw. en pensioenfondsen;1997;22;206
166;66  Verzekeringsw. en pensioenfondsen;1998;21;203
167;66  Verzekeringsw. en pensioenfondsen;1999;13;192
168;67  Activiteiten tbv financiële instell.;1993;10;65
169;67  Activiteiten tbv financiële instell.;1994;11;73
170;67  Activiteiten tbv financiële instell.;1995;11;74
171;67  Activiteiten tbv financiële instell.;1996;12;70
172;67  Activiteiten tbv financiële instell.;1997;12;82
173;67  Activiteiten tbv financiële instell.;1998;15;101
174;67  Activiteiten tbv financiële instell.;1999;19;135
175;70-74  Totaal verhuur en zak. dienst.;1993;277;1580
176;70-74  Totaal verhuur en zak. dienst.;1994;273;1657
177;70-74  Totaal verhuur en zak. dienst.;1995;312;1851
178;70-74  Totaal verhuur en zak. dienst.;1996;384;1971
179;70-74  Totaal verhuur en zak. dienst.;1997;378;2255
180;70-74  Totaal verhuur en zak. dienst.;1998;375;2332
181;70-74  Totaal verhuur en zak. dienst.;1999;304;1965
182;70 Verhuur van en handel in onroer. goed;1993;24;90
183;70 Verhuur van en handel in onroer. goed;1994;22;88
184;70 Verhuur van en handel in onroer. goed;1995;26;102
185;70 Verhuur van en handel in onroer. goed;1996;32;108
186;70 Verhuur van en handel in onroer. goed;1997;28;110
187;70 Verhuur van en handel in onroer. goed;1998;28;111
188;70 Verhuur van en handel in onroer. goed;1999;29;126
189;71  Verhuur van roerend goed;1993;7;41
190;71  Verhuur van roerend goed;1994;7;40
191;71  Verhuur van roerend goed;1995;7;40
192;71  Verhuur van roerend goed;1996;9;42
193;71  Verhuur van roerend goed;1997;8;45
194;71  Verhuur van roerend goed;1998;7;43
195;71  Verhuur van roerend goed;1999;12;81
196;72  Computerbureaus;1993;20;159
197;72  Computerbureaus;1994;20;169
198;72  Computerbureaus;1995;23;194
199;72  Computerbureaus;1996;29;207
200;72  Computerbureaus;1997;34;281
201;72  Computerbureaus;1998;44;377
202;72  Computerbureaus;1999;28;236
203;73  Research;1993;37;180
204;73  Research;1994;34;175
205;73  Research;1995;36;184
206;73  Research;1996;45;196
207;73  Research;1997;49;247
208;73  Research;1998;47;243
209;73  Research;1999;33;240
210;74  Overige zakelijke dienstverlening;1993;189;1111
211;74  Overige zakelijke dienstverlening;1994;191;1184
212;74  Overige zakelijke dienstverlening;1995;219;1332
213;74  Overige zakelijke dienstverlening;1996;270;1418
214;74  Overige zakelijke dienstverlening;1997;260;1572
215;74  Overige zakelijke dienstverlening;1998;250;1558
216;74  Overige zakelijke dienstverlening;1999;202;1282
217;75  Openb. bestuur en sociale verzeker.;1993;442;2476
218;75  Openb. bestuur en sociale verzeker.;1994;418;2476
219;75  Openb. bestuur en sociale verzeker.;1995;365;2348
220;75  Openb. bestuur en sociale verzeker.;1996;467;2572
221;75  Openb. bestuur en sociale verzeker.;1997;359;2436
222;75  Openb. bestuur en sociale verzeker.;1998;374;2610
223;75  Openb. bestuur en sociale verzeker.;1999;358;2604
224;80  Onderwijs;1993;478;736
225;80  Onderwijs;1994;453;739
226;80  Onderwijs;1995;463;740
227;80  Onderwijs;1996;533;749
228;80  Onderwijs;1997;445;824
229;80  Onderwijs;1998;449;854
230;80  Onderwijs;1999;436;862
231;85  Totaal gezondheids- en welzijnszorg;1993;904;1593
232;85  Totaal gezondheids- en welzijnszorg;1994;865;1615
233;85  Totaal gezondheids- en welzijnszorg;1995;825;1645
234;85  Totaal gezondheids- en welzijnszorg;1996;988;1693
235;85  Totaal gezondheids- en welzijnszorg;1997;885;1738
236;85  Totaal gezondheids- en welzijnszorg;1998;898;1812
237;85  Totaal gezondheids- en welzijnszorg;1999;878;1844
238;851  Gezondheidszorg;1993;392;850
239;851  Gezondheidszorg;1994;369;848
240;851  Gezondheidszorg;1995;396;863
241;851  Gezondheidszorg;1996;418;849
242;851  Gezondheidszorg;1997;380;875
243;851  Gezondheidszorg;1998;381;901
244;851  Gezondheidszorg;1999;376;922
245;852  Veterinaire diensten;1993;3;7
246;852  Veterinaire diensten;1994;3;7
247;852  Veterinaire diensten;1995;3;8
248;852  Veterinaire diensten;1996;3;8
249;852  Veterinaire diensten;1997;3;9
250;852  Veterinaire diensten;1998;3;10
251;852  Veterinaire diensten;1999;3;10
252;853  Welzijnszorg;1993;510;736
253;853  Welzijnszorg;1994;493;760
254;853  Welzijnszorg;1995;426;774
255;853  Welzijnszorg;1996;567;836
256;853  Welzijnszorg;1997;502;854
257;853  Welzijnszorg;1998;514;901
258;853  Welzijnszorg;1999;498;912
259;90-92  Tot. milieudienst.,cult. & recr.;1993;367;1275
260;90-92  Tot. milieudienst.,cult. & recr.;1994;347;1300
261;90-92  Tot. milieudienst.,cult. & recr.;1995;397;1410
262;90-92  Tot. milieudienst.,cult. & recr.;1996;431;1446
263;90-92  Tot. milieudienst.,cult. & recr.;1997;404;1469
264;90-92  Tot. milieudienst.,cult. & recr.;1998;416;1563
265;90-92  Tot. milieudienst.,cult. & recr.;1999;413;1631
266;90  Milieudienstverlening;1993;38;483
267;90  Milieudienstverlening;1994;37;488
268;90  Milieudienstverlening;1995;38;497
269;90  Milieudienstverlening;1996;48;510
270;90  Milieudienstverlening;1997;43;566
271;90  Milieudienstverlening;1998;46;622
272;90  Milieudienstverlening;1999;47;652
273;91  Ideele en belangenorganisaties;1993;48;99
274;91  Ideele en belangenorganisaties;1994;46;102
275;91  Ideele en belangenorganisaties;1995;53;114
276;91  Ideele en belangenorganisaties;1996;57;117
277;91  Ideele en belangenorganisaties;1997;56;120
278;91  Ideele en belangenorganisaties;1998;52;115
279;91  Ideele en belangenorganisaties;1999;50;116
280;921-925   Cultuur;1993;81;268
281;921-925   Cultuur;1994;79;276
282;921-925   Cultuur;1995;87;299
283;921-925   Cultuur;1996;92;307
284;921-925   Cultuur;1997;86;294
285;921-925   Cultuur;1998;88;309
286;921-925   Cultuur;1999;89;325
287;926-927  Sport en recreatie;1993;101;284
288;926-927  Sport en recreatie;1994;105;310
289;926-927  Sport en recreatie;1995;123;356
290;926-927  Sport en recreatie;1996;123;365
291;926-927  Sport en recreatie;1997;116;335
292;926-927  Sport en recreatie;1998;116;341
293;926-927  Sport en recreatie;1999;120;364
294;93 Overige dienstverlening;1993;98;140
295;93 Overige dienstverlening;1994;81;124
296;93 Overige dienstverlening;1995;96;144
297;93 Overige dienstverlening;1996;111;148
298;93 Overige dienstverlening;1997;103;154
299;93 Overige dienstverlening;1998;114;175
300;93 Overige dienstverlening;1999;108;173
301;Statistisch verschil overige afnemers;1993;667;2707
302;Statistisch verschil overige afnemers;1994;-76;2515
303;Statistisch verschil overige afnemers;1995;569;1777
304;Statistisch verschil overige afnemers;1996;429;3294
305;Statistisch verschil overige afnemers;1997;7;4173
306;Statistisch verschil overige afnemers;1998;-91;4680
307;Statistisch verschil overige afnemers;1999;-581;4573
