ID;BedrijfstakkenBranches;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
193;691 Rechtskundige dienstverlening;2017 4e kwartaal;133.3;4.4
194;691 Rechtskundige dienstverlening;2017;118.5;3.6
195;692 Accountancy, administratie e.d.;2005 1e kwartaal;88.9;
196;692 Accountancy, administratie e.d.;2005 2e kwartaal;88.4;
197;692 Accountancy, administratie e.d.;2005 3e kwartaal;78.9;
198;692 Accountancy, administratie e.d.;2005 4e kwartaal;93.9;
199;692 Accountancy, administratie e.d.;2005;87.5;
200;692 Accountancy, administratie e.d.;2006 1e kwartaal;94.7;6.6
201;692 Accountancy, administratie e.d.;2006 2e kwartaal;88.8;0.4
202;692 Accountancy, administratie e.d.;2006 3e kwartaal;80.3;1.8
203;692 Accountancy, administratie e.d.;2006 4e kwartaal;96.2;2.4
204;692 Accountancy, administratie e.d.;2006;90.0;2.8
205;692 Accountancy, administratie e.d.;2007 1e kwartaal;96.8;2.2
206;692 Accountancy, administratie e.d.;2007 2e kwartaal;94.5;6.5
207;692 Accountancy, administratie e.d.;2007 3e kwartaal;85.7;6.7
208;692 Accountancy, administratie e.d.;2007 4e kwartaal;101.1;5.0
209;692 Accountancy, administratie e.d.;2007;94.5;5.0
210;692 Accountancy, administratie e.d.;2008 1e kwartaal;101.4;4.8
211;692 Accountancy, administratie e.d.;2008 2e kwartaal;100.0;5.8
212;692 Accountancy, administratie e.d.;2008 3e kwartaal;90.0;5.1
213;692 Accountancy, administratie e.d.;2008 4e kwartaal;105.3;4.2
214;692 Accountancy, administratie e.d.;2008;99.2;4.9
215;692 Accountancy, administratie e.d.;2009 1e kwartaal;107.8;6.3
216;692 Accountancy, administratie e.d.;2009 2e kwartaal;102.7;2.7
217;692 Accountancy, administratie e.d.;2009 3e kwartaal;90.8;0.9
218;692 Accountancy, administratie e.d.;2009 4e kwartaal;103.3;-1.9
219;692 Accountancy, administratie e.d.;2009;101.1;2.0
220;692 Accountancy, administratie e.d.;2010 1e kwartaal;107.5;-0.3
221;692 Accountancy, administratie e.d.;2010 2e kwartaal;101.5;-1.1
222;692 Accountancy, administratie e.d.;2010 3e kwartaal;88.7;-2.3
223;692 Accountancy, administratie e.d.;2010 4e kwartaal;102.3;-0.9
224;692 Accountancy, administratie e.d.;2010;100.0;-1.1
225;692 Accountancy, administratie e.d.;2011 1e kwartaal;105.4;-1.9
226;692 Accountancy, administratie e.d.;2011 2e kwartaal;102.7;1.1
227;692 Accountancy, administratie e.d.;2011 3e kwartaal;86.5;-2.4
228;692 Accountancy, administratie e.d.;2011 4e kwartaal;101.5;-0.8
229;692 Accountancy, administratie e.d.;2011;99.0;-1.0
230;692 Accountancy, administratie e.d.;2012 1e kwartaal;102.7;-2.5
231;692 Accountancy, administratie e.d.;2012 2e kwartaal;101.0;-1.6
232;692 Accountancy, administratie e.d.;2012 3e kwartaal;87.0;0.5
233;692 Accountancy, administratie e.d.;2012 4e kwartaal;100.1;-1.4
234;692 Accountancy, administratie e.d.;2012;97.7;-1.3
235;692 Accountancy, administratie e.d.;2013 1e kwartaal;100.0;-2.7
236;692 Accountancy, administratie e.d.;2013 2e kwartaal;100.3;-0.6
237;692 Accountancy, administratie e.d.;2013 3e kwartaal;85.2;-2.0
238;692 Accountancy, administratie e.d.;2013 4e kwartaal;99.1;-1.0
239;692 Accountancy, administratie e.d.;2013;96.1;-1.6
240;692 Accountancy, administratie e.d.;2014 1e kwartaal;99.4;-0.6
241;692 Accountancy, administratie e.d.;2014 2e kwartaal;98.3;-2.0
242;692 Accountancy, administratie e.d.;2014 3e kwartaal;82.6;-3.1
243;692 Accountancy, administratie e.d.;2014 4e kwartaal;100.7;1.7
244;692 Accountancy, administratie e.d.;2014;95.3;-0.9
245;692 Accountancy, administratie e.d.;2015 1e kwartaal;98.2;-1.3
246;692 Accountancy, administratie e.d.;2015 2e kwartaal;99.4;1.1
247;692 Accountancy, administratie e.d.;2015 3e kwartaal;86.3;4.4
248;692 Accountancy, administratie e.d.;2015 4e kwartaal;106.7;5.9
249;692 Accountancy, administratie e.d.;2015;97.6;2.5
250;692 Accountancy, administratie e.d.;2016 1e kwartaal;103.8;5.8
251;692 Accountancy, administratie e.d.;2016 2e kwartaal;107.7;8.3
252;692 Accountancy, administratie e.d.;2016 3e kwartaal;90.3;4.7
253;692 Accountancy, administratie e.d.;2016 4e kwartaal;110.6;3.7
254;692 Accountancy, administratie e.d.;2016;103.1;5.6
255;692 Accountancy, administratie e.d.;2017 1e kwartaal;107.4;3.4
256;692 Accountancy, administratie e.d.;2017 2e kwartaal;108.2;0.4
257;692 Accountancy, administratie e.d.;2017 3e kwartaal;93.2;3.2
258;692 Accountancy, administratie e.d.;2017 4e kwartaal;116.4;5.3
259;692 Accountancy, administratie e.d.;2017;106.3;3.1
260;70 Holdings en managementadviesbureaus;2005 1e kwartaal;;
261;70 Holdings en managementadviesbureaus;2005 2e kwartaal;;
262;70 Holdings en managementadviesbureaus;2005 3e kwartaal;;
263;70 Holdings en managementadviesbureaus;2005 4e kwartaal;;
264;70 Holdings en managementadviesbureaus;2005;;
265;70 Holdings en managementadviesbureaus;2006 1e kwartaal;;
266;70 Holdings en managementadviesbureaus;2006 2e kwartaal;;
267;70 Holdings en managementadviesbureaus;2006 3e kwartaal;;
268;70 Holdings en managementadviesbureaus;2006 4e kwartaal;;
269;70 Holdings en managementadviesbureaus;2006;;
270;70 Holdings en managementadviesbureaus;2007 1e kwartaal;;
271;70 Holdings en managementadviesbureaus;2007 2e kwartaal;;
272;70 Holdings en managementadviesbureaus;2007 3e kwartaal;;
273;70 Holdings en managementadviesbureaus;2007 4e kwartaal;;
274;70 Holdings en managementadviesbureaus;2007;;
275;70 Holdings en managementadviesbureaus;2008 1e kwartaal;;
276;70 Holdings en managementadviesbureaus;2008 2e kwartaal;;
277;70 Holdings en managementadviesbureaus;2008 3e kwartaal;;
278;70 Holdings en managementadviesbureaus;2008 4e kwartaal;;
279;70 Holdings en managementadviesbureaus;2008;;
280;70 Holdings en managementadviesbureaus;2009 1e kwartaal;;
281;70 Holdings en managementadviesbureaus;2009 2e kwartaal;;
282;70 Holdings en managementadviesbureaus;2009 3e kwartaal;;
283;70 Holdings en managementadviesbureaus;2009 4e kwartaal;;
284;70 Holdings en managementadviesbureaus;2009;;
285;70 Holdings en managementadviesbureaus;2010 1e kwartaal;;
286;70 Holdings en managementadviesbureaus;2010 2e kwartaal;;
287;70 Holdings en managementadviesbureaus;2010 3e kwartaal;;
288;70 Holdings en managementadviesbureaus;2010 4e kwartaal;;
289;70 Holdings en managementadviesbureaus;2010;;
290;70 Holdings en managementadviesbureaus;2011 1e kwartaal;;
291;70 Holdings en managementadviesbureaus;2011 2e kwartaal;;
292;70 Holdings en managementadviesbureaus;2011 3e kwartaal;;
293;70 Holdings en managementadviesbureaus;2011 4e kwartaal;;
294;70 Holdings en managementadviesbureaus;2011;;
295;70 Holdings en managementadviesbureaus;2012 1e kwartaal;;
296;70 Holdings en managementadviesbureaus;2012 2e kwartaal;;
297;70 Holdings en managementadviesbureaus;2012 3e kwartaal;;
298;70 Holdings en managementadviesbureaus;2012 4e kwartaal;;
299;70 Holdings en managementadviesbureaus;2012;;
300;70 Holdings en managementadviesbureaus;2013 1e kwartaal;;
301;70 Holdings en managementadviesbureaus;2013 2e kwartaal;;
302;70 Holdings en managementadviesbureaus;2013 3e kwartaal;;
303;70 Holdings en managementadviesbureaus;2013 4e kwartaal;;
304;70 Holdings en managementadviesbureaus;2013;;
305;70 Holdings en managementadviesbureaus;2014 1e kwartaal;;
306;70 Holdings en managementadviesbureaus;2014 2e kwartaal;;
307;70 Holdings en managementadviesbureaus;2014 3e kwartaal;;
308;70 Holdings en managementadviesbureaus;2014 4e kwartaal;;
309;70 Holdings en managementadviesbureaus;2014;;
310;70 Holdings en managementadviesbureaus;2015 1e kwartaal;;
311;70 Holdings en managementadviesbureaus;2015 2e kwartaal;;
312;70 Holdings en managementadviesbureaus;2015 3e kwartaal;;
313;70 Holdings en managementadviesbureaus;2015 4e kwartaal;;
314;70 Holdings en managementadviesbureaus;2015;;
315;70 Holdings en managementadviesbureaus;2016 1e kwartaal;;
316;70 Holdings en managementadviesbureaus;2016 2e kwartaal;;
317;70 Holdings en managementadviesbureaus;2016 3e kwartaal;;
318;70 Holdings en managementadviesbureaus;2016 4e kwartaal;;
319;70 Holdings en managementadviesbureaus;2016;;
320;70 Holdings en managementadviesbureaus;2017 1e kwartaal;;
321;70 Holdings en managementadviesbureaus;2017 2e kwartaal;;
322;70 Holdings en managementadviesbureaus;2017 3e kwartaal;;
323;70 Holdings en managementadviesbureaus;2017 4e kwartaal;;
324;70 Holdings en managementadviesbureaus;2017;;
325;702 Managementadviesbureaus;2005 1e kwartaal;74.6;
326;702 Managementadviesbureaus;2005 2e kwartaal;85.0;
327;702 Managementadviesbureaus;2005 3e kwartaal;79.6;
328;702 Managementadviesbureaus;2005 4e kwartaal;107.2;
329;702 Managementadviesbureaus;2005;86.6;
330;702 Managementadviesbureaus;2006 1e kwartaal;84.5;13.3
331;702 Managementadviesbureaus;2006 2e kwartaal;96.1;13.0
332;702 Managementadviesbureaus;2006 3e kwartaal;94.8;19.2
333;702 Managementadviesbureaus;2006 4e kwartaal;123.9;15.5
334;702 Managementadviesbureaus;2006;99.8;15.3
335;702 Managementadviesbureaus;2007 1e kwartaal;97.2;15.1
336;702 Managementadviesbureaus;2007 2e kwartaal;109.7;14.2
337;702 Managementadviesbureaus;2007 3e kwartaal;106.1;11.9
338;702 Managementadviesbureaus;2007 4e kwartaal;135.1;9.1
339;702 Managementadviesbureaus;2007;112.1;12.3
340;702 Managementadviesbureaus;2008 1e kwartaal;104.8;7.8
341;702 Managementadviesbureaus;2008 2e kwartaal;117.6;7.2
342;702 Managementadviesbureaus;2008 3e kwartaal;115.9;9.2
343;702 Managementadviesbureaus;2008 4e kwartaal;144.0;6.6
344;702 Managementadviesbureaus;2008;120.6;7.6
345;702 Managementadviesbureaus;2009 1e kwartaal;108.6;3.6
346;702 Managementadviesbureaus;2009 2e kwartaal;111.8;-5.0
347;702 Managementadviesbureaus;2009 3e kwartaal;101.8;-12.2
348;702 Managementadviesbureaus;2009 4e kwartaal;124.2;-13.7
349;702 Managementadviesbureaus;2009;111.6;-7.5
350;702 Managementadviesbureaus;2010 1e kwartaal;92.8;-14.5
351;702 Managementadviesbureaus;2010 2e kwartaal;96.3;-13.9
352;702 Managementadviesbureaus;2010 3e kwartaal;91.9;-9.8
353;702 Managementadviesbureaus;2010 4e kwartaal;119.0;-4.2
354;702 Managementadviesbureaus;2010;100.0;-10.4
355;702 Managementadviesbureaus;2011 1e kwartaal;90.2;-2.8
356;702 Managementadviesbureaus;2011 2e kwartaal;97.3;1.1
357;702 Managementadviesbureaus;2011 3e kwartaal;91.3;-0.6
358;702 Managementadviesbureaus;2011 4e kwartaal;115.7;-2.8
359;702 Managementadviesbureaus;2011;98.6;-1.4
360;702 Managementadviesbureaus;2012 1e kwartaal;96.4;6.8
361;702 Managementadviesbureaus;2012 2e kwartaal;101.9;4.7
362;702 Managementadviesbureaus;2012 3e kwartaal;95.8;4.9
363;702 Managementadviesbureaus;2012 4e kwartaal;114.5;-1.1
364;702 Managementadviesbureaus;2012;102.1;3.5
365;702 Managementadviesbureaus;2013 1e kwartaal;94.9;-1.6
366;702 Managementadviesbureaus;2013 2e kwartaal;103.1;1.2
367;702 Managementadviesbureaus;2013 3e kwartaal;95.4;-0.4
368;702 Managementadviesbureaus;2013 4e kwartaal;120.3;5.1
369;702 Managementadviesbureaus;2013;103.4;1.2
370;702 Managementadviesbureaus;2014 1e kwartaal;98.3;3.6
371;702 Managementadviesbureaus;2014 2e kwartaal;105.0;1.8
372;702 Managementadviesbureaus;2014 3e kwartaal;99.2;4.1
373;702 Managementadviesbureaus;2014 4e kwartaal;126.9;5.5
374;702 Managementadviesbureaus;2014;107.4;3.8
375;702 Managementadviesbureaus;2015 1e kwartaal;102.6;4.4
376;702 Managementadviesbureaus;2015 2e kwartaal;112.9;7.6
377;702 Managementadviesbureaus;2015 3e kwartaal;108.0;8.8
378;702 Managementadviesbureaus;2015 4e kwartaal;135.7;6.9
379;702 Managementadviesbureaus;2015;114.8;6.9
380;702 Managementadviesbureaus;2016 1e kwartaal;110.6;7.8
381;702 Managementadviesbureaus;2016 2e kwartaal;119.2;5.5
382;702 Managementadviesbureaus;2016 3e kwartaal;111.9;3.6
383;702 Managementadviesbureaus;2016 4e kwartaal;139.7;3.0
384;702 Managementadviesbureaus;2016;120.4;4.8
385;702 Managementadviesbureaus;2017 1e kwartaal;117.2;6.0
386;702 Managementadviesbureaus;2017 2e kwartaal;127.1;6.7
387;702 Managementadviesbureaus;2017 3e kwartaal;120.8;7.9
388;702 Managementadviesbureaus;2017 4e kwartaal;154.8;10.8
389;702 Managementadviesbureaus;2017;130.0;8.0
390;71 Architecten-, ingenieursbureaus e.d.;2005 1e kwartaal;71.7;
391;71 Architecten-, ingenieursbureaus e.d.;2005 2e kwartaal;79.7;
392;71 Architecten-, ingenieursbureaus e.d.;2005 3e kwartaal;81.5;
393;71 Architecten-, ingenieursbureaus e.d.;2005 4e kwartaal;95.3;
394;71 Architecten-, ingenieursbureaus e.d.;2005;82.1;
395;71 Architecten-, ingenieursbureaus e.d.;2006 1e kwartaal;79.8;11.3
396;71 Architecten-, ingenieursbureaus e.d.;2006 2e kwartaal;89.6;12.3
397;71 Architecten-, ingenieursbureaus e.d.;2006 3e kwartaal;85.8;5.2
398;71 Architecten-, ingenieursbureaus e.d.;2006 4e kwartaal;104.4;9.5
399;71 Architecten-, ingenieursbureaus e.d.;2006;89.9;9.5
400;71 Architecten-, ingenieursbureaus e.d.;2007 1e kwartaal;87.3;9.4
401;71 Architecten-, ingenieursbureaus e.d.;2007 2e kwartaal;97.1;8.3
402;71 Architecten-, ingenieursbureaus e.d.;2007 3e kwartaal;89.5;4.4
403;71 Architecten-, ingenieursbureaus e.d.;2007 4e kwartaal;112.2;7.4
404;71 Architecten-, ingenieursbureaus e.d.;2007;96.5;7.4
405;71 Architecten-, ingenieursbureaus e.d.;2008 1e kwartaal;94.4;8.2
406;71 Architecten-, ingenieursbureaus e.d.;2008 2e kwartaal;104.3;7.4
