ID;Werkloosheidsduur;Persoonskenmerken;Perioden;Werklozen_1
202;3;7;2007;36
203;3;8;2001;12
204;3;8;2002;13
205;3;8;2003;30
206;3;8;2004;32
207;3;8;2005;34
208;3;8;2006;27
209;3;8;2007;19
210;3;9;2001;18
211;3;9;2002;20
212;3;9;2003;34
213;3;9;2004;35
214;3;9;2005;36
215;3;9;2006;23
216;3;9;2007;22
217;3;Onderwijsniveau: middelbaar;2001;14
218;3;Onderwijsniveau: middelbaar;2002;16
219;3;Onderwijsniveau: middelbaar;2003;26
220;3;Onderwijsniveau: middelbaar;2004;40
221;3;Onderwijsniveau: middelbaar;2005;42
222;3;Onderwijsniveau: middelbaar;2006;32
223;3;Onderwijsniveau: middelbaar;2007;24
224;3;Onderwijsnibeau: hoog;2001;7
225;3;Onderwijsnibeau: hoog;2002;12
226;3;Onderwijsnibeau: hoog;2003;17
227;3;Onderwijsnibeau: hoog;2004;22
228;3;Onderwijsnibeau: hoog;2005;19
229;3;Onderwijsnibeau: hoog;2006;13
230;3;Onderwijsnibeau: hoog;2007;9
231;4;3;2001;36
232;4;3;2002;37
233;4;3;2003;60
234;4;3;2004;97
235;4;3;2005;93
236;4;3;2006;76
237;4;3;2007;59
238;4;1;2001;14
239;4;1;2002;13
240;4;1;2003;29
241;4;1;2004;54
242;4;1;2005;50
243;4;1;2006;36
244;4;1;2007;25
245;4;2;2001;22
246;4;2;2002;24
247;4;2;2003;31
248;4;2;2004;44
249;4;2;2005;43
250;4;2;2006;40
251;4;2;2007;34
252;4;4;2001;7
253;4;4;2002;5
254;4;4;2003;10
255;4;4;2004;16
256;4;4;2005;13
257;4;4;2006;10
258;4;4;2007;7
259;4;5;2001;17
260;4;5;2002;19
261;4;5;2003;31
262;4;5;2004;52
263;4;5;2005;48
264;4;5;2006;35
265;4;5;2007;24
266;4;6;2001;12
267;4;6;2002;13
268;4;6;2003;19
269;4;6;2004;29
270;4;6;2005;32
271;4;6;2006;31
272;4;6;2007;29
273;4;7;2001;25
274;4;7;2002;23
275;4;7;2003;38
276;4;7;2004;58
277;4;7;2005;56
278;4;7;2006;44
279;4;7;2007;40
280;4;8;2001;11
281;4;8;2002;15
282;4;8;2003;23
283;4;8;2004;39
284;4;8;2005;37
285;4;8;2006;31
286;4;8;2007;20
287;4;9;2001;16
288;4;9;2002;15
289;4;9;2003;23
290;4;9;2004;35
291;4;9;2005;34
292;4;9;2006;31
293;4;9;2007;21
294;4;Onderwijsniveau: middelbaar;2001;13
295;4;Onderwijsniveau: middelbaar;2002;15
296;4;Onderwijsniveau: middelbaar;2003;25
297;4;Onderwijsniveau: middelbaar;2004;39
298;4;Onderwijsniveau: middelbaar;2005;40
299;4;Onderwijsniveau: middelbaar;2006;30
300;4;Onderwijsniveau: middelbaar;2007;26
301;4;Onderwijsnibeau: hoog;2001;7
302;4;Onderwijsnibeau: hoog;2002;7
303;4;Onderwijsnibeau: hoog;2003;13
304;4;Onderwijsnibeau: hoog;2004;22
305;4;Onderwijsnibeau: hoog;2005;18
306;4;Onderwijsnibeau: hoog;2006;14
307;4;Onderwijsnibeau: hoog;2007;12
308;5;3;2001;53
309;5;3;2002;51
310;5;3;2003;65
311;5;3;2004;81
312;5;3;2005;110
313;5;3;2006;108
314;5;3;2007;85
315;5;1;2001;25
316;5;1;2002;24
317;5;1;2003;31
318;5;1;2004;42
319;5;1;2005;57
320;5;1;2006;54
321;5;1;2007;40
322;5;2;2001;28
323;5;2;2002;28
324;5;2;2003;34
325;5;2;2004;39
326;5;2;2005;53
327;5;2;2006;54
328;5;2;2007;44
329;5;4;2001;4
330;5;4;2002;3
331;5;4;2003;5
332;5;4;2004;7
333;5;4;2005;7
334;5;4;2006;8
335;5;4;2007;4
336;5;5;2001;28
337;5;5;2002;25
338;5;5;2003;30
339;5;5;2004;38
340;5;5;2005;52
341;5;5;2006;43
342;5;5;2007;30
343;5;6;2001;21
344;5;6;2002;24
345;5;6;2003;29
346;5;6;2004;36
347;5;6;2005;51
348;5;6;2006;57
349;5;6;2007;51
350;5;7;2001;35
351;5;7;2002;33
352;5;7;2003;41
353;5;7;2004;53
354;5;7;2005;66
355;5;7;2006;68
356;5;7;2007;57
357;5;8;2001;18
358;5;8;2002;18
359;5;8;2003;24
360;5;8;2004;29
361;5;8;2005;44
362;5;8;2006;40
363;5;8;2007;28
364;5;9;2001;31
365;5;9;2002;26
366;5;9;2003;34
367;5;9;2004;34
368;5;9;2005;39
369;5;9;2006;42
370;5;9;2007;31
371;5;Onderwijsniveau: middelbaar;2001;14
372;5;Onderwijsniveau: middelbaar;2002;14
373;5;Onderwijsniveau: middelbaar;2003;22
374;5;Onderwijsniveau: middelbaar;2004;29
375;5;Onderwijsniveau: middelbaar;2005;46
376;5;Onderwijsniveau: middelbaar;2006;46
377;5;Onderwijsniveau: middelbaar;2007;37
378;5;Onderwijsnibeau: hoog;2001;8
379;5;Onderwijsnibeau: hoog;2002;11
380;5;Onderwijsnibeau: hoog;2003;9
381;5;Onderwijsnibeau: hoog;2004;17
382;5;Onderwijsnibeau: hoog;2005;23
383;5;Onderwijsnibeau: hoog;2006;18
384;5;Onderwijsnibeau: hoog;2007;16
