ID;RegioS;Perioden;UitgavenAanDeBrandweer_1;UitgavenAanDeBrandweerPerInwoner_2
247;Gelderland-Zuid (VR);2012;34;64
248;Gelderland-Zuid (VR);2013;34;62
249;Gelderland-Zuid (VR);2014;31;58
250;Gelderland-Zuid (VR);2015;33;60
251;Gelderland-Zuid (VR);2016;33;60
252;Utrecht (VR);2005;60;51
253;Utrecht (VR);2006;66;56
254;Utrecht (VR);2007;74;63
255;Utrecht (VR);2008;82;68
256;Utrecht (VR);2009;90;74
257;Utrecht (VR);2010;90;74
258;Utrecht (VR);2011;88;72
259;Utrecht (VR);2012;87;70
260;Utrecht (VR);2013;86;69
261;Utrecht (VR);2014;83;66
262;Utrecht (VR);2015;81;64
263;Utrecht (VR);2016;83;65
264;Noord-Holland-Noord (VR);2005;31;49
265;Noord-Holland-Noord (VR);2006;31;50
266;Noord-Holland-Noord (VR);2007;35;56
267;Noord-Holland-Noord (VR);2008;37;58
268;Noord-Holland-Noord (VR);2009;42;65
269;Noord-Holland-Noord (VR);2010;43;67
270;Noord-Holland-Noord (VR);2011;43;67
271;Noord-Holland-Noord (VR);2012;44;69
272;Noord-Holland-Noord (VR);2013;44;68
273;Noord-Holland-Noord (VR);2014;47;73
274;Noord-Holland-Noord (VR);2015;49;76
275;Noord-Holland-Noord (VR);2016;47;73
276;Zaanstreek-Waterland (VR);2005;17;54
277;Zaanstreek-Waterland (VR);2006;16;51
278;Zaanstreek-Waterland (VR);2007;13;43
279;Zaanstreek-Waterland (VR);2008;21;65
280;Zaanstreek-Waterland (VR);2009;24;76
281;Zaanstreek-Waterland (VR);2010;26;81
282;Zaanstreek-Waterland (VR);2011;25;77
283;Zaanstreek-Waterland (VR);2012;26;81
284;Zaanstreek-Waterland (VR);2013;27;84
285;Zaanstreek-Waterland (VR);2014;28;86
286;Zaanstreek-Waterland (VR);2015;25;78
287;Zaanstreek-Waterland (VR);2016;28;83
288;Kennemerland (VR);2005;23;46
289;Kennemerland (VR);2006;24;47
290;Kennemerland (VR);2007;27;53
291;Kennemerland (VR);2008;42;81
292;Kennemerland (VR);2009;42;82
293;Kennemerland (VR);2010;45;87
294;Kennemerland (VR);2011;45;86
295;Kennemerland (VR);2012;43;82
296;Kennemerland (VR);2013;42;80
297;Kennemerland (VR);2014;41;78
298;Kennemerland (VR);2015;40;75
299;Kennemerland (VR);2016;42;78
300;Amsterdam-Amstelland (VR);2005;62;69
301;Amsterdam-Amstelland (VR);2006;68;75
302;Amsterdam-Amstelland (VR);2007;80;88
303;Amsterdam-Amstelland (VR);2008;86;93
304;Amsterdam-Amstelland (VR);2009;88;95
305;Amsterdam-Amstelland (VR);2010;93;98
306;Amsterdam-Amstelland (VR);2011;84;87
307;Amsterdam-Amstelland (VR);2012;83;85
308;Amsterdam-Amstelland (VR);2013;84;85
309;Amsterdam-Amstelland (VR);2014;82;82
310;Amsterdam-Amstelland (VR);2015;80;79
311;Amsterdam-Amstelland (VR);2016;81;79
312;Gooi en Vechtstreek (VR);2005;13;52
313;Gooi en Vechtstreek (VR);2006;17;71
314;Gooi en Vechtstreek (VR);2007;18;76
315;Gooi en Vechtstreek (VR);2008;17;72
316;Gooi en Vechtstreek (VR);2009;19;77
317;Gooi en Vechtstreek (VR);2010;21;84
318;Gooi en Vechtstreek (VR);2011;19;78
319;Gooi en Vechtstreek (VR);2012;19;77
320;Gooi en Vechtstreek (VR);2013;20;80
321;Gooi en Vechtstreek (VR);2014;20;81
322;Gooi en Vechtstreek (VR);2015;19;77
323;Gooi en Vechtstreek (VR);2016;19;77
324;Haaglanden (VR);2005;56;57
325;Haaglanden (VR);2006;67;68
326;Haaglanden (VR);2007;72;72
327;Haaglanden (VR);2008;74;74
328;Haaglanden (VR);2009;83;82
329;Haaglanden (VR);2010;76;75
330;Haaglanden (VR);2011;78;76
331;Haaglanden (VR);2012;81;78
332;Haaglanden (VR);2013;80;76
333;Haaglanden (VR);2014;79;75
334;Haaglanden (VR);2015;73;69
335;Haaglanden (VR);2016;80;74
336;Hollands-Midden (VR);2005;27;36
337;Hollands-Midden (VR);2006;35;46
338;Hollands-Midden (VR);2007;39;52
339;Hollands-Midden (VR);2008;43;57
340;Hollands-Midden (VR);2009;48;63
341;Hollands-Midden (VR);2010;47;62
342;Hollands-Midden (VR);2011;50;66
343;Hollands-Midden (VR);2012;49;64
344;Hollands-Midden (VR);2013;49;64
345;Hollands-Midden (VR);2014;49;63
346;Hollands-Midden (VR);2015;46;59
347;Hollands-Midden (VR);2016;49;62
348;Rotterdam-Rijnmond (VR);2005;64;52
349;Rotterdam-Rijnmond (VR);2006;71;57
350;Rotterdam-Rijnmond (VR);2007;85;69
351;Rotterdam-Rijnmond (VR);2008;90;73
352;Rotterdam-Rijnmond (VR);2009;94;76
353;Rotterdam-Rijnmond (VR);2010;97;78
354;Rotterdam-Rijnmond (VR);2011;93;74
355;Rotterdam-Rijnmond (VR);2012;96;76
356;Rotterdam-Rijnmond (VR);2013;94;74
357;Rotterdam-Rijnmond (VR);2014;90;71
358;Rotterdam-Rijnmond (VR);2015;89;70
359;Rotterdam-Rijnmond (VR);2016;89;69
360;Zuid-Holland-Zuid (VR);2005;24;50
361;Zuid-Holland-Zuid (VR);2006;29;61
362;Zuid-Holland-Zuid (VR);2007;31;64
363;Zuid-Holland-Zuid (VR);2008;33;69
364;Zuid-Holland-Zuid (VR);2009;35;74
365;Zuid-Holland-Zuid (VR);2010;36;76
366;Zuid-Holland-Zuid (VR);2011;35;73
367;Zuid-Holland-Zuid (VR);2012;38;79
368;Zuid-Holland-Zuid (VR);2013;39;81
369;Zuid-Holland-Zuid (VR);2014;37;76
370;Zuid-Holland-Zuid (VR);2015;26;53
371;Zuid-Holland-Zuid (VR);2016;39;79
372;Zeeland (VR);2005;19;50
373;Zeeland (VR);2006;21;55
374;Zeeland (VR);2007;28;74
375;Zeeland (VR);2008;26;68
376;Zeeland (VR);2009;29;76
377;Zeeland (VR);2010;28;74
378;Zeeland (VR);2011;29;76
379;Zeeland (VR);2012;30;78
380;Zeeland (VR);2013;29;77
381;Zeeland (VR);2014;29;76
382;Zeeland (VR);2015;27;72
383;Zeeland (VR);2016;27;71
384;Midden- en West-Brabant (VR);2005;42;40
385;Midden- en West-Brabant (VR);2006;37;35
386;Midden- en West-Brabant (VR);2007;40;37
387;Midden- en West-Brabant (VR);2008;45;42
388;Midden- en West-Brabant (VR);2009;48;45
389;Midden- en West-Brabant (VR);2010;59;55
390;Midden- en West-Brabant (VR);2011;62;57
391;Midden- en West-Brabant (VR);2012;63;58
392;Midden- en West-Brabant (VR);2013;63;58
393;Midden- en West-Brabant (VR);2014;63;58
394;Midden- en West-Brabant (VR);2015;62;57
395;Midden- en West-Brabant (VR);2016;67;61
396;Brabant-Noord (VR);2005;19;31
397;Brabant-Noord (VR);2006;24;37
398;Brabant-Noord (VR);2007;27;43
399;Brabant-Noord (VR);2008;30;47
400;Brabant-Noord (VR);2009;33;52
401;Brabant-Noord (VR);2010;34;53
402;Brabant-Noord (VR);2011;28;44
403;Brabant-Noord (VR);2012;30;46
404;Brabant-Noord (VR);2013;30;47
405;Brabant-Noord (VR);2014;26;41
406;Brabant-Noord (VR);2015;27;42
407;Brabant-Noord (VR);2016;28;43
408;Brabant-Zuidoost (VR);2005;20;28
409;Brabant-Zuidoost (VR);2006;33;46
410;Brabant-Zuidoost (VR);2007;36;49
411;Brabant-Zuidoost (VR);2008;38;52
412;Brabant-Zuidoost (VR);2009;40;55
413;Brabant-Zuidoost (VR);2010;42;57
414;Brabant-Zuidoost (VR);2011;40;54
415;Brabant-Zuidoost (VR);2012;39;52
416;Brabant-Zuidoost (VR);2013;39;52
417;Brabant-Zuidoost (VR);2014;39;52
418;Brabant-Zuidoost (VR);2015;39;52
419;Brabant-Zuidoost (VR);2016;41;54
420;Limburg-Noord (VR);2005;20;39
421;Limburg-Noord (VR);2006;23;45
422;Limburg-Noord (VR);2007;25;49
423;Limburg-Noord (VR);2008;29;56
424;Limburg-Noord (VR);2009;30;59
425;Limburg-Noord (VR);2010;33;63
426;Limburg-Noord (VR);2011;30;59
427;Limburg-Noord (VR);2012;31;60
428;Limburg-Noord (VR);2013;30;59
429;Limburg-Noord (VR);2014;30;58
430;Limburg-Noord (VR);2015;30;58
431;Limburg-Noord (VR);2016;28;54
432;Limburg-Zuid (VR);2005;22;35
433;Limburg-Zuid (VR);2006;24;39
434;Limburg-Zuid (VR);2007;25;40
435;Limburg-Zuid (VR);2008;33;54
436;Limburg-Zuid (VR);2009;35;58
437;Limburg-Zuid (VR);2010;36;59
438;Limburg-Zuid (VR);2011;37;61
439;Limburg-Zuid (VR);2012;35;57
440;Limburg-Zuid (VR);2013;40;66
441;Limburg-Zuid (VR);2014;38;63
442;Limburg-Zuid (VR);2015;36;60
443;Limburg-Zuid (VR);2016;38;63
444;Flevoland (VR);2005;15;42
445;Flevoland (VR);2006;19;52
446;Flevoland (VR);2007;21;56
447;Flevoland (VR);2008;23;60
448;Flevoland (VR);2009;21;55
449;Flevoland (VR);2010;22;56
450;Flevoland (VR);2011;22;56
451;Flevoland (VR);2012;22;56
452;Flevoland (VR);2013;22;55
453;Flevoland (VR);2014;23;57
454;Flevoland (VR);2015;22;56
455;Flevoland (VR);2016;23;56
456;Noord-Nederland (LD);2005;64;38
457;Noord-Nederland (LD);2006;67;40
458;Noord-Nederland (LD);2007;70;41
459;Noord-Nederland (LD);2008;89;52
460;Noord-Nederland (LD);2009;96;56
461;Noord-Nederland (LD);2010;96;56
462;Noord-Nederland (LD);2011;97;57
463;Noord-Nederland (LD);2012;98;57
464;Noord-Nederland (LD);2013;90;52
465;Noord-Nederland (LD);2014;100;58
466;Noord-Nederland (LD);2015;94;55
467;Noord-Nederland (LD);2016;101;59
468;Oost-Nederland (LD);2005;140;41
469;Oost-Nederland (LD);2006;164;47
470;Oost-Nederland (LD);2007;187;54
471;Oost-Nederland (LD);2008;204;59
472;Oost-Nederland (LD);2009;219;63
473;Oost-Nederland (LD);2010;222;63
474;Oost-Nederland (LD);2011;219;62
475;Oost-Nederland (LD);2012;217;61
476;Oost-Nederland (LD);2013;216;61
477;Oost-Nederland (LD);2014;213;60
478;Oost-Nederland (LD);2015;213;60
479;Oost-Nederland (LD);2016;223;62
480;West-Nederland (LD);2005;396;52
481;West-Nederland (LD);2006;447;59
482;West-Nederland (LD);2007;504;66
483;West-Nederland (LD);2008;549;72
484;West-Nederland (LD);2009;593;77
485;West-Nederland (LD);2010;603;78
486;West-Nederland (LD);2011;589;75
487;West-Nederland (LD);2012;595;76
488;West-Nederland (LD);2013;594;75
489;West-Nederland (LD);2014;585;74
490;West-Nederland (LD);2015;555;69
491;West-Nederland (LD);2016;582;72
492;Zuid-Nederland (LD);2005;123;35
493;Zuid-Nederland (LD);2006;141;40
494;Zuid-Nederland (LD);2007;153;43
495;Zuid-Nederland (LD);2008;174;49
496;Zuid-Nederland (LD);2009;186;52
497;Zuid-Nederland (LD);2010;204;57
498;Zuid-Nederland (LD);2011;197;55
499;Zuid-Nederland (LD);2012;197;55
500;Zuid-Nederland (LD);2013;202;56
501;Zuid-Nederland (LD);2014;196;54
502;Zuid-Nederland (LD);2015;195;54
503;Zuid-Nederland (LD);2016;201;56
