ID;WisselingWerkgever;PositieInWerkkringVoorgaandePeriode;Persoonskenmerken;Perioden;Werknemer_1
28;Totaal;Totaal;Totaal personen;2020 1e kwartaal;7442.0
29;Totaal;Totaal;Totaal personen;2020 2e kwartaal;7367.0
30;Totaal;Totaal;Totaal personen;2020 3e kwartaal;7306.0
31;Totaal;Totaal;Totaal personen;2020 4e kwartaal;7308.0
32;Totaal;Totaal;Totaal personen;2021 1e kwartaal;
33;Totaal;Totaal;Totaal personen;2021 2e kwartaal;7432.0
34;Totaal;Totaal;Totaal personen;2021 3e kwartaal;7475.0
35;Totaal;Totaal;Totaal personen;2021 4e kwartaal;7540.0
36;Totaal;Totaal;Totaal personen;2022 1e kwartaal;7599.0
37;Totaal;Totaal;Totaal personen;2022 2e kwartaal;7659.0
38;Totaal;Totaal;Totaal personen;2022 3e kwartaal;7673.0
39;Totaal;Totaal;Totaal personen;2022 4e kwartaal;7687.0
40;Totaal;Totaal;Totaal personen;2023 1e kwartaal;7761.0
41;Totaal;Totaal;Totaal personen;2023 2e kwartaal;7816.0
42;Totaal;Totaal;Totaal personen;2023  3e kwartaal;7822.0
43;Totaal;Totaal;Totaal personen;2023 4e kwartaal;7836.0
44;Totaal;Totaal;Totaal personen;2024 1e kwartaal;7874.0
45;Totaal;Totaal;Totaal personen;2024 2e kwartaal;7881.0
46;Totaal;Totaal;Totaal personen;2024 3e kwartaal;7861.0
47;Totaal;Totaal;Totaal personen;2024 4e kwartaal;7847.0
48;Totaal;Totaal;Geslacht: Mannen;2013 1e kwartaal;3561.0
49;Totaal;Totaal;Geslacht: Mannen;2013 2e kwartaal;3537.0
50;Totaal;Totaal;Geslacht: Mannen;2013 3e kwartaal;3532.0
51;Totaal;Totaal;Geslacht: Mannen;2013 4e kwartaal;3511.0
52;Totaal;Totaal;Geslacht: Mannen;2014 1e kwartaal;3508.0
53;Totaal;Totaal;Geslacht: Mannen;2014 2e kwartaal;3504.0
54;Totaal;Totaal;Geslacht: Mannen;2014 3e kwartaal;3511.0
55;Totaal;Totaal;Geslacht: Mannen;2014 4e kwartaal;3534.0
56;Totaal;Totaal;Geslacht: Mannen;2015 1e kwartaal;3535.0
57;Totaal;Totaal;Geslacht: Mannen;2015 2e kwartaal;3550.0
58;Totaal;Totaal;Geslacht: Mannen;2015 3e kwartaal;3559.0
59;Totaal;Totaal;Geslacht: Mannen;2015 4e kwartaal;3578.0
60;Totaal;Totaal;Geslacht: Mannen;2016 1e kwartaal;3562.0
61;Totaal;Totaal;Geslacht: Mannen;2016 2e kwartaal;3563.0
62;Totaal;Totaal;Geslacht: Mannen;2016 3e kwartaal;3583.0
63;Totaal;Totaal;Geslacht: Mannen;2016 4e kwartaal;3596.0
64;Totaal;Totaal;Geslacht: Mannen;2017 1e kwartaal;3611.0
65;Totaal;Totaal;Geslacht: Mannen;2017 2e kwartaal;3626.0
66;Totaal;Totaal;Geslacht: Mannen;2017 3e kwartaal;3660.0
67;Totaal;Totaal;Geslacht: Mannen;2017 4e kwartaal;3690.0
68;Totaal;Totaal;Geslacht: Mannen;2018 1e kwartaal;3692.0
69;Totaal;Totaal;Geslacht: Mannen;2018 2e kwartaal;3715.0
70;Totaal;Totaal;Geslacht: Mannen;2018 3e kwartaal;3753.0
71;Totaal;Totaal;Geslacht: Mannen;2018 4e kwartaal;3778.0
72;Totaal;Totaal;Geslacht: Mannen;2019 1e kwartaal;3797.0
73;Totaal;Totaal;Geslacht: Mannen;2019 2e kwartaal;3793.0
74;Totaal;Totaal;Geslacht: Mannen;2019 3e kwartaal;3805.0
75;Totaal;Totaal;Geslacht: Mannen;2019 4e kwartaal;3823.0
76;Totaal;Totaal;Geslacht: Mannen;2020 1e kwartaal;3834.0
77;Totaal;Totaal;Geslacht: Mannen;2020 2e kwartaal;3785.0
78;Totaal;Totaal;Geslacht: Mannen;2020 3e kwartaal;3744.0
79;Totaal;Totaal;Geslacht: Mannen;2020 4e kwartaal;3731.0
80;Totaal;Totaal;Geslacht: Mannen;2021 1e kwartaal;
81;Totaal;Totaal;Geslacht: Mannen;2021 2e kwartaal;3775.0
82;Totaal;Totaal;Geslacht: Mannen;2021 3e kwartaal;3793.0
83;Totaal;Totaal;Geslacht: Mannen;2021 4e kwartaal;3825.0
84;Totaal;Totaal;Geslacht: Mannen;2022 1e kwartaal;3875.0
85;Totaal;Totaal;Geslacht: Mannen;2022 2e kwartaal;3907.0
86;Totaal;Totaal;Geslacht: Mannen;2022 3e kwartaal;3896.0
87;Totaal;Totaal;Geslacht: Mannen;2022 4e kwartaal;3906.0
88;Totaal;Totaal;Geslacht: Mannen;2023 1e kwartaal;3940.0
89;Totaal;Totaal;Geslacht: Mannen;2023 2e kwartaal;4000.0
90;Totaal;Totaal;Geslacht: Mannen;2023  3e kwartaal;3980.0
91;Totaal;Totaal;Geslacht: Mannen;2023 4e kwartaal;3958.0
92;Totaal;Totaal;Geslacht: Mannen;2024 1e kwartaal;3970.0
93;Totaal;Totaal;Geslacht: Mannen;2024 2e kwartaal;3972.0
94;Totaal;Totaal;Geslacht: Mannen;2024 3e kwartaal;3978.0
95;Totaal;Totaal;Geslacht: Mannen;2024 4e kwartaal;3976.0
96;Totaal;Totaal;Geslacht: Vrouwen;2013 1e kwartaal;3336.0
97;Totaal;Totaal;Geslacht: Vrouwen;2013 2e kwartaal;3328.0
98;Totaal;Totaal;Geslacht: Vrouwen;2013 3e kwartaal;3312.0
99;Totaal;Totaal;Geslacht: Vrouwen;2013 4e kwartaal;3306.0
100;Totaal;Totaal;Geslacht: Vrouwen;2014 1e kwartaal;3253.0
101;Totaal;Totaal;Geslacht: Vrouwen;2014 2e kwartaal;3250.0
102;Totaal;Totaal;Geslacht: Vrouwen;2014 3e kwartaal;3261.0
103;Totaal;Totaal;Geslacht: Vrouwen;2014 4e kwartaal;3263.0
104;Totaal;Totaal;Geslacht: Vrouwen;2015 1e kwartaal;3273.0
105;Totaal;Totaal;Geslacht: Vrouwen;2015 2e kwartaal;3271.0
106;Totaal;Totaal;Geslacht: Vrouwen;2015 3e kwartaal;3278.0
107;Totaal;Totaal;Geslacht: Vrouwen;2015 4e kwartaal;3266.0
108;Totaal;Totaal;Geslacht: Vrouwen;2016 1e kwartaal;3275.0
109;Totaal;Totaal;Geslacht: Vrouwen;2016 2e kwartaal;3307.0
110;Totaal;Totaal;Geslacht: Vrouwen;2016 3e kwartaal;3344.0
111;Totaal;Totaal;Geslacht: Vrouwen;2016 4e kwartaal;3360.0
112;Totaal;Totaal;Geslacht: Vrouwen;2017 1e kwartaal;3365.0
113;Totaal;Totaal;Geslacht: Vrouwen;2017 2e kwartaal;3384.0
114;Totaal;Totaal;Geslacht: Vrouwen;2017 3e kwartaal;3417.0
115;Totaal;Totaal;Geslacht: Vrouwen;2017 4e kwartaal;3429.0
116;Totaal;Totaal;Geslacht: Vrouwen;2018 1e kwartaal;3456.0
117;Totaal;Totaal;Geslacht: Vrouwen;2018 2e kwartaal;3479.0
118;Totaal;Totaal;Geslacht: Vrouwen;2018 3e kwartaal;3506.0
119;Totaal;Totaal;Geslacht: Vrouwen;2018 4e kwartaal;3534.0
120;Totaal;Totaal;Geslacht: Vrouwen;2019 1e kwartaal;3560.0
121;Totaal;Totaal;Geslacht: Vrouwen;2019 2e kwartaal;3584.0
122;Totaal;Totaal;Geslacht: Vrouwen;2019 3e kwartaal;3616.0
123;Totaal;Totaal;Geslacht: Vrouwen;2019 4e kwartaal;3599.0
124;Totaal;Totaal;Geslacht: Vrouwen;2020 1e kwartaal;3608.0
125;Totaal;Totaal;Geslacht: Vrouwen;2020 2e kwartaal;3581.0
126;Totaal;Totaal;Geslacht: Vrouwen;2020 3e kwartaal;3562.0
127;Totaal;Totaal;Geslacht: Vrouwen;2020 4e kwartaal;3577.0
128;Totaal;Totaal;Geslacht: Vrouwen;2021 1e kwartaal;
129;Totaal;Totaal;Geslacht: Vrouwen;2021 2e kwartaal;3657.0
130;Totaal;Totaal;Geslacht: Vrouwen;2021 3e kwartaal;3682.0
131;Totaal;Totaal;Geslacht: Vrouwen;2021 4e kwartaal;3714.0
132;Totaal;Totaal;Geslacht: Vrouwen;2022 1e kwartaal;3724.0
133;Totaal;Totaal;Geslacht: Vrouwen;2022 2e kwartaal;3752.0
134;Totaal;Totaal;Geslacht: Vrouwen;2022 3e kwartaal;3776.0
135;Totaal;Totaal;Geslacht: Vrouwen;2022 4e kwartaal;3781.0
136;Totaal;Totaal;Geslacht: Vrouwen;2023 1e kwartaal;3820.0
137;Totaal;Totaal;Geslacht: Vrouwen;2023 2e kwartaal;3816.0
138;Totaal;Totaal;Geslacht: Vrouwen;2023  3e kwartaal;3842.0
139;Totaal;Totaal;Geslacht: Vrouwen;2023 4e kwartaal;3878.0
140;Totaal;Totaal;Geslacht: Vrouwen;2024 1e kwartaal;3904.0
141;Totaal;Totaal;Geslacht: Vrouwen;2024 2e kwartaal;3909.0
142;Totaal;Totaal;Geslacht: Vrouwen;2024 3e kwartaal;3883.0
143;Totaal;Totaal;Geslacht: Vrouwen;2024 4e kwartaal;3871.0
144;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2013 1e kwartaal;1165.0
145;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2013 2e kwartaal;1171.0
146;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2013 3e kwartaal;1145.0
147;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2013 4e kwartaal;1139.0
148;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2014 1e kwartaal;1141.0
149;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2014 2e kwartaal;1129.0
150;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2014 3e kwartaal;1139.0
151;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2014 4e kwartaal;1132.0
152;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2015 1e kwartaal;1158.0
153;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2015 2e kwartaal;1183.0
154;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2015 3e kwartaal;1173.0
155;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2015 4e kwartaal;1174.0
156;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2016 1e kwartaal;1140.0
157;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2016 2e kwartaal;1145.0
158;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2016 3e kwartaal;1177.0
159;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2016 4e kwartaal;1186.0
160;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2017 1e kwartaal;1200.0
161;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2017 2e kwartaal;1219.0
162;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2017 3e kwartaal;1228.0
163;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2017 4e kwartaal;1263.0
164;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2018 1e kwartaal;1272.0
165;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2018 2e kwartaal;1259.0
166;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2018 3e kwartaal;1257.0
167;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2018 4e kwartaal;1273.0
168;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2019 1e kwartaal;1299.0
169;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2019 2e kwartaal;1285.0
170;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2019 3e kwartaal;1294.0
171;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2019 4e kwartaal;1305.0
172;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2020 1e kwartaal;1318.0
173;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2020 2e kwartaal;1254.0
174;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2020 3e kwartaal;1181.0
175;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2020 4e kwartaal;1237.0
176;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2021 1e kwartaal;
177;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2021 2e kwartaal;1270.0
178;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2021 3e kwartaal;1270.0
179;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2021 4e kwartaal;1322.0
180;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2022 1e kwartaal;1349.0
181;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2022 2e kwartaal;1353.0
182;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2022 3e kwartaal;1346.0
183;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2022 4e kwartaal;1352.0
184;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2023 1e kwartaal;1386.0
185;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2023 2e kwartaal;1408.0
186;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2023  3e kwartaal;1391.0
187;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2023 4e kwartaal;1397.0
188;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2024 1e kwartaal;1414.0
189;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2024 2e kwartaal;1416.0
190;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2024 3e kwartaal;1400.0
191;Totaal;Totaal;Leeftijd: 15 tot 25 jaar;2024 4e kwartaal;1388.0
192;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2013 1e kwartaal;3010.0
193;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2013 2e kwartaal;2975.0
194;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2013 3e kwartaal;2963.0
195;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2013 4e kwartaal;2970.0
196;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2014 1e kwartaal;2934.0
197;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2014 2e kwartaal;2929.0
198;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2014 3e kwartaal;2913.0
199;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2014 4e kwartaal;2933.0
200;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2015 1e kwartaal;2909.0
201;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2015 2e kwartaal;2903.0
202;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2015 3e kwartaal;2907.0
203;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2015 4e kwartaal;2907.0
204;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2016 1e kwartaal;2909.0
205;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2016 2e kwartaal;2909.0
206;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2016 3e kwartaal;2901.0
207;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2016 4e kwartaal;2915.0
208;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2017 1e kwartaal;2899.0
209;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2017 2e kwartaal;2913.0
210;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2017 3e kwartaal;2944.0
211;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2017 4e kwartaal;2939.0
212;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2018 1e kwartaal;2937.0
213;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2018 2e kwartaal;2974.0
214;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2018 3e kwartaal;3008.0
215;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2018 4e kwartaal;3043.0
216;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2019 1e kwartaal;3022.0
217;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2019 2e kwartaal;3028.0
218;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2019 3e kwartaal;3057.0
219;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2019 4e kwartaal;3063.0
220;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2020 1e kwartaal;3060.0
221;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2020 2e kwartaal;3050.0
222;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2020 3e kwartaal;3043.0
223;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2020 4e kwartaal;3021.0
224;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2021 1e kwartaal;
225;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2021 2e kwartaal;3127.0
226;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2021 3e kwartaal;3161.0
227;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2021 4e kwartaal;3171.0
228;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2022 1e kwartaal;3198.0
229;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2022 2e kwartaal;3221.0
230;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2022 3e kwartaal;3230.0
231;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2022 4e kwartaal;3256.0
232;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2023 1e kwartaal;3237.0
233;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2023 2e kwartaal;3254.0
234;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2023  3e kwartaal;3271.0
235;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2023 4e kwartaal;3268.0
236;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2024 1e kwartaal;3269.0
237;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2024 2e kwartaal;3283.0
238;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2024 3e kwartaal;3299.0
239;Totaal;Totaal;Leeftijd: 25 tot 45 jaar;2024 4e kwartaal;3314.0
240;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2013 1e kwartaal;2722.0
241;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2013 2e kwartaal;2720.0
242;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2013 3e kwartaal;2736.0
243;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2013 4e kwartaal;2708.0
244;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2014 1e kwartaal;2686.0
245;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2014 2e kwartaal;2696.0
246;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2014 3e kwartaal;2720.0
247;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2014 4e kwartaal;2732.0
248;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2015 1e kwartaal;2741.0
249;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2015 2e kwartaal;2736.0
250;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2015 3e kwartaal;2757.0
251;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2015 4e kwartaal;2764.0
252;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2016 1e kwartaal;2788.0
253;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2016 2e kwartaal;2816.0
254;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2016 3e kwartaal;2849.0
255;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2016 4e kwartaal;2855.0
256;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2017 1e kwartaal;2877.0
257;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2017 2e kwartaal;2878.0
258;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2017 3e kwartaal;2906.0
259;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2017 4e kwartaal;2917.0
260;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2018 1e kwartaal;2940.0
261;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2018 2e kwartaal;2962.0
262;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2018 3e kwartaal;2994.0
263;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2018 4e kwartaal;2997.0
264;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2019 1e kwartaal;3035.0
265;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2019 2e kwartaal;3063.0
266;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2019 3e kwartaal;3070.0
267;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2019 4e kwartaal;3053.0
268;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2020 1e kwartaal;3065.0
269;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2020 2e kwartaal;3063.0
270;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2020 3e kwartaal;3082.0
271;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2020 4e kwartaal;3050.0
272;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2021 1e kwartaal;
273;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2021 2e kwartaal;3035.0
274;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2021 3e kwartaal;3045.0
275;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2021 4e kwartaal;3046.0
276;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2022 1e kwartaal;3051.0
277;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2022 2e kwartaal;3084.0
278;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2022 3e kwartaal;3096.0
279;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2022 4e kwartaal;3079.0
280;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2023 1e kwartaal;3137.0
281;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2023 2e kwartaal;3154.0
282;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2023  3e kwartaal;3160.0
283;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2023 4e kwartaal;3171.0
284;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2024 1e kwartaal;3191.0
285;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2024 2e kwartaal;3181.0
286;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2024 3e kwartaal;3161.0
287;Totaal;Totaal;Leeftijd: 45 tot 75 jaar;2024 4e kwartaal;3146.0
288;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2013 1e kwartaal;1627.0
289;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2013 2e kwartaal;1589.0
290;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2013 3e kwartaal;1531.0
291;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2013 4e kwartaal;1528.0
292;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2014 1e kwartaal;1511.0
293;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2014 2e kwartaal;1505.0
294;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2014 3e kwartaal;1472.0
295;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2014 4e kwartaal;1512.0
296;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2015 1e kwartaal;1508.0
297;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2015 2e kwartaal;1498.0
298;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2015 3e kwartaal;1458.0
299;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2015 4e kwartaal;1470.0
300;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2016 1e kwartaal;1481.0
301;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2016 2e kwartaal;1479.0
302;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2016 3e kwartaal;1461.0
303;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2016 4e kwartaal;1475.0
304;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2017 1e kwartaal;1502.0
305;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2017 2e kwartaal;1477.0
306;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2017 3e kwartaal;1443.0
307;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2017 4e kwartaal;1498.0
308;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2018 1e kwartaal;1530.0
309;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2018 2e kwartaal;1529.0
310;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2018 3e kwartaal;1491.0
311;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2018 4e kwartaal;1534.0
312;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2019 1e kwartaal;1552.0
313;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2019 2e kwartaal;1555.0
314;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2019 3e kwartaal;1504.0
315;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2019 4e kwartaal;1514.0
316;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2020 1e kwartaal;1527.0
317;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2020 2e kwartaal;1462.0
318;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2020 3e kwartaal;1402.0
319;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2020 4e kwartaal;1419.0
320;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2021 1e kwartaal;
