ID;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;Samenwonend_5;OuderInEenouderhuishouden_6;OverigLidHuishouden_7;PersonenInInstitutioneleHuishoudens_8;TotaalParticuliereHuishoudens_9;Eenpersoonshuishouden_10;TotaalMeerpersoonshuishoudens_11;Paar_12;Eenouderhuishouden_13;OverigHuishouden_14;TotaalParticuliereHuishoudens_15;Eenpersoonshuishouden_16;TotaalMeerpersoonshuishoudens_17;k_2Personen_18;k_3Personen_19;k_4Personen_20;k_5OfMeerPersonen_21;GemiddeldeHuishoudensgrootte_22;TotaalHuishoudensMetKinderen_23;k_1Kind_24;k_2Kinderen_25;k_3OfMeerKinderen_26;TotaalParenMetKinderen_27;k_1Kind_28;k_2Kinderen_29;k_3OfMeerKinderen_30;TotaalEenouderhuishoudens_31;k_1Kind_32;k_2Kinderen_33;k_3OfMeerKinderen_34;TotaalHuishoudensMetKinderen_35;JongsteKind0Tot3Jaar_36;JongsteKind3Tot6Jaar_37;JongsteKind6Tot12Jaar_38;JongsteKind12Tot18Jaar_39;JongsteKind18JaarOfOuder_40
10;2023;17294398;17079419;4413659;3199464;8657339;541246;267711;214979;8112851;3199458;4913393;4328676;541234;43483;8112851;3199458;4913393;2681132;931950;927166;373145;2.11;2509685;1091903;1046259;371523;1968451;760093;883068;325290;541234;331810;163191;46233;2509687;491196;312417;504935;519361;681778
11;2024;17342391;17125463;4405457;3235882;8673667;540606;269851;216928;8157131;3235879;4921252;4336839;540601;43812;8157131;3235879;4921252;2692311;930226;926613;372102;2.1;2505620;1089923;1045775;369922;1965019;758472;882669;323878;540601;331451;163106;46044;2505617;493100;314492;507425;512852;677748
12;2025;17389090;17169890;4399458;3271369;8687295;539872;271896;219200;8198959;3271360;4927599;4343650;539865;44084;8198959;3271360;4927599;2701164;929112;926104;371219;2.09;2502456;1088813;1045182;368461;1962591;757672;882315;322604;539865;331141;162867;45857;2502458;494839;316613;511253;507992;671761
13;2026;17434079;17212276;4395552;3305970;8697924;538904;273926;221803;8238190;3305970;4932220;4348963;538905;44352;8238190;3305970;4932220;2707900;926488;926719;371113;2.09;2499296;1085647;1045833;367816;1960391;755214;883091;322086;538905;330433;162742;45730;2499299;496230;318659;515842;500262;668306
14;2027;17477092;17252374;4393379;3339810;8705387;537821;275977;224718;8274903;3339817;4935086;4352693;537814;44579;8274903;3339817;4935086;2712359;923357;928144;371226;2.08;2496609;1081982;1047298;367329;1958795;752326;884717;321752;537814;329656;162581;45577;2496610;497428;320511;520562;491737;666372
15;2028;17518107;17290193;4392931;3372819;8709678;536697;278068;227914;8309128;3372826;4936302;4354834;536673;44795;8309128;3372826;4936302;2714490;919720;930350;371742;2.08;2494432;1077562;1049622;367248;1957759;748850;887122;321787;536673;328712;162500;45461;2494429;498531;322139;525242;483255;665262
16;2029;17556996;17325605;4394205;3404729;8710912;535560;280199;231391;8340756;3404725;4936031;4355454;535564;45013;8340756;3404725;4936031;2714416;915534;933495;372586;2.08;2492845;1072342;1052997;367506;1957281;744711;890464;322106;535564;327631;162533;45400;2492852;499526;323382;529342;480083;660519
17;2030;17593728;17358607;4397390;3435092;8709297;534519;282309;235121;8369440;3435094;4934346;4354650;534509;45187;8369440;3435094;4934346;2712345;910867;937430;373704;2.07;2491855;1066642;1057186;368027;1957346;740093;894607;322646;534509;326549;162579;45381;2491860;500086;324237;533158;482548;651831
18;2031;17628083;17388993;4402404;3463403;8705100;533738;284348;239090;8395023;3463412;4931611;4352547;533727;45337;8395023;3463412;4931611;2708196;905705;942425;375285;2.07;2491906;1060216;1062651;369039;1958179;734754;899809;323616;533727;325462;162842;45423;2491901;500262;324920;536670;486248;643801
19;2032;17659947;17416701;4408760;3489993;8698592;532982;286374;243246;8417717;3489986;4927731;4349291;532979;45461;8417717;3489986;4927731;2702723;900704;947378;376926;2.07;2492229;1054073;1068091;370065;1959250;729595;905000;324655;532979;324478;163091;45410;2492227;499821;325484;539632;490627;636663
20;2033;17689127;17441554;4415841;3514851;8690051;532431;288380;247573;8437856;3514837;4923019;4345027;532432;45560;8437856;3514837;4923019;2695986;895875;952384;378774;2.07;2493041;1048057;1073658;371326;1960609;724506;910217;325886;532432;323551;163441;45440;2493042;498869;325891;542024;495009;631249
21;2034;17715575;17463538;4423103;3538203;8679703;532139;290390;252037;8455861;3538205;4917656;4339850;532134;45672;8455861;3538205;4917656;2688323;891884;957026;380423;2.07;2494401;1043222;1078770;372409;1962267;720319;915027;326921;532134;322903;163743;45488;2494405;497446;326135;544058;499313;627453
22;2035;17739190;17482566;4430068;3560190;8667842;532057;292409;256624;8471965;3560184;4911781;4333923;532064;45794;8471965;3560184;4911781;2680143;888860;960950;381828;2.06;2496065;1039766;1083058;373241;1964001;717208;919084;327709;532064;322558;163974;45532;2496066;495600;326140;545734;503065;625527
23;2036;17759894;17498653;4436348;3580710;8654794;532416;294385;261241;8486453;3580718;4905735;4327393;532431;45911;8486453;3580718;4905735;2671225;886324;964953;383233;2.06;2498553;1036863;1087602;374088;1966122;714405;923213;328504;532431;322458;164389;45584;2498551;493538;325977;547159;506817;625060
24;2037;17777780;17511913;4441651;3600174;8640980;532757;296351;265867;8499419;3600164;4899255;4320493;532757;46005;8499419;3600164;4899255;2662060;884446;968307;384442;2.06;2500790;1034550;1091524;374716;1968033;712226;926685;329122;532757;322324;164839;45594;2500786;491182;325472;548218;510246;625668
25;2038;17792930;17522468;4445736;3618334;8626798;533336;298264;270462;8511159;3618326;4892833;4313396;533339;46098;8511159;3618326;4892833;2652836;883555;971003;385439;2.06;2503338;1033382;1094796;375160;1969999;710983;929458;329558;533339;322399;165338;45602;2503330;488840;324693;549130;513330;627337
26;2039;17805493;17530530;4448424;3635355;8612586;534031;300134;274963;8521896;3635359;4886537;4306293;534027;46217;8521896;3635359;4886537;2644020;883239;973213;386065;2.06;2505765;1032988;1097511;375266;1971738;710352;931721;329665;534027;322636;165790;45601;2505766;486609;323603;549730;515884;629940
27;2040;17815723;17536308;4449594;3651293;8598675;534790;301956;279415;8531786;3651283;4880503;4299337;534799;46367;8531786;3651283;4880503;2635776;883443;974933;386351;2.06;2508044;1033324;1099670;375050;1973245;710301;933481;329463;534799;323023;166189;45587;2508047;484596;322288;549959;518106;633098
28;2041;17823937;17540121;4449243;3666379;8585223;535519;303757;283816;8541046;3666375;4874671;4292617;535518;46536;8541046;3666375;4874671;2628273;883692;976226;386480;2.05;2509754;1033668;1101382;374704;1974236;710288;934807;329141;535518;323380;166575;45563;2509754;482850;320793;549650;519939;636522
29;2042;17830388;17542236;4447429;3680701;8572402;536181;305523;288152;8549823;3680718;4869105;4286204;536179;46722;8549823;3680718;4869105;2621499;884077;977075;386454;2.05;2510926;1034050;1102653;374223;1974747;710368;935674;328705;536179;323682;166979;45518;2510921;481480;319242;548804;521368;640027
30;2043;17835325;17542916;4444287;3694347;8560293;536741;307248;292409;8558139;3694335;4863804;4280151;536740;46913;8558139;3694335;4863804;2615562;884887;977136;386219;2.05;2511527;1034972;1102998;373557;1974787;710967;935726;328094;536740;324005;167272;45463;2511527;480536;317699;547384;522495;643413
31;2044;17839113;17542495;4440035;3707379;8548902;537218;308961;296618;8566158;3707371;4858787;4274459;537213;47115;8566158;3707371;4858787;2610422;886280;976361;385724;2.05;2511695;1036738;1102305;372652;1974482;712312;934910;327260;537213;324426;167395;45392;2511695;480102;316273;545470;523389;646461
32;2045;17842031;17541244;4434929;3719760;8538377;537559;310619;300787;8573829;3719752;4854077;4269190;537556;47331;8573829;3719752;4854077;2606036;887797;975201;385043;2.05;2511383;1038645;1101166;371572;1973827;713846;933713;326268;537556;324799;167453;45304;2511381;480131;315024;543072;523940;649214
33;2046;17844431;17539512;4429223;3731464;8528843;537738;312244;304919;8581191;3731474;4849717;4264424;537749;47544;8581191;3731474;4849717;2602240;889290;973891;384296;2.04;2510715;1040421;1099855;370439;1972966;715373;932367;325226;537749;325048;167488;45213;2510715;480638;314026;540350;524044;651657
34;2047;17846588;17537527;4423168;3742479;8520253;537773;313854;309061;8588136;3742488;4845648;4260127;537777;47744;8588136;3742488;4845648;2598801;890682;972616;383549;2.04;2509816;1041935;1098568;369313;1972039;716791;931056;324192;537777;325144;167512;45121;2509815;481591;313318;537491;523613;653802
35;2048;17848734;17535518;4416993;3752720;8512698;537659;315448;313216;8594694;3752716;4841978;4256354;537659;47965;8594694;3752716;4841978;2595856;892018;971341;382763;2.04;2508742;1043373;1097198;368171;1971083;718207;929741;323135;537659;325166;167457;45036;2508739;482909;312915;534642;522627;655646
36;2049;17850952;17533602;4410928;3762073;8506173;537406;317022;317350;8600709;3762060;4838649;4253088;537407;48154;8600709;3762060;4838649;2593300;893288;970033;382028;2.04;2507597;1044855;1095675;367067;1970190;719660;928398;322132;537407;325195;167277;44935;2507599;484528;312839;531990;521072;657170
37;2050;17853305;17531888;4405130;3770417;8500754;537038;318549;321417;8606153;3770405;4835748;4250379;537036;48333;8606153;3770405;4835748;2591070;894433;968842;381403;2.04;2506468;1046132;1094246;366090;1969432;721014;927172;321246;537036;325118;167074;44844;2506459;486352;313082;529632;519011;658382
38;2051;17855808;17530459;4399745;3777667;8496482;536555;320010;325349;8610979;3777676;4833303;4248241;536561;48501;8610979;3777676;4833303;2589192;895466;967773;380872;2.04;2505375;1047216;1092944;365215;1968814;722265;926080;320469;536561;324951;166864;44746;2505370;488276;313634;527715;516510;659235
39;2052;17858557;17529460;4394923;3783752;8493410;535979;321396;329097;8615088;3783758;4831330;4246705;535974;48651;8615088;3783758;4831330;2587663;896390;966809;380468;2.03;2504288;1048048;1091742;364498;1968314;723395;925087;319832;535974;324653;166655;44666;2504292;490217;314439;526295;513692;659649
40;2053;17861561;17528960;4390773;3788610;8491566;535323;322688;332601;8618503;3788604;4829899;4245786;535325;48788;8618503;3788604;4829899;2586595;897200;965940;380164;2.03;2503265;1048783;1090567;363915;1967940;724450;924181;319309;535325;324333;166386;44606;2503264;492127;315430;525423;510716;659568
41;2054;17864945;17529139;4387412;3792264;8491006;534590;323867;335806;8621234;3792266;4828968;4245501;534581;48886;8621234;3792266;4828968;2585952;897805;965165;380046;2.03;2502277;1049286;1089465;363526;1967696;725324;923386;318986;534581;323962;166079;44540;2502279;493927;316548;525106;507749;658949
42;2055;17868810;17530143;4384906;3794781;8491716;533796;324944;338667;8623409;3794776;4828633;4245861;533795;48977;8623409;3794776;4828633;2585708;898094;964641;380190;2.03;2501401;1049294;1088668;363439;1967606;725824;922841;318941;533795;323470;165827;44498;2501397;495587;317740;525341;504943;657786
43;2056;17873243;17532091;4383298;3796205;8493724;532949;325915;341152;8625075;3796205;4828870;4246864;532948;49058;8625075;3796205;4828870;2585943;898198;964281;380448;2.03;2500614;1049093;1088032;363489;1967666;726159;922472;319035;532948;322934;165560;44454;2500617;497036;318969;526071;502430;656111
44;2057;17878383;17535141;4382631;3796647;8497022;532068;326773;343242;8626352;3796640;4829712;4248512;532089;49111;8626352;3796640;4829712;2586599;898126;964132;380855;2.03;2499955;1048600;1087633;363722;1967866;726276;922304;319286;532089;322324;165329;44436;2499957;498253;320180;527231;500316;653977
45;2058;17884349;17539405;4382890;3796221;8501596;531172;327526;344944;8627332;3796218;4831114;4250798;531170;49146;8627332;3796218;4831114;2587669;897843;964225;381377;2.03;2499381;1047813;1087459;364109;1968211;726183;922370;319658;531170;321630;165089;44451;2499383;499215;321315;528724;498674;651455
46;2059;17891254;17544995;4384035;3795117;8507387;530275;328181;346259;8628237;3795115;4833122;4253694;530263;49165;8628237;3795115;4833122;2589209;897390;964535;381988;2.03;2498970;1046846;1087536;364588;1968707;725907;922673;320127;530263;320939;164863;44461;2498968;499916;322340;530458;497576;648678
47;2060;17899250;17552045;4386007;3793507;8514387;529405;328739;347205;8629269;3793515;4835754;4257195;529398;49161;8629269;3793515;4835754;2591126;896645;965204;382779;2.03;2498765;1045425;1088067;365273;1969367;725252;923339;320776;529398;320173;164728;44497;2498765;500321;323257;532367;497043;645777
