ID;BedrijfsactiviteitenSBI93;Perioden;RealisatieToegenomen_1;RealisatieGelijkGebleven_2;RealisatieAfgenomen_3;RealisatieSaldo_4;VerwachteProductieToenemen_5;VerwachteProductieGelijkBlijven_6;VerwachteProductieAfnemen_7;VerwachteProductieSaldo_8;Bezettingsgraad_9;ProductiecapaciteitTeGroot_10;ProductiecapaciteitVoldoende_11;ProductiecapaciteitTeKlein_12;ProductiecapaciteitSaldo_13;GeenProductiebelemmeringen_14;BelemmeringDoorOnvoldoendeVraag_15;BelemmeringDoorPersoneelstekort_16;BelemmeringDoorGebrekAanCapaciteit_17;BelemmeringDoorAndereOorzaken_18;OrderontvangstToegenomen_19;OrderontvangstGelijkGebleven_20;OrderontvangstAfgenomen_21;OrderontvangstSaldo_22;OrderontvangstToegenomen_23;OrderontvangstGelijkGebleven_24;OrderontvangstAfgenomen_25;OrderontvangstSaldo_26;OrderontvangstToegenomen_27;OrderontvangstGelijkGebleven_28;OrderontvangstAfgenomen_29;OrderontvangstSaldo_30;OordeelOrderontvangstGroot_31;OordeelOrderontvangstNormaal_32;OordeelOrderontvangstKlein_33;OordeelOrderontvangstSaldo_34;BasisindexcijferJuli2000100_35;OordeelOrderpositieGroot_36;OordeelOrderpositieNormaal_37;OordeelOrderpositieKlein_38;OordeelOrderpositieSaldo_39;BuitenlandseOrderpositieGroot_40;BuitenlandseOrderpositieNormaal_41;BuitenlandseOrderpositieKlein_42;BuitenlandseOrderpositieSaldo_43;VerkoopprijzenStijgen_44;VerkoopprijzenBlijvenGelijk_45;VerkoopprijzenDalen_46;VerkoopprijzenSaldo_47;VoorradenEindproductTeGroot_48;VoorradenEindproductVoldoende_49;VoorradenEindproductTeKlein_50;VoorradenEindproductSaldo_51;ConcurrentiepositieVerbeterd_52;ConcurrentiepositieOngewijzigd_53;ConcurrentiepositieVerslechterd_54;ConcurrentiepositieSaldo_55;ConcurrentiepositieVerbeterd_56;ConcurrentiepositieOngewijzigd_57;ConcurrentiepositieVerslechterd_58;ConcurrentiepositieSaldo_59;ConcurrentiepositieVerbeterd_60;ConcurrentiepositieOngewijzigd_61;ConcurrentiepositieVerslechterd_62;ConcurrentiepositieSaldo_63;AfzetBuitenlandToenemen_64;AfzetBuitenlandGelijkBlijven_65;AfzetBuitenlandAfnemen_66;AfzetBuitenlandSaldo_67;PersoneelssterkteToenemen_68;PersoneelssterkteGelijkBlijven_69;PersoneelssterkteAfnemen_70;PersoneelssterkteSaldo_71;RealisatieProductie_72;VerwachtingProductie_73;OordeelProductiecapaciteit_74;OrdersTotaal_75;OrdersBinnenland_76;OrdersBuitenland_77;OordeelOrderontvangst_78;OordeelTotaleOrderpositie_79;OordeelOrderpositieBuitenland_80;Verkoopprijzen_81;VoorradenEindproduct_82;NederlandseMarkt_83;BinnenEU_84;BuitenEU_85;AfzetBuitenland_86;Personeelssterkte_87
10;1500h Industrie (uitgezonderd ..);1989 december;15.0;77.0;8.0;7.0;11.0;77.0;12.0;-1.0;;;;;;;;;;;16.0;64.0;20.0;-4.0;17.0;67.0;16.0;1.0;15.0;63.0;22.0;-7.0;8.0;76.0;16.0;-8.0;119.8;9.0;78.0;13.0;-4.0;;;;;;;;;9.0;87.0;4.0;5.0;;;;;;;;;;;;;;;;;;;;;7.0;-1.0;;-4.0;1.0;-7.0;-8.0;-4.0;;;5.0;;;;;
11;1500h Industrie (uitgezonderd ..);1990 januari;13.0;71.0;16.0;-3.0;16.0;71.0;13.0;3.0;85.7;5.0;90.0;5.0;0.0;87.0;6.0;3.0;2.0;2.0;20.0;61.0;19.0;1.0;18.0;65.0;17.0;1.0;21.0;59.0;20.0;1.0;9.0;76.0;15.0;-6.0;119.6;11.0;76.0;13.0;-2.0;;;;;;;;;9.0;86.0;5.0;4.0;;;;;;;;;;;;;17.0;72.0;11.0;6.0;17.0;74.0;9.0;8.0;-3.0;3.0;0.0;1.0;1.0;1.0;-6.0;-2.0;;;4.0;;;;6.0;8.0
12;1500h Industrie (uitgezonderd ..);1990 februari;15.0;74.0;11.0;4.0;21.0;73.0;6.0;15.0;;;;;;;;;;;25.0;54.0;21.0;4.0;21.0;59.0;20.0;1.0;24.0;55.0;21.0;3.0;9.0;77.0;14.0;-5.0;120.0;10.0;77.0;13.0;-3.0;;;;;;;;;9.0;85.0;6.0;3.0;;;;;;;;;;;;;;;;;;;;;4.0;15.0;;4.0;1.0;3.0;-5.0;-3.0;;;3.0;;;;;
13;1500h Industrie (uitgezonderd ..);1990 maart;17.0;76.0;7.0;10.0;19.0;75.0;6.0;13.0;;;;;;;;;;;20.0;62.0;18.0;2.0;21.0;62.0;17.0;4.0;19.0;64.0;17.0;2.0;8.0;78.0;14.0;-6.0;120.4;9.0;78.0;13.0;-4.0;;;;;;;;;9.0;87.0;4.0;5.0;;;;;;;;;;;;;;;;;;;;;10.0;13.0;;2.0;4.0;2.0;-6.0;-4.0;;;5.0;;;;;
14;1500h Industrie (uitgezonderd ..);1990 april;20.0;71.0;9.0;11.0;16.0;78.0;6.0;10.0;86.2;6.0;88.0;6.0;0.0;85.0;5.0;5.0;2.0;3.0;33.0;55.0;12.0;21.0;26.0;62.0;12.0;14.0;36.0;54.0;10.0;26.0;10.0;77.0;13.0;-3.0;120.7;8.0;82.0;10.0;-2.0;;;;;;;;;8.0;87.0;5.0;3.0;;;;;;;;;;;;;18.0;74.0;8.0;10.0;19.0;76.0;5.0;14.0;11.0;10.0;0.0;21.0;14.0;26.0;-3.0;-2.0;;;3.0;;;;10.0;14.0
15;1500h Industrie (uitgezonderd ..);1990 mei;16.0;72.0;12.0;4.0;16.0;76.0;8.0;8.0;;;;;;;;;;;16.0;64.0;20.0;-4.0;17.0;67.0;16.0;1.0;14.0;63.0;23.0;-9.0;7.0;78.0;15.0;-8.0;120.3;9.0;81.0;10.0;-1.0;;;;;;;;;8.0;86.0;6.0;2.0;;;;;;;;;;;;;;;;;;;;;4.0;8.0;;-4.0;1.0;-9.0;-8.0;-1.0;;;2.0;;;;;
16;1500h Industrie (uitgezonderd ..);1990 juni;17.0;73.0;10.0;7.0;14.0;80.0;6.0;8.0;;;;;;;;;;;21.0;62.0;17.0;4.0;18.0;64.0;18.0;0.0;22.0;59.0;19.0;3.0;8.0;76.0;16.0;-8.0;120.7;8.0;81.0;11.0;-3.0;;;;;;;;;8.0;86.0;6.0;2.0;;;;;;;;;;;;;;;;;;;;;7.0;8.0;;4.0;0.0;3.0;-8.0;-3.0;;;2.0;;;;;
17;1500h Industrie (uitgezonderd ..);1990 juli;15.0;71.0;14.0;1.0;11.0;80.0;9.0;2.0;86.1;7.0;86.0;7.0;0.0;83.0;5.0;7.0;3.0;2.0;22.0;57.0;21.0;1.0;18.0;64.0;18.0;0.0;22.0;58.0;20.0;2.0;9.0;76.0;15.0;-6.0;120.3;9.0;80.0;11.0;-2.0;;;;;;;;;9.0;84.0;7.0;2.0;;;;;;;;;;;;;13.0;80.0;7.0;6.0;11.0;79.0;10.0;1.0;1.0;2.0;0.0;1.0;0.0;2.0;-6.0;-2.0;;;2.0;;;;6.0;1.0
18;1500h Industrie (uitgezonderd ..);1990 augustus;8.0;80.0;12.0;-4.0;15.0;78.0;7.0;8.0;;;;;;;;;;;16.0;59.0;25.0;-9.0;13.0;67.0;20.0;-7.0;15.0;57.0;28.0;-13.0;8.0;79.0;13.0;-5.0;120.0;10.0;79.0;11.0;-1.0;;;;;;;;;10.0;86.0;4.0;6.0;;;;;;;;;;;;;;;;;;;;;-4.0;8.0;;-9.0;-7.0;-13.0;-5.0;-1.0;;;6.0;;;;;
19;1500h Industrie (uitgezonderd ..);1990 september;12.0;75.0;13.0;-1.0;19.0;73.0;8.0;11.0;;;;;;;;;;;21.0;61.0;18.0;3.0;18.0;64.0;18.0;0.0;23.0;58.0;19.0;4.0;7.0;79.0;14.0;-7.0;119.0;9.0;78.0;13.0;-4.0;;;;;;;;;11.0;83.0;6.0;5.0;;;;;;;;;;;;;;;;;;;;;-1.0;11.0;;3.0;0.0;4.0;-7.0;-4.0;;;5.0;;;;;
20;1500h Industrie (uitgezonderd ..);1990 oktober;21.0;67.0;12.0;9.0;17.0;73.0;10.0;7.0;85.4;5.0;88.0;7.0;-2.0;81.0;5.0;7.0;3.0;4.0;27.0;57.0;16.0;11.0;23.0;61.0;16.0;7.0;28.0;56.0;16.0;12.0;8.0;76.0;16.0;-8.0;117.9;8.0;77.0;15.0;-7.0;;;;;;;;;11.0;83.0;6.0;5.0;;;;;;;;;;;;;16.0;61.0;23.0;-7.0;13.0;75.0;12.0;1.0;9.0;7.0;-2.0;11.0;7.0;12.0;-8.0;-7.0;;;5.0;;;;-7.0;1.0
21;1500h Industrie (uitgezonderd ..);1990 november;19.0;70.0;11.0;8.0;15.0;73.0;12.0;3.0;;;;;;;;;;;23.0;61.0;16.0;7.0;24.0;60.0;16.0;8.0;21.0;59.0;20.0;1.0;10.0;74.0;16.0;-6.0;117.9;9.0;75.0;16.0;-7.0;7.0;81.0;12.0;-5.0;15.0;79.0;6.0;9.0;12.0;81.0;7.0;5.0;;;;;;;;;;;;;;;;;;;;;8.0;3.0;;7.0;8.0;1.0;-6.0;-7.0;-5.0;9.0;5.0;;;;;
22;1500h Industrie (uitgezonderd ..);1990 december;19.0;68.0;13.0;6.0;12.0;76.0;12.0;0.0;;;;;;;;;;;16.0;64.0;20.0;-4.0;17.0;63.0;20.0;-3.0;17.0;64.0;19.0;-2.0;8.0;75.0;17.0;-9.0;118.3;9.0;74.0;17.0;-8.0;8.0;79.0;13.0;-5.0;19.0;75.0;6.0;13.0;11.0;82.0;7.0;4.0;;;;;;;;;;;;;;;;;;;;;6.0;0.0;;-4.0;-3.0;-2.0;-9.0;-8.0;-5.0;13.0;4.0;;;;;
23;1500h Industrie (uitgezonderd ..);1991 januari;14.0;70.0;16.0;-2.0;13.0;75.0;12.0;1.0;84.5;6.0;87.0;7.0;-1.0;83.0;7.0;5.0;2.0;3.0;17.0;64.0;19.0;-2.0;15.0;65.0;20.0;-5.0;17.0;65.0;18.0;-1.0;9.0;75.0;16.0;-7.0;119.4;10.0;74.0;16.0;-6.0;7.0;75.0;18.0;-11.0;27.0;64.0;9.0;18.0;11.0;82.0;7.0;4.0;;;;;;;;;;;;;18.0;72.0;10.0;8.0;12.0;73.0;15.0;-3.0;-2.0;1.0;-1.0;-2.0;-5.0;-1.0;-7.0;-6.0;-11.0;18.0;4.0;;;;8.0;-3.0
24;1500h Industrie (uitgezonderd ..);1991 februari;20.0;69.0;11.0;9.0;16.0;75.0;9.0;7.0;;;;;;;;;;;27.0;55.0;18.0;9.0;23.0;56.0;21.0;2.0;27.0;57.0;16.0;11.0;12.0;72.0;16.0;-4.0;117.9;8.0;77.0;15.0;-7.0;6.0;77.0;17.0;-11.0;15.0;79.0;6.0;9.0;11.0;84.0;5.0;6.0;;;;;;;;;;;;;;;;;;;;;9.0;7.0;;9.0;2.0;11.0;-4.0;-7.0;-11.0;9.0;6.0;;;;;
25;1500h Industrie (uitgezonderd ..);1991 maart;13.0;69.0;18.0;-5.0;20.0;71.0;9.0;11.0;;;;;;;;;;;21.0;58.0;21.0;0.0;19.0;59.0;22.0;-3.0;22.0;58.0;20.0;2.0;8.0;75.0;17.0;-9.0;116.8;8.0;76.0;16.0;-8.0;7.0;75.0;18.0;-11.0;10.0;83.0;7.0;3.0;12.0;82.0;6.0;6.0;;;;;;;;;;;;;;;;;;;;;-5.0;11.0;;0.0;-3.0;2.0;-9.0;-8.0;-11.0;3.0;6.0;;;;;
26;1500h Industrie (uitgezonderd ..);1991 april;21.0;66.0;13.0;8.0;18.0;69.0;13.0;5.0;85.3;8.0;85.0;7.0;1.0;80.0;9.0;5.0;2.0;4.0;21.0;60.0;19.0;2.0;21.0;59.0;20.0;1.0;20.0;62.0;18.0;2.0;8.0;75.0;17.0;-9.0;116.1;6.0;78.0;16.0;-10.0;5.0;76.0;19.0;-14.0;10.0;80.0;10.0;0.0;13.0;82.0;5.0;8.0;;;;;;;;;;;;;22.0;70.0;8.0;14.0;10.0;75.0;15.0;-5.0;8.0;5.0;1.0;2.0;1.0;2.0;-9.0;-10.0;-14.0;0.0;8.0;;;;14.0;-5.0
27;1500h Industrie (uitgezonderd ..);1991 mei;14.0;66.0;20.0;-6.0;18.0;74.0;8.0;10.0;;;;;;;;;;;17.0;57.0;26.0;-9.0;16.0;57.0;27.0;-11.0;16.0;57.0;27.0;-11.0;5.0;74.0;21.0;-16.0;114.3;6.0;75.0;19.0;-13.0;5.0;73.0;22.0;-17.0;6.0;84.0;10.0;-4.0;13.0;82.0;5.0;8.0;;;;;;;;;;;;;;;;;;;;;-6.0;10.0;;-9.0;-11.0;-11.0;-16.0;-13.0;-17.0;-4.0;8.0;;;;;
28;1500h Industrie (uitgezonderd ..);1991 juni;21.0;65.0;14.0;7.0;18.0;73.0;9.0;9.0;;;;;;;;;;;23.0;56.0;21.0;2.0;22.0;60.0;18.0;4.0;22.0;57.0;21.0;1.0;6.0;74.0;20.0;-14.0;112.9;6.0;74.0;20.0;-14.0;6.0;71.0;23.0;-17.0;6.0;87.0;7.0;-1.0;15.0;81.0;4.0;11.0;;;;;;;;;;;;;;;;;;;;;7.0;9.0;;2.0;4.0;1.0;-14.0;-14.0;-17.0;-1.0;11.0;;;;;
29;1500h Industrie (uitgezonderd ..);1991 juli;19.0;69.0;12.0;7.0;10.0;78.0;12.0;-2.0;84.9;11.0;84.0;5.0;6.0;78.0;13.0;5.0;2.0;2.0;26.0;56.0;18.0;8.0;20.0;61.0;19.0;1.0;28.0;54.0;18.0;10.0;7.0;76.0;17.0;-10.0;112.8;7.0;77.0;16.0;-9.0;6.0;78.0;16.0;-10.0;9.0;85.0;6.0;3.0;13.0;82.0;5.0;8.0;;;;;;;;;;;;;12.0;76.0;12.0;0.0;10.0;73.0;17.0;-7.0;7.0;-2.0;6.0;8.0;1.0;10.0;-10.0;-9.0;-10.0;3.0;8.0;;;;0.0;-7.0
30;1500h Industrie (uitgezonderd ..);1991 augustus;17.0;66.0;17.0;0.0;16.0;73.0;11.0;5.0;;;;;;;;;;;16.0;55.0;29.0;-13.0;16.0;59.0;25.0;-9.0;16.0;52.0;32.0;-16.0;10.0;74.0;16.0;-6.0;112.1;7.0;78.0;15.0;-8.0;6.0;79.0;15.0;-9.0;9.0;87.0;4.0;5.0;12.0;83.0;5.0;7.0;;;;;;;;;;;;;;;;;;;;;0.0;5.0;;-13.0;-9.0;-16.0;-6.0;-8.0;-9.0;5.0;7.0;;;;;
31;1500h Industrie (uitgezonderd ..);1991 september;14.0;68.0;18.0;-4.0;22.0;67.0;11.0;11.0;;;;;;;;;;;20.0;56.0;24.0;-4.0;19.0;57.0;24.0;-5.0;18.0;58.0;24.0;-6.0;7.0;74.0;19.0;-12.0;111.5;6.0;78.0;16.0;-10.0;4.0;81.0;15.0;-11.0;8.0;87.0;5.0;3.0;13.0;82.0;5.0;8.0;;;;;;;;;;;;;;;;;;;;;-4.0;11.0;;-4.0;-5.0;-6.0;-12.0;-10.0;-11.0;3.0;8.0;;;;;
32;1500h Industrie (uitgezonderd ..);1991 oktober;22.0;66.0;12.0;10.0;19.0;67.0;14.0;5.0;83.7;12.0;83.0;5.0;7.0;77.0;14.0;3.0;2.0;4.0;29.0;51.0;20.0;9.0;25.0;55.0;20.0;5.0;30.0;52.0;18.0;12.0;9.0;71.0;20.0;-11.0;111.5;6.0;76.0;18.0;-12.0;6.0;76.0;18.0;-12.0;9.0;85.0;6.0;3.0;14.0;82.0;4.0;10.0;;;;;;;;;;;;;18.0;71.0;11.0;7.0;9.0;73.0;18.0;-9.0;10.0;5.0;7.0;9.0;5.0;12.0;-11.0;-12.0;-12.0;3.0;10.0;;;;7.0;-9.0
33;1500h Industrie (uitgezonderd ..);1991 november;23.0;63.0;14.0;9.0;18.0;69.0;13.0;5.0;;;;;;;;;;;24.0;57.0;19.0;5.0;21.0;56.0;23.0;-2.0;21.0;64.0;15.0;6.0;9.0;72.0;19.0;-10.0;111.9;7.0;77.0;16.0;-9.0;6.0;79.0;15.0;-9.0;14.0;78.0;8.0;6.0;13.0;83.0;4.0;9.0;;;;;;;;;;;;;;;;;;;;;9.0;5.0;;5.0;-2.0;6.0;-10.0;-9.0;-9.0;6.0;9.0;;;;;
34;1500h Industrie (uitgezonderd ..);1991 december;17.0;65.0;18.0;-1.0;18.0;66.0;16.0;2.0;;;;;;;;;;;18.0;55.0;27.0;-9.0;18.0;56.0;26.0;-8.0;15.0;58.0;27.0;-12.0;7.0;74.0;19.0;-12.0;110.1;6.0;75.0;19.0;-13.0;4.0;77.0;19.0;-15.0;18.0;74.0;8.0;10.0;13.0;83.0;4.0;9.0;;;;;;;;;;;;;;;;;;;;;-1.0;2.0;;-9.0;-8.0;-12.0;-12.0;-13.0;-15.0;10.0;9.0;;;;;
35;1500h Industrie (uitgezonderd ..);1992 januari;18.0;63.0;19.0;-1.0;20.0;67.0;13.0;7.0;83.5;9.0;85.0;6.0;3.0;83.0;11.0;2.0;2.0;2.0;20.0;57.0;23.0;-3.0;19.0;57.0;24.0;-5.0;20.0;58.0;22.0;-2.0;7.0;74.0;19.0;-12.0;109.6;7.0;76.0;17.0;-10.0;5.0;76.0;19.0;-14.0;27.0;65.0;8.0;19.0;12.0;83.0;5.0;7.0;;;;;;;;;;;;;21.0;70.0;9.0;12.0;8.0;75.0;17.0;-9.0;-1.0;7.0;3.0;-3.0;-5.0;-2.0;-12.0;-10.0;-14.0;19.0;7.0;;;;12.0;-9.0
36;1500h Industrie (uitgezonderd ..);1992 februari;18.0;66.0;16.0;2.0;22.0;71.0;7.0;15.0;;;;;;;;;;;22.0;60.0;18.0;4.0;22.0;58.0;20.0;2.0;21.0;62.0;17.0;4.0;8.0;75.0;17.0;-9.0;111.6;7.0;76.0;17.0;-10.0;6.0;79.0;15.0;-9.0;14.0;79.0;7.0;7.0;11.0;84.0;5.0;6.0;;;;;;;;;;;;;;;;;;;;;2.0;15.0;;4.0;2.0;4.0;-9.0;-10.0;-9.0;7.0;6.0;;;;;
37;1500h Industrie (uitgezonderd ..);1992 maart;16.0;71.0;13.0;3.0;18.0;72.0;10.0;8.0;;;;;;;;;;;20.0;62.0;18.0;2.0;22.0;59.0;19.0;3.0;18.0;65.0;17.0;1.0;8.0;74.0;18.0;-10.0;112.1;7.0;75.0;18.0;-11.0;6.0;78.0;16.0;-10.0;12.0;83.0;5.0;7.0;12.0;83.0;5.0;7.0;;;;;;;;;;;;;;;;;;;;;3.0;8.0;;2.0;3.0;1.0;-10.0;-11.0;-10.0;7.0;7.0;;;;;
38;1500h Industrie (uitgezonderd ..);1992 april;22.0;65.0;13.0;9.0;19.0;73.0;8.0;11.0;83.8;9.0;86.0;5.0;4.0;80.0;12.0;2.0;2.0;4.0;26.0;57.0;17.0;9.0;25.0;56.0;19.0;6.0;24.0;62.0;14.0;10.0;9.0;73.0;18.0;-9.0;115.2;7.0;75.0;18.0;-11.0;7.0;77.0;16.0;-9.0;13.0;81.0;6.0;7.0;12.0;84.0;4.0;8.0;;;;;;;;;;;;;20.0;73.0;6.0;14.0;7.0;74.0;19.0;-12.0;9.0;11.0;4.0;9.0;6.0;10.0;-9.0;-11.0;-9.0;7.0;8.0;;;;14.0;-12.0
