ID;Periods;TotalPopulation_1;Males_2;Females_3;TotalPopulation_4;NeverMarried_5;Married_6;Widowed_7;Divorced_8;TotalPopulation_9;YoungerThan20Years_10;k_20To40Years_11;k_40To65Years_12;k_65To80Years_13;k_80YearsOrOlder_14;YoungerThan20Years_15;k_20To40Years_16;k_40To65Years_17;k_65To80Years_18;k_80YearsOrOlder_19;TotalDemographicPressure_20;GreenPressure_21;GreyPressure_22;TotalPopulation_23;Males_24;Females_25;TotalPopulation_26;TheNetherlands_27;EuropeExcludingTheNetherlands_28;TotalOutsideEurope_29;Turkey_30;Morocco_31;Suriname_32;DutchCaribbean_33;Indonesia_34;OtherAfrica_35;OtherAsia_36;OtherAmericaAndOceania_37;TheNetherlands_38;EuropeExcludingTheNetherlands_39;TotalOutsideEurope_40;Turkey_41;Morocco_42;Suriname_43;DutchCaribbean_44;Indonesia_45;OtherAfrica_46;OtherAsia_47;OtherAmericaAndOceania_48;TheNetherlands_49;EuropeExcludingTheNetherlands_50;TotalOutsideEurope_51;Turkey_52;Morocco_53;Suriname_54;DutchCaribbean_55;Indonesia_56;OtherAfrica_57;OtherAsia_58;OtherAmericaAndOceania_59;TotalPrivateHouseholds_60;OnePersonHouseholds_61;MultiPersonHouseholds_62;AverageHouseholdSize_63;PopulationInInstitutionalHouseholds_64;TotalPopulationGrowth_65;TotalPopulationGrowthRate_66;LiveBornChildren_67;Deaths_68;NaturalIncrease_69;NaturalIncreaseRate_70;Immigration_71;EmigrationIncludingAdministrativeC_72;NetMigrationIncludingAdministrativ_73;NetMigrationIncludingAdminRate_74;OtherCorrections_75;PopulationDensity_76
59;2009;16485787;8156396;8329391;16485787;7680426;6882639;866808;1055914;16485787;3933585;4233861;5846526;1840607;631208;23.9;25.7;35.5;11.2;3.8;63.5;39.0;24.5;39.9;38.9;40.9;16485787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7313;2619;4693;2.23;207.0;89202.0;5.4;184915.0;134235.0;50680.0;3.1;146378.0;111897.0;34481.0;2.1;4041.0;489
60;2010;16574989;8203476;8371513;16574989;7701812;6875088;866945;1131144;16574989;3928334;4192772;5915555;1890334;647994;23.7;25.3;35.7;11.4;3.9;64.0;38.9;25.1;40.1;39.1;41.1;16574989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7386;2670;4717;2.22;209.0;80810.0;4.9;184397.0;136058.0;48339.0;2.9;154432.0;121351.0;33081.0;2.0;-610.0;491
61;2011;16655799;8243482;8412317;16655799;7773306;6864966;866497;1151030;16655799;3913819;4162599;5984435;1927399;667547;23.5;25.0;35.9;11.6;4.0;64.1;38.6;25.6;40.3;39.4;41.3;16655799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7444;2708;4736;2.21;219.0;74549.0;4.5;180060.0;135741.0;44319.0;2.6;162962.0;133194.0;29768.0;1.8;462.0;494
62;2012;16730348;8282871;8447477;16730348;7841334;6851016;865790;1172208;16730348;3894754;4141893;5977333;2030353;686015;23.3;24.8;35.7;12.1;4.1;65.3;38.5;26.8;40.6;39.6;41.5;16730348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7513;2762;4751;2.2;219.0;49227.0;2.9;175959.0;140813.0;35146.0;2.1;158374.0;144491.0;13883.0;0.8;198.0;496
63;2013;16779575;8307339;8472236;16779575;7895899;6823832;864180;1195664;16779575;3870773;4120358;5964099;2121525;702820;23.1;24.6;35.5;12.6;4.2;66.4;38.4;28.0;40.8;39.9;41.7;16779575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7569;2802;4767;2.19;215.0;49714.0;3.0;171341.0;141245.0;30096.0;1.8;164772.0;145669.0;19103.0;1.1;515.0;498
64;2014;16829289;8334385;8494904;16829289;7956501;6787028;863292;1222468;16829289;3846040;4117652;5946573;2201935;717089;22.9;24.5;35.3;13.1;4.3;67.2;38.2;29.0;41.0;40.1;41.9;16829289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7590;2804;4786;2.18;250.0;71437.0;4.2;175181.0;139223.0;35958.0;2.1;182949.0;147862.0;35087.0;2.1;392.0;500
65;2015;16900726;8372858;8527868;16900726;8031966;6753259;862705;1252796;16900726;3828059;4134447;5930535;2272709;734976;22.7;24.5;35.1;13.4;4.3;67.9;38.0;29.9;41.3;40.4;42.1;16900726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7665;2868;4797;2.17;245.0;78394.0;4.6;170510.0;147134.0;23376.0;1.4;204615.0;149509.0;55106.0;3.3;-88.0;502
66;2016;16979120;8417135;8561985;16979120;8112153;6727554;860883;1278530;16979120;3818499;4163702;5911611;2336560;748748;22.5;24.5;34.8;13.8;4.4;68.5;37.9;30.6;41.5;40.6;42.3;16979120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7721;2906;4814;2.17;255.0;102387.0;6.0;172520.0;148997.0;23523.0;1.4;230739.0;151545.0;79194.0;4.7;-330.0;504
67;2017;17081507;8475102;8606405;17081507;8201061;6718468;859720;1302258;17081507;3817173;4206639;5898035;2395385;764275;22.3;24.6;34.5;14.0;4.5;69.0;37.8;31.3;41.6;40.7;42.5;17081507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7794;2961;4833;2.16;245.0;99577.0;5.8;169836.0;150214.0;19622.0;1.1;234957.0;154292.0;80665.0;4.7;-710.0;507
68;2018;17181084;8527041;8654043;17181084;8287607;6710175;858676;1324626;17181084;3810656;4253083;5878229;2460202;778914;22.2;24.8;34.2;14.3;4.5;69.6;37.6;32.0;41.8;41.0;42.6;17181084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7858;2998;4860;2.15;249.0;101079.0;5.9;168525.0;153363.0;15162.0;0.9;243737.0;157366.0;86371.0;5.0;-454.0;510
69;2019;17282163;8581086;8701077;17282163;8374133;6706554;858443;1343033;17282163;3791838;4309987;5866334;2515184;798820;21.9;24.9;33.9;14.6;4.6;69.8;37.3;32.6;42.0;41.2;42.8;17282163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7925;3038;4887;2.15;247.0;125422.0;7.3;169680.0;151885.0;17795.0;1.0;269064.0;161029.0;108035.0;6.2;-408.0;513
70;2020;17407585;8648031;8759554;17407585;8474556;6713002;859020;1361007;17407585;3775257;4381481;5858292;2570467;822088;21.7;25.2;33.7;14.8;4.7;70.0;36.9;33.1;42.2;41.3;43.0;17407585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7998;3080;4918;2.14;259.0;67830.0;3.9;168681.0;168678.0;3.0;0.0;220853.0;152494.0;68359.0;3.9;-532.0;517
71;2021;17475415;8686536;8788879;17475415;8558739;6678969;859784;1377923;17475415;3743466;4421003;5853411;2618874;838661;21.4;25.3;33.5;15.0;4.8;70.1;36.4;33.7;42.3;41.5;43.1;17475415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8043;3097;4946;2.14;259.0;115257.0;6.6;179441.0;170972.0;8469.0;0.5;252528.0;145330.0;107198.0;6.1;-410.0;519
72;2022;17590672;8745468;8845204;17590672;8674526;6667185;862818;1386143;17590672;3737817;4487841;5839561;2672346;853107;21.2;25.5;33.2;15.2;4.8;70.3;36.2;34.1;42.4;41.6;43.2;17590672;13013279.0;1477069.0;3100324.0;430682.0;419442.0;361632.0;184992.0;363873.0;341835.0;728938.0;268930.0;13013279.0;601820.0;1424736.0;225729.0;245993.0;183687.0;82142.0;257745.0;131667.0;199965.0;97808.0;;875249.0;1675588.0;204953.0;173449.0;177945.0;102850.0;106128.0;210168.0;528973.0;171122.0;8139;3173;4966;2.13;263.0;220619.0;12.5;167504.0;170112.0;-2608.0;-0.1;403108.0;179310.0;223798.0;12.6;-571.0;523
73;2023;17811291;8850309;8960982;17811291;8851656;6709548;863244;1386843;17811291;3750458;4612024;5847642;2728550;872617;21.1;25.9;32.8;15.3;4.9;70.3;35.9;34.4;42.5;41.7;43.3;17811291;12978154.0;1617454.0;3215683.0;444329.0;425034.0;363142.0;190180.0;360281.0;359982.0;789941.0;282794.0;12978154.0;604926.0;1451261.0;228608.0;249716.0;185252.0;84463.0;256452.0;136358.0;209814.0;100598.0;;1012528.0;1764422.0;215721.0;175318.0;177890.0;105717.0;103829.0;223624.0;580127.0;182196.0;8270;3266;5004;2.12;276.0;131651.0;7.4;164487.0;169521.0;-5034.0;-0.3;335668.0;198302.0;137366.0;7.7;-681.0;529
74;2024;17942942;8920768;9022174;17942942;8955190;6733642;863570;1390540;17942942;3733259;4696478;5835977;2776549;900679;20.8;26.2;32.5;15.5;5.0;70.4;35.4;34.9;42.6;41.9;43.4;17942942;12941748.0;1677093.0;3324101.0;457100.0;429176.0;365352.0;194454.0;356566.0;377706.0;848065.0;295682.0;12941748.0;608406.0;1477849.0;231594.0;252868.0;186649.0;86661.0;255103.0;141377.0;220055.0;103542.0;;1068687.0;1846252.0;225506.0;176308.0;178703.0;107793.0;101463.0;236329.0;628010.0;192140.0;8374;3341;5034;2.11;289.0;;;;;;;;;;;;533
