ID;Periods;TotalRegisteredUnemployed_1;ChangeComparedToThePreviousYear_2
411;1986 April;466;-40.0
412;1986 May;458;-36.0
413;1986 June;458;-31.0
414;1986 July;476;-27.0
415;1986 August;474;-40.0
416;1986 September;469;-33.0
417;1986 October;464;-30.0
418;1986 November;461;-34.0
419;1986 December;470;-31.0
420;1987 January;473;-37.0
421;1987 February;469;-33.0
422;1987 March;456;-29.0
423;1987 April;438;-28.0
424;1987 May;427;-31.0
425;1987 June;429;-29.0
426;1987 July;453;-23.0
427;1987 August;460;-14.0
428;1987 September;460;-9.0
429;1987 October;463;-1.0
430;1987 November;466;5.0
431;1987 December;482;12.0
432;1988 January;491;18.0
433;1988 February;493;24.0
434;1988 March;468;12.0
435;1988 April;432;-6.0
436;1988 May;428;1.0
437;1988 June;437;8.0
438;1988 July;447;-6.0
439;1988 August;450;-10.0
440;1988 September;439;-21.0
441;1988 October;444;-19.0
442;1988 November;443;-23.0
443;1988 December;443;-39.0
444;1988 December - 1989 February;441;-50.0
445;1989 January - 1989 March;432;-61.0
446;1989 February - 1989 April;421;-47.0
447;1989 March - 1989 May;405;-27.0
448;1989 April - 1989 June;395;-33.0
449;1989 May - 1989 July;407;-30.0
450;1989 June - 1989 August;418;-29.0
451;1989 July - 1989 September;417;-33.0
452;1989 August - 1989 October;400;-39.0
453;1989 September - 1989 November;391;-53.0
454;1989 October - 1989 December;383;-60.0
455;1989 November - 1990 January;382;-61.0
456;1989 December - 1990 February;379;-62.0
457;1990 January - 1990 March;377;-55.0
458;1990 February - 1990 April;366;-55.0
459;1990 March - 1990 May;351;-54.0
460;1990 April - 1990 June;351;-44.0
461;1990 May - 1990 July;355;-52.0
462;1990 June - 1990 August;359;-59.0
463;1990 July - 1990 September;355;-62.0
464;1990 August - 1990 October;354;-46.0
465;1990 September - 1990 November;348;-43.0
466;1990 October - 1990 December;349;-34.0
467;1990 November - 1991 January;353;-29.0
468;1990 December - 1991 February;356;-23.0
469;1991 January - 1991 March;360;-17.0
470;1991 February - 1991 April;343;-23.0
471;1991 March - 1991 May;332;-19.0
472;1991 April - 1991 June;323;-28.0
473;1991 May - 1991 July;332;-23.0
474;1991 June - 1991 August;333;-26.0
475;1991 July - 1991 September;332;-23.0
476;1991 August - 1991 October;321;-33.0
477;1991 September - 1991 November;321;-27.0
478;1991 October - 1991 December;323;-26.0
479;1991 November - 1992 January;322;-31.0
480;1991 December - 1992 February;329;-27.0
481;1992 January - 1992 March;329;-31.0
482;1992 February - 1992 April;338;-5.0
483;1992 March - 1992 May;328;-4.0
484;1992 April - 1992 June;323;0.0
485;1992 May - 1992 July;323;-9.0
486;1992 June - 1992 August;326;-7.0
487;1992 July - 1992 September;341;9.0
488;1992 August - 1992 October;341;20.0
489;1992 September - 1992 November;352;31.0
490;1992 October - 1992 December;353;30.0
491;1992 November - 1993 January;364;42.0
492;1992 December - 1993 February;382;53.0
493;1993 January - 1993 March;391;62.0
494;1993 February - 1993 April;400;62.0
495;1993 March - 1993 May;387;59.0
496;1993 April - 1993 June;394;71.0
497;1993 May - 1993 July;394;71.0
498;1993 June - 1993 August;416;90.0
499;1993 July - 1993 September;421;80.0
500;1993 August - 1993 October;438;97.0
501;1993 September - 1993 November;448;96.0
502;1993 October - 1993 December;453;100.0
503;1993 November - 1994 January;480;116.0
504;1993 December - 1994 February;495;113.0
505;1994 January - 1994 March;520;129.0
506;1994 February - 1994 April;500;100.0
507;1994 March - 1994 May;483;96.0
508;1994 April - 1994 June;461;67.0
509;1994 May - 1994 July;465;71.0
510;1994 June - 1994 August;470;54.0
511;1994 July - 1994 September;484;63.0
512;1994 August - 1994 October;484;46.0
513;1994 September - 1994 November;490;42.0
514;1994 October - 1994 December;480;27.0
515;1994 November - 1995 January;492;12.0
516;1994 December - 1995 February;484;-11.0
517;1995 January - 1995 March;497;-23.0
518;1995 February - 1995 April;477;-23.0
519;1995 March - 1995 May;465;-18.0
520;1995 April - 1995 June;446;-15.0
521;1995 May - 1995 July;445;-20.0
522;1995 June - 1995 August;453;-17.0
523;1995 July - 1995 September;453;-31.0
524;1995 August - 1995 October;450;-34.0
525;1995 September - 1995 November;451;-39.0
526;1995 October - 1995 December;459;-21.0
527;1995 November - 1996 January;463;-29.0
528;1995 December - 1996 February;468;-16.0
529;1996 January - 1996 March;469;-28.0
530;1996 February - 1996 April;465;-12.0
531;1996 March - 1996 May;441;-24.0
532;1996 April - 1996 June;418;-28.0
533;1996 May - 1996 July;415;-30.0
534;1996 June - 1996 August;433;-20.0
535;1996 July - 1996 September;441;-12.0
536;1996 August - 1996 October;438;-12.0
537;1996 September - 1996 November;431;-20.0
538;1996 October - 1996 December;432;-27.0
539;1996 November - 1997 January;437;-26.0
540;1996 December - 1997 February;429;-39.0
541;1997 January - 1997 March;415;-54.0
542;1997 February - 1997 April;399;-66.0
543;1997 March - 1997 May;381;-60.0
544;1997 April - 1997 June;376;-42.0
545;1997 May - 1997 July;378;-37.0
546;1997 June - 1997 August;379;-54.0
547;1997 July - 1997 September;372;-69.0
548;1997 August - 1997 October;351;-87.0
549;1997 September - 1997 November;349;-82.0
550;1997 October - 1997 December;336;-96.0
551;1997 November - 1998 January;340;-97.0
552;1997 December - 1998 February;346;-83.0
553;1998 January - 1998 March;346;-69.0
554;1998 February - 1998 April;318;-81.0
555;1998 March - 1998 May;289;-92.0
556;1998 April - 1998 June;270;-106.0
557;1998 May - 1998 July;270;-108.0
558;1998 June - 1998 August;273;-106.0
559;1998 July - 1998 September;271;-101.0
560;1998 August - 1998 October;265;-86.0
561;1998 September - 1998 November;262;-87.0
562;1998 October - 1998 December;260;-76.0
563;1998 November - 1999 January;265;-75.0
564;1998 December - 1999 February;263;-83.0
565;1999 January - 1999 March;265;-81.0
566;1999 February - 1999 April;246;-72.0
567;1999 March - 1999 May;227;-62.0
568;1999 April - 1999 June;216;-54.0
569;1999 May - 1999 July;209;-61.0
570;1999 June - 1999 August;213;-60.0
571;1999 July - 1999 September;212;-59.0
572;1999 August - 1999 October;211;-54.0
573;1999 September - 1999 November;206;-56.0
574;1999 October - 1999 December;189;-71.0
575;1999 November - 2000 January;201;-64.0
576;1999 December - 2000 February;201;-62.0
577;2000 January - 2000 March;217;-48.0
578;2000 February - 2000 April;201;-45.0
579;2000 March - 2000 May;195;-32.0
580;2000 April - 2000 June;173;-43.0
581;2000 May - 2000 July;171;-38.0
582;2000 June - 2000 August;169;-44.0
583;2000 July - 2000 September;176;-36.0
584;2000 August - 2000 October;181;-30.0
585;2000 September - 2000 November;190;-16.0
586;2000 October - 2000 December;186;-3.0
587;2000 November - 2001 January;187;-14.0
588;2001 1st quarter;175;-42.0
589;2001 2nd quarter;130;-43.0
590;2001 3rd quarter;148;-28.0
591;2001 4th quarter;148;-38.0
592;2002 1st quarter;173;-2.0
593;2002 2nd quarter;168;38.0
594;2002 3rd quarter;181;33.0
595;2002 4th quarter;196;48.0
596;2003 1st quarter;253;80.0
597;2003 2nd quarter;258;90.0
598;2003 3rd quarter;275;94.0
599;2003 4th quarter;299;103.0
600;2004 1st quarter;345;92.0
601;2004 2nd quarter;329;71.0
602;2004 3rd quarter;331;56.0
603;2004 4th quarter;326;27.0
604;2005 1st quarter;356;11.0
605;2005 2nd quarter;335;6.0
606;2005 3rd quarter;322;-9.0
607;2005 4th quarter;308;-18.0
608;2006 1st quarter;316;-40.0
609;2006 2nd quarter;289;-46.0
610;2006 3rd quarter;250;-72.0
611;2006 4th quarter;230;-78.0
612;2007 1st quarter;229;-87.0
613;2007 2nd quarter;196;-93.0
614;2007 3rd quarter;174;-76.0
615;2007 4th quarter;165;-65.0
616;2008 1st quarter;171;-58.0
617;2008 2nd quarter;155;-41.0
618;2008 3rd quarter;141;-33.0
619;2008 4th quarter;144;-21.0
620;2009 1st quarter;176;5.0
621;2009 2nd quarter;197;42.0
622;2009 3rd quarter;205;64.0
623;2009 4th quarter;226;82.0
624;2010 1st quarter;259;83.0
625;2010 2nd quarter;245;48.0
626;2010 3rd quarter;213;8.0
627;2010 4th quarter;205;-21.0
628;2011 1st quarter;223;-36.0
629;2011 2nd quarter;205;-40.0
630;2011 3rd quarter;202;-11.0
631;2011 4th quarter;221;16.0
632;2012 1st quarter;250;27.0
633;2012 2nd quarter;247;42.0
634;2012 3rd quarter;250;48.0
635;2012 4th quarter;259;38.0
636;2013 1st quarter;315;65.0
637;2013 2nd quarter;327;80.0
638;2013 3rd quarter;327;77.0
639;2013 4th quarter;369;110.0
640;2014 1st quarter;391;76.0
641;2014 2nd quarter;392;65.0
642;2014 3rd quarter;372;45.0
